a020425443a4158aaf565d542a30584ba01dd8b79fa4c94b5e72bf637c8ec8ff,4ac5b9a3842f2e361b8100c89129137d8ff33d2fa1bc0d8690c35c78cad9b98f,5fdcaa5ee3052043cad7ac0320ee01e12ae5560e02bd501c527d0f914a142409,a4e133fba017db3a823c84607b8ae4ecc5e82715629d5fc642a83799f23b848d,612909b69f0b2b78cbe47bd2b5be1ccef204e908acdcd93de57a9c2bf9f2fec3,06101fa929c1a0994b4fba9e9017b3e146e7f92d7e45392a5ba82321e0ce322f,4f419b8bbb88fb091ede915ebfa7d8c6bc0042259279de452e19fd97bd81d372,3c038d28dccdc35b93138146bbc0985848855f057ebf7938a3aac38bf7eb0af2,11593110f0e9f5ecce229c02688d4b363e798b7a8f866b4f0c80eae954f6bb1f,244583215a91ecb86597b39e64561de35e2a7cfa8cdc0a2738fc3f101fc0edb6,7639c2e8a18bc46abd772b32a3f0135802d3240b9ee6f6805c4a530e0c1d1d21
"61074","vo_apg_0106","5146061","vo_apg","","0","0","","","21",""
"61075","ほら、さっさと乗るわよー\nはーやだやだ…ふふふ","5146061","106011","0","10","1","0","1","11","0"
"61076","","5146061","0","","","","","","91",""
"61077","0","5146061","0","","","","","","22",""
"61078","walk_kyapi_shy","5146061","106011","","1","","0.2","","3",""
"61079","walk_kyapi_shy","5146061","1060","","1","","0.2","","3",""
"61080","walk_furimuki","5146061","105811","","1","","0.2","","3",""
"61081","walk_furimuki","5146061","1058","","1","","0.2","","3",""
"61082","kokkoro_walk_surprise","5146061","105911","","1","","0.2","","3",""
"61083","kokkoro_walk_surprise","5146061","1059","","1","","0.2","","3",""
"61084","149","5146061","106011","","-278","2","","0","2",""
"61085","149","5146061","1060","","-278","2","","0","2",""
"61086","-54","5146061","105811","","-278","2","","0","2",""
"61087","-54","5146061","1058","","-278","2","","0","2",""
"61088","-214","5146061","105911","","-288","2","","0","2",""
"61089","-214","5146061","1059","","-288","2","","0","2",""
"61090","0","5146061","1","","","","","","93",""
"61091","iris_in","5146061","2","","","","","","37",""
"61092","0","5146061","2","","","","","","93",""
"61093","se_10055900_coaster_02","5146061","se_10055900","","1","","","","23",""
"61094","1","5146061","10","","","","","","32",""
"61095","30","5146061","30","","0.5","","","","122",""
"61096","vo_apg_0107","5146061","vo_apg","","0","0","","","21",""
"61097","0107_in","5146061","202","","0","","0","","3",""
"61098","1","5146061","0.7","","","","","","93",""
"61099","0107_mid","5146061","202","","0","","0","","3",""
"61100","","5146061","","","","","","","92",""
"61101","0107_out","5146061","202","","0","","0","","3",""
"61102","0","5146061","0.2","","","","","","93",""
"61103","0","5146061","202","","-211","0","","0","2",""
"61104","30","5146061","30","","0.5","","","","122",""
"61105","vo_apg_0108","5146061","vo_apg","","0","0","","","21",""
"61106","0108_in","5146061","203","","0","","0","","3",""
"61107","1","5146061","0.8","","","","","","93",""
"61108","0108_mid","5146061","203","","0","","0","","3",""
"61109","","5146061","","","","","","","92",""
"61110","0108_out","5146061","203","","0","","0","","3",""
"61111","0","5146061","0.2","","","","","","93",""
"61112","315","5146061","201","","16","0","","0","2",""
"61113","30","5146061","30","","0.5","","","","122",""
"61114","vo_apg_0109","5146061","vo_apg","","0","0","","","21",""
"61115","0109_in","5146061","201","","0","","0","","3",""
"61116","1","5146061","1.1","","","","","","93",""
"61117","0109_mid","5146061","201","","0","","0","","3",""
"61118","","5146061","","","","","","","92",""
"61119","0109_out","5146061","201","","0","","0","","3",""
"61120","0","5146061","0.2","","","","","","93",""
"61121","30","5146061","30","","0.5","","","","122",""
"61122","vo_apg_0110","5146061","vo_apg","","0","0","","","21",""
"61123","0107_in","5146061","202","","0","","0","","3",""
"61124","0108_in","5146061","203","","0","","0","","3",""
"61125","0109_in","5146061","201","","0","","0","","3",""
"61126","1","5146061","1.1","","","","","","93",""
"61127","0107_mid","5146061","202","","0","","0","","3",""
"61128","0108_mid","5146061","203","","0","","0","","3",""
"61129","0109_mid","5146061","201","","0","","0","","3",""
"61130","","5146061","","","","","","","92",""
"61131","0107_out","5146061","202","","0","","0","","3",""
"61132","0108_out","5146061","203","","0","","0","","3",""
"61133","0109_out","5146061","201","","0","","0","","3",""
"61134","0","5146061","0.2","","","","","","93",""
"61135","216","5146061","201","","0","0","","0","2",""
"61136","vo_apg_0111","5146061","vo_apg","","0","0","","","21",""
"61137","0111_in","5146061","201","","0","","0","","3",""
"61138","1","5146061","1.8","","","","","","93",""
"61139","0111_mid","5146061","201","","0","","0","","3",""
"61140","","5146061","","","","","","","92",""
"61141","0111_out","5146061","201","","0","","0","","3",""
"61142","0","5146061","0.2","","","","","","93",""
"61143","0","5146061","0","","","","","","22",""
"61144","","5146061","0.5","","","","","","93",""
"61145","1","5146061","11","","","","","","32",""
"61146","se_10055900_camera","5146061","se_10055900","","0","","","","23",""
"61147","0","5146061","0.2","","","","","","93",""
"61148","0","5146061","10","","","","","","32",""
"61149","0","5146061","1.8","","","","","","93",""
"61150","0.5","5146061","se_10055900_coaster_02","","","","","","24",""
"61151","iris_out","5146061","2","","","","","","37",""
"61152","129","5146061","106011","","-278","0","","0","2",""
"61153","129","5146061","1060","","-278","0","","0","2",""
"61154","-34","5146061","105811","","-278","0","","0","2",""
"61155","-34","5146061","1058","","-278","0","","0","2",""
"61156","-194","5146061","105911","","-288","0","","0","2",""
"61157","-194","5146061","1059","","-288","0","","0","2",""
"61158","walk_normal_dere2","5146061","106011","","1","","0.2","","3",""
"61159","walk_normal_dere2","5146061","1060","","1","","0.2","","3",""
"61160","walk_normal_joy","5146061","105811","","1","","0.2","","3",""
"61161","walk_normal_joy","5146061","1058","","1","","0.2","","3",""
"61162","kokkoro_walk_normal_dere","5146061","105911","","1","","0.2","","3",""
"61163","kokkoro_walk_normal_dere","5146061","1059","","1","","0.2","","3",""
"61164","290","5146061","106011","","-278","2","","0","2",""
"61165","290","5146061","1060","","-278","2","","0","2",""
"61166","-225","5146061","105811","","-278","2","","0","2",""
"61167","-225","5146061","1058","","-278","2","","0","2",""
"61168","-385","5146061","105911","","-288","2","","0","2",""
"61169","-385","5146061","1059","","-288","2","","0","2",""
"61170","0","5146061","106011","","","","","","4",""
"61171","0","5146061","1060","","","","","","4",""
"61172","1","5146061","105811","","","","","","4",""
"61173","1","5146061","1058","","","","","","4",""
"61174","1","5146061","105911","","","","","","4",""
"61175","1","5146061","1059","","","","","","4",""
"61176","0","5146061","2","","","","","","93",""
"61177","1","5146061","106011","","","","","","4",""
"61178","1","5146061","1060","","","","","","4",""
"61179","0","5146061","105811","","","","","","4",""
"61180","0","5146061","1058","","","","","","4",""
"61181","0","5146061","105911","","","","","","4",""
"61182","0","5146061","1059","","","","","","4",""
"61183","joy_idle_doya_shy","5146061","106011","","1","","0.2","","3",""
"61184","joy_idle_doya_shy","5146061","1060","","1","","0.2","","3",""
"61185","idle_normal","5146061","105811","","1","","0.2","","3",""
"61186","idle_normal","5146061","1058","","1","","0.2","","3",""
"61187","kokkoro_idle_normal_joy","5146061","105911","","1","","0.2","","3",""
"61188","kokkoro_idle_normal_joy","5146061","1059","","1","","0.2","","3",""
"61189","0","5146061","0.3","","","","","","93",""
"61190","jump_short","5146061","105811","","0","guts2_talk_joy","0.2","1","3","0.2"
"61191","jump_short","5146061","1058","","0","guts2_talk_joy","0.2","1","3","0.2"
"61192","vo_apg_0112","5146061","vo_apg","","0","0","","","21",""
"61193","はぁ～♪\n楽しかったですねー☆","5146061","105811","0","10","1","0","1","11","0"
"61194","","5146061","0","","","","","","91",""
"61195","idle_normal","5146061","105811","","1","","0.2","","3",""
"61196","idle_normal","5146061","1058","","1","","0.2","","3",""
"61197","kokkoro_talk_normal","5146061","105911","","1","","0.2","","3",""
"61198","kokkoro_talk_normal","5146061","1059","","1","","0.2","","3",""
"61199","vo_apg_0113","5146061","vo_apg","","0","0","","","21",""
"61200","みなさま。\nお写真が\n仕上がったみたいです","5146061","105911","0","10","1","0","1","11","0"
"61201","","5146061","0","","","","","","91",""
"61202","kokkoro_idle_normal_joy","5146061","105911","","1","","0.2","","3",""
"61203","kokkoro_idle_normal_joy","5146061","1059","","1","","0.2","","3",""
"61204","armcrossed_in_dere_shy","5146061","106011","","0","armcrossed_talk_dere_shy","0.2","1","3","0"
"61205","armcrossed_in_dere_shy","5146061","1060","","0","armcrossed_talk_dere_shy","0.2","1","3","0"
"61206","vo_apg_0114","5146061","vo_apg","","0","0","","","21",""
"61207","は～最悪。\n…ま、どんなもんか\n一応見てやるけど♪","5146061","106011","0","10","1","0","1","11","0"
"61208","","5146061","0","","","","","","91",""
"61209","0","5146061","0","","","","","","22",""
"61210","armcrossed_idle_anger_lookup","5146061","106011","","0","","0.2","","3",""
"61211","armcrossed_idle_anger_lookup","5146061","1060","","0","","0.2","","3",""
"61212","idle_normal_lookup","5146061","105811","","1","","0.2","","3",""
"61213","idle_normal_lookup","5146061","1058","","1","","0.2","","3",""
"61214","kokkoro_wish_idle_joy_lookup","5146061","105911","","1","","0.2","","3",""
"61215","kokkoro_wish_idle_joy_lookup","5146061","1059","","1","","0.2","","3",""
"61216","coaster_1_in","5146061","21","","0","","0","","3",""
"61217","se_10055900_photo","5146061","se_10055900","","0","","","","23",""
"61218","0","5146061","2.3","","","","","","93",""
"61219","idle_normal_surprise","5146061","105811","","1","","0.2","","3",""
"61220","idle_normal_surprise","5146061","1058","","1","","0.2","","3",""
"61221","kokkoro_idle_normal_surprise","5146061","105911","","1","","0.2","","3",""
"61222","kokkoro_idle_normal_surprise","5146061","1059","","1","","0.2","","3",""
"61223","pointing_in_noface","5146061","106011","","0","pointing_loop_noface","0.2","1","3","0"
"61224","pointing_in_kyaru","5146061","1060","","0","pointing_loop_kyaru","0.2","1","3","0"
"61225","vo_apg_0115","5146061","vo_apg","","0","0","","","21",""
"61226","ってなによこれーっ！！！\nあたし写ってないじゃない！！？","5146061","106011","0","10","1","0","1","11","0"
"61227","1","5146061","0.5","","","","","","93",""
"61228","30","5146061","30","","0.5","","","","122",""
"61229","","5146061","61226","","","","","","91",""
"61230","surprise_talk","5146061","105811","","1","","0.2","","3",""
"61231","surprise_talk","5146061","1058","","1","","0.2","","3",""
"61232","vo_apg_0116","5146061","vo_apg","","0","0","","","21",""
"61233","……へ？\nキャルちゃんほんとは\n写りたかったんですか？","5146061","105811","0","10","1","0","1","11","0"
"61234","","5146061","0","","","","","","91",""
"61235","idle_normal_talk1R","5146061","105811","","1","","0.2","","3",""
"61236","idle_normal_talk1R","5146061","1058","","1","","0.2","","3",""
"61237","kokkoro_sad_talk","5146061","105911","","1","","0.2","","3",""
"61238","kokkoro_sad_talk","5146061","1059","","1","","0.2","","3",""
"61239","vo_apg_0117","5146061","vo_apg","","0","0","","","21",""
"61240","写りたくないのではと思って\nキャルさまを隠しましたが。\n余計なお世話だったみたいです","5146061","105911","0","10","1","0","1","11","0"
"61241","","5146061","0","","","","","","91",""
"61242","kokkoro_idle_normal","5146061","105911","","1","","0.2","","3",""
"61243","kokkoro_idle_normal","5146061","1059","","1","","0.2","","3",""
"61244","shock_in_shy_red","5146061","106011","","0","shock_loop_shy_red","0.2","1","3","0"
"61245","shock_in_shy_red","5146061","1060","","0","shock_loop_shy_red","0.2","1","3","0"
"61246","vo_apg_0118","5146061","vo_apg","","0","0","","","21",""
"61247","い…いやそういう訳じゃ\nないけどっ！！？","5146061","106011","0","10","1","0","1","11","0"
"61248","","5146061","0","","","","","","91",""
"61249","coaster_1_out","5146061","21","","0","","0","","3",""
"61250","kokkoro_idle_normal_joy","5146061","105911","","1","","0.2","","3","0.2"
"61251","kokkoro_idle_normal_joy","5146061","1059","","1","","0.2","","3","0.2"
"61252","joy_talk","5146061","105811","","1","","0.2","","3","0.2"
"61253","joy_talk","5146061","1058","","1","","0.2","","3","0.2"
"61254","vo_apg_0119","5146061","vo_apg","","0","0","","","21",""
"61255","なんだ♪\nじゃあもう一回乗りましょー♪","5146061","105811","0","10","1","0","1","11","0"
"61256","","5146061","0","","","","","","91",""
"61257","joy_idle","5146061","105811","","1","","0.2","","3",""
"61258","joy_idle","5146061","1058","","1","","0.2","","3",""
"61259","kokkoro_wish_talk_normal2","5146061","105911","","1","","0.2","","3",""
"61260","kokkoro_wish_talk_normal2","5146061","1059","","1","","0.2","","3",""
"61261","vo_apg_0120","5146061","vo_apg","","0","0","","","21",""
"61262","はい、そういたしましょう♪","5146061","105911","0","10","1","0","1","11","0"
"61263","","5146061","0","","","","","","91",""
"61264","0","5146061","0","","","","","","22",""
"61265","kokkoro_wish_idle_joy","5146061","105911","","1","","0.2","","3",""
"61266","kokkoro_wish_idle_joy","5146061","1059","","1","","0.2","","3",""
"61267","anger_talk_anger2_red","5146061","106011","","1","","0.2","","3",""
"61268","anger_talk_anger2_red","5146061","1060","","1","","0.2","","3",""
"61269","2","5146061","106011","0","2","0","0","0","12","0"
"61270","10","5146061","105811","0","2","0","0","0","12","0"
"61271","10","5146061","105911","0","2","0","0","0","12","0"
"61272","0","5146061","2","","","","","","93",""
"61273","","5146061","61274","","","","","","101",""
"61274","0.2","5146061","0","","","","","","22",""
"62001","100911","5146062","1","idle_normal","103","-290","1.8","-278","1","0"
"62002","1009","5146062","3","idle_normal","104","-290","1.8","-278","5","0"
"62003","131011","5146062","1","idle_normal","100","290","1.8","-278","1","1"
"62004","203","5146062","100911","","","","","","13",""
"62005","200","5146062","131011","","","","","","13",""
"62006","7","5146062","7","idle","15","0","0.85","-174","5","0"
"62007","20","5146062","20","empty","210","-132","1","71","5","0"
"62008","22","5146062","22","empty","210","0","1","-42","5","0"
"62009","21","5146062","21","empty","60","0","1","153","5","0"
"62010","1","5146062","1","","0","0","1","1","31",""
"62011","2","5146062","2","","0","-57.7","0","1","31",""
"62012","10","5146062","10","","0","0","0","1","31",""
"62013","11","5146062","11","","0","0","0","1","31",""
"62014","14","5146062","14","","-290","-278","0","1","31",""
"62015","20","5146062","20","","0","0","1","1","31",""
"62016","100911","5146062","20","","","","","","36",""
"62017","20","5146062","20","","","","","","36",""
"62018","22","5146062","20","","","","","","36",""
"62019","0","5146062","0","","","","","","91",""
"62020","0","5146062","0","","0","","","","102",""
"62021","0","5146062","1","","","","","","93",""
"62022","cool_in_dere","5146062","100911","","0","cool_talk_dere","0.2","1","3","0"
"62023","cool_in_dere","5146062","1009","","0","cool_talk_dere","0.2","1","3","0"
"62024","vo_apg_0201","5146062","vo_apg","","0","0","","","21",""
"62025","いざ征かん、極滅禁断秘儀へ！\nさあ、案内を頼むぞ！","5146062","100911","0","10","1","0","1","11","0"
"62026","","5146062","0","","","","","","91",""
"62027","cool_idle","5146062","100911","","1","","0.2","","3",""
"62028","cool_idle","5146062","1009","","1","","0.2","","3",""
"62029","wish_talk_joy","5146062","131011","","1","","0.2","","3",""
"62030","vo_apg_0202","5146062","vo_apg","","0","0","","","21",""
"62031","アンナはんが興味持って\nくれるなんてうれしいわ～\nしっかり案内させてもらいます","5146062","131011","0","10","1","0","1","11","0"
"62032","","5146062","0","","","","","","91",""
"62033","wish_idle","5146062","131011","","1","","0.2","","3",""
"62034","anna_armcrossed","5146062","100911","","0","sad_talk","0.2","1","3","0.2"
"62035","anna_armcrossed","5146062","1009","","0","sad_talk","0.2","1","3","0.2"
"62036","vo_apg_0203","5146062","vo_apg","","0","0","","","21",""
"62037","うむ！　シグルドたちも\n挑んだというその試練、この冥姫も…\nって、え？　\nこれ、もしかして絶叫系…？","5146062","100911","0","10","1","0","1","11","0"
"62038","","5146062","0","","","","","","91",""
"62039","sad_idle","5146062","100911","","1","","0.2","","3",""
"62040","sad_idle","5146062","1009","","1","","0.2","","3",""
"62041","maho_talk_normal","5146062","131011","","0","surprise_talk","0.2","1","3","0.2"
"62042","vo_apg_0204","5146062","vo_apg","","0","0","","","21",""
"62043","このパークの大人気\nアトラクションなんよ～\nあら？　どないしはりました？\n顔色が良くないような…","5146062","131011","0","10","1","0","1","11","0"
"62044","","5146062","0","","","","","","91",""
"62045","surprise_idle","5146062","131011","","1","","0.2","","3",""
"62046","anger_talk_shy","5146062","100911","","1","","0.2","","3",""
"62047","anger_talk_shy","5146062","1009","","1","","0.2","","3",""
"62048","vo_apg_0205","5146062","vo_apg","","0","0","","","21",""
"62049","べべべ、別に　お、怯えてなぞ…\nまったくもって、一向に構わぬが？","5146062","100911","0","10","1","0","1","11","0"
"62050","","5146062","0","","","","","","91",""
"62051","anger_idle_shy","5146062","100911","","1","","0.2","","3",""
"62052","anger_idle_shy","5146062","1009","","1","","0.2","","3",""
"62053","worry_talk","5146062","131011","","1","","0.2","","3",""
"62054","vo_apg_0206","5146062","vo_apg","","0","0","","","21",""
"62055","せやけど、無理はせん方が\nええんとちゃいます？","5146062","131011","0","10","1","0","1","11","0"
"62056","","5146062","0","","","","","","91",""
"62057","wish_idle_shy","5146062","131011","","1","","0.2","","3",""
"62058","anger_talk_pain","5146062","100911","","1","","0.2","","3",""
"62059","anger_talk_pain","5146062","1009","","1","","0.2","","3",""
"62060","vo_apg_0207","5146062","vo_apg","","0","0","","","21",""
"62061","ええい！　か、構わんと言っている！\nここまで案内させて引くわけには…\nいくぞ！　突撃だーーーー！","5146062","100911","0","10","1","0","1","11","0"
"62062","","5146062","0","","","","","","91",""
"62063","0","5146062","0","","","","","","22",""
"62064","run_dash_anger2","5146062","100911","","1","","0.2","","3",""
"62065","run_dash_anger2","5146062","1009","","1","","0.2","","3",""
"62066","walk_surprise","5146062","131011","","1","","0.2","","3",""
"62067","-129","5146062","100911","","-278","2","","0","2",""
"62068","-129","5146062","1009","","-278","2","","0","2",""
"62069","129","5146062","131011","","-278","2","","0","2",""
"62070","1","5146062","14","","","","","","32",""
"62071","left","5146062","14","","","","","","37",""
"62072","-129","5146062","14","","-278","2","","0","33",""
"62073","0","5146062","1","","","","","","93",""
"62074","1","5146062","2","","","","","","32",""
"62075","0","5146062","1.5","","","","","","93",""
"62076","0","5146062","14","","","","","","32",""
"62077","0","5146062","100911","","-331","0","","0","2",""
"62078","scale15","5146062","20","","","","","","37",""
"62079","se_10055900_coaster_01","5146062","se_10055900","","1","","","","23",""
"62080","vo_apg_0208","5146062","vo_apg","","0","0","","","21",""
"62081","0208_in","5146062","22","","0","","0","","3",""
"62082","1","5146062","3.3","","","","","","93",""
"62083","0208_mid","5146062","22","","0","","0","","3",""
"62084","","5146062","","","","","","","92",""
"62085","0208_out","5146062","22","","0","","0","","3",""
"62086","0","5146062","0.2","","","","","","93",""
"62087","0","5146062","0.3","","","","","","93",""
"62088","scale1","5146062","20","","","","","","37",""
"62089","1","5146062","10","","","","","","32",""
"62090","0.5","5146062","se_10055900_coaster_01","","","","","","24",""
"62091","se_10055900_coaster_02","5146062","se_10055900","","1","","","","23",""
"62092","0","5146062","20","","0","0","","0","2",""
"62093","30","5146062","30","","0.5","","","","122",""
"62094","vo_apg_0209","5146062","vo_apg","","0","0","","","21",""
"62095","0209_in","5146062","20","","0","","0","","3",""
"62096","1","5146062","2.6","","","","","","93",""
"62097","0209_mid","5146062","20","","0","","0","","3",""
"62098","","5146062","","","","","","","92",""
"62099","0209_out","5146062","20","","0","","0","","3",""
"62100","0","5146062","0.2","","","","","","93",""
"62101","30","5146062","30","","1","","","","122",""
"62102","vo_apg_0210","5146062","vo_apg","","0","0","","","21",""
"62103","0210_in","5146062","20","","0","","0","","3",""
"62104","1","5146062","2.7","","","","","","93",""
"62105","0210_mid","5146062","20","","0","","0","","3",""
"62106","","5146062","","","","","","","92",""
"62107","0210_out","5146062","20","","0","","0","","3",""
"62108","0","5146062","0.2","","","","","","93",""
"62109","0","5146062","0","","","","","","22",""
"62110","empty","5146062","20","","1","","0","","3",""
"62111","","5146062","1","","","","","","93",""
"62112","1","5146062","11","","","","","","32",""
"62113","se_10055900_camera","5146062","se_10055900","","0","","","","23",""
"62114","0","5146062","0.2","","","","","","93",""
"62115","0","5146062","10","","","","","","32",""
"62116","0","5146062","1.8","","","","","","93",""
"62117","0.5","5146062","se_10055900_coaster_02","","","","","","24",""
"62118","iris_out","5146062","2","","","","","","37",""
"62119","-129","5146062","100911","","-278","0","","0","2",""
"62120","-129","5146062","1009","","-278","0","","0","2",""
"62121","129","5146062","131011","","-278","0","","0","2",""
"62122","anna_walk","5146062","100911","","1","","0.2","","3",""
"62123","anna_walk","5146062","1009","","1","","0.2","","3",""
"62124","walk_normal_joy","5146062","131011","","1","","0.2","","3",""
"62125","-290","5146062","100911","","-278","2","","0","2",""
"62126","-290","5146062","1009","","-278","2","","0","2",""
"62127","290","5146062","131011","","-278","2","","0","2",""
"62128","1","5146062","100911","","","","","","4",""
"62129","1","5146062","1009","","","","","","4",""
"62130","0","5146062","131011","","","","","","4",""
"62131","0","5146062","2","","","","","","93",""
"62132","0","5146062","100911","","","","","","4",""
"62133","0","5146062","1009","","","","","","4",""
"62134","1","5146062","131011","","","","","","4",""
"62135","anna_idle","5146062","100911","","1","","0.2","","3",""
"62136","anna_idle","5146062","1009","","1","","0.2","0","3",""
"62137","idle_normal","5146062","131011","","1","","0.2","","3",""
"62138","0","5146062","0.5","","","","","","93",""
"62139","talk_normal_surprise","5146062","131011","","1","","0.2","","3",""
"62140","vo_apg_0211","5146062","vo_apg","","0","0","","","21",""
"62141","どないでした？\nえらい声出してはったけど","5146062","131011","0","10","1","0","1","11","0"
"62142","","5146062","0","","","","","","91",""
"62143","idle_normal_surprise","5146062","131011","","1","","0.2","","3",""
"62144","anna_kukuku_in","5146062","100911","","0","anna_kukuku_loop","0.2","1","3","0"
"62145","anna_kukuku_in","5146062","1009","","0","anna_kukuku_loop","0.2","1","3","0"
"62146","vo_apg_0212","5146062","vo_apg","","0","0","","","21",""
"62147","ふ、ふふふ…シグルドよ…\n私にも、刻が…見える！","5146062","100911","0","10","1","20","1","11","0"
"62148","","5146062","0","","","","","","91",""
"62149","coaster_2_in","5146062","21","","0","","0","","3",""
"62150","se_10055900_photo","5146062","se_10055900","","0","","","","23",""
"62151","0","5146062","0.1","","","","","","93",""
"62152","anna_ahaha_in","5146062","100911","","0","anna_ahaha_loop","0.2","1","3","0"
"62153","anna_ahaha_in","5146062","1009","","0","anna_ahaha_loop","0.2","1","3","0"
"62154","vo_apg_0213","5146062","vo_apg","","0","0","","","21",""
"62155","今、冥姫は\n疾風を追い越した！","5146062","100911","0","10","1","-30","1","11","0"
"62156","","5146062","0","","","","","","91",""
