22f7faab8d65451640707b0ad3e7bf4a98165917e2c154ab528cad93e6c66aeb,f028da7099c8ba2681e2da5c8c7b8c5bf7032c6e6100fc7d81812fa1bcbbcd29,a33cc5c4adca7add667fec1c6488a22e4317b95224a3fd99421bd7c2e43f35ce,5713849af058a10a399f1543d5fbc021100fffd0f53f7dd2fdd21c5f074489ae,e3d9ef2dd301d0d47620d36f0b7cd42d54856c161c3aa0569f846d80f342ce6f,298a659b4c10746a90144c0fd770bb4a5e116885d04057d5873079a8c82bd4e2,4b91697861e086908f3b6eece9818c2ccce098e2b53b3aa2cc0a6c95cecaba40,5034fe49ce56f9998afb98bd87160ab63747d796cc2bfe854af2dec006362daa,e85d891871bfd1579f649d594acc1838c7a7699052e02dc638927890cdfb93ab
"6","6","12201","53003","22","4","5","5","4"
"5","6","12202","53002","22","4","5","5","4"
"5","5","12301","53003","22","3","4","4","4"
"5","5","12302","53002","22","3","4","4","4"
"4","4","12401","53003","22","3","3","3","4"
"3","4","12402","53002","22","3","3","3","4"
"3","3","12501","53003","22","2","2","2","4"
"2","3","12502","53002","22","2","2","2","4"
"2","2","12601","53003","22","1","1","1","4"
"1","2","12602","53002","22","1","1","1","4"
"2","1","12701","53002","22","1","0","0","4"
"8","7","12801","53003","22","5","-1","6","5"
"4","7","12802","53002","22","5","-1","6","5"
"6","6","12901","53003","22","4","5","5","5"
"5","6","12902","53002","22","4","5","5","5"
"5","5","13001","53003","22","3","4","4","5"
"5","5","13002","53002","22","3","4","4","5"
"4","4","13101","53003","22","3","3","3","5"
"3","4","13102","53002","22","3","3","3","5"
"3","3","13201","53003","22","2","2","2","5"
"2","3","13202","53002","22","2","2","2","5"
"2","2","13301","53003","22","1","1","1","5"
"1","2","13302","53002","22","1","1","1","5"
"2","1","13401","53002","22","1","0","0","5"
"8","7","13501","53003","22","5","-1","6","6"
"4","7","13502","53002","22","5","-1","6","6"
"6","6","13601","53003","22","4","5","5","6"
"5","6","13702","53002","22","4","5","5","6"
"5","5","13801","53003","22","3","4","4","6"
"5","5","13902","53002","22","3","4","4","6"
"4","4","14001","53003","22","3","3","3","6"
"3","4","14002","53002","22","3","3","3","6"
"3","3","14101","53003","22","2","2","2","6"
"2","3","14102","53002","22","2","2","2","6"
"2","2","14201","53003","22","1","1","1","6"
"1","2","14202","53002","22","1","1","1","6"
"2","1","14301","53002","22","1","0","0","6"
"8","7","14401","53003","22","5","-1","6","7"
"4","7","14402","53002","22","5","-1","6","7"
"6","6","14501","53003","22","4","5","5","7"
"5","6","14502","53002","22","4","5","5","7"
"5","5","14601","53003","22","3","4","4","7"
"5","5","14701","53002","22","3","4","4","7"
"4","4","14801","53003","22","3","3","3","7"
"3","4","14802","53002","22","3","3","3","7"
"3","3","14901","53003","22","2","2","2","7"
"2","3","14902","53002","22","2","2","2","7"
"2","2","15001","53003","22","1","1","1","7"
"1","2","15002","53002","22","1","1","1","7"
"2","1","15101","53002","22","1","0","0","7"
"8","7","15201","53003","22","5","-1","6","8"
"4","7","15202","53002","22","5","-1","6","8"
"6","6","15301","53003","22","4","5","5","8"
"5","6","15302","53002","22","4","5","5","8"
"5","5","15401","53003","22","3","4","4","8"
"5","5","15402","53002","22","3","4","4","8"
"4","4","15501","53003","22","3","3","3","8"
"3","4","15502","53002","22","3","3","3","8"
"3","3","15601","53003","22","2","2","2","8"
"2","3","15602","53002","22","2","2","2","8"
"2","2","15701","53003","22","1","1","1","8"
"1","2","15702","53002","22","1","1","1","8"
"2","1","15901","53002","22","1","0","0","8"
"8","7","16001","53003","22","5","-1","6","9"
"4","7","16002","53002","22","5","-1","6","9"
"6","6","16101","53003","22","4","5","5","9"
"5","6","16102","53002","22","4","5","5","9"
"5","5","16201","53003","22","3","4","4","9"
"5","5","16202","53002","22","3","4","4","9"
"4","4","16301","53003","22","3","3","3","9"
"3","4","16302","53002","22","3","3","3","9"
"3","3","16401","53003","22","2","2","2","9"
"2","3","16402","53002","22","2","2","2","9"
"2","2","16501","53003","22","1","1","1","9"
"1","2","16502","53002","22","1","1","1","9"
"2","1","16601","53002","22","1","0","0","9"
"8","7","16701","53003","22","5","-1","6","10"
"4","7","16702","53002","22","5","-1","6","10"
"6","6","16801","53003","22","4","5","5","10"
"5","6","16802","53002","22","4","5","5","10"
"5","5","16901","53003","22","3","4","4","10"
"5","5","16902","53002","22","3","4","4","10"
"4","4","17001","53003","22","3","3","3","10"
"3","4","17002","53002","22","3","3","3","10"
"3","3","17101","53003","22","2","2","2","10"
"2","3","17102","53002","22","2","2","2","10"
"2","2","17201","53003","22","1","1","1","10"
"1","2","17202","53002","22","1","1","1","10"
"2","1","17301","53002","22","1","0","0","10"
