875ff19ca029bf45d9edf5efc900e786a7bf65800669bc1913b1a2e17ed621f7,7613828c25984f23fbe3c00f71bdf27cc0091a002757cb8b37762fe9109bcdc3,52b4506a47f0dc3d44aa10211ae26b1a1953f58ec1a07af8324bb0a95c5224ff,02aaf5bb0af5e99e0ac26fc2b88d850f9629eb0fdf56c384190cc29f6e8ab74c,43b64ff85a9a2c5eddde117aaa5db8df2e40ae07abe71be62dfd223c8d4dd30b,286b9c8cfb71354896940eb41fb6cc9fbf2cfb12f6a28195b724670c3e466926,472be4bdd00cbb934f8527e933712bfff9c2a4e213439a32792bbf648eabd9f6,aaf7fcd014655277583a8956b56544e022b2c9ac191a7e85e92593fc205995a0,0917f61818d2914b7122b63ee567042f313524de32d0165ea7c5363cea18ce4f,0a895c56fe9037775d3551df7d6026cec327a26fb57e916eacc972cae65b00fa,26257257432995948c819b2f7744ca0cf6c43042ec2cbfefe3e9478a55b556b8,ab5a97444579129d65ac486621951e0bf7e46f9e4e5865a28964b4ac7269b58e,28535364e9402b79b5b241c557f976209d586b433ecb17dce26cec3d11c89ceb
"正解率はかなり悪いわね…\nまあ難しい問題だもんね…！\nそのチャレンジ精神は買うわ！","3","3","11300135","vo_minigame_1012_result_1034","1","3","2.97","1","3001","1","0","9"
"なんとか０点は免れたわね…\n難問揃いだけど、\nもっと頑張っていきましょ！","3","3","11300136","vo_minigame_1012_result_1035","1","3","3.1","1","3001","1","0","1"
"…あんたさ、０点なんて\n逆に取るの難しいわよ！？\nまさか狙ったわけじゃ\nないでしょーね～！？","1","0","11300137","vo_minigame_1012_result_1036","0","6","4.31","1","3001","1","1","2"
"０点って…\nあんたふざけてんの！？\nちゃんとやらないなら\n電撃魔法くらわせるわよ！？","1","0","11300138","vo_minigame_1012_result_1037","0","2","0.1","1","3001","1","1","2"
"もしかしたらあんたは\n勉強向いてないのかもね…\n…勉強だけがすべてじゃないわ\n違うとこで頑張りましょ！","1","0","11300139","vo_minigame_1012_result_1038","0","9","4.23","1","3001","1","9","3"
"怒んないから正直に言って？\n…ふざけて答えたでしょ？\nほら、正直に\n言・い・な・さ・い？","2","0","11300140","vo_minigame_1012_result_1039","0","3","4.38","1","3001","1","0","2"
"あんたの点数は～～…\n…はい！　０てーん！！\n…って、ふざけんなーー！！！","2","0","11300141","vo_minigame_1012_result_1040","0","8","3.58","1","3001","1","0","2"
"０点ってどういうこと！？\nいやあんた、逆にすごいわよ！？\n目つぶってやったとしても\n１点は取れるから！","2","0","11300142","vo_minigame_1012_result_1041","0","4","2.02","1","3001","1","1","2"
"あちゃー……残念だけど０点よ\nちょっと難しすぎたかもねー…\n…ま、こんなこともあるわ！\n気を落とさなくていいわよ！","3","0","11300143","vo_minigame_1012_result_1042","0","9","5.53","1","3001","1","9","1"
"かなりの難問とはいえ、\n０点はちょっと寂しいわね…\nでもま、逆に考えるのよ！\nあんたには伸びしろしかないわ！","3","0","11300144","vo_minigame_1012_result_1043","0","3","4.4","1","3001","1","9","1"
"０点かー…うん、ごめん…\n慰めの言葉が浮かばないわ！\n……ま、次があるから\n切り替えてくのよ！","3","0","11300145","vo_minigame_1012_result_1044","0","3","5.35","1","3001","1","0","1"
"OK！","0","0","12120101","vo_minigame_1012_correct_132","0","8","0","2","1201","1","0","8"
"合ってる！","0","0","12120102","vo_minigame_1012_correct_133","0","7","0","2","1201","1","0","7"
"グッド！","0","0","12120103","vo_minigame_1012_correct_134","0","7","0","2","1201","1","0","7"
"まじっ！？","0","3000","12120201","vo_minigame_1012_correct_135","0","5","0","2","1202","1","0","5"
"へえ～！","0","3000","12120202","vo_minigame_1012_correct_136","0","10","0","2","1202","1","0","10"
"その調子！","0","6000","12120203","vo_minigame_1012_correct_137","3001","7","0","2","1202","1","0","7"
"ちょっと急ぐわよ！","0","-1","12120204","vo_minigame_1012_correct_138","13333","1","0","2","1202","1","0","1"
"すごすぎ！","0","0","12120301","vo_minigame_1012_correct_139","0","5","0","2","1203","1","0","5"
"楽勝！","0","0","12120401","vo_minigame_1012_correct_141","0","7","0","2","1204","1","0","7"
"リベンジね！","0","0","12120501","vo_minigame_1012_correct_140","0","7","0","2","1205","1","0","7"
"いいわよ！","0","-1","12120601","vo_minigame_1012_correct_142","3","1","0","2","1206","1","0","1"
"まだまだ！","0","-1","12120701","vo_minigame_1012_correct_143","3","2","0","2","1207","1","0","2"
"ブー！","0","0","12130101","vo_minigame_1012_incorrect_127","0","2","0","2","1301","1","0","2"
"ダメー！","0","0","12130102","vo_minigame_1012_incorrect_128","0","2","0","2","1301","1","0","2"
"あらら…！","0","0","12130103","vo_minigame_1012_incorrect_129","0","9","0","2","1301","1","0","9"
"焦らない！","0","3000","12130201","vo_minigame_1012_incorrect_130","0","3","0","2","1302","1","0","3"
"ゆっくり！","0","3000","12130202","vo_minigame_1012_incorrect_131","0","5","0","2","1302","1","0","5"
"深呼吸！","0","6000","12130203","vo_minigame_1012_incorrect_132","3001","2","0","2","1302","1","0","2"
"遅いわね…！","0","-1","12130204","vo_minigame_1012_incorrect_133","20000","3","0","2","1302","1","0","3"
"ムズッ！","0","0","12130301","vo_minigame_1012_incorrect_134","0","5","0","2","1303","1","0","5"
"忘れたの？","0","0","12130401","vo_minigame_1012_incorrect_135","0","6","0","2","1304","1","0","6"
"次はいける！","0","0","12130501","vo_minigame_1012_incorrect_136","0","2","0","2","1305","1","0","2"
"ラストスパート！","0","30000","12170101","vo_minigame_1012_time_100","20000","2","0.01","2","1701","1","3","2"
"もうすぐ終わりよ！","0","30000","12170102","vo_minigame_1012_time_101","20000","1","0.01","2","1701","1","3","1"
"はい、よくできました！\n基礎はもう完璧ね！\n次はもっと難しい問題にも\nチャレンジしちゃいなさいよ！","1","-1","12300101","vo_minigame_1012_result_1045","20","7","3.74","2","3001","1","10","1"
"なによあんた、走り出したペンが\n止まらないって感じ？\nったくシンプルにすごいじゃない\n花丸あげるわ！","1","-1","12300102","vo_minigame_1012_result_1046","20","1","3.85","2","3001","1","0","9"
"すごい点数ね…！\nあんた勉強してないとか言って\nホントはめちゃくちゃやってる\nパターンのやつね！？","1","-1","12300103","vo_minigame_1012_result_1047","20","5","0.01","2","3001","1","8","5"
"勉強の成果、\nちゃんとでてんじゃない！\nあたしもあんたの先生として、\n鼻が高いわ～♪","2","-1","12300104","vo_minigame_1012_result_1048","20","8","2.86","2","3001","1","4","7"
"オッケー！　もう十分よ！\nこれ以上でき過ぎちゃったら、\nあたしが教える必要なくなるわ！","2","-1","12300105","vo_minigame_1012_result_1049","20","5","2.02","2","3001","1","9","3"
"難しい問題を選んだつもりなのに\nすごい正解数ね…！\nでもまだ上がある…\n次は最難関に挑戦よ！","2","-1","12300106","vo_minigame_1012_result_1050","20","5","4.46","2","3001","1","0","1"
"すごいすごいとは思ってたけど、\nあんた勉強も完璧なの…？\nそりゃみんなあんたに惚れ…\nや、な、なんでもない！！","3","-1","12300107","vo_minigame_1012_result_1051","20","5","6.85","2","3001","1","7","4"
"この問題、あたしでも悩む\n超難問なのに…\nふふっ、もう褒めるしかないわ！\n大変よくできました！","3","-1","12300108","vo_minigame_1012_result_1052","20","5","3.79","2","3001","1","0","9"
"別に顔赤くなんてなってない！\n頭がいい人が好きとか…\nかっこいいとか…\n…思ってないからね！","3","-1","12300109","vo_minigame_1012_result_1053","20","4","0.01","2","3001","1","7","4"
"スピードも正確さも完璧…\n文句なしの満点だわ！\nあんた将来、とんでもない人に\nなっちゃうんじゃない！？","1","-1","12300110","vo_minigame_1012_result_1054","20","5","0","2","3001","1","0","5"
"スピードも正確さも完璧…\n文句なしの満点だわ！\nあんた将来、とんでもない人に\nなっちゃうんじゃない！？","2","-1","12300112","vo_minigame_1012_result_1054","20","5","0","2","3001","1","0","5"
"スピードも正確さも完璧…\n文句なしの満点だわ！\nあんた将来、とんでもない人に\nなっちゃうんじゃない！？","3","-1","12300114","vo_minigame_1012_result_1054","20","5","0","2","3001","1","0","5"
"おお～かなり正解できてるわね！\nこの調子でもっとすごい点\n目指しちゃうわよ！","1","19","12300116","vo_minigame_1012_result_1056","15","5","3","2","3001","1","10","7"
"うん、バッチリいい感じよ！\nちゃんと勉強してるみたいで\n関心関心♪","1","19","12300117","vo_minigame_1012_result_1057","15","8","0.01","2","3001","1","10","8"
"え、こんなにいい点取れたのに\nまだ満足してないの？\nなによその向上心…\nいいじゃない！","1","19","12300118","vo_minigame_1012_result_1058","15","5","4.01","2","3001","1","0","8"
"スピードも正解数もいい感じよ！\nねえねえ、この調子で\nてっぺん目指しちゃう？","2","19","12300119","vo_minigame_1012_result_1059","15","8","2.83","2","3001","1","10","7"
"この難易度でも\nスラスラ答えちゃうなんて…\nあんたって\nほんとすごいやつよね…！","2","19","12300120","vo_minigame_1012_result_1060","15","10","0","2","3001","1","0","10"
"これだけ正解できたら\n勉強も楽しいわよね♪\nさ、まだまだ続けるわよ～！","2","19","12300121","vo_minigame_1012_result_1061","15","8","3.66","2","3001","1","4","7"
"あんた、この成績\nまぐれじゃないわよね…！\nこれだけできたら\n大したもんだわ！","3","19","12300122","vo_minigame_1012_result_1062","15","5","3.28","2","3001","1","0","8"
"すごい！　とってもいい成績よ！\nこの難問も、あんたにかかりゃ\nイチコロってやつ？","3","19","12300123","vo_minigame_1012_result_1063","15","8","2.7","2","3001","1","0","1"
"あんた…もしかして\nあたしより点数いいかも？\nあ、あたしもあんたを見習って\n勉強しないとね…！","3","19","12300124","vo_minigame_1012_result_1064","15","5","3.98","2","3001","1","9","9"
"うん、なかなかいい点数よ！\nでもまだまだ頑張れるわよね？\nはい、次いきましょ！","1","14","12300131","vo_minigame_1012_result_1067","10","7","2.51","2","3001","1","0","1"
"十分優秀な成績だけど\nあんたならもっとできる！\nさ、頑張って勉強するわよ！","1","14","12300132","vo_minigame_1012_result_1068","10","1","4.16","2","3001","1","0","7"
"うん、いい感じね！\nこの調子で少しずつ、\n正解数を増やしてくわよ！","1","14","12300133","vo_minigame_1012_result_1069","10","8","2.07","2","3001","1","0","7"
"難問揃いなのに、\nけっこーいい感じじゃない！\nちゃんとできてるから\n自信もっていいわよ！","2","14","12300134","vo_minigame_1012_result_1070","10","8","3.51","2","3001","1","0","1"
"難しい問題でも基礎は大事よ！\nこの調子でどんどん\n点数上げていきましょう！","2","14","12300135","vo_minigame_1012_result_1071","10","1","0","2","3001","1","0","1"
"10問以上取れてるわね！\nえ、まだ物足りない？\nフフ、じゃあもっと上\n目指しちゃう？","2","14","12300136","vo_minigame_1012_result_1072","10","1","4.3","2","3001","1","0","7"
"うん、この難問でこの点数は\n十分すぎる出来よね！\nま、あんたならもっといい点\n目指しちゃうんだろうけど♪","3","14","12300137","vo_minigame_1012_result_1073","10","8","4.47","2","3001","1","0","7"
"はいお疲れ～\nなかなか良い点数じゃない\n…あたしも勉強しないとね！","3","14","12300138","vo_minigame_1012_result_1074","10","8","3.68","2","3001","1","0","9"
"おお～10問以上\n正解してんじゃない！\nあんたやっぱり\nただ者じゃないわね～","3","14","12300139","vo_minigame_1012_result_1075","10","5","3.34","2","3001","1","0","1"
"うん正解率は申し分なしね！\nあとはもっと早く解ければ\nもっと点数は伸びてくわよ！\nこの調子で頑張っていきましょ！","1","14","12300141","vo_minigame_1012_result_1077","10","1","6.58","2","3001","1","0","8"
"うん正解率は申し分なしね！\nあとはもっと早く解ければ\nもっと点数は伸びてくわよ！\nこの調子で頑張っていきましょ！","2","14","12300143","vo_minigame_1012_result_1077","10","1","6.58","2","3001","1","0","8"
"うん正解率は申し分なしね！\nあとはもっと早く解ければ\nもっと点数は伸びてくわよ！\nこの調子で頑張っていきましょ！","3","14","12300145","vo_minigame_1012_result_1077","10","1","6.58","2","3001","1","0","8"
"ふ～ん、まあまあの出来だわ\n悪くはないんだけど…あんたには\nもっともっと期待してるわ～","1","9","12300146","vo_minigame_1012_result_1078","5","1","4.24","2","3001","1","0","7"
"うん、頑張ったけど…\n正直もっと正解できるかもね～？\nこんなのあんたには通過点！\nさらに良い点目指してみない？","1","9","12300147","vo_minigame_1012_result_1079","5","7","4.74","2","3001","1","0","1"
"まあまあな点数だけど、\n自分的に手ごたえはどう？\nダメだって思ってんなら、\nまだまだ伸びる余地ありね！","1","9","12300148","vo_minigame_1012_result_1080","5","1","0","2","3001","1","0","1"
"うん、中々の出来ね！\nでもあんたはもっといい点\n取れるはずよ！\nもっと頑張りましょうか！","2","9","12300149","vo_minigame_1012_result_1081","5","8","2.21","2","3001","1","0","1"
"ん～はっきり言って微妙ね！\nま、難しい問題だし、\n勉強すれば\n点数は上がっていくと思うわ！","2","9","12300150","vo_minigame_1012_result_1082","5","3","2.46","2","3001","1","0","1"
"ん～…\n10点には届かなかったか～\n次は10点越え目指して\n頑張ってみない？","2","9","12300151","vo_minigame_1012_result_1083","5","3","2.94","2","3001","1","0","1"
"はいお疲れ～\n点数的にはまあまあってとこね！\nま、超難問だし頑張ったわよ","3","9","12300152","vo_minigame_1012_result_1084","5","7","4.19","2","3001","1","0","1"
"うん、かなり難しい問題なのに\n最後までやり遂げたわね\n次はもっといい点目指してみる？","3","9","12300153","vo_minigame_1012_result_1085","5","1","0","2","3001","1","0","1"
"ちょっとミスが多かったかもね～\nでも間違えた所は復習して\n次は正解するわよー！","3","9","12300154","vo_minigame_1012_result_1086","5","3","2.63","2","3001","1","0","1"
"あら…あんまり良くない点数ね～\nどうしたの、調子でも悪かった？\n次はもっと頑張りましょうか","1","4","12300155","vo_minigame_1012_result_1087","1","3","5.53","2","3001","1","0","1"
"ん～…正解数は\n物足りないわね～\nもうちょっと勉強の時間\n増やしちゃおっか？","1","4","12300156","vo_minigame_1012_result_1088","1","3","0.01","2","3001","1","9","3"
"ん～…あんたならもうちょと\nいい点取れんでしょ～？\nもっと頑張んなさいよ\n期待してやってんだからさ！","1","4","12300157","vo_minigame_1012_result_1089","1","3","4.15","2","3001","1","3","1"
"ん～今のあんたには、\nこの問題は難しかったかしら…\n難易度下げてチャレンジするのも\nありかもね～？","2","4","12300158","vo_minigame_1012_result_1090","1","9","0.01","2","3001","1","9","9"
"あんまり出来は良くないわね～\n難しい問題だししょうがないけど\n次はもっと頑張ってほしいわ！","2","4","12300159","vo_minigame_1012_result_1091","1","3","5.37","2","3001","1","0","1"
"なるほど…\nちょっと苦手な問題が多かった？\nもう一度チャレンジ\nしてみましょうか～","2","4","12300160","vo_minigame_1012_result_1092","1","3","1.44","2","3001","1","0","1"
"んん～…問題が難しすぎた？\n無理に難しい問題続けるより、\n難易度下げた方が\n勉強の効率良いかもよ～？","3","4","12300161","vo_minigame_1012_result_1093","1","3","0","2","3001","1","0","3"
"…あんまり点数取れなかったわね\nこれはあたしにも難しい問題だし\nそう落ち込まなくても大丈夫！\n次頑張りましょ！","3","4","12300162","vo_minigame_1012_result_1094","1","3","2.91","2","3001","1","3","9"
"ごめん、ちょっと難しすぎた？\nもう一度チャレンジするも良し、\n難易度を下げるも良し、\nあんたがやる気なら付き合うわ！","3","4","12300163","vo_minigame_1012_result_1095","1","5","2.61","2","3001","1","0","1"
"ちょっとあんた…\nやる気ないわよね～！？\n次こんな点数取ったら\n怒るわよ！","1","0","12300164","vo_minigame_1012_result_1096","0","4","3.63","2","3001","1","1","2"
"はあ…自分で何点取ったか\n分かってるわよね～…？\n０点よ０点！　舐めてんの！？","1","0","12300165","vo_minigame_1012_result_1097","0","6","4.16","2","3001","1","1","2"
"うう～頭痛い…\nあんたのせいよ！\nなに０点って！\nはあ、このままじゃ赤点よ～…","1","0","12300166","vo_minigame_1012_result_1098","0","3","0.01","2","3001","1","6","3"
"ねえ、あんた本気でやったの？\nまさか適当にやるわけないわよね\n…分かった、\nもう一回チャレンジするのよ！","2","0","12300167","vo_minigame_1012_result_1099","0","6","5.75","2","3001","1","0","2"
"あ…あんた、０点よ０点…！\nあたしの教え方が悪かった…？\n…燃えてきたわ！\n絶対あんたの学力上げてやる！","2","0","12300168","vo_minigame_1012_result_1100","0","4","5.64","2","3001","1","1","2"
"ちょっと待って採点ミスかも…\n…いや合ってるわね。はい０点\n…って０点！？\nふざけんなーー！","2","0","12300169","vo_minigame_1012_result_1101","0","8","5.73","2","3001","1","8","4"
"あらら…０点よ\nま、難しい問題だしね…\n…つっても０点は無いわ！\n一問くらい正解しなさいよ！","3","0","12300170","vo_minigame_1012_result_1102","0","5","5.32","2","3001","1","1","3"
"残念だけど０点よ\nま、まあ前向きにとらえるなら、\n今が底よ！　どん底！\nあとは上がってくだけね！","3","0","12300171","vo_minigame_1012_result_1103","0","3","2.37","2","3001","1","9","9"
"…かなり出来が悪いわね\n一旦休憩しましょうか？\nリフレッシュして頭切り替えて\nもう一度頑張りましょう！","3","0","12300172","vo_minigame_1012_result_1104","0","9","4.25","2","3001","1","3","1"
"さ、勉強を始めるわよ","0","0","13100101","vo_minigame_1012_gamestart_100","0","7","0","3","1001","1","0","7"
"よし、勉強の成果を見てやるわ！","0","0","13100102","vo_minigame_1012_gamestart_101","0","1","0","3","1001","1","0","1"
"じゃあ試験するわよ。はい教科書閉じて！","0","0","13100103","vo_minigame_1012_gamestart_102","0","1","1.82","3","1001","1","0","7"
"やる気マンマンじゃない！","0","-1","13100201","vo_minigame_1012_gamestart_103","3","8","0.01","3","1002","1","4","8"
"よし、じゃあもう一回やるわよ！","0","-1","13100202","vo_minigame_1012_gamestart_104","3","1","0","3","1002","1","0","1"
"普通の難易度よ！","0","1","13100301","vo_minigame_1012_gamestart_105","1","0","0","3","1003","1","0","0"
"まずは基本からね！","0","1","13100302","vo_minigame_1012_gamestart_106","1","7","0","3","1003","1","0","7"
"難しい問題に挑戦するのね！","0","2","13100303","vo_minigame_1012_gamestart_107","2","10","0","3","1003","1","0","10"
"よし、あんたならできるわ！","0","2","13100304","vo_minigame_1012_gamestart_108","2","1","0.67","3","1003","1","0","8"
"あたしでも手こずる難問揃いよ…！","0","3","13100305","vo_minigame_1012_gamestart_109","3","5","0","3","1003","1","0","5"
"激ムズだけど頑張んなさい！","0","3","13100306","vo_minigame_1012_gamestart_110","3","2","0","3","1003","1","0","2"
