1065485a0fc1631b090607ad6d49376a8bc64f5216cc1b9a304cf784c6a6d1c2,e8d9647ab155d214d19ab46e4fc314360addb5b4dd8b5d89394ac0a949400193,c94bd65102a2037e006fe881bbf2c2f39469e1e1272310ee28cd2e332c34bc53,61c631e0efe6695036818b37b9705234697b7e6d91c528cec042f7f2970d6677,1c41d763dfac5eafce556f4340ac8b83dfca8855dff21a0a73b4caeb9bf3d6a7,07f783f27db3d4c0deb68d7b97fc89d1ba91726e5899382ef4cf16206f1126df,40273514123c73612929cef51236c4181a4221e1e6043717ae5536134787b393
"2","5","1","0","0","6","15"
"1","11","1","0","12","7","15"
"1","1","1","0","0","8","15"
"1","5","1","0","0","9","15"
"1","12","2","0","12","10","15"
"3","11","1","0","0","11","15"
"3","12","1","0","11","12","15"
"2","1","1","0","9","13","15"
"1","1","1","0","12","14","15"
"1","12","1","0","0","15","15"
"1","12","1","0","9","16","15"
"2","11","1","0","4","17","15"
"1","11","3","0","4","18","15"
"2","5","1","0","12","19","15"
"2","12","1","0","0","20","15"
"2","12","1","0","7","21","15"
"1","12","3","0","12","22","15"
"1","1","3","0","7","23","15"
"3","4","1","0","0","24","15"
"1","4","3","0","10","25","15"
"2","8","1","0","0","26","15"
"1","11","1","0","0","27","15"
"2","11","1","0","0","28","15"
"1","6","1","0","0","1","16"
"2","11","1","0","10","2","16"
"3","12","1","0","0","3","16"
"2","4","1","0","0","4","16"
"1","6","1","0","12","5","16"
"1","6","1","0","0","6","16"
"2","4","1","0","4","7","16"
"3","5","1","0","4","8","16"
"3","1","1","0","0","9","16"
"1","12","1","0","17","10","16"
"2","11","1","0","0","11","16"
"3","1","1","0","10","12","16"
"2","11","1","0","11","13","16"
"3","11","1","0","0","14","16"
"1","12","1","0","12","15","16"
"1","11","1","0","10","16","16"
"1","11","1","0","10","17","16"
"1","6","1","0","6","18","16"
"2","11","1","0","6","19","16"
"3","1","1","0","8","20","16"
"3","5","1","0","8","21","16"
"1","4","1","0","9","22","16"
"1","11","1","0","10","23","16"
"1","11","1","0","4","1","17"
"1","4","3","0","10","2","17"
"1","11","1","0","4","3","17"
"1","1","1","0","0","4","17"
"1","1","2","0","10","5","17"
"2","11","1","0","4","6","17"
"1","1","2","0","10","7","17"
"2","11","1","0","4","8","17"
"3","1","1","0","0","9","17"
"1","8","2","0","10","10","17"
"1","12","1","0","12","11","17"
"3","11","1","0","4","12","17"
"1","1","3","0","4","13","17"
"1","11","1","0","10","14","17"
"1","1","2","0","0","15","17"
"1","11","2","0","4","16","17"
"1","8","2","0","7","17","17"
"1","11","1","0","0","18","17"
"1","2","3","0","6","19","17"
"1","10","1","0","10","20","17"
"2","11","1","0","10","21","17"
"3","8","1","0","7","22","17"
"1","11","1","0","4","1","18"
"1","5","2","0","13","2","18"
"1","4","1","0","10","3","18"
"2","4","1","0","10","4","18"
"3","11","1","0","10","5","18"
"1","5","3","0","7","6","18"
"1","11","1","0","10","7","18"
"3","4","1","0","10","8","18"
"2","11","1","0","10","9","18"
"1","5","3","0","6","10","18"
"1","11","1","0","10","11","18"
"2","11","1","0","10","12","18"
"3","4","1","0","10","13","18"
"1","5","2","0","8","14","18"
"1","6","2","0","6","15","18"
"3","10","1","0","0","16","18"
"2","10","1","0","0","17","18"
"1","10","1","0","0","18","18"
"1","10","2","0","7","19","18"
"1","8","1","0","10","20","18"
"1","11","1","0","10","21","18"
"1","2","2","0","9","22","18"
"1","13","2","0","0","1","19"
"1","4","2","0","8","2","19"
"1","8","2","0","0","3","19"
"1","14","2","0","10","1","20"
"1","8","2","0","0","2","20"
"1","15","2","0","13","1","21"
"1","15","2","0","0","1","22"
"1","13","2","0","0","2","22"
"1","42","2","0","0","1","23"
"1","72","2","0","0","2","23"
"1","43","2","0","0","1","24"
"1","44","2","0","0","1","25"
"1","45","2","0","0","1","26"
"1","46","2","0","0","1","27"
"1","47","2","0","0","1","28"
"1","14","2","0","0","1","29"
"1","15","1","0","0","1","30"
"2","8","1","0","0","2","30"
"1","10","1","0","13","3","30"
"2","10","1","0","13","4","30"
"2","12","1","0","9","5","30"
"1","72","1","0","6","6","30"
"1","2","2","0","8","7","30"
"1","13","2","0","0","8","30"
"1","4","1","0","8","1","31"
"2","1","1","0","0","2","31"
"1","10","1","0","6","3","31"
"2","4","1","0","0","4","31"
"1","9","1","0","7","5","31"
"2","1","1","0","0","6","31"
"1","10","1","0","6","1","32"
"2","10","1","0","13","2","32"
"3","1","1","0","0","3","32"
"2","2","1","0","11","4","32"
"1","2","1","0","8","5","32"
"3","1","1","0","0","6","32"
"3","72","1","0","7","7","32"
"3","6","1","0","0","1","33"
"1","10","3","0","13","2","33"
"3","3","1","0","3","3","33"
"1","72","3","0","0","4","33"
"3","12","1","0","2","5","33"
"1","4","2","0","6","1","34"
"1","5","1","0","7","2","34"
"2","1","1","0","0","3","34"
"2","12","1","0","8","4","34"
"1","1","1","0","0","5","34"
"1","15","2","0","0","6","34"
"1","8","2","0","0","1","35"
"1","72","2","0","10","2","35"
"1","13","2","0","0","3","35"
"1","4","2","0","0","1","36"
"1","6","1","0","6","2","36"
"1","1","1","0","0","3","36"
"2","72","1","0","10","4","36"
"2","9","1","0","0","5","36"
"2","2","2","0","7","6","36"
"1","8","2","0","7","1","37"
"1","4","1","0","0","2","37"
"2","5","1","0","0","3","37"
"1","13","2","0","6","4","37"
"1","13","2","0","10","1","38"
"1","5","1","0","8","2","38"
"2","6","1","0","7","3","38"
"1","1","1","0","0","4","38"
"2","9","1","0","7","5","38"
"2","15","1","0","13","6","38"
"1","8","2","0","0","7","38"
"1","4","2","0","6","1","39"
"1","6","1","0","13","2","39"
"2","72","1","0","10","3","39"
"1","13","2","0","6","4","39"
