086c6b29c61f25c4e360bd21807090421b876a3f15cad586bd906fee3717f4c6,03fe7f038904a5745f5ca54d6ef90006235438ed2d0b1712563c909f785b3f8f,248bbd31eaee5e86a811c001f821a68a3e56f3dc6a9b5bd1e44b6cc4886695e3,7d7318d9d1d13e15d87ae0e3fd3f42da8808f4dae796102f366646b470dd6371,a5f92accea37e81a8ce0baeb7b0e0d2a8c50da5ce59455f2e3065016903d898a,d8137c848f3172cfaf575fac55cdc8b348c68e0c3634d4d63871733f9d3e72bb,1b0e68bf5130b73d63ca7a24fba75e9437c7416038dc2f3d52579416c2ced4cf,db6864f014096a9ef5d89d3aa94bc5ad94cc4c9f8f137a7f62f56906ae4c984b,cfba0448bd628eb0e6fe660493b98fed16e4932c424758fd587fb0edc05e0a5d,2cbfb3bb77442583f190149eeda36e81773139e5c066a707b8c6ac1eac09c68c,540f71d90742695410376a1934e524017a9656e4501f7f4d904645c422aa6da3
"11","4","0","0","今日の練習も\n手加減しねえ！\nしっかりついてこい！","8","3","0","1040004","0",""
"91","4","","","","","0","","1040005","",""
"3","4","0.2","","pkb_idle_normal_l","1","3","","1040006","",""
"5","5","57","pkb_idle_normal_l","3","100","3","64","1050001","-155","1"
"3","5","0.2","","pkb_talk_arm_crossed_l","0","3","pkb_idle_arm_crossed_l","1050002","1","0.2"
"21","5","","","vo_minigame_1006_top_602","0","vo_minigame_1006","0","1050003","",""
"11","5","0","0","おーし！\n気合いいれて\n練習すんぞー！","8","3","0","1050004","0",""
"93","5","","","","","2","","1050005","",""
"3","5","0.2","","pkb_talk_handsup_l","0","3","pkb_idle_normal_l","1050006","1","0.2"
"91","5","","","","","1050004","","1050007","",""
"3","5","0.2","","pkb_idle_normal_l","1","3","","1050008","",""
"5","6","57","pkb_idle_normal_l","3","100","3","64","1060001","-155","1"
"3","6","0.2","","pkb_talk_arm_crossed_l","0","3","pkb_idle_arm_crossed_l","1060002","1","0.2"
"21","6","","","vo_minigame_1006_top_603","0","vo_minigame_1006","0","1060003","",""
"11","6","0","0","練習だからって\nだらしねえとこ\n見せるんじゃねえぞ？","8","3","0","1060004","0",""
"93","6","","","","","3","","1060005","",""
"3","6","0.2","","pkb_talk_guts_l","0","3","pkb_idle_guts_l","1060006","1",""
"91","6","","","","","1060004","","1060007","",""
"3","6","0.2","","pkb_idle_normal_l","1","3","","1060008","",""
"1","7","1.65","pkb_idle_normal","113411","100","1","64","1070001","-175","1"
"3","7","0.2","","pkb_talk_fun","0","113411","pkb_talk_joy1","1070002","1","0.2"
"21","7","","","vo_minigame_1006_top_201","0","vo_minigame_1006","0","1070003","",""
"11","7","0","0","フレーフレー！\n今日もファイトだよ！\n張り切っていこー！","8","113411","0","1070004","0","0"
"93","7","","","","","3.4","","1070005","",""
"3","7","0.2","","pkb_talk_handsup","0","113411","pkb_idle_normal","1070006","1","0.2"
"91","7","","","","","1070004","","1070007","",""
"3","7","0.2","","pkb_idle_normal","1","113411","","1070008","",""
"1","8","1.65","pkb_idle_normal","113411","100","1","64","1080001","-175","1"
"3","8","0.2","","pkb_talk_joy2","1","113411","","1080002","",""
"21","8","","","vo_minigame_1006_top_202","0","vo_minigame_1006","0","1080003","",""
"11","8","0","-1","ハツネちゃんも\n練習のお手伝いを\nしちゃうのだ～！\nきらーん☆","8","113411","0","1080004","0","0"
"93","8","","","","","3.6","","1080005","",""
"3","8","0.2","","pkb_hatsune_kiran","0","113411","","1080006","",""
"91","8","","","","","1080004","","1080007","",""
"3","8","0.2","","pkb_idle_normal","1","113411","","1080008","",""
"1","9","1.65","pkb_idle_normal","113411","100","1","64","1090001","-175","1"
"3","9","0.2","","pkb_talk_joy2","1","113411","","1090002","",""
"21","9","","","vo_minigame_1006_top_203","0","vo_minigame_1006","0","1090003","",""
"11","9","0","0","私も投げてみたいな！\n超能りょ…じゃなくて\n魔法で、すごい球を\n投げちゃうよ！","6","113411","0","1090004","0","0"
"93","9","","","","","3","","1090005","",""
"3","9","0.2","","pkb_surprise","0","113411","pkb_idle_surprise1","1090006","1","0.2"
"93","9","","","","","1","","1090007","",""
"3","9","0.2","","pkb_talk_joy3","1","113411","","1090008","",""
"91","9","","","","","1090004","","1090009","",""
"3","9","0.2","","pkb_idle_normal","1","113411","","1090010","",""
"1","10","1.65","pkb_idle_normal","106531","100","1","64","1100001","-175","1"
"3","10","0.2","","pkb_talk_arm_crossed","0","106531","pkb_idle_arm_crossed","1100002","1",""
"21","10","","","vo_minigame_1006_top_301","0","vo_minigame_1006","0","1100003","",""
"11","10","0","0","なあ、練習始めようぜ\n早く投げたくて\nウズウズしてるんだ！","8","106531","0","1100004","0","0"
"93","10","","","","","2.8","","1100005","",""
"3","10","0.2","","pkb_talk_joy1","1","106531","","1100006","",""
"91","10","","","","","1100004","","1100007","",""
"3","10","0.2","","pkb_idle_normal","1","106531","","1100008","",""
"1","11","1.65","pkb_idle_normal","106531","100","1","64","1110001","-175","1"
"3","11","0.2","","pkb_talk_normal","1","106531","","1110002","",""
"21","11","","","vo_minigame_1006_top_302","0","vo_minigame_1006","0","1110003","",""
"11","11","0","0","オレ様の特訓は\n半端じゃねえぜ\n覚悟しとけよ？","8","106531","0","1110004","0","0"
"93","11","","","","","3.2","","1110005","",""
"3","11","0.2","","pkb_talk_arm_crossed","0","106531","pkb_idle_arm_crossed","1110006","1","0.2"
"91","11","","","","","1110004","","1110007","",""
"3","11","0.2","","pkb_idle_normal","1","106531","","1110008","",""
"1","12","1.65","pkb_idle_normal","106531","100","1","64","1120001","-175","1"
"3","12","0.2","","pkb_talk_arm_crossed","0","106531","pkb_idle_arm_crossed","1120002","1","0.2"
"21","12","","","vo_minigame_1006_top_303","0","vo_minigame_1006","0","1120003","",""
"11","12","0","0.5","威勢がいいのは口だけ\nじゃねえってとこ\n見せてくれよな？","8","106531","0","1120004","0","0"
"93","12","","","","","3.2","","1120005","",""
"3","12","0.2","","pkb_talk_doya","0","106531","pkb_idle_doya","1120006","1",""
"91","12","","","","","1120004","","1120007","",""
"3","12","0.2","","pkb_idle_normal","1","106531","","1120008","",""
"1","13","1.65","pkb_idle_normal","102311","100","1","64","1130001","-175","1"
"3","13","0.2","","pkb_talk_fun","0","102311","pkb_talk_joy1","1130002","1","0.4"
"21","13","","","vo_minigame_1006_top_401","0","vo_minigame_1006","0","1130003","",""
"11","13","0","0","今日も打っちゃうよ！\n一緒にがんばろうね\nぷうきち！","8","102311","0","1130004","0","0"
"91","13","","","","","1130004","","1130005","",""
"3","13","0.2","","pkb_idle_normal","1","102311","","1130006","",""
"1","14","1.65","pkb_idle_normal","102311","100","1","64","1140001","-175","1"
"3","14","0.2","","pkb_talk_joy1","1","102311","","1140002","",""
"21","14","","","vo_minigame_1006_top_402","0","vo_minigame_1006","0","1140003","",""
"11","14","0","0","全部ホームラン\n打てばいいんだよね？\nそれくらい簡単だよ！","8","102311","0","1140004","0","0"
"93","14","","","","","3","","1140005","",""
"3","14","0.2","","pkb_talk_doya","0","102311","pkb_idle_doya","1140006","1",""
"91","14","","","","","1140004","","1140007","",""
"3","14","0.2","","pkb_idle_normal","1","102311","","1140008","",""
"1","15","1.65","pkb_idle_normal","102311","100","1","64","1150001","-175","1"
"3","15","0.2","","pkb_talk_wish","1","102311","","1150002","",""
"21","15","","","vo_minigame_1006_top_403","0","vo_minigame_1006","0","1150003","",""
"11","15","0","-0.5","お兄ちゃんたちの\nお手本になれる\nように、いっぱい\n打つからね！","8","102311","0","1150004","0","0"
"93","15","","","","","2.4","","1150005","",""
"3","15","0.2","","pkb_talk_fun","0","102311","pkb_talk_joy1","1150006","1","0.4"
"91","15","","","","","1150004","","1150007","",""
"3","15","0.2","","pkb_idle_normal","1","102311","","1150008","",""
"5","16","57","pkb_idle_normal_l","1","100","1","64","1160001","-155","1"
"3","16","0.2","","pkb_talk_arm_crossed_l","0","1","pkb_idle_arm_crossed_l","1160002","1","0.2"
"21","16","","","vo_minigame_1006_top_701","0","vo_minigame_1006","0","1160003","",""
"11","16","0","0","全国大会を目指して\n今日も練習頑張ろう！","8","1","0","1160004","0","0"
"93","16","","","","","2.6","","1160005","",""
"3","16","0.2","","pkb_talk_doya_l","0","1","pkb_idle_doya_l","1160006","1","0.2"
"91","16","","","","","1160004","","1160007","",""
"3","16","0.2","","pkb_idle_normal_l","1","1","","1160008","",""
"5","17","57","pkb_idle_normal_l","1","100","1","64","1170001","-155","1"
"3","17","0.2","","pkb_talk_guts_l","0","1","pkb_idle_guts_l","1170002","1",""
"21","17","","","vo_minigame_1006_top_702","0","vo_minigame_1006","0","1170003","",""
"11","17","0","0","夢を叶えるために\n全力で練習に\n取り組もう！","8","1","0","1170004","0","0"
"91","17","","","","","0","","1170005","",""
"3","17","0.2","","pkb_idle_normal_l","1","1","","1170006","",""
"5","18","57","pkb_idle_normal_l","1","100","1","64","1180001","-155","1"
"3","18","0.2","","pkb_talk_arm_crossed_l","0","1","pkb_idle_arm_crossed_l","1180002","1","0.2"
"21","18","","","vo_minigame_1006_top_703","0","vo_minigame_1006","0","1180003","",""
"11","18","0","0","部員のみんなも\nすごく上達してる…\n俺も負けてられない！","8","1","0","1180004","0","0"
"93","18","","","","","2.9","","1180005","",""
"3","18","0.2","","pkb_talk_guts_l","0","1","pkb_idle_guts_l","1180006","1",""
"91","18","","","","","1180004","","1180007","",""
"3","18","0.2","","pkb_idle_normal_l","1","1","","1180008","",""
"5","19","57","pkb_idle_normal_l","2","100","2","64","1190001","-155","1"
"3","19","0.2","","pkb_talk_arm_crossed_l","0","2","pkb_idle_arm_crossed_l","1190002","1","0.2"
"21","19","","","vo_minigame_1006_top_801","0","vo_minigame_1006","0","1190003","",""
"11","19","0","0","上達してるってとこ\n見せてやる\nオレだって選手なんだ","8","2","0","1190004","0","0"
"93","19","","","","","3.8","","1190005","",""
"3","19","0.2","","pkb_talk_guts_l","0","2","pkb_idle_guts_l","1190006","1",""
"91","19","","","","","1190004","","1190007","",""
"3","19","0.2","","pkb_idle_normal_l","1","2","","1190008","",""
"5","20","57","pkb_idle_normal_l","2","100","2","64","1200001","-155","1"
"3","20","0.2","","pkb_talk_guts_l","0","2","pkb_idle_guts_l","1200002","1",""
"21","20","","","vo_minigame_1006_top_802","0","vo_minigame_1006","0","1200003","",""
"11","20","0","0","今日もかっとばす\n遠慮せず全力で\nかかってこい","8","2","0","1200004","0","0"
"93","20","","","","","3.2","","1200005","",""
"3","20","0.2","","pkb_talk_doya_l","0","2","pkb_idle_doya_l","1200006","1",""
"91","20","","","","","1200004","","1200007","",""
"3","20","0.2","","pkb_idle_normal_l","1","2","","1200008","",""
"5","21","57","pkb_idle_normal_l","2","100","2","64","1210001","-155","1"
"3","21","0.2","","pkb_talk_arm_crossed_l","0","2","pkb_idle_arm_crossed_l","1210002","1","0.2"
"21","21","","","vo_minigame_1006_top_803","0","vo_minigame_1006","0","1210003","",""
"11","21","0","0","全国を目指してんだ\nもっと練習しなきゃ\nいけねえよな","8","2","0","1210004","0","0"
"91","21","","","","","0","","1210005","",""
"3","21","0.2","","pkb_idle_normal_l","1","2","","1210006","",""
"1","22","1.6","pkb_idle_normal","113511","100","1","-20","1220001","-150","0"
"1","22","1.6","pkb_idle_normal","113411","100","1","170","1220002","-150","1"
"3","22","0.2","","pkb_talk_joy1","1","113511","","1220003","",""
"21","22","","","vo_minigame_1006_top_talk_1_101","0","vo_minigame_1006","0","1220004","",""
"11","22","0","-0.5","ふふ、みんなすごく\n張り切ってるわね\nハツネちゃんの応援の\nおかげかしら♪","6","113511","0","1220005","0","0"
"91","22","","","","","0","","1220006","",""
"3","22","0.2","","pkb_idle_normal","1","113511","","1220007","",""
"3","22","0.2","","pkb_talk_joy1","1","113411","","1220008","",""
"21","22","","","vo_minigame_1006_top_talk_1_202","0","vo_minigame_1006","0","1220009","",""
"11","22","0","-0.5","そうかなー？\nじゃあもっと応援\nがんばっちゃうぞ～！","6","113411","0","1220010","0","0"
"93","22","","","","","4","","1220011","",""
"3","22","0.2","","pkb_talk_handsup","0","113411","pkb_idle_normal","1220012","1","0"
"91","22","","","","","1220010","","1220013","",""
"3","22","0.2","","pkb_idle_normal","1","113411","","1220014","",""
"1","23","1.6","pkb_idle_normal","113411","100","1","170","1230001","-150","1"
"1","23","1.6","pkb_idle_normal","113511","100","1","-20","1230002","-150","0"
"3","23","0.2","","pkb_talk_normal","1","113411","","1230003","",""
"21","23","","","vo_minigame_1006_top_talk_2_201","0","vo_minigame_1006","0","1230004","",""
"11","23","0","-1.5","ミサト先生も一緒に\n応援しようよ！","8","113411","0","1230005","0","0"
"91","23","","","","","0","","1230006","",""
"3","23","0.2","","pkb_idle_normal","1","113411","","1230007","",""
"3","23","0.2","","pkb_talk_normal","1","113511","","1230008","",""
"21","23","","","vo_minigame_1006_top_talk_2_102","0","vo_minigame_1006","0","1230009","",""
"11","23","0","3","あらあら\n楽しそうね～♪\nフレーフレー！","5","113511","0","1230010","0","0"
"93","23","","","","","4","","1230011","",""
"3","23","0.2","","pkb_talk_fun","0","113511","pkb_talk_fun","1230012","0","0.2"
"93","23","","","","","2.7","","1230013","",""
"3","23","0.2","","pkb_idle_normal","0","113511","pkb_talk_joy1","1230014","1","0.2"
"91","23","","","","","1230010","","1230015","",""
"3","23","0.2","","pkb_idle_normal","1","113511","","1230016","",""
"1","24","1.6","pkb_idle_normal","113511","100","1","170","1240001","-150","1"
"5","24","55","pkb_idle_normal","3","100","3","-20","1240002","-130","0"
"3","24","0.2","","pkb_talk_joy3","1","113511","","1240003","",""
"21","24","","","vo_minigame_1006_top_talk_3_101","0","vo_minigame_1006","0","1240004","",""
"11","24","0","-1","ダイチくんったら\nすごい気合いね～！\nでも、無理しちゃ\n駄目ですよ～？","6","113511","0","1240005","0","0"
"93","24","","","","","4","","1240006","",""
"3","24","0.2","","pkb_talk_wish","1","113511","","1240007","",""
"91","24","","","","","1240005","","1240008","",""
"3","24","0.2","","pkb_idle_normal","1","113511","","1240009","",""
"3","24","0.2","","pkb_talk_normal","1","3","","1240010","",""
"21","24","","","vo_minigame_1006_top_talk_3_602","0","vo_minigame_1006","0","1240011","",""
"11","24","0","-1","わかってるっつーの\nけどよ、ビーチベース\nボールが楽しくて\n仕方ねえんだよ！","6","3","0","1240012","0","0"
"93","24","","","","","2","","1240013","",""
"3","24","0.2","","pkb_talk_doya","0","3","pkb_idle_doya","1240014","1",""
"91","24","","","","","1240012","","1240015","",""
"3","24","0.2","","pkb_idle_normal","1","3","","1240016","",""
"5","25","55","pkb_idle_normal","3","100","3","-20","1250001","-130","0"
"1","25","1.6","pkb_idle_normal","113511","100","1","170","1250002","-150","1"
"3","25","0.2","","pkb_talk_arm_crossed","0","3","pkb_idle_arm_crossed","1250003","1","0.2"
"21","25","","","vo_minigame_1006_top_talk_4_601","0","vo_minigame_1006","0","1250004","",""
"11","25","0","-0.5","今の俺たちなら\n全国行けるぜ！\n絶対に夢を\n叶えようぜ！","8","3","0","1250005","0","0"
"93","25","","","","","3","","1250006","",""
"3","25","0.2","","pkb_talk_guts","0","3","pkb_idle_guts","1250007","1",""
"91","25","","","","","1250005","","1250008","",""
"3","25","0.2","","pkb_idle_normal","1","3","","1250009","",""
"3","25","0.2","","pkb_talk_wish","1","113511","","1250010","",""
"21","25","","","vo_minigame_1006_top_talk_4_102","0","vo_minigame_1006","0","1250011","",""
"11","25","0","1","ええ、あなたたちなら\n行けるって信じてるわ\n頑張りましょう～♪","6","113511","0","1250012","0","0"
"93","25","","","","","5.6","","1250013","",""
"3","25","0.2","","pkb_talk_handsup","0","113511","pkb_idle_normal","1250014","1","0.2"
"91","25","","","","","0","","1250015","",""
"3","25","0.2","","pkb_idle_normal","1","113511","","1250016","",""
"1","26","1.6","pkb_idle_normal","113511","100","1","170","1260001","-150","1"
"5","26","55","pkb_idle_normal","1","100","1","-20","1260002","-130","0"
"3","26","0.2","","pkb_talk_joy3","1","113511","","1260003","",""
"21","26","","","vo_minigame_1006_top_talk_5_101","0","vo_minigame_1006","0","1260004","",""
"11","26","0","0","ふふ、先生も\n練習のお手伝いを\nしますからね～","6","113511","0","1260005","0","0"
"91","26","","","","","0","","1260006","",""
"3","26","0.2","","pkb_idle_normal","1","113511","","1260007","",""
"3","26","0.2","","pkb_talk_guts","0","1","pkb_idle_guts","1260008","1","0.2"
"21","26","","","vo_minigame_1006_top_talk_5_702","0","vo_minigame_1006","0","1260009","",""
"11","26","0","-1","先生、ありがとう\nございます！\n俺も気合い入れて\n頑張ります！","8","1","0","1260010","0","0"
"91","26","","","","","0","","1260011","",""
"3","26","0.2","","pkb_idle_normal","1","1","","1260012","",""
"5","27","55","pkb_idle_normal","1","100","1","-20","1270001","-130","0"
"1","27","1.6","pkb_idle_normal","113511","100","1","170","1270002","-150","1"
"3","27","0.2","","pkb_talk_arm_crossed","0","1","pkb_idle_arm_crossed","1270003","1","0.2"
"21","27","","","vo_minigame_1006_top_talk_6_701","0","vo_minigame_1006","0","1270004","",""
"11","27","0","-0.5","今日もボールが\nピカピカだ…\nきっと先生が\n磨いてくれたんだ…！","8","1","0","1270005","0","0"
"93","27","","","","","2.6","","1270006","",""
"3","27","0.2","","pkb_talk_guts","0","1","pkb_idle_guts","1270007","1","0.2"
"91","27","","","","","1270005","","1270008","",""
"3","27","0.2","","pkb_idle_normal","1","1","","1270009","",""
"3","27","0.2","","pkb_talk_joy3","1","113511","","1270010","",""
"21","27","","","vo_minigame_1006_top_talk_6_102","0","vo_minigame_1006","0","1270011","",""
"11","27","0","0.5","私にできることを\nしただけですよ～\nみんなが気持ちよく\n練習できたらなって♪","6","113511","0","1270012","0","0"
"93","27","","","","","4","","1270013","",""
"3","27","0.2","","pkb_talk_wish","1","113511","","1270014","",""
"91","27","","","","","1270012","","1270015","",""
"3","27","0.2","","pkb_idle_normal","1","113511","","1270016","",""
"1","28","1.6","pkb_idle_normal","113411","100","1","170","1280001","-150","1"
"5","28","55","pkb_idle_normal","3","100","3","-20","1280002","-130","0"
"3","28","0.2","","pkb_talk_yell","0","113411","pkb_talk_joy1","1280003","1","0.2"
"21","28","","","vo_minigame_1006_top_talk_7_201","0","vo_minigame_1006","0","1280004","",""
"11","28","0","-0.5","みんな、頑張れ～♪\nかっこいいところ\n期待してるよー！\nファイトファイト～！","8","113411","0","1280005","0","0"
"93","28","","","","","4.6","","1280006","",""
"3","28","0.2","","pkb_talk_fun","0","113411","pkb_idle_normal","1280007","1","0.2"
"91","28","","","","","1280005","","1280008","",""
"3","28","0.2","","pkb_idle_normal","1","113411","","1280009","",""
"3","28","0.2","","pkb_talk_guts","0","3","pkb_idle_guts","1280010","1",""
"21","28","","","vo_minigame_1006_top_talk_7_602","0","vo_minigame_1006","0","1280011","",""
"11","28","0","0","応援が沁みるぜ…\nハツネちゃんに\nいいとこ見せるぞ！\nうおおぉぉ！！","8","3","0","1280012","0","0"
"93","28","","","","","5","","1280013","",""
"3","28","0.2","","pkb_talk_handsup","0","3","pkb_idle_normal","1280014","1",""
"91","28","","","","","1280012","","1280015","",""
"3","28","0.2","","pkb_idle_normal","1","3","","1280016","",""
"5","29","55","pkb_idle_normal","3","100","3","-20","1290001","-130","0"
"1","29","1.6","pkb_idle_normal","113411","100","1","170","1290002","-150","1"
"3","29","0.2","","pkb_talk_arm_crossed","0","3","pkb_idle_arm_crossed","1290003","1","0.2"
"21","29","","","vo_minigame_1006_top_talk_8_601","0","vo_minigame_1006","0","1290004","",""
"11","29","0","-1","かなりハードな練習に\nなりそうなんだ\nビシッと気合いが入る\n応援を頼むぜ！","8","3","0","1290005","0","0"
"93","29","","","","","2.8","","1290006","",""
"3","29","0.2","","pkb_talk_guts","0","3","pkb_idle_guts","1290007","1",""
"91","29","","","","","1290005","","1290008","",""
"3","29","0.2","","pkb_idle_normal","1","3","","1290009","",""
"3","29","0.2","","pkb_talk_joy1","1","113411","","1290010","",""
"21","29","","","vo_minigame_1006_top_talk_8_202","0","vo_minigame_1006","0","1290011","",""
"11","29","0","-0.5","任せてよ！\nいつもよりいっぱい\n応援しちゃうよ～！","8","113411","0","1290012","0","0"
"93","29","","","","","2.2","","1290013","",""
"3","29","0.2","","pkb_talk_fun","0","113411","pkb_smile","1290014","0","0.4"
"93","29","","","","","2.2","","1290015","",""
"3","29","0.2","","pkb_idle_normal","1","113411","","1290016","",""
"91","29","","","","","1290012","","1290017","",""
"3","29","0.2","","pkb_idle_normal","1","113411","","1290018","",""
"1","30","1.6","pkb_idle_normal","113411","100","1","170","1300001","-150","1"
"5","30","55","pkb_idle_normal","1","100","1","-20","1300002","-130","0"
"3","30","0.2","","pkb_talk_joy1","1","113411","","1300003","",""
"21","30","","","vo_minigame_1006_top_talk_9_201","0","vo_minigame_1006","0","1300004","",""
"11","30","0","1","いっぱい応援するから\n今日も練習頑張ってね\n目指せ、全国大会～！","8","113411","0","1300005","0","0"
"93","30","","","","","5","","1300006","",""
"3","30","0.2","","pkb_talk_handsup","0","113411","pkb_idle_normal","1300007","1",""
"91","30","","","","","1300005","","1300008","",""
"3","30","0.2","","pkb_idle_normal","1","113411","","1300009","",""
"3","30","0.2","","pkb_talk_normal","1","1","","1300010","",""
"21","30","","","vo_minigame_1006_top_talk_9_702","0","vo_minigame_1006","0","1300011","",""
"11","30","0","-1","ハツネちゃんの応援は\n俺たちの力に\nなってるよ\nいつもありがとう！","8","1","0","1300012","0","0"
"93","30","","","","","3.3","","1300013","",""
"3","30","0.2","","pkb_talk_guts","0","1","pkb_idle_guts","1300014","1",""
"91","30","","","","","1300012","","1300015","",""
"3","30","0.2","","pkb_idle_normal","1","1","","1300016","",""
"5","31","55","pkb_idle_normal","1","100","1","-20","1310001","-130","0"
"1","31","1.6","pkb_idle_normal","113411","100","1","170","1310002","-150","1"
"3","31","0.2","","pkb_talk_arm_crossed","0","1","pkb_idle_arm_crossed","1310003","1","0.2"
"21","31","","","vo_minigame_1006_top_talk_10_701","0","vo_minigame_1006","0","1310004","",""
"11","31","0","-1.5","キャプテンとして\nもっと上手くなって\nみんなを引っ張って\nいかないと！","8","1","0","1310005","0","0"
"93","31","","","","","3.6","","1310006","",""
"3","31","0.2","","pkb_talk_doya","0","1","pkb_idle_doya","1310007","1",""
"91","31","","","","","1310005","","1310008","",""
"3","31","0.2","","pkb_idle_normal","1","1","","1310009","",""
"3","31","0.2","","pkb_talk_joy1","1","113411","","1310010","",""
"21","31","","","vo_minigame_1006_top_talk_10_202","0","vo_minigame_1006","0","1310011","",""
"11","31","0","-0.5","おっ、アサヒくん！\n気合い入ってるね！\nその意気なのだ～！\n頑張れ頑張れ～☆","8","113411","0","1310012","0","0"
"93","31","","","","","3.6","","1310013","",""
"3","31","0.2","","pkb_talk_fun","0","113411","pkb_talk_fun","1310014","0",""
"93","31","","","","","3","","1310015","",""
"3","31","0.2","","pkb_idle_normal","1","113411","","1310016","",""
"91","31","","","","","1310012","","1310017","",""
"5","32","55","pkb_idle_normal","2","100","2","-20","1320001","-130","0"
"1","32","1.6","pkb_idle_normal","113411","100","1","170","1320002","-150","1"
"3","32","0.2","","pkb_talk_guts","0","2","pkb_idle_guts","1320003","1",""
"21","32","","","vo_minigame_1006_top_talk_11_801","0","vo_minigame_1006","0","1320004","",""
"11","32","0","0","ハツネちゃん…\nホームラン打つって\n約束するから\nしっかり見ててくれよ","8","2","0","1320005","0","0"
"93","32","","","","","5","","1320006","",""
"3","32","0.2","","pkb_talk_doya","0","2","pkb_idle_doya","1320007","1",""
"91","32","","","","","1320005","","1320008","",""
"3","32","0.2","","pkb_idle_normal","1","2","","1320009","",""
"3","32","0.2","","pkb_talk_joy2","1","113411","","1320010","",""
"21","32","","","vo_minigame_1006_top_talk_11_202","0","vo_minigame_1006","0","1320011","",""
"11","32","0","0","うん、わかった！\n特大ホームランを\nよろしくねー！\n期待してるよ～！","8","113411","0","1320012","0","0"
"93","32","","","","","4.6","","1320013","",""
"3","32","0.2","","pkb_hatsune_kiran","0","113411","pkb_idle_normal","1320014","1","0.2"
"91","32","","","","","1320012","","1320015","",""
"3","32","0.2","","pkb_idle_normal","1","113411","","1320016","",""
"1","33","1.6","pkb_idle_normal","102311","100","1","170","1330001","-150","1"
"5","33","55","pkb_idle_normal","2","100","2","-20","1330002","-130","0"
"3","33","0.2","","pkb_talk_normal","1","102311","","1330003","",""
"21","33","","","vo_minigame_1006_top_talk_12_401","0","vo_minigame_1006","0","1330004","",""
"11","33","0","-0.5","声出し練習やろうよ！\n「ぷうきち\nフルスイング」って\n大声で百回～！","8","102311","0","1330005","0","0"
"93","33","","","","","1.6","","1330006","",""
"3","33","0.2","","pkb_talk_yell","0","102311","pkb_talk_joy1","1330007","1","0.2"
"91","33","","","","","1330005","","1330008","",""
"3","33","0.2","","pkb_idle_normal","1","102311","","1330009","",""
"21","33","","","vo_minigame_1006_top_talk_12_802","0","vo_minigame_1006","0","1330010","",""
"11","33","0","0","ぷ、ぷうきち\nフルスイーング！\n…これはこれで\nキツい練習だな","8","2","0","1330011","0","0"
"93","33","","","","","0.5","","1330012","",""
