ab93da6b965defca5f7e01cb2bb7c29140812a8682e17c8c8ff01bf63a0333d9,e6727d5b8d13ae59aba0f7b3e76b4436961a60fb8405cf0146ef341f023fd452,ac1f23480a2e5e662be6b9c081625f80053641235f2167fdacd7a30dccfa5179,07a97849958f304cd0a91999bcd0322264d898f0a5c96f669231989f1f5766a9,133383170906389e9339844c7fa34eee61666637849c37bfbe6f80b59dc2b7eb,11bf5647ea80543c92d15d126990244fb58e20114db7bf06d61dcd05dd60b06c,2a85d5f924c779ba2726fc3c48bbd40b9dde71d4defb92796d0c34e19a8dda38,85b1bdee51560119c624a3cd62b5cf5c34ca42389f1c55b6ab76d1efc429a51c,a7a3a67d65cd3932840804dc3df5fedd58be895e5ecedd899b099a1374faf042,7bea53605f45604fe378baab4ca46aeddd0b31e53cfc4e77bfcf7553a6405ddf,dfc1adab06c43c05db09901a9169bb473ae431950de5d7205ce171f28692995e
"<weapon>_idle","62","1003005","2","1","0","0.68","-780","-250","103110029","311"
"","-500","1003001","10012","31","0","1","-250","0.68","103110030","311"
"","-570","1003002","10012","31","0","1","-175","0.68","103110031","311"
"","-640","1003003","10012","31","0","1","-265","0.68","103110032","311"
"","-710","1003004","10012","31","0","1","-175","0.68","103110033","311"
"","-780","1003005","10012","31","0","1","-250","0.68","103110034","311"
"","0","10030","10030","31","","0","0","1","103110035","311"
"","0","10031","10031","31","","0","0","1","103110036","311"
"","","0","","91","","","","","103110037","311"
"","","1","10030","32","","","","","103110038","311"
"","","0","0","91","","","","","103110039","311"
"","1","<weapon>_run","1001001","3","","0","","0","103110040","311"
"","1","<weapon>_run","1001002","3","","0","","0","103110041","311"
"","1","<weapon>_run","1001003","3","","0","","0","103110042","311"
"","1","<weapon>_run","1001004","3","","0","","0","103110043","311"
"","1","<weapon>_run","1001005","3","","0","","0","103110044","311"
"","-240","950","1001001","2","","","3","0","103110045","311"
"","-165","880","1001002","2","","","3","0","103110046","311"
"","-255","810","1001003","2","","","3","0","103110047","311"
"","-165","740","1001004","2","","","3","0","103110048","311"
"","-240","670","1001005","2","","","3","0","103110049","311"
"","-240","950","1001001","33","","","3","0","103110050","311"
"","-165","880","1001002","33","","","3","0","103110051","311"
"","-255","810","1001003","33","","","3","0","103110052","311"
"","-165","740","1001004","33","","","3","0","103110053","311"
"","-240","670","1001005","33","","","3","0","103110054","311"
"","1","<weapon>_run","1002001","3","","0","","0","103110055","311"
"","1","<weapon>_run","1002002","3","","0","","0","103110056","311"
"","1","<weapon>_run","1002003","3","","0","","0","103110057","311"
"","1","<weapon>_run","1002004","3","","0","","0","103110058","311"
"","1","<weapon>_run","1002005","3","","0","","0","103110059","311"
"","-60","700","1002001","2","","","3","0","103110060","311"
"","15","630","1002002","2","","","3","0","103110061","311"
"","-75","560","1002003","2","","","3","0","103110062","311"
"","15","490","1002004","2","","","3","0","103110063","311"
"","-60","420","1002005","2","","","3","0","103110064","311"
"","-60","700","1002001","33","","","3","0","103110065","311"
"","15","630","1002002","33","","","3","0","103110066","311"
"","-75","560","1002003","33","","","3","0","103110067","311"
"","15","490","1002004","33","","","3","0","103110068","311"
"","-60","420","1002005","33","","","3","0","103110069","311"
"","1","<weapon>_run","1003001","3","","0","","0","103110070","311"
"","1","<weapon>_run","1003002","3","","0","","0","103110071","311"
"","1","<weapon>_run","1003003","3","","0","","0","103110072","311"
"","1","<weapon>_run","1003004","3","","0","","0","103110073","311"
"","1","<weapon>_run","1003005","3","","0","","0","103110074","311"
"","-250","450","1003001","2","","","3","0","103110075","311"
"","-175","380","1003002","2","","","3","0","103110076","311"
"","-265","310","1003003","2","","","3","0","103110077","311"
"","-175","240","1003004","2","","","3","0","103110078","311"
"","-250","170","1003005","2","","","3","0","103110079","311"
"","-250","450","1003001","33","","","3","0","103110080","311"
"","-175","380","1003002","33","","","3","0","103110081","311"
"","-265","310","1003003","33","","","3","0","103110082","311"
"","-175","240","1003004","33","","","3","0","103110083","311"
"","-250","170","1003005","33","","","3","0","103110084","311"
"","","1","10020","32","","","","","103110085","311"
"","","0","2.5","93","","","","","103110086","311"
"","","1","10031","32","","","","","103110087","311"
"","","0","0.4","93","","","","","103110088","311"
"","","0","0","91","","","","","103110089","311"
