2f2db5ca78ba7d5a193fa4754362ccc837604abbfbdaf34e0ed0b7bc845a25e4,3f6e611f03b2a1e1cff08ed8f7a32f8eefae3422a3c11fda707b8d76cfe95464,05edf8e6412959516ed6c8c5e63ba4cf493dc4266e7d3e5923c5af74e3de4d57,66c35c7a961a9d0f99f9f4f3795bb7bb7689398132e5c57e9e119ba51dbfd78b,6bb119b28de1d3aa16d3d9ac02dab522f143acff351f65142711d14518f3fce2
"500000302","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","75000003","17","ＴＰ上昇上限付与"
"500000303","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","75000003","boss_def_lower_limit","物理防御力（ダウン不可）アップ"
"500000304","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","75000003","boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ"
"500000305","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","75000003","9","ＨＰ吸収ダウン"
"500000306","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","75000003","boss_tp_down_cut","ＴＰダウンカット"
"500000401","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","75000004","18","ダメージ減衰"
"500000402","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","75000004","17","ＴＰ上昇上限付与"
"500000403","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","75000004","boss_def_lower_limit","物理防御力（ダウン不可）アップ"
"500000404","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","75000004","boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ"
"500000405","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","75000004","9","ＨＰ吸収ダウン"
"500000406","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","75000004","boss_tp_down_cut","ＴＰダウンカット"
"500000501","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","75000005","18","ダメージ減衰"
"500000502","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","75000005","17","ＴＰ上昇上限付与"
"500000503","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","75000005","boss_def_lower_limit","物理防御力（ダウン不可）アップ"
"500000504","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","75000005","boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ"
"500000505","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","75000005","9","ＨＰ吸収ダウン"
"500000506","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","75000005","boss_tp_down_cut","ＴＰダウンカット"
"500000601","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","75000006","18","ダメージ減衰"
"500000602","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","75000006","17","ＴＰ上昇上限付与"
"500000603","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","75000006","boss_def_lower_limit","物理防御力（ダウン不可）アップ"
"500000604","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","75000006","boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ"
"500000605","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","75000006","9","ＨＰ吸収ダウン"
"500000606","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","75000006","boss_tp_down_cut","ＴＰダウンカット"
"500000701","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","75000007","18","ダメージ減衰"
"500000702","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","75000007","17","ＴＰ上昇上限付与"
"500000703","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","75000007","boss_def_lower_limit","物理防御力（ダウン不可）アップ"
"500000704","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","75000007","boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ"
"500000705","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","75000007","9","ＨＰ吸収ダウン"
"500000706","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","75000007","boss_tp_down_cut","ＴＰダウンカット"
"500000801","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","75000008","18","ダメージ減衰"
"500000802","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","75000008","17","ＴＰ上昇上限付与"
"500000803","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","75000008","boss_def_lower_limit","物理防御力（ダウン不可）アップ"
"500000804","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","75000008","boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ"
"500000805","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","75000008","9","ＨＰ吸収ダウン"
"500000806","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","75000008","boss_tp_down_cut","ＴＰダウンカット"
"500000901","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","75000009","18","ダメージ減衰"
"500000902","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","75000009","17","ＴＰ上昇上限付与"
"500000903","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","75000009","boss_def_lower_limit","物理防御力（ダウン不可）アップ"
"500000904","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","75000009","boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ"
"500000905","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","75000009","9","ＨＰ吸収ダウン"
"500000906","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","75000009","boss_tp_down_cut","ＴＰダウンカット"
"500001001","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","75000010","18","ダメージ減衰"
"500001002","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","75000010","17","ＴＰ上昇上限付与"
"500001003","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","75000010","boss_def_lower_limit","物理防御力（ダウン不可）アップ"
"500001004","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","75000010","boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ"
"500001005","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","75000010","9","ＨＰ吸収ダウン"
"500001006","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","75000010","boss_tp_down_cut","ＴＰダウンカット"
"500001101","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","75000011","18","ダメージ減衰"
"500001102","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","75000011","17","ＴＰ上昇上限付与"
"500001103","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","75000011","boss_def_lower_limit","物理防御力（ダウン不可）アップ"
"500001104","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","75000011","boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ"
"500001105","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","75000011","9","ＨＰ吸収ダウン"
"500001106","バトル開始時、すべてのモンスターがＴＰダウン\n50％カット状態になる。","75000011","boss_tp_down_cut","ＴＰダウンカット"
"500001201","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","75000012","18","ダメージ減衰"
"500001202","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","75000012","17","ＴＰ上昇上限付与"
"500001203","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","75000012","boss_def_lower_limit","物理防御力（ダウン不可）アップ"
"500001204","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","75000012","boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ"
"500001205","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","75000012","9","ＨＰ吸収ダウン"
"500001206","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","75000012","boss_tp_down_cut","ＴＰダウンカット"
"601000101","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","76010001","18","ダメージ減衰"
"601000102","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","76010001","17","ＴＰ上昇上限付与"
"601000103","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","76010001","boss_def_lower_limit","物理防御力（ダウン不可）アップ"
"601000104","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","76010001","boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ"
"601000105","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","76010001","9","ＨＰ吸収ダウン"
"601000106","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","76010001","boss_tp_down_cut","ＴＰダウンカット"
"601000201","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","76010002","18","ダメージ減衰"
"601000202","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","76010002","17","ＴＰ上昇上限付与"
"601000203","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","76010002","boss_def_lower_limit","物理防御力（ダウン不可）アップ"
"601000204","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","76010002","boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ"
"601000205","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","76010002","9","ＨＰ吸収ダウン"
"601000206","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","76010002","boss_tp_down_cut","ＴＰダウンカット"
"601000301","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","76010003","18","ダメージ減衰"
"601000302","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","76010003","17","ＴＰ上昇上限付与"
"601000303","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","76010003","boss_def_lower_limit","物理防御力（ダウン不可）アップ"
"601000304","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","76010003","boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ"
"601000305","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","76010003","9","ＨＰ吸収ダウン"
"601000306","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","76010003","boss_tp_down_cut","ＴＰダウンカット"
"601000401","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","76010004","18","ダメージ減衰"
"601000402","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","76010004","17","ＴＰ上昇上限付与"
"601000403","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","76010004","boss_def_lower_limit","物理防御力（ダウン不可）アップ"
"601000404","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","76010004","boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ"
"601000405","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","76010004","9","ＨＰ吸収ダウン"
"601000406","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","76010004","boss_tp_down_cut","ＴＰダウンカット"
"601000501","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","76010005","18","ダメージ減衰"
"601000502","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","76010005","17","ＴＰ上昇上限付与"
"601000503","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","76010005","boss_def_lower_limit","物理防御力（ダウン不可）アップ"
"601000504","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","76010005","boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ"
"601000505","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","76010005","9","ＨＰ吸収ダウン"
"601000506","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","76010005","boss_tp_down_cut","ＴＰダウンカット"
"602000101","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","76020001","18","ダメージ減衰"
"602000102","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","76020001","17","ＴＰ上昇上限付与"
"602000103","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","76020001","boss_def_lower_limit","物理防御力（ダウン不可）アップ"
"602000104","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","76020001","boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ"
"602000105","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","76020001","9","ＨＰ吸収ダウン"
"602000106","バトル開始時、すべてのモンスターがＴＰダウン\n50％カット状態になる。","76020001","boss_tp_down_cut","ＴＰダウンカット"
"602000201","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","76020002","18","ダメージ減衰"
"602000202","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","76020002","17","ＴＰ上昇上限付与"
"602000203","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","76020002","boss_def_lower_limit","物理防御力（ダウン不可）アップ"
"602000204","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","76020002","boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ"
"602000205","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","76020002","9","ＨＰ吸収ダウン"
"602000206","バトル開始時、すべてのモンスターがＴＰダウン\n50％カット状態になる。","76020002","boss_tp_down_cut","ＴＰダウンカット"
"602000301","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","76020003","18","ダメージ減衰"
"602000302","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","76020003","17","ＴＰ上昇上限付与"
"602000303","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","76020003","boss_def_lower_limit","物理防御力（ダウン不可）アップ"
"602000304","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","76020003","boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ"
"602000305","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","76020003","9","ＨＰ吸収ダウン"
"602000306","バトル開始時、すべてのモンスターがＴＰダウン\n50％カット状態になる。","76020003","boss_tp_down_cut","ＴＰダウンカット"
"602000401","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","76020004","18","ダメージ減衰"
"602000402","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","76020004","17","ＴＰ上昇上限付与"
"602000403","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","76020004","boss_def_lower_limit","物理防御力（ダウン不可）アップ"
"602000404","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","76020004","boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ"
"602000405","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","76020004","9","ＨＰ吸収ダウン"
"602000406","バトル開始時、すべてのモンスターがＴＰダウン\n50％カット状態になる。","76020004","boss_tp_down_cut","ＴＰダウンカット"
"602000501","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","76020005","18","ダメージ減衰"
"602000502","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","76020005","17","ＴＰ上昇上限付与"
"602000503","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","76020005","boss_def_lower_limit","物理防御力（ダウン不可）アップ"
"602000504","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","76020005","boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ"
"602000505","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","76020005","9","ＨＰ吸収ダウン"
"602000506","バトル開始時、すべてのモンスターがＴＰダウン\n50％カット状態になる。","76020005","boss_tp_down_cut","ＴＰダウンカット"
