69364b65be0528cd13429db62e9c91aa749390a51e033e857810a4e2240f74c0,3cf80c5be6334663ea5c401501ce371ba2dae3a7fce21eaefff4377588f2e957,f3e022269b2aff31286afe3ad384d45c638b7bd2bc9704f3a06803124cd5a61a,70e923a3348072140a348292e02e728c8640646a11d957b689dfda6112f4567e,4fe7579065382c05a90e8026c262d5e8e7c26654ba0b869da2d4c1ef333cd004,7eff1fb36285592878e017e574afc8126d8b37b3b979757599839af1fc722d57,046a7fd1579bdc1fc43340b94a13414df0541b7d6fae93254c8696f7cd558759,94de51279ce26f6ae8422de47d4844e4a64e542ddc639511ad102f5f1761ef4b,eff672e9d090c7d5d90b789599c09060bb00e3631d4db3620f639a6f56cd375b,1284159eb99fd98ebf8ec51d350b02159cab1dad595e8d4360879b4dbd9960c0,eeea4f7bc0c9653e7c03759ca2fb27e3d9044e16a1779b5130e077ebd8d89c73
"0","0","10","1","20022","11","100211","1","どういたしまして♪\nケガはないのが一番だけど、\n困ったときは遠慮なく相談してね？","1200220013","0"
"","","","","20022","91","0","","","1200220014",""
"","0.2","1","","20022","3","100211","","travel_topdrama_r_2000_idle_wish_joy","1200220015",""
"","","","","20022","112","","","","1200220016",""
"","","","","20022","91","0","","","1200220017",""
"0","0.8","101","-68","20031","1","1","-42","100411","1200310001","travel_topdrama_r_2000_idle_doya"
"1","0.8","102","-68","20031","1","1","42","102011","1200310002","travel_topdrama_r_2000_idle_normal"
"0","1","110","-75","20031","5","0","0","0","1200310003","mana"
"","","","","20031","91","0","","","1200310004",""
"","","","","20031","93","10","","0","1200310005",""
"","","","","20031","101","1200310005","","","1200310006",""
"","0","0","","20031","3","0","","none","1200310007",""
"","","","","20031","91","0","","","1200310008",""
"","","","","20032","13","100411","","103","1200320001",""
"","","","","20032","13","102011","","104","1200320002",""
"","0.2","0","1","20032","3","100411","travel_topdrama_r_2000_talk_doya_loop","travel_topdrama_r_2000_talk_doya_in","1200320003",""
"","","0","","20032","21","vo_travel_talk","0","vo_travel_talk_20003_00","1200320004",""
"0","0","10","1","20032","11","100411","1","冒険はね、準備が大事なんだよ！\nだから迷わないようにコンパスを\n持ってきたんだ～♪","1200320005","0"
"","","","","20032","91","0","","","1200320006",""
"","0.2","1","","20032","3","100411","","travel_topdrama_r_2000_idle_doya","1200320007",""
"","0.2","0","1","20032","3","102011","travel_topdrama_r_2000_talk_wish_loop","travel_topdrama_r_2000_talk_wish_in","1200320008",""
"","","0","","20032","21","vo_travel_talk","0","vo_travel_talk_20003_01","1200320009",""
"0","0","10","1","20032","11","102011","1","ミソギちゃん、すご～い♪\n針がいっぱいぐるぐるしてるけど、\nどうやって使うの～？","1200320010","0"
"","","","","20032","91","0","","","1200320011",""
"","0.2","1","","20032","3","102011","","travel_topdrama_r_2000_idle_wish","1200320012",""
"","0.2","0","1","20032","3","100411","travel_topdrama_r_2000_talk_sad_loop_surprise2","travel_topdrama_r_2000_talk_sad_in_surprise2","1200320013",""
"","","0","","20032","21","vo_travel_talk","0","vo_travel_talk_20003_02","1200320014",""
"0","0","10","1","20032","11","100411","1","えっ？　ぐるぐる？\n……あ～！？　イタズラで使う磁石、\n同じポケットに入れたままだった～！","1200320015","0"
"","","","","20032","91","0","","","1200320016",""
"","0.2","1","","20032","3","100411","","travel_topdrama_r_2000_idle_sad_surprise2","1200320017",""
"","","","","20032","112","","","","1200320018",""
"","","","","20032","91","0","","","1200320019",""
"1","0.8","101","-68","20041","1","1","42","105311","1200410001","travel_topdrama_r_2000_idle_normal"
"0","0.8","102","-68","20041","1","1","-42","104511","1200410002","travel_topdrama_r_2000_idle_wish"
"0","1","110","-75","20041","5","0","0","0","1200410003","mana"
"","","","","20041","91","0","","","1200410004",""
"","","","","20041","93","10","","0","1200410005",""
"","","","","20041","101","1200410005","","","1200410006",""
"","0","0","","20041","3","0","","none","1200410007",""
"","","","","20041","91","0","","","1200410008",""
"","","","","20042","13","105311","","103","1200420001",""
"","","","","20042","13","104511","","104","1200420002",""
"","0.2","0","1","20042","3","105311","travel_topdrama_r_2000_talk_surprise_loop_sad","travel_topdrama_r_2000_talk_surprise_in_sad","1200420003",""
"","","0","","20042","21","vo_travel_talk","0","vo_travel_talk_20004_00","1200420004",""
"0","0","10","1","20042","11","105311","1","ど、どうしたんだクウカ！？\n顔が真っ赤だし、こんなに汗ばんで……\nどこか、体調でも悪いのか！？","1200420005","0"
"","","","","20042","91","0","","","1200420006",""
"","0.2","1","","20042","3","105311","","travel_topdrama_r_2000_idle_surprise_sad","1200420007",""
"","0.2","1","1","20042","3","104511","","travel_topdrama_r_2000_talk_wish_loop","1200420008",""
"","","0","","20042","21","vo_travel_talk","0","vo_travel_talk_20004_01","1200420009",""
"0","0","10","1","20042","11","104511","1","これから行く場所には見たこともない\n恐ろしい魔物がいて、きっとクウカは\n空前絶後の辱めを受けることに……♪","1200420010","0"
"","","","","20042","91","0","","","1200420011",""
"","0.2","1","","20042","3","104511","","travel_topdrama_r_2000_idle_wish","1200420012",""
"","0.2","0","1","20042","3","105311","travel_topdrama_r_2000_talk_doya_loop_sad","travel_topdrama_r_2000_talk_doya_in_sad","1200420013",""
"","","0","","20042","21","vo_travel_talk","0","vo_travel_talk_20004_02","1200420014",""
"0","0","10","1","20042","11","105311","1","って、いつもの妄想か。\n心配してすごく損した気分になったぞ、\n頼むから、任務に集中してくれ！","1200420015","0"
"","","","","20042","91","0","","","1200420016",""
"","0.2","1","","20042","3","105311","","travel_topdrama_r_2000_idle_doya_sad","1200420017",""
"","","","","20042","112","","","","1200420018",""
"","","","","20042","91","0","","","1200420019",""
"0","0.8","101","-68","20051","1","1","-42","100911","1200510001","travel_topdrama_r_2000_idle_thinking"
"1","0.8","102","-68","20051","1","1","42","105611","1200510002","travel_topdrama_r_2000_idle_arm_crossed"
"0","1","110","-75","20051","5","0","0","0","1200510003","mana"
"","","","","20051","91","0","","","1200510004",""
"","","","","20051","93","10","","0","1200510005",""
"","","","","20051","101","1200510005","","","1200510006",""
"","0","0","","20051","3","0","","none","1200510007",""
"","","","","20051","91","0","","","1200510008",""
"","","","","20052","13","100911","","103","1200520001",""
"","","","","20052","13","105611","","104","1200520002",""
"","0.2","1","1","20052","3","100911","","travel_topdrama_r_2000_talk_thinking","1200520003",""
"","","0","","20052","21","vo_travel_talk","0","vo_travel_talk_20005_00","1200520004",""
"0","0","10","1","20052","11","100911","1","我が内なる暗黒が囁いている……\n数多の運命の糸が複雑に絡み合い、\nこの旅はやがて壮大な冒険譚になると！","1200520005","0"
"","","","","20052","91","0","","","1200520006",""
"","0.2","1","","20052","3","100911","","travel_topdrama_r_2000_idle_thinking","1200520007",""
"","0.2","0","1","20052","3","105611","travel_topdrama_r_2000_talk_arm_crossed_loop","travel_topdrama_r_2000_talk_arm_crossed_in","1200520008",""
"","","0","","20052","21","vo_travel_talk","0","vo_travel_talk_20005_01","1200520009",""
"0","0","10","1","20052","11","105611","1","そうかい。\nじゃあまずは、焚火の枝を集める運命を\n受け入れてもらえるかい？","1200520010","0"
"","","","","20052","91","0","","","1200520011",""
"","0.2","1","","20052","3","105611","","travel_topdrama_r_2000_idle_arm_crossed","1200520012",""
"","0.2","0","1","20052","3","100911","travel_topdrama_r_2000_talk_doya_loop","travel_topdrama_r_2000_talk_doya_in_blink","1200520013",""
"","","0","","20052","21","vo_travel_talk","0","vo_travel_talk_20005_02","1200520014",""
"0","0","10","1","20052","11","100911","1","ふっ、既にその運命は受け入れている！\n……のだが、その、全然集まらなくて。\nよければ手伝ってほしいんだが。","1200520015","0"
"","","","","20052","91","0","","","1200520016",""
"","0.2","1","","20052","3","100911","","travel_topdrama_r_2000_idle_doya","1200520017",""
"","","","","20052","112","","","","1200520018",""
"","","","","20052","91","0","","","1200520019",""
"1","0.8","101","-68","20061","1","1","42","110911","1200610001","travel_topdrama_r_2000_idle_kyapi"
"0","0.8","102","-68","20061","1","1","-42","110811","1200610002","travel_topdrama_r_2000_idle_doya_sad"
"0","1","110","-75","20061","5","0","0","0","1200610003","mana"
"","","","","20061","91","0","","","1200610004",""
"","","","","20061","93","10","","0","1200610005",""
"","","","","20061","101","1200610005","","","1200610006",""
"","0","0","","20061","3","0","","none","1200610007",""
"","","","","20061","91","0","","","1200610008",""
"","","","","20062","13","110911","","103","1200620001",""
"","","","","20062","13","110811","","104","1200620002",""
"","0.2","0","1","20062","3","110911","travel_topdrama_r_2000_talk_kyapi_loop","travel_topdrama_r_2000_talk_kyapi_in","1200620003",""
"","","0","","20062","21","vo_travel_talk","0","vo_travel_talk_20006_00","1200620004",""
"0","0","10","1","20062","11","110911","1","ちぇる～ん☆\nちぇるちぇら、ちぇりんぱ、\nちぇちぇりぽぷ！","1200620005","0"
"","","","","20062","91","0","","","1200620006",""
"","0.2","1","","20062","3","110911","","travel_topdrama_r_2000_idle_kyapi","1200620007",""
"","0.2","0","1","20062","3","110811","travel_topdrama_r_2000_talk_doya_loop_sad","travel_topdrama_r_2000_talk_doya_in_sad","1200620008",""
"","","0","","20062","21","vo_travel_talk","0","vo_travel_talk_20006_01","1200620009",""
"0","0","10","1","20062","11","110811","1","あのさ。いんだけどさ。\nそのアタマ悪めの奇声でさっき魔物が\nクソ集まってきた件、もう忘れたわけ。","1200620010","0"
"","","","","20062","91","0","","","1200620011",""
"","0.2","1","","20062","3","110811","","travel_topdrama_r_2000_idle_doya_sad","1200620012",""
"","0.2","1","1","20062","3","110911","","travel_topdrama_r_2000_talk_normal2","1200620013",""
"","","0","","20062","21","vo_travel_talk","0","vo_travel_talk_20006_02","1200620014",""
"0","0","10","1","20062","11","110911","1","……その節は\nたいへん御迷惑をおかけいたしました。","1200620015","0"
"","","","","20062","91","0","","","1200620016",""
"","0.2","1","","20062","3","110911","","travel_topdrama_r_2000_idle_normal","1200620017",""
"","","","","20062","112","","","","1200620018",""
"","","","","20062","91","0","","","1200620019",""
"1","0.8","101","-68","20071","1","1","42","102911","1200710001","travel_topdrama_r_2000_idle_smile"
"0","0.8","102","-68","20071","1","1","-42","105411","1200710002","travel_topdrama_r_2000_idle_sad"
"0","1","110","-75","20071","5","0","0","0","1200710003","mana"
"","","","","20071","91","0","","","1200710004",""
"","","","","20071","93","10","","0","1200710005",""
"","","","","20071","101","1200710005","","","1200710006",""
"","0","0","","20071","3","0","","none","1200710007",""
"","","","","20071","91","0","","","1200710008",""
"","","","","20072","13","102911","","103","1200720001",""
"","","","","20072","13","105411","","104","1200720002",""
"","0.2","0","1","20072","3","102911","travel_topdrama_r_2000_talk_smile_loop","travel_topdrama_r_2000_talk_smile_in","1200720003",""
"","","0","","20072","21","vo_travel_talk","0","vo_travel_talk_20007_00","1200720004",""
"0","0","10","1","20072","11","102911","1","このあたりの地形って、ダンスの\n練習にちょうどいいんじゃないかな？\n一緒にステップを踏んでみてくれない？","1200720005","0"
"","","","","20072","91","0","","","1200720006",""
"","0.2","1","","20072","3","102911","","travel_topdrama_r_2000_idle_smile","1200720007",""
"0.2","0.2","0","1","20072","3","105411","travel_topdrama_r_2000_talk_sad_loop","travel_topdrama_r_2007_dance","1200720008",""
"","","0","","20072","21","vo_travel_talk","0","vo_travel_talk_20007_01","1200720009",""
"0","0","10","1","20072","11","105411","1","えっと、こんな感じですか？\n……わわっ、バランスが！？\nなかなか難しいですね……","1200720010","0"
"","","","","20072","91","0","","","1200720011",""
"","0.2","1","","20072","3","105411","","travel_topdrama_r_2000_idle_sad","1200720012",""
"","0.2","0","1","20072","3","102911","travel_topdrama_r_2000_talk_smile_loop","travel_topdrama_r_2000_talk_smile_in","1200720013",""
"","","0","","20072","21","vo_travel_talk","0","vo_travel_talk_20007_02","1200720014",""
"0","0","10","1","20072","11","102911","1","つまり、練習になるってことだよ！\nライブ前、ここに戻ってこれるように、\n場所をメモしておかなきゃね♪","1200720015","0"
"","","","","20072","91","0","","","1200720016",""
"","0.2","1","","20072","3","102911","","travel_topdrama_r_2000_idle_smile","1200720017",""
"","","","","20072","112","","","","1200720018",""
"","","","","20072","91","0","","","1200720019",""
"1","0.8","101","-68","20081","1","1","42","104711","1200810001","travel_topdrama_r_2000_idle_sad"
"0","0.8","102","-68","20081","1","1","-42","107111","1200810002","travel_topdrama_r_2000_idle_doya"
"0","1","110","-75","20081","5","0","0","0","1200810003","mana"
"","","","","20081","91","0","","","1200810004",""
"","","","","20081","93","10","","0","1200810005",""
"","","","","20081","101","1200810005","","","1200810006",""
"","0","0","","20081","3","0","","none","1200810007",""
"","","","","20081","91","0","","","1200810008",""
"","","","","20082","13","104711","","103","1200820001",""
"","","","","20082","13","107111","","104","1200820002",""
"","0.2","0","1","20082","3","104711","travel_topdrama_r_2000_talk_sad_loop","travel_topdrama_r_2000_talk_sad_in","1200820003",""
"","","0","","20082","21","vo_travel_talk","0","vo_travel_talk_20008_00","1200820004",""
"0","0","10","1","20082","11","104711","1","王宮を離れる機会は何度かあったけど、\nやっぱり落ち着かないな……\n何かあった時に対応が難しいし。","1200820005","0"
"","","","","20082","91","0","","","1200820006",""
"","0.2","1","","20082","3","104711","","travel_topdrama_r_2000_idle_sad","1200820007",""
"","0.2","0","1","20082","3","107111","travel_topdrama_r_2000_talk_doya_loop","travel_topdrama_r_2000_talk_doya_in","1200820008",""
"","","0","","20082","21","vo_travel_talk","0","vo_travel_talk_20008_01","1200820009",""
"0","0","10","1","20082","11","107111","1","今さら不安がっても仕方ないだろう？\nもっと気楽にこの旅を愉しむべきだ。\nまだまだ先は長いのだからな☆","1200820010","0"
"","","","","20082","91","0","","","1200820011",""
"","0.2","1","","20082","3","107111","","travel_topdrama_r_2000_idle_doya","1200820012",""
"","0.2","0","1","20082","3","104711","travel_topdrama_r_2000_talk_guts_loop","travel_topdrama_r_2000_talk_guts_in","1200820013",""
"","","0","","20082","21","vo_travel_talk","0","vo_travel_talk_20008_02","1200820014",""
"0","0","10","1","20082","11","104711","1","ありがとう、クリスちゃん。\n王宮には優秀な部下たちもいるし、\n目の前の仕事に集中するよ。","1200820015","0"
"","","","","20082","91","0","","","1200820016",""
"","0.2","1","","20082","3","104711","","travel_topdrama_r_2000_idle_guts","1200820017",""
"","","","","20082","112","","","","1200820018",""
"","","","","20082","91","0","","","1200820019",""
"1","0.8","101","-68","20091","1","1","42","104011","1200910001","travel_topdrama_r_2000_idle_guts2"
"0","0.8","102","-68","20091","1","1","-42","101511","1200910002","travel_topdrama_r_2000_idle_smile"
"0","1","110","-75","20091","5","0","0","0","1200910003","mana"
"","","","","20091","91","0","","","1200910004",""
"","","","","20091","93","10","","0","1200910005",""
"","","","","20091","101","1200910005","","","1200910006",""
"","0","0","","20091","3","0","","none","1200910007",""
"","","","","20091","91","0","","","1200910008",""
"","","","","20092","13","104011","","103","1200920001",""
"","","","","20092","13","101511","","104","1200920002",""
"","0.2","0","1","20092","3","104011","travel_topdrama_r_2000_talk_guts2_loop","travel_topdrama_r_2000_talk_guts2_in","1200920003",""
"","","0","","20092","21","vo_travel_talk","0","vo_travel_talk_20009_00","1200920004",""
"0","0","10","1","20092","11","104011","1","今回の冒険には、たくさんのギルドが\n参加してるんですよね……？\nもしかして、友達を作るチャンス……？","1200920005","0"
"","","","","20092","91","0","","","1200920006",""
"","0.2","1","","20092","3","104011","","travel_topdrama_r_2000_idle_guts2","1200920007",""
"","0.2","0","1","20092","3","101511","travel_topdrama_r_2000_talk_wish_loop_joy","travel_topdrama_r_2000_talk_wish_in_joy","1200920008",""
"","","0","","20092","21","vo_travel_talk","0","vo_travel_talk_20009_01","1200920009",""
"0","0","10","1","20092","11","101511","1","ふふっ、そうね～\nきっといろんな出会いがあるから、\nいっぱいお話してみるといいわよ～？","1200920010","0"
"","","","","20092","91","0","","","1200920011",""
"","0.2","1","","20092","3","101511","","travel_topdrama_r_2000_idle_wish_joy","1200920012",""
"","0.2","0","1","20092","3","104011","travel_topdrama_r_2000_talk_surprise_loop_sad","travel_topdrama_r_2000_talk_surprise_in_sad","1200920013",""
"","","0","","20092","21","vo_travel_talk","0","vo_travel_talk_20009_02","1200920014",""
"0","0","10","1","20092","11","104011","1","いっぱい……お話……！？\n一気に自信がなくなってきました……\nやっぱり、隅っこを歩きましょう……","1200920015","0"
"","","","","20092","91","0","","","1200920016",""
"","0.2","1","","20092","3","104011","","travel_topdrama_r_2000_idle_surprise_sad","1200920017",""
"","","","","20092","112","","","","1200920018",""
"","","","","20092","91","0","","","1200920019",""
"1","0.8","101","-68","20101","1","1","42","102611","1201010001","travel_topdrama_r_2000_idle_sad"
"0","0.8","102","-68","20101","1","1","-42","103311","1201010002","travel_topdrama_r_2000_idle_doya_sad"
"0","1","110","-75","20101","5","0","0","0","1201010003","mana"
"","","","","20101","91","0","","","1201010004",""
"","","","","20101","93","10","","0","1201010005",""
"","","","","20101","101","1201010005","","","1201010006",""
"","0","0","","20101","3","0","","none","1201010007",""
"","","","","20101","91","0","","","1201010008",""
"","","","","20102","13","102611","","103","1201020001",""
"","","","","20102","13","103311","","104","1201020002",""
"","0.2","0","1","20102","3","102611","travel_topdrama_r_2000_talk_sad_loop","travel_topdrama_r_2000_talk_sad_in","1201020003",""
"","","0","","20102","21","vo_travel_talk","0","vo_travel_talk_20010_00","1201020004",""
"0","0","10","1","20102","11","102611","1","ふぇ～……ふぇ～……！\nもうだいぶ歩かされてるよ～！\n帰りたい～、ごろごろしてたい～！","1201020005","0"
"","","","","20102","91","0","","","1201020006",""
"","0.2","1","","20102","3","102611","","travel_topdrama_r_2000_idle_sad","1201020007",""
"","0.2","0","1","20102","3","103311","travel_topdrama_r_2000_talk_doya_loop_sad","travel_topdrama_r_2000_talk_doya_in_sad","1201020008",""
"","","0","","20102","21","vo_travel_talk","0","vo_travel_talk_20010_01","1201020009",""
"0","0","10","1","20102","11","103311","1","なに言ってるべさ～！\nリンリンこそしっかり歩いて、\n体を鍛え直さねぇと！","1201020010","0"
"","","","","20102","91","0","","","1201020011",""
"","0.2","1","","20102","3","103311","","travel_topdrama_r_2000_idle_doya_sad","1201020012",""
"","0.2","1","1","20102","3","102611","","travel_topdrama_r_2000_talk_dead","1201020013",""
"","","0","","20102","21","vo_travel_talk","0","vo_travel_talk_20010_02","1201020014",""
"0","0","10","1","20102","11","102611","1","そういうの、間に合ってるから……！\nとにかく休憩！　休憩しよ～！\nドングリ食べないと、足が棒になる～！","1201020015","0"
"","","","","20102","91","0","","","1201020016",""
"","0.2","1","","20102","3","102611","","travel_topdrama_r_2000_idle_dead","1201020017",""
"","","","","20102","112","","","","1201020018",""
"","","","","20102","91","0","","","1201020019",""
"1","0.8","101","-68","20111","1","1","42","104911","1201110001","travel_topdrama_r_2000_idle_smile"
"0","0.8","102","-68","20111","1","1","-42","101111","1201110002","travel_topdrama_r_2000_idle_normal"
"0","1","110","-75","20111","5","0","0","0","1201110003","mana"
"","","","","20111","91","0","","","1201110004",""
"","","","","20111","93","10","","0","1201110005",""
"","","","","20111","101","1201110005","","","1201110006",""
"","0","0","","20111","3","0","","none","1201110007",""
"","","","","20111","91","0","","","1201110008",""
"","","","","20112","13","104911","","103","1201120001",""
"","","","","20112","13","101111","","104","1201120002",""
"","0.2","0","1","20112","3","104911","travel_topdrama_r_2000_talk_smile_loop","travel_topdrama_r_2000_talk_smile_in","1201120003",""
"","","0","","20112","21","vo_travel_talk","0","vo_travel_talk_20011_00","1201120004",""
"0","0","10","1","20112","11","104911","1","なにかいい物、落ちてないかな～？\n弟くんが喜びのあまり、お姉ちゃん\n大好き以外の感情を失う宝物とか。","1201120005","0"
"","","","","20112","91","0","","","1201120006",""
"","0.2","1","","20112","3","104911","","travel_topdrama_r_2000_idle_smile","1201120007",""
"","0.2","0","1","20112","3","101111","travel_topdrama_r_2000_talk_shock","travel_topdrama_r_2000_shock_in","1201120008",""
"","","0","","20112","21","vo_travel_talk","0","vo_travel_talk_20011_01","1201120009",""
"0","0","10","1","20112","11","101111","1","いやいやいや、お姉ちゃん？\nそれはもう呪いの装備の類です、\n見つけても持って帰らないでください。","1201120010","0"
"","","","","20112","91","0","","","1201120011",""
"","0.2","1","","20112","3","101111","","travel_topdrama_r_2000_idle_normal","1201120012",""
"","0.2","0","1","20112","3","104911","travel_topdrama_r_2000_talk_wish_loop_joy","travel_topdrama_r_2000_talk_wish_in_joy","1201120013",""
"","","0","","20112","21","vo_travel_talk","0","vo_travel_talk_20011_02","1201120014",""
"0","0","10","1","20112","11","104911","1","え～……まぁ、いいか。\nそんなものに頼らなくても、弟くんは\nお姉ちゃんのこと大好きだしね♪","1201120015","0"
"","","","","20112","91","0","","","1201120016",""
"","0.2","1","","20112","3","104911","","travel_topdrama_r_2000_idle_wish_joy","1201120017",""
"","","","","20112","112","","","","1201120018",""
"","","","","20112","91","0","","","1201120019",""
"1","0.8","101","-68","20121","1","1","42","101011","1201210001","travel_topdrama_r_2000_idle_sad"
"0","0.8","102","-68","20121","1","1","-42","101711","1201210002","travel_topdrama_r_2000_idle_guts2_joy"
"0","0.8","103","-68","20121","5","3","-42","3","1201210003","travel_topdrama_r_2012_empty"
"0","1","110","-75","20121","5","0","0","0","1201210004","mana"
"","","","","20121","91","0","","","1201210005",""
"","","","","20121","93","10","","0","1201210006",""
"","","","","20121","101","1201210006","","","1201210007",""
"","0","0","","20121","3","0","","none","1201210008",""
"","","","","20121","91","0","","","1201210009",""
"","","","","20122","13","101011","","104","1201220001",""
"","","","","20122","13","101711","","105","1201220002",""
"","0.2","0","1","20122","3","101011","travel_topdrama_r_2000_talk_sad_loop","travel_topdrama_r_2000_talk_sad_in","1201220003",""
"","","0","","20122","21","vo_travel_talk","0","vo_travel_talk_20012_00","1201220004",""
"0","0","10","1","20122","11","101011","1","冒険って大変やなぁ～\nうちはちょっと疲れてきたんやけど、\nカオリはんはまだまだ元気そうやね～？","1201220005","0"
"","","","","20122","91","0","","","1201220006",""
"","0.2","1","","20122","3","101011","","travel_topdrama_r_2000_idle_sad","1201220007",""
"","0.2","0","1","20122","3","101711","travel_topdrama_r_2012_raise_loop_talk","travel_topdrama_r_2012_raise_in","1201220008",""
"","0.2","0","1","20122","3","3","travel_topdrama_r_2012_raise_loop_talk","travel_topdrama_r_2012_raise_in","1201220009",""
"","","0","","20122","21","vo_travel_talk","0","vo_travel_talk_20012_01","1201220010",""
"0","0","10","1","20122","11","101711","1","サーターアンダギーのおかげさ～♪\n甘くてお腹もいっぱいなるから、\nマホにもお裾分けしてあげるね～？","1201220011","0"
"","","","","20122","91","0","","","1201220012",""
"","0.2","1","","20122","3","101711","","travel_topdrama_r_2012_raise_loop_idle","1201220013",""
"","0.2","1","","20122","3","3","","travel_topdrama_r_2012_raise_loop_talk","1201220014",""
"","0.2","0","1","20122","3","101011","travel_topdrama_r_2000_talk_smile_loop","travel_topdrama_r_2000_talk_smile_in","1201220015",""
"","","0","","20122","21","vo_travel_talk","0","vo_travel_talk_20012_02","1201220016",""
"0","0","10","1","20122","11","101011","1","おおきに～♪\nこれを食べて、うちもカオリはん\nみたいに元気に冒険せなな～♪","1201220017","0"
"","","","","20122","91","0","","","1201220018",""
