7763627ecfeb5524f70d8893acba7c5570676af4fce5a41da638f5de746261ac,cdc75ef58916f9d50899f63179cba026a34998e51ac77a8fdaae81245aa6a606,8df9fa7af377c05867d77c345377fb4700516f8cf1bb6222388bb13a12bf8ef4,4a2e777a08e7a41b712bc0b980cc9ae4a9869b5951350f5cd13fdc6c545dda1d,caf959a5ec8b1e9ea7015ff922daf54ea875597e0bf1a9fd3df05f044d59bcbd,9fae7c6565d399a2419566aaa88cecdfc2e14a65c81c771027f3d43b5076654b,2c24f46c25694d98ce6dd25ee797b52b63ac32197b6dfa4884a1a1f76c50cd17,a20665160e3289b32fd3110fd7e1346375d7fbb806c5fa1e91ef1cf2c670cb5c,47e505b86be5d178946432827cf781823f3292e5a94369f42a1ce66b0b5641d6,aa6d6261d6a3f8fe3763ed0a581ec54018caf3e67bba917223679733ae63cb90
"0","2.375","1","","4","0","15","7","0","1070015"
"0","0","0","ギルドマスターであるという貫禄たっぷり。","1","0","16","7","8","1070016"
"0","3.5","1","","4","0","17","7","0","1070017"
"vo_10011600","0","0","","2","vo_10011600_0704","18","7","0","1070018"
"0","0","0","ユニさんだったらきっと、","1","0","19","7","8","1070019"
"0","2.25","1","","4","0","20","7","0","1070020"
"0","0","0","ユニちゃんズの名前を世界中に広めることができると思う。\n\n","1","0","21","7","8","1070021"
"0","6.625","1","","4","0","22","7","0","1070022"
"vo_10011600","0","0","","2","vo_10011600_0705","23","7","0","1070023"
"0","0","0","あれ？","1","0","24","7","8","1070024"
"0","1.125","1","","4","0","25","7","0","1070025"
"0","0","0","　こんなギルド名だったっけ？","1","0","26","7","8","1070026"
"0","2.75","1","","4","0","27","7","0","1070027"
"vo_10011600","0","0","","2","vo_10011600_0801","1","8","0","1080001"
"0","0","0","　初めて会ったときは","1","0","2","8","8","1080002"
"0","1.75","1","","4","0","3","8","0","1080003"
"0","0","0","怖くて話しかけることさえも出来なかったクロエさん。","1","0","4","8","8","1080004"
"0","4.125","1","","4","0","5","8","0","1080005"
"vo_10011600","0","0","","2","vo_10011600_0802","6","8","0","1080006"
"0","0","0","だけど本当はとても優しくて、","1","0","7","8","8","1080007"
"0","2.75","1","","4","0","8","8","0","1080008"
"0","0","0","こんな私のことを気にかけてくれてることが伝わってきた。\n","1","0","9","8","8","1080009"
"0","5.875","1","","4","0","10","8","0","1080010"
"vo_10011600","0","0","","2","vo_10011600_0803","11","8","0","1080011"
"0","0","0","クロエさんのおかげで少しだけだけど、","1","0","12","8","8","1080012"
"0","3.25","1","","4","0","13","8","0","1080013"
"0","0","0","ク\nラスに受け入れてもらえた。\n","1","0","14","8","8","1080014"
"0","4.25","1","","4","0","15","8","0","1080015"
"vo_10011600","0","0","","2","vo_10011600_0804","16","8","0","1080016"
"0","0","0","クロエさんにはご家族がたくさんいるみたい。","1","0","17","8","8","1080017"
"0","4.125","1","","4","0","18","8","0","1080018"
"vo_10011600","0","0","","2","vo_10011600_0805","19","8","0","1080019"
"0","0","0","　確かに、","1","0","20","8","8","1080020"
"0","1.625","1","","4","0","21","8","0","1080021"
"0","0","0","今日のクロエさんは思わずお姉ちゃんと呼んじゃいそうだった！","1","0","22","8","8","1080022"
"0","4.625","1","","4","0","23","8","0","1080023"
"vo_10011600","0","0","","2","vo_10011600_0901","1","9","0","1090001"
"0","0","0","　ちぇるーん。","1","0","2","9","8","1090002"
"0","3.875","1","","4","0","3","9","0","1090003"
"vo_10011600","0","0","","2","vo_10011600_0902","4","9","0","1090004"
"0","0","0","この挨拶を言えるようになれば","1","0","5","9","8","1090005"
"0","2.75","1","","4","0","6","9","0","1090006"
"0","0","0","私もチエルさんみたいな","1","0","7","9","8","1090007"
"0","2.375","1","","4","0","8","9","0","1090008"
"0","0","0","明るくて友達もたくさんいる、","1","0","9","9","8","1090009"
"0","2.75","1","","4","0","10","9","0","1090010"
"0","0","0","私の理想の女性になれるのかな。\n","1","0","11","9","8","1090011"
"0","4.375","1","","4","0","12","9","0","1090012"
"vo_10011600","0","0","","2","vo_10011600_0903","13","9","0","1090013"
"0","0","0","でも","1","0","14","9","8","1090014"
"0","1.25","1","","4","0","15","9","0","1090015"
"0","0","0","この挨拶はまだ私には早いので、","1","0","16","9","8","1090016"
"0","2.875","1","","4","0","17","9","0","1090017"
"0","0","0","今日は書き取りだけしておこう。\n","1","0","18","9","8","1090018"
"0","4.125","1","","4","0","19","9","0","1090019"
"vo_10011600","0","0","","2","vo_10011600_0904","20","9","0","1090020"
"0","0","0","ちぇるーんちぇるーんちぇるーんちぇるーんちぇるーん","1","0","21","9","8","1090021"
"0","4.125","1","","4","0","22","9","0","1090022"
"vo_10011600","0","0","","2","vo_10011600_0905","23","9","0","1090023"
"0","0","0","ちぇるーんちぇるーんちぇるーんちぇるーんちぇるーん","1","0","24","9","8","1090024"
"0","4.125","1","","4","0","25","9","0","1090025"
"vo_10011600","0","0","","2","vo_10011600_0906","26","9","0","1090026"
"0","0","0","ちぇるーんちぇるーんちぇるーんちぇるーんちぇるーん\n","1","0","27","9","8","1090027"
"0","4.125","1","","4","0","28","9","0","1090028"
"vo_10011600","0","0","","2","vo_10011600_0907","29","9","0","1090029"
"0","0","0","ちぇるーんちぇるーんちぇるーん","1","0","30","9","8","1090030"
"0","2.875","1","","4","0","31","9","0","1090031"
"vo_10011600","0","0","","2","vo_10011600_1001","1","10","0","1100001"
"0","0","0","　忘れてた忘れてた忘れてた！\n","1","0","2","10","8","1100002"
"0","2.75","1","","4","0","3","10","0","1100003"
"0","0","0","どうしよう特別講座！","1","0","4","10","8","1100004"
"0","2.25","1","","4","0","5","10","0","1100005"
"vo_10011600","0","0","","2","vo_10011600_1002","6","10","0","1100006"
"0","0","0","エルフの森から持ってきたマンドラゴラも逃げちゃったし、","1","0","7","10","8","1100007"
"0","3.625","1","","4","0","8","10","0","1100008"
"0","0","0","何の準備もしてないよ！\n","1","0","9","10","8","1100009"
"0","2.375","1","","4","0","10","10","0","1100010"
"vo_10011600","0","0","","2","vo_10011600_1003","11","10","0","1100011"
"0","0","0","……エルフの森が","1","0","12","10","8","1100012"
"0","2","1","","4","0","13","10","0","1100013"
"0","0","0","私を呼んでる気が……","1","0","14","10","8","1100014"
"0","2.25","1","","4","0","15","10","0","1100015"
"vo_10011600","0","0","","2","vo_10011600_1004","16","10","0","1100016"
"0","0","0","いやダメダメ、","1","0","17","10","8","1100017"
"0","1.875","1","","4","0","18","10","0","1100018"
"0","0","0","ミサト先生の期待を裏切るわけには！\n","1","0","19","10","8","1100019"
"0","4.125","1","","4","0","20","10","0","1100020"
"vo_10011600","0","0","","2","vo_10011600_1005","21","10","0","1100021"
"0","0","0","でも本当にどうしよう、","1","0","22","10","8","1100022"
"0","3.125","1","","4","0","23","10","0","1100023"
"vo_10011600","0","0","","2","vo_10011600_1006","24","10","0","1100024"
"0","0","0","こうなったら","1","0","25","10","8","1100025"
"0","1.75","1","","4","0","26","10","0","1100026"
"0","0","0","ぼっちライフをどう生き抜くかをまとめて","1","0","27","10","8","1100027"
"0","3.375","1","","4","0","28","10","0","1100028"
"0","0","0","発表してみようかな……？","1","0","29","10","8","1100029"
"0","2.5","1","","4","0","30","10","0","1100030"
"vo_10011600","0","0","","2","vo_10011600_1101","1","11","0","1110001"
"0","0","0","　特別講座、","1","0","2","11","8","1110002"
"0","1.75","1","","4","0","3","11","0","1110003"
"0","0","0","終了！\n","1","0","4","11","8","1110004"
"0","2.625","1","","4","0","5","11","0","1110005"
"vo_10011600","0","0","","2","vo_10011600_1102","6","11","0","1110006"
"0","0","0","結果は……","1","0","7","11","8","1110007"
"0","1.625","1","","4","0","8","11","0","1110008"
"0","0","0","成功、","1","0","9","11","8","1110009"
"0","1.375","1","","4","0","10","11","0","1110010"
"0","0","0","だと思う。","1","0","11","11","8","1110011"
"0","3.125","1","","4","0","12","11","0","1110012"
"vo_10011600","0","0","","2","vo_10011600_1103","13","11","0","1110013"
"0","0","0","　それもこれもすべては、","1","0","14","11","8","1110014"
"0","2.5","1","","4","0","15","11","0","1110015"
"0","0","0","手伝ってくれたあの人、","1","0","16","11","8","1110016"
"0","1.875","1","","4","0","17","11","0","1110017"
"0","0","0","そして","1","0","18","11","8","1110018"
"0","0.875","1","","4","0","19","11","0","1110019"
"0","0","0","なかよし部のみなさんのおかげだ。\n","1","0","20","11","8","1110020"
"0","3","1","","4","0","21","11","0","1110021"
"vo_10011600","0","0","","2","vo_10011600_1104","22","11","0","1110022"
"0","0","0","講座が終わった後、","1","0","23","11","8","1110023"
"0","2.125","1","","4","0","24","11","0","1110024"
"0","0","0","たくさんの人に囲まれて怖かったけど、","1","0","25","11","8","1110025"
"0","3","1","","4","0","26","11","0","1110026"
"vo_10011600","0","0","","2","vo_10011600_1105","27","11","0","1110027"
"0","0","0","でも私、","1","0","28","11","8","1110028"
"0","1.5","1","","4","0","29","11","0","1110029"
"0","0","0","いつもみたいに逃げたりしなかった！\n","1","0","30","11","8","1110030"
"0","3.125","1","","4","0","31","11","0","1110031"
"vo_10011600","0","0","","2","vo_10011600_1106","32","11","0","1110032"
"0","0","0","私も少しだけ……","1","0","33","11","8","1110033"
"0","2","1","","4","0","34","11","0","1110034"
"0","0","0","ほんのちょっとだけだけど、","1","0","35","11","8","1110035"
"0","2.625","1","","4","0","36","11","0","1110036"
"0","0","0","成長……","1","0","37","11","8","1110037"
"0","1.5","1","","4","0","38","11","0","1110038"
"0","0","0","できたのかな。","1","0","39","11","8","1110039"
"0","1.875","1","","4","0","40","11","0","1110040"
"vo_10011600","0","0","","2","vo_10011600_1201","1","12","0","1120001"
"0","0","0","　聖テレサ女学院に何の違和感もなく溶け込めるなんて、","1","0","2","12","8","1120002"
"0","4.25","1","","4","0","3","12","0","1120003"
"0","0","0","あの人はやっぱりすごい！\n","1","0","4","12","8","1120004"
"0","3.5","1","","4","0","5","12","0","1120005"
"vo_10011600","0","0","","2","vo_10011600_1202","6","12","0","1120006"
"0","0","0","　廊下を歩いてるとき、","1","0","7","12","8","1120007"
"0","2.125","1","","4","0","8","12","0","1120008"
"0","0","0","他の生徒はあの人を見て驚いた顔をするんだけど、","1","0","9","12","8","1120009"
"0","3.375","1","","4","0","10","12","0","1120010"
"0","0","0","あの人はにこやかに挨拶するんです！\n","1","0","11","12","8","1120011"
"0","3.125","1","","4","0","12","12","0","1120012"
"vo_10011600","0","0","","2","vo_10011600_1203","13","12","0","1120013"
"0","0","0","そこできゃあ、","1","0","14","12","8","1120014"
"0","1.375","1","","4","0","15","12","0","1120015"
"0","0","0","と言われても","1","0","16","12","8","1120016"
"0","1.25","1","","4","0","17","12","0","1120017"
"0","0","0","涼しい顔で手を振り返す！","1","0","18","12","8","1120018"
"0","2.5","1","","4","0","19","12","0","1120019"
"vo_10011600","0","0","","2","vo_10011600_1204","20","12","0","1120020"
"0","0","0","　挨拶さえもできない私とは大違い！\n\n","1","0","21","12","8","1120021"
"0","4.625","1","","4","0","22","12","0","1120022"
"vo_10011600","0","0","","2","vo_10011600_1205","23","12","0","1120023"
"0","0","0","早く私も","1","0","24","12","8","1120024"
"0","1.25","1","","4","0","25","12","0","1120025"
"0","0","0","あんなふうになりたいなぁ……","1","0","26","12","8","1120026"
"0","2.5","1","","4","0","27","12","0","1120027"
"vo_10011600","0","0","","2","vo_10011600_1301","1","13","0","1130001"
"0","0","0","　私が持ってきたマンドラゴラが大変なことに……\n","1","0","2","13","8","1130002"
"0","4.875","1","","4","0","3","13","0","1130003"
"vo_10011600","0","0","","2","vo_10011600_1302","4","13","0","1130004"
"0","0","0","だけど、","1","0","5","13","8","1130005"
"0","1.25","1","","4","0","6","13","0","1130006"
"0","0","0","あの人となかよし部のみなさんが力を貸してくれたおかげで、","1","0","7","13","8","1130007"
"0","4","1","","4","0","8","13","0","1130008"
"0","0","0","大きな\n被害が出る前に食い止めることができた。","1","0","9","13","8","1130009"
"0","5","1","","4","0","10","13","0","1130010"
"vo_10011600","0","0","","2","vo_10011600_1303","11","13","0","1130011"
"0","0","0","　みなさんは","1","0","12","13","8","1130012"
"0","1.45","1","","4","0","13","13","0","1130013"
"0","0","0","下心があったなんて言ってたけど、","1","0","14","13","8","1130014"
"0","2.75","1","","4","0","15","13","0","1130015"
"0","0","0","そんなことは関係ないと思う。\n","1","0","16","13","8","1130016"
"0","3.25","1","","4","0","17","13","0","1130017"
"vo_10011600","0","0","","2","vo_10011600_1304","18","13","0","1130018"
"0","0","0","こうして一緒に戦うことができて、","1","0","19","13","8","1130019"
"0","2.75","1","","4","0","20","13","0","1130020"
"0","0","0","私は嬉しかった。\n","1","0","21","13","8","1130021"
"0","2.5","1","","4","0","22","13","0","1130022"
"vo_10011600","0","0","","2","vo_10011600_1305","23","13","0","1130023"
"0","0","0","なんだか……","1","0","24","13","8","1130024"
"0","1.75","1","","4","0","25","13","0","1130025"
"0","0","0","仲間、","1","0","26","13","8","1130026"
"0","1.375","1","","4","0","27","13","0","1130027"
"0","0","0","になれたみたいで。","1","0","28","13","8","1130028"
"0","2.125","1","","4","0","29","13","0","1130029"
"vo_10011600","0","0","","2","vo_10011600_1401","1","14","0","1140001"
"0","0","0","　今日は","1","0","2","14","8","1140002"
"0","1.5","1","","4","0","3","14","0","1140003"
"0","0","0","聖テレサ女学院に通う最終日","1","0","4","14","7","1140004"
"0","3.60714285714286","1","","4","0","5","14","0","1140005"
"0","0","0","……だった。\n","1","0","6","14","8","1140006"
"0","3.25","1","","4","0","7","14","0","1140007"
"vo_10011600","0","0","","2","vo_10011600_1402","8","14","0","1140008"
"0","0","0","最初にミサト先生からお願いされたときは","1","0","9","14","8","1140009"
"0","3.375","1","","4","0","10","14","0","1140010"
"0","0","0","絶対ムリだと思ってた。","1","0","11","14","8","1140011"
"0","3.125","1","","4","0","12","14","0","1140012"
"vo_10011600","0","0","","2","vo_10011600_1403","13","14","0","1140013"
"0","0","0","　だけど今は名残惜しくて、","1","0","14","14","8","1140014"
"0","2.625","1","","4","0","15","14","0","1140015"
"0","0","0","こうして日記を書いている。\n","1","0","16","14","8","1140016"
"0","3.375","1","","4","0","17","14","0","1140017"
"vo_10011600","0","0","","2","vo_10011600_1404","18","14","0","1140018"
"0","0","0","　目を閉じると、","1","0","19","14","8","1140019"
"0","2","1","","4","0","20","14","0","1140020"
"0","0","0","あの人や","1","0","21","14","8","1140021"
"0","1.5","1","","4","0","22","14","0","1140022"
"0","0","0","なかよし部のみなさん、","1","0","23","14","8","1140023"
