f6fbc270df08ebe4fadb4cfa7daa7ba6acdf3caf97173e8c6b3e80c79aa99e33,a38e6f3ed24501eaec71a8439f24732c95735313577c228278028b405b3feab7,8e3869828dd71d4223a6845ccdfafb633626d6b139234e7909e8d4eb6038f72c,26412da7613248957e42867fc2fd9a96cb8158929f2c71a2e8753edb5e85d127,92aff7b94338367bce70a197d0889d18db565141f97f818c16c3dc4c3e786dac,7b0ccc455da0aad7a22035166aaed29e8e755e6d544dc0b9821b9edf6e82952d
"280","10201208","1001","1","56011208","15"
"281","10201209","1002","1","56011209","15"
"282","10201210","1003","1","56011210","15"
"283","91002","0","50","56011210","8"
"284","10201211","1001","1","56011211","15"
"285","10201212","1002","1","56011212","15"
"286","10201213","1003","1","56011213","15"
"287","91002","0","50","56011213","8"
"288","10201214","1001","1","56011214","15"
"289","10201215","1002","1","56011215","15"
"290","10201216","1003","1","56011216","15"
"291","91002","0","50","56011216","8"
"292","10201217","1001","1","56011217","15"
"293","10201218","1002","1","56011218","15"
"294","10201219","1003","1","56011219","15"
"295","91002","0","50","56011219","8"
"296","10201220","1001","1","56011220","15"
"297","10201221","1002","1","56011221","15"
"298","10201222","1003","1","56011222","15"
"299","91002","0","50","56011222","8"
"300","10201223","1001","1","56011223","15"
"301","10201224","1002","1","56011224","15"
"302","10201225","1003","1","56011225","15"
"303","91002","0","50","56011225","8"
"304","10201226","1001","1","56011226","15"
"305","10201227","1002","1","56011227","15"
"306","10201228","1003","1","56011228","15"
"307","91002","0","50","56011228","8"
"308","10201229","1001","1","56011229","15"
"309","10201230","1002","1","56011230","15"
"310","10201231","1003","1","56011231","15"
"311","91002","0","50","56011231","8"
"312","10201232","1001","1","56011232","15"
"313","10201233","1002","1","56011233","15"
"314","10201234","1003","1","56011234","15"
"315","91002","0","50","56011234","8"
"316","10202001","1003","1","56012001","15"
"317","10202002","1003","1","56012002","15"
"318","10202003","1003","1","56012003","15"
"319","10202004","1003","1","56012004","15"
"320","10202005","1003","1","56012005","15"
"321","10202006","1003","1","56012006","15"
"322","10202007","1003","1","56012007","15"
"323","10202008","1003","1","56012008","15"
"324","10202009","1003","1","56012009","15"
"325","10202010","1003","1","56012010","15"
"326","10202011","1003","1","56012011","15"
"327","10202012","1003","1","56012012","15"
"328","10202013","1003","1","56012013","15"
"329","10202014","1003","1","56012014","15"
"330","10202015","1003","1","56012015","15"
"447","10501001","1001","1","54002001","15"
"448","91002","0","50","54002001","8"
"449","10501002","1002","1","54002002","15"
"450","91002","0","50","54002002","8"
"451","10501003","1003","1","54002003","15"
"452","91002","0","50","54002003","8"
"453","10502001","1001","1","54004001","15"
"454","91002","0","50","54004001","8"
"455","10502002","1002","1","54004002","15"
"456","91002","0","50","54004002","8"
"457","10502003","1003","1","54004003","15"
"458","91002","0","50","54004003","8"
"459","10601001","1001","1","55006001","15"
"460","91002","0","10","55006001","8"
"461","10601002","1002","1","55006002","15"
"462","91002","0","30","55006002","8"
"463","10601003","1003","1","55006003","15"
"464","91002","0","50","55006003","8"
"465","10201235","1001","1","56011235","15"
"466","10201236","1002","1","56011236","15"
"467","10201237","1003","1","56011237","15"
"468","91002","0","50","56011237","8"
"469","10201238","1001","1","56011238","15"
"470","10201239","1002","1","56011239","15"
"471","10201240","1003","1","56011240","15"
"472","91002","0","50","56011240","8"
"473","10201241","1001","1","56011241","15"
"474","10201242","1002","1","56011242","15"
"475","10201243","1003","1","56011243","15"
"476","91002","0","50","56011243","8"
"477","10201244","1001","1","56011244","15"
"478","10201245","1002","1","56011245","15"
"479","10201246","1003","1","56011246","15"
"480","91002","0","50","56011246","8"
"481","10201247","1001","1","56011247","15"
"482","10201248","1002","1","56011248","15"
"483","10201249","1003","1","56011249","15"
"484","91002","0","50","56011249","8"
"485","10201250","1001","1","56011250","15"
"486","10201251","1002","1","56011251","15"
"487","10201252","1003","1","56011252","15"
"488","91002","0","50","56011252","8"
"489","10201253","1001","1","56011253","15"
"490","10201254","1002","1","56011254","15"
"491","10201255","1003","1","56011255","15"
"492","91002","0","50","56011255","8"
"493","10201256","1001","1","56011256","15"
"494","10201257","1002","1","56011257","15"
"495","10201258","1003","1","56011258","15"
"496","91002","0","50","56011258","8"
"497","10201259","1001","1","56011259","15"
"498","10201260","1002","1","56011260","15"
"499","10201261","1003","1","56011261","15"
"500","91002","0","50","56011261","8"
"501","10201262","1001","1","56011262","15"
"502","10201263","1002","1","56011263","15"
"503","10201264","1003","1","56011264","15"
"504","91002","0","50","56011264","8"
"505","10201265","1001","1","56011265","15"
"506","10201266","1002","1","56011266","15"
"507","10201267","1003","1","56011267","15"
"508","91002","0","50","56011267","8"
"509","10201268","1001","1","56011268","15"
"510","10201269","1002","1","56011269","15"
"511","10201270","1003","1","56011270","15"
"512","91002","0","50","56011270","8"
"513","10201271","1003","1","56011271","15"
"514","91002","0","100","56011271","8"
"515","10201272","1003","1","56011272","15"
"516","91002","0","100","56011272","8"
"517","10201273","1003","1","56011273","15"
"518","91002","0","100","56011273","8"
"519","10201274","1001","1","56011274","15"
"520","10201275","1002","1","56011275","15"
"521","10201276","1003","1","56011276","15"
"522","91002","0","50","56011276","8"
"523","10201277","1001","1","56011277","15"
"524","10201278","1002","1","56011278","15"
"525","10201279","1003","1","56011279","15"
"526","91002","0","50","56011279","8"
"527","10201280","1001","1","56011280","15"
"528","10201281","1002","1","56011281","15"
"529","10201282","1003","1","56011282","15"
"530","91002","0","50","56011282","8"
"531","10201283","1001","1","56011283","15"
"532","10201284","1002","1","56011284","15"
"533","10201285","1003","1","56011285","15"
"534","91002","0","50","56011285","8"
"535","10201286","1003","1","56011286","15"
"536","91002","0","100","56011286","8"
"537","11101001","1001","1","56014001","15"
"538","91002","0","10","56014001","8"
"539","11101002","1002","1","56014002","15"
"540","91002","0","20","56014002","8"
"541","11101003","1003","1","56014003","15"
"542","91002","0","50","56014003","8"
"543","11201001","1001","1","56015001","15"
"544","91002","0","50","56015001","8"
"545","11201002","1002","1","56015002","15"
"546","91002","0","50","56015002","8"
"547","11201003","1003","1","56015003","15"
"548","91002","0","50","56015003","8"
"549","10201287","1001","1","56011287","15"
"550","10201288","1002","1","56011288","15"
"551","10201289","1003","1","56011289","15"
"552","91002","0","50","56011289","8"
"553","10201290","1001","1","56011290","15"
"554","10201291","1002","1","56011291","15"
"555","10201292","1003","1","56011292","15"
"556","91002","0","50","56011292","8"
"557","10201293","1003","1","56011293","15"
"558","91002","0","100","56011293","8"
"559","10201294","1001","1","56011294","15"
"560","10201295","1002","1","56011295","15"
"561","10201296","1003","1","56011296","15"
"562","91002","0","50","56011296","8"
"563","10201297","1001","1","56011297","15"
"564","10201298","1002","1","56011298","15"
"565","10201299","1003","1","56011299","15"
"566","91002","0","50","56011299","8"
"567","10201300","1001","1","56011300","15"
"568","10201301","1002","1","56011301","15"
"569","10201302","1003","1","56011302","15"
"570","91002","0","50","56011302","8"
"571","10201303","1003","1","56011303","15"
"572","91002","0","100","56011303","8"
"573","10201304","1001","1","56011304","15"
"574","10201305","1002","1","56011305","15"
"575","10201306","1003","1","56011306","15"
"576","91002","0","50","56011306","8"
"577","10301015","1003","1","58008015","15"
"578","91002","0","50","58008015","8"
"579","10201307","1001","1","56011307","15"
"580","10201308","1002","1","56011308","15"
"581","10201309","1003","1","56011309","15"
"582","91002","0","50","56011309","8"
"583","10201310","1001","1","56011310","15"
"584","10201311","1002","1","56011311","15"
"585","10201312","1003","1","56011312","15"
"586","91002","0","50","56011312","8"
"587","10201313","1003","1","56011313","15"
"588","91002","0","100","56011313","8"
"589","10201314","1001","1","56011314","15"
"590","10201315","1002","1","56011315","15"
"591","10201316","1003","1","56011316","15"
"592","91002","0","50","56011316","8"
"593","10201317","1001","1","56011317","15"
"594","10201318","1002","1","56011318","15"
"595","10201319","1003","1","56011319","15"
"596","91002","0","50","56011319","8"
"597","10201320","1001","1","56011320","15"
"598","10201321","1002","1","56011321","15"
"599","10201322","1003","1","56011322","15"
"600","91002","0","50","56011322","8"
"601","10201323","1003","1","56011323","15"
"602","91002","0","100","56011323","8"
"603","10201324","1001","1","56011324","15"
"604","10201325","1002","1","56011325","15"
"605","10201326","1003","1","56011326","15"
"606","91002","0","50","56011326","8"
"607","10201327","1001","1","56011327","15"
"608","10201328","1002","1","56011328","15"
"609","10201329","1003","1","56011329","15"
"610","91002","0","50","56011329","8"
"611","10201330","1001","1","56011330","15"
"612","10201331","1002","1","56011331","15"
"613","10201332","1003","1","56011332","15"
"614","91002","0","50","56011332","8"
"615","10201333","1003","1","56011333","15"
"616","91002","0","100","56011333","8"
"617","10201334","1003","1","56011334","15"
"618","91002","0","100","56011334","8"
"619","10201335","1003","1","56011335","15"
"620","91002","0","100","56011335","8"
"621","10202100","1003","1","56012100","15"
"622","10201336","1001","1","56011336","15"
"623","10201337","1002","1","56011337","15"
"624","10201338","1003","1","56011338","15"
"625","91002","0","50","56011338","8"
"626","10201339","1001","1","56011339","15"
"627","10201340","1002","1","56011340","15"
"628","10201341","1003","1","56011341","15"
"629","91002","0","50","56011341","8"
"630","10202016","1003","1","56012016","15"
"631","10201342","1003","1","56011342","15"
"632","91002","0","100","56011342","8"
"633","10201343","1001","1","56011343","15"
"634","10201344","1002","1","56011344","15"
"635","10201345","1003","1","56011345","15"
"636","91002","0","50","56011345","8"
"637","10201346","1001","1","56011346","15"
"638","10201347","1002","1","56011347","15"
"639","10201348","1003","1","56011348","15"
"640","91002","0","50","56011348","8"
"641","10201349","1003","1","56011349","15"
"642","91002","0","100","56011349","8"
"643","10603001","1001","1","55008001","15"
"644","91002","0","50","55008001","8"
"645","10603002","1001","1","55008002","15"
"646","91002","0","50","55008002","8"
"647","10603003","1002","1","55008003","15"
"648","91002","0","50","55008003","8"
"649","10603004","1002","1","55008004","15"
"650","91002","0","50","55008004","8"
"651","10603005","1003","1","55008005","15"
"652","91002","0","50","55008005","8"
"653","10603006","1003","1","55008006","15"
"654","91002","0","50","55008006","8"
"655","10201350","1001","1","56011350","15"
"656","10201351","1002","1","56011351","15"
"657","10201352","1003","1","56011352","15"
"658","91002","0","50","56011352","8"
"659","10201353","1001","1","56011353","15"
"660","10201354","1002","1","56011354","15"
"661","10201355","1003","1","56011355","15"
"662","91002","0","50","56011355","8"
"663","10201356","1001","1","56011356","15"
"664","10201357","1002","1","56011357","15"
"665","10201358","1003","1","56011358","15"
"666","91002","0","50","56011358","8"
"667","10201359","1003","1","56011359","15"
"668","91002","0","100","56011359","8"
"669","10201360","1001","1","56011360","15"
"670","10201361","1002","1","56011361","15"
"671","10201362","1003","1","56011362","15"
"672","91002","0","50","56011362","8"
"673","10201363","1001","1","56011363","15"
"674","10201364","1002","1","56011364","15"
"675","10201365","1003","1","56011365","15"
"676","91002","0","50","56011365","8"
"677","10202017","1003","1","56012017","15"
"678","10201366","1001","1","56011366","15"
"679","10201367","1002","1","56011367","15"
"680","10201368","1003","1","56011368","15"
"681","91002","0","50","56011368","8"
"682","10201369","1001","1","56011369","15"
"683","10201370","1002","1","56011370","15"
"684","10201371","1003","1","56011371","15"
"685","91002","0","50","56011371","8"
"686","10201372","1003","1","56011372","15"
"687","91002","0","100","56011372","8"
"688","10201373","1001","1","56011373","15"
"689","10201374","1002","1","56011374","15"
"690","10201375","1003","1","56011375","15"
"691","91002","0","50","56011375","8"
"692","10201376","1001","1","56011376","15"
"693","10201377","1002","1","56011377","15"
"694","10201378","1003","1","56011378","15"
"695","91002","0","50","56011378","8"
"696","10201379","1001","1","56011379","15"
"697","10201380","1002","1","56011380","15"
"698","10201381","1003","1","56011381","15"
"699","91002","0","50","56011381","8"
"700","10201382","1001","1","56011382","15"
"701","10201383","1002","1","56011383","15"
"702","10201384","1003","1","56011384","15"
"703","91002","0","50","56011384","8"
"704","10201385","1003","1","56011385","15"
"705","91002","0","100","56011385","8"
"706","10201386","1001","1","56011386","15"
"707","10201387","1002","1","56011387","15"
"708","10201388","1003","1","56011388","15"
"709","91002","0","50","56011388","8"
"710","10201389","1001","1","56011389","15"
"711","10201390","1002","1","56011390","15"
"712","10201391","1003","1","56011391","15"
"713","91002","0","50","56011391","8"
"714","10201392","1001","1","56011392","15"
"715","10201393","1002","1","56011393","15"
"716","10201394","1003","1","56011394","15"
"717","91002","0","50","56011394","8"
"718","10201395","1003","1","56011395","15"
"719","91002","0","100","56011395","8"
"720","10201396","1003","1","56011396","15"
"721","91002","0","100","56011396","8"
"722","10201397","1001","1","56011397","15"
"723","10201398","1002","1","56011398","15"
"724","10201399","1003","1","56011399","15"
"725","91002","0","50","56011399","8"
"726","10201400","1001","1","56011400","15"
"727","10201401","1002","1","56011401","15"
"728","10201402","1003","1","56011402","15"
"729","91002","0","50","56011402","8"
"730","10201403","1001","1","56011403","15"
"731","10201404","1002","1","56011404","15"
"732","10201405","1003","1","56011405","15"
"733","91002","0","50","56011405","8"
"734","10201406","1003","1","56011406","15"
"735","91002","0","100","56011406","8"
"736","10201407","1001","1","56011407","15"
"737","10201408","1002","1","56011408","15"
"738","10201409","1003","1","56011409","15"
"739","91002","0","50","56011409","8"
"740","10201410","1001","1","56011410","15"
"741","10201411","1002","1","56011411","15"
"742","10201412","1003","1","56011412","15"
"743","91002","0","50","56011412","8"
"744","10201413","1003","1","56011413","15"
"745","91002","0","100","56011413","8"
"746","10201414","1001","1","56011414","15"
"747","10201415","1002","1","56011415","15"
"748","10201416","1003","1","56011416","15"
"749","91002","0","50","56011416","8"
"750","10201417","1001","1","56011417","15"
"751","10201418","1002","1","56011418","15"
"752","10201419","1003","1","56011419","15"
"753","91002","0","50","56011419","8"
"754","10201420","1001","1","56011420","15"
"755","10201421","1002","1","56011421","15"
"756","10201422","1003","1","56011422","15"
"757","91002","0","50","56011422","8"
"758","10201423","1003","1","56011423","15"
"759","91002","0","100","56011423","8"
"760","10201424","1001","1","56011424","15"
"761","10201425","1002","1","56011425","15"
"762","10201426","1003","1","56011426","15"
"763","91002","0","50","56011426","8"
"764","10201427","1001","1","56011427","15"
"765","10201428","1002","1","56011428","15"
"766","10201429","1003","1","56011429","15"
"767","91002","0","50","56011429","8"
"768","10201430","1001","1","56011430","15"
"769","10201431","1002","1","56011431","15"
"770","10201432","1003","1","56011432","15"
"771","91002","0","50","56011432","8"
"772","10201433","1001","1","56011433","15"
"773","10201434","1002","1","56011434","15"
"774","10201435","1003","1","56011435","15"
"775","91002","0","50","56011435","8"
"776","10201436","1003","1","56011436","15"
"777","91002","0","100","56011436","8"
"778","10201437","1001","1","56011437","15"
"779","10201438","1002","1","56011438","15"
"780","10201439","1003","1","56011439","15"
"781","91002","0","50","56011439","8"
"782","10201440","1001","1","56011440","15"
"783","10201441","1002","1","56011441","15"
"784","10201442","1003","1","56011442","15"
"785","91002","0","50","56011442","8"
"786","10201443","1001","1","56011443","15"
"787","10201444","1002","1","56011444","15"
"788","10201445","1003","1","56011445","15"
"789","91002","0","50","56011445","8"
"790","10201446","1003","1","56011446","15"
"791","91002","0","100","56011446","8"
"792","10201447","1001","1","56011447","15"
"793","10201448","1002","1","56011448","15"
"794","10201449","1003","1","56011449","15"
"795","91002","0","50","56011449","8"
"796","10201450","1001","1","56011450","15"
"797","10201451","1002","1","56011451","15"
"798","10201452","1003","1","56011452","15"
"799","91002","0","50","56011452","8"
"800","10201453","1001","1","56011453","15"
"801","10201454","1002","1","56011454","15"
"802","10201455","1003","1","56011455","15"
"803","91002","0","50","56011455","8"
"804","10201456","1001","1","56011456","15"
"805","10201457","1002","1","56011457","15"
"806","10201458","1003","1","56011458","15"
"807","91002","0","50","56011458","8"
"808","10201459","1001","1","56011459","15"
"809","10201460","1002","1","56011460","15"
"810","10201461","1003","1","56011461","15"
"811","91002","0","50","56011461","8"
"812","10201462","1003","1","56011462","15"
"813","91002","0","100","56011462","8"
"814","10201463","1003","1","56011463","15"
"815","91002","0","100","56011463","8"
"816","10201464","1003","1","56011464","15"
"817","91002","0","100","56011464","8"
"818","10201465","1001","1","56011465","15"
"819","10201466","1002","1","56011466","15"
"820","10201467","1003","1","56011467","15"
"821","91002","0","50","56011467","8"
"822","10201468","1001","1","56011468","15"
"823","10201469","1002","1","56011469","15"
"824","10201470","1003","1","56011470","15"
"825","91002","0","50","56011470","8"
"826","10201471","1003","1","56011471","15"
"827","91002","0","100","56011471","8"
"828","10201472","1001","1","56011472","15"
"829","10201473","1002","1","56011473","15"
"830","10201474","1003","1","56011474","15"
"831","91002","0","50","56011474","8"
"832","10201475","1001","1","56011475","15"
"833","10201476","1002","1","56011476","15"
"834","10201477","1003","1","56011477","15"
"835","91002","0","50","56011477","8"
"836","10201484","1003","1","56011484","15"
"837","91002","0","100","56011484","8"
"838","10201485","1001","1","56011485","15"
"839","10201486","1002","1","56011486","15"
"840","10201487","1003","1","56011487","15"
"841","91002","0","50","56011487","8"
"842","10201488","1001","1","56011488","15"
"843","10201489","1002","1","56011489","15"
"844","10201490","1003","1","56011490","15"
"845","91002","0","50","56011490","8"
"846","10201491","1001","1","56011491","15"
"847","10201492","1002","1","56011492","15"
