c4767686b398e3b0079ac7855558b06b3c103ba950e8c3f38622c4e55303747b,da9a6f84b2d0f8ef02cc09e0ad5fafe6e68a70975d40571cad2197cea546b68a,8ca90db42e0970293e6dd59a47459b6c728326088297745ab24ebc56cfe55246,a26049f9e4c4e681d064336a354a1919dc501aa76680e13a6555ff8e4ab1108d,2993cebe8c07b2bbb469d076cfa4d4673db402a1eceba7196888bbd4f810a834,d0595a51a5b33f1e509205bfc0b43dd8960ecb6918fc3772fb2ccd65c3efc44b,89819b2cfa33c9a48e14e1ccac7e2c2d28736b9401f80429abacc2574f3f3851,85a0aabc580f2641cd39ef1cf195a0e8dd01cfca4f2c5b04d817e3630496381e,27cba17ee9a8ff28e1b641a4fff8c21e946278531941acf7b472801de96eb6e0,b58488b89523d948d90bec3c5ca2b40625c9485d1488434235b27d6486efe911,7dc33b624a30ba56e6069611a91ba73c92139d12de2361e47e15d93da7d572cc,d7312bb0986ae24e8ce6fca5ecb8d0256d35b6f3ff0428a418c3eeae5980eb64,2939c765bc8d21cd61e2375a9693fbbd752e6f14b37264f202b8e5503fcf353b,ac6ec827301036016f518055ec68dcfda0e9f0ee6aa75e36dfb7ed1e75930fb5,47416c9d4bd784c1e63aba6eacaff14065cb5f4989f5b77b386beaf2c0bcd05b,c84599157163c71a76373c8420e29f872ed22a2b7ba4bd2bc92e9c3d014f01b3
"遊びと睡眠が何より大事なぐうたら娘","144","1","test","42","獣人族","102601","1","あんパン","小岩井ことり","牧場（エリザベスパーク）","0","B","11","17","リン"
"運命の相手に一途すぎる乙女","154","30","『壊し屋』の二つ名を持つ私…\nですが、怖がる必要はありませんわ\nあなた様は大切な運命の人ですから…","43","魔族","102701","7","実験、裁縫、料理","橋本ちなみ","トワイライトキャラバン","0","B","13","16","エリコ"
"救護院を経営する優しい庶民派お嬢様","156","4","貧乏性？　いいえ、\n「もったいない」の精神で\n日々を過ごしてるだけよ！","43","エルフ","102801","10","経営、お茶会","堀江由衣","サレンディア救護院","0","A","9","17","サレン"
"歌って踊れる大人気アイドル","157","24","いつか世界中の人達をファンにしてみせる！\nトップアイドルになるその日まで、\n応援よろしくね♪","40","ヒューマン","102901","1","舞台鑑賞、ダンス","日笠陽子","カルミナ","0","B","4","17","ノゾミ"
"トーゴクの神秘、オシエテクダサイ！","163","31","スシ、ゲイシャ、テンプラ…\nはふぅ～！\nトーゴクの文化はステキデスね～！","51","ヒューマン","103001","8","忍法開発","佐藤聡美","ヴァイスフリューゲル　ランドソル支部","0","O","15","16","ニノン"
"占いが得意な霊能少女","157","22","私、小さい頃から人には見えないものが\n見えていたんです。今もあなたの後ろに\n一人、二人、三人…賑やかですね","42","魔族","103101","12","占い","大坪由佳","悪魔偽王国軍（ディアボロス）","0","AB","7","18","シノブ"
"一人前の商人を目指すパワフルお嬢様","157","12","この私とともにいる限り、\nお金に不自由はさせませんわ！","45","ヒューマン","103201","3","慈善事業","松嵜麗","メルクリウス財団","0","AB","12","18","アキノ"
"みんなを笑顔にするお笑い牧場主","142","3","オラはどんな時でもみんなに笑顔を届ける\n最高の芸人目指してる！\n一緒に頑張るべ！","35","ヒューマン","103301","3","漫才","新田恵海","牧場（エリザベスパーク）","0","B","11","20","マヒル"
"純情でほっとけない大人の女性","164","16","キミには情けないところばかり\n見られているけど、こんなところ、\nキミ以外には見せないんだからね？","55","エルフ","103401","3","ウインドーショッピング","今井麻美","メルクリウス財団","0","A","12","22","ユカリ"
"礼儀正しくしっかり者のちびっ子優等生","118","2","test","21","エルフ","103601","2","お勉強","小倉唯","リトルリリカル","0","A","5","8","キョウカ"
"義理堅くてからかい好きな剣術少女","149","11","test","43","ヒューマン","103701","8","剣術、年長者をからかう","茅原実里","王宮騎士団（NIGHTMARE）","0","A","8","13","トモ"
"読書が趣味の病弱少女","153","3","ゴホッ、ゴホッ…か、身体は弱いけど、\nせめて気持ちだけでも前向きに…！\nあっ、でもダメ…立ちくらみが…","40","獣人族","103801","11","読書、お散歩","小清水亜美","牧場（エリザベスパーク）","0","A","11","14","シオリ"
"「友達」に憧れる、エルフの森の女の子","158","6","友達ができるその日まで…\nBB団で\nトレーニングですっ！","44","エルフ","104001","6","友達作りのイメトレ","花澤香菜","フォレスティエ","0","AB","6","13","アオイ"
"人々を守るために歌う、唱喚士の少女","163","3","私は人々の平和を守るため、唱喚術を使って\n戦います。…最近は、ア、アイドルとしても\n活動してますが、そちらはまだ不慣れで…","46","ヒューマン","104201","6","各種楽器","福原綾香","カルミナ","0","O","4","17","チカ"
"男勝りで情に厚いワイルド娘","168","9","腹へってたら言えよな\n簡単でよければ\nすっげー旨いもん食わせてやるよ！","54","獣人族","104301","8","お菓子作り","小松未可子","自警団（カォン）","0","O","10","17","マコト"
"かつては夜を支配した最強の吸血鬼","172","5","test","50","魔族","104401","5","世界征服","丹下桜","悪魔偽王国軍（ディアボロス）","0","A","7","??","イリヤ"
"妄想大好き！　ほんとは照れ屋な女の子","157","19","あなたのことを考えていました\n…逆らえないクウカをああして、こうして\nぐふ、ぐふふふ…","49","ヒューマン","104501","11","小説を読むこと","長妻樹里","ヴァイスフリューゲル　ランドソル支部","0","AB","15","18","クウカ"
"弱きを助け強きをくじく猫娘","158","1","お金もうけの話なら、ぜひともあたしに\n持ってくるにゃ！　稼げるなら１ルピだって\n見逃さないのが、あたしの信条にゃ～♪","48","獣人族","104601","3","猫とたわむれること","沼倉愛美","メルクリウス財団","0","AB","12","18","タマキ"
"素顔を見せない冷静沈着な女性騎士","171","25","？？？","50","ヒューマン","104701","10","格闘技、湯浴み","川澄綾子","王宮騎士団（NIGHTMARE）","0","A","8","25","ジュン"
"仕事も私事も効率優先な傭兵少女","163","11","私がキミの師匠になってあげる！\nもちろんタダとはいかないわ\n時給はしっかりもらうから","49","ヒューマン","104801","11","傭兵などのアルバイト","田所あずさ","メルクリウス財団","0","O","12","20","ミフユ"
"お姉ちゃんがお世話してあげるからねっ！","168","24","身の回りのお世話はお姉ちゃんがやってあげるね！\nお料理も、お洗濯も、お掃除も\nお風呂で背中も流してあげちゃうぞっ！","54","ヒューマン","104901","10","家事全般","生天目仁美","ラビリンス","0","O","3","18","シズル"
"ちょっとおませな恋に恋する女の子","120","3","アタシのこと呼んだ？\nレディの魅力で夢中にさせてあげるわね！","22","魔族","105001","1","ファッション誌鑑賞、コスメ集め","久野美咲","ルーセント学院","0","A","14","11","ミサキ"
"実験が趣味の危険な科学者","166","7","私は科学者だけど、\n医者の真似事もしてるの\n病気になったら診てあげるわ","53","ヒューマン","105101","3","研究、実験","三石琴乃","トワイライトキャラバン","0","A","13","27","ミツキ"
"乙女チックなもふもふアニマル","150","14","私、ごく普通の、どこにでもいる女の子よ！\nみ、見た目以外はね…","100","獣人族","105201","3","毛繕い、お喋り","徳井青空","牧場（エリザベスパーク）","0","A","11","18","リマ"
"見た目も中身もお子ちゃまな異国の軍人","140","28","「白き翼」こと、ヴァイスフリューゲル…\nその名に恥じぬよう、天高く舞い、\n華麗に敵を倒してみせる！","33","ヒューマン","105301","7","お菓子屋通い","辻あゆみ","ヴァイスフリューゲル　ランドソル支部","0","A","15","18","モニカ"
"ファッション大好きなキュートガール","153","7","test","45","ヒューマン","105401","9","裁縫","木戸衣吹","カルミナ","0","AB","4","14","ツムギ"
"どこまでも一途に慕う、純情乙女","155","7","test","43","エルフ","105501","4","観察","大関英里","ヴァイスフリューゲル　ランドソル支部","0","O","15","16","アユミ"
"人情味溢れる粋でいなせな「姉御」","167","11","test","54","ヒューマン","105601","7","釣り","佐藤利奈","トワイライトキャラバン","0","B","13","25","ルカ"
"空への冒険を夢見る騎空士の少女","156","10","私ね、一人前の騎空士になりたいんだ\nいつか父さんみたいな騎空士になって、\n空の果てまで旅する。それが私の夢だよ！","45","ヒューマン","105701","3","冒険、おしゃべり","金元寿子","？？？","0","O","","17","ジータ"
"いつも元気な腹ペコ少女","156","31","あ、あの…何か食べ物持っていませんか？\nもう、お腹ペコペコで…","46","ヒューマン","105801","3","食べ歩き、料理","M・A・O","美食殿","0","O","1","17","ペコリーヌ"
"主を慕う、小さなガイド役","140","11","主さまのガイド役を仰せつかりました\nわたくし、主さまに満足していただけるよう\n誠心誠意尽くさせていただきます","35","エルフ","105901","5","瞑想、動植物の飼育","伊藤美来","美食殿","0","B","1","11","コッコロ"
"行き倒れの謎のネコミミ魔法使い","152","2","なに、モタモタしてんのよ\n仕方ないから、あたしが手伝ってあげるわ\nいい？　感謝しなさいよね！","39","獣人族","106001","9","猫と遊ぶ","立花理香","美食殿","0","A","1","14","キャル"
"さまよえる謎の少女","148","11","いいんだ、アタシは……独りでも。大丈夫だから、もう慣れたからさぁ","40","ヒューマン","106101","8","冒険、思い出話","潘めぐみ","？？？","0","O","","16","ムイミ"
"森番を目指すエルフの少女","155","17","","42","エルフ","106301","6","キレイな葉っぱを集めること","優木かな","？？？","0","O","","15","アリサ"
"記憶喪失のドラゴン娘","147","14","","???","ドラゴン族","106401","12","読書、ストレッチ","近藤玲奈","美食殿","0","B","1","14","シェフィ"
"拳で語る喧嘩屋ドラゴン少女","156","25","","???","ドラゴン族","106501","6","格闘技","小市眞琴","ドラゴンズネスト","0","B","17","16","カヤ"
"口が達者なヘタレドラゴン","145","29","","???","ドラゴン族","106601","9","ゲーム","藤田茜","ドラゴンズネスト","0","AB","17","13","イノリ"
"妖しい微笑で全てを見透かす臥竜の頭領","168","17","","???","ドラゴン族","106701","4","絵画、読書","大西沙織","ドラゴンズネスト","0","O","17","25","ホマレ"
"秘密結社ラビリンスの『迷宮女王』","160","25","","??","ヒューマン","106801","7","人間観察","沢城みゆき","ラビリンス","0","AB","3","25","ラビリスタ"
"謎に包まれたランドソルの主","166","1","","??","獣人族","106901","7","占い、支配","蒼井翔太","？？？","0","AB","","29","カイザーインサイト"
"研究所に隠れ住む物静かなお姉さん","149","24","","??","エルフ","107001","3","物真似、芸術鑑賞","井口裕香","？？？","0","O","","24","ネネカ"
"傍若無人な王宮騎士団副団長","165","7","","??","ヒューマン","107101","2","強敵との闘争","たかはし智秋","王宮騎士団（NIGHTMARE）","0","O","8","27","クリスティーナ"
"いつも元気な腹ペコ少女","156","31","あ、あの…何か食べ物持っていませんか？\nもう、お腹ペコペコで…","46","ヒューマン","107501","3","食べ歩き、料理","M・A・O","美食殿","0","O","1","17","ペコリーヌ（サマー）"
"主を慕う、小さなガイド役","140","11","主さまのガイド役を仰せつかりました\nわたくし、主さまに満足していただけるよう\n誠心誠意尽くさせていただきます","35","エルフ","107601","5","瞑想、動植物の飼育","伊藤美来","美食殿","0","B","1","11","コッコロ（サマー）"
"お嬢さまのためにがんばるドジっ娘メイド","154","12","うぅ…ごめんなさい～…\nまたキッチンを爆発させてしまいました～\nこれじゃあメイド失格です…","43","ヒューマン","107701","12","ご奉仕","悠木碧","サレンディア救護院","0","O","9","15","スズメ（サマー）"
"行き倒れの謎のネコミミ魔法使い","152","2","なに、モタモタしてんのよ\n仕方ないから、あたしが手伝ってあげるわ\nいい？　感謝しなさいよね！","39","獣人族","107801","9","猫と遊ぶ","立花理香","美食殿","0","A","1","14","キャル（サマー）"
"弱きを助け強きをくじく猫娘","158","1","お金もうけの話なら、ぜひともあたしに\n持ってくるにゃ！　稼げるなら１ルピだって\n見逃さないのが、あたしの信条にゃ～♪","48","獣人族","107901","3","猫とたわむれること","沼倉愛美","メルクリウス財団","0","AB","12","18","タマキ（サマー）"
"仕事も私事も効率優先な傭兵少女","163","11","私がキミの師匠になってあげる！\nもちろんタダとはいかないわ\n時給はしっかりもらうから","49","ヒューマン","108001","11","傭兵などのアルバイト","田所あずさ","メルクリウス財団","0","O","12","20","ミフユ（サマー）"
"占いが得意な霊能少女","157","22","私、小さい頃から人には見えないものが\n見えていたんです。今もあなたの後ろに\n一人、二人、三人…賑やかですね","42","魔族","108101","12","占い","大坪由佳","悪魔偽王国軍（ディアボロス）","0","AB","7","18","シノブ（ハロウィン）"
"プリン大好きゴースト娘","130","23","難しいことはわからないの～\nただ毎日プリンを食べられるなら、\n幽霊のままでいいの～","32","魔族","108201","1","プリンを食べること","雨宮天","悪魔偽王国軍（ディアボロス）","0","B","7","14","ミヤコ（ハロウィン）"
"ちょっとおませな恋に恋する女の子","120","3","アタシのこと呼んだ？\nレディの魅力で夢中にさせてあげるわね！","22","魔族","108301","1","ファッション誌鑑賞、コスメ集め","久野美咲","ルーセント学院","0","A","14","11","ミサキ（ハロウィン）"
"人々を守るために歌う、唱喚士の少女","163","3","私は人々の平和を守るため、唱喚術を使って\n戦います。…最近は、ア、アイドルとしても\n活動してますが、そちらはまだ不慣れで…","46","ヒューマン","108401","6","各種楽器","福原綾香","カルミナ","0","O","4","17","チカ（クリスマス）"
"泣き虫で臆病な守ってあげたい女の子","150","9","あの、えっと…私、く、クルミですぅ…\nふ、ふぇぇぇ…ど、どうしようぅ…\nは、恥かしくて…ご、ごめんなさいぃぃ！","40","ヒューマン","108501","6","観劇、おままごと","植田佳奈","サレンディア救護院","0","B","9","12","クルミ（クリスマス）"
"ぷうきちといつも一緒！","148","10","この子はね、ぷうきちって言うんだ\n武器なんだけど、しゃべるんだよ♪\n大事な大事な、私の友達なんだぁ～！","38","ヒューマン","108601","5","屋内でできる遊び","芹澤優","サレンディア救護院","0","B","9","14","アヤネ（クリスマス）"
"人助けが大好き！　前向き格闘娘","155","27","こんにちは！　ヒヨリでっす！\n困っている人がいたら助けにいくよ！\nよかったら一緒に来ない？","44","獣人族","108701","8","人助け、応援","東山奈央","トゥインクルウィッシュ","0","A","2","16","ヒヨリ（ニューイヤー）"
"戦闘のサポートが得意な、心優しい少女","158","5","あんまり役に立てるかはわからないけど…\nわたしも頑張って、\nみんなをサポートするね！","47","ヒューマン","108801","4","料理、人間観察","種田梨沙","トゥインクルウィッシュ","0","O","2","17","ユイ（ニューイヤー）"
"クールで何事にも真っ直ぐな剣士","163","12","キミと会ったのもきっと何かの縁だ\n一緒に塔の頂上を目指す仲間として\n頑張っていこう。よろしく頼む","46","魔族","108901","1","読書、乗馬、お茶","早見沙織","トゥインクルウィッシュ","0","B","2","18","レイ（ニューイヤー）"
"運命の相手に一途すぎる乙女","154","30","『壊し屋』の二つ名を持つ私…\nですが、怖がる必要はありませんわ\nあなた様は大切な運命の人ですから…","43","魔族","109001","7","実験、裁縫、料理","橋本ちなみ","トワイライトキャラバン","0","B","13","16","エリコ（バレンタイン）"
"お姉ちゃんがお世話してあげるからねっ！","168","24","身の回りのお世話はお姉ちゃんがやってあげるね！\nお料理も、お洗濯も、お掃除も\nお風呂で背中も流してあげちゃうぞっ！","54","ヒューマン","109101","10","家事全般","生天目仁美","ラビリンス","0","O","3","18","シズル（バレンタイン）"
"英霊と契約を結んだマナリアの天才王女","156","1","私はアン！一応、マナリア王国の\n第一王女だけど…あまりかしこまらないで、\n気軽に仲良くしてくれたら嬉しいな！","55","ヒューマン","109201","12","読書","日笠陽子","？？？","0","AB","","17","アン"
"マナリア魔法学院の新入生","144","4","ルゥはルゥですぅ！マナリア魔法学院に\n通ってるですぅ。あなたもルゥの\nお友だちになってくれるですか？","45","ヒューマン","109301","2","食べること、眠ること","こやまきみこ","？？？","0","O","","15","ルゥ"
"人を超越した力を有す心優しい竜姫","167","3","私はグレア。竜と人、両方の血を\n受け継いでいるの…\nえっと…よ、よろしくね","67","半人半竜","109401","11","ピアノ","福原綾香","？？？","0","B","","17","グレア"
"妄想大好き！　ほんとは照れ屋な女の子","157","19","あなたのことを考えていました\n…逆らえないクウカをああして、こうして\nぐふ、ぐふふふ…","49","ヒューマン","109501","11","小説を読むこと","長妻樹里","ヴァイスフリューゲル　ランドソル支部","0","AB","15","18","クウカ（オーエド）"
"トーゴクの神秘、オシエテクダサイ！","163","31","スシ、ゲイシャ、テンプラ…\nはふぅ～！\nトーゴクの文化はステキデスね～！","51","ヒューマン","109601","8","忍法開発","佐藤聡美","ヴァイスフリューゲル　ランドソル支部","0","O","15","16","ニノン（オーエド）"
"鬼がかりの万能妹メイド","154","2","","??","鬼族","109701","2","演劇鑑賞、詩文","水瀬いのり","？？？","0","?","","17","レム"
"毒舌系鬼姉メイド","154","2","","??","鬼族","109801","2","読書","村川梨衣","？？？","0","?","","17","ラム"
"銀髪のおっとりハーフエルフ","164","23","","??","ハーフエルフ","109901","9","パックの毛繕い、勉強","高橋李依","？？？","0","?","","114","エミリア"
"天真爛漫で人気者のカリスマモデル","167","10","ヒデサイ、ちょっす～！　うち、漢字と計算は\nちょっち…てか、おに苦手なんだ～\nでもでも、ファッションだったら任せて～！","48","魔族","110001","4","ファッション","上坂すみれ","ルーセント学院","0","O","14","18","スズナ（サマー）"
"多くの男性を魅了する無垢な女教師","162","14","いつも助けてくれてありがとう\n私のほうが年上なのに\n頼ってばかりでごめんなさい～","52","魔族","110101","8","恋愛小説、恋愛舞台、恋愛漫画の鑑賞","伊藤静","ルーセント学院","0","B","14","23","イオ（サマー）"
"ちょっとおませな恋に恋する女の子","120","3","","22","魔族","110201","1","ファッション誌鑑賞、コスメ集め","久野美咲","ルーセント学院","0","A","14","11","ミサキ（サマー）"
"救護院を経営する優しい庶民派お嬢様","156","4","貧乏性？　いいえ、\n「もったいない」の精神で\n日々を過ごしてるだけよ！","43","エルフ","110301","10","経営、お茶会","堀江由衣","サレンディア救護院","0","A","9","17","サレン（サマー）"
"男勝りで情に厚いワイルド娘","168","9","腹へってたら言えよな\n簡単でよければ\nすっげー旨いもん食わせてやるよ！","54","獣人族","110401","8","お菓子作り","小松未可子","自警団（カォン）","0","O","10","17","マコト（サマー）"
"いつでも「なんくるないさ～」な天然娘","158","7","ハイターイ！　歌って踊って、\n最高に盛り上がるさ～！\nやさやさ、キミも一緒に踊るさ～！","53","獣人族","110501","7","踊り、空手","高森奈津美","自警団（カォン）","0","A","10","19","カオリ（サマー）"
"マホマホ王国のプリンセス","155","22","マホマホ王国のお姫はんの、マホ姫どす！\nけったいな顔してどないしはったん？\nマホマホ王国はずーっと遠くの国なんどす？","42","獣人族","110601","9","空想、ぬいぐるみ集め","内田真礼","自警団（カォン）","0","O","10","16","マホ（サマー）"
"「友達」に憧れる、エルフの森の女の子","158","6","","44","エルフ","110701","6","友達作りのイメトレ","花澤香菜","フォレスティエ","0","AB","6","13","アオイ（編入生）"
"ダウンタウン育ちのダウナー系エルフ","154","7","","42","エルフ","110801","8","ダーツ","種﨑敦美","聖テレサ女学院（なかよし部）","0","O","16","17","クロエ"
"自由奔放ナチュラル無礼な現代っ子","156","15","","46","ヒューマン","110901","9","ダンス、カラオケ","佐倉綾音","聖テレサ女学院（なかよし部）","0","O","16","16","チエル"
"書庫に眠れる小さな賢人","142","28","","36","ヒューマン","111001","2","読書","小原好美","聖テレサ女学院（なかよし部）","0","O","16","18","ユニ"
"礼儀正しくしっかり者のちびっ子優等生","118","2","","21","エルフ","111101","2","お勉強","小倉唯","リトルリリカル","0","A","5","8","キョウカ（ハロウィン）"
"探検好きのイタズラっ子","128","10","イタズラなら任せて！\nにいちゃん、引っかからないように気を付けなよー♪","27","ヒューマン","111201","8","いたずら、探検","諸星すみれ","リトルリリカル","0","O","5","9","ミソギ（ハロウィン）"
"お歌もにんじんも、ウサギさんも大好き♪","117","3","ぴょんぴょん、うさぎさんになりたいな～♪　\nミミ、うさぎさんになれたら、\n最初におにいちゃんに見せてあげるね！","21","獣人族","111301","4","かわいいもの集め","日高里菜","リトルリリカル","0","O","5","10","ミミ（ハロウィン）"
"おともだちを探す死霊術師の少女","142","?","","28","ヒューマン","111401","?","「おともだち」を探すこと","小倉唯","？？？","0","?","","??","ルナ"
"傍若無人な王宮騎士団副団長","165","7","","??","ヒューマン","111501","2","強敵との闘争","たかはし智秋","王宮騎士団（NIGHTMARE）","0","O","8","27","クリスティーナ（クリスマス）"
"歌って踊れる大人気アイドル","157","24","","40","ヒューマン","111601","1","舞台鑑賞、ダンス","日笠陽子","カルミナ","0","B","4","17","ノゾミ（クリスマス）"
"かつては夜を支配した最強の吸血鬼","172","5","","50","魔族","111701","5","世界征服","丹下桜","悪魔偽王国軍（ディアボロス）","0","A","7","??","イリヤ（クリスマス）"
"いつも元気な腹ペコ少女","156","31","あ、あの…何か食べ物持っていませんか？\nもう、お腹ペコペコで…","46","ヒューマン","111801","3","食べ歩き、料理","M・A・O","美食殿","0","O","1","17","ぺコリーヌ（ニューイヤー）"
"主を慕う、小さなガイド役","140","11","主さまのガイド役を仰せつかりました\nわたくし、主さまに満足していただけるよう\n誠心誠意尽くさせていただきます","35","エルフ","111901","5","瞑想、動植物の飼育","伊藤美来","美食殿","0","B","1","11","コッコロ（ニューイヤー）"
