e80e044454f0b1b522ee6670f44a422a6fea1fe2ac024174a6fc10882ccf5d16,88c3f59f87cd4c18d78250580711b9102e836b6913ac87ea14302fb891e638c6,d050ac38aa4b840565839d1abb051e373367ecaf84de2e63da666606ce0f0b18,47c6fac65b8cc0676cb306da052cad115fd9b0470919c03d5f0be107c07f73ec,f8903ccd589da123afb282074c275fc39016830966f02a34fcd996d705ef90d5,6efe1c87448d740f46a912d5a249f0505cc51bac412c94623dc66376d10b9b20,8c5f75820d813334ebb976169a23a934a219f6ac146c096bf3d6cb89f4a9a0c7,0f2da70dc2a9dbefde9bec2df5d1d49812c47d6b388ee11ad0ae451946263d93,dea1821b5cb00d51a7b2e7b38d6ea6f763d267c5bd070121d7bc04ed307b4374,16e0b4d4b37c0e211398231e1352d6c64f3b609e82b7c08bf66ef9e258f84e78,6bcb39f8627d5f093d6897f5f4b50dde3bd9b10c47817d6858d4418dc4c05ca2,833438461639a8867bad013410ac0f49bc793551309355cb94b12ae88677d23b
"0","0","0","16","0","vo_ske","1005802","0","vo_ske_0203","100580216","0","2"
"90","0","0","17","4","0","1005802","0","0","100580217","0.655","1"
"0","0","1","18","0","0","1005802","1.632","0","100580218","0","4"
"270","90","0","19","4","0","1005802","0","0","100580219","1.586","1"
"0","0","1","20","0","0","1005802","2.357","0","100580220","0","4"
"336","270","0","21","4","0","1005802","0","0","100580221","0.386","1"
"0","0","1","22","0","0","1005802","0.386","0","100580222","0","4"
"110","0","0","23","5","0","1005802","0","0","100580223","0.872","1"
"0","0","1","24","0","0","1005802","3.189","0","100580224","0","4"
"0","0","0","25","0","vo_ske","1005802","0","vo_ske_0204","100580225","0","2"
"241","110","0","26","5","0","1005802","0","0","100580226","1.065","1"
"0","0","1","27","0","0","1005802","1.882","0","100580227","0","4"
"359","241","0","28","5","0","1005802","0","0","100580228","0.888","1"
"0","0","1","29","0","0","1005802","0.888","0","100580229","0","4"
"66","0","0","30","6","0","1005802","0","0","100580230","0.607","1"
"0","0","1","31","0","0","1005802","1.21","0","100580231","0","4"
"158","66","0","32","6","0","1005802","0","0","100580232","0.933","1"
"0","0","1","33","0","0","1005802","2.332","0","100580233","0","4"
"360","158","0","34","6","0","1005802","0","0","100580234","1.649","1"
"0","0","1","35","0","0","1005802","4.223","0","100580235","0","4"
"0","0","0","36","0","vo_ske","1005802","0","vo_ske_0205","100580236","0","2"
"102","0","0","37","7","0","1005802","0","0","100580237","0.349","1"
"0","0","1","38","0","0","1005802","1.46","0","100580238","0","4"
"285","102","0","39","7","0","1005802","0","0","100580239","1.532","1"
"0","0","1","40","0","0","1005802","2.11","0","100580240","0","4"
"336","285","0","41","7","0","1005802","0","0","100580241","0.341","1"
"0","0","1","42","0","0","1005802","0.341","0","100580242","0","4"
"176","0","0","43","8","0","1005802","0","0","100580243","1.202","1"
"0","0","1","44","0","0","1005802","3.101","0","100580244","0","4"
"0","0","0","45","0","vo_ske","1005802","0","vo_ske_0206","100580245","0","2"
"85","0","0","46","9","0","1005802","0","0","100580246","0.706","1"
"0","0","1","47","0","0","1005802","1.796","0","100580247","0","4"
"331","85","0","48","9","0","1005802","0","0","100580248","1.854","1"
"0","0","1","49","0","0","1005802","2.709","0","100580249","0","4"
"139","0","0","50","10","0","1005802","0","0","100580250","1.202","1"
"0","0","1","51","0","0","1005802","3.52","0","100580251","0","4"
"0","0","0","52","0","vo_ske","1005802","0","vo_ske_0207","100580252","0","2"
"228","139","0","53","10","0","1005802","0","0","100580253","0.754","1"
"0","0","1","54","0","0","1005802","1.291","0","100580254","0","4"
"293","228","0","55","10","0","1005802","0","0","100580255","0.505","1"
"0","0","1","56","0","0","1005802","2.624","0","100580256","0","4"
"0","0","0","57","0","vo_ske","1005802","0","vo_ske_0208","100580257","0","2"
"130","0","0","58","11","0","1005802","0","0","100580258","1.061","1"
"0","0","1","59","0","0","1005802","1.6","0","100580259","0","4"
"310","130","0","60","11","0","1005802","0","0","100580260","1.645","1"
"0","0","1","61","0","0","1005802","2.3","0","100580261","0","4"
"240","0","0","62","12","0","1005802","0","0","100580262","1.616","1"
"0","0","1","63","0","0","1005802","3.913","0","100580263","0","4"
"0","0","0","64","0","vo_ske","1005802","0","vo_ske_0209","100580264","0","2"
"128","0","0","65","13","0","1005802","0","0","100580265","1.258","1"
"0","0","1","66","0","0","1005802","3.579","0","100580266","0","4"
"0","0","0","67","0","vo_ske","1005802","0","vo_ske_0210","100580267","0","2"
"250","0","0","68","14","0","1005802","0","0","100580268","1.496","1"
"0","0","1","69","0","0","1005802","3.996","0","100580269","0","4"
"0","0","1","1","0","0","1005803","0.8","0","100580301","0","4"
"0","0","0","2","0","vo_ske","1005803","0","vo_ske_0301","100580302","0","2"
"200","0","0","3","1","0","1005803","0","0","100580303","1.797","1"
"0","0","1","4","0","0","1005803","2.514","0","100580304","0","4"
"304","200","0","5","1","0","1005803","0","0","100580305","0.612","1"
"0","0","1","6","0","0","1005803","0.612","0","100580306","0","4"
"56","0","0","7","2","0","1005803","0","0","100580307","0.464","1"
"0","0","1","8","0","0","1005803","0.889","0","100580308","0","4"
"179","56","0","9","2","0","1005803","0","0","100580309","1.164","1"
"0","0","1","10","0","0","1005803","2.59","0","100580310","0","4"
"0","0","0","11","0","vo_ske","1005803","0","vo_ske_0302","100580311","0","2"
"316","179","0","12","2","0","1005803","0","0","100580312","1.185","1"
"0","0","1","13","0","0","1005803","1.185","0","100580313","0","4"
"137","0","0","14","3","0","1005803","0","0","100580314","0.952","1"
"0","0","1","15","0","0","1005803","1.747","0","100580315","0","4"
"219","137","0","16","3","0","1005803","0","0","100580316","0.961","1"
"0","0","1","17","0","0","1005803","2.398","0","100580317","0","4"
"0","0","0","18","0","vo_ske","1005803","0","vo_ske_0303","100580318","0","2"
"188","0","0","19","4","0","1005803","0","0","100580319","1.401","1"
"0","0","1","20","0","0","1005803","1.935","0","100580320","0","4"
"356","188","0","21","4","0","1005803","0","0","100580321","1.288","1"
"0","0","1","22","0","0","1005803","2.418","0","100580322","0","4"
"0","0","0","23","0","vo_ske","1005803","0","vo_ske_0304","100580323","0","2"
"55","0","0","24","5","0","1005803","0","0","100580324","0.619","1"
"0","0","1","25","0","0","1005803","1.407","0","100580325","0","4"
"333","55","0","26","5","0","1005803","0","0","100580326","2.1","1"
"0","0","1","27","0","0","1005803","4.561","0","100580327","0","4"
"0","0","0","28","0","vo_ske","1005803","0","vo_ske_0305","100580328","0","2"
"280","0","0","29","6","0","1005803","0","0","100580329","2.309","1"
"0","0","1","30","0","0","1005803","3.378","0","100580330","0","4"
"79","0","0","31","7","0","1005803","0","0","100580331","0.664","1"
"0","0","1","32","0","0","1005803","1.555","0","100580332","0","4"
"328","79","0","33","7","0","1005803","0","0","100580333","1.706","1"
"0","0","1","34","0","0","1005803","4.399","0","100580334","0","4"
"0","0","0","35","0","vo_ske","1005803","0","vo_ske_0306","100580335","0","2"
"212","0","0","36","8","0","1005803","0","0","100580336","2.137","1"
"0","0","1","37","0","0","1005803","3.014","0","100580337","0","4"
"340","212","0","38","8","0","1005803","0","0","100580338","0.788","1"
"0","0","1","39","0","0","1005803","2.288","0","100580339","0","4"
"0","0","0","40","0","vo_ske","1005803","0","vo_ske_0307","100580340","0","2"
"267","0","0","41","9","0","1005803","0","0","100580341","2.054","1"
"0","0","1","42","0","0","1005803","2.931","0","100580342","0","4"
"358","267","0","43","9","0","1005803","0","0","100580343","0.801","1"
"0","0","1","44","0","0","1005803","1.48","0","100580344","0","4"
"347","0","0","45","10","0","1005803","0","0","100580345","2.75","1"
"0","0","1","46","0","0","1005803","5.052","0","100580346","0","4"
"0","0","0","47","0","vo_ske","1005803","0","vo_ske_0308","100580347","0","2"
"71","0","0","48","11","0","1005803","0","0","100580348","0.527","1"
"0","0","1","49","0","0","1005803","1.38","0","100580349","0","4"
"247","71","0","50","11","0","1005803","0","0","100580350","1.473","1"
"0","0","1","51","0","0","1005803","1.759","0","100580351","0","4"
"354","247","0","52","11","0","1005803","0","0","100580352","0.68","1"
"0","0","1","53","0","0","1005803","1.838","0","100580353","0","4"
"0","0","0","54","0","vo_ske","1005803","0","vo_ske_0309","100580354","0","2"
"63","0","0","55","12","0","1005803","0","0","100580355","0.477","1"
"0","0","1","56","0","0","1005803","1.108","0","100580356","0","4"
"323","63","0","57","12","0","1005803","0","0","100580357","2.144","1"
"0","0","1","58","0","0","1005803","3.802","0","100580358","0","4"
"0","0","0","59","0","vo_ske","1005803","0","vo_ske_0310","100580359","0","2"
"113","0","0","60","13","0","1005803","0","0","100580360","1.251","1"
"0","0","1","61","0","0","1005803","2.672","0","100580361","0","4"
"197","113","0","62","13","0","1005803","0","0","100580362","0.65","1"
"0","0","1","63","0","0","1005803","1.349","0","100580363","0","4"
"290","197","0","64","13","0","1005803","0","0","100580364","0.589","1"
"0","0","1","65","0","0","1005803","3.089","0","100580365","0","4"
"0","0","1","1","0","0","1005804","0.8","0","100580401","0","4"
"0","0","0","2","0","vo_ske","1005804","0","vo_ske_0401","100580402","0","2"
"186","0","0","3","1","0","1005804","0","0","100580403","1.769","1"
"0","0","1","4","0","0","1005804","3.723","0","100580404","0","4"
"0","0","0","5","0","vo_ske","1005804","0","vo_ske_0402","100580405","0","2"
"70","0","0","6","2","0","1005804","0","0","100580406","0.818","1"
"0","0","1","7","0","0","1005804","1.553","0","100580407","0","4"
"289","70","0","8","2","0","1005804","0","0","100580408","1.87","1"
"0","0","1","9","0","0","1005804","2.537","0","100580409","0","4"
"347","289","0","10","2","0","1005804","0","0","100580410","0.487","1"
"0","0","1","11","0","0","1005804","0.487","0","100580411","0","4"
"101","0","0","12","3","0","1005804","0","0","100580412","0.822","1"
"0","0","1","13","0","0","1005804","2.459","0","100580413","0","4"
"268","101","0","14","3","0","1005804","0","0","100580414","1.696","1"
"0","0","1","15","0","0","1005804","2.551","0","100580415","0","4"
"356","268","0","16","3","0","1005804","0","0","100580416","0.688","1"
"0","0","1","17","0","0","1005804","1.121","0","100580417","0","4"
"221","0","0","18","4","0","1005804","0","0","100580418","1.807","1"
"0","0","1","19","0","0","1005804","4.87","0","100580419","0","4"
"0","0","0","20","0","vo_ske","1005804","0","vo_ske_0403","100580420","0","2"
"101","0","0","21","5","0","1005804","0","0","100580421","0.78","1"
"0","0","1","22","0","0","1005804","2.288","0","100580422","0","4"
"324","101","0","23","5","0","1005804","0","0","100580423","1.497","1"
"0","0","1","24","0","0","1005804","3.177","0","100580424","0","4"
"0","0","0","25","0","vo_ske","1005804","0","vo_ske_0404","100580425","0","2"
"102","0","0","26","6","0","1005804","0","0","100580426","0.729","1"
"0","0","1","27","0","0","1005804","1.799","0","100580427","0","4"
"177","102","0","28","6","0","1005804","0","0","100580428","0.823","1"
"0","0","1","29","0","0","1005804","1.447","0","100580429","0","4"
"275","177","0","30","6","0","1005804","0","0","100580430","0.982","1"
"0","0","1","31","0","0","1005804","1.587","0","100580431","0","4"
"325","275","0","32","6","0","1005804","0","0","100580432","0.639","1"
"0","0","1","33","0","0","1005804","0.639","0","100580433","0","4"
"266","0","0","34","7","0","1005804","0","0","100580434","1.712","1"
"0","0","1","35","0","0","1005804","3.735","0","100580435","0","4"
"0","0","0","36","0","vo_ske","1005804","0","vo_ske_0405","100580436","0","2"
"58","0","0","37","8","0","1005804","0","0","100580437","0.793","1"
"0","0","1","38","0","0","1005804","2.073","0","100580438","0","4"
"80","58","0","39","8","0","1005804","0","0","100580439","0.405","1"
"0","0","1","40","0","0","1005804","1.081","0","100580440","0","4"
"228","80","0","41","8","0","1005804","0","0","100580441","0.962","1"
"0","0","1","42","0","0","1005804","3.994","0","100580442","0","4"
"0","0","0","43","0","vo_ske","1005804","0","vo_ske_0406","100580443","0","2"
"117","0","0","44","9","0","1005804","0","0","100580444","0.869","1"
"0","0","1","45","0","0","1005804","2.298","0","100580445","0","4"
"0","0","0","46","0","vo_ske","1005804","0","vo_ske_0407","100580446","0","2"
"242","117","0","47","9","0","1005804","0","0","100580447","1.07","1"
"0","0","1","48","0","0","1005804","2.401","0","100580448","0","4"
"0","0","0","49","0","vo_ske","1005804","0","vo_ske_0408","100580449","0","2"
"368","242","0","50","9","0","1005804","0","0","100580450","0.939","1"
"0","0","1","51","0","0","1005804","0.939","0","100580451","0","4"
"124","0","0","52","10","0","1005804","0","0","100580452","0.816","1"
"0","0","1","53","0","0","1005804","2.428","0","100580453","0","4"
"0","0","0","54","0","vo_ske","1005804","0","vo_ske_0409","100580454","0","2"
"172","124","0","55","10","0","1005804","0","0","100580455","0.626","1"
"0","0","1","56","0","0","1005804","1.776","0","100580456","0","4"
"360","172","0","57","10","0","1005804","0","0","100580457","1.439","1"
"0","0","1","58","0","0","1005804","1.439","0","100580458","0","4"
"71","0","0","59","11","0","1005804","0","0","100580459","0.447","1"
"0","0","1","60","0","0","1005804","2.012","0","100580460","0","4"
"0","0","0","61","0","vo_ske","1005804","0","vo_ske_0410","100580461","0","2"
"130","71","0","62","11","0","1005804","0","0","100580462","0.504","1"
"0","0","1","63","0","0","1005804","1.659","0","100580463","0","4"
"235","130","0","64","11","0","1005804","0","0","100580464","0.488","1"
"0","0","1","65","0","0","1005804","3.099","0","100580465","0","4"
"0","0","0","66","0","vo_ske","1005804","0","vo_ske_0411","100580466","0","2"
"89","0","0","67","12","0","1005804","0","0","100580467","0.743","1"
"0","0","1","68","0","0","1005804","1.683","0","100580468","0","4"
"319","89","0","69","12","0","1005804","0","0","100580469","2.16","1"
"0","0","1","70","0","0","1005804","3.689","0","100580470","0","4"
"220","0","0","71","13","0","1005804","0","0","100580471","1.846","1"
"0","0","1","72","0","0","1005804","4.239","0","100580472","0","4"
"0","0","0","73","0","vo_ske","1005804","0","vo_ske_0412","100580473","0","2"
"80","0","0","74","14","0","1005804","0","0","100580474","0.584","1"
"0","0","1","75","0","0","1005804","1.837","0","100580475","0","4"
"275","80","0","76","14","0","1005804","0","0","100580476","1.393","1"
"0","0","1","77","0","0","1005804","3.893","0","100580477","0","4"
"0","0","1","1","0","0","1005805","0.8","0","100580501","0","4"
"0","0","0","2","0","vo_ske","1005805","0","vo_ske_0501","100580502","0","2"
"123","0","0","3","1","0","1005805","0","0","100580503","1.013","1"
"0","0","1","4","0","0","1005805","1.598","0","100580504","0","4"
"271","123","0","5","1","0","1005805","0","0","100580505","1.062","1"
"0","0","1","6","0","0","1005805","2.428","0","100580506","0","4"
"0","0","0","7","0","vo_ske","1005805","0","vo_ske_0502","100580507","0","2"
"107","0","0","8","2","0","1005805","0","0","100580508","1.244","1"
"0","0","1","9","0","0","1005805","1.839","0","100580509","0","4"
"357","107","0","10","2","0","1005805","0","0","100580510","1.989","1"
"0","0","1","11","0","0","1005805","3.898","0","100580511","0","4"
"0","0","0","12","0","vo_ske","1005805","0","vo_ske_0503","100580512","0","2"
"188","0","0","13","3","0","1005805","0","0","100580513","1.43","1"
"0","0","1","14","0","0","1005805","1.915","0","100580514","0","4"
"309","188","0","15","3","0","1005805","0","0","100580515","0.906","1"
"0","0","1","16","0","0","1005805","2.75","0","100580516","0","4"
"0","0","0","17","0","vo_ske","1005805","0","vo_ske_0504","100580517","0","2"
"103","0","0","18","4","0","1005805","0","0","100580518","1.11","1"
"0","0","1","19","0","0","1005805","1.656","0","100580519","0","4"
"235","103","0","20","4","0","1005805","0","0","100580520","1.445","1"
"0","0","1","21","0","0","1005805","1.899","0","100580521","0","4"
"326","235","0","22","4","0","1005805","0","0","100580522","0.574","1"
"0","0","1","23","0","0","1005805","2.491","0","100580523","0","4"
"0","0","0","24","0","vo_ske","1005805","0","vo_ske_0505","100580524","0","2"
"167","0","0","25","5","0","1005805","0","0","100580525","1.192","1"
"0","0","1","26","0","0","1005805","1.943","0","100580526","0","4"
"279","167","0","27","5","0","1005805","0","0","100580527","0.864","1"
"0","0","1","28","0","0","1005805","1.47","0","100580528","0","4"
"340","279","0","29","5","0","1005805","0","0","100580529","0.713","1"
"0","0","1","30","0","0","1005805","3.073","0","100580530","0","4"
"0","0","0","31","0","vo_ske","1005805","0","vo_ske_0506","100580531","0","2"
"153","0","0","32","6","0","1005805","0","0","100580532","1.159","1"
"0","0","1","33","0","0","1005805","1.779","0","100580533","0","4"
"391","153","0","34","6","0","1005805","0","0","100580534","1.634","1"
"0","0","1","35","0","0","1005805","5.206","0","100580535","0","4"
"0","0","0","36","0","vo_ske","1005805","0","vo_ske_0507","100580536","0","2"
"183","0","0","37","7","0","1005805","0","0","100580537","1.363","1"
"0","0","1","38","0","0","1005805","2.334","0","100580538","0","4"
"343","183","0","39","7","0","1005805","0","0","100580539","1.128","1"
"0","0","1","40","0","0","1005805","3.267","0","100580540","0","4"
"0","0","0","41","0","vo_ske","1005805","0","vo_ske_0508","100580541","0","2"
"305","0","0","42","8","0","1005805","0","0","100580542","2.341","1"
"0","0","1","43","0","0","1005805","3.817","0","100580543","0","4"
"360","305","0","44","8","0","1005805","0","0","100580544","0.614","1"
"0","0","1","45","0","0","1005805","1.798","0","100580545","0","4"
"286","0","0","46","9","0","1005805","0","0","100580546","1.942","1"
"0","0","1","47","0","0","1005805","4.447","0","100580547","0","4"
"0","0","0","48","0","vo_ske","1005805","0","vo_ske_0509","100580548","0","2"
"108","0","0","49","10","0","1005805","0","0","100580549","0.441","1"
"0","0","1","50","0","0","1005805","1.691","0","100580550","0","4"
"382","108","0","51","10","0","1005805","0","0","100580551","2.177","1"
"0","0","1","52","0","0","1005805","4.215","0","100580552","0","4"
"0","0","0","53","0","vo_ske","1005805","0","vo_ske_0510","100580553","0","2"
"118","0","0","54","11","0","1005805","0","0","100580554","1.116","1"
"0","0","1","55","0","0","1005805","2.252","0","100580555","0","4"
"380","118","0","56","11","0","1005805","0","0","100580556","2.025","1"
"0","0","1","57","0","0","1005805","4.486","0","100580557","0","4"
"0","0","0","58","0","vo_ske","1005805","0","vo_ske_0511","100580558","0","2"
"64","0","0","59","12","0","1005805","0","0","100580559","0.473","1"
"0","0","1","60","0","0","1005805","1.015","0","100580560","0","4"
"164","64","0","61","12","0","1005805","0","0","100580561","0.759","1"
"0","0","1","62","0","0","1005805","2.172","0","100580562","0","4"
"362","0","0","63","13","0","1005805","0","0","100580563","2.606","1"
"0","0","1","64","0","0","1005805","5.313","0","100580564","0","4"
"0","0","0","65","0","vo_ske","1005805","0","vo_ske_0512","100580565","0","2"
"197","0","0","66","14","0","1005805","0","0","100580566","1.072","1"
"0","0","1","67","0","0","1005805","2.416","0","100580567","0","4"
"362","197","0","68","14","0","1005805","0","0","100580568","1.331","1"
"0","0","1","69","0","0","1005805","3.831","0","100580569","0","4"
"0","0","1","1","0","0","1005901","0.8","0","100590101","0","4"
"0","0","0","2","0","vo_ske","1005901","0","vo_ske_0601","100590102","0","2"
"198","0","0","3","1","0","1005901","0","0","100590103","1.86","1"
"0","0","1","4","0","0","1005901","2.5","0","100590104","0","4"
"365","198","0","5","1","0","1005901","0","0","100590105","1.2","1"
"0","0","1","6","0","0","1005901","3.1","0","100590106","0","4"
"0","0","0","7","0","vo_ske","1005901","0","vo_ske_0602","100590107","0","2"
"268","0","0","8","2","0","1005901","0","0","100590108","2.2","1"
"0","0","1","9","0","0","1005901","3.3","0","100590109","0","4"
"356","268","0","10","2","0","1005901","0","0","100590110","0.9","1"
"0","0","1","11","0","0","1005901","1.5","0","100590111","0","4"
"186","0","0","12","3","0","1005901","0","0","100590112","1.5","1"
"0","0","1","13","0","0","1005901","3.7","0","100590113","0","4"
"0","0","0","14","0","vo_ske","1005901","0","vo_ske_0603","100590114","0","2"
"381","186","0","15","3","0","1005901","0","0","100590115","1.5","1"
"0","0","1","16","0","0","1005901","1.5","0","100590116","0","4"
"50","0","0","17","4","0","1005901","0","0","100590117","0.3","1"
"0","0","1","18","0","0","1005901","1.5","0","100590118","0","4"
"132","50","0","19","4","0","1005901","0","0","100590119","0.8","1"
"0","0","1","20","0","0","1005901","1.5","0","100590120","0","4"
"378","132","0","21","4","0","1005901","0","0","100590121","1.9","1"
"0","0","1","22","0","0","1005901","4.5","0","100590122","0","4"
"0","0","0","23","0","vo_ske","1005901","0","vo_ske_0604","100590123","0","2"
"273","0","0","24","5","0","1005901","0","0","100590124","2.3","1"
"0","0","1","25","0","0","1005901","3.3","0","100590125","0","4"
"385","273","0","26","5","0","1005901","0","0","100590126","1.1","1"
"0","0","1","27","0","0","1005901","1.1","0","100590127","0","4"
"223","0","0","28","6","0","1005901","0","0","100590128","1.1","1"
"0","0","1","29","0","0","1005901","3.9","0","100590129","0","4"
"0","0","0","30","0","vo_ske","1005901","0","vo_ske_0605","100590130","0","2"
"76","0","0","31","7","0","1005901","0","0","100590131","0.5","1"
"0","0","1","32","0","0","1005901","1.7","0","100590132","0","4"
"210","76","0","33","7","0","1005901","0","0","100590133","1.2","1"
"0","0","1","34","0","0","1005901","1.9","0","100590134","0","4"
"292","210","0","35","7","0","1005901","0","0","100590135","0.9","1"
"0","0","1","36","0","0","1005901","2.6","0","100590136","0","4"
"0","0","0","37","0","vo_ske","1005901","0","vo_ske_0606","100590137","0","2"
"217","0","0","38","8","0","1005901","0","0","100590138","1.6","1"
"0","0","1","39","0","0","1005901","2","0","100590139","0","4"
"340","217","0","40","8","0","1005901","0","0","100590140","1","1"
"0","0","1","41","0","0","1005901","1","0","100590141","0","4"
"166","0","0","42","9","0","1005901","0","0","100590142","1.3","1"
"0","0","1","43","0","0","1005901","2.2","0","100590143","0","4"
"372","166","0","44","9","0","1005901","0","0","100590144","1.4","1"
"0","0","1","45","0","0","1005901","4","0","100590145","0","4"
"0","0","0","46","0","vo_ske","1005901","0","vo_ske_0607","100590146","0","2"
"115","0","0","47","10","0","1005901","0","0","100590147","1.1","1"
"0","0","1","48","0","0","1005901","1.8","0","100590148","0","4"
"220","115","0","49","10","0","1005901","0","0","100590149","1","1"
"0","0","1","50","0","0","1005901","2.3","0","100590150","0","4"
"366","220","0","51","10","0","1005901","0","0","100590151","1.4","1"
"0","0","1","52","0","0","1005901","3.4","0","100590152","0","4"
