aa52b6293fe9efb0e67ec25824d56910e382990c73a8d61381fcc78ded65c1ab,bf51ca44921142f215f9f9433114f11037e277d60becff5b61cbe5055086003c,9d7d3f348855c0cf430b9cbf91419f287922be09b70da89267210b83258c1dc3,2a016980dc51c413fc455cb9b358394b5faebc2ca2d281d94b5d3dd579b9ebb6,830f9361d9e5ca739574e15753514572a1d374ed62774f89a57c92041a62d628,95d3492620c72eae5fa5f53b237a4287515cf7647e6ff5a5af4ddcb4276c356c,dc8d5c972b31342845d7b85f979b2721e6e0deb2af797e09ccdcbc8e3f660387,ad681732d48d074eedf1547ac7dc5f74ba173c69b4505a8611c6969ad5dd2078,6c11d5021643f87c7b2778447389bd02db56e92439176cb9c134d3754b2a1a90,7dfa399b646e0fdd4f6c55a9ba9b2c12f48eab16d9a312443b9d8d4a5e4b6863,61603f617b30a13c8f66a0001e5d8c544b3a44920dabf3b27b67332f854b77d4
"","","","91","","0","","","201","12010041",""
"nyx_surprise","1","nyx_idle_surprise1","3","0","104831","","0.3","201","12010042","0.3"
"は、はいっ！\n…アキノさんが\n燃えてるわ…","","","11","10","104831","","0","201","12010043",""
"","","","91","","0","","","201","12010044",""
"nyx_talk_sad","","","3","1","104831","","0.3","201","12010045","0.3"
"でもなぜかしら\n不安だわ…\n不安しかない…","","","11","10","104831","","0","201","12010046",""
"","","","91","","0","","","201","12010047",""
"nyx_idle_bitter2","","","3","1","104831","","0.3","201","12010048","0.3"
"","","","91","","0","","","201","12010049",""
"","","","93","","0.4","","","201","12010050",""
"0","","","4","0","103231","","","201","12010051",""
"0","","","4","","2","","","201","12010052",""
"nyx_201_akino_02","","","3","1","103231","","0.2","201","12010053","0.2"
"nyx_201_akino_02","","","3","1","2","","0.2","201","12010054","0.2"
"199","","2.2","2","-294.7","103231","","","201","12010055",""
"199","","2.2","2","-294.7","2","","","201","12010056",""
"nyx_cmn_03","","","3","1","103431","","0.2","201","12010057","0.2"
"","","","93","","2.2","","","201","12010058",""
"10","","","12","1","103231","","","201","12010059",""
"nyx_201_akino_01","","","3","1","103231","","0.2","201","12010060","0.2"
"nyx_201_akino_01","","","3","1","2","","0.2","201","12010061","0.2"
"","","","91","","0","","","201","12010062",""
"nyx_idle_surprise1","","","3","1","103431","","0.2","201","12010063","0.2"
"","","","91","","0","","","201","12010064",""
"nyx_102_chloe_02","","","3","1","103431","","0.2","201","12010065","0.2"
"1","","","4","","103231","","","201","12010066",""
"1","","","4","","2","","","201","12010067",""
"nyx_201_akino_02","","","3","1","103231","","0.2","201","12010068","0.2"
"nyx_201_akino_02","","","3","1","2","","0.2","201","12010069","0.2"
"-235.4","","2.2","2","-294.7","103231","","","201","12010070",""
"-235.4","","2.2","2","-294.7","2","","","201","12010071",""
"","","","93","","2.2","","","201","12010072",""
"10","","","12","1","103231","","","201","12010073",""
"nyx_201_akino_01","","","3","1","103231","","0.2","201","12010074","0.2"
"nyx_201_akino_01","","","3","1","2","","","201","12010075","0.2"
"","","","93","","3","","","201","12010076",""
"cmn_nod_def_N","1","nyx_idle_normal","3","0","104631","","0.2","201","12010077","0.2"
"","","","93","","0.8","","","201","12010078",""
"3","","","12","1","104831","","","201","12010079",""
"nyx_talk_worry","1","nyx_idle_sad","3","0","104831","","0.2","201","12010080","0.2"
"","","","93","","1","","","201","12010081",""
"","","","101","","12010051","","","201","12010082",""
"3","-255","-136","5","100","1","nyx_202_tamaki_03_loop","1.2","202","12020001","0"
"103231","-286.1","183.7","1","110","1","nyx_idle_joy1","1.2","202","12020002","1"
"5","-286.1","312.6","5","120","2","nyx_202_yukari_01","1.2","202","12020003","1"
"103431","-286.1","312.6","1","110","1","nyx_202_yukari_01","1.2","202","12020004","1"
"104831","-286.1","-269.8","1","120","1","nyx_idle_normal","1.2","202","12020005","0"
"1","1","0","31","0","2","","1","202","12020006",""
"2","1","34","31","0","12","","1","202","12020007",""
"7","1","130","31","-74","16","","0","202","12020008",""
"4","-255","-208","5","110","3","nyx_yagura_idle","1","202","12020009","0"
"6","-286.1","-269.8","5","120","2","NoItem","1.2","202","12020010","0"
"bgm_M347","","","25","","bgm_M347","","","202","12020011",""
"","","","93","","2","","","202","12020012",""
"開発もなんだか\n楽しくなってきた\nにゃ～！","","","11","10","3","","","202","12020013",""
"","","","91","","0","","","202","12020014",""
"ここまで来たら\n世界一のたい焼き\nメカにするにゃ！","","","11","10","3","","","202","12020015",""
"","","","91","","0","","","202","12020016",""
"あたしの全てを\n注ぎ込んでやる\nにゃあ～～！","","","11","10","3","","","202","12020017",""
"","","","93","","0.4","","","202","12020018",""
"nyx_202_tamaki_03_puton","1","nyx_202_tamaki_loop","3","0","3","","0.2","202","12020019",""
"","","","91","","12020017","","","202","12020020",""
"nyx_202_tamaki_up","1","nyx_202_tamaki_01","3","0","3","","0.2","202","12020021",""
"nyx_yagura_up","1","nyx_yagura_up_idle","3","0","4","","","202","12020022",""
"","","","93","","2.4","","","202","12020023",""
"1","","","32","","7","","","202","12020024",""
"nyx_202_akino_01_loop","","","3","1","103231","","0.2","202","12020025",""
"おーほっほっほ！\n素晴らしい意気込み\nですわ、タマキさん","","","11","10","103231","","","202","12020026",""
"","","","91","","0","","","202","12020027",""
"nyx_talk_anger2","","","3","1","104831","","0.2","202","12020028",""
"設計図のどこにも\nたい焼きなんて\n書いてないわよ！？","","","11","10","104831","","","202","12020029",""
"","","","91","","0","","","202","12020030",""
"nyx_idle_anger2","","","3","1","103431","","0.2","202","12020031",""
"nyx_202_yukari_01","","","3","1","103431","","0.2","202","12020032",""
"ミフユさん…\nタマキさんなら\n大丈夫よ…ひっく","","","11","10","103431","","","202","12020033",""
"","","","91","","0","","","202","12020034",""
"nyx_cmn_05","","nyx_cmn_04","3","0","104831","","0.2","202","12020035","0.2"
"ユカリさん？\n何を飲んでるの？\n…買収されたわね？","","","11","10","104831","","0","202","12020036",""
"","","","91","","0","","","202","12020037",""
"nyx_202_yukari_01","","","3","1","103431","","0.2","202","12020038",""
"え～？\nにゃんのことぉ～？\n…うっふふ～♪","","","11","10","103431","","","202","12020039",""
"","","","91","","0","","","202","12020040",""
"","","","93","","2","","","202","12020041",""
"13","","","12","1","103231","","","202","12020042",""
"nyx_talk_joy2","1","nyx_202_akino_01_loop","3","0","103231","","0.2","202","12020043","0.2"
"","","","93","","2.5","","","202","12020044",""
"3","","","12","1","104831","","","202","12020045",""
"nyx_talk_anger2","","","3","1","104831","","0.2","202","12020046",""
"","","","93","","2","","","202","12020047",""
"nyx_cmn_02","","","3","0","104831","","0.2","202","12020048",""
"nyx_cmn_02","1","NoItem","3","0","6","","0.2","202","12020049",""
"","","","93","","1","","","202","12020050",""
"nyx_cmn_05","1","nyx_cmn_04","3","0","104831","","0.2","202","12020051","0.2"
"","","","93","","2","","","202","12020052",""
"5","","","12","1","103431","","","202","12020053",""
"nyx_203_yukari_01","1","nyx_202_yukari_01","3","0","5","","0.2","202","12020054","0.2"
"nyx_203_yukari_01","1","nyx_202_yukari_01","3","0","103431","","0.2","202","12020055","0.2"
"","","","93","","1.2","","","202","12020056",""
"11","","","12","1","3","","","202","12020057",""
"","","","93","","0.8","","","202","12020058",""
"","","","101","","12020041","","","202","12020059",""
"104831","-286","-300","1","130","1","nyx_idle_normal","1.2","203","12030001","0"
"104631","-286","316","1","100","1","nyx_idle_normal","1.2","203","12030002","1"
"103231","-286","110","1","100","1","nyx_idle_normal","1.2","203","12030003","1"
"103431","-10","-200","1","100","1","nyx_203_yukari_01","1.2","203","12030004","0"
"1","1","0","31","0","2","","1","203","12030005",""
"2","1","34","31","-80","13","","1","203","12030006",""
"3","-10","-200","5","110","2","nyx_203_yukari_01","1.2","203","12030007","0"
"4","-255","-250","5","120","3","nyx_yagura_up_harf","1","203","12030008","0"
"bgm_M347","","","25","","bgm_M347","","","203","12030009",""
"","","","93","","2","","","203","12030010",""
"あっれぇ～？\nここはどこぉ～？\n私はだれ～？","","","11","10","103431","","","203","12030011",""
"","","","93","","0.6","","","203","12030012",""
"nyx_lookup","1","nyx_lookup_loop2","3","0","103231","","0.2","203","12030013","0.2"
"","","","91","","12030011","","","203","12030014",""
"ん～？\nにゃ～にこの\nでっかいのぉ～","","","11","10","103431","","","203","12030015",""
"","","","93","","0.6","","","203","12030016",""
"nyx_lookup","1","nyx_lookup_loop2","3","0","104631","","0.2","203","12030017","0.2"
"","","","91","","12030015","","","203","12030018",""
"nyx_203_yukari_02","1","nyx_203_yukari_05","3","0","3","","0.2","203","12030019",""
"nyx_203_yukari_02","1","nyx_203_yukari_05","3","0","103431","","0.2","203","12030020",""
"あんたも麦しゅわ\n飲む～？\nお～いしいわよ～？","","","11","10","103431","","","203","12030021",""
"","","","93","","0.4","","","203","12030022",""
"nyx_lookup","1","nyx_lookup_loop2","3","0","104831","","0.2","203","12030023","0.2"
"","","","91","","12030021","","","203","12030024",""
"","","","93","","0.2","","","203","12030025",""
"nyx_cmn_02","1","nyx_idle_sad","3","0","104831","","0.2","203","12030026","0.2"
"何してるのよ\nユカリさん…","","","11","10","104831","","0","203","12030027",""
"","","","93","","0.1","","","203","12030028",""
"nyx_cmn_02","1","nyx_cmn_04","3","0","103231","","0.2","203","12030029","0.2"
"何してますの…\nユカリさん…","","","11","10","103231","","","203","12030030",""
"","","","93","","0.1","","","203","12030031",""
"nyx_cmn_02","1","nyx_idle_sad","3","0","104631","","0.2","203","12030032","0.2"
"何してるのにゃ\nユカリ…","","","11","10","104631","","","203","12030033",""
"","","","91","","0","","","203","12030034",""
"nyx_203_yukari_03","","","3","1","3","","0.5","203","12030035",""
