eea71609343c5791eeabf98b1efc35a5a93c55d07693203fd471f36e81c08313,b86a07c45491fddd554c2a668802251bf7603301a2ace0dcf28c82cc1c941dc8,c1fb799e03e3275e661ce5e1ab9046a4fabca29954b39cd009c65bcac9339a32,ac3a420f5fe4fedde1a76571e722a17640b4cb0b73d414b55e2412ceeb7dc747,813846c7df8c27c76117b2513f72338f712000a69adbabd55afe6e60a34eaf33,042ae50702db2441d5fbd0916c6c3cabf16f59fb65fb33f0262ff321d727d823,e68babfedd36e6d4b3cd59443b9fd949a382a1e16c9caadb5385a5c4bc204ec1,262252f057835d57a5d821e4b4561d3a5fcada3500d568c7912f38bef1b4cbfc,c030f084118bf308a4244fb29b636417708317d81907c6e942a41fdc5764dc5d,5f1b8a85109310aff171812d8a6e4152ba303e7376b61f767c0bfaa8dd56fbbe,a36d7e74a9513db2dc962ad3da1eea42dcd9f0c2c6921bcd9191a133b0239e72,44a6cb5ed8d06cedb54dde68eb5f9b57f0bc7bb5a941d7c9fa6ca82d86e15fe1,ff4747fee6983d88bafb90d1abcba4abae3645d8b97ffaa513224f8307b1c68f,e51c4a4aa568948fce3a2cb318156bffeb06bbb0aeb5922f893e27380a69f2d1,de9dd70a11df512e0f1a1b029794c18543d42343833f96b60ec08bb1ff1e737d,8bb3f237755207368ac7b9eaee1be1fc4733d208732b82b7744c9df956c3e199,b28acd2b6c1e2f4dcb112ccbe9d3d45199799e37d45fc20df438a54e82c363f9,a6cb6b65791c513f2dc87802bb4c775dc3ab4e7da4303323011eba64c3cb6e68,6f5e21522d1d3d0d60ffbb4e2cd61687913a9f33476ec79c769a503c579d5cae
"3","1","1","0","1.35","0","0","1","0","0","0","","5","71","10150","313","5.5","-33","610150007"
"3","1","1","0","1.35","0","0","2","0","0","0","","5","50","10150","313","1.5","-33","610150008"
"0","1","1","0","1.35","0","0","3","0","0","0","","5","0","10150","313","1.5","-33","610150009"
"4.8","1","2","0","0.7","610152501","0","1","0","0","600","","5","0","10152","316","5.5","20","610152007"
"0","1","1","0","0.96","0","0","2","0","0","0","","5","81","10152","316","1.5","30","610152008"
"0","1","1","0","0.96","0","0","3","0","0","0","","5","0","10152","316","1.5","30","610152009"
"3","1","1","0","1.25","0","0","1","0","0","0","","5","68","10154","319","5.5","-33","610154007"
"3","1","2","0","1","610154502","0","2","0","0","600","","5","0","10154","319","1.5","-10","610154008"
"0","1","1","0","1.25","0","0","3","0","0","0","","5","0","10154","319","1.5","-33","610154009"
"3","1","2","0","0.85","610156501","0","1","0","0","600","","5","0","10156","322","5.5","5","610156007"
"3","1","1","0","1.11","0","0","2","0","0","600","","5","75","10156","322","1.5","-10","610156008"
"0","1","1","0","1.11","0","0","3","0","0","0","","5","0","10156","322","1.5","-10","610156009"
"3","1","2","0","1.5","610158501","0","1","0","0","600","","5","0","10158","325","5.5","-40","610158007"
"0","1","1","0","1.75","0","0","2","0","0","0","","5","65","10158","325","1.5","-33","610158008"
"0","1","1","0","1.75","0","0","3","0","0","0","","5","0","10158","325","1.5","-33","610158009"
"4.8","1","3","0","1.4","610160501","0","1","0","20","600","","5","0","10160","328","5.5","-35","610160007"
"0","1","1","0","1.4","0","0","2","0","0","0","","5","70","10160","328","1.5","-35","610160008"
"0","1","1","0","1.4","0","0","3","0","0","0","","5","0","10160","328","1.5","-35","610160009"
