780e895ab7398a6b938230a1b7b9cf7b720fb54fc55deb3e13ea18950346db2d,b7dba8cf9dafde290a49ed256f601e40085c88169d2c16c5290dbbee48fa0542,77535098f7f5ca57638363e3377b88ce8e1ba9e965152a7ef67a53ab4559d070,d1df96456c40d5656c0825e0b26f269ff252c65b596e358c090561132d225593,3a00fa6f0adc4347678d565a8f08f1811c2ec9efe2cd7193a1bc2589abc7afc0,77ea31eca7342edfc87d341ee6c0ac2bc12dec951cb7345f45533a404486347c,00967612f7531fdff5cbd20a5d834195cf7c3cf1c640cf41109fbafbf9b91bdc,6b6f177a437d423e38e75c00d1200af825fd323635a9f784234c740c3d02722a,20526186bdb0439b829bb759c5cad59ccea3a8c6509c268bcc4645fa41aa1ec4,dcee350fe2fcfe4f0c7b16a45e84b4e67bf5187177390af669c76eda07ef4549,fbead0bfddaadbf40940b6944d154fc460f59f253d3bdfdfe96a6dd1d919a8fe
"1","256","wac_birthday_idle_normal","5014","1","100311","230","1","-270","5014003","2"
"1","257","wac_birthday_idle_smile","5014","1","100111","410","1","-310","5014004","2"
"100211","","","5014","13","300","","","","5014005",""
"100311","","","5014","13","300","","","","5014006",""
"600","0","","5014","31","600","0","","1","5014007","1"
"602","0","","5014","31","602","0","","1","5014008","0"
"603","0","","5014","31","603","0","","1","5014009","0"
"604","30","","5014","31","604","60","","1","5014010","1"
"611","0","","5014","31","611","0","","1","5014011","1"
"700","0","","5014","31","700","0","","1","5014012","0"
"701","0","","5014","31","701","0","","1","5014013","0"
"702","0","","5014","31","702","0","","1","5014014","0"
"800","0","","5014","31","800","0","","1","5014015","0"
"902","30","","5014","31","902","60","","1","5014016","1"
"1","","","5014","93","","","","","5014017",""
"100111","0","","5014","3","wac_birthday_reaction_02","wac_birthday_reaction_03","0.2","1","5014018","0.2"
"0.1","","","5014","93","","","","","5014019",""
"100311","0","","5014","3","wac_birthday_reaction_01","wac_birthday_reaction_04","0.2","1","5014020","0.2"
"0.3","","","5014","93","","","","","5014021",""
"100211","1","","5014","3","wac_birthday_run_01","","","","5014022","0.2"
"100211","-70","","5014","2","0","3","","","5014023",""
"2.5","","","5014","93","","","","","5014024",""
"602","","","5014","32","1","","","","5014025",""
"0.6","","","5014","93","","","","","5014026",""
"600","","","5014","32","0","","","","5014027",""
"611","","","5014","32","0","","","","5014028",""
"604","","","5014","32","0","","","","5014029",""
"701","","","5014","32","1","","","","5014030",""
"902","0","","5014","33","0","0.01","","","5014031",""
"100211","0","","5014","3","wac_birthday_blowout_01","wac_birthday_wish_04","0.2","1","5014032","0.2"
"100211","-330","","5014","2","-200","0.01","","","5014033",""
"100311","1","","5014","3","wac_birthday_idle_normal","","","","5014034","0.2"
"100311","-320","","5014","2","180","0.01","","","5014035",""
"100111","1","","5014","3","wac_birthday_idle_smile","","","","5014036","0.2"
"100111","-340","","5014","2","320","0.01","","","5014037",""
"0","","","5014","93","","","","","5014038",""
"800","","","5014","32","1","","","","5014039",""
"0.7","","","5014","93","","","","","5014040",""
"702","","","5014","32","1","","","","5014041",""
"0.5","","","5014","93","","","","","5014042",""
"se_common","0","","5014","23","se_sys_login_birthday_blow_candle","","","","5014043",""
"701","","","5014","32","0","","","","5014044",""
"0.4","","","5014","93","","","","","5014045",""
"se_common","0","","5014","23","se_sys_login_birthday_cracker","","","","5014046",""
"700","","","5014","32","1","","","","5014047",""
"se_common","0","","5014","23","se_sys_login_birthday_calendar_applause","","","","5014048",""
"100311","0","","5014","3","wac_birthday_clap","wac_birthday_idle_normal","0.2","1","5014049","0.2"
"0.1","","","5014","93","","","","","5014050",""
"100111","0","","5014","3","wac_birthday_clap","wac_birthday_idle_smile","0.2","1","5014051","0.2"
"2","","","5014","93","","","","","5014052",""
"1","","","5014","131","","","","","5014053",""
"vo_wac_05014","0","","5014","21","vo_wac_05014_000","0","","","5014054",""
"100211","10","0.5","5014","11","この誕生日ケーキ、わたしにっ！？\nあっ、ありがとう……！\n……もしかしてこれ、\nふたりで手作りしてくれたの？","1","0","1","5014055","0"
"0","","","5014","91","","","","","5014056",""
"100211","1","","5014","3","wac_birthday_idle_wish","","","","5014057","0.2"
"100311","1","","5014","3","wac_birthday_talk_normal","","","","5014058","0.2"
"vo_wac_05014","0","","5014","21","vo_wac_05014_001","0","","","5014059",""
"100311","10","0.5","5014","11","うん。私とヒヨリで作ったんだ。\nユイにはいつだって助けられてるから\nせめてものお返しだよ。\n……誕生日おめでとう。ユイ。","1","0","1","5014060","0"
"0","","","5014","91","","","","","5014061",""
"100311","1","","5014","3","wac_birthday_idle_normal","","","","5014062","0.2"
"100211","1","","5014","3","wac_birthday_talk_sad","","","","5014063","0.2"
"vo_wac_05014","0","","5014","21","vo_wac_05014_002","0","","","5014064",""
"100211","10","0.5","5014","11","そ、そんな……わたしだって、いつも\n助けられてばっかりで……ご、ごめん！\nせっかくお祝いしてもらってるのに\nうれしくて泣いちゃいそう……！","1","0","1","5014065","0"
"0","","","5014","91","","","","","5014066",""
"100211","1","","5014","3","wac_birthday_talk_smile","","","","5014067","0.2"
"vo_wac_05014","0","","5014","21","vo_wac_05014_003","0","","","5014068",""
"100211","10","0.5","5014","11","騎士クンも、本当にありがとうね。\nみんなに祝福してもらえて\nわたし、最高に幸せだよ……！\n大事に味わって食べるね！","1","0","1","5014069","0"
"0","","","5014","91","","","","","5014070",""
"0","","","5014","22","","","","","5014071",""
"bgm_M321","","","5214","25","bgm_M321_2C","","","","5214001",""
"1","250","wac_birthday_idle_normal","5214","1","105511","-1000","0","-70","5214002","2"
"1","256","wac_birthday_idle_doya","5214","1","105311","170","1","-260","5214003","2"
"1","259","wac_birthday_idle_normal","5214","1","104511","270","1","-310","5214004","2"
"1","257","wac_birthday_idle_wish","5214","1","100811","410","1","-270","5214005","2"
"1","258","wac_birthday_idle_kyapi","5214","1","103011","510","1","-310","5214006","2"
"105511","","","5214","13","300","","","","5214007",""
"105311","","","5214","13","300","","","","5214008",""
"600","0","","5214","31","600","0","","1","5214009","1"
"602","0","","5214","31","602","0","","1","5214010","0"
"603","0","","5214","31","603","0","","1","5214011","0"
"604","30","","5214","31","604","60","","1","5214012","1"
"611","0","","5214","31","611","0","","1","5214013","1"
"700","0","","5214","31","700","0","","1","5214014","0"
"701","0","","5214","31","701","0","","1","5214015","0"
"702","0","","5214","31","702","0","","1","5214016","0"
"800","0","","5214","31","800","0","","1","5214017","0"
"903","30","","5214","31","903","60","","1","5214018","1"
"1","","","5214","93","","","","","5214019",""
"104511","0","","5214","3","wac_birthday_reaction_05","wac_birthday_reaction_03","0.2","1","5214020","0.2"
"105311","0","","5214","3","wac_birthday_reaction_01","wac_birthday_reaction_03","0.2","1","5214021","0.2"
"0.1","","","5214","93","","","","","5214022",""
"100811","0","","5214","3","wac_birthday_reaction_01","wac_birthday_reaction_04","0.2","1","5214023","0.2"
"103011","0","","5214","3","wac_birthday_reaction_02","wac_birthday_reaction_03","0.2","1","5214024","0.2"
"0.3","","","5214","93","","","","","5214025",""
"105511","1","","5214","3","wac_birthday_run_01","","","","5214026","0.2"
"105511","-70","","5214","2","0","3","","","5214027",""
"2.5","","","5214","93","","","","","5214028",""
"602","","","5214","32","1","","","","5214029",""
"0.6","","","5214","93","","","","","5214030",""
"600","","","5214","32","0","","","","5214031",""
"611","","","5214","32","0","","","","5214032",""
"604","","","5214","32","0","","","","5214033",""
"701","","","5214","32","1","","","","5214034",""
"903","0","","5214","33","0","0.01","","","5214035",""
"105511","0","","5214","3","wac_birthday_blowout_03","wac_birthday_wish_04","0.2","1","5214036","0.2"
"105511","-330","","5214","2","-200","0.01","","","5214037",""
"105311","1","","5214","3","wac_birthday_idle_doya","","","","5214038","0.2"
"105311","-320","","5214","2","150","0.01","","","5214039",""
"104511","1","","5214","3","wac_birthday_idle_normal","","","","5214040","0.2"
"104511","-360","","5214","2","260","0.01","","","5214041",""
"100811","1","","5214","3","wac_birthday_idle_wish","","","","5214042","0.2"
"100811","-320","","5214","2","400","0.01","","","5214043",""
"103011","1","","5214","3","wac_birthday_idle_kyapi","","","","5214044","0.2"
"103011","-340","","5214","2","500","0.01","","","5214045",""
"0","","","5214","93","","","","","5214046",""
"800","","","5214","32","1","","","","5214047",""
"0.7","","","5214","93","","","","","5214048",""
"702","","","5214","32","1","","","","5214049",""
"0.5","","","5214","93","","","","","5214050",""
"se_common","0","","5214","23","se_sys_login_birthday_blow_candle","","","","5214051",""
"701","","","5214","32","0","","","","5214052",""
"0.4","","","5214","93","","","","","5214053",""
"se_common","0","","5214","23","se_sys_login_birthday_cracker","","","","5214054",""
"700","","","5214","32","1","","","","5214055",""
"se_common","0","","5214","23","se_sys_login_birthday_calendar_applause","","","","5214056",""
"105311","0","","5214","3","wac_birthday_clap","wac_birthday_idle_doya","0.2","1","5214057","0.2"
"100811","0","","5214","3","wac_birthday_clap_to_wish","wac_birthday_idle_wish","0.2","1","5214058","0.2"
"0.1","","","5214","93","","","","","5214059",""
"104511","0","","5214","3","wac_birthday_clap","wac_birthday_idle_normal","0.2","1","5214060","0.2"
"0.1","","","5214","93","","","","","5214061",""
"103011","0","","5214","3","wac_birthday_clap","wac_birthday_idle_kyapi","0.2","1","5214062","0.2"
"2","","","5214","93","","","","","5214063",""
"1","","","5214","131","","","","","5214064",""
"vo_wac_05214","0","","5214","21","vo_wac_05214_000","0","","","5214065",""
"105511","10","0.5","5214","11","わぁ、お誕生日ケーキですか？\nおめでとうございます～\nいったい誰の……えっ、わ、私！？\n誕生日、覚えててくれたんですか……？","1","0","1","5214066","0"
"0","","","5214","91","","","","","5214067",""
"105511","1","","5214","3","wac_birthday_idle_wish","","","","5214068","0.2"
"105311","1","","5214","3","wac_birthday_talk_smile","","","","5214069","0.2"
"vo_wac_05214","0","","5214","21","vo_wac_05214_001","0","","","5214070",""
"105311","10","0.5","5214","11","忘れるはずがないだろう！\nアユミは我がギルドの数少ない良心……\nいや、重要な存在なのだからな！\n盛大に祝福させてくれ！　おめでとう！","1","0","1","5214071","0"
"0","","","5214","91","","","","","5214072",""
"105311","1","","5214","3","wac_birthday_idle_doya","","","","5214073","0.2"
"105511","1","","5214","3","wac_birthday_talk_wish","","","","5214074","0.2"
"vo_wac_05214","0","","5214","21","vo_wac_05214_002","0","","","5214075",""
"105511","10","0.5","5214","11","え、えっと……\nこれ、夢じゃないですよね？\nほっぺをつねっても……いひゃい！\nやっぱり夢じゃないれす！","1","0","1","5214076","0"
"0","","","5214","91","","","","","5214077",""
"105511","1","","5214","3","wac_birthday_talk_smile","","","","5214078","0.2"
"vo_wac_05214","0","","5214","21","vo_wac_05214_003","0","","","5214079",""
"105511","10","0.5","5214","11","うぅっ……あっ、ありがとうございます！\n先輩にもお祝いしてもらえて\nとってもうれしいです！\nえへへ、大切にいただきますね……♪","1","0","1","5214080","0"
"0","","","5214","91","","","","","5214081",""
"0","","","5214","22","","","","","5214082",""
"bgm_M321","","","5514","25","bgm_M321_2C","","","","5514001",""
"1","250","wac_birthday_idle_normal","5514","1","101611","-1000","0","-70","5514002","2"
"1","256","wac_birthday_idle_normal","5514","1","105011","230","1","-270","5514003","2"
"1","257","wac_birthday_idle_smile","5514","1","101811","410","1","-310","5514004","2"
"101611","","","5514","13","300","","","","5514005",""
"105011","","","5514","13","300","","","","5514006",""
"600","0","","5514","31","600","0","","1","5514007","1"
"602","0","","5514","31","602","0","","1","5514008","0"
"603","0","","5514","31","603","0","","1","5514009","0"
"604","30","","5514","31","604","60","","1","5514010","1"
"611","0","","5514","31","611","0","","1","5514011","1"
"700","0","","5514","31","700","0","","1","5514012","0"
"701","0","","5514","31","701","0","","1","5514013","0"
"702","0","","5514","31","702","0","","1","5514014","0"
"800","0","","5514","31","800","0","","1","5514015","0"
"904","30","","5514","31","904","60","","1","5514016","1"
"1","","","5514","93","","","","","5514017",""
"101811","0","","5514","3","wac_birthday_reaction_01","wac_birthday_reaction_04","0.2","1","5514018","0.2"
"0.1","","","5514","93","","","","","5514019",""
"105011","0","","5514","3","wac_birthday_reaction_05","wac_birthday_reaction_03","0.2","1","5514020","0.2"
"0.3","","","5514","93","","","","","5514021",""
"101611","1","","5514","3","wac_birthday_run_01","","","","5514022","0.2"
"101611","-70","","5514","2","0","3","","","5514023",""
"2.5","","","5514","93","","","","","5514024",""
"602","","","5514","32","1","","","","5514025",""
"0.6","","","5514","93","","","","","5514026",""
"600","","","5514","32","0","","","","5514027",""
"611","","","5514","32","0","","","","5514028",""
"604","","","5514","32","0","","","","5514029",""
"701","","","5514","32","1","","","","5514030",""
"904","0","","5514","33","0","0.01","","","5514031",""
"101611","0","","5514","3","wac_birthday_blowout_02","wac_birthday_wish_03","0.2","1","5514032","0.2"
"101611","-330","","5514","2","-200","0.01","","","5514033",""
"105011","1","","5514","3","wac_birthday_idle_smile","","","","5514034","0.2"
"105011","-320","","5514","2","180","0.01","","","5514035",""
"101811","1","","5514","3","wac_birthday_idle_wish","","","","5514036","0.2"
"101811","-340","","5514","2","320","0.01","","","5514037",""
"0","","","5514","93","","","","","5514038",""
"800","","","5514","32","1","","","","5514039",""
"0.7","","","5514","93","","","","","5514040",""
"702","","","5514","32","1","","","","5514041",""
"0.5","","","5514","93","","","","","5514042",""
"se_common","0","","5514","23","se_sys_login_birthday_blow_candle","","","","5514043",""
"701","","","5514","32","0","","","","5514044",""
"0.4","","","5514","93","","","","","5514045",""
"se_common","0","","5514","23","se_sys_login_birthday_cracker","","","","5514046",""
"700","","","5514","32","1","","","","5514047",""
"se_common","0","","5514","23","se_sys_login_birthday_calendar_applause","","","","5514048",""
"105011","0","","5514","3","wac_birthday_clap","wac_birthday_idle_smile","0.2","1","5514049","0.2"
"0.1","","","5514","93","","","","","5514050",""
"101811","0","","5514","3","wac_birthday_clap_to_wish","wac_birthday_idle_wish","0.2","1","5514051","0.2"
"2","","","5514","93","","","","","5514052",""
"1","","","5514","131","","","","","5514053",""
"vo_wac_05514","0","","5514","21","vo_wac_05514_000","0","","","5514054",""
"101611","10","0.5","5514","11","わわ、これってうちの誕生日ケーキ？\nこんなのあるなんて聞いてないし～！\nオニ感激なんだけど！？","1","0","1","5514055","0"
"0","","","5514","91","","","","","5514056",""
"101611","1","","5514","3","wac_birthday_idle_kyapi","","","","5514057","0.2"
"105011","1","","5514","3","wac_birthday_talk_smile","","","","5514058","0.2"
"vo_wac_05514","0","","5514","21","vo_wac_05514_001","0","","","5514059",""
"105011","10","0.5","5514","11","フフン、感謝しなさいよね～\nアタシとイオちゃんで徹夜して作っ……いや！\n大して苦労はしなかったけど！\nえっと……誕生日おめでと、スズナ。","1","0","1","5514060","0"
"0","","","5514","91","","","","","5514061",""
"105011","1","","5514","3","wac_birthday_idle_smile","","","","5514062","0.2"
"101611","1","","5514","3","wac_birthday_talk_smile","","","","5514063","0.2"
"vo_wac_05514","0","","5514","21","vo_wac_05514_002","0","","","5514064",""
"101611","10","0.5","5514","11","あはは、うん、ありがとっ！\nそれでミサキっちとちゃんイオ\n朝から甘～い匂いしてたんだね～","1","0","1","5514065","0"
"0","","","5514","91","","","","","5514066",""
"101611","1","","5514","3","wac_birthday_talk_kyapi","","","","5514067","0.2"
"vo_wac_05514","0","","5514","21","vo_wac_05514_003","0","","","5514068",""
"101611","10","0.5","5514","11","やっぱ持つべきものは\n友達だし……♪\nよーし、みんなでパーティーしよー！\nもちヒデサイも一緒だからね！","1","0","1","5514069","0"
"0","","","5514","91","","","","","5514070",""
"0","","","5514","22","","","","","5514071",""
"bgm_M321","","","6214","25","bgm_M321_2C","","","","6214001",""
"1","250","wac_birthday_idle_normal","6214","1","106731","-1000","0","-70","6214002","2"
"1","256","wac_birthday_idle_doya","6214","1","106611","230","1","-270","6214003","2"
"1","257","wac_birthday_idle_normal","6214","1","106511","410","1","-310","6214004","2"
"106731","","","6214","13","300","","","","6214005",""
"106611","","","6214","13","300","","","","6214006",""
"600","0","","6214","31","600","0","","1","6214007","1"
"602","0","","6214","31","602","0","","1","6214008","0"
"603","0","","6214","31","603","0","","1","6214009","0"
"604","30","","6214","31","604","60","","1","6214010","1"
"611","0","","6214","31","611","0","","1","6214011","1"
"700","0","","6214","31","700","0","","1","6214012","0"
"701","0","","6214","31","701","0","","1","6214013","0"
"702","0","","6214","31","702","0","","1","6214014","0"
"800","0","","6214","31","800","0","","1","6214015","0"
"905","30","","6214","31","905","60","","1","6214016","1"
"1","","","6214","93","","","","","6214017",""
"106511","0","","6214","3","wac_birthday_reaction_02","wac_birthday_reaction_03","0.2","1","6214018","0.2"
"0.1","","","6214","93","","","","","6214019",""
"106611","0","","6214","3","wac_birthday_reaction_01","wac_birthday_reaction_03","0.2","1","6214020","0.2"
"0.3","","","6214","93","","","","","6214021",""
"106731","1","","6214","3","wac_birthday_run_01","","","","6214022","0.2"
"106731","-70","","6214","2","0","3","","","6214023",""
"2.5","","","6214","93","","","","","6214024",""
"602","","","6214","32","1","","","","6214025",""
"0.6","","","6214","93","","","","","6214026",""
"600","","","6214","32","0","","","","6214027",""
"611","","","6214","32","0","","","","6214028",""
"604","","","6214","32","0","","","","6214029",""
