c4e656c9ec9fdccee5fa2b9c5fa801da2ee5ab20f39e310f6807df3bcace631e,3a90184c7f2dbf87e15bbf08ceac425401b6bd7bb1161cc03a9de89575591a1f,3ac72fc46250e8852c4d91d0cf0ae721986c9e17c88c05d71c2b1f707abab9cf,c8e40d74e8eb1e5cf255073206fbb4cbfa7c301377cfbaa1d883c27b9727fda6,3d19f7f415b6c112b36223aa3d581661ce8bc1d4740cc30810d95716505a0ea6,1faea94893284aa97172267504745eb2815bafb636128a79bb1b0f542ecc8899
"2999134","0","50000","0","1","150031"
"2999135","0","50000","0","1","150032"
"2999136","0","50000","0","1","150033"
"2999137","0","50000","0","1","150034"
"2999138","0","50000","0","1","150035"
"2999149","0","50000","0","1","150041"
"2999150","0","50000","0","1","150042"
"2999151","0","50000","0","1","150043"
"2999152","0","50000","0","1","150044"
"2999153","0","50000","0","1","150045"
"2999164","0","5000","0","1","150051"
"14","0","10","0","14","210011"
"2999118","0","20000","0","1","210021"
"2999120","0","20000","0","1","210031"
"16","0","4","0","14","210041"
"2999101","0","2000","0","1","210051"
"105","0","4000","0","14","220011"
"2999122","0","10000","0","1","220021"
"2999125","0","10000","0","1","220031"
"2999127","0","2000","0","1","220041"
"2999128","0","2000","0","1","220051"
"2999129","0","2000","0","1","230011"
"100","0","2000","0","14","230021"
"101","0","2000","0","14","230022"
"107","0","6000","0","14","230031"
"6","0","2000","0","14","230041"
"7","0","2000","0","14","230042"
"9","0","20","0","14","230051"
"108","0","6000","0","14","240011"
"2999132","0","10000","0","1","240021"
"2999133","0","10000","0","1","240031"
"2","0","4000","0","14","240041"
"4","0","4000","0","14","240042"
"3","0","2000","0","14","240051"
"5","0","2000","0","14","240052"
"110","0","2000","0","14","250011"
"1","0","2000","0","14","250021"
"2999139","0","100000","0","1","250031"
"2999140","0","100000","0","1","250032"
"2999141","0","100000","0","1","250033"
"2999142","0","100000","0","1","250034"
"2999143","0","100000","0","1","250035"
"2999154","0","100000","0","1","250041"
"2999155","0","100000","0","1","250042"
"2999156","0","100000","0","1","250043"
"2999157","0","100000","0","1","250044"
"2999158","0","100000","0","1","250045"
"2999165","0","10000","0","1","250051"
"104","0","10000","0","14","300011"
"14","0","15","0","14","310011"
"2999119","0","30000","0","1","310021"
"2999120","0","30000","0","1","310031"
"16","0","6","0","14","310041"
"2999101","0","3000","0","1","310051"
"14","0","100","0","14","310061"
"105","0","6000","0","14","320011"
"2999123","0","15000","0","1","320021"
"2999126","0","15000","0","1","320031"
"2999127","0","3000","0","1","320041"
"2999128","0","3000","0","1","320051"
"2999192","0","2500","0","1","320061"
"2999129","0","3000","0","1","330011"
"100","0","3000","0","14","330021"
"101","0","3000","0","14","330022"
"107","0","9000","0","14","330031"
"6","0","3000","0","14","330041"
"7","0","3000","0","14","330042"
"9","0","30","0","14","330051"
"107","0","50000","0","14","330061"
"9","0","50","0","14","330062"
"108","0","9000","0","14","340011"
"2999132","0","15000","0","1","340021"
"2999133","0","15000","0","1","340031"
"2","0","6000","0","14","340041"
"4","0","6000","0","14","340042"
"3","0","3000","0","14","340051"
"5","0","3000","0","14","340052"
"2999191","0","5000","0","1","340061"
"110","0","3000","0","14","350011"
"1","0","3000","0","14","350021"
"2999144","0","150000","0","1","350031"
"2999145","0","150000","0","1","350032"
"2999146","0","150000","0","1","350033"
"2999147","0","150000","0","1","350034"
"2999148","0","150000","0","1","350035"
"2999159","0","150000","0","1","350041"
"2999160","0","150000","0","1","350042"
"2999161","0","150000","0","1","350043"
"2999162","0","150000","0","1","350044"
"2999163","0","150000","0","1","350045"
"2999166","0","15000","0","1","350051"
"1","0","10000","0","14","350061"
"1","0","1500","0","14","400011"
"102","0","1500","0","14","400012"
"103","0","1500","0","14","400013"
"104","0","5000","0","14","400021"
"10","0","0","0","8","400031"
"100","0","5000","0","14","400041"
"101","0","5000","0","14","400042"
"6","0","-2500","0","14","400043"
"7","0","-2500","0","14","400044"
"40005","0","1","0","2","400051"
"2","0","1500","0","14","400061"
"4","0","1500","0","14","400062"
"108","0","1500","0","14","400063"
"2999193","0","50000","0","1","400071"
"2999194","0","50000","0","1","400081"
"3000","0","0","0","4","400091"
"-30","0","0","0","6","400092"
"109","0","2000","0","14","400101"
"2","1","400","25","14","500011"
"4","1","400","25","14","500012"
"0","0","0","0","12","500021"
"107","30","1","10000","14","500031"
"2999130","0","2500","0","1","500041"
"50005","0","1","0","3","500051"
"2999195","0","50000","0","1","500061"
"2999196","0","50000","0","1","500062"
"2999197","0","50000","0","1","500071"
"2999198","0","50000","0","1","500072"
"2999199","0","50000","0","1","500073"
"2999200","0","50000","0","1","500074"
"2999201","0","50000","0","1","500075"
"2999202","0","50000","0","1","500081"
"100","30","1","10000","14","500091"
"101","30","1","10000","14","500092"
"2999203","0","50000","0","1","500101"
