bcd64e3ae8e5c14db9b7669c7e00a4cbc34f407eeb5932a9812da2ef5541742f,b7a805225be772ce99aaf7f5939c1afd01c2a58312bd0f13c3c0bf82133d9e8e,f184232b4102f1c12ea2665fc8627a8095b9262a7d1ff1b8d4b8ddae92a8e967,ada04f3bc06f86ce3c14e30266c22081da1a7db2209c4a0dc97d842205e1e50d,e429971abe8954d6f6d3b0d8a99d39017bb16e108bc4da62318e111f79187afc,f4539548eb213ad05cd4ab06fcedcf61aba088217e8a7c87cde576e016d81cb0,e67a25aefa8c1807d63ccad8fd589d6a7004bb8fb9b7adb41a3ed3916fb971ed,b1f3b86e92421f7f5b71c61e463818afb1a9372cff81a96fca102663623b5e60,cd0e387935f2a02dd99a061ac1caa7c43a2b5f780745b2a9a372e7f0531793a2,ffd10984c796d77e9681b876d4b94c6192864e6a69a1dd75221baf1b819f8591,0dacf0d992d47dce5a26970f36fd2826433443562b755b8ebf6cd90cc0ac0899,104f0658c941e3857c673be7a3fa4d9b987bec6d26dcbe582fb43d3858be2217,42e8e1fbec3414a3c4b7662e8748d5b6d96c0a6f420e7f7e8cc5b0dc70614086,0d72111c74e97936087bb89226dc0c09d879e368b476b958a806c3a43f398bf2
"どうだ？\nオレ様のボールは熱かっただろ！\nま、でもおまえらの根性も\nなかなかのもんだったぜ","2020/07/31 12:00:00","24023","312","カヤ","2","0","2030/12/17 14:59:59","4.42","0","106501","1","24","10046"
"なんだよ、そんなもんか？\nこっちはまだまだ投げたりねえ\nもっと勝負しようぜ！","2020/07/31 12:00:00","24024","313","カヤ","1","0","2030/12/17 14:59:59","2.89","0","106501","6","24","10046"
"あとちょっとだったのに～！\n次こそぷうきちと一緒に\n勝ってみせるからね！","2020/07/31 12:00:00","24025","421","アヤネ","3","0","2030/12/17 14:59:59","3.71","0","102301","4","24","10046"
"いい勝負だったね！\nでも、やっぱり悔しいな…\nもっと練習して\n今度は絶対に俺が勝つから！","2020/07/31 12:00:00","24026","721","アサヒ","1","0","2030/12/17 14:59:59","5.1","0","192201","2","24","10046"
"ちっ…あと一歩足りなかったか\n次こそは絶対に勝つから\nそのつもりでいろ","2020/07/31 12:00:00","24027","821","部員３","3","0","2030/12/17 14:59:59","4.34","0","192301","1","24","10046"
"いい勝負だったよ\nまたやろうね","2020/07/31 12:00:00","24028","521","","1","0","2030/12/17 14:59:59","0","0","192501","1","24","10046"
"とってもよくできました～♪\n頑張ってくれて先生うれしいわ\nこれからも試合に向けて\n練習していきましょうね～","2020/07/31 12:00:00","24029","101","ミサト","2","0","2030/12/17 14:59:59","5.62","-360","113501","1","24","10046"
"頑張った成果ね～！\nこのまま練習を続ければ\nもっとすごい成績を残せそうよ\n期待してますからね～！","2020/07/31 12:00:00","24030","102","ミサト","2","0","2030/12/17 14:59:59","9.58","-360","113501","1","24","10046"
"いい子、いい子～♪\n頑張り屋さんのあなたを\nたっくさん褒めてあげますからね","2020/07/31 12:00:00","24031","103","ミサト","2","0","2030/12/17 14:59:59","0","-360","113501","2","24","10046"
"夢に向けて、一歩前進できたわね\nこの調子で、夢を叶えましょう\n目指せ、全国大会～！","2020/07/31 12:00:00","24032","104","ミサト","1","0","2030/12/17 14:59:59","9.13","-360","113501","2","24","10046"
"絶好調ね～♪\nきっと試合でも大活躍\n間違いなしだわ\n楽しみにしていますからね～！","2020/07/31 12:00:00","24033","105","ミサト","2","0","2030/12/17 14:59:59","8.27","-360","113501","1","24","10046"
