8d44810a25756888bb228aea066ffd82772101b18f35009a56b9f5c2cefe67eb,6066ebe0cf34aa16d212c27e30f29a20790b2e1b77b76f1be5484d678fb491a0,8c29327d370b0170a80d124e44e943cf12fefaa0b9b60a5764a45d07c0887cc5,345aa90675312b567ebf9336828034996d0cd010ccb874cefa46e5304a0d79e4,f99aa927b87e1cbf6a83f7569a95445e6e0829220d9b0e2ce5676f0aa3f8938b,81196708f346ad00a46db5006ce4d9f5ff64ba798f04d42f8a560e7977d13e3b,efb6ee1193696c229eb5cd8d0b4e4a70b4d43db8edcba587a5636eaebc745d49,78106bb3d9e23df24a4f696ee209cad10fb04651a54cbbfa443a96f0cd487d18,299171c27eb8d00113a36d1292451fbd622354b85b71f5124944493589f9fd61,d5b152c1c0358b06e2ae6b3c5609a8404bd880dabcac775a5f87974781b33a2d,f4dfb2a069355f98c0d9b0220ab3c80498062aaa5dec78c661dcf4ecf38fb11b
"1","23005","122411","0.5","夏と言えばかき氷！\nシロップはー……\n禁断の全部混ぜだー！","5","11","0","23","0","0"
"","23006","0","","","","91","","23","",""
"","23007","122411","","sjr_talk_idle","1","3","","23","0.2",""
"","23008","122511","","sjr_talk_mouth_hidden_sad","1","3","","23","0.2",""
"0","23009","vo_minigame_1010","","vo_minigame_1010_top_talk_2_019","0","21","","23","",""
"1","23010","122511","0.5","そんなに冷たいもの\nばかり食べて…\n走れなくなっても\n知らないよ？","7","11","0","23","0","0"
"","23011","0","","","","91","","23","",""
"","23012","122511","","sjr_talk_idle","1","3","","23","0.2",""
"sjr_talk_arm_opened_guru","23013","122411","","sjr_talk_arm_opened_joy_guru","0","3","1","23","0.2","0"
"0","23014","vo_minigame_1010","","vo_minigame_1010_top_talk_2_020","0","21","","23","",""
"1","23015","122411","0.5","平気平気ぃ♪\n…あれっ？\nなんか頭がキーンって\nいたたたたぁー！？","5","11","0","23","0","0"
"","23016","0","","","","91","","23","",""
"","23017","122411","","sjr_talk_idle","1","3","","23","0.2",""
"72","24001","1","sjr_talk_idle","122511","100","1","-194","24","1.65","1"
"-72","24002","1","sjr_talk_idle","122411","100","1","-194","24","1.65","0"
"","24003","122411","","sjr_talk_mouth_hidden_sad","1","3","","24","0.2",""
"0","24004","vo_minigame_1010","","vo_minigame_1010_top_talk_2_021","0","21","","24","",""
"1","24005","122411","1","ユイちゃん\n大丈夫かなー\n転んだりしてないと\nいいけど…","7","11","0","24","0","0"
"","24006","0","","","","91","","24","",""
"","24007","122411","","sjr_talk_idle","1","3","","24","0.2",""
"sjr_talk_arm_crossed_joy_loop","24008","122511","","sjr_talk_arm_crossed_normal_joy","0","3","0","24","0.2","0"
"0","24009","vo_minigame_1010","","vo_minigame_1010_top_talk_2_022","0","21","","24","",""
"1","24010","122511","0.5","心配はいらないさ\nユイは強くなった\nむしろ私たちが\n負けてしまうかもね","5","11","0","24","0","0"
"","24011","0","","","","91","","24","",""
"","24012","122511","","sjr_talk_idle","1","3","","24","0.2",""
"","24013","122411","","sjr_talk_laugh","1","3","","24","0.2",""
"0","24014","vo_minigame_1010","","vo_minigame_1010_top_talk_2_023","0","21","","24","",""
"1","24015","122411","0.5","えへへっ、そうだね！\n一緒に走るのが\n楽しみだなー♪","7","11","0","24","0","0"
"","24016","0","","","","91","","24","",""
"","24017","122411","","sjr_talk_idle","1","3","","24","0.2",""
