e4f013e1b8a0fdf637b55b17667096c4c6e43dc56fb09b023b428d0d7ede8534,89b8aff45f82330e5ec2cf440a1f030f26186b69402c831f842495eefa432ea3,386c529528fecbbd9ea195217d15c437b4d5ac8695e66c45cdb0cb913e18c884,88277f9a588ad89f42ba045124dba337cf9fb1c2e1f1a513bfd9379c098869ae,2d928a782ad111c2f8140d6ef39b7d0047114b7082512b109a5614d7dda9e006,ca0780905ad19b40055d7077737f402ed252670324e409f814ded46f01be5471,1624c6ba89e7430409c31606ea63ebf58399bef281066ac44e39d950da18bbf6,cffbfe2eb6691dace526587444d5dc34d649ad4b48df04e14d177db478ea74d0,423766144de2c312a2663442ae49f331cb292f6769e5c8c05e23b5d7e020c9c7,ad41e77581386dd91e8fc5e96bec0344282fa845f9897cb04b3e8168279fb83e,1108445c27f96cddcd3733387aa2850ee94e3647b26df306d895fdbacd1695db,1123b67f81190df58341e3810f7d5650081dcf67469d704fe65da7f95c7d00b2,97960f49aa6244d5eb7e505f7bd5e9ce924da0c4b9006cfb9a659b02fb4fced9,f027d6af1159771cb6333ab4984820655a1a2c88a06d5d55b5ec5b7baf2ccfe5,502bfb0314049fc897c86e516993148549b6ea01e307c6524a7c99f988717d08,7186232de1b809aeb29bbf8578537daa059a87658df82c2b70a4006284df7919,38fb850485c154249f111d3884d0c0873905195e1cd0bea62a532301c9dc5299,491423cc06b3787fd20a6893ade44d7ca6d9f74720ef680540275f76ad9bbaf9,c8886b2a446e3a814aba9cd32638bec466dbcc0f38dd9c09ef8bc5ec95dbb079,35f4f9a478f8d5b76fd7e408d5da0677e1c61b2c43a94b8de9a751565ffc0163,e16a4a79359f4da8978e47ac74c52bcbb7b1f7c00971e2cd2248bba541fe38c1
"JumpOverTrap","JumpOverTrap","0","NONE","3000","0","1400","1010","2200","NONE","NONE","SpeedTerritoryA","JumpOverTrap","0","NONE","3500","0","NONE","EnemyB","0","400"
"EnemyH","EnemyA","3300","NONE","2400","0","900","1011","1500","AccelBoardA","NONE","SpeedTerritoryA","JumpBoard","0","NONE","2800","0","NONE","JumpOverTrap","0","400"
"Balloon","EnemyB","0","NONE","2850","0","1200","1012","2200","NONE","NONE","SpeedTerritoryA_NoColl","SpeedTerritoryA_NoColl","0","NONE","3750","0","NONE","JumpBoard","0","300"
"SpeedTerritoryA","TrapA","0","NONE","2600","0","1400","1013","2100","NONE","NONE","AccelBoardA","TrapA","0","NONE","3300","0","NONE","EnemyH","0","900"
"WholeCake","JumpOverTrap","3000","JumpOverEnemyB","2200","0","1400","1014","1800","AccelBoardA","NONE","SpeedTerritoryA","TrapA","0","NONE","2600","0","NONE","JumpOverEnemyB","3500","400"
"Balloon","EnemyC","0","NONE","2500","0","1100","1015","1900","NONE","NONE","EnemyA_NoColl","SpeedTerritoryA_NoColl","0","NONE","3700","0","NONE","TrapA_NoCall","0","600"
"AccelBoardA","NONE","0","NONE","3300","0","1400","1016","2300","NONE","NONE","EnemyB","AccelBoardA","0","NONE","0","0","NONE","TrapA","0","600"
"AccelBoardA","TrapA","0","NONE","2500","0","1200","1017","1600","NONE","NONE","EnemyB","WholeCake","0","NONE","3300","0","NONE","AccelBoardA","0","400"
"TrapA","EnemyA_NoColl","2900","NONE","1900","0","900","1018","1100","EnemyB_NoColl","NONE","TrapA","Balloon","0","NONE","2400","0","NONE","EnemyB_NoColl","0","600"
"TrapA","AccelBoardA","3800","NONE","2500","0","1200","1019","2000","TrapA","NONE","TrapA","TrapA","0","NONE","3000","0","NONE","EnemyA","0","500"
"AccelBoardA","TrapA","3100","EnemyH","2300","0","900","1020","1900","EnemyH","NONE","JumpBoard","TrapA","0","NONE","2700","0","NONE","TrapA","3700","400"
"EnemyB","AccelBoardA","0","NONE","2400","0","700","1021","1550","NONE","NONE","Balloon","EnemyA_NoColl","0","NONE","3400","0","NONE","TrapA_NoCall","0","400"
"EnemyC","SpeedTerritoryA","0","NONE","2500","0","1200","1022","1800","NONE","NONE","TrapA","TrapA","0","NONE","3400","0","NONE","AccelBoardA","0","800"
"EnemyD","TrapA","3500","NONE","2000","0","1000","1023","1500","TrapA","NONE","TrapA","JumpOverEnemyC","0","NONE","3000","0","NONE","WholeCake","0","500"
"EnemyC","EnemyB_NoColl","3200","JumpOverEnemyC","1800","0","600","1024","1300","TrapA","NONE","Balloon","EnemyA_NoColl","0","NONE","2300","0","NONE","SpeedTerritoryA_NoColl","3700","400"
"EnemyB","AccelBoardA","0","NONE","2700","0","1300","1025","2000","NONE","NONE","AccelBoardA","AccelBoardA","0","NONE","3400","0","NONE","AccelBoardA","0","900"
"EnemyB","NONE","0","NONE","2500","0","800","1026","1500","NONE","NONE","AccelBoardA","WholeCake","0","NONE","0","0","NONE","JumpBoard","0","400"
"SpeedTerritoryA","EnemyA_NoColl","3100","NONE","1700","0","630","1027","700","JumpBoard","NONE","TrapA","Balloon","0","NONE","2600","0","NONE","EnemyB_NoColl","0","400"
"SpeedTerritoryA","AccelBoardA","0","NONE","2700","0","1400","1028","2300","NONE","NONE","AccelBoardA","EnemyH","0","NONE","3200","0","NONE","TrapA","0","600"
"EnemyD","NONE","0","NONE","2500","0","1000","1029","1700","NONE","NONE","TrapA","SpeedTerritoryA","0","NONE","0","0","NONE","WarpGateA","0","500"
"WholeCake","TrapA","3500","NONE","2500","0","1500","1030","2000","SpeedTerritoryA","NONE","AccelBoardA","AccelBoardA","0","NONE","2800","0","NONE","TrapA","0","500"
"Balloon","EnemyH","3500","NONE","2900","0","1200","1031","2200","AccelBoardA","NONE","SpeedTerritoryA_NoColl","SpeedTerritoryA_NoColl","0","NONE","3200","0","NONE","TrapA","0","350"
"AccelBoardA","NONE","0","NONE","0","0","1500","1032","3000","NONE","NONE","EnemyA","EnemyA","0","NONE","0","0","NONE","NONE","0","700"
"TrapA","NONE","0","NONE","3100","0","1400","1033","2200","NONE","NONE","AccelBoardA","EnemyA","0","NONE","0","0","NONE","SpeedTerritoryA","0","700"
"TrapA","JumpOverEnemyA","3500","NONE","2500","0","1000","1034","2000","SpeedTerritoryB","NONE","JumpOverTrap","JumpOverEnemyC","0","NONE","3000","0","NONE","JumpOverEnemyD","0","500"
"JumpOverTrap","EnemyB_NoColl","2700","EnemyB_NoColl","1500","0","800","1035","1200","TrapA_NoCall","NONE","EnemyD","TrapA","0","NONE","2300","0","NONE","Balloon","3100","400"
"AccelBoardA","NONE","0","NONE","0","0","1200","1036","2700","NONE","NONE","SpeedTerritoryA","TrapA","0","NONE","0","0","NONE","NONE","0","500"
"EnemyH","NONE","0","NONE","3000","0","1000","1037","2000","NONE","NONE","AccelBoardA","TrapA","0","NONE","0","0","NONE","AccelBoardA","0","500"
"SpeedTerritoryB","AccelBoardA","3500","NONE","2700","0","1000","1038","2200","AccelBoardA","NONE","WholeCake","AccelBoardA","0","NONE","3000","0","NONE","EnemyB","0","500"
"SpeedTerritoryA","NONE","0","NONE","2400","0","1700","1039","2500","NONE","NONE","TrapA","WarpGateA","0","NONE","3100","0","NONE","NONE","0","800"
"EnemyB","WarpGateA","0","NONE","1800","0","1000","1040","1400","NONE","NONE","EnemyD","JumpOverEnemyA","0","NONE","2500","0","NONE","JumpOverEnemyA","0","500"
"TrapA","AccelBoardA","0","NONE","2800","0","1500","1041","2000","NONE","NONE","TrapA","AccelBoardA","0","NONE","3300","0","NONE","EnemyD","0","1000"
"TrapA","JumpOverEnemyA","3300","NONE","1800","0","900","1042","1300","AccelBoardA","NONE","TrapA","AccelBoardA","0","NONE","2700","0","NONE","WholeCake","0","500"
"AccelBoardA","TrapA","0","NONE","2200","0","1100","1043","1500","NONE","NONE","EnemyC","AccelBoardA","0","NONE","2700","0","NONE","EnemyD","0","500"
"AccelBoardA","NONE","0","NONE","3300","0","1400","1044","2300","NONE","NONE","EnemyC","JumpBoard","0","NONE","0","0","NONE","SpeedTerritoryB","0","500"
"EnemyB","NONE","0","NONE","2700","0","1900","1045","2300","NONE","NONE","AccelBoardA","AccelBoardA","0","NONE","0","0","NONE","AccelBoardA","0","1280"
"AccelBoardA","JumpBoard","0","NONE","2000","0","900","1046","1300","NONE","NONE","AccelBoardA","AccelBoardA","0","NONE","2500","0","NONE","EnemyB","0","400"
"SpeedTerritoryB","NONE","0","NONE","0","0","1500","1047","2400","NONE","NONE","AccelBoardA","WarpGateA","0","NONE","0","0","NONE","NONE","0","700"
"EnemyH","NONE","0","NONE","3100","0","1600","1048","2500","NONE","NONE","AccelBoardA","TrapA","0","NONE","0","0","NONE","TrapA","0","550"
"SpeedTerritoryB","TrapA","3500","NONE","2500","0","1000","1049","2000","TrapA","NONE","WholeCake","AccelBoardA","0","NONE","3000","0","NONE","JumpOverTrap","0","500"
"JumpOverTrap","JumpOverTrap","3600","NONE","2400","0","1200","1050","1800","JumpOverTrap","NONE","JumpOverTrap","JumpOverTrap","0","NONE","3000","0","NONE","JumpOverTrap","0","600"
"JumpBoard","NONE","0","NONE","3000","0","1300","1051","2200","NONE","NONE","JumpBoard","JumpBoard","0","NONE","0","0","NONE","JumpBoard","0","500"
"JumpBoard","NONE","0","NONE","3500","0","1200","1052","2100","NONE","NONE","JumpBoard","JumpBoard","0","NONE","0","0","NONE","SpeedTerritoryA","0","300"
"JumpOverTrap","TrapA","3600","NONE","2400","0","1200","1053","1800","TrapA","NONE","JumpOverTrap","JumpOverTrap","0","NONE","3000","0","NONE","TrapA","0","600"
"JumpBoard","NONE","0","NONE","0","0","0","1054","0","NONE","NONE","NONE","NONE","0","NONE","0","0","NONE","NONE","0","500"
"JumpBoard","NONE","0","NONE","3500","0","1200","1055","2100","NONE","NONE","JumpBoard","JumpBoard","0","NONE","0","0","NONE","EnemyB","0","300"
"JumpOverTrap","JumpOverTrap","3600","NONE","2400","0","1200","1056","1800","TrapA","NONE","JumpOverTrap","JumpOverTrap","0","NONE","3000","0","NONE","JumpOverTrap","0","600"
"JumpBoard","NONE","0","NONE","0","0","1500","1057","2500","NONE","NONE","JumpBoard","JumpBoard","0","NONE","0","0","NONE","NONE","0","500"
"JumpBoard","NONE","0","NONE","3500","0","1200","1058","2100","NONE","NONE","JumpBoard","JumpBoard","0","NONE","0","0","NONE","EnemyD","0","300"
"JumpOverTrap","TrapA","3600","NONE","2400","0","1200","1059","1800","TrapA","NONE","JumpOverTrap","JumpOverTrap","0","NONE","3000","0","NONE","JumpOverTrap","0","600"
"JumpBoard","NONE","0","NONE","0","0","2500","1060","0","NONE","NONE","JumpBoard","NONE","0","NONE","0","0","NONE","NONE","0","1300"
"JumpBoard","NONE","0","NONE","3500","0","1200","1061","2100","NONE","NONE","JumpBoard","JumpBoard","0","NONE","0","0","NONE","JumpOverEnemyB","0","300"
"EnemyH","JumpOverTrap","0","NONE","2600","0","1200","1062","1800","NONE","NONE","TrapA","AccelBoardA","0","NONE","3300","0","NONE","JumpOverTrap","0","500"
"JumpBoard","NONE","0","NONE","0","0","2300","1063","3300","NONE","NONE","SpeedTerritoryB","AccelBoardA","0","NONE","0","0","NONE","NONE","0","700"
"SpeedTerritoryB","StoneFlyingItem","2800","StoneFlyingItem","2000","0","1200","1064","1600","EnemyI","NONE","Onigiri","StoneFlyingItem","0","NONE","2400","0","NONE","EnemyB","3200","600"
"EnemyH","StoneFlyingItem","2400","StoneFlyingItem","1600","0","800","1065","1200","EnemyA","EnemyI","TrapA","Onigiri","3600","NONE","2000","3200","EnemyI","EnemyB","2800","400"
"JumpBoard","EnemyB","2800","EnemyI","2000","0","800","1066","1600","EnemyD","EnemyI","EnemyA_NoColl","EnemyI","0","NONE","2400","3600","NONE","Onigiri","3200","400"
"AccelBoardA","Onigiri","3200","EnemyA","2400","0","1100","1067","1800","EnemyB","NONE","AccelBoardA","AccelBoardA","0","NONE","2800","0","NONE","SpeedTerritoryA","3600","400"
"WholeCake","NONE","0","NONE","2700","0","1300","1068","2000","NONE","NONE","WholeCake","WholeCake","0","NONE","0","0","NONE","Onigiri","0","300"
"WholeCake","NONE","0","NONE","3200","0","1200","1069","2200","NONE","NONE","WholeCake","WholeCake","0","NONE","0","0","NONE","WholeCake","0","300"
"WholeCake","NONE","0","NONE","2550","0","1150","1070","1850","NONE","NONE","WholeCake","WholeCake","0","NONE","0","0","NONE","Onigiri","0","300"
"WholeCake","NONE","0","NONE","2400","0","1000","1071","1700","NONE","NONE","WholeCake","WholeCake","0","NONE","0","0","NONE","Onigiri","0","300"
"TrapA","NONE","0","NONE","1600","0","800","1072","1200","NONE","NONE","SpeedTerritoryB","EnemyA","0","NONE","0","0","NONE","WholeCake","0","400"
"TrapA","NONE","0","NONE","1600","0","800","1073","1200","NONE","NONE","SpeedTerritoryB","EnemyC","0","NONE","0","0","NONE","Balloon","0","400"
"TrapA","NONE","0","NONE","1600","0","800","1074","1200","NONE","NONE","SpeedTerritoryB","EnemyD","0","NONE","0","0","NONE","JumpBoard","0","400"
"TrapA","NONE","0","NONE","1600","0","800","1075","1200","NONE","NONE","SpeedTerritoryB","EnemyH","0","NONE","0","0","NONE","Onigiri","0","400"
"EnemyH","EnemyB","3000","EnemyI","1800","0","800","1076","1200","StoneFlyingItem","NONE","JumpOverEnemyC","EnemyB","0","NONE","2400","0","NONE","Onigiri","3600","400"
"SpeedTerritoryA","EnemyD","3200","EnemyI","2000","0","800","1077","1600","EnemyB","NONE","WholeCake","SpeedTerritoryA","0","NONE","2600","0","NONE","Onigiri","3600","400"
"Surf","JumpOverTrap","3600","NONE","2000","0","800","1078","1600","EnemyI","NONE","StoneFlyingItem","EnemyC","0","NONE","2800","0","NONE","EnemyI","3600","400"
"TrapA","StoneFlyingItem","2400","EnemyC","1600","0","800","1079","1200","StoneFlyingItem","NONE","JumpOverTrap","TrapA","0","NONE","2000","0","NONE","Surf","2800","400"
"JumpBoard","EnemyD","2000","EnemyC","1300","0","700","1080","1000","Surf","StoneFlyingItem","EnemyA_NoColl","TrapA_NoCall","3200","NONE","1600","2800","EnemyC","EnemyC","2400","400"
"EnemyA","EnemyC","2800","JumpOverTrap","1600","0","800","1081","1200","TrapA","NONE","Surf","StoneFlyingItem","0","NONE","2000","0","NONE","EnemyC","3600","400"
"SurfB","EnemyC","3200","JumpOverTrap","2000","0","800","1082","1600","EnemyC","NONE","StoneFlyingItem","TrapA","0","NONE","2400","0","NONE","SurfB","3600","400"
"SpeedTerritoryA","Surf","2600","StoneFlyingItem","1800","0","800","1083","1100","EnemyD","EnemyI","SurfB","StoneFlyingItem","0","NONE","2000","3400","NONE","EnemyC","3000","400"
"Surf","SurfB","2800","EnemyD","1800","0","800","1084","1500","EnemyI","NONE","EnemyB","StoneFlyingItem","0","NONE","2500","0","NONE","EnemyD","3600","300"
"SurfB","SurfB","2800","EnemyD","1800","0","800","1085","1500","EnemyI","NONE","EnemyB","JumpOverTrap","0","NONE","2500","0","NONE","EnemyD","3600","300"
"Surf","SurfB","2800","JumpOverTrap","1800","0","800","1086","1500","EnemyI","NONE","EnemyB","StoneFlyingItem","0","NONE","2500","0","NONE","EnemyD","3600","300"
"Surf","SurfB","2800","TrapA","1800","0","800","1087","1500","EnemyI","NONE","EnemyB","StoneFlyingItem","0","NONE","2500","0","NONE","EnemyD","3600","300"
"Carpet500","NONE","0","NONE","0","0","0","1088","0","NONE","NONE","NONE","NONE","0","NONE","0","0","NONE","NONE","0","400"
"EnemyA","AccelBoardA","3000","JumpOverEnemyA","2100","0","1000","1089","1500","JumpOverTrap","NONE","EnemyC","TrapA","0","NONE","2600","0","NONE","JumpOverTrap","3500","500"
"TrapA","EnemyC","2800","TrapA","1900","0","900","1090","1500","EnemyD","NONE","SpeedTerritoryA","JumpOverEnemyA","0","NONE","2300","0","NONE","AccelBoardA","3300","400"
"WholeCake","EnemyA","0","NONE","2700","0","1500","1091","2200","NONE","NONE","TrapA","EnemyA","0","NONE","3200","0","NONE","EnemyC","0","500"
"JumpOverTrap","SpeedTerritoryA","3300","NONE","2200","0","1100","1092","1700","TrapA","NONE","EnemyA","TrapA","0","NONE","2600","0","NONE","JumpOverEnemyA","0","600"
"Surf","EnemyI","3400","NONE","2600","0","900","1093","1500","EnemyD","NONE","EnemyB","StoneFlyingItem","0","NONE","3000","0","NONE","Onigiri","0","500"
"EnemyD","EnemyI","3400","NONE","2000","0","800","1094","1300","EnemyD","NONE","JumpOverTrap","Onigiri","0","NONE","2700","0","NONE","EnemyB","0","400"
"TrapA","EnemyD","3300","NONE","2300","0","1000","1095","1900","StoneFlyingItem","NONE","WholeCake","SpeedTerritoryA","0","NONE","2800","0","NONE","Onigiri","0","500"
"JumpOverEnemyA","StoneFlyingItem","3500","NONE","2500","0","900","1096","1800","EnemyD","NONE","JumpBoard","EnemyC","0","NONE","3000","0","NONE","Onigiri","0","400"
"EnemyA","AccelBoardA","3000","EnemyA","1900","0","800","1097","1400","EnemyC","NONE","SpeedTerritoryA","AccelBoardA","0","NONE","2200","0","NONE","EnemyD","3400","400"
"TrapA","EnemyD","3000","TrapA","1900","0","900","1098","1500","EnemyC","NONE","AccelBoardA","EnemyC","0","NONE","2400","0","NONE","TrapA","3300","500"
"EnemyC","EnemyA","3000","NONE","1900","0","800","1099","1400","EnemyC","NONE","TrapA","EnemyD","0","NONE","2500","0","NONE","AccelBoardA","0","400"
"EnemyA","EnemyH","3000","EnemyC","1900","0","900","1100","1300","TrapA","NONE","TrapA","AccelBoardA","0","NONE","2300","0","NONE","SpeedTerritoryA","3400","500"
"EnemyA","EnemyC","3300","NONE","2100","0","1000","1101","1600","TrapA","NONE","TrapA","SpeedTerritoryA","0","NONE","2700","0","NONE","EnemyC","0","600"
"TrapA","EnemyD","2700","EnemyA","1900","0","900","1102","1500","TrapA","EnemyC","EnemyA","AccelBoardA","0","NONE","2300","3400","NONE","EnemyC","3000","500"
"EnemyC","EnemyC","3300","EnemyD","1900","0","1100","1103","1500","SpeedTerritoryA","NONE","EnemyD","TrapA","0","NONE","2800","0","NONE","SpeedTerritoryA","3600","600"
"TrapA","AccelBoardA","2600","SpeedTerritoryA","1800","0","1000","1104","1400","EnemyA","EnemyD","EnemyH","TrapA","0","NONE","2200","3300","NONE","EnemyA","2900","600"
"JumpOverEnemyA","EnemyH","2800","EnemyH","1900","0","1000","1105","1500","JumpOverEnemyC","EnemyA","JumpOverEnemyD","EnemyD","0","NONE","2400","3500","NONE","EnemyA","3100","500"
"JumpOverEnemyC","JumpOverEnemyB","3100","EnemyD","2000","0","900","1106","1500","EnemyH","NONE","EnemyA","JumpOverEnemyB","0","NONE","2500","0","NONE","EnemyH","3500","500"
"EnemyA","EnemyA","3400","NONE","2300","0","1200","1107","1800","JumpOverEnemyB","NONE","JumpOverEnemyC","JumpOverEnemyC","0","NONE","2800","0","NONE","JumpOverEnemyA","0","600"
"JumpOverEnemyB","EnemyA","3500","NONE","2400","0","1000","1108","1700","EnemyC","NONE","EnemyH","JumpOverEnemyA","0","NONE","2900","0","NONE","JumpOverEnemyC","0","500"
"SurfC","EnemyI","0","NONE","2000","0","1000","8001","1300","NONE","NONE","StoneFlyingItem","EnemyC","0","NONE","3000","0","NONE","EnemyI","0","700"
"SurfC","EnemyI","0","NONE","2000","0","1000","8002","1300","NONE","NONE","EnemyA","EnemyB","0","NONE","3000","0","NONE","EnemyA","0","700"
"SurfB","JumpOverTrap","2500","SpeedTerritoryB","1900","0","1300","8003","1600","SpeedTerritoryA","AccelBoardA","EnemyA","JumpOverEnemyA","0","NONE","2200","3100","NONE","TrapA","2800","300"
"SurfB","WarpGateA","3200","NONE","1800","0","1300","8004","1600","WholeCake","NONE","JumpBoard","EnemyA_NoColl","0","NONE","2200","0","NONE","SpeedTerritoryA_NoColl","0","300"
"SurfB","NONE","0","NONE","2400","0","1300","8005","2000","NONE","NONE","Balloon","EnemyA_NoColl","0","NONE","0","0","NONE","SpeedTerritoryA_NoColl","0","300"
"NONE","JumpOverTrap","1500","SpeedTerritoryB","900","0","300","8006","600","SpeedTerritoryA","AccelBoardA","EnemyA","JumpOverEnemyA","3000","NONE","1200","2100","SurfB","TrapA","1800","0"
"NONE","WarpGateA","2200","SurfB","800","0","300","8007","600","WholeCake","NONE","JumpBoard","EnemyA_NoColl","0","NONE","1200","0","NONE","SpeedTerritoryA_NoColl","3000","0"
"NONE","SurfB","0","NONE","1300","0","300","8008","1000","NONE","NONE","Balloon","EnemyA_NoColl","0","NONE","3000","0","NONE","SpeedTerritoryA_NoColl","0","0"
"NONE","NONE","0","NONE","1300","0","300","8009","1000","NONE","NONE","NONE","NONE","0","NONE","3000","0","NONE","NONE","0","0"
"AccelBoardA","NONE","0","NONE","3100","0","1000","9990","2000","NONE","NONE","AccelBoardA","WarpGateA","0","NONE","0","0","NONE","JumpBoard","0","500"
"AccelBoardA","EnemyB","3000","NONE","2000","0","800","9991","1300","NONE","NONE","TrapA","TrapA","0","NONE","2500","0","NONE","JumpOverEnemyB","0","500"
"AccelBoardA","AccelBoardA","3300","NONE","2100","0","1100","9992","1400","TrapA","NONE","EnemyD","JumpOverEnemyB","0","NONE","2800","0","NONE","EnemyB","0","500"
"AccelBoardA","EnemyC","3300","EnemyA","2500","0","1200","9993","2000","EnemyA","NONE","JumpOverEnemyA","EnemyA","0","NONE","3000","0","NONE","AccelBoardA","3600","500"
"WholeCake","AccelBoardA","3000","NONE","2000","0","1000","9994","1500","AccelBoardA","NONE","AccelBoardA","AccelBoardA","0","NONE","2500","0","NONE","AccelBoardA","0","300"
"JumpOverEnemyA","JumpOverTrap","3000","NONE","1700","0","900","9995","1400","JumpOverEnemyA","NONE","EnemyB","JumpOverTrap","0","NONE","2600","0","NONE","SpeedTerritoryA","0","500"
"JumpOverEnemyB","NONE","0","NONE","2700","0","700","9996","1900","NONE","NONE","WarpGateA","AccelBoardA","0","NONE","0","0","NONE","AccelBoardA","0","400"
"Onigiri","StoneFlyingItem","0","NONE","2700","0","700","9997","1900","NONE","NONE","StoneFlyingItem","EnemyA","0","NONE","3600","0","NONE","StoneFlyingItem","0","400"
