0f4e3c20520c68d6d51b1e5fcbfe040a5e499872f070ec8e836366394af29f23,1bda5a8fbf780639bc869e739e443c73d67f003c580f733390b4786931253a0d,8e6722ca5195383681a02beb61053039ae81ca3d4550da878666dee9c668a9f4,632b151cdf19b77cf9c4de3fa55c7efa6b97c4225c5ac90dbe3a86e0c0e6224a,23387ae50978e62cee919a95e95c40f1cc465b073d7e2de421a181cafd605649,aa88030074c0ae03a6c03a86da14e7216242e8b9d00867b2192ec782f79303a0,ac2a7fe23559e23772f763c4ce8d0a05f4e2f26a88b2f96d1bf3fad84a955190,3c8d53eee96a1daff7877ef84069571a7776c2974bf056ff9e56f5c427391302,389fe261e44e2fe9fc76e4c4bd15b4cd8992d142e6ed5f63b75d7fd52afadbf3,9c4dd305f839b9689fb472fdff4fb6c6c8bfcc9f2a4235e2ed685dcff1439198,006730a3b3437a743f6622370809e9684f6c27c67d15a74945873d60e84869b3
"","","102015","","0.4","3","105911","1","102","cgg_idle_def",""
"","","102016","","","21","vo_minigame_1007","0","102","vo_minigame_1007_top_talk_2_004","0"
"0","0","102017","0","0","11","106411","5","102","カルミナのライブ……\nふふっ、楽しみね。\nあ、ちょっとグッズを\n見てきていいかしら。","0"
"","","102018","","0.2","3","1","1","102","cgg_idle_reaction1",""
"","","102019","","0.2","3","106411","1","102","cgg_talk_surprise1",""
"","","102020","","","93","2.6","","102","0",""
"0","1","102021","","0.2","3","1","0","102","cgg_talk_nod","cgg_idle_nod"
"","","102022","","0.2","3","106411","1","102","cgg_talk_joy3_blink",""
"","","102023","","","93","3.2","","102","0",""
"","","102024","","0.2","3","1","1","102","cgg_idle_reaction5",""
"","","102025","","0.2","3","106411","1","102","cgg_talk_normal",""
"","","102026","","","91","102017","","102","",""
"","","102027","","","93","0.5","","102","0",""
"","","102028","","0.2","3","106411","1","102","cgg_idle_def",""
"","","102029","","0.2","3","1","1","102","cgg_idle_normal",""
"","","102030","","0.2","3","105911","1","102","cgg_talk_joy3_blink",""
"","","102031","","0.2","12","105911","1.4","102","10",""
"","","102032","","","93","3","","102","0",""
"","","102033","","0.2","3","105911","1","102","cgg_idle_def",""
"","","102034","","0.2","3","106411","1","102","cgg_talk_joy1",""
"","","102035","","0.2","12","106411","1.4","102","11",""
"","","102036","","","93","3","","102","0",""
"","","102037","","0.2","3","106411","1","102","cgg_idle_def",""
"","","102038","","0.2","3","1","1","102","cgg_idle_surprise3",""
"","","102039","","0.2","12","1","1.4","102","6",""
"","","102040","","","93","3","","102","0",""
"","","102041","","","101","102029","","102","0",""
"","","102042","","","22","0","","102","0.5",""
"0","0","102043","","0.1","6","1","1","102","1","1"
"0","0","102044","","0.1","6","105911","1","102","1","1"
"0","0","102045","","0.1","6","106411","1","102","1","1"
"","","102046","","","93","0.1","","102","0",""
"","","102047","","0","3","1","1","102","cgg_idle_normal",""
"","","102048","","0","3","105911","1","102","cgg_idle_def",""
"","","102049","","0","3","106411","1","102","cgg_idle_def",""
"0","-230","103001","cgg_idle_normal","160","5","1","100","103","1","-420"
"1","-230","103002","cgg_idle_def","1.6","1","1","100","103","100211","375"
"1","-230","103003","cgg_idle_def","1.6","1","1","101","103","100111","490"
"0","1","103004","","0.1","6","1","1","103","1","1"
"0","1","103005","","0.1","6","100211","1","103","1","1"
"0","1","103006","","0.1","6","100111","1","103","1","1"
"","","103007","","","93","0.2","","103","0",""
"","","103008","","","21","vo_minigame_1007","0","103","vo_minigame_1007_top_talk_3_005","0"
"0","0","103009","0","0","11","100211","6","103","次は何が出るのかな？\n楽しみだね、\nヒヨリちゃん","0"
"","","103010","","0.2","3","1","1","103","cgg_idle_surprise1",""
"","","103011","","0.2","3","100211","1","103","cgg_talk_wish",""
"","","103012","","","93","2.4","","103","0",""
"","","103013","","0.2","3","100211","1","103","cgg_talk_joy3",""
"","","103014","","","91","103009","","103","",""
"","","103015","","0.2","3","100211","1","103","cgg_idle_def",""
"","","103016","","","21","vo_minigame_1007","0","103","vo_minigame_1007_top_talk_3_006","0"
"0","0","103017","0","0","11","100111","5","103","そうだねユイちゃん！\nよーっし、どんどん\n回しまくるよー！\nぐるぐるぐるー♪","0"
"","","103018","","0.2","3","1","1","103","cgg_idle_reaction5",""
"","","103019","","0.2","3","100111","1","103","cgg_talk_joy1",""
"","","103020","","","93","2.5","","103","0",""
"0","1","103021","","0.2","3","100111","0","103","cgg_talk_guts_NoBlink","cgg_idle_guts"
"","","103022","","","93","4","","103","0",""
"0.2","1","103023","","0.2","3","1","0","103","cgg_joy","cgg_idle_reaction3"
"","","103024","","0.2","3","100111","1","103","cgg_talk_joy2",""
"","","103025","","","91","103017","","103","",""
"","","103026","","","93","0.7","","103","0",""
"","","103027","","0.2","3","1","1","103","cgg_idle_normal",""
"","","103028","","0.2","3","100111","1","103","cgg_idle_def",""
"","","103029","","0.2","3","100211","1","103","cgg_idle_bitter3",""
"","","103030","","0.2","12","100211","1.4","103","1",""
"","","103031","","","93","3","","103","0",""
"","","103032","","0.2","3","100211","1","103","cgg_idle_def",""
"0.2","1","103033","","0.2","3","1","0","103","cgg_talk_handsup","cgg_idle_reaction1"
"","","103034","","0.2","12","1","1.4","103","10",""
"","","103035","","","93","3","","103","0",""
"","","103036","","0.2","3","1","1","103","cgg_idle_normal",""
"","","103037","","0.2","3","100111","1","103","cgg_idle_joy3",""
"","","103038","","0.2","12","100111","1.4","103","6",""
"","","103039","","","93","3","","103","0",""
"","","103040","","","101","103028","","103","0",""
"","","103041","","","22","0","","103","0.5",""
"0","0","103042","","0.1","6","1","1","103","1","1"
"0","0","103043","","0.1","6","100211","1","103","1","1"
"0","0","103044","","0.1","6","100111","1","103","1","1"
"","","103045","","","93","0.1","","103","0",""
"","","103046","","0","3","1","1","103","cgg_idle_normal",""
"","","103047","","0","3","100211","1","103","cgg_idle_def",""
"","","103048","","0","3","100111","1","103","cgg_idle_def",""
"0","-230","104001","cgg_idle_normal","160","5","1","100","104","1","-420"
"1","-230","104002","cgg_idle_def","1.6","1","1","100","104","100111","375"
"1","-230","104003","cgg_idle_def","1.6","1","1","101","104","100311","490"
"0","1","104004","","0.1","6","1","1","104","1","1"
"0","1","104005","","0.1","6","100111","1","104","1","1"
"0","1","104006","","0.1","6","100311","1","104","1","1"
"","","104007","","","93","0.2","","104","0",""
"","","104008","","","21","vo_minigame_1007","0","104","vo_minigame_1007_top_talk_4_007","0"
"0","0","104009","0","0","11","100111","5","104","ねーねーレイさん、\nもっかい引いていい？","0"
"","","104010","","0.2","3","1","1","104","cgg_idle_reaction2",""
"","","104011","","0.2","3","100111","1","104","cgg_talk_joy3_dere",""
"","","104012","","","93","2.7","","104","0",""
"0","1","104013","","0.2","3","1","0","104","cgg_talk_guts2","cgg_idle_guts2"
"","","104014","","0.2","3","100111","1","104","cgg_talk_normal_dere2",""
"","","104015","","","91","104009","","104","",""
"","","104016","","","21","vo_minigame_1007","0","104","vo_minigame_1007_top_talk_4_008","0"
"0","0","104017","0","0","11","100311","5","104","ダメだよヒヨリ。\n次は私の番なんだから\n…ふふ、意外に夢中に\nなってしまうね","0"
"","","104018","","0.2","3","1","1","104","cgg_idle_reaction2",""
"0","1","104019","","0.2","3","100311","0","104","cgg_No","cgg_idle_def"
"","","104020","","","93","0.8","","104","0",""
"","","104021","","0.2","3","100111","1","104","cgg_idle_surprise2",""
"","","104022","","","93","0.9","","104","0",""
"0","1","104023","","0.2","3","1","0","104","cgg_surprise2","cgg_idle_surprise2"
"0","1","104024","","0.2","3","100311","0","104","cgg_talk_arm_crossed2","cgg_idle_arm_crossed2"
"","","104025","","","93","2.5","","104","0",""
"","","104026","","0.2","3","100311","1","104","cgg_idle_bitter",""
"","","104027","","","93","2","","104","0",""
"0","1","104028","","0.2","3","1","0","104","cgg_talk_nod","cgg_idle_nod"
"","","104029","","","91","104017","","104","",""
"","","104030","","","93","0.5","","104","0",""
"","","104031","","0.2","3","100311","1","104","cgg_idle_def",""
"","","104032","","0.2","3","1","1","104","cgg_idle_normal",""
"","","104033","","0.2","3","100111","1","104","cgg_idle_anger",""
"","","104034","","0.2","12","100111","1.4","104","17",""
"","","104035","","","93","3","","104","0",""
"","","104036","","0.2","3","100111","1","104","cgg_idle_def",""
"","","104037","","0.2","3","100311","1","104","cgg_idle_bitter4",""
"","","104038","","0.2","12","100311","1.4","104","2",""
"","","104039","","","93","3","","104","0",""
"","","104040","","0.2","3","100311","1","104","cgg_idle_def",""
"","","104041","","0.2","3","1","1","104","cgg_idle_surprise2",""
"","","104042","","0.2","12","1","1.4","104","1",""
"","","104043","","","93","3","","104","0",""
"","","104044","","","101","104032","","104","0",""
"","","104045","","","22","0","","104","0.5",""
"0","0","104046","","0.1","6","1","1","104","1","1"
"0","0","104047","","0.1","6","100111","1","104","1","1"
"0","0","104048","","0.1","6","100311","1","104","1","1"
"","","104049","","","93","0.1","","104","0",""
"","","104050","","0","3","1","1","104","cgg_idle_normal",""
"","","104051","","0","3","100111","1","104","cgg_idle_def",""
"","","104052","","0","3","100311","1","104","cgg_idle_def",""
"0","-230","105001","cgg_idle_normal","160","5","1","100","105","1","-420"
"1","-230","105002","cgg_idle_def","1.6","1","1","100","105","100211","375"
"1","-230","105003","cgg_idle_def","1.6","1","1","101","105","105811","490"
"0","1","105004","","0.1","6","1","1","105","1","1"
"0","1","105005","","0.1","6","100211","1","105","1","1"
"0","1","105006","","0.1","6","105811","1","105","1","1"
"","","105007","","","93","0.2","","105","0",""
"","","105008","","","21","vo_minigame_1007","0","105","vo_minigame_1007_top_talk_5_009","0"
"0","0","105009","0","0","11","100211","7","105","グッズは種類が\nいっぱいあるから\n全種類揃えるまで\n頑張ろうね！","0"
"","","105010","","0.2","3","1","1","105","cgg_idle_reaction1",""
"","","105011","","0.2","3","100211","1","105","cgg_talk_normal",""
"","","105012","","","93","2.4","","105","0",""
"","","105013","","0.2","3","100211","1","105","cgg_talk_joy3",""
"","","105014","","","93","1.1","","105","0",""
"0.2","1","105015","","0.2","3","1","0","105","cgg_talk_handsup","cgg_idle_reaction1"
"","","105016","","","91","105009","","105","",""
"","","105017","","0.2","3","100211","1","105","cgg_idle_def",""
"","","105018","","","21","vo_minigame_1007","0","105","vo_minigame_1007_top_talk_5_010","0"
"0","0","105019","0","0","11","105811","6","105","集めたグッズは\n棚に飾って、あとで\nじっくり鑑賞です♪\nやばいですね☆","0"
"0","0","105020","","0.2","3","1","0","105","cgg_talk_arm_crossed","cgg_idle_arm_crossed"
"","","105021","","0.2","3","105811","1","105","cgg_talk_joy1",""
"","","105022","","","93","5","","105","0",""
"0","1","105023","","0.2","3","1","0","105","cgg_talk_guts2","cgg_idle_guts2"
"0.2","1","105024","","0.2","3","105811","0","105","cgg_jump_def_N","cgg_idle_def"
"","","105025","","","91","105019","","105","",""
"","","105026","","","93","0.5","","105","0",""
"","","105027","","0.2","3","1","1","105","cgg_idle_normal",""
"","","105028","","0.2","3","100211","1","105","cgg_talk_joy3",""
"","","105029","","0.2","12","100211","1.4","105","10",""
"","","105030","","","93","3","","105","0",""
"","","105031","","0.2","3","100211","1","105","cgg_idle_def",""
"0","1","105032","","0.2","3","105811","0","105","cgg_talk_guts_anger","cgg_idle_guts_anger"
"","","105033","","0.2","12","105811","1.4","105","4",""
"","","105034","","","93","3","","105","0",""
"","","105035","","0.2","3","105811","1","105","cgg_idle_def",""
"0","1","105036","","0.2","3","1","0","105","cgg_talk_guts2","cgg_idle_guts2"
"","","105037","","0.2","12","1","1.4","105","7",""
"","","105038","","","93","3","","105","0",""
"","","105039","","","101","105027","","105","0",""
"","","105040","","","22","0","","105","0.5",""
"0","0","105041","","0.1","6","1","1","105","1","1"
"0","0","105042","","0.1","6","100211","1","105","1","1"
"0","0","105043","","0.1","6","105811","1","105","1","1"
"","","105044","","","93","0.1","","105","0",""
"","","105045","","0","3","1","1","105","cgg_idle_normal",""
"","","105046","","0","3","100211","1","105","cgg_idle_def",""
"","","105047","","0","3","105811","1","105","cgg_idle_def",""
"0","-230","106001","cgg_idle_normal","160","5","1","100","106","1","-420"
"1","-230","106002","cgg_idle_def","1.6","1","1","100","106","110911","420"
"0","1","106003","","0.1","6","1","1","106","1","1"
"0","1","106004","","0.1","6","110911","1","106","1","1"
"","","106005","","","93","0.2","","106","0",""
"","","106006","","","21","vo_minigame_1007","0","106","vo_minigame_1007_top_talk_6_011","0"
"0","0","106007","0","0","11","110911","6","106","え…うそでしょ先輩…\nカルミナグッズまだ\nフルコンしてないとか\nありえないんですけど","0"
"","","106008","","0.2","3","1","1","106","cgg_idle_reaction2",""
"","","106009","","0.2","3","110911","0","106","cgg_shock",""
"","","106010","","","93","1","","106","0",""
"","","106011","","0.2","3","110911","1","106","cgg_idle_bitter2",""
"","","106012","","","93","4.2","","106","0",""
"0","1","106013","","0.2","3","1","0","106","cgg_shock","cgg_idle_shock"
"","","106014","","","91","106007","","106","",""
"","","106015","","","21","vo_minigame_1007","0","106","vo_minigame_1007_top_talk_6_012","0"
"0","0","106016","0","0","11","110911","6","106","いい加減にして下さい\n呑気に一般美少女と\n話してる暇があったら\nほら、早く回す！","0"
"0","1","106017","","0.2","3","110911","1","106","cgg_talk_tsun_pain",""
"","","106018","","","93","0.7","","106","0",""
"0","1","106019","","0.2","3","1","0","106","cgg_surprise2","cgg_idle_surprise2"
"","","106020","","","93","1.3","","106","0",""
"0","1","106021","","0.2","3","110911","1","106","cgg_talk_joy1_sad",""
"","","106022","","","93","3","","106","0",""
"","1","106023","","0.2","3","110911","0","106","cgg_talk_guts_anger","cgg_idle_guts_anger"
"","","106024","","","93","0.7","","106","0",""
"0","1","106025","","0.2","3","1","0","106","cgg_talk_guts2","cgg_idle_guts2"
"","","106026","","","91","106016","","106","",""
"","","106027","","","93","0.5","","106","0",""
"","","106028","","0.2","3","110911","1","106","cgg_idle_def",""
"0","1","106029","","0.2","3","1","0","106","cgg_talk_doya","cgg_idle_doya"
"","","106030","","0.2","12","1","1.4","106","6",""
"","","106031","","","93","3","","106","0",""
"","","106032","","0.2","3","1","1","106","cgg_idle_normal",""
"0","1","106033","","0.2","3","110911","0","106","cgg_talk_guts_anger","cgg_idle_guts_anger"
"","","106034","","0.2","12","110911","1.4","106","11",""
"","","106035","","","93","3","","106","0",""
"","","106036","","0.2","3","110911","1","106","cgg_idle_def",""
"0","1","106037","","0.2","3","1","0","106","cgg_surprise1","cgg_idle_surprise1"
"","","106038","","0.2","12","1","1.4","106","4",""
"","","106039","","","93","3","","106","0",""
"","","106040","","0.2","3","1","1","106","cgg_idle_normal",""
"","","106041","","0.2","3","110911","1","106","cgg_talk_joy3_blink",""
"","","106042","","0.2","12","110911","1.4","106","10",""
"","","106043","","","93","3","","106","0",""
"","","106044","","","101","106028","","106","0",""
"","","106045","","","22","0","","106","0.5",""
"0","0","106046","","0.1","6","1","1","106","1","1"
"0","0","106047","","0.1","6","110911","1","106","1","1"
"","","106048","","","93","0.1","","106","0",""
"","","106049","","0","3","1","1","106","cgg_idle_normal",""
"","","106050","","0","3","110911","1","106","cgg_idle_def",""
"0","-230","201001","cgg_idle_normal","160","5","1","100","201","1","-420"
"1","-230","201002","cgg_idle_def","1.6","1","1","100","201","100411","420"
"0","1","201003","","0.1","6","1","1","201","1","1"
"0","1","201004","","0.1","6","100411","1","201","1","1"
"","","201005","","","93","0.2","","201","0",""
"","","201006","","","21","vo_minigame_1007","0","201","vo_minigame_1007_top_talk_7_013","0"
"0","0","201007","0","0","11","100411","7","201","ねぇねぇにいちゃん！\nグッズが半分くらい\n集まってるよ！\nあとちょっとだね！","0"
"","","201008","","0.2","3","1","1","201","cgg_idle_reaction2",""
"","","201009","","0.2","3","100411","1","201","cgg_talk_joy1_normal",""
"","","201010","","","93","1.3","","201","0",""
"0","1","201011","","0.2","3","1","0","201","cgg_talk_doya","cgg_idle_doya"
"","","201012","","0.2","3","100411","1","201","cgg_talk_surprise_kira",""
"","","201013","","","93","2.7","","201","0",""
"0.2","1","201014","","0.2","3","1","0","201","cgg_talk_handsup","cgg_idle_reaction1"
"0","1","201015","","0.2","3","100411","0","201","cgg_talk_guts","cgg_idle_guts"
"","","201016","","","91","201007","","201","",""
"","","201017","","","93","0.5","","201","0",""
"","","201018","","0.2","3","100411","1","201","cgg_idle_def",""
"","","201019","","0.2","3","1","1","201","cgg_idle_surprise3",""
"","","201020","","0.2","12","1","1.4","201","6",""
"","","201021","","","93","3","","201","0",""
"","","201022","","0.2","3","1","1","201","cgg_idle_normal",""
"","","201023","","0.2","3","100411","1","201","cgg_talk_surprise_kira",""
"","","201024","","0.2","12","100411","1.4","201","7",""
"","","201025","","","93","3","","201","0",""
"","","201026","","0.2","3","100411","1","201","cgg_idle_def",""
"0","1","201027","","0.2","3","1","0","201","cgg_talk_handsup","cgg_idle_reaction1"
"","","201028","","0.2","12","1","1.4","201","11",""
"","","201029","","","93","3","","201","0",""
"","","201030","","0.2","3","1","1","201","cgg_idle_normal",""
"","","201031","","0.2","3","100411","1","201","cgg_talk_joy1",""
"","","201032","","0.2","12","100411","1.4","201","10",""
"","","201033","","","93","3","","201","0",""
"","","201034","","","101","201018","","201","0",""
"","","201035","","","22","0","","201","0.5",""
"0","0","201036","","0.1","6","1","1","201","1","1"
"0","0","201037","","0.1","6","100411","1","201","1","1"
"","","201038","","","93","0.1","","201","0",""
"","","201039","","0","3","1","1","201","cgg_idle_normal",""
"","","201040","","0","3","100411","1","201","cgg_idle_def",""
"0","-230","202001","cgg_idle_normal","160","5","1","100","202","1","-420"
"1","-230","202002","cgg_idle_def","1.6","1","1","100","202","102011","420"
"0","1","202003","","0.1","6","1","1","202","1","1"
"0","1","202004","","0.1","6","102011","1","202","1","1"
"","","202005","","","93","0.2","","202","0",""
"","","202006","","","21","vo_minigame_1007","0","202","vo_minigame_1007_top_talk_8_014","0"
"0","0","202007","0","0","11","102011","5","202","すごいね～♪\n全部そろったところが\n見てみたいな～♪","0"
"","","202008","","0.2","3","1","1","202","cgg_idle_reaction1",""
"","","202009","","0.2","3","102011","1","202","cgg_talk_joy3",""
"","","202010","","","93","2","","202","0",""
"","","202011","","0.2","3","1","1","202","cgg_idle_nod",""
"","","202012","","0.2","3","102011","1","202","cgg_talk_wish",""
"","","202013","","","91","202007","","202","",""
"","","202014","","","93","0.5","","202","0",""
"","","202015","","0.2","3","102011","1","202","cgg_idle_def",""
"","","202016","","0.2","3","1","1","202","cgg_idle_reaction3",""
"","","202017","","0.2","12","1","1.4","202","6",""
"","","202018","","","93","3","","202","0",""
"","","202019","","0.2","3","1","1","202","cgg_idle_normal",""
"","","202020","","0.2","3","102011","1","202","cgg_talk_joy1_normal",""
"","","202021","","0.2","12","102011","1.4","202","11",""
"","","202022","","","93","3","","202","0",""
"","","202023","","0.2","3","102011","1","202","cgg_idle_def",""
"0","1","202024","","0.2","3","1","0","202","cgg_talk_guts2","cgg_idle_guts2"
"","","202025","","0.2","12","1","1.4","202","11",""
"","","202026","","","93","3","","202","0",""
"","","202027","","0.2","3","1","1","202","cgg_idle_normal",""
"","","202028","","0.2","3","102011","1","202","cgg_talk_joy3",""
"","","202029","","0.2","12","102011","1.4","202","7",""
"","","202030","","","93","3","","202","0",""
"","","202031","","","101","202015","","202","0",""
"","","202032","","","22","0","","202","0.5",""
"0","0","202033","","0.1","6","1","1","202","1","1"
"0","0","202034","","0.1","6","102011","1","202","1","1"
"","","202035","","","93","0.1","","202","0",""
"","","202036","","0","3","1","1","202","cgg_idle_normal",""
"","","202037","","0","3","102011","1","202","cgg_idle_def",""
"0","-230","203001","cgg_idle_normal","160","5","1","100","203","1","-420"
"1","-230","203002","cgg_idle_def","1.6","1","1","100","203","103611","420"
"0","1","203003","","0.1","6","1","1","203","1","1"
"0","1","203004","","0.1","6","103611","1","203","1","1"
"","","203005","","","93","0.2","","203","0",""
"","","203006","","","21","vo_minigame_1007","0","203","vo_minigame_1007_top_talk_9_015","0"
"0","0","203007","0","0","11","103611","6","203","あと少しですね\n全部揃えられたら\n褒めてあげます\n…頑張ってください","0"
"0","1","203008","","0.2","3","1","0","203","cgg_talk_arm_crossed","cgg_idle_arm_crossed"
"","","203009","","0.2","3","103611","1","203","cgg_talk_normal",""
"","","203010","","","93","1.9","","203","0",""
"","","203011","","0.2","3","1","1","203","cgg_idle_surprise1",""
"","","203012","","0.2","3","103611","1","203","cgg_talk_joy3_blink",""
"","","203013","","","93","3.1","","203","0",""
"0","1","203014","","0.2","3","1","0","203","cgg_talk_guts2","cgg_idle_guts2"
"","","203015","","0.2","3","103611","1","203","cgg_talk_surprise_dere",""
"","","203016","","","91","203007","","203","",""
"","","203017","","","93","0.5","","203","0",""
"","","203018","","0.2","3","103611","1","203","cgg_idle_def",""
"0","1","203019","","0.2","3","1","0","203","cgg_talk_nod","cgg_idle_nod"
"","","203020","","0.2","12","1","1.4","203","6",""
"","","203021","","","93","3","","203","0",""
"","","203022","","0.2","3","1","1","203","cgg_idle_normal",""
"","","203023","","0.2","3","103611","1","203","cgg_talk_joy1",""
"","","203024","","0.2","12","103611","1.4","203","10",""
"","","203025","","","93","3","","203","0",""
"","","203026","","0.2","3","103611","1","203","cgg_idle_def",""
"0","1","203027","","0.2","3","1","0","203","cgg_talk_guts1","cgg_idle_guts1"
"","","203028","","0.2","12","1","1.4","203","4",""
"","","203029","","","93","3","","203","0",""
"","","203030","","0.2","3","1","1","203","cgg_idle_normal",""
"","","203031","","0.2","3","103611","1","203","cgg_talk_joy3_dere",""
"","","203032","","0.2","12","103611","1.4","203","7",""
"","","203033","","","93","3","","203","0",""
"","","203034","","","101","203018","","203","0",""
"","","203035","","","22","0","","203","0.5",""
"0","0","203036","","0.1","6","1","1","203","1","1"
"0","0","203037","","0.1","6","103611","1","203","1","1"
"","","203038","","","93","0.1","","203","0",""
"","","203039","","0","3","1","1","203","cgg_idle_normal",""
"","","203040","","0","3","103611","1","203","cgg_idle_def",""
"0","-230","204001","cgg_idle_normal","160","5","1","100","204","1","-420"
"1","-230","204002","cgg_idle_def","1.6","1","1","100","204","102811","420"
"0","1","204003","","0.1","6","1","1","204","1","1"
"0","1","204004","","0.1","6","102811","1","204","1","1"
"","","204005","","","93","0.2","","204","0",""
"","","204006","","","21","vo_minigame_1007","0","204","vo_minigame_1007_top_talk_10_016","0"
"0","0","204007","0","0","11","102811","6","204","こんなに\nグッズ集めたの？\nやるわね…あたしも\n集めようかしら","0"
"0","1","204008","","0.2","3","1","0","204","cgg_talk_doya","cgg_idle_doya"
"0","1","204009","","0.2","3","102811","0","204","cgg_surprise","cgg_talk_surprise1"
"","","204010","","","93","2.5","","204","0",""
"","","204011","","0.2","3","1","1","204","cgg_idle_reaction5",""
"","","204012","","0.2","3","102811","1","204","cgg_talk_bitter",""
"","","204013","","","91","204007","","204","",""
"","","204014","","","93","0.5","","204","0",""
"","","204015","","0.2","3","102811","1","204","cgg_idle_def",""
"0","1","204016","","0.2","3","1","0","204","cgg_talk_doya","cgg_idle_doya"
"","","204017","","0.2","12","1","1.4","204","6",""
"","","204018","","","93","3","","204","0",""
"","","204019","","0.2","3","1","1","204","cgg_idle_normal",""
