0028f722b21f2e155da9ad2c841772bab510234910d447a4d87ccf559ca6400c,0d281660aab232f0099775c589badc644f061cef7c116cdfe840c04b093ba686,9500e0bd07591ce77b587295cd19d2a646d419dc840208d01e9ae93f8720ae17,61e19f4f20d3be4810ff13d1b3b930814bcaebd025ea40b45d2dbfa6a934b067,efd40645007ee8f8461388080785994dff49f1a1558421d05f5aa008076e4912,4130c91bb38c72ffe1398c8560e7f5b8841c90eedef8dfd09a54bacd3332aea5
"10085","5085004","3","2","45","500272"
"10085","5085005","3","2","46","501501"
"10088","5088005","3","2","47","501810"
"20025","5042001","3","2","50","501001"
"10090","5090002","3","2","51","501541"
"20026","5044001","3","2","55","501031"
"10093101","10093112","1","1","56","0"
"10093","5066005","3","2","57","501291"
"20027","5046002","3","2","58","501103"
"10092","5092001","3","2","59","501031"
"10092","5092004","3","2","60","501551"
"10094","5094001","3","2","61","501593"
"10095","5068001","3","2","62","501341"
"20018","5025001","3","2","67","500810"
"10096","5096002","3","2","68","501613"
"10097","5070004","3","2","73","501353"
"10097","5070005","3","2","74","500016"
"10098","5098000","3","2","75","501031"
"10098101","10098104","1","1","76","0"
"10098102","10098111","1","1","77","0"
"10099","5072004","3","2","78","501364"
"10099","5072006","3","2","79","501365"
"10100","5100003","3","2","80","500837"
"10101","5074001","3","2","82","501383"
"10101","5074001","3","2","83","501383"
"10102","5102002","3","2","84","501873"
"10103101","10103112","1","1","85","0"
"10103","5076005","3","2","86","505036"
"10108","5108002","3","2","88","501911"
"10104","5104003","3","2","89","500133"
"10105","5078004","3","2","90","501451"
"10110","5110005","3","2","93","501931"
"10111","5111005","3","2","94","500013"
"10107","5080005","3","2","95","501463"
"10109101","10109105","1","1","96","0"
"10109102","10109108","1","1","97","0"
"10109103","10109111","1","1","98","0"
"10109","5082002","3","2","99","501160"
"10109","5082004","3","2","100","501031"
"10109","5082005","3","2","101","501483"
"10112","5084001","3","2","103","500368"
"10112","5084002","3","2","104","510306"
"10112","5084003","3","2","105","500039"
"10113","5085002","3","2","106","500368"
"10113","5085003","3","2","107","510203"
"10113","5085004","3","2","108","500272"
"10113","5085005","3","2","109","501501"
"10110101","1011001","2","1","110","0"
"20037101","20037112","1","1","111","0"
"20037","5066005","3","2","112","501291"
"10115","5088005","3","2","113","501810"
"10114","5114000","3","2","114","500016"
"10114","5114003","3","2","115","501952"
"20038","5068001","3","2","116","501341"
"10117","5090002","3","2","117","501541"
"20039","5070004","3","2","121","501353"
"20039","5070005","3","2","122","500016"
"10116","5116004","3","2","123","500837"
"10119","5092001","3","2","124","501031"
"10119","5092004","3","2","125","501551"
"10118","5118002","3","2","126","500133"
"10118","5118003","3","2","127","500810"
"10118","5118007","3","2","128","500133"
"20040","5072004","3","2","129","501364"
"20040","5072006","3","2","130","501365"
"10124","5124003","3","2","132","501614"
"20041","5074001","3","2","133","501383"
"10121","5094001","3","2","135","501593"
"10122","5122000","3","2","136","502003"
"10122","5122002","3","2","137","502015"
"10123","5096002","3","2","138","501613"
"20042","5076005","3","2","139","505036"
"20043","5078004","3","2","140","501451"
"10125","5098000","3","2","141","501031"
"10127","5100003","3","2","143","500837"
"20044","5080005","3","2","144","501463"
"10128","5128001","3","2","145","502063"
"10129","5102002","3","2","146","501873"
"20045101","20045105","1","1","147","0"
"20045102","20045108","1","1","148","0"
"20045103","20045111","1","1","149","0"
"20045","5082002","3","2","150","501160"
"20045","5082004","3","2","151","501031"
"20045","5082005","3","2","152","501483"
"20046","5084001","3","2","153","500368"
"20046","5084002","3","2","154","510306"
"20046","5084003","3","2","155","500039"
"20047","5085002","3","2","156","500368"
"20047","5085003","3","2","157","510203"
"20047","5085004","3","2","158","500272"
"20047","5085005","3","2","159","501501"
"10130","5130001","3","2","160","500016"
"10130","5130007","3","2","161","500133"
"10131","5104003","3","2","162","500133"
"10136","5136002","3","2","163","500143"
"10136","5136004","3","2","164","500175"
"10137","5137002","3","2","165","501622"
"10137","5137005","3","2","166","500133"
"20048","5088005","3","2","167","501810"
"10134","5134007","3","2","168","500553"
"10135","5108002","3","2","169","501911"
"10138","5110005","3","2","170","501931"
"10139","5111005","3","2","171","500013"
"20049","5090002","3","2","172","501541"
"10138101","1013801","2","1","173","0"
"10141","5114000","3","2","174","500016"
"10141","5114003","3","2","175","501952"
"10140","5140002","3","2","180","502224"
"20050","5092001","3","2","181","501031"
"20050","5092004","3","2","182","501551"
"10142","5142001","3","2","183","501683"
"10143","5116004","3","2","184","500837"
"10145","5118002","3","2","185","500133"
"10145","5118003","3","2","186","500810"
"10145","5118007","3","2","187","500133"
"20051","5094001","3","2","188","501593"
"20052","5096002","3","2","189","501613"
"10146","5146001","3","2","1014601","502283"
"10149","5122000","3","2","1014901","502003"
"10149","5122002","3","2","1014902","502015"
"10151","5124003","3","2","1015101","501614"
"10154","5154007","3","2","1015401","502373"
"10156","5156001","3","2","1015601","502074"
"10156","5156002","3","2","1015602","502394"
"10157","5128001","3","2","1015701","502063"
"10158","5158003","3","2","1015801","500880"
"20053","5098000","3","2","2005301","501031"
"20054","5100003","3","2","2005401","500837"
"20055","5102002","3","2","2005501","501873"
"20056","5104003","3","2","2005601","500133"
