507f9e81f41d962e51c4aa8e7836ad480b487be1158fa12530138455210a5c96,7e067d9010a1fb70700e7faafbc48460858f868787e00bcdee09bbe778a42b99,5288881c37cdc61623d55b0d747fa06c6972e0ef88ee1d7b9753c0f21b914289,0de851bed8ce9a4735948c87e54d3161604015e960b5951057964bf7ff2211e9,4a6e9a7afbfc5de2a64696dee7594cadc37e74c72841d201e8faf08d32007963,d82b7d1aa800bdb2281768ca695f5ee8d8641c603599e25c2a79e7889e61a3d1,68d8588862ac16a1bebfaadc35fb1b451d0eff556198a1fde5470a6988f98d89,e05d44b50da4b7ac0991cb644a3d0078436f3927974bbcc9d60dd8144d9ef257,7174dfc9c7a8a9fbb39cf8900e04beba27b3046b56eea8bce387d55e51d6e46c
"5013","2008","20022","光属性の属性レベルを650まで上げよう","5","1003","4","650","129"
"5014","2009","20022","光属性の属性レベルを700まで上げよう","5","1003","4","700","129"
"5015","2010","20022","光属性の属性レベルを750まで上げよう","5","1003","4","750","129"
"6001","2001","20022","闇属性の属性レベルを50まで上げよう","6","1003","5","50","129"
"6002","2002","20022","闇属性の属性レベルを100まで上げよう","6","1003","5","100","129"
"6003","2003","20022","闇属性の属性レベルを150まで上げよう","6","1003","5","150","129"
"6004","2004","20022","闇属性の属性レベルを200まで上げよう","6","1003","5","200","129"
"6005","2005","20022","闇属性の属性レベルを250まで上げよう","6","1003","5","250","129"
"6006","2006","20022","闇属性の属性レベルを300まで上げよう","6","1003","5","300","129"
"6007","2007","20022","闇属性の属性レベルを350まで上げよう","6","1003","5","350","129"
"6008","2008","20022","闇属性の属性レベルを400まで上げよう","6","1003","5","400","129"
"6009","2009","20022","闇属性の属性レベルを450まで上げよう","6","1003","5","450","129"
"6010","2010","20022","闇属性の属性レベルを500まで上げよう","6","1003","5","500","129"
"6011","2006","20022","闇属性の属性レベルを550まで上げよう","6","1003","5","550","129"
"6012","2007","20022","闇属性の属性レベルを600まで上げよう","6","1003","5","600","129"
"6013","2008","20022","闇属性の属性レベルを650まで上げよう","6","1003","5","650","129"
"6014","2009","20022","闇属性の属性レベルを700まで上げよう","6","1003","5","700","129"
"6015","2010","20022","闇属性の属性レベルを750まで上げよう","6","1003","5","750","129"
"7001","7001","20023","ノードを10個強化完了しよう","7","1004","0","10","129"
"7002","7002","20023","ノードを20個強化完了しよう","7","1004","0","20","129"
"7003","7003","20023","ノードを30個強化完了しよう","7","1004","0","30","129"
"7004","7004","20023","ノードを40個強化完了しよう","7","1004","0","40","129"
"7005","7005","20023","ノードを50個強化完了しよう","7","1004","0","50","129"
"7006","7006","20023","ノードを60個強化完了しよう","7","1004","0","60","129"
"7007","7007","20023","ノードを70個強化完了しよう","7","1004","0","70","129"
"7008","7008","20023","ノードを80個強化完了しよう","7","1004","0","80","129"
"7009","7009","20023","ノードを90個強化完了しよう","7","1004","0","90","129"
"7010","7010","20023","ノードを100個強化完了しよう","7","1004","0","100","129"
"7011","7011","20023","ノードを110個強化完了しよう","7","1004","0","110","129"
"7012","7012","20023","ノードを120個強化完了しよう","7","1004","0","120","129"
"7013","7013","20023","ノードを130個強化完了しよう","7","1004","0","130","129"
"7014","7014","20023","ノードを140個強化完了しよう","7","1004","0","140","129"
"7015","7015","20023","ノードを150個強化完了しよう","7","1004","0","150","129"
"7016","7016","20023","ノードを160個強化完了しよう","7","1004","0","160","129"
"7017","7017","20023","ノードを170個強化完了しよう","7","1004","0","170","129"
"7018","7018","20023","ノードを180個強化完了しよう","7","1004","0","180","129"
"7019","7019","20023","ノードを190個強化完了しよう","7","1004","0","190","129"
"7020","7020","20023","ノードを200個強化完了しよう","7","1004","0","200","129"
"7021","7021","20023","ノードを210個強化完了しよう","7","1004","0","210","129"
"7022","7022","20023","ノードを222個強化完了しよう","7","1004","0","222","129"
"7023","7022","20023","ノードを250個強化完了しよう","7","1004","0","250","129"
"7024","7022","20023","ノードを275個強化完了しよう","7","1004","0","275","129"
"7025","7022","20023","ノードを300個強化完了しよう","7","1004","0","300","129"
"7026","7022","20023","ノードを325個強化完了しよう","7","1004","0","325","129"
"7027","7022","20023","ノードを350個強化完了しよう","7","1004","0","350","129"
"7028","7022","20023","ノードを375個強化完了しよう","7","1004","0","375","129"
"7029","7022","20023","ノードを400個強化完了しよう","7","1004","0","400","129"
"7030","7022","20023","ノードを430個強化完了しよう","7","1004","0","430","129"
"8001","8001","20024","ノードを5個強化完了しよう","8","1005","0","5","129"
"8002","8002","20024","ノードを10個強化完了しよう","8","1005","0","10","129"
"8003","8003","20024","ノードを15個強化完了しよう","8","1005","0","15","129"
"8004","8004","20024","ノードを20個強化完了しよう","8","1005","0","20","129"
"8005","8005","20024","ノードを25個強化完了しよう","8","1005","0","25","129"
"8006","8006","20024","ノードを33個強化完了しよう","8","1005","0","33","129"
"8007","8007","20024","ノードを40個強化完了しよう","8","1005","0","40","129"
"8008","8007","20024","ノードを50個強化完了しよう","8","1005","0","50","129"
"8009","8007","20024","ノードを60個強化完了しよう","8","1005","0","60","129"
"8010","8007","20024","ノードを66個強化完了しよう","8","1005","0","66","129"
