e61fc97a788687a3292e3f42c1c9f92bf7e394ccf4ae404f50b454dc994310fe,3e063e272af1c86905bc24587b04f906a29952f53e9e3c5faa50b54242b7122f,800e9d05514074e6df13402bef8346823e8623711879585373fa27736d6402bd,f142a9b88cb66bef8e08e3bdc425c96489495e237a2a70e63262b89674a9b053,c089da5f07514100c8673943e1563aacf44cc93ca4ed058545e207ff99c7ed6a
"45","boss_atk_up","開始時攻撃力アップ","バトル開始後一定時間、ボスモンスターの物理攻撃力が中アップする。","74001503"
"46","limit_chara_num","編成キャラ数制限","編成可能キャラ数が4キャラになる。","74001504"
"47","boss_ub_enhance","ボスUB強化","ボスモンスターのユニオンバーストが強化される。","74001504"
"48","boss_atk_up","開始時攻撃力アップ","バトル開始後一定時間、ボスモンスターの物理攻撃力が中アップする。","74001504"
"49","limit_chara_num","編成キャラ数制限","編成可能キャラ数が4キャラになる。","74001505"
"50","max_hp_down","キャラ最大HPダウン","パーティキャラの最大HPが20％ダウンする。","74001505"
"51","boss_ub_enhance","ボスUB強化","ボスモンスターのユニオンバーストが強化される。","74001505"
"52","boss_atk_up","開始時攻撃力アップ","バトル開始後一定時間、ボスモンスターの物理攻撃力が中アップする。","74001505"
"53","add_shadow","シャドウ1体追加","カリンのシャドウが追加される。","74002102"
"54","star6_shadow","シャドウ強化","ミヤコ、ユカリ、アユミのシャドウに専用装備が追加される。","74002103"
"55","add_shadow","シャドウ1体追加","カリンのシャドウが追加される。","74002103"
"56","star6_shadow","シャドウ強化","ミヤコ、ユカリ、アユミのシャドウが★6になる。","74002104"
"57","add_shadow","シャドウ1体追加","カリンのシャドウが追加される。","74002104"
"58","boss_atk_up","シャドウ物理攻撃力アップ","すべてのシャドウの物理攻撃力が大幅に上昇する。","74002105"
"59","star6_shadow","シャドウ強化","ミヤコ、ユカリ、アユミのシャドウが★6になる。","74002105"
"60","add_shadow","シャドウ1体追加","カリンのシャドウが追加される。","74002105"
"61","add_shadow","シャドウ1体追加","カヤ（リベレイター）のシャドウが追加される。","74002202"
"62","star6_shadow","シャドウ強化","ツムギ（ハロウィン）、マヒル（クリスマス）、ミツキ、カスミ（マジカル）のシャドウに専用装備が追加される。","74002203"
"63","add_shadow","シャドウ1体追加","カヤ（リベレイター）のシャドウが追加される。","74002203"
"64","star6_shadow","シャドウ強化","ミツキのシャドウが★6になる。ツムギ（ハロウィン）、マヒル（クリスマス）、カスミ（マジカル）のシャドウに専用装備が追加される。","74002204"
"65","add_shadow","シャドウ1体追加","カヤ（リベレイター）のシャドウが追加される。","74002204"
"66","boss_magic_def_up","シャドウ魔法防御力アップ","すべてのシャドウの魔法防御力が大幅に上昇する。","74002205"
"67","star6_shadow","シャドウ強化","ツムギ（ハロウィン）、マヒル（クリスマス）、カスミ（マジカル）のシャドウに専用装備が追加され、ミツキのシャドウが★6になる。","74002205"
"68","add_shadow","シャドウ1体追加","カヤ（リベレイター）のシャドウが追加される。","74002205"
"69","add_shadow","シャドウ1体追加","ノゾミのシャドウが追加される。","74002302"
"70","add_shadow","シャドウ2体追加","ノゾミとキャル（プリンセス）のシャドウが追加される。","74002303"
"71","limit_chara_num","編成キャラ数制限","編成可能キャラ数が4キャラになる。","74002304"
"72","star6_shadow","シャドウ強化","ノゾミのシャドウが★6になる。キャル（プリンセス）のシャドウに専用装備が追加される。","74002304"
"73","add_shadow","シャドウ2体追加","ノゾミとキャル（プリンセス）のシャドウが追加される。","74002304"
"74","limit_chara_num","編成キャラ数制限","編成可能キャラ数が4キャラになる。","74002305"
"75","boss_def_up","開始時物理防御力アップ","バトル開始時、ボスモンスターが敵全員の物理防御力を特大アップさせる。","74002305"
"76","boss_magic_def_up","開始時魔法防御力アップ","バトル開始時、ボスモンスターが敵全員の魔法防御力を特大アップさせる。","74002305"
"77","star6_shadow","シャドウ強化","ノゾミのシャドウが★6になる。キャル（プリンセス）のシャドウに専用装備が追加される。","74002305"
"78","add_shadow","シャドウ2体追加","ノゾミとキャル（プリンセス）のシャドウが追加される。","74002305"
"79","add_shadow","シャドウ1体追加","アヤネのシャドウが追加される。","74002402"
"80","add_shadow","シャドウ2体追加","アヤネとぺコリーヌ（サマー）のシャドウが追加される。","74002403"
"81","limit_chara_num","編成キャラ数制限","編成可能キャラ数が4キャラになる。","74002404"
"82","star6_shadow","シャドウ強化","アヤネとぺコリーヌ（サマー）のシャドウが★6になる。","74002404"
"83","add_shadow","シャドウ2体追加","アヤネとぺコリーヌ（サマー）のシャドウが追加される。","74002404"
"84","limit_chara_num","編成キャラ数制限","編成可能キャラ数が4キャラになる。","74002405"
"85","boss_def_up","開始時物理防御力アップ","バトル開始時、ボスモンスターが敵全員の物理防御力を特大アップさせる。","74002405"
"86","boss_magic_def_up","開始時魔法防御力アップ","バトル開始時、ボスモンスターが敵全員の魔法防御力を特大アップさせる。","74002405"
"87","star6_shadow","シャドウ強化","アヤネとぺコリーヌ（サマー）のシャドウが★6になる。","74002405"
"88","add_shadow","シャドウ2体追加","アヤネとぺコリーヌ（サマー）のシャドウが追加される。","74002405"
"89","limit_time","バトル時間制限","バトル時間が70秒になる。","74002502"
"90","limit_time","バトル時間制限","バトル時間が60秒になる。","74002503"
"91","limit_time","バトル時間制限","バトル時間が60秒になる。","74002504"
"92","boss_ub_enhance","ボスUB強化","ボスモンスターのユニオンバーストが強化される。","74002504"
"93","limit_time","バトル時間制限","バトル時間が45秒になる。","74002505"
"94","boss_ub_enhance","ボスUB強化","ボスモンスターのユニオンバーストが強化される。","74002505"
"95","star6_shadow","シャドウ強化","カスミ、ハツネ、ユイ（プリンセス）のシャドウに専用装備が追加される。","74003102"
"96","add_shadow","シャドウ1体追加","ユキのシャドウが追加される。","74003103"
"97","star6_shadow","シャドウ強化","ハツネ、ユキのシャドウが★6になる。","74003103"
"98","limit_chara_num","編成キャラ数制限","編成可能キャラ数が4キャラになる。","74003104"
"99","limit_chara_num","編成キャラ数制限","編成可能キャラ数が4キャラになる。","74003105"
"100","max_hp_up","シャドウ最大ＨＰアップ","すべてのシャドウの最大ＨＰが大幅に上昇する。","74003105"
"101","add_shadow","モンスター1体追加","カーズ・レリックが追加される。","74003202"
"102","star6_shadow","シャドウ強化","アオイのシャドウが★6になる。","74003203"
"103","boss_magic_cut","開始時魔法ダメージカット","バトル開始時、カーズ・レリックが味方全体を魔法ダメージ50%カット状態にさせる。","74003204"
"104","boss_ub_enhance","モンスター強化","カーズ・レリックのスキルが強化される。","74003204"
"105","boss_magic_cut","開始時魔法ダメージカット","バトル開始時、カーズ・レリックが味方全体を魔法ダメージ75%カット状態にさせる。","74003205"
"106","limit_chara_num","編成キャラ数制限","編成可能キャラ数が4キャラになる。","74003205"
"107","add_shadow","モンスター1体追加","ヒール・レリックが追加される。","74003302"
"108","star6_shadow","シャドウ強化","キャル（ニューイヤー）のシャドウに専用装備が追加される。","74003303"
"109","boss_physics_cut","開始時物理ダメージカット","バトル開始時、ヒール・レリックが味方全体を物理ダメージ50%カット状態にさせる。","74003304"
"110","boss_ub_enhance","モンスター強化","ヒール・レリックのスキルが強化される。","74003304"
"111","boss_physics_cut","開始時物理ダメージカット","バトル開始時、ヒール・レリックが味方全体を物理ダメージ75%カット状態にさせる。","74003305"
"112","limit_chara_num","編成キャラ数制限","編成可能キャラ数が4キャラになる。","74003305"
"113","boss_def_lower_limit","ボス物理防御力（ダウン不可）アップ","バトル開始時、ボスモンスターの物理防御力を小アップさせる。この効果は物理防御力ダウンの影響を受けない。","74003402"
"114","boss_magic_def_lower_limit","ボス魔法防御力（ダウン不可）アップ","バトル開始時、ボスモンスターの魔法防御力を小アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74003402"
"115","limit_time","バトル時間制限","バトル時間が70秒になる。","74003403"
"116","boss_def_lower_limit","ボス物理防御力（ダウン不可）アップ","バトル開始時、ボスモンスターの物理防御力を小アップさせる。この効果は物理防御力ダウンの影響を受けない。","74003403"
"117","boss_magic_def_lower_limit","ボス魔法防御力（ダウン不可）アップ","バトル開始時、ボスモンスターの魔法防御力を小アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74003403"
"118","limit_time","バトル時間制限","バトル時間が70秒になる。","74003404"
"119","boss_ub_enhance","ボスUB強化","ボスモンスターのユニオンバーストが強化される。","74003404"
"120","boss_tp_down_cut","ボスＴＰダウンカット","バトル開始時、ボスモンスターがＴＰダウン100％カット状態になる。","74003404"
"121","boss_def_lower_limit","ボス物理防御力（ダウン不可）アップ","バトル開始時、ボスモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74003404"
"122","boss_magic_def_lower_limit","ボス魔法防御力（ダウン不可）アップ","バトル開始時、ボスモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74003404"
"123","limit_time","バトル時間制限","バトル時間が50秒になる。","74003405"
"124","boss_ub_enhance","ボスUB強化","ボスモンスターのユニオンバーストが強化される。","74003405"
"125","boss_tp_down_cut","ボスＴＰダウンカット","バトル開始時、ボスモンスターがＴＰダウン100％カット状態になる。","74003405"
"126","boss_def_lower_limit","ボス物理防御力（ダウン不可）アップ","バトル開始時、ボスモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74003405"
"127","boss_magic_def_lower_limit","ボス魔法防御力（ダウン不可）アップ","バトル開始時、ボスモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74003405"
"128","boss_def_lower_limit","ボス物理防御力（ダウン不可）アップ","バトル開始時、ボスモンスターの物理防御力を小アップさせる。この効果は物理防御力ダウンの影響を受けない。","74003502"
"129","boss_magic_def_lower_limit","ボス魔法防御力（ダウン不可）アップ","バトル開始時、ボスモンスターの魔法防御力を小アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74003502"
"130","boss_def_lower_limit","ボス物理防御力（ダウン不可）アップ","バトル開始時、ボスモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74003503"
"131","boss_magic_def_lower_limit","ボス魔法防御力（ダウン不可）アップ","バトル開始時、ボスモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74003503"
"132","add_shadow","モンスター1体追加","ルナポッドが追加される。","74003504"
"133","boss_def_lower_limit","ボス物理防御力（ダウン不可）アップ","バトル開始時、ボスモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74003504"
"134","boss_magic_def_lower_limit","ボス魔法防御力（ダウン不可）アップ","バトル開始時、ボスモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74003504"
"135","add_shadow","シャドウ1体追加","カイザーインサイトのシャドウが追加される。","74003505"
"136","boss_def_lower_limit","ボス物理防御力（ダウン不可）アップ","バトル開始時、ボスモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74003505"
"137","boss_magic_def_lower_limit","ボス魔法防御力（ダウン不可）アップ","バトル開始時、ボスモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74003505"
"138","star6_shadow","シャドウ強化","イノリ、サレン、ヨリ、ユニのシャドウに専用装備が追加される。","74004102"
"139","add_shadow","シャドウ1体追加","サレン（サマー）のシャドウが追加される。","74004103"
"140","star6_shadow","シャドウ強化","サレン、ヨリのシャドウが★6になる。","74004103"
"141","limit_chara_num","編成キャラ数制限","編成可能キャラ数が4キャラになる。","74004104"
"142","limit_chara_num","編成キャラ数制限","編成可能キャラ数が4キャラになる。","74004105"
"143","max_hp_up","シャドウ最大ＨＰアップ","すべてのシャドウの最大ＨＰが大幅に上昇する。","74004105"
"144","add_shadow","モンスター1体追加","シールド・レリックが追加される。","74004202"
"145","star6_shadow","シャドウ強化","ネネカ（ニューイヤー）のシャドウに専用装備が追加される。","74004203"
"146","boss_ub_enhance","モンスター強化","シールド・レリックのスキルが強化される。","74004204"
"147","hp_recover","開始時ＨＰ回復","バトル開始時、シールド・レリックのが味方全体のＨＰを特大回復させる。","74004204"
"148","hp_recover","開始時ＨＰ回復","バトル開始時、シールド・レリックのが味方全体のＨＰを特大回復させる。","74004205"
"149","energy_recover","開始時ＴＰ継続回復付与","バトル開始時、シールド・レリックのが味方全体に継続ＴＰ回復状態を付与する。","74004205"
"150","add_shadow","モンスター1体追加","アタック・レリックが追加される。","74004302"
"151","star6_shadow","シャドウ強化","リマのシャドウが★6になる。","74004303"
"152","boss_ub_enhance","モンスター強化","アタック・レリックのスキルが強化される。","74004304"
"153","boss_haste","開始時行動速度アップフィールド","バトル開始時、アタック・レリックが味方全体の行動速度を特大アップさせるフィールドを展開する。","74004305"
"154","max_hp_down","キャラ最大HPダウン","パーティキャラの最大HPが20％ダウンする。","74004402"
"155","limit_time","バトル時間制限","バトル時間が75秒になる。","74004403"
"156","max_hp_down","キャラ最大HPダウン","パーティキャラの最大HPが20％ダウンする。","74004403"
"157","limit_time","バトル時間制限","バトル時間が75秒になる。","74004404"
"158","limit_chara_num","編成キャラ数制限","編成可能キャラ数が4キャラになる。","74004404"
"159","max_hp_down","キャラ最大HPダウン","パーティキャラの最大HPが20％ダウンする。","74004404"
"160","limit_time","バトル時間制限","バトル時間が60秒になる。","74004405"
"161","limit_chara_num","編成キャラ数制限","編成可能キャラ数が4キャラになる。","74004405"
"162","max_hp_down","キャラ最大HPダウン","パーティキャラの最大HPが20％ダウンする。","74004405"
"163","max_hp_down","キャラ最大HPダウン","パーティキャラの最大HPが20％ダウンする。","74004502"
"164","boss_ub_enhance","ボスUB・スキル強化","ボスモンスターのユニオンバーストとスキルが強化される。","74004503"
"165","boss_tp_down_cut","ボスＴＰダウンカット","バトル開始時、ボスモンスターがＴＰダウン50％カット状態になる。","74004503"
"166","max_hp_down","キャラ最大HPダウン","パーティキャラの最大HPが20％ダウンする。","74004503"
"167","add_shadow","モンスター1体追加","ルナポッドが追加される。","74004504"
"168","boss_tp_down_cut","ボスＴＰダウンカット","バトル開始時、ボスモンスターがＴＰダウン50％カット状態になる。","74004504"
"169","max_hp_down","キャラ最大HPダウン","パーティキャラの最大HPが20％ダウンする。","74004504"
"170","add_shadow","シャドウ1体追加","アヤネのシャドウが追加される。","74004505"
"171","boss_tp_down_cut","ボスＴＰダウンカット","バトル開始時、ボスモンスターがＴＰダウン50％カット状態になる。","74004505"
"172","max_hp_down","キャラ最大HPダウン","パーティキャラの最大HPが20％ダウンする。","74004505"
"173","star6_shadow","シャドウ強化","リマ、カヤ、イノリ、サレン（サマー）のシャドウに専用装備が追加される。","74005102"
"174","star6_shadow","シャドウ強化","リマ、カヤ、イノリのシャドウが★6になる。","74005103"
"175","boss_physics_cut","物理ダメージカット","バトル開始時、すべてのモンスターが物理ダメージ50％カット状態になる。","74005103"
"176","limit_chara_num","編成キャラ数制限","編成可能キャラ数が4キャラになる。","74005104"
"177","boss_physics_cut","物理ダメージカット","バトル開始時、すべてのモンスターが物理ダメージ50％カット状態になる。","74005104"
"178","limit_chara_num","編成キャラ数制限","編成可能キャラ数が4キャラになる。","74005105"
"179","boss_physics_cut","物理ダメージカット","バトル開始時、すべてのモンスターが物理ダメージ100％カット状態になる。","74005105"
"180","star6_shadow","シャドウ強化","ミヤコ、レイ（ニューイヤー）、ユカリ、ハツネ、ミサキ（ハロウィン）のシャドウに専用装備が追加される。","74005202"
"181","star6_shadow","シャドウ強化","ミヤコ、レイ（ニューイヤー）、ユカリ、ハツネのシャドウが★6になる。","74005203"
"182","boss_magic_cut","魔法ダメージカット","バトル開始時、すべてのモンスターが魔法ダメージ50％カット状態になる。","74005203"
"183","limit_chara_num","編成キャラ数制限","編成可能キャラ数が4キャラになる。","74005204"
"184","boss_magic_cut","魔法ダメージカット","バトル開始時、すべてのモンスターが魔法ダメージ50％カット状態になる。","74005204"
"185","limit_chara_num","編成キャラ数制限","編成可能キャラ数が4キャラになる。","74005205"
"186","boss_magic_cut","魔法ダメージカット","バトル開始時、すべてのモンスターが魔法ダメージ100％カット状態になる。","74005205"
"187","18","ダメージ減衰","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","74005301"
"188","17","ＴＰ上昇上限付与","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","74005301"
"189","boss_def_lower_limit","物理防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74005301"
"190","boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74005301"
"191","9","ＨＰ吸収ダウン","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","74005301"
"192","add_shadow","モンスター追加","ゼラチナ、エルダークラウドが追加される。","74005302"
"193","18","ダメージ減衰","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","74005302"
"194","17","ＴＰ上昇上限付与","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","74005302"
"195","boss_def_lower_limit","物理防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74005302"
"196","boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74005302"
"197","9","ＨＰ吸収ダウン","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","74005302"
"198","add_shadow","モンスター追加","ユカリ、ホマレ（ニューイヤー）が追加される。","74005303"
"199","18","ダメージ減衰","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","74005303"
"200","17","ＴＰ上昇上限付与","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","74005303"
"201","boss_def_lower_limit","物理防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74005303"
"202","boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74005303"
"203","9","ＨＰ吸収ダウン","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","74005303"
"204","add_shadow","モンスター追加","ルナポッドが追加される。","74005304"
"205","18","ダメージ減衰","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","74005304"
"206","17","ＴＰ上昇上限付与","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","74005304"
"207","boss_def_lower_limit","物理防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74005304"
"208","boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74005304"
"209","9","ＨＰ吸収ダウン","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","74005304"
"210","limit_time","バトル時間制限","バトル時間が60秒になる。","74005305"
"211","18","ダメージ減衰","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","74005305"
"212","17","ＴＰ上昇上限付与","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","74005305"
"213","boss_def_lower_limit","物理防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74005305"
"214","boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74005305"
"215","9","ＨＰ吸収ダウン","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","74005305"
"216","18","ダメージ減衰","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","74005401"
"217","17","ＴＰ上昇上限付与","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","74005401"
"218","boss_def_lower_limit","物理防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74005401"
"219","boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74005401"
"220","9","ＨＰ吸収ダウン","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","74005401"
"221","add_shadow","モンスター追加","タートルタイラント、ホオズキムシが追加される。","74005402"
"222","18","ダメージ減衰","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","74005402"
"223","17","ＴＰ上昇上限付与","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","74005402"
"224","boss_def_lower_limit","物理防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74005402"
"225","boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74005402"
"226","9","ＨＰ吸収ダウン","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","74005402"
"227","add_shadow","モンスター追加","シズル（ノワール）、コッコロ（サマー）が追加される。","74005403"
"228","18","ダメージ減衰","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","74005403"
"229","17","ＴＰ上昇上限付与","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","74005403"
"230","boss_def_lower_limit","物理防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74005403"
"231","boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74005403"
"232","9","ＨＰ吸収ダウン","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","74005403"
"233","add_shadow","モンスター追加","ルナポッドが追加される。","74005404"
"234","18","ダメージ減衰","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","74005404"
"235","17","ＴＰ上昇上限付与","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","74005404"
"236","boss_def_lower_limit","物理防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74005404"
