5e774f34b6eb0d1775a16052173258678dfe8f9df738dc4f69ddb28568605d6a,36d0ed5e992237aa181449346ae704a1a427a1e6132456bd2f40c9e4c37ed08c,159639da14371d1fbe000084da9d5a38c2d12f42d07158a11ef99f3a39725515,844d98174cb17bd1be24526e4726d4979888bf7958579f398b3119f445148b60,cd38a8889f977db7a009817f3ac077dfb61c590cc333f53af2326cc093758c69,0a9e125fe421b22aea6da09633434bfb14d4ea26642a8bbe005c5fe73f985489
"100012","100352","10021","10021005","501","10021112"
"100013","100353","10021","10021006","501","10021112"
"100014","100354","10021","10021007","501","10021112"
"100015","100355","10021","10021008","501","10021112"
"100016","100356","10021","10021009","501","10021112"
"100017","100357","10021","10021010","501","10021112"
"100018","100358","10021","10021011","501","10021112"
"100019","100359","10021","10021012","501","10021112"
"211","0","10039","10039531","3","1003904"
"1","0","10053","10053001","1","10053102"
"2","0","10053","10053002","1","10053108"
"3","0","10053","10053003","1","10053115"
"105801","0","10053","10053301","101","0"
"109901","0","10053","10053302","101","10053102"
"109901","0","10053","10053303","102","0"
"211","0","10053","10053531","3","1005304"
"1","0","10084","10084001","1","10084102"
"2","0","10084","10084002","1","10084112"
"3","0","10084","10084003","1","10084115"
"1","0","10085","10085001","1","10085102"
"2","0","10085","10085002","1","10085108"
"3","0","10085","10085003","1","10085115"
"1","0","10112","10112001","1","10112102"
"2","0","10112","10112002","1","10112112"
"3","0","10112","10112003","1","10112115"
"1","0","10113","10113001","1","10113102"
"2","0","10113","10113002","1","10113108"
"3","0","10113","10113003","1","10113115"
"1","0","10153","10153001","1","10153102"
"2","0","10153","10153002","1","10153108"
"3","0","10153","10153003","1","10153115"
"105801","0","10153","10153301","101","0"
"109901","0","10153","10153302","101","10153102"
"109901","0","10153","10153303","102","0"
"211","0","10153","10153531","3","1015304"
"1","0","20008","20008001","1","20008103"
"2","0","20008","20008002","1","20008104"
"3","0","20008","20008003","1","20008105"
"4","0","20008","20008004","1","20008107"
"5","0","20008","20008005","1","20008111"
"201","0","20008","20008006","2","0"
"101","0","20008","20008201","201","20008105"
"102","0","20008","20008202","201","20008107"
"103","0","20008","20008203","201","20008111"
"111","0","20008","20008204","202","20008115"
"105601","0","20008","20008301","101","0"
"100901","0","20008","20008302","101","20008103"
"101301","0","20008","20008303","101","20008104"
"105601","0","20008","20008304","101","20008105"
"101301","0","20008","20008305","101","20008107"
"100901","0","20008","20008306","101","20008111"
"105601","0","20008","20008307","102","0"
"201","0","20010","20010001","2","0"
"1","0","20010","20010002","1","20010110"
"2","0","20010","20010003","1","20010112"
"3","0","20010","20010004","1","20010115"
"4","0","20010","20010005","1","20010103"
"5","0","20010","20010006","1","20010105"
"6","0","20010","20010007","1","20010107"
"7","0","20010","20010008","1","20010109"
"101","0","20010","20010201","211","20010112"
"0","0","20010","20010202","211","20010115"
"101461","101471","20010","20010501","501","20010110"
"101462","101472","20010","20010502","501","20010110"
"101463","101473","20010","20010503","501","20010110"
"211","0","20010","20010531","3","2001004"
"1","0","20012","20012001","4","2001201"
"2","0","20012","20012002","4","2001202"
"3","0","20012","20012003","4","2001203"
"4","0","20012","20012004","4","2001204"
"101","0","20012","20012301","5","2001201"
"101","0","20012","20012302","5","2001202"
"101","0","20012","20012303","5","2001203"
"501","0","20012","20012401","6","0"
"211","0","20012","20012531","3","2001204"
"211","0","20014","20014531","3","2001404"
"101921","101931","20016","20016001","501","20016112"
"101922","101932","20016","20016002","501","20016112"
"101923","101933","20016","20016003","501","20016112"
"100011","100351","20016","20016004","501","20016112"
"100012","100352","20016","20016005","501","20016112"
"100013","100353","20016","20016006","501","20016112"
"100014","100354","20016","20016007","501","20016112"
"100015","100355","20016","20016008","501","20016112"
"100016","100356","20016","20016009","501","20016112"
"100017","100357","20016","20016010","501","20016112"
"100018","100358","20016","20016011","501","20016112"
"100019","100359","20016","20016012","501","20016112"
"1","0","20046","20046001","1","20046102"
"2","0","20046","20046002","1","20046112"
"3","0","20046","20046003","1","20046115"
"1","0","20047","20047001","1","20047102"
"2","0","20047","20047002","1","20047108"
"3","0","20047","20047003","1","20047115"
