d11236b968371631eab8fc8dc9d57602206f595c54fa0c1e29c33e6c9d52e6e2,f98a3e28164e398f4fdcc09e91ee1d960634288f7a94c7a36c8ac901f887b969,8d0bcc5b8d2180a9dff2b11acff15da70419d10f4dd7eede5e04e2a7058f021a,7c722225aa22f0b6118c955b04f7bede59e62a932e167145b56279a7398632d0,faffb93c6dc06fd14f86373ab79d438fd9b4074e87a9795629b811661b1ff7c9
"42","4","236","40","236"
"97","4","237","40","237"
"65","4","238","61","238"
"75","4","239","83","239"
"46","4","240","77","240"
"41","4","241","41","241"
"105","4","242","41","242"
"48","4","243","71","243"
"58","4","244","91","244"
"88","4","245","61","245"
"31","4","246","41","246"
"97","4","247","41","247"
"45","4","248","74","248"
"81","4","249","65","249"
"72","4","250","86","250"
"47","5","251","30","251"
"88","5","252","30","252"
"85","5","253","52","253"
"79","5","254","70","254"
"39","5","255","32","255"
"99","5","256","32","256"
"50","5","257","90","257"
"85","5","258","60","258"
"38","5","259","35","259"
"100","5","260","35","260"
"52","5","261","64","261"
"81","5","262","52","262"
"44","5","263","31","263"
"91","5","264","31","264"
"58","5","265","50","265"
"79","5","266","62","266"
"47","5","267","30","267"
"88","5","268","30","268"
"50","5","269","71","269"
"82","5","270","54","270"
"38","5","271","35","271"
"97","5","272","35","272"
"50","5","273","70","273"
"70","5","274","55","274"
"50","5","275","95","275"
"46","5","276","30","276"
"89","5","277","30","277"
"49","5","278","50","278"
"66","5","279","70","279"
"86","5","280","60","280"
"44","5","281","31","281"
"91","5","282","31","282"
"73","5","283","75","283"
"85","5","284","65","284"
"50","5","285","48","285"
"41","5","286","31","286"
"94","5","287","31","287"
"50","5","288","90","288"
"86","5","289","65","289"
"68","5","290","50","290"
"46","5","291","31","291"
"89","5","292","31","292"
"59","5","293","60","293"
"70","5","294","47","294"
"69","5","295","75","295"
"44","5","296","32","296"
"88","5","297","32","297"
"52","5","298","90","298"
"58","5","299","52","299"
"83","5","300","72","300"
"41","5","301","33","301"
"96","5","302","33","302"
"50","5","303","65","303"
"63","5","304","80","304"
"81","5","305","52","305"
"44","5","306","30","306"
"91","5","307","30","307"
"54","5","308","45","308"
"62","5","309","67","309"
"83","5","310","55","310"
"50","5","311","30","311"
"85","5","312","30","312"
"50","5","313","56","313"
"63","5","314","90","314"
"82","5","315","67","315"
"46","5","316","30","316"
"91","5","317","30","317"
"68","5","318","60","318"
"82","5","319","48","319"
"83","5","320","75","320"
"98","2","321","59","321"
"26","2","322","58","322"
"107","2","323","72","323"
"83","2","324","61","324"
"65","2","325","63","325"
"33","2","326","58","326"
"57","2","327","57","327"
"107","2","328","72","328"
"39","2","329","57","329"
"92","2","330","55","330"
