fe7ed13293b8c9b5305f4df0f109c44f9ebf4684bdb062452f690d3facc0feb2,296892e3b16c08cb40c4c66c87895cf52ec20eb694f4bb92b8642c68d3c5666b,6dd56f8d737a60ccc3e326c5a4bc76727b56f33165d8975a1af261c1a0e77c32,04b245686f43e53819b5f33f312f568947c0255253c8186ba3fa0878f10c240f,61ef1cea9c6595edbef0d534c22eb557450ff1e1144df6c1145eada1319477c0,69d1f5a5cf1818e9a04c2da4206194eae28f259c22625b92f4d9c810abb344db,a1b8dcf9329fa7ee3120d4a5f065e963b9377163a32cdbe9deb2044ae62aa599,a6c60702e3b1197b31861754f77478893c145a0ff8e1dd463a5d7ec51103f3c9,91b8be4d301d9b6d03f8fd44efec36830256c616eab024597b4f4a678c978d9e,43093af8ec3a1105181e936af85193fec0ec622bc51d7fab4081fd0200c0f8bc,d9eca8fe3bc7a0977910e6c20ddc9347b0f9e6ce0aeb24f1095be970ab4b1a87
"11","101","","","","10","103231","11010058","","","面白いですわね！\n何が出てくるか\nワクワクしますわ！"
"91","101","","","","","0","11010059","","",""
"93","101","","","","","0.4","11010060","","",""
"4","101","","","","","110931","11010061","","","0"
"4","101","","","","","2","11010062","","","0"
"3","101","","0.2","1","0","110931","11010063","nyx_101_chieru_loop","","nyx_101_chieru_01"
"3","101","","0.2","1","0","2","11010064","nyx_101_chieru_loop","","nyx_101_chieru_01"
"12","101","","","","1","104831","11010065","","","1"
"3","101","","0.2","1","0","104831","11010066","nyx_idle_sad","0.2","nyx_talk_sad"
"93","101","","","","","0.4","11010067","","",""
"32","101","","","","","3","11010068","","","0"
"32","101","","","","","3","11010069","","","1"
"93","101","","","","","1.6","11010070","","",""
"12","101","","","","1","104631","11010071","","","15"
"3","101","","0.2","1","0","104631","11010072","nyx_idle_sad","0.2","nyx_talk_sad"
"93","101","","","","","3","11010073","","",""
"4","101","","","","","110931","11010074","","","1"
"4","101","","","","","2","11010075","","","1"
"3","101","","0.2","1","0","110931","11010076","nyx_101_chieru_loop","","nyx_101_chieru_02"
"3","101","","0.2","1","0","2","11010077","nyx_101_chieru_loop","","nyx_101_chieru_02"
"12","101","","","","1","103231","11010078","","","10"
"3","101","","0.2","1","0","103231","11010079","nyx_idle_joy1","0.2","nyx_talk_joy1"
"93","101","","","","","2","11010080","","",""
"12","101","","","","1","103431","11010081","","","2"
"3","101","","0.2","1","0","103431","11010082","nyx_idle_sad","0.2","nyx_talk_sad"
"93","101","","","","","2.5","11010083","","",""
"101","101","","","","","11010060","11010084","","",""
"1","102","nyx_102_chloe_01","1.35","-209.3","110","1","11020001","-362","1","110831"
"1","102","nyx_102_mifuyu_01","1.35","-182.5","110","1","11020002","90","0","104831"
"1","102","nyx_idle_normal","1.35","-182.5","110","1","11020003","220","0","104631"
"1","102","nyx_talk_normal","1.35","-182.5","110","1","11020004","336","1","103231"
"1","102","nyx_idle_normal","1.35","-182.5","110","1","11020005","457","1","103431"
"31","102","","1","1","0","1","11020006","0","","1"
"5","102","NoItem","1.35","-209.3","120","2","11020007","-362","0","2"
"25","102","","","","","bgm_M347","11020008","","","bgm_M347"
"93","102","","","","","2","11020009","","",""
"3","102","","0.2","","1","110831","11020010","","","nyx_102_chloe_02"
"11","102","","","","10","110831","11020011","","","次、うちの番か…\nえ、チエルの後って\n何気に不利くない？"
"91","102","","","","","0","11020012","","","1"
"3","102","","0.2","","1","110831","11020013","","","nyx_idle_sad"
"11","102","","","","10","110831","11020014","","","あいつ絶対初見で\nちぇるちぇる言って\n現場冷やしてるし…"
"91","102","","","","","0","11020015","","","1"
"3","102","","0.2","1","0","110831","11020016","nyx_102_chloe_02","0.2","cmn_pose02_def_N"
"11","102","","","","10","110831","11020017","","","ま、いいけど何でも\n…てゆか中の人ら\nダイジョブか？"
"93","102","","","","","3","11020018","","",""
"3","102","","0.2","","1","103231","11020019","","","nyx_idle_normal"
"3","102","","0.2","","1","104631","11020020","","","nyx_talk_sad"
"4","102","","","","","110831","11020021","","","0"
"91","102","","","","","11020016","11020022","","",""
"93","102","","","","","1","11020023","","",""
"3","102","","0.2","","1","110831","11020024","","","nyx_102_chloe_01"
"11","102","","","","10","110831","11020025","","","ちぇる気にやられて\nおかしなことにとか\n…いや、まさかね"
"93","102","","","","","2.5","11020026","","",""
"3","102","","0.2","1","0","110831","11020027","nyx_102_chloe_03_loop","","nyx_102_chloe_03"
"3","102","","0.2","1","0","2","11020028","nyx_102_chloe_03_loop","","nyx_102_chloe_03"
"91","102","","","","","11020025","11020029","","",""
"93","102","","","","","1","11020030","","",""
"11","102","","","","10","104831","11020031","","","ちぇる…ちぇる…"
"93","102","","","","","1.5","11020032","","",""
"4","102","","","","0","104631","11020033","","","1"
"3","102","","0.2","1","0","104631","11020034","nyx_idle_surprise2","0.2","cmn_shock_def_N"
"3","102","","0.2","1","0","103431","11020035","nyx_idle_surprise2","0.2","cmn_shock_def_N"
"3","102","","0.2","1","0","103231","11020036","nyx_idle_surprise1","0.2","nyx_surprise"
"93","102","","","","","1.5","11020037","","",""
"3","102","","0.2","1","1","104631","11020038","","0.2","nyx_talk_surprise2"
"3","102","","0.2","","1","103431","11020039","","","nyx_102_yukari_01"
"11","102","","","","10","103431","11020040","","","ミフユさん！\nしっかりちぇる！\n傷は浅いちぇる！"
"91","102","","","","","0","11020041","","","1"
"3","102","","0.2","1","0","103431","11020042","nyx_102_tamaki_01_loop","0.2","cmn_shock_def_N"
"4","102","","","","0","103231","11020043","","","0"
"4","102","","","","0","104631","11020044","","","0"
"91","102","","","","","0","11020045","","",""
"11","102","","","","10","104631","11020046","","","ダメにゃ…\nミフユもユカリも\n手遅れちぇ…にゃ！"
"93","102","","","","","2.6","11020047","","",""
"3","102","","0.2","1","0","104631","11020048","nyx_102_tamaki_01_loop","0.2","nyx_102_tamaki_01"
"93","102","","","","","0.1","11020049","","",""
"4","102","","","","0","103231","11020050","","","1"
"93","102","","","","","1.5","11020051","","",""
"11","102","","","","10","103231","11020052","","","被害甚大ですわね…\n次の方が普通である\nことを祈りますわ…"
"91","102","","","","","0","11020053","","",""
"93","102","","","","","1","11020054","","",""
"3","102","","0.2","1","0","110831","11020055","nyx_102_chloe_03_loop","","nyx_102_chloe_04"
"3","102","","0.2","1","0","2","11020056","nyx_102_chloe_03_loop","","nyx_102_chloe_04"
"93","102","","","","","1.5","11020057","","",""
"12","102","","","","1","110831","11020058","","","12"
"93","102","","","","","1","11020059","","",""
"12","102","","","","1","103431","11020060","","","1"
"3","102","","0.2","1","0","103431","11020061","nyx_cmn_03","0.2","nyx_cmn_01"
"3","102","","0.2","1","1","104631","11020062","","0.2","nyx_idle_worry"
"93","102","","","","","2","11020063","","",""
"12","102","","","","1","104831","11020064","","","12"
"93","102","","","","","2","11020065","","",""
"12","102","","","","1","103231","11020066","","","10"
"3","102","","0.2","1","0","103231","11020067","nyx_idle_normal","0.2","nyx_talk_normal"
"93","102","","","","","2","11020068","","",""
"12","102","","","","1","104631","11020069","","","2"
"3","102","","0.2","1","0","104631","11020070","nyx_idle_worry","0.2","nyx_talk_sad"
"93","102","","","","","4","11020071","","",""
"101","102","","","","","11020055","11020072","","","1"
"1","103","nyx_103_yuni_01","1.35","-209.3","110","1","11030001","-421","0","111031"
"1","103","nyx_idle_normal","1.35","-182.5","110","1","11030002","121.8","0","104831"
"5","103","NoItem","1.35","-182.5","120","2","11030003","121.8","0","2"
"1","103","nyx_idle_normal","1.35","-182.5","110","1","11030004","227.7","0","104631"
"5","103","NoItem","1.35","-182.5","120","2","11030005","227.7","0","2"
"1","103","nyx_idle_normal","1.35","-182.5","110","1","11030006","340.3","1","103231"
"1","103","nyx_cmn_03","1.35","-182.5","110","1","11030007","449.6","1","103431"
"5","103","NoItem","1.35","-182.5","120","2","11030008","449.6","1","2"
"31","103","","1","1","0","1","11030009","0","","1"
"25","103","","","","","bgm_M347","11030010","","","bgm_M347"
"93","103","","","","","2","11030011","","",""
"3","103","","0.2","","1","103431","11030012","","","nyx_talk_sad"
"11","103","","","","10","103431","11030013","","","プレゼンって\nこんなに\n疲れるものなの…？"
"91","103","","","","","0","11030014","","",""
"3","103","","0.2","","1","103431","11030015","","","nyx_cmn_03"
"3","103","","0.2","","1","104831","11030016","","","nyx_cmn_05"
"11","103","","","","10","104831","11030017","","","きっと次は大丈夫よ\nまともな生徒のはず\n…そうよね？"
"91","103","","","","","0","11030018","","",""
"3","103","","0.2","","1","104831","11030019","","","nyx_cmn_04"
"3","103","","0.2","","1","103231","11030020","","","nyx_talk_normal"
"11","103","","","","10","103231","11030021","","","あら？\n次もなかよし部の方\nみたいですわよ？"
"91","103","","","","","0","11030022","","",""
"3","103","","0.2","","1","103231","11030023","","","nyx_idle_normal"
"3","103","","0.2","","1","104631","11030024","","","nyx_talk_sad"
"11","103","","","","10","104631","11030025","","","…気を抜いたら\nやられるにゃ\n覚悟を決めるにゃ"
"93","103","","","","","2.6","11030026","","",""
"3","103","","0.2","","1","111031","11030027","","","nyx_102_chloe_01"
"91","103","","","","","11030025","11030028","","",""
"3","103","","0.2","1","0","104631","11030029","nyx_idle_sad","0.3","nyx_cmn_02"
"3","103","","0.2","","0","2","11030030","","","nyx_cmn_02"
"3","103","","0.2","1","0","103431","11030031","nyx_cmn_03","0.3","nyx_cmn_02"
"3","103","","0.2","","0","2","11030032","","","nyx_cmn_02"
"3","103","","0.2","1","0","104831","11030033","nyx_idle_normal","0.2","nyx_cmn_02"
"3","103","","0.2","","0","2","11030034","","","nyx_cmn_02"
"93","103","","","","","1.5","11030035","","",""
"3","103","","0.2","","1","111031","11030036","","","nyx_303_yuni_01"
"11","103","","","","10","111031","11030037","","","ふむ、次はぼくだな\nまさに真打登場と\n言ったところか"
"93","103","","","","","2.8","11030038","","",""
"12","103","","","","1","104831","11030039","","","13"
"3","103","","0.2","","1","104831","11030040","","","nyx_talk_normal"
"91","103","","","","","11030037","11030041","","",""
"11","103","","","","10","111031","11030042","","","チエル君、クロエ君\n君らの無念はぼくが\n晴らして見せよう"
"91","103","","","","","0","11030043","","",""
"3","103","","0.2","","1","111031","11030044","","","nyx_103_yuni_02"
"11","103","","","","10","111031","11030045","","","いざ上級生としての\n責務を果たす時だ"
"93","103","","","","","1.5","11030046","","",""
"12","103","","","","1","103231","11030047","","","17"
"3","103","","0.2","","1","104831","11030048","","","nyx_idle_normal"
"3","103","","0.2","","1","103231","11030049","","","nyx_cmn_05"
"91","103","","","","","11030045","11030050","","",""
"3","103","","0.3","0","0","111031","11030051","nyx_103_yuni_04","0.6","nyx_103_yuni_03"
"11","103","","","","10","111031","11030052","","","ユニちゃんズの\n名に懸けて…！"
"91","103","","","","","0","11030053","","",""
"3","103","","0.2","","1","103231","11030054","","","nyx_idle_normal"
"93","103","","","","","0.6","11030055","","",""
"12","103","","0.2","","1","111031","11030056","","","12"
"3","103","","0.2","1","0","111031","11030057","nyx_idle_normal","0.2","cmn_pose02_def_N"
"93","103","","","","","1.5","11030058","","",""
"12","103","","","","1","104631","11030059","","","15"
"3","103","","0.2","1","0","104631","11030060","nyx_idle_worry","0.2","nyx_talk_sad"
"93","103","","","","","2","11030061","","",""
"12","103","","","","1","103231","11030062","","","10"
"3","103","","0.2","1","0","103231","11030063","nyx_idle_normal","0.2","nyx_talk_joy1"
"3","103","","0.2","1","0","111031","11030064","nyx_idle_normal","0.2","nyx_103_yuni_01"
"93","103","","","","","2.5","11030065","","",""
"12","103","","","","1","103431","11030066","","","1"
"3","103","","0.2","1","0","103431","11030067","nyx_cmn_03","0.3","nyx_cmn_01"
"93","103","","","","","2","11030068","","",""
"12","103","","","","1","104831","11030069","","","12"
"3","103","","0.2","","1","104831","11030070","","","nyx_talk_bitter"
"93","103","","","","","2","11030071","","",""
"3","103","","0.2","","1","104831","11030072","","","nyx_idle_bitter"
"93","103","","","","","1","11030073","","",""
"101","103","","","","","11030056","11030074","","",""
"1","201","nyx_201_akino_01","1.2","-294.7","110","1","12010001","-235.4","1","103231"
"5","201","nyx_201_akino_01","1.2","-294.7","120","2","12010002","-235.4","1","2"
"1","201","nyx_idle_normal","1.2","-281.6","110","1","12010003","-357","0","104631"
"1","201","nyx_idle_normal","1.2","-281.6","110","1","12010004","310.5","1","103431"
"1","201","nyx_idle_normal","1.2","-281.6","110","1","12010005","-453.3","0","104831"
"31","201","","1","1","0","2","12010006","0","","1"
"31","201","","1","1","0","11","12010007","0","","2"
"25","201","","","","","bgm_M347","12010008","","","bgm_M347"
"93","201","","","","","2","12010009","","",""
"11","201","","","","10","103231","12010010","","","タマキさん、この\n部品の組み立てを\nお願いしますわ！"
"91","201","","","","","0","12010011","","",""
"3","201","","0.3","1","0","104631","12010012","nyx_idle_surprise1","0.3","nyx_surprise"
"11","201","","","","10","104631","12010013","","","わ、わかったにゃ！\n…こんなの設計図に\nあったかにゃ…？"
"91","201","","","","","0","12010014","","",""
"4","201","","","","0","103231","12010015","","","0"
"4","201","","","","","2","12010016","","","0"
"3","201","","0.3","","1","104631","12010017","","0.3","nyx_idle_bitter2"
"3","201","","0.3","","1","103231","12010018","","0.3","nyx_201_akino_02"
"3","201","","0.3","","1","2","12010019","","0.3","nyx_201_akino_02"
"2","201","","","","-294.7","103231","12010020","2.2","","199"
"2","201","","","","-294.7","2","12010021","2.2","","199"
"93","201","","","","","2.2","12010022","","",""
"3","201","","0.3","","1","103231","12010023","","0.3","nyx_201_akino_01"
"3","201","","0.3","","1","2","12010024","","0.3","nyx_201_akino_01"
"11","201","","","","10","103231","12010025","","","ユカリさん！\nこの回路の発注を\n至急お願いします！"
"91","201","","","","","0","12010026","","",""
"3","201","","0.3","","1","103431","12010027","","0.3","nyx_cmn_01"
"11","201","","","","10","103431","12010028","","","えっ？　えっ？\nちょっとアキノさん\nこれ何に使うの！？"
"91","201","","","","","0","12010029","","",""
"3","201","","0.3","","1","103431","12010030","","0.3","nyx_idle_bitter2"
"4","201","","","","","103231","12010031","","","1"
"4","201","","","","","2","12010032","","","1"
"3","201","","0.3","","1","103231","12010033","","0.3","nyx_201_akino_02"
"3","201","","0.3","","1","2","12010034","","0.3","nyx_201_akino_02"
"2","201","","","","-294.7","103231","12010035","2.2","","-235.4"
"2","201","","","","-294.7","2","12010036","2.2","","-235.4"
"93","201","","","","","2.2","12010037","","",""
"3","201","","0.3","","1","103231","12010038","","0.3","nyx_201_akino_01"
"3","201","","0.3","","1","2","12010039","","0.3","nyx_201_akino_01"
"11","201","","","","10","103231","12010040","","","ミフユさんは動作\nチェックを念入りに\nお願いします！"
"91","201","","","","","0","12010041","","",""
"3","201","","0.3","1","0","104831","12010042","nyx_idle_surprise1","0.3","nyx_surprise"
"11","201","","0","","10","104831","12010043","","","は、はいっ！\n…アキノさんが\n燃えてるわ…"
"91","201","","","","","0","12010044","","",""
"3","201","","0.3","","1","104831","12010045","","0.3","nyx_talk_sad"
"11","201","","0","","10","104831","12010046","","","でもなぜかしら\n不安だわ…\n不安しかない…"
"91","201","","","","","0","12010047","","",""
"3","201","","0.3","","1","104831","12010048","","0.3","nyx_idle_bitter2"
"91","201","","","","","0","12010049","","",""
"93","201","","","","","0.4","12010050","","",""
"4","201","","","","0","103231","12010051","","","0"
"4","201","","","","","2","12010052","","","0"
"3","201","","0.2","","1","103231","12010053","","0.2","nyx_201_akino_02"
"3","201","","0.2","","1","2","12010054","","0.2","nyx_201_akino_02"
"2","201","","","","-294.7","103231","12010055","2.2","","199"
"2","201","","","","-294.7","2","12010056","2.2","","199"
"3","201","","0.2","","1","103431","12010057","","0.2","nyx_cmn_03"
"93","201","","","","","2.2","12010058","","",""
"12","201","","","","1","103231","12010059","","","10"
"3","201","","0.2","","1","103231","12010060","","0.2","nyx_201_akino_01"
"3","201","","0.2","","1","2","12010061","","0.2","nyx_201_akino_01"
"91","201","","","","","0","12010062","","",""
"3","201","","0.2","","1","103431","12010063","","0.2","nyx_idle_surprise1"
"91","201","","","","","0","12010064","","",""
"3","201","","0.2","","1","103431","12010065","","0.2","nyx_102_chloe_02"
"4","201","","","","","103231","12010066","","","1"
"4","201","","","","","2","12010067","","","1"
"3","201","","0.2","","1","103231","12010068","","0.2","nyx_201_akino_02"
"3","201","","0.2","","1","2","12010069","","0.2","nyx_201_akino_02"
"2","201","","","","-294.7","103231","12010070","2.2","","-235.4"
"2","201","","","","-294.7","2","12010071","2.2","","-235.4"
"93","201","","","","","2.2","12010072","","",""
"12","201","","","","1","103231","12010073","","","10"
"3","201","","0.2","","1","103231","12010074","","0.2","nyx_201_akino_01"
"3","201","","","","1","2","12010075","","0.2","nyx_201_akino_01"
"93","201","","","","","3","12010076","","",""
"3","201","","0.2","1","0","104631","12010077","nyx_idle_normal","0.2","cmn_nod_def_N"
"93","201","","","","","0.8","12010078","","",""
"12","201","","","","1","104831","12010079","","","3"
"3","201","","0.2","1","0","104831","12010080","nyx_idle_sad","0.2","nyx_talk_worry"
"93","201","","","","","1","12010081","","",""
"101","201","","","","","12010051","12010082","","",""
"5","202","nyx_202_tamaki_03_loop","1.2","-255","100","1","12020001","-136","0","3"
"1","202","nyx_idle_joy1","1.2","-286.1","110","1","12020002","183.7","1","103231"
"5","202","nyx_202_yukari_01","1.2","-286.1","120","2","12020003","312.6","1","5"
"1","202","nyx_202_yukari_01","1.2","-286.1","110","1","12020004","312.6","1","103431"
"1","202","nyx_idle_normal","1.2","-286.1","120","1","12020005","-269.8","0","104831"
"31","202","","1","1","0","2","12020006","0","","1"
"31","202","","1","1","0","12","12020007","34","","2"
"31","202","","0","1","-74","16","12020008","130","","7"
"5","202","nyx_yagura_idle","1","-255","110","3","12020009","-208","0","4"
"5","202","NoItem","1.2","-286.1","120","2","12020010","-269.8","0","6"
"25","202","","","","","bgm_M347","12020011","","","bgm_M347"
"93","202","","","","","2","12020012","","",""
"11","202","","","","10","3","12020013","","","開発もなんだか\n楽しくなってきた\nにゃ～！"
"91","202","","","","","0","12020014","","",""
"11","202","","","","10","3","12020015","","","ここまで来たら\n世界一のたい焼き\nメカにするにゃ！"
"91","202","","","","","0","12020016","","",""
"11","202","","","","10","3","12020017","","","あたしの全てを\n注ぎ込んでやる\nにゃあ～～！"
"93","202","","","","","0.4","12020018","","",""
"3","202","","0.2","1","0","3","12020019","nyx_202_tamaki_loop","","nyx_202_tamaki_03_puton"
"91","202","","","","","12020017","12020020","","",""
"3","202","","0.2","1","0","3","12020021","nyx_202_tamaki_01","","nyx_202_tamaki_up"
"3","202","","","1","0","4","12020022","nyx_yagura_up_idle","","nyx_yagura_up"
"93","202","","","","","2.4","12020023","","",""
"32","202","","","","","7","12020024","","","1"
"3","202","","0.2","","1","103231","12020025","","","nyx_202_akino_01_loop"
"11","202","","","","10","103231","12020026","","","おーほっほっほ！\n素晴らしい意気込み\nですわ、タマキさん"
"91","202","","","","","0","12020027","","",""
"3","202","","0.2","","1","104831","12020028","","","nyx_talk_anger2"
"11","202","","","","10","104831","12020029","","","設計図のどこにも\nたい焼きなんて\n書いてないわよ！？"
"91","202","","","","","0","12020030","","",""
"3","202","","0.2","","1","103431","12020031","","","nyx_idle_anger2"
"3","202","","0.2","","1","103431","12020032","","","nyx_202_yukari_01"
"11","202","","","","10","103431","12020033","","","ミフユさん…\nタマキさんなら\n大丈夫よ…ひっく"
"91","202","","","","","0","12020034","","",""
"3","202","","0.2","","0","104831","12020035","nyx_cmn_04","0.2","nyx_cmn_05"
"11","202","","0","","10","104831","12020036","","","ユカリさん？\n何を飲んでるの？\n…買収されたわね？"
"91","202","","","","","0","12020037","","",""
"3","202","","0.2","","1","103431","12020038","","","nyx_202_yukari_01"
"11","202","","","","10","103431","12020039","","","え～？\nにゃんのことぉ～？\n…うっふふ～♪"
"91","202","","","","","0","12020040","","",""
"93","202","","","","","2","12020041","","",""
"12","202","","","","1","103231","12020042","","","13"
"3","202","","0.2","1","0","103231","12020043","nyx_202_akino_01_loop","0.2","nyx_talk_joy2"
"93","202","","","","","2.5","12020044","","",""
"12","202","","","","1","104831","12020045","","","3"
"3","202","","0.2","","1","104831","12020046","","","nyx_talk_anger2"
"93","202","","","","","2","12020047","","",""
"3","202","","0.2","","0","104831","12020048","","","nyx_cmn_02"
"3","202","","0.2","1","0","6","12020049","NoItem","","nyx_cmn_02"
"93","202","","","","","1","12020050","","",""
"3","202","","0.2","1","0","104831","12020051","nyx_cmn_04","0.2","nyx_cmn_05"
"93","202","","","","","2","12020052","","",""
"12","202","","","","1","103431","12020053","","","5"
"3","202","","0.2","1","0","5","12020054","nyx_202_yukari_01","0.2","nyx_203_yukari_01"
"3","202","","0.2","1","0","103431","12020055","nyx_202_yukari_01","0.2","nyx_203_yukari_01"
"93","202","","","","","1.2","12020056","","",""
"12","202","","","","1","3","12020057","","","11"
"93","202","","","","","0.8","12020058","","",""
"101","202","","","","","12020041","12020059","","",""
"1","203","nyx_idle_normal","1.2","-286","130","1","12030001","-300","0","104831"
"1","203","nyx_idle_normal","1.2","-286","100","1","12030002","316","1","104631"
"1","203","nyx_idle_normal","1.2","-286","100","1","12030003","110","1","103231"
"1","203","nyx_203_yukari_01","1.2","-10","100","1","12030004","-200","0","103431"
"31","203","","1","1","0","2","12030005","0","","1"
"31","203","","1","1","-80","13","12030006","34","","2"
"5","203","nyx_203_yukari_01","1.2","-10","110","2","12030007","-200","0","3"
"5","203","nyx_yagura_up_harf","1","-255","120","3","12030008","-250","0","4"
"25","203","","","","","bgm_M347","12030009","","","bgm_M347"
"93","203","","","","","2","12030010","","",""
"11","203","","","","10","103431","12030011","","","あっれぇ～？\nここはどこぉ～？\n私はだれ～？"
"93","203","","","","","0.6","12030012","","",""
"3","203","","0.2","1","0","103231","12030013","nyx_lookup_loop2","0.2","nyx_lookup"
"91","203","","","","","12030011","12030014","","",""
"11","203","","","","10","103431","12030015","","","ん～？\nにゃ～にこの\nでっかいのぉ～"
"93","203","","","","","0.6","12030016","","",""
"3","203","","0.2","1","0","104631","12030017","nyx_lookup_loop2","0.2","nyx_lookup"
"91","203","","","","","12030015","12030018","","",""
"3","203","","0.2","1","0","3","12030019","nyx_203_yukari_05","","nyx_203_yukari_02"
"3","203","","0.2","1","0","103431","12030020","nyx_203_yukari_05","","nyx_203_yukari_02"
"11","203","","","","10","103431","12030021","","","あんたも麦しゅわ\n飲む～？\nお～いしいわよ～？"
"93","203","","","","","0.4","12030022","","",""
"3","203","","0.2","1","0","104831","12030023","nyx_lookup_loop2","0.2","nyx_lookup"
"91","203","","","","","12030021","12030024","","",""
"93","203","","","","","0.2","12030025","","",""
"3","203","","0.2","1","0","104831","12030026","nyx_idle_sad","0.2","nyx_cmn_02"
"11","203","","0","","10","104831","12030027","","","何してるのよ\nユカリさん…"
"93","203","","","","","0.1","12030028","","",""
"3","203","","0.2","1","0","103231","12030029","nyx_cmn_04","0.2","nyx_cmn_02"
"11","203","","","","10","103231","12030030","","","何してますの…\nユカリさん…"
"93","203","","","","","0.1","12030031","","",""
"3","203","","0.2","1","0","104631","12030032","nyx_idle_sad","0.2","nyx_cmn_02"
"11","203","","","","10","104631","12030033","","","何してるのにゃ\nユカリ…"
"91","203","","","","","0","12030034","","",""
