e95c3de6f427f3a95a6d0031f3e178561bdb9a9a1eb2072d052fad433d9583e4,6d3fcbb155215d24b1b67b68a662bdb812570fc10f03dac6fad63027dee3f58b,3b3e7feb466bb4d128d128ea17d9aaef1c179fc365b63418d5b0c74063691a14,c0cd0f6ac5648f2a987b6cd73fff7e94453d65ee0949640d41c26117f0744cb4,e1dde957565a1fa13600a8435ef968046f8a021237d8f925c7ddb86b5fb5c28a
"100405","83","25001","2","30"
"100406","84","91002","8","300"
"100407","85","41000","2","1"
"100408","86","94002","12","5000000"
"100409","87","94002","12","1000000"
"100410","88","94002","12","1000000"
"100411","89","94002","12","1000000"
"100412","90","20004","2","400"
"100413","91","20004","2","300"
"100414","92","20004","2","200"
"100415","93","94002","12","1000000"
"100416","94","94002","12","1000000"
"100417","95","94002","12","1000000"
"100418","96","20004","2","400"
"100419","97","20004","2","300"
"100420","98","20004","2","200"
"100421","99","94002","12","1000000"
"100422","100","94002","12","1000000"
"100423","101","94002","12","1000000"
"100424","102","20004","2","400"
"100425","103","20004","2","300"
"100426","104","20004","2","200"
"100501","105","94002","12","5000000"
"100502","106","90008","2","2000"
"100503","107","25001","2","20"
"100504","108","90008","2","2500"
"100505","109","25001","2","30"
"100506","110","91002","8","300"
"100507","111","41000","2","1"
"100508","112","94002","12","5000000"
"100509","113","94002","12","1000000"
"100510","114","94002","12","1000000"
"100511","115","94002","12","1000000"
"100512","116","20004","2","400"
"100513","117","20004","2","300"
"100514","118","20004","2","200"
"100515","119","94002","12","1000000"
"100516","120","94002","12","1000000"
"100517","121","94002","12","1000000"
"100518","122","20004","2","400"
"100519","123","20004","2","300"
"100520","124","20004","2","200"
"100521","125","94002","12","1000000"
"100522","126","94002","12","1000000"
"100523","127","94002","12","1000000"
"100524","128","20004","2","400"
"100525","129","20004","2","300"
"100526","130","20004","2","200"
"100601","131","94002","12","5000000"
"100602","132","90008","2","2000"
"100603","133","25001","2","20"
"100604","134","90008","2","2500"
"100605","135","25001","2","30"
"100606","136","91002","8","300"
"100607","137","41000","2","1"
"100608","138","94002","12","5000000"
"100609","139","94002","12","1000000"
"100610","140","94002","12","1000000"
"100611","141","94002","12","1000000"
"100612","142","20004","2","400"
"100613","143","20004","2","300"
"100614","144","20004","2","200"
"100615","145","94002","12","1000000"
"100616","146","94002","12","1000000"
"100617","147","94002","12","1000000"
"100618","148","20004","2","400"
"100619","149","20004","2","300"
"100620","150","20004","2","200"
"100621","151","94002","12","1000000"
"100622","152","94002","12","1000000"
"100623","153","94002","12","1000000"
"100624","154","20004","2","400"
"100625","155","20004","2","300"
"100626","156","20004","2","200"
"100701","157","94002","12","5000000"
"100702","158","90008","2","2000"
"100703","159","25001","2","20"
"100704","160","90008","2","2500"
"100705","161","25001","2","30"
"100706","162","91002","8","300"
"100707","163","41000","2","1"
"100708","164","94002","12","5000000"
"100709","165","94002","12","1000000"
"100710","166","94002","12","1000000"
"100711","167","94002","12","1000000"
"100712","168","20004","2","400"
"100713","169","20004","2","300"
"100714","170","20004","2","200"
"100715","171","94002","12","1000000"
"100716","172","94002","12","1000000"
"100717","173","94002","12","1000000"
"100718","174","20004","2","400"
"100719","175","20004","2","300"
"100720","176","20004","2","200"
"100721","177","94002","12","1000000"
"100722","178","94002","12","1000000"
"100723","179","94002","12","1000000"
"100724","180","20004","2","400"
"100725","181","20004","2","300"
"100726","182","20004","2","200"
"100801","183","94002","12","5000000"
"100802","184","90008","2","2000"
"100803","185","25001","2","20"
"100804","186","90008","2","2500"
"100805","187","25001","2","30"
"100806","188","91002","8","300"
"100807","189","41000","2","1"
"100808","190","94002","12","5000000"
"100809","191","94002","12","1000000"
"100810","192","94002","12","1000000"
"100811","193","94002","12","1000000"
"100812","194","20004","2","400"
"100813","195","20004","2","300"
"100814","196","20004","2","200"
"100815","197","94002","12","1000000"
"100816","198","94002","12","1000000"
"100817","199","94002","12","1000000"
"100818","200","20004","2","400"
"100819","201","20004","2","300"
"100820","202","20004","2","200"
"100821","203","94002","12","1000000"
"100822","204","94002","12","1000000"
"100823","205","94002","12","1000000"
"100824","206","20004","2","400"
"100825","207","20004","2","300"
"100826","208","20004","2","200"
"100901","209","94002","12","5000000"
"100902","210","90008","2","2000"
"100903","211","25001","2","20"
"100904","212","90008","2","2500"
"100905","213","25001","2","30"
"100906","214","91002","8","300"
"100907","215","41000","2","1"
"100908","216","94002","12","5000000"
"100909","217","94002","12","1000000"
"100910","218","94002","12","1000000"
"100911","219","94002","12","1000000"
"100912","220","20004","2","400"
"100913","221","20004","2","300"
"100914","222","20004","2","200"
"100915","223","94002","12","1000000"
"100916","224","94002","12","1000000"
"100917","225","94002","12","1000000"
"100918","226","20004","2","400"
"100919","227","20004","2","300"
"100920","228","20004","2","200"
"100921","229","94002","12","1000000"
"100922","230","94002","12","1000000"
"100923","231","94002","12","1000000"
"100924","232","20004","2","400"
"100925","233","20004","2","300"
"100926","234","20004","2","200"
