9fb922d3a780f63d659948cc372108fdcc6eedd0ecd5f2cad068627f4e22e787,f7617bcfada302c75b07307e84c13643a4eb788357e733579e0bc61e339f5440,1f1ad7d40a895fcabb8e75108ef9beb5155e3538c5bf653f45673aaa3262ef78,3caad5fe1fab2fdb2c79d55600b86087dcd994e4c5b6df61acf550afe9af22b0,6d74c1b123ed778d306369c552af55127521f6a25da54c942735d095e6791a2d,d9b5ab876d847d8575b6900433380a5e2c2eded7051822114af79923bc46b832,e9eabc6b40354134a347e86b1b1546dbb2857d61526283733639bfcda55a37dd,87be6007cdcf855cd3ed42801001e31097752303890828a42efddde4f3dcd2ea
"1008","100901","3","11008","【仲間】出目の合計が7以上になるまでダイスを追加で振れる","1","0","0"
"1009","105101","3","11009","【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）","1","0","0"
"1010","101801","3","11010","【仲間】最大1000マイルを入手する","1","0","0"
"1011","129701","3","11011","【仲間】ダイスの表と裏どちらを適用するか選択できる","1","0","0"
"1012","101601","3","11012","【仲間】ダイスの目を1回振りなおせる","1","0","0"
"1013","105601","3","11013","【仲間】ダイスの目を2回振りなおせる","1","0","0"
"1014","102001","3","11014","【仲間】出目が3のダイスを同時に振ってどちらか選択できる","1","0","0"
"1015","129601","3","11015","【仲間】出目の合計が7以上になるまでダイスを追加で振れる","1","0","0"
"1016","100401","3","11016","【仲間】出たダイスの目が奇数だった場合、ライバルを1ターン休みにできる","1","0","0"
"1017","127701","3","11017","【仲間】出たダイスの目が偶数だった場合、1マス分多く進める","1","0","0"
"1018","127801","3","11018","【仲間】出たダイスの目が奇数だった場合、ライバルを1ターン休みにできる","1","0","0"
"1019","104801","3","11019","【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）","1","0","0"
"1020","104701","3","11020","【仲間】ダイスの目を2回振りなおせる","1","0","0"
"1021","105001","3","11021","【仲間】出目の合計が7以上になるまでダイスを追加で振れる","1","0","0"
"1022","103201","3","11022","【仲間】最大2000マイルを入手する","1","0","0"
"1023","130901","3","11023","【仲間】福引券を1枚入手する","1","0","0"
"1024","102501","3","11024","【仲間】料理を1つ入手する","1","0","0"
"1025","100801","3","11025","【仲間】ダイスの表と裏どちらを適用するか選択できる","1","0","0"
"1026","123301","3","11026","【仲間】出目が4のダイスを同時に振ってどちらか選択できる","1","0","0"
"1027","104601","3","11027","【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）","1","0","0"
"1028","118101","3","11028","【仲間】ダイスの目を2回振りなおせる","1","0","0"
"1029","103401","3","11029","【仲間】出目の合計が7以上になるまでダイスを追加で振れる","1","0","0"
"1030","118001","3","11030","【仲間】最大2000マイルを入手する","1","0","0"
"1031","102801","3","11031","【仲間】福引券を1枚入手する","1","0","0"
"1032","100201","3","11032","【仲間】料理を1つ入手する","1","0","0"
