b3b8a4a7cc2fb3007a28193dcc078305d3402ba9b461db189fa36a73b0300349,6ba06104d96d457cb6714d638e6113fb35bbfdacc859ac7375fe1ed682f9fac4,8dc6a64a4ecf7363657378575bf7a21213eb9cc8c38aa38dbefca52fbfb86d32,c5b492e948c3fa4ce97262c552629633f8ecc0bdbc2099ac808af28e773ea6a8,6227f76e689e11a89c6db5ab8c061a0d60e38d216555dd5e0727870a9328d9d9,a344793c1724d2f687f393842617ed956d4b8f674a4b47a8978a17ba206aec38,b73bfedecea9603f86695f682010a7c5eec225bcaf52cbfb900f64a057713b5e,b48121640979587eb20867040286c8add6cfb10e9e769546d0ac0d59cde9a620,5a78bd824bfc9a1a86ba8b242434ac43d46d4f10c0a16da09a48580bb72f1ec8,b7920504c7d825ad02c8277e506911792f1f59434dc35cc5dcced0fa207505cc,c970a429ac7d1f6237cb44bf3b81afe2a53652e298efe701bcf4c0bedde82b55,e8e1a63032ea2b5473a6387e1a770b19d1001a843555ddbd3949eb1c91c1adb1
"101305","5","1","1","1","1","32","1","1","300","330","-1"
"101306","5","1","1","1","1","32","1","1","-1","330","-1"
"101401","6","1","1","1","1","32","1","1","300","340","3"
"101402","6","1","1","1","1","32","1","1","300","340","-1"
"101403","6","1","1","1","1","32","1","1","-1","340","-1"
"101404","5","1","1","1","1","32","1","1","300","340","3"
"101405","5","1","1","1","1","32","1","1","300","340","-1"
"101406","5","1","1","1","1","32","1","1","-1","340","-1"
"101501","6","1","1","1","1","32","1","1","300","350","3"
"101502","6","1","1","1","1","32","1","1","300","350","-1"
"101503","6","1","1","1","1","32","1","1","-1","350","-1"
"101504","5","1","1","1","1","32","1","1","300","350","3"
"101505","5","1","1","1","1","32","1","1","300","350","-1"
"101506","5","1","1","1","1","32","1","1","-1","350","-1"
"101601","6","1","1","1","1","32","1","1","310","360","5"
"101602","6","1","1","1","1","32","1","1","310","360","-1"
"101603","6","1","1","1","1","32","1","1","-1","360","-1"
"101604","5","1","1","1","1","32","1","1","310","360","5"
"101605","5","1","1","1","1","32","1","1","310","360","-1"
"101606","5","1","1","1","1","32","1","1","-1","360","-1"
"101701","6","1","1","1","1","32","1","1","310","380","5"
"101702","6","1","1","1","1","32","1","1","310","380","-1"
"101703","6","1","1","1","1","32","1","1","-1","380","-1"
"101704","5","1","1","1","1","32","1","1","310","380","5"
"101705","5","1","1","1","1","32","1","1","310","380","-1"
"101706","5","1","1","1","1","32","1","1","-1","380","-1"
"101801","6","1","1","1","1","32","1","1","310","400","5"
"101802","6","1","1","1","1","32","1","1","310","400","-1"
"101803","6","1","1","1","1","32","1","1","-1","400","-1"
"101804","5","1","1","1","1","32","1","1","310","400","5"
"101805","5","1","1","1","1","32","1","1","310","400","-1"
"101806","5","1","1","1","1","32","1","1","-1","400","-1"
"111601","6","1","1","1","1","33","1","1","310","400","5"
"111602","6","1","1","1","1","33","1","1","310","400","-1"
"111603","6","1","1","1","1","33","1","1","-1","400","-1"
"111604","5","1","1","1","1","33","1","1","310","400","5"
"111605","5","1","1","1","1","33","1","1","310","400","-1"
"111606","5","1","1","1","1","33","1","1","-1","400","-1"
"111701","6","1","1","1","1","33","1","1","310","450","5"
"111702","6","1","1","1","1","33","1","1","310","450","-1"
"111703","6","1","1","1","1","33","1","1","-1","450","-1"
"111704","5","1","1","1","1","33","1","1","310","450","5"
"111705","5","1","1","1","1","33","1","1","310","450","-1"
"111706","5","1","1","1","1","33","1","1","-1","450","-1"
"111801","6","1","1","1","1","33","1","1","310","500","5"
"111802","6","1","1","1","1","33","1","1","310","500","-1"
"111803","6","1","1","1","1","33","1","1","-1","500","-1"
"111804","5","1","1","1","1","33","1","1","310","500","5"
"111805","5","1","1","1","1","33","1","1","310","500","-1"
"111806","5","1","1","1","1","33","1","1","-1","500","-1"
