8ec33b1beb602686b8105c36e2b6a74b554c214166d183e706c7d2e455951ec4,de214712657351cc4d49e261457dfb22eddebdb2c38063be390c0cec32d2fecc,84273b421d0b16737fa9c2d3c38721cb01e5f71410baaf15a584a676715bf0fe,6134d99cac65b183987328159bbfd437b718d2f8eeb2d329050acb45ed38ea54,2fddd367c00b7f4cf8f86dd178ee0103b593b0613b5b5bcfb80273592a644efc,5b1a2769e31574b098ec50c07ea3a295f6afc8dc88df36e683569846278876e0,b1831264f55b102d746f630193add3143d4dea24b0fbe2b14973e512039ce5aa,d9c74660b99d75287fd08ca057f1ba12d804d2cd6bc2ec94777a8909f7dfde03,6b093ef6e76969dcf334d9831130ae3e6a58c43545c9b487225c9aca8a8a2a6b,c1427d24ed9baf4dd592e1f52b828de285f5c92b5033dc20281f563a68e8026c,1aab82a8af9e876b7a4f86e936eda7994a9cd7d25e000d6c023d4e8ada213a36
"","3","1","lsv_idle_normal","lsv_choice","0","122911","1009801","0","0.2","1009801104"
"","93","","","0","","0.1","1009801","","","1009801105"
"","2","2","0.33","-200","","122711","1009801","-235","0.2","1009801106"
"","2","2","0.33","100","","122811","1009801","-220","0.2","1009801107"
"","2","2","0.33","270","","122911","1009801","-250","0.2","1009801108"
"","93","","","0","","0.7","1009801","","","1009801109"
"","3","","","lsv_talk_bitter_sad","0.2","122811","1009801","1","","1009801110"
"","21","","0","vo_lsv_0133","","vo_lsv","1009801","0","","1009801111"
"0","11","1","1","えー、ナメクジ～？\nあんまりかっこよくないけど…\n塩は近づけないようにしとく？","0","122811","1009801","10","0","1009801112"
"","91","","","","","0","1009801","","","1009801113"
"","101","","","","","1009801129","1009801","","","1009801114"
"","3","1","lsv_idle_normal","lsv_choice","0","122711","1009801","0","0.2","1009801115"
"","3","1","lsv_idle_normal","lsv_choice","0","122811","1009801","0","0.2","1009801116"
"","3","1","lsv_idle_normal","lsv_choice","0","122911","1009801","0","0.2","1009801117"
"","93","","","0","","0.1","1009801","","","1009801118"
"","2","2","0.33","-200","","122711","1009801","-235","0.2","1009801119"
"","2","2","0.33","100","","122811","1009801","-220","0.2","1009801120"
"","2","2","0.33","270","","122911","1009801","-250","0.2","1009801121"
"","93","","","0","","0.7","1009801","","","1009801122"
"","3","","","lsv_talk_normal_worry","0.2","122711","1009801","1","","1009801123"
"","21","","0","vo_lsv_0134","","vo_lsv","1009801","0","","1009801124"
"0","11","1","1","みんなでナデナデしたから\nそれはありえませんよ。\nなにより…かわいいですし。","0","122711","1009801","10","0","1009801125"
"","91","","","","","0","1009801","","","1009801126"
"","3","","","lsv_idle_normal","0.2","122711","1009801","1","","1009801127"
"","101","","","","","1009801129","1009801","","","1009801128"
"","91","","","","","0","1009801","","","1009801129"
"","3","1","lsv_talk_arm_crossed_loop_joy","lsv_talk_arm_crossed_joy","0","122811","1009801","0","0.2","1009801130"
"","21","","0","vo_lsv_0135","","vo_lsv","1009801","0","","1009801131"
"0","11","1","1","まあ、なんにしてもさ？\n育ててみればわかるよ！\nということで、がんばろー！","0","122811","1009801","10","0","1009801132"
"","91","","","","","0","1009801","","","1009801133"
"","3","1","lsv_idle_normal_joy","lsv_handsup_joy","0","122811","1009801","0","0.2","1009801134"
"","3","1","lsv_idle_normal_joy","lsv_handsup_joy","0","122911","1009801","0","0.2","1009801135"
"","3","1","lsv_idle_normal_joy","lsv_handsup_joy2","0","122711","1009801","0","0.2","1009801136"
"","21","","0","vo_lsv_0136","","vo_lsv","1009801","0","","1009801137"
"0","11","1","1","おー！","0","122811","1009801","10","0","1009801138"
"0","11","1","1","おー！","0","122911","1009801","10","0","1009801139"
"0","11","1","1","おー！","0","122711","1009801","10","0","1009801140"
"","91","","","","","0","1009801","","","1009801141"
"","22","","","0.2","","0","1009801","","","1009801142"
"","93","","","","","0.2","1009801","","","1009801143"
"","102","","","","","","1009801","","","1009801144"
"0","12","0","0","7","0","122911","1009801","1","0","1009801145"
"","3","","","lsv_talk_joy3","0.2","122911","1009801","1","","1009801146"
"","93","","","0","","3","1009801","","","1009801147"
"","3","","","lsv_idle_normal_joyR","0.2","122911","1009801","1","","1009801148"
"0","12","0","0","6","0","122811","1009801","1","0","1009801149"
"","3","1","lsv_talk_guts1_loop","lsv_talk_guts1","0","122811","1009801","0","0.2","1009801150"
"","93","","","0","","3","1009801","","","1009801151"
"","3","","","lsv_idle_joy","0.2","122811","1009801","1","","1009801152"
"0","12","0","0","10","0","122711","1009801","1","0","1009801153"
"","3","","","lsv_talk_joy1_normal","0.2","122711","1009801","1","","1009801154"
"","93","","","0","","3","1009801","","","1009801155"
"","3","","","lsv_idle_normal_joy","0.2","122711","1009801","1","","1009801156"
"","101","","","","","1009801145","1009801","","","1009801157"
"","6","0","1","1","1","333","1009801","1","0","1009801158"
"","4","","","1","","122711","1009801","","","1009801159"
"","3","","","lsv_run","0.2","122711","1009801","1","","1009801160"
"","2","0","0.8","-750","","122711","1009801","-235","","1009801161"
"","4","","","0","","122811","1009801","","","1009801162"
"","3","","","lsv_run","0.2","122811","1009801","1","","1009801163"
"","2","0","0.8","750","","122811","1009801","-220","","1009801164"
"","4","","","0","","122911","1009801","","","1009801165"
"","3","","","lsv_run","0.2","122911","1009801","1","","1009801166"
"","2","0","0.8","850","","122911","1009801","-250","","1009801167"
"","93","","","","","0.6","1009801","","","1009801168"
"","6","0","1","1","0.2","122711","1009801","1","0","1009801169"
"","6","0","1","1","0.2","122811","1009801","1","0","1009801170"
"","6","0","1","1","0.2","122911","1009801","1","0","1009801171"
"","91","","","","","0","1009801","","","1009801172"
"lsv_idle_normal","1","-235","-650","122911","1.95","1","1009802","102","0","1009802001"
"lsv_idle_normal","1","-220","650","122811","1.95","1","1009802","100","1","1009802002"
"lsv_idle_normal","1","-250","750","122711","1.95","1","1009802","101","1","1009802003"
"lsv_white_loop","5","0","0","333","1","1","1009802","0","0","1009802004"
"","6","0","1","1","0","333","1009802","1","0","1009802005"
"","6","0","1","1","0","122911","1009802","1","0","1009802006"
"","6","0","1","1","0","122811","1009802","1","0","1009802007"
"","6","0","1","1","0","122711","1009802","1","0","1009802008"
"","93","","","0","","1","1009802","","","1009802009"
"","6","0.4","1","1","0.8","333","1009802","1","0","1009802010"
"","3","","","lsv_walk","0.2","122911","1009802","1","","1009802011"
"","2","0","2","-200","","122911","1009802","-235","","1009802012"
"","6","1","1","1","0.4","122911","1009802","1","0","1009802013"
"","3","","","lsv_walk","0.2","122811","1009802","1","","1009802014"
"","2","0","2","100","","122811","1009802","-220","","1009802015"
"","6","1","1","1","0.4","122811","1009802","1","0","1009802016"
"","3","","","lsv_walk","0.2","122711","1009802","1","","1009802017"
"","2","0","2","270","","122711","1009802","-250","","1009802018"
"","6","1","1","1","0.4","122711","1009802","1","0","1009802019"
"","93","","","0","","2","1009802","","","1009802020"
"","3","","","lsv_idle_normal","0.2","122911","1009802","1","","1009802021"
"","3","","","lsv_idle_normal","0.2","122811","1009802","1","","1009802022"
"","3","","","lsv_idle_normal","0.2","122711","1009802","1","","1009802023"
"","93","","","0","","0.6","1009802","","","1009802024"
"","3","","","lsv_talk_sad_dead","0.2","122811","1009802","1","","1009802025"
"","21","","0","vo_lsv_0221","","vo_lsv","1009802","0","","1009802026"
"0","11","1","1","もう一回海に行ってみたけど\nみゅ～ちゃんの家族は\n見つからなかったねー","0","122811","1009802","10","0","1009802027"
"","91","","","","","0","1009802","","","1009802028"
"","3","","","lsv_idle_sad_talk1","0.2","122811","1009802","1","","1009802029"
"","3","","","lsv_talk_thinking_sadR","0.2","122711","1009802","1","","1009802030"
"","21","","0","vo_lsv_0222","","vo_lsv","1009802","0","","1009802031"
"0","11","1","1","うん。それどころか、\nわからないことが\nますます増えちゃったね。","0","122711","1009802","10","0","1009802032"
"","91","","","","","0","1009802","","","1009802033"
"","3","","","lsv_idle_normal_suprise1","0.2","122711","1009802","1","","1009802034"
"","3","","","lsv_idle_normal","0.2","122811","1009802","1","","1009802035"
"","3","","","lsv_talk_normal","0.2","122911","1009802","1","","1009802036"
"","21","","0","vo_lsv_0223","","vo_lsv","1009802","0","","1009802037"
"0","11","1","1","でも、みゅ～ちゃんの\nごはんのことはわかったよ～\nミミたちと同じのでいいって♪","0","122911","1009802","10","0","1009802038"
"","91","","","","","0","1009802","","","1009802039"
"","3","","","lsv_idle_normal_joyR","0.2","122911","1009802","1","","1009802040"
"","3","","","lsv_talk_normal","0.2","122711","1009802","1","","1009802041"
"","21","","0","vo_lsv_0224","","vo_lsv","1009802","0","","1009802042"
"0","11","1","1","あ、確かにそうだね。\nそのことがわかったのは\nよかったと思う。","0","122711","1009802","10","0","1009802043"
"","91","","","","","0","1009802","","","1009802044"
"","3","","","lsv_idle_normal","0.2","122711","1009802","1","","1009802045"
"","3","","","lsv_talk_surprise","0.2","122911","1009802","1","","1009802046"
"","21","","0","vo_lsv_0225","","vo_lsv","1009802","0","","1009802047"
"0","11","1","1","みゅ～ちゃんは、どんな\nごはんが好きになるのかな～？\nおにいちゃんならわかる？","0","122911","1009802","10","0","1009802048"
"","91","","","","","0","1009802","","","1009802049"
"","3","","","lsv_idle_surprise_talkjoy","0.2","122911","1009802","1","","1009802050"
"","3","1","lsv_look_idle_normal","lsv_choice","0","122911","1009802","0","0.2","1009802051"
"","3","1","lsv_look_idle_normal","lsv_choice","0","122811","1009802","0","0.2","1009802052"
"","3","1","lsv_look_idle_normal","lsv_choice","0","122711","1009802","0","0.2","1009802053"
"","93","","","0","","0.1","1009802","","","1009802054"
"","2","2","0.33","-452","","122911","1009802","-235","0.2","1009802055"
"","2","2","0.33","420","","122811","1009802","-220","0.2","1009802056"
"","2","2","0.33","545","","122711","1009802","-250","0.2","1009802057"
"","22","","","0","0.2","0","1009802","1","","1009802058"
"","103","","","1009802062","","ケーキ。","1009802","0","","1009802059"
"","103","","","1009802086","","リンゴ。","1009802","0","","1009802060"
"","103","","","1009802109","","パン。","1009802","0","","1009802061"
"","3","1","lsv_idle_normal","lsv_choice","0","122911","1009802","0","0.2","1009802062"
"","3","1","lsv_idle_normal","lsv_choice","0","122811","1009802","0","0.2","1009802063"
"","3","1","lsv_idle_normal","lsv_choice","0","122711","1009802","0","0.2","1009802064"
"","93","","","0","","0.1","1009802","","","1009802065"
"","2","2","0.33","-200","","122911","1009802","-235","0.2","1009802066"
"","2","2","0.33","100","","122811","1009802","-220","0.2","1009802067"
"","2","2","0.33","270","","122711","1009802","-250","0.2","1009802068"
"","93","","","0","","0.7","1009802","","","1009802069"
"","3","","","lsv_talk_joy3","0.2","122911","1009802","1","","1009802070"
"","21","","0","vo_lsv_0226","","vo_lsv","1009802","0","","1009802071"
"0","11","1","1","ケーキ、おいしいもんね～\nミミもだ～い好きっ♪","0","122911","1009802","10","0","1009802072"
"","91","","","","","0","1009802","","","1009802073"
"","3","","","lsv_idle_normal_joy","0.2","122911","1009802","1","","1009802074"
"","3","","","lsv_talk_wish_joy","0.2","122811","1009802","1","","1009802075"
"","21","","0","vo_lsv_0227","","vo_lsv","1009802","0","","1009802076"
"0","11","1","1","ケーキ…それなら\nどのケーキが好きなのかも\n調べたほうがいいね、絶対！","0","122811","1009802","10","0","1009802077"
"","91","","","","","0","1009802","","","1009802078"
"","3","","","lsv_idle_wish_joy","0.2","122811","1009802","1","","1009802079"
"","3","1","lsv_talk_doya_shy_loop","lsv_talk_doya_shy","0","122711","1009802","0","0.2","1009802080"
"","21","","0","vo_lsv_0228","","vo_lsv","1009802","0","","1009802081"
"0","11","1","1","そう言って、いろんなケーキを\n食べたいだけなんじゃ…\nでも、私も賛成っ♪","0","122711","1009802","10","0","1009802082"
"","91","","","","","0","1009802","","","1009802083"
"","3","","","lsv_idle_doya","0.2","122711","1009802","1","","1009802084"
"","101","","","","","1009802133","1009802","","","1009802085"
"","3","1","lsv_idle_normal","lsv_choice","0","122911","1009802","0","0.2","1009802086"
"","3","1","lsv_idle_normal","lsv_choice","0","122811","1009802","0","0.2","1009802087"
"","3","1","lsv_idle_normal","lsv_choice","0","122711","1009802","0","0.2","1009802088"
"","93","","","0","","0.1","1009802","","","1009802089"
"","2","2","0.33","-200","","122911","1009802","-235","0.2","1009802090"
"","2","2","0.33","100","","122811","1009802","-220","0.2","1009802091"
"","2","2","0.33","270","","122711","1009802","-250","0.2","1009802092"
"","93","","","0","","0.7","1009802","","","1009802093"
"","3","","","lsv_talk_thinking_joyR","0.2","122711","1009802","1","","1009802094"
"","21","","0","vo_lsv_0229","","vo_lsv","1009802","0","","1009802095"
"0","11","1","1","リンゴ…くだものですか。\n健康的でいいと思います。","0","122711","1009802","10","0","1009802096"
"","91","","","","","0","1009802","","","1009802097"
"","3","","","lsv_idle_normal_joy","0.2","122711","1009802","1","","1009802098"
"","3","1","lsv_talk_guts2_joy_loop","lsv_talk_guts2_joy","0","122911","1009802","0","0.2","1009802099"
"","21","","0","vo_lsv_0230","","vo_lsv","1009802","0","","1009802100"
"0","11","1","1","ミミ、ウサギさんの形に\n切ったリンゴ好き～♪","0","122911","1009802","10","0","1009802101"
"","91","","","","","0","1009802","","","1009802102"
"","3","","","lsv_idle_normal_joyR","0.2","122911","1009802","1","","1009802103"
"","3","1","lsv_talk_guts2_loop","lsv_talk_guts2","0","122811","1009802","0","0.2","1009802104"
"","21","","0","vo_lsv_0231","","vo_lsv","1009802","0","","1009802105"
"0","11","1","1","ミソギたちも切ってあげよっ！\nむずかしそうだけど、\nきっとなんとかなるって！","0","122811","1009802","10","0","1009802106"
"","91","","","","","0","1009802","","","1009802107"
"","101","","","","","1009802133","1009802","","","1009802108"
"","3","1","lsv_idle_normal","lsv_choice","0","122911","1009802","0","0.2","1009802109"
"","3","1","lsv_idle_normal","lsv_choice","0","122811","1009802","0","0.2","1009802110"
"","3","1","lsv_idle_normal","lsv_choice","0","122711","1009802","0","0.2","1009802111"
"","93","","","0","","0.1","1009802","","","1009802112"
"","2","2","0.33","-200","","122911","1009802","-235","0.2","1009802113"
"","2","2","0.33","100","","122811","1009802","-220","0.2","1009802114"
"","2","2","0.33","270","","122711","1009802","-250","0.2","1009802115"
"","93","","","0","","0.7","1009802","","","1009802116"
"","3","","","lsv_talk_normal_worry","0.2","122811","1009802","1","","1009802117"
"","21","","0","vo_lsv_0232","","vo_lsv","1009802","0","","1009802118"
"0","11","1","1","パンかぁ…なんか普通だなー\nミソギたちも毎日食べてるし","0","122811","1009802","10","0","1009802119"
"","91","","","","","0","1009802","","","1009802120"
"","3","","","lsv_idle_normal_suprise1","0.2","122811","1009802","1","","1009802121"
"","3","","","lsv_talk_normal","0.2","122711","1009802","1","","1009802122"
"","21","","0","vo_lsv_0233","","vo_lsv","1009802","0","","1009802123"
"0","11","1","1","でも、嫌いだったら毎日は\n食べられないよ。\nそれに、アレンジもできるし。","0","122711","1009802","10","0","1009802124"
"","91","","","","","0","1009802","","","1009802125"
"","3","","","lsv_idle_normal","0.2","122711","1009802","1","","1009802126"
"","3","","","lsv_talk_wish_joy","0.2","122911","1009802","1","","1009802127"
"","21","","0","vo_lsv_0234","","vo_lsv","1009802","0","","1009802128"
"0","11","1","1","サンドイッチなら、\nミミたちにも作れるかも！\n作ってみよ～♪","0","122911","1009802","10","0","1009802129"
"","91","","","","","0","1009802","","","1009802130"
"","3","","","lsv_idle_wish_joyR","0.2","122911","1009802","1","","1009802131"
"","101","","","","","1009802133","1009802","","","1009802132"
"","91","","","","","0","1009802","","","1009802133"
"","102","","","","","","1009802","","","1009802134"
"","22","","","0.2","","0","1009802","","","1009802135"
"","93","","","","","0.2","1009802","","","1009802136"
"0","12","0","0","11","0","122811","1009802","1","0","1009802137"
"","3","1","lsv_surprise3_kira_loop","lsv_surprise3_kira","0.2","122811","1009802","0","0.2","1009802138"
"","93","","","0","","3","1009802","","","1009802139"
"","3","","","lsv_idle_normal_joy","0.2","122811","1009802","1","","1009802140"
"0","12","0","0","10","0","122711","1009802","1","0","1009802141"
"","3","","","lsv_talk_joy3_dere","0.2","122711","1009802","1","","1009802142"
"","93","","","0","","3","1009802","","","1009802143"
"","3","","","lsv_idle_normal_joy","0.2","122711","1009802","1","","1009802144"
"0","12","0","0","7","0","122911","1009802","1","0","1009802145"
"","3","","","lsv_talk_memory","0.2","122911","1009802","1","","1009802146"
"","93","","","0","","3","1009802","","","1009802147"
"","3","","","lsv_idle_normal_joyR","0.2","122911","1009802","1","","1009802148"
"","101","","","","","1009802137","1009802","","","1009802149"
"","6","0","1","1","1","333","1009802","1","0","1009802150"
"","4","","","1","","122911","1009802","","","1009802151"
"","3","","","lsv_run","0.2","122911","1009802","1","","1009802152"
"","2","0","0.8","-750","","122911","1009802","-235","","1009802153"
"","4","","","0","","122811","1009802","","","1009802154"
"","3","","","lsv_run","0.2","122811","1009802","1","","1009802155"
"","2","0","0.8","750","","122811","1009802","-220","","1009802156"
"","4","","","0","","122711","1009802","","","1009802157"
"","3","","","lsv_run","0.2","122711","1009802","1","","1009802158"
"","2","0","0.8","850","","122711","1009802","-250","","1009802159"
"","93","","","","","0.6","1009802","","","1009802160"
"","6","0","1","1","0.2","122911","1009802","1","0","1009802161"
"","6","0","1","1","0.2","122811","1009802","1","0","1009802162"
"","6","0","1","1","0.2","122711","1009802","1","0","1009802163"
"","91","","","","","0","1009802","","","1009802164"
"lsv_idle_normal","1","-220","-700","100411","1.95","1","1009803","101","0","1009803001"
"lsv_idle_normal","1","-235","-550","103611","1.95","1","1009803","100","0","1009803002"
"lsv_idle_normal","1","-250","-800","102011","1.95","1","1009803","102","0","1009803003"
"lsv_white_loop","5","0","0","333","1","1","1009803","0","0","1009803004"
"","6","0","1","1","0","333","1009803","1","0","1009803005"
"","31","1.3","110","13","0","3","1009803","-630","","1009803006"
"","6","0","1","1","0","100411","1009803","1","0","1009803007"
"","6","0","1","1","0","103611","1009803","1","0","1009803008"
"","6","0","1","1","0","102011","1009803","1","0","1009803009"
"","93","","","0","","1","1009803","","","1009803010"
"","6","0.4","1","1","0.8","333","1009803","1","0","1009803011"
"","3","","","lsv_walk_glad","0.2","100411","1009803","1","","1009803012"
"","2","0","2","-100","","100411","1009803","-220","","1009803013"
"","6","1","1","1","0.4","100411","1009803","1","0","1009803014"
"","3","","","lsv_walk_glad2","0.2","103611","1009803","1","","1009803015"
"","2","0","2.2","100","","103611","1009803","-235","","1009803016"
"","6","1","1","1","0.4","103611","1009803","1","0","1009803017"
"","3","","","lsv_walk_glad","0.2","102011","1009803","1","","1009803018"
"","2","0","2","-270","","102011","1009803","-250","","1009803019"
"","6","1","1","1","0.4","102011","1009803","1","0","1009803020"
"","32","","","1","","13","1009803","","","1009803021"
"","33","0","2","-180","","13","1009803","110","","1009803022"
"","93","","","","","2","1009803","","","1009803023"
"","32","","","0","","13","1009803","","","1009803024"
"","3","","","lsv_idle_normal","0.2","100411","1009803","1","","1009803025"
"","3","","","lsv_idle_normal","0.2","102011","1009803","1","","1009803026"
"","93","","","","","0.2","1009803","","","1009803027"
"","4","","","1","","103611","1009803","","","1009803028"
"","3","","","lsv_idle_normal","0.2","103611","1009803","1","","1009803029"
