a36ee370f986f1bcd271d6faee9f2e87188c5066c9c6880c02ba460ecbdedd2b,f2c580a25a51b4ed47b0a40dac1427aa4ca9364611f5ef7cb89e56f7e669ec7d,767132435c7026bdb61d4a252ea9bf9cde98f68b81f1a024dc1165a2ae0de570,e925d4dea7656de6b8fd6c14caf43d09255423b1d5a33fca44d1cadbff2028af,1ade4480a5fdcb9473fb4facd658466cd60cfb511774f16799f80ed963465611,a8474f81bf18b1ed710b4c5a67ff46107bf37fbf83d77110b8c32b2385acb56f,0f3f420eaa5a9e361ca9db6e2f1e9b5bbbc482525c16530cfbd30d0557a553dd,0c453073002f63b158bb60a1e5f06ccdd8963da32b2a9018b5ccbb9fa6e07874,1fd8183cd71ff93d37811ad31149bff51a72e378d1d949e217ebfd1098e1b251,fa4571809ab718e1180f4b994d91b7736a3476af4096d6548f32cc01b3089d02,170c4d6b888c1905ae1c7ada9c81e15ccfa71d69dfe5900d37af2abe57a8b27a
"1","13","857","1","-1350","18570004","1.75","cmn_swm_tread","-125","115711","0"
"1","33","857","1","-1600","18570005","1.75","cmn_boat_relax","-250","110611","0"
"1","12","857","5","-850","18570006","1.75","cmn_swm_tread_blue","-125","1","0"
"1","32","857","5","-1100","18570007","1.75","cmn_swm_tread","-250","2","0"
"1","12","857","5","-1350","18570008","1.75","cmn_swm_tread_pink","-125","3","0"
"2","32","857","5","-1600","18570009","1.75","cmn_boat_idle_l","-250","4","0"
"13","-850","857","31","-125","18570010","1","","1","1",""
"3","-1100","857","31","-250","18570011","1","","1","2",""
"13","-1350","857","31","-125","18570012","1","","1","3",""
"116","-1600","857","31","-250","18570013","1","","1","4",""
"110411","-125","857","2","13.5","18570014","","","","1750",""
"110511","-250","857","2","13.5","18570015","","","","1500",""
"115711","-125","857","2","13.5","18570016","","","","1250",""
"110611","-250","857","2","13.5","18570017","","","","1000",""
"1","-125","857","2","13.5","18570018","","","","1750",""
"2","-250","857","2","13.5","18570019","","","","1500",""
"3","-125","857","2","13.5","18570020","","","","1250",""
"4","-250","857","2","13.5","18570021","","","","1000",""
"1","-125","857","33","13.5","18570022","","","","1750",""
"2","-250","857","33","13.5","18570023","","","","1500",""
"3","-125","857","33","13.5","18570024","","","","1250",""
"4","-250","857","33","13.5","18570025","","","","1000",""
"se_10053800","","858","23","","18580001","","","","se_fpc_water_random",""
"1","13","858","1","-850","18580002","1.75","cmn_swm_tread","-125","126711","0"
"1","13","858","1","-850","18580003","1.75","cmn_swm_tread","-125","126711","0"
"1","33","858","1","-1100","18580004","1.75","cmn_swm_tread","-250","126811","0"
"1","13","858","1","-1350","18580005","1.75","cmn_swm_tread","-125","108011","0"
"1","33","858","1","-1600","18580006","1.75","cmn_boat_cat","-250","107911","0"
"1","12","858","5","-850","18580007","1.75","cmn_swm_tread_pink","-125","1","0"
"1","32","858","5","-1100","18580008","1.75","cmn_swm_tread","-250","2","0"
"1","12","858","5","-1350","18580009","1.75","cmn_swm_tread_blue","-125","3","0"
"2","32","858","5","-1600","18580010","1.75","cmn_boat_idle_l","-250","4","0"
"13","-850","858","31","-125","18580011","1","","1","1",""
"3","-1100","858","31","-250","18580012","1","","1","2",""
"13","-1350","858","31","-125","18580013","1","","1","3",""
"116","-1600","858","31","-250","18580014","1","","1","4",""
"126711","-125","858","2","13.5","18580015","","","","1750",""
"126811","-250","858","2","13.5","18580016","","","","1500",""
"108011","-125","858","2","13.5","18580017","","","","1250",""
"107911","-250","858","2","13.5","18580018","","","","1000",""
"1","-125","858","2","13.5","18580019","","","","1750",""
"2","-250","858","2","13.5","18580020","","","","1500",""
"3","-125","858","2","13.5","18580021","","","","1250",""
"4","-250","858","2","13.5","18580022","","","","1000",""
"1","-125","858","33","13.5","18580023","","","","1750",""
"2","-250","858","33","13.5","18580024","","","","1500",""
"3","-125","858","33","13.5","18580025","","","","1250",""
"4","-250","858","33","13.5","18580026","","","","1000",""
"se_10053800","","859","23","","18590001","","","","se_fpc_water_random",""
"1","45","859","1","-850","18590002","1.75","cmn_surfing","-125","113111","0"
"1","45","859","1","-1100","18590003","1.75","cmn_surfing","-250","113211","0"
"1","45","859","1","-1350","18590004","1.75","cmn_surfing","-125","113311","0"
"1","45","859","1","-1600","18590005","1.75","cmn_surfing","-250","117011","0"
"6","44","859","5","-850","18590006","1.75","cmn_surfing","-125","1","0"
"6","44","859","5","-1100","18590007","1.75","cmn_surfing","-250","2","0"
"6","44","859","5","-1350","18590008","1.75","cmn_surfing","-125","3","0"
"6","44","859","5","-1600","18590009","1.75","cmn_surfing","-250","4","0"
"11","-850","859","31","-125","18590010","1","","1","1",""
"11","-1100","859","31","-250","18590011","1","","1","2",""
"11","-1350","859","31","-125","18590012","1","","1","3",""
"11","-1600","859","31","-250","18590013","1","","1","4",""
"113111","-125","859","2","6","18590014","","","","2350",""
"113211","-250","859","2","6","18590015","","","","2100",""
"113311","-125","859","2","6","18590016","","","","1850",""
"117011","-250","859","2","6","18590017","","","","1600",""
"1","-125","859","2","6","18590018","","","","2350",""
"2","-250","859","2","6","18590019","","","","2100",""
"3","-125","859","2","6","18590020","","","","1850",""
"4","-250","859","2","6","18590021","","","","1600",""
"1","-125","859","33","6","18590022","","","","2350",""
"2","-250","859","33","6","18590023","","","","2100",""
"3","-125","859","33","6","18590024","","","","1850",""
"4","-250","859","33","6","18590025","","","","1600",""
"se_10053800","","859","23","","18590026","","","","se_10053800_surfing_wave",""
"0.3","","859","93","","18590027","","","","",""
"vo_fpc","","859","21","0","18590028","","","","vo_fpc_85901",""
"se_10053800","","860","23","","18600001","","","","se_fpc_water_random",""
"1","23","860","1","-850","18600002","1.75","cmn_boat_relax_l","-180","110011","0"
"1","23","860","1","-1200","18600003","1.75","cmn_boat_relax","-180","110111","0"
"2","22","860","5","-850","18600004","1.75","cmn_boat_idle_blue","-180","1","0"
"2","22","860","5","-1200","18600005","1.75","cmn_boat_idle_l","-180","2","0"
"116","-850","860","31","-180","18600006","1","","1","1",""
"116","-1200","860","31","-180","18600007","1","","1","2",""
"110011","-180","860","2","13.5","18600008","","","","1750",""
"110111","-180","860","2","13.5","18600009","","","","1400",""
"1","-180","860","2","13.5","18600010","","","","1750",""
"2","-180","860","2","13.5","18600011","","","","1400",""
"1","-180","860","33","13.5","18600012","","","","1750",""
"2","-180","860","33","13.5","18600013","","","","1400",""
"2.7","","860","93","","18600014","","","","",""
"vo_fpc","","860","21","0","18600015","","","","vo_fpc_86001",""
"se_10053800","","861","23","","18610001","","","","se_fpc_water_random",""
"1","13","861","1","-850","18610002","1.75","cmn_swm_tread","-125","129511","0"
"1","33","861","1","-1100","18610003","1.75","cmn_swm_tread","-250","129411","0"
"1","13","861","1","-1350","18610004","1.75","cmn_swm_tread","-125","129311","0"
"1","12","861","5","-850","18610005","1.75","cmn_swm_tread_pink","-125","1","0"
"1","32","861","5","-1100","18610006","1.75","cmn_swm_tread_blue","-250","2","0"
"1","12","861","5","-1350","18610007","1.75","cmn_swm_tread","-125","3","0"
"13","-850","861","31","-125","18610008","1","","1","1",""
"3","-1100","861","31","-250","18610009","1","","1","2",""
"13","-1350","861","31","-125","18610010","1","","1","3",""
"129511","-125","861","2","13.5","18610011","","","","1750",""
"129411","-250","861","2","13.5","18610012","","","","1500",""
"129311","-125","861","2","13.5","18610013","","","","1250",""
"1","-125","861","2","13.5","18610014","","","","1750",""
"2","-250","861","2","13.5","18610015","","","","1500",""
"3","-125","861","2","13.5","18610016","","","","1250",""
"1","-125","861","33","13.5","18610017","","","","1750",""
"2","-250","861","33","13.5","18610018","","","","1500",""
"3","-125","861","33","13.5","18610019","","","","1250",""
"se_10053800","","862","23","","18620001","","","","se_fpc_water_random",""
"1","13","862","1","-850","18620002","1.75","cmn_swm_tread","-125","126711","0"
"1","33","862","1","-1100","18620003","1.75","cmn_swm_tread","-250","126811","0"
"21","22","862","5","-1350","18620004","1.66","02_neneka_floatRing","-180","21","0"
"1","12","862","5","-850","18620005","1.75","cmn_swm_tread","-125","1","0"
"1","32","862","5","-1100","18620006","1.75","cmn_swm_tread_blue","-250","2","0"
"13","-850","862","31","-125","18620007","1","","1","1",""
"3","-1100","862","31","-250","18620008","1","","1","2",""
"102","-1350","862","31","-180","18620009","1","","1","3",""
"126711","-125","862","2","13.5","18620010","","","","1750",""
"126811","-250","862","2","13.5","18620011","","","","1500",""
"21","-180","862","2","13.5","18620012","","","","1250",""
"1","-125","862","2","13.5","18620013","","","","1750",""
"2","-250","862","2","13.5","18620014","","","","1500",""
"1","-125","862","33","13.5","18620015","","","","1750",""
"2","-250","862","33","13.5","18620016","","","","1500",""
"3","-180","862","33","13.5","18620017","","","","1250",""
"se_10053800","","863","23","","18630001","","","","se_fpc_water_random",""
"1","22","863","1","-1100","18630002","1.75","cmn_float","-180","126911","1"
"1","12","863","1","-1350","18630003","1.75","cmn_float","-125","127011","0"
"1","22","863","1","-1600","18630004","1.75","cmn_float","-180","127111","0"
"6","-1070","863","31","-180","18630005","1","","1","2",""
"6","-1350","863","31","-125","18630006","1","","1","3",""
"6","-1600","863","31","-180","18630007","1","","1","4",""
"126911","-180","863","2","13.5","18630008","","","","1500",""
"127011","-125","863","2","13.5","18630009","","","","1250",""
"127111","-180","863","2","13.5","18630010","","","","1000",""
"2","-180","863","33","13.5","18630011","","","","1530",""
"3","-125","863","33","13.5","18630012","","","","1250",""
"4","-180","863","33","13.5","18630013","","","","1000",""
"2.3","","863","93","","18630014","","","","",""
"vo_fpc","","863","21","0","18630015","","","","vo_fpc_86301",""
"se_10053800","","864","23","","18640001","","","","se_fpc_water_random",""
"1","45","864","1","-850","18640002","1.75","cmn_surfing","-125","107811","0"
"1","45","864","1","-1100","18640003","1.75","cmn_surfing","-250","110011","0"
"6","44","864","5","-850","18640004","1.75","cmn_surfing","-125","1","0"
"6","44","864","5","-1100","18640005","1.75","cmn_surfing","-250","2","0"
"11","-850","864","31","-125","18640006","1","","1","1",""
"11","-1100","864","31","-250","18640007","1","","1","2",""
"107811","-125","864","2","6","18640008","","","","2350",""
"110011","-250","864","2","6","18640009","","","","2100",""
"1","-125","864","2","6","18640010","","","","2350",""
"2","-250","864","2","6","18640011","","","","2100",""
"1","-125","864","33","6","18640012","","","","2350",""
"2","-250","864","33","6","18640013","","","","2100",""
"se_10053800","","864","23","","18640014","","","","se_10053800_surfing_wave",""
"0.2","","864","93","","18640015","","","","",""
"vo_fpc","","864","21","0","18640016","","","","vo_fpc_86401",""
"se_10053800","","865","23","","18650001","","","","se_fpc_water_random",""
"1","13","865","1","-850","18650002","1.75","cmn_swm_flutterKick_floatRing","-125","110311","0"
"1","33","865","1","-1100","18650003","1.75","cmn_swm_flutterKick_floatRing","-250","113111","0"
"1","12","865","5","-850","18650004","1.75","cmn_swm_flutterKick_floatRing_pink","-125","1","0"
"1","32","865","5","-1100","18650005","1.75","cmn_swm_flutterKick_floatRing_blue","-250","2","0"
"7","-850","865","31","-125","18650006","1","","1","1",""
"1","-1100","865","31","-250","18650007","1","","1","2",""
"110311","-125","865","2","10","18650008","","","","1750",""
"113111","-250","865","2","10","18650009","","","","1500",""
"1","-125","865","2","10","18650010","","","","1750",""
"2","-250","865","2","10","18650011","","","","1500",""
"1","-125","865","33","10","18650012","","","","1750",""
"2","-250","865","33","10","18650013","","","","1500",""
"se_10053800","","866","23","","18660001","","","","se_fpc_water_random",""
"1","13","866","1","-850","18660002","1.75","cmn_swm_flutterKick_floatRing","-125","113411","0"
"1","33","866","1","-1100","18660003","1.75","cmn_swm_flutterKick_floatRing","-250","115711","0"
"1","12","866","5","-850","18660004","1.75","cmn_swm_flutterKick_floatRing_pink","-125","1","0"
"1","32","866","5","-1100","18660005","1.75","cmn_swm_flutterKick_floatRing_blue","-250","2","0"
"7","-850","866","31","-125","18660006","1","","1","1",""
"1","-1100","866","31","-250","18660007","1","","1","2",""
"113411","-125","866","2","10","18660008","","","","1750",""
"115711","-250","866","2","10","18660009","","","","1500",""
"1","-125","866","2","10","18660010","","","","1750",""
"2","-250","866","2","10","18660011","","","","1500",""
"1","-125","866","33","10","18660012","","","","1750",""
"2","-250","866","33","10","18660013","","","","1500",""
"se_10053800","","867","23","","18670001","","","","se_fpc_water_random",""
"1","13","867","1","-850","18670002","1.75","cmn_swm_tread","-125","113211","0"
"1","33","867","1","-1100","18670003","1.75","cmn_swm_tread","-250","127111","0"
"1","12","867","5","-850","18670004","1.75","cmn_swm_tread_pink","-125","1","0"
"1","32","867","5","-1100","18670005","1.75","cmn_swm_tread_blue","-250","2","0"
"13","-850","867","31","-125","18670006","1","","1","1",""
"3","-1100","867","31","-250","18670007","1","","1","2",""
"113211","-125","867","2","13.5","18670008","","","","1750",""
"127111","-250","867","2","13.5","18670009","","","","1500",""
"1","-125","867","2","13.5","18670010","","","","1750",""
"2","-250","867","2","13.5","18670011","","","","1500",""
"1","-125","867","33","13.5","18670012","","","","1750",""
"2","-250","867","33","13.5","18670013","","","","1500",""
"se_10053800","","868","23","","18680001","","","","se_fpc_water_random",""
"1","12","868","1","-850","18680002","1.75","cmn_swm_diving","-125","117011","0"
"1","22","868","1","-1100","18680003","1.75","cmn_swm_diving","-180","117111","0"
"9","-850","868","31","-125","18680004","1","","1","1",""
"9","-1100","868","31","-180","18680005","1","","1","2",""
"117011","-125","868","2","13.5","18680006","","","","1750",""
"117111","-180","868","2","13.5","18680007","","","","1500",""
"1","-125","868","33","13.5","18680008","","","","1750",""
"2","-180","868","33","13.5","18680009","","","","1500",""
"se_10053800","","869","23","","18690001","","","","se_fpc_water_random",""
"1","13","869","1","-850","18690002","1.75","cmn_swm_flutterKick_floatRing","-125","110511","0"
"1","33","869","1","-1100","18690003","1.75","cmn_swm_flutterKick_floatRing","-250","110011","0"
"1","12","869","5","-850","18690004","1.75","cmn_swm_flutterKick_floatBoad","-125","1","0"
"1","32","869","5","-1100","18690005","1.75","cmn_swm_flutterKick_floatBoad_blue","-250","2","0"
