fcdc28153551c9446421456f889b00131778de59662530dc2fa8fac1d318dd95,58b2f0967c34af8aaad9d32a6fa12537434cc639e4cceed4e6910de68202bf03,e557be6c94be568034359c0c24c4c132e9bf18e999c6cc9689605a9463039c70,a79281651f61aa6630261f0520ac5676f3da3d4a7d43af8d04a29045939ff252,8ed1543fa7f4cc0a237078644536eb0bc962b64afa02854919f2743af574ad39
"150","74004302","アタック・レリックが追加される。","モンスター1体追加","add_shadow"
"151","74004303","リマのシャドウが★6になる。","シャドウ強化","star6_shadow"
"152","74004304","アタック・レリックのスキルが強化される。","モンスター強化","boss_ub_enhance"
"153","74004305","バトル開始時、アタック・レリックが味方全体の行動速度を特大アップさせるフィールドを展開する。","開始時行動速度アップフィールド","boss_haste"
"154","74004402","パーティキャラの最大HPが20％ダウンする。","キャラ最大HPダウン","max_hp_down"
"155","74004403","バトル時間が75秒になる。","バトル時間制限","limit_time"
"156","74004403","パーティキャラの最大HPが20％ダウンする。","キャラ最大HPダウン","max_hp_down"
"157","74004404","バトル時間が75秒になる。","バトル時間制限","limit_time"
"158","74004404","編成可能キャラ数が4キャラになる。","編成キャラ数制限","limit_chara_num"
"159","74004404","パーティキャラの最大HPが20％ダウンする。","キャラ最大HPダウン","max_hp_down"
"160","74004405","バトル時間が60秒になる。","バトル時間制限","limit_time"
"161","74004405","編成可能キャラ数が4キャラになる。","編成キャラ数制限","limit_chara_num"
"162","74004405","パーティキャラの最大HPが20％ダウンする。","キャラ最大HPダウン","max_hp_down"
"163","74004502","パーティキャラの最大HPが20％ダウンする。","キャラ最大HPダウン","max_hp_down"
"164","74004503","ボスモンスターのユニオンバーストとスキルが強化される。","ボスUB・スキル強化","boss_ub_enhance"
"165","74004503","バトル開始時、ボスモンスターがＴＰダウン50％カット状態になる。","ボスＴＰダウンカット","boss_tp_down_cut"
"166","74004503","パーティキャラの最大HPが20％ダウンする。","キャラ最大HPダウン","max_hp_down"
"167","74004504","ルナポッドが追加される。","モンスター1体追加","add_shadow"
"168","74004504","バトル開始時、ボスモンスターがＴＰダウン50％カット状態になる。","ボスＴＰダウンカット","boss_tp_down_cut"
"169","74004504","パーティキャラの最大HPが20％ダウンする。","キャラ最大HPダウン","max_hp_down"
"170","74004505","アヤネのシャドウが追加される。","シャドウ1体追加","add_shadow"
"171","74004505","バトル開始時、ボスモンスターがＴＰダウン50％カット状態になる。","ボスＴＰダウンカット","boss_tp_down_cut"
"172","74004505","パーティキャラの最大HPが20％ダウンする。","キャラ最大HPダウン","max_hp_down"
"173","74005102","リマ、カヤ、イノリ、サレン（サマー）のシャドウに専用装備が追加される。","シャドウ強化","star6_shadow"
"174","74005103","リマ、カヤ、イノリのシャドウが★6になる。","シャドウ強化","star6_shadow"
"175","74005103","バトル開始時、すべてのモンスターが物理ダメージ50％カット状態になる。","物理ダメージカット","boss_physics_cut"
"176","74005104","編成可能キャラ数が4キャラになる。","編成キャラ数制限","limit_chara_num"
"177","74005104","バトル開始時、すべてのモンスターが物理ダメージ50％カット状態になる。","物理ダメージカット","boss_physics_cut"
"178","74005105","編成可能キャラ数が4キャラになる。","編成キャラ数制限","limit_chara_num"
"179","74005105","バトル開始時、すべてのモンスターが物理ダメージ100％カット状態になる。","物理ダメージカット","boss_physics_cut"
"180","74005202","ミヤコ、レイ（ニューイヤー）、ユカリ、ハツネ、ミサキ（ハロウィン）のシャドウに専用装備が追加される。","シャドウ強化","star6_shadow"
"181","74005203","ミヤコ、レイ（ニューイヤー）、ユカリ、ハツネのシャドウが★6になる。","シャドウ強化","star6_shadow"
"182","74005203","バトル開始時、すべてのモンスターが魔法ダメージ50％カット状態になる。","魔法ダメージカット","boss_magic_cut"
"183","74005204","編成可能キャラ数が4キャラになる。","編成キャラ数制限","limit_chara_num"
"184","74005204","バトル開始時、すべてのモンスターが魔法ダメージ50％カット状態になる。","魔法ダメージカット","boss_magic_cut"
"185","74005205","編成可能キャラ数が4キャラになる。","編成キャラ数制限","limit_chara_num"
"186","74005205","バトル開始時、すべてのモンスターが魔法ダメージ100％カット状態になる。","魔法ダメージカット","boss_magic_cut"
"187","74005301","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","ダメージ減衰","18"
"188","74005301","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","ＴＰ上昇上限付与","17"
"189","74005301","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ","boss_def_lower_limit"
"190","74005301","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit"
"191","74005301","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","ＨＰ吸収ダウン","9"
"192","74005302","ゼラチナ、エルダークラウドが追加される。","モンスター追加","add_shadow"
"193","74005302","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","ダメージ減衰","18"
"194","74005302","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","ＴＰ上昇上限付与","17"
"195","74005302","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ","boss_def_lower_limit"
"196","74005302","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit"
"197","74005302","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","ＨＰ吸収ダウン","9"
"198","74005303","ユカリ、ホマレ（ニューイヤー）が追加される。","モンスター追加","add_shadow"
"199","74005303","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","ダメージ減衰","18"
"200","74005303","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","ＴＰ上昇上限付与","17"
"201","74005303","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ","boss_def_lower_limit"
"202","74005303","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit"
"203","74005303","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","ＨＰ吸収ダウン","9"
"204","74005304","ルナポッドが追加される。","モンスター追加","add_shadow"
"205","74005304","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","ダメージ減衰","18"
"206","74005304","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","ＴＰ上昇上限付与","17"
"207","74005304","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ","boss_def_lower_limit"
"208","74005304","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit"
"209","74005304","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","ＨＰ吸収ダウン","9"
"210","74005305","バトル時間が60秒になる。","バトル時間制限","limit_time"
"211","74005305","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","ダメージ減衰","18"
"212","74005305","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","ＴＰ上昇上限付与","17"
"213","74005305","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ","boss_def_lower_limit"
"214","74005305","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit"
"215","74005305","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","ＨＰ吸収ダウン","9"
"216","74005401","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","ダメージ減衰","18"
"217","74005401","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","ＴＰ上昇上限付与","17"
"218","74005401","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ","boss_def_lower_limit"
"219","74005401","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit"
"220","74005401","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","ＨＰ吸収ダウン","9"
"221","74005402","タートルタイラント、ホオズキムシが追加される。","モンスター追加","add_shadow"
"222","74005402","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","ダメージ減衰","18"
"223","74005402","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","ＴＰ上昇上限付与","17"
"224","74005402","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ","boss_def_lower_limit"
"225","74005402","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit"
"226","74005402","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","ＨＰ吸収ダウン","9"
"227","74005403","シズル（ノワール）、コッコロ（サマー）が追加される。","モンスター追加","add_shadow"
"228","74005403","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","ダメージ減衰","18"
"229","74005403","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","ＴＰ上昇上限付与","17"
"230","74005403","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ","boss_def_lower_limit"
"231","74005403","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit"
"232","74005403","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","ＨＰ吸収ダウン","9"
"233","74005404","ルナポッドが追加される。","モンスター追加","add_shadow"
"234","74005404","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","ダメージ減衰","18"
"235","74005404","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","ＴＰ上昇上限付与","17"
"236","74005404","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ","boss_def_lower_limit"
