786b041c7584f64760ef38fb21254e4f336ad8d267332992d782e177e4d04da1,cfdfe1473dac26e1a772d8c6946bcd53c431a2edd3760f8c99401a827e129d80,361407c9507e634a33f8037fcaadb016b374e437055e0f24d8ae200737d6b6b5,50b7c10783aa15a2a1c52ac83e6fe4b90a97d6d4f6d0e2e2b0028e08cd66b498,bf464c0b030de1b844ea1ed9de0c3d20b46456d3e57d1b23bf78a15fa08fd23c,35a7c8ff725623f943f168a7e25340d681466a34e78a7bed79aec6f39fadf447
"500837","2","3","10127","5100003","143"
"501463","2","3","20044","5080005","144"
"502063","2","3","10128","5128001","145"
"501873","2","3","10129","5102002","146"
"0","1","1","20045101","20045105","147"
"0","1","1","20045102","20045108","148"
"0","1","1","20045103","20045111","149"
"501160","2","3","20045","5082002","150"
"501031","2","3","20045","5082004","151"
"501483","2","3","20045","5082005","152"
"500368","2","3","20046","5084001","153"
"510306","2","3","20046","5084002","154"
"500039","2","3","20046","5084003","155"
"500368","2","3","20047","5085002","156"
"510203","2","3","20047","5085003","157"
"500272","2","3","20047","5085004","158"
"501501","2","3","20047","5085005","159"
"500016","2","3","10130","5130001","160"
"500133","2","3","10130","5130007","161"
"500133","2","3","10131","5104003","162"
"500143","2","3","10136","5136002","163"
"500175","2","3","10136","5136004","164"
"501622","2","3","10137","5137002","165"
"500133","2","3","10137","5137005","166"
"501810","2","3","20048","5088005","167"
"500553","2","3","10134","5134007","168"
"501911","2","3","10135","5108002","169"
"501931","2","3","10138","5110005","170"
"500013","2","3","10139","5111005","171"
"501541","2","3","20049","5090002","172"
"0","1","2","10138101","1013801","173"
"500016","2","3","10141","5114000","174"
"501952","2","3","10141","5114003","175"
"502224","2","3","10140","5140002","180"
"501031","2","3","20050","5092001","181"
"501551","2","3","20050","5092004","182"
"501683","2","3","10142","5142001","183"
"500837","2","3","10143","5116004","184"
"500133","2","3","10145","5118002","185"
"500810","2","3","10145","5118003","186"
"500133","2","3","10145","5118007","187"
"501593","2","3","20051","5094001","188"
"501613","2","3","20052","5096002","189"
"502283","2","3","10146","5146001","1014601"
"502003","2","3","10149","5122000","1014901"
"502015","2","3","10149","5122002","1014902"
"501614","2","3","10151","5124003","1015101"
"502373","2","3","10154","5154007","1015401"
"502074","2","3","10156","5156001","1015601"
"502394","2","3","10156","5156002","1015602"
"502063","2","3","10157","5128001","1015701"
"500880","2","3","10158","5158003","1015801"
"500016","2","3","10159","5130001","1015901"
"500133","2","3","10159","5130007","1015902"
"500553","2","3","10163","5134007","1016301"
"500143","2","3","10164","5136002","1016401"
"500175","2","3","10164","5136004","1016402"
"501622","2","3","10165","5137002","1016501"
"500133","2","3","10165","5137005","1016502"
"502224","2","3","10166","5140002","1016601"
"501683","2","3","10167","5142001","1016701"
"502283","2","3","10169","5146001","1016901"
"502373","2","3","10173","5154007","1017301"
"502074","2","3","10176","5156001","1017601"
"502394","2","3","10176","5156002","1017602"
"501031","2","3","20053","5098000","2005301"
"500837","2","3","20054","5100003","2005401"
"501873","2","3","20055","5102002","2005501"
"500133","2","3","20056","5104003","2005601"
"501911","2","3","20058","5108002","2005801"
"501931","2","3","20059","5110005","2005901"
"500013","2","3","20060","5111005","2006001"
"500016","2","3","20061","5114000","2006101"
"501952","2","3","20061","5114003","2006102"
"500837","2","3","20062","5116004","2006201"
"500133","2","3","20063","5118002","2006301"
"500810","2","3","20063","5118003","2006302"
"500133","2","3","20063","5118007","2006303"
"502003","2","3","20065","5122000","2006501"
"502015","2","3","20065","5122002","2006502"
"501614","2","3","20066","5124003","2006601"
"500143","2","3","20067","5136002","2006701"
"500175","2","3","20067","5136004","2006702"
"501622","2","3","20068","5137002","2006801"
"500133","2","3","20068","5137005","2006802"
"502063","2","3","20070","5128001","2007001"
"500016","2","3","20071","5130001","2007101"
"500133","2","3","20071","5130007","2007102"
"500553","2","3","20073","5134007","2007301"
