06d3aec075572d492b46d0d090cf29b3a544d63476fb0cb2562bb61319bfc43c,65a7b969fc1812f673f5053851f2e1cf34df9e631dddd2423855630bfe666483,5d554b10fa24b110123649d421e73aff19ff70198bcfb8d6fe1baf5be59b3fd6,7ea93827f05273495434428f79f19325a4300fafd303ecdaf59d29a6dc89cd5f,78093a2734f16b682ddcf21eb340fae8591ae7e1e2d004946294993b2d0e1d30,6b26ac410358f69e440293aed25ffab656225f1aae0c09bfc1c941de90f01f2f,363fa36d7f64fe217240af57912e299501ce5d0f1fbca335bf3573204877834c,88db226c9743bb13ad302a3ce59a452c02b29d0f0e670961f13fdd6f769396ee,83f5256278ca5fe03fda011db39aea5aa93e60c9aef9b218ef485d0bab7786bb,ce3b5e1156b463738ec434d0db7c85f09939de0dfc10e4d2e7adb33dfece7455,9dce9576d5ab172986b22edf665d37be9cdac864df1f73186fbde20717e6b75e,2362785cb1f59df846826c2fab1035baffd40831e021154ac5f684d84e1ff671,da4ee082ac83342105fe471f5d3449478653beab3ce07f48dccbaf1c43123d07,00e3489ab8fd4e8be618be88b2c62c40716e2e115e0cea8b4d8534379e6a082e,f17451f42847583905ad5060c36c53e0a27b0f9b1cf7e7a74e9ae3fd5da859ab
"私こっち行きたいー\nね、早く早くー","北条 綾音","0","0","1","2","1.5","私、アヤネ！\nぷうきちと一緒についてってあげるね！","おにいちゃんどこいくの？\nえ？","1","0","1023","1","0","0"
"これて何か違う…\nあああすみません！","天野 すずめ","0","0","1","2","1.4","わっ…わっ…私、\n天野すずめといいます！","ふ、不束者ですが\nどうぞ末永く…って、","1","0","1025","1","0","0"
"離しませんわ………\n絶対に…!!","倉石 恵理子","0","0","1","2","1.4","……クスクス…私は\n…倉石恵理子……","あなたは…運命の……\n伴侶……","1","0","1027","1","0","0"
"…そうでしょ？？","佐々木 咲恋","0","0","1","2","1.4","佐々木咲恋よ。\nねえ、世の中に無駄なことが\n多すぎると思わない？","その無駄を省くことができれば、\nもっと余裕のある暮らしができるっ！","1","0","1028","1","0","0"
"あはは、\n私もまだまだだなぁ～","桜井 望","0","0","1","2","1.4","桜井望だよ！\nよろしくねっ","ぇっと…\nキミ、私のこと知らないの?!","1","0","1029","1","0","0"
"ショーグン、\nワタシと一緒に天下統一デース！","ニノン・ジュベール","0","0","1","2","1.4","デケデケデンっ！","初めまして、\n私はニノン・ジュベール申すデス！","1","0","1030","1","0","0"
"おかしいですね……","上喜 しのぶ","0","0","1","2","1.4","上喜しのぶです。\n手元のドクロが父です。","でもって私の隣にいるのが……\nえ、見えない？","1","0","1031","1","0","0"
"そう、\nオラのボケに突っ込める相方が…！","野戸まひる","0","0","1","2","1.5","目指すはビッグな\nお笑い芸人だっぺ！","けんども\nそれには足りないモンが…","1","0","1033","1","0","0"
"ちょ\nちょっと一杯飲んできます…！","綾瀬 ゆかり","0","0","1","2","1.4","あの…私…綾瀬ゆかりです…\nあの…ごめんなさい！","ちょっと緊張しちゃって…","1","0","1034","1","0","0"
"これ以上お話しすることは…\nないです！","氷川 鏡華","0","0","1","2","1.5","氷川鏡華…です","知らない人とは話しちゃいけないので","1","0","1036","1","0","0"
"私体が弱いから、\n30分に一度休憩しないと\nいけないんです。","柏崎 栞","0","0","1","2","1.4","柏崎…栞です。","……あ、アラーム。","1","0","1038","1","0","0"
"野に咲く花が、\n唯一の話相手です。","双葉 碧","0","0","1","2","1.4","ふ、双葉碧です。","私、一人も友達がいなくて……","1","0","1040","1","0","0"
"そう思っています。","三角 千歌","0","0","1","2","1.4","三角千歌です。","私の歌声で、\n皆さんが幸せになってくれたらいいなって…","1","0","1042","1","0","0"
"う、疑ってすまなかったな…","安芸 真琴","0","0","1","2","1.4","安芸真琴だ。","あぁ？\nお前のそいつの仲間か？","1","0","1043","1","0","0"
"わらわの偉大な力に\nひれ伏すがいい！\nはっはっは！","イリヤ・オーンスタイン","0","0","1","2","1.4","わらわこそは夜を総べる者！","生けとし生ける全ての者よ！","1","0","1044","1","0","0"
"ｌク、クウカに何かご用ですか!?","遠見 空花","0","0","1","2","1.4","そこで騎士は妖精を乱暴に……","ぐふふふふ……はっ！","1","0","1045","1","0","0"
"う～ん…\n猫ってホントに最高にゃ～♪","宮坂たまき","0","0","1","2","1.4","宮坂たまきにゃ♪\n猫はいいにゃよ？","自由気ままで♪\n寝て遊んで、食べてケンカして…","1","0","1046","1","0","0"
"…と思ったら\nバイトの時間だ！\nまたあとでね！","大神 美冬","0","0","1","2","1.4","大神美冬よ！","それでは早速クエストに…","1","0","1048","1","0","0"
"お姉ちゃんがぜ～んぶ\nやってあげるからね！","星野静流","0","0","1","2","1.4","星野静流だよ！","クエストもバトルも\n掃除も洗濯も","1","0","1049","1","0","0"
"学校では誰もが憧れる\nアイドル的な存在ってやつよ♪","玉泉美咲","0","0","1","2","1.5","アタシは玉泉美咲。","見ての通りの\nセクシー美少女で","1","0","1050","1","0","0"
"？？？？","リマ","0","0","1","2","1.4","？？？","？？？？","1","0","1052","1","0","0"
"そ、そこまでいうなら\nもらってやる","モニカ・ヴァイスヴィント","0","0","1","2","1.5","モニカ・ヴァイスヴィントだ。","菓子でつろうなどと\n稚拙な策を……","1","0","1053","1","0","0"
"そ、そこまでいうなら\nもらってやる","ペコリーヌ","0","0","1","2","1.5","モニカ・ヴァイスヴィントだ。","菓子でつろうなどと\n稚拙な策を……","1","0","1058","1","0","0"
"そ、そこまでいうなら\nもらってやる","コッコロ","0","0","1","2","1.5","モニカ・ヴァイスヴィントだ。","菓子でつろうなどと\n稚拙な策を……","1","0","1059","1","0","0"
"そ、そこまでいうなら\nもらってやる","キャル","0","0","1","2","1.5","モニカ・ヴァイスヴィントだ。","菓子でつろうなどと\n稚拙な策を……","1","0","1060","1","0","0"
