a40f354b503385b4fe6e71ef05a16b73283a5c47c6d42b42fbb21540486961a0,12295f2c213482ff3dc49b5232370554ed0fb20ec77567e533acdb540b4106d3,b9d0d8add45ebc97eac82307e9372c1028bb7fdddba686ae7c987c25b3d1ef82,0635b3e293411141fbac54f6b28cf8b55c6c6aa1d3a5f93f6e88373758753bec,d720eb017d3dc2f19acad374d9622940f3b074d7f15fbacf9893d987214cf101,08a7abd39f250ad7e0645e2e0e2db255b6460ededff5137bb477d3ee03d34bb9,eec86a7aa0dd77c7f584211e110fc486fa42f2339695935a8468f13b3ea6a0b0,f34981fb188c4d6f152070609e16e13b63fa87359bb0b5911bc73f618fd8fe49,4cce7736a8919875e7462f0a3a45056918785325ea832d3e4902b23422f6573a,c1cd41472f8553af9238b2d44073594a6901432fed6320e82b11b14451e09f76,2d306b707fa531f3fb7b61212c473f2f07b83ac726dc5ed217d744e362480353
"1","3","0.2","","102311","13","pkb_idle_normal","1130006","","",""
"100","1","1.65","pkb_idle_normal","1","14","102311","1140001","1","64","-175"
"1","3","0.2","","102311","14","pkb_talk_joy1","1140002","","",""
"0","21","","","vo_minigame_1006","14","vo_minigame_1006_top_402","1140003","","0",""
"8","11","0","0","102311","14","全部ホームラン\n打てばいいんだよね？\nそれくらい簡単だよ！","1140004","0","0","0"
"","93","","","3","14","","1140005","","",""
"0","3","0.2","","102311","14","pkb_talk_doya","1140006","","pkb_idle_doya","1"
"","91","","","1140004","14","","1140007","","",""
"1","3","0.2","","102311","14","pkb_idle_normal","1140008","","",""
"100","1","1.65","pkb_idle_normal","1","15","102311","1150001","1","64","-175"
"1","3","0.2","","102311","15","pkb_talk_wish","1150002","","",""
"0","21","","","vo_minigame_1006","15","vo_minigame_1006_top_403","1150003","","0",""
"8","11","0","-0.5","102311","15","お兄ちゃんたちの\nお手本になれる\nように、いっぱい\n打つからね！","1150004","0","0","0"
"","93","","","2.4","15","","1150005","","",""
"0","3","0.2","","102311","15","pkb_talk_fun","1150006","0.4","pkb_talk_joy1","1"
"","91","","","1150004","15","","1150007","","",""
"1","3","0.2","","102311","15","pkb_idle_normal","1150008","","",""
"100","5","57","pkb_idle_normal_l","1","16","1","1160001","1","64","-155"
"0","3","0.2","","1","16","pkb_talk_arm_crossed_l","1160002","0.2","pkb_idle_arm_crossed_l","1"
"0","21","","","vo_minigame_1006","16","vo_minigame_1006_top_701","1160003","","0",""
"8","11","0","0","1","16","全国大会を目指して\n今日も練習頑張ろう！","1160004","0","0","0"
"","93","","","2.6","16","","1160005","","",""
"0","3","0.2","","1","16","pkb_talk_doya_l","1160006","0.2","pkb_idle_doya_l","1"
"","91","","","1160004","16","","1160007","","",""
"1","3","0.2","","1","16","pkb_idle_normal_l","1160008","","",""
"100","5","57","pkb_idle_normal_l","1","17","1","1170001","1","64","-155"
"0","3","0.2","","1","17","pkb_talk_guts_l","1170002","","pkb_idle_guts_l","1"
"0","21","","","vo_minigame_1006","17","vo_minigame_1006_top_702","1170003","","0",""
"8","11","0","0","1","17","夢を叶えるために\n全力で練習に\n取り組もう！","1170004","0","0","0"
"","91","","","0","17","","1170005","","",""
"1","3","0.2","","1","17","pkb_idle_normal_l","1170006","","",""
"100","5","57","pkb_idle_normal_l","1","18","1","1180001","1","64","-155"
"0","3","0.2","","1","18","pkb_talk_arm_crossed_l","1180002","0.2","pkb_idle_arm_crossed_l","1"
"0","21","","","vo_minigame_1006","18","vo_minigame_1006_top_703","1180003","","0",""
"8","11","0","0","1","18","部員のみんなも\nすごく上達してる…\n俺も負けてられない！","1180004","0","0","0"
"","93","","","2.9","18","","1180005","","",""
"0","3","0.2","","1","18","pkb_talk_guts_l","1180006","","pkb_idle_guts_l","1"
"","91","","","1180004","18","","1180007","","",""
"1","3","0.2","","1","18","pkb_idle_normal_l","1180008","","",""
"100","5","57","pkb_idle_normal_l","2","19","2","1190001","1","64","-155"
"0","3","0.2","","2","19","pkb_talk_arm_crossed_l","1190002","0.2","pkb_idle_arm_crossed_l","1"
"0","21","","","vo_minigame_1006","19","vo_minigame_1006_top_801","1190003","","0",""
"8","11","0","0","2","19","上達してるってとこ\n見せてやる\nオレだって選手なんだ","1190004","0","0","0"
"","93","","","3.8","19","","1190005","","",""
"0","3","0.2","","2","19","pkb_talk_guts_l","1190006","","pkb_idle_guts_l","1"
"","91","","","1190004","19","","1190007","","",""
"1","3","0.2","","2","19","pkb_idle_normal_l","1190008","","",""
"100","5","57","pkb_idle_normal_l","2","20","2","1200001","1","64","-155"
"0","3","0.2","","2","20","pkb_talk_guts_l","1200002","","pkb_idle_guts_l","1"
"0","21","","","vo_minigame_1006","20","vo_minigame_1006_top_802","1200003","","0",""
"8","11","0","0","2","20","今日もかっとばす\n遠慮せず全力で\nかかってこい","1200004","0","0","0"
"","93","","","3.2","20","","1200005","","",""
"0","3","0.2","","2","20","pkb_talk_doya_l","1200006","","pkb_idle_doya_l","1"
"","91","","","1200004","20","","1200007","","",""
"1","3","0.2","","2","20","pkb_idle_normal_l","1200008","","",""
"100","5","57","pkb_idle_normal_l","2","21","2","1210001","1","64","-155"
"0","3","0.2","","2","21","pkb_talk_arm_crossed_l","1210002","0.2","pkb_idle_arm_crossed_l","1"
"0","21","","","vo_minigame_1006","21","vo_minigame_1006_top_803","1210003","","0",""
"8","11","0","0","2","21","全国を目指してんだ\nもっと練習しなきゃ\nいけねえよな","1210004","0","0","0"
"","91","","","0","21","","1210005","","",""
"1","3","0.2","","2","21","pkb_idle_normal_l","1210006","","",""
"100","1","1.6","pkb_idle_normal","1","22","113511","1220001","0","-20","-150"
"100","1","1.6","pkb_idle_normal","1","22","113411","1220002","1","170","-150"
"1","3","0.2","","113511","22","pkb_talk_joy1","1220003","","",""
"0","21","","","vo_minigame_1006","22","vo_minigame_1006_top_talk_1_101","1220004","","0",""
"6","11","0","-0.5","113511","22","ふふ、みんなすごく\n張り切ってるわね\nハツネちゃんの応援の\nおかげかしら♪","1220005","0","0","0"
"","91","","","0","22","","1220006","","",""
"1","3","0.2","","113511","22","pkb_idle_normal","1220007","","",""
"1","3","0.2","","113411","22","pkb_talk_joy1","1220008","","",""
"0","21","","","vo_minigame_1006","22","vo_minigame_1006_top_talk_1_202","1220009","","0",""
"6","11","0","-0.5","113411","22","そうかなー？\nじゃあもっと応援\nがんばっちゃうぞ～！","1220010","0","0","0"
"","93","","","4","22","","1220011","","",""
"0","3","0.2","","113411","22","pkb_talk_handsup","1220012","0","pkb_idle_normal","1"
"","91","","","1220010","22","","1220013","","",""
"1","3","0.2","","113411","22","pkb_idle_normal","1220014","","",""
"100","1","1.6","pkb_idle_normal","1","23","113411","1230001","1","170","-150"
"100","1","1.6","pkb_idle_normal","1","23","113511","1230002","0","-20","-150"
"1","3","0.2","","113411","23","pkb_talk_normal","1230003","","",""
"0","21","","","vo_minigame_1006","23","vo_minigame_1006_top_talk_2_201","1230004","","0",""
"8","11","0","-1.5","113411","23","ミサト先生も一緒に\n応援しようよ！","1230005","0","0","0"
"","91","","","0","23","","1230006","","",""
"1","3","0.2","","113411","23","pkb_idle_normal","1230007","","",""
"1","3","0.2","","113511","23","pkb_talk_normal","1230008","","",""
"0","21","","","vo_minigame_1006","23","vo_minigame_1006_top_talk_2_102","1230009","","0",""
"5","11","0","3","113511","23","あらあら\n楽しそうね～♪\nフレーフレー！","1230010","0","0","0"
"","93","","","4","23","","1230011","","",""
"0","3","0.2","","113511","23","pkb_talk_fun","1230012","0.2","pkb_talk_fun","0"
"","93","","","2.7","23","","1230013","","",""
"0","3","0.2","","113511","23","pkb_idle_normal","1230014","0.2","pkb_talk_joy1","1"
"","91","","","1230010","23","","1230015","","",""
"1","3","0.2","","113511","23","pkb_idle_normal","1230016","","",""
"100","1","1.6","pkb_idle_normal","1","24","113511","1240001","1","170","-150"
"100","5","55","pkb_idle_normal","3","24","3","1240002","0","-20","-130"
"1","3","0.2","","113511","24","pkb_talk_joy3","1240003","","",""
"0","21","","","vo_minigame_1006","24","vo_minigame_1006_top_talk_3_101","1240004","","0",""
"6","11","0","-1","113511","24","ダイチくんったら\nすごい気合いね～！\nでも、無理しちゃ\n駄目ですよ～？","1240005","0","0","0"
"","93","","","4","24","","1240006","","",""
"1","3","0.2","","113511","24","pkb_talk_wish","1240007","","",""
"","91","","","1240005","24","","1240008","","",""
"1","3","0.2","","113511","24","pkb_idle_normal","1240009","","",""
"1","3","0.2","","3","24","pkb_talk_normal","1240010","","",""
"0","21","","","vo_minigame_1006","24","vo_minigame_1006_top_talk_3_602","1240011","","0",""
"6","11","0","-1","3","24","わかってるっつーの\nけどよ、ビーチベース\nボールが楽しくて\n仕方ねえんだよ！","1240012","0","0","0"
"","93","","","2","24","","1240013","","",""
"0","3","0.2","","3","24","pkb_talk_doya","1240014","","pkb_idle_doya","1"
"","91","","","1240012","24","","1240015","","",""
"1","3","0.2","","3","24","pkb_idle_normal","1240016","","",""
"100","5","55","pkb_idle_normal","3","25","3","1250001","0","-20","-130"
"100","1","1.6","pkb_idle_normal","1","25","113511","1250002","1","170","-150"
"0","3","0.2","","3","25","pkb_talk_arm_crossed","1250003","0.2","pkb_idle_arm_crossed","1"
"0","21","","","vo_minigame_1006","25","vo_minigame_1006_top_talk_4_601","1250004","","0",""
"8","11","0","-0.5","3","25","今の俺たちなら\n全国行けるぜ！\n絶対に夢を\n叶えようぜ！","1250005","0","0","0"
"","93","","","3","25","","1250006","","",""
"0","3","0.2","","3","25","pkb_talk_guts","1250007","","pkb_idle_guts","1"
"","91","","","1250005","25","","1250008","","",""
"1","3","0.2","","3","25","pkb_idle_normal","1250009","","",""
"1","3","0.2","","113511","25","pkb_talk_wish","1250010","","",""
"0","21","","","vo_minigame_1006","25","vo_minigame_1006_top_talk_4_102","1250011","","0",""
"6","11","0","1","113511","25","ええ、あなたたちなら\n行けるって信じてるわ\n頑張りましょう～♪","1250012","0","0","0"
"","93","","","5.6","25","","1250013","","",""
"0","3","0.2","","113511","25","pkb_talk_handsup","1250014","0.2","pkb_idle_normal","1"
"","91","","","0","25","","1250015","","",""
"1","3","0.2","","113511","25","pkb_idle_normal","1250016","","",""
"100","1","1.6","pkb_idle_normal","1","26","113511","1260001","1","170","-150"
"100","5","55","pkb_idle_normal","1","26","1","1260002","0","-20","-130"
"1","3","0.2","","113511","26","pkb_talk_joy3","1260003","","",""
"0","21","","","vo_minigame_1006","26","vo_minigame_1006_top_talk_5_101","1260004","","0",""
"6","11","0","0","113511","26","ふふ、先生も\n練習のお手伝いを\nしますからね～","1260005","0","0","0"
"","91","","","0","26","","1260006","","",""
"1","3","0.2","","113511","26","pkb_idle_normal","1260007","","",""
"0","3","0.2","","1","26","pkb_talk_guts","1260008","0.2","pkb_idle_guts","1"
"0","21","","","vo_minigame_1006","26","vo_minigame_1006_top_talk_5_702","1260009","","0",""
"8","11","0","-1","1","26","先生、ありがとう\nございます！\n俺も気合い入れて\n頑張ります！","1260010","0","0","0"
"","91","","","0","26","","1260011","","",""
"1","3","0.2","","1","26","pkb_idle_normal","1260012","","",""
"100","5","55","pkb_idle_normal","1","27","1","1270001","0","-20","-130"
"100","1","1.6","pkb_idle_normal","1","27","113511","1270002","1","170","-150"
"0","3","0.2","","1","27","pkb_talk_arm_crossed","1270003","0.2","pkb_idle_arm_crossed","1"
"0","21","","","vo_minigame_1006","27","vo_minigame_1006_top_talk_6_701","1270004","","0",""
"8","11","0","-0.5","1","27","今日もボールが\nピカピカだ…\nきっと先生が\n磨いてくれたんだ…！","1270005","0","0","0"
"","93","","","2.6","27","","1270006","","",""
"0","3","0.2","","1","27","pkb_talk_guts","1270007","0.2","pkb_idle_guts","1"
"","91","","","1270005","27","","1270008","","",""
"1","3","0.2","","1","27","pkb_idle_normal","1270009","","",""
"1","3","0.2","","113511","27","pkb_talk_joy3","1270010","","",""
"0","21","","","vo_minigame_1006","27","vo_minigame_1006_top_talk_6_102","1270011","","0",""
"6","11","0","0.5","113511","27","私にできることを\nしただけですよ～\nみんなが気持ちよく\n練習できたらなって♪","1270012","0","0","0"
"","93","","","4","27","","1270013","","",""
"1","3","0.2","","113511","27","pkb_talk_wish","1270014","","",""
"","91","","","1270012","27","","1270015","","",""
"1","3","0.2","","113511","27","pkb_idle_normal","1270016","","",""
"100","1","1.6","pkb_idle_normal","1","28","113411","1280001","1","170","-150"
"100","5","55","pkb_idle_normal","3","28","3","1280002","0","-20","-130"
"0","3","0.2","","113411","28","pkb_talk_yell","1280003","0.2","pkb_talk_joy1","1"
"0","21","","","vo_minigame_1006","28","vo_minigame_1006_top_talk_7_201","1280004","","0",""
"8","11","0","-0.5","113411","28","みんな、頑張れ～♪\nかっこいいところ\n期待してるよー！\nファイトファイト～！","1280005","0","0","0"
"","93","","","4.6","28","","1280006","","",""
"0","3","0.2","","113411","28","pkb_talk_fun","1280007","0.2","pkb_idle_normal","1"
"","91","","","1280005","28","","1280008","","",""
"1","3","0.2","","113411","28","pkb_idle_normal","1280009","","",""
"0","3","0.2","","3","28","pkb_talk_guts","1280010","","pkb_idle_guts","1"
"0","21","","","vo_minigame_1006","28","vo_minigame_1006_top_talk_7_602","1280011","","0",""
"8","11","0","0","3","28","応援が沁みるぜ…\nハツネちゃんに\nいいとこ見せるぞ！\nうおおぉぉ！！","1280012","0","0","0"
"","93","","","5","28","","1280013","","",""
"0","3","0.2","","3","28","pkb_talk_handsup","1280014","","pkb_idle_normal","1"
"","91","","","1280012","28","","1280015","","",""
"1","3","0.2","","3","28","pkb_idle_normal","1280016","","",""
"100","5","55","pkb_idle_normal","3","29","3","1290001","0","-20","-130"
"100","1","1.6","pkb_idle_normal","1","29","113411","1290002","1","170","-150"
"0","3","0.2","","3","29","pkb_talk_arm_crossed","1290003","0.2","pkb_idle_arm_crossed","1"
"0","21","","","vo_minigame_1006","29","vo_minigame_1006_top_talk_8_601","1290004","","0",""
"8","11","0","-1","3","29","かなりハードな練習に\nなりそうなんだ\nビシッと気合いが入る\n応援を頼むぜ！","1290005","0","0","0"
"","93","","","2.8","29","","1290006","","",""
"0","3","0.2","","3","29","pkb_talk_guts","1290007","","pkb_idle_guts","1"
"","91","","","1290005","29","","1290008","","",""
"1","3","0.2","","3","29","pkb_idle_normal","1290009","","",""
"1","3","0.2","","113411","29","pkb_talk_joy1","1290010","","",""
"0","21","","","vo_minigame_1006","29","vo_minigame_1006_top_talk_8_202","1290011","","0",""
"8","11","0","-0.5","113411","29","任せてよ！\nいつもよりいっぱい\n応援しちゃうよ～！","1290012","0","0","0"
"","93","","","2.2","29","","1290013","","",""
"0","3","0.2","","113411","29","pkb_talk_fun","1290014","0.4","pkb_smile","0"
"","93","","","2.2","29","","1290015","","",""
"1","3","0.2","","113411","29","pkb_idle_normal","1290016","","",""
"","91","","","1290012","29","","1290017","","",""
"1","3","0.2","","113411","29","pkb_idle_normal","1290018","","",""
"100","1","1.6","pkb_idle_normal","1","30","113411","1300001","1","170","-150"
"100","5","55","pkb_idle_normal","1","30","1","1300002","0","-20","-130"
"1","3","0.2","","113411","30","pkb_talk_joy1","1300003","","",""
"0","21","","","vo_minigame_1006","30","vo_minigame_1006_top_talk_9_201","1300004","","0",""
"8","11","0","1","113411","30","いっぱい応援するから\n今日も練習頑張ってね\n目指せ、全国大会～！","1300005","0","0","0"
"","93","","","5","30","","1300006","","",""
"0","3","0.2","","113411","30","pkb_talk_handsup","1300007","","pkb_idle_normal","1"
"","91","","","1300005","30","","1300008","","",""
"1","3","0.2","","113411","30","pkb_idle_normal","1300009","","",""
"1","3","0.2","","1","30","pkb_talk_normal","1300010","","",""
"0","21","","","vo_minigame_1006","30","vo_minigame_1006_top_talk_9_702","1300011","","0",""
"8","11","0","-1","1","30","ハツネちゃんの応援は\n俺たちの力に\nなってるよ\nいつもありがとう！","1300012","0","0","0"
"","93","","","3.3","30","","1300013","","",""
"0","3","0.2","","1","30","pkb_talk_guts","1300014","","pkb_idle_guts","1"
"","91","","","1300012","30","","1300015","","",""
"1","3","0.2","","1","30","pkb_idle_normal","1300016","","",""
"100","5","55","pkb_idle_normal","1","31","1","1310001","0","-20","-130"
"100","1","1.6","pkb_idle_normal","1","31","113411","1310002","1","170","-150"
"0","3","0.2","","1","31","pkb_talk_arm_crossed","1310003","0.2","pkb_idle_arm_crossed","1"
"0","21","","","vo_minigame_1006","31","vo_minigame_1006_top_talk_10_701","1310004","","0",""
"8","11","0","-1.5","1","31","キャプテンとして\nもっと上手くなって\nみんなを引っ張って\nいかないと！","1310005","0","0","0"
"","93","","","3.6","31","","1310006","","",""
"0","3","0.2","","1","31","pkb_talk_doya","1310007","","pkb_idle_doya","1"
"","91","","","1310005","31","","1310008","","",""
"1","3","0.2","","1","31","pkb_idle_normal","1310009","","",""
"1","3","0.2","","113411","31","pkb_talk_joy1","1310010","","",""
"0","21","","","vo_minigame_1006","31","vo_minigame_1006_top_talk_10_202","1310011","","0",""
"8","11","0","-0.5","113411","31","おっ、アサヒくん！\n気合い入ってるね！\nその意気なのだ～！\n頑張れ頑張れ～☆","1310012","0","0","0"
"","93","","","3.6","31","","1310013","","",""
"0","3","0.2","","113411","31","pkb_talk_fun","1310014","","pkb_talk_fun","0"
"","93","","","3","31","","1310015","","",""
"1","3","0.2","","113411","31","pkb_idle_normal","1310016","","",""
"","91","","","1310012","31","","1310017","","",""
"100","5","55","pkb_idle_normal","2","32","2","1320001","0","-20","-130"
"100","1","1.6","pkb_idle_normal","1","32","113411","1320002","1","170","-150"
"0","3","0.2","","2","32","pkb_talk_guts","1320003","","pkb_idle_guts","1"
"0","21","","","vo_minigame_1006","32","vo_minigame_1006_top_talk_11_801","1320004","","0",""
"8","11","0","0","2","32","ハツネちゃん…\nホームラン打つって\n約束するから\nしっかり見ててくれよ","1320005","0","0","0"
"","93","","","5","32","","1320006","","",""
"0","3","0.2","","2","32","pkb_talk_doya","1320007","","pkb_idle_doya","1"
"","91","","","1320005","32","","1320008","","",""
"1","3","0.2","","2","32","pkb_idle_normal","1320009","","",""
"1","3","0.2","","113411","32","pkb_talk_joy2","1320010","","",""
"0","21","","","vo_minigame_1006","32","vo_minigame_1006_top_talk_11_202","1320011","","0",""
"8","11","0","0","113411","32","うん、わかった！\n特大ホームランを\nよろしくねー！\n期待してるよ～！","1320012","0","0","0"
"","93","","","4.6","32","","1320013","","",""
"0","3","0.2","","113411","32","pkb_hatsune_kiran","1320014","0.2","pkb_idle_normal","1"
"","91","","","1320012","32","","1320015","","",""
"1","3","0.2","","113411","32","pkb_idle_normal","1320016","","",""
"100","1","1.6","pkb_idle_normal","1","33","102311","1330001","1","170","-150"
"100","5","55","pkb_idle_normal","2","33","2","1330002","0","-20","-130"
"1","3","0.2","","102311","33","pkb_talk_normal","1330003","","",""
"0","21","","","vo_minigame_1006","33","vo_minigame_1006_top_talk_12_401","1330004","","0",""
"8","11","0","-0.5","102311","33","声出し練習やろうよ！\n「ぷうきち\nフルスイング」って\n大声で百回～！","1330005","0","0","0"
"","93","","","1.6","33","","1330006","","",""
"0","3","0.2","","102311","33","pkb_talk_yell","1330007","0.2","pkb_talk_joy1","1"
"","91","","","1330005","33","","1330008","","",""
"1","3","0.2","","102311","33","pkb_idle_normal","1330009","","",""
"0","21","","","vo_minigame_1006","33","vo_minigame_1006_top_talk_12_802","1330010","","0",""
"8","11","0","0","2","33","ぷ、ぷうきち\nフルスイーング！\n…これはこれで\nキツい練習だな","1330011","0","0","0"
"","93","","","0.5","33","","1330012","","",""
"0","3","0.2","","2","33","pkb_talk_yell","1330013","","",""
