58b95b7ee8716f78d84ae8b74eb284ae34451d191e7de6bef6206a9fe619af58,0f2cda16bf388e69dcea3138f0c924cdd03eb0f62c68e358d4dea5aca5a6ced7,6bf1530a928908354a652c3f350a0ff6e3f7d158ad742e5cefd043ecf7ee1076,54e6faa2100f99e0eb1a54b0c90dfb99d94457f7010bba5ff05979192b7e4c0e,3e0a37ececeb0e91fb83b85a66ffc803392de183389b140113ebf3ad9dcc0f94,93f68d2211616d394a94ba9ca1eee99e3664b74421a5273fb88fbbbc887b6ccc
"111","204","1","803100257","2145078","300308"
"112","205","1","803100257","2145079","300309"
"100","104","0","803100257","2145080","300310"
"101","107","0","803100258","2145081","300311"
"101","107","0","803100258","2145082","300312"
"113","202","1","803100258","2145083","300313"
"114","203","1","803100258","2145084","300314"
"100","104","0","803100258","2145085","300315"
"101","107","0","803100258","2145086","300316"
"111","204","1","803100258","2145087","300317"
"112","205","1","803100258","2145088","300318"
"100","104","0","803100258","2145089","300319"
"101","107","0","803100258","2145090","300320"
"100","104","0","803100259","2145091","300321"
"101","107","0","803100259","2145092","300322"
"113","202","1","803100259","2145093","300323"
"112","208","1","803100259","2145094","300324"
"100","104","0","803100259","2145095","300325"
"101","107","0","803100259","2145096","300326"
"111","204","1","803100259","2145097","300327"
"112","205","1","803100259","2145098","300328"
"102","105","0","803100260","2146011","300401"
"102","105","0","803100260","2146012","300402"
"113","202","1","803100260","2146013","300403"
"114","203","1","803100260","2146014","300404"
"102","105","0","803100260","2146015","300405"
"113","202","1","803100260","2146016","300406"
"114","203","1","803100260","2146017","300407"
"102","105","0","803100260","2146018","300408"
"102","105","0","803100260","2146019","300409"
"102","105","0","803100260","2146020","300410"
"102","105","0","803100261","2146021","300411"
"113","202","1","803100261","2146022","300412"
"114","203","1","803100261","2146023","300413"
"102","105","0","803100261","2146024","300414"
"113","202","1","803100261","2146025","300415"
"114","203","1","803100261","2146026","300416"
"102","105","0","803100261","2146027","300417"
"102","105","0","803100261","2146028","300418"
"113","202","1","803100261","2146029","300419"
"113","202","1","803100261","2146030","300420"
"113","202","1","803100262","2146031","300421"
"114","203","1","803100262","2146032","300422"
"102","105","0","803100262","2146033","300423"
"112","208","1","803100262","2146034","300424"
"110","212","1","803100262","2146035","300425"
"113","202","1","803100262","2146036","300426"
"113","202","1","803100262","2146037","300427"
"102","105","0","803100262","2146038","300428"
"100","104","0","803100264","2146051","300501"
"100","104","0","803100264","2146052","300502"
"100","104","0","803100264","2146053","300503"
"100","104","0","803100264","2146054","300504"
"102","105","0","803100264","2146055","300505"
"103","106","0","803100264","2146056","300506"
"100","104","0","803100264","2146057","300507"
"100","104","0","803100264","2146058","300508"
"102","105","0","803100264","2146059","300509"
"103","106","0","803100264","2146060","300510"
"100","104","0","803100265","2146061","300511"
"100","104","0","803100265","2146062","300512"
"100","104","0","803100265","2146063","300513"
"100","104","0","803100265","2146064","300514"
"102","105","0","803100265","2146065","300515"
"103","106","0","803100265","2146066","300516"
"100","104","0","803100265","2146067","300517"
"100","104","0","803100265","2146068","300518"
"102","105","0","803100265","2146069","300519"
"103","106","0","803100265","2146070","300520"
"100","104","0","803100266","2146071","300521"
"100","104","0","803100266","2146072","300522"
"113","202","1","803100266","2146073","300523"
"114","203","1","803100266","2146074","300524"
"100","104","0","803100266","2146075","300525"
"112","208","1","803100266","2146076","300526"
"110","212","1","803100266","2146077","300527"
"113","202","1","803100266","2146078","300528"
"114","203","1","803100266","2146079","300529"
"100","104","0","803100266","2146080","300530"
"114","203","1","803100268","2146091","300601"
"113","202","1","803100268","2146092","300602"
"102","105","0","803100268","2146093","300603"
"114","203","1","803100268","2146094","300604"
"103","106","0","803100268","2146095","300605"
"114","203","1","803100268","2146096","300606"
"111","204","1","803100268","2146097","300607"
"114","203","1","803100268","2146098","300608"
"113","202","1","803100268","2146099","300609"
"102","105","0","803100268","2146100","300610"
"114","203","1","803100269","2147011","300611"
"103","106","0","803100269","2147012","300612"
"114","203","1","803100269","2147013","300613"
"111","204","1","803100269","2147014","300614"
"110","212","1","803100269","2147015","300615"
"114","203","1","803100269","2147016","300616"
"102","105","0","803100269","2147017","300617"
"103","106","0","803100269","2147018","300618"
"111","204","1","803100270","2147021","300701"
"100","104","0","803100270","2147022","300702"
"101","107","0","803100270","2147023","300703"
"113","202","1","803100270","2147024","300704"
"114","203","1","803100270","2147025","300705"
"102","105","0","803100270","2147026","300706"
"112","205","1","803100270","2147027","300707"
"111","204","1","803100270","2147028","300708"
"100","104","0","803100270","2147029","300709"
"101","107","0","803100270","2147030","300710"
"113","202","1","803100271","2147031","300711"
"114","203","1","803100271","2147032","300712"
"102","105","0","803100271","2147033","300713"
"112","205","1","803100271","2147034","300714"
"107","110","0","803100271","2147035","300715"
"111","204","1","803100271","2147036","300716"
"100","104","0","803100271","2147037","300717"
"101","107","0","803100271","2147038","300718"
