16e8e5118d8fc3910c85e95871755f67f6c9ef2c139d2a476041635f7465800c,7e2b431af68a45b6f5fc3d50757a725b0a1264f8a170ba2413a5e3dc08468a78,3bc455a2fe050a8a15e7d6b0722c2ef877247e62c00878b3d5ccd4f0b5548c2e,47c96f20b240e98d49791df4d2ce09507b415fde721f5f242812b84ba0f9fa9e,9b3d1ef055e18caa196ad46e962f771d0cd657eb2983d8109b527c75643cc61e,82cf821533a45be8f66cb6b65e05f928a138c86354fcbb428fa4912fb0c8a7f9,c074f7674145542a182738aa3ca847b690f094e992f30789ad0d201edc193469,5698540feb0b4303a7570cbc032a4dbcaef05ad8f0dc3872afea98afaba4fa63,b73d6d561b98263e3dc4b9e890a51aba4a5afb17e80a136ff9cba66eb30b24c5,9383a48b278c16eeef8b54c8338a24fdbeb69ed5da4d2685aa4779b1e4ffcc35,a4791f9028b272cae7adbb7a6c481d4bec7efacb7822bccfa58a2c58fae97a82,8cce57c01df75243f7d07b641352e99166854ed8e35eff363cbae97b386eea8c,59107bc9e2df5febdf72970e988bdb23a872c3b4a0731234b26b1b455e62ee77
"100017","ネフィ＝ネラ","129711","0","0","0","0","バトル開始から1.5秒間、敵の移動速度を\n50％ダウンさせる。","相手の移動速度を大ダウン","2211701","14","0","3"
"101001","ヤマト","130011","0","0","1","0","残りHPが50％以下になった時に発動する。\n３秒間斬撃を飛ばして、大ダメージを与える。","敵に斬撃を飛ばして攻撃する","3110101","0","0","1"
"101002","ワカナ","130111","0","0","1","0","残りHPが70％以下になった時に発動する。\nスパイク・ブラザーズが出現し、敵に衝突\nすると小ダメージを与え、吹き飛ばす。","スパイク・ブラザーズが敵を弾き飛ばす","3110201","0","0","1"
"101003","フブキ","130211","0","0","1","0","バトル開始から３秒後に発動する。\n敵の移動と攻撃を１秒間封じる。","敵の移動と攻撃を１秒間封じる","2110301","0","0","1"
"201010","ペコリーヌ","105811","0","0","1","20101001","最大HPを15％アップさせる。","最大HPをアップ","0","0","0","2"
"201020","キャル","106011","0","0","1","0","バトル開始から３秒間、敵の移動速度を15％\nダウンさせる。","敵の移動速度をダウン","2220201","0","0","2"
"201030","コッコロ","105911","0","0","1","20103001","コスト上限を50％アップさせる。","コスト上限をアップ","0","0","0","2"
"201040","シェフィ","106411","0","0","1","0","移動速度を15％アップさせる。","移動速度をアップ","2220401","0","0","3"
"201050","リリ","131311","0","0","1","20105001","攻撃力を25％アップさせ、移動速度を10％\nアップさせる。","攻撃力と移動速度をアップ","2220501","0","0","2"
"201060","クリア","131411","0","0","1","20106001","最大HPを25％アップさせ、移動速度を10％\nアップさせる。","最大HPと移動速度をアップ","2220601","0","0","2"
"201070","プレシア","131511","0","0","1","20107001","コスト上限を25％アップさせ、移動速度を\n10％アップさせる。","コスト上限と移動速度をアップ","2220701","0","0","2"
"201080","クローチェ","126411","0","0","1","20108001","攻撃力を25％アップさせ、バトル開始から\n３秒間、攻撃速度を15％アップさせる。","攻撃力と攻撃速度をアップ","2220801","0","0","2"
"201090","ライラエル","126511","0","0","1","0","バトル開始から３秒間、攻撃力を25％アップ\nさせる。","攻撃力をアップ","2220901","0","0","3"
"201100","リンド","127711","0","0","1","0","バトル開始から３秒間、攻撃速度を10％アッ\nプさせ、その後、攻撃力を15％アップさせる。","攻撃速度と攻撃力をアップ","2221001","0","0","2"
"201110","ヴルム","127811","0","0","1","0","バトル開始から３秒間、自分の攻撃速度を10\n％ダウンさせ、その後、敵の攻撃力を15％ダ\nウンさせる。","自分の攻撃速度と敵の攻撃力をダウン","2221101","0","0","2"
"201120","クルル","130911","0","0","1","20112001","コスト上限を25％アップさせ、HPを50％\nアップさせる。","コスト上限とHPをアップ","0","0","20112002","3"
"201130","アネモネ","129611","0","0","1","0","敵の攻撃力と攻撃速度を10％ダウンさせる。","相手の攻撃力と攻撃速度をダウン","2221301","0","0","2"
"201140","ネフィ＝ネラ","129711","0","0","1","0","バトル開始から1.5秒間、敵の移動速度を\n25％ダウンさせる。","相手の移動速度をダウン","2221401","0","0","3"
"201150","ペコリーヌ","105811","0","0","1","20115001","最大HPを30％アップさせる。","最大HPをアップ","0","0","0","2"
"201160","キャル","106011","0","0","1","0","バトル開始から３秒間、敵の移動速度を20％\nダウンさせる。","敵の移動速度をダウン","2221601","0","0","2"
"201170","コッコロ","105911","0","0","1","20117001","コスト上限を75％アップさせる。","コスト上限をアップ","0","0","0","2"
"201180","シェフィ","106411","0","0","1","0","移動速度を20％アップさせる。","移動速度をアップ","2221801","0","0","3"
"201190","リリ","131311","0","0","1","20119001","攻撃力を50％アップさせ、移動速度を15％\nアップさせる。","攻撃力と移動速度をアップ","2221901","0","0","2"
"201200","クリア","131411","0","0","1","20120001","最大HPを50％アップさせ、移動速度を15％\nアップさせる。","最大HPと移動速度をアップ","2222001","0","0","2"
"201210","プレシア","131511","0","0","1","20121001","コスト上限を30％アップさせ、移動速度を\n15％アップさせる。","コスト上限と移動速度をアップ","2222101","0","0","2"
"201220","クローチェ","126411","0","0","1","20122001","攻撃力を50％アップさせ、バトル開始から\n３秒間、攻撃速度を20％アップさせる。","攻撃力と攻撃速度をアップ","2222201","0","0","2"
"201230","ライラエル","126511","0","0","1","0","バトル開始から３秒間、攻撃力を30％アップ\nさせる。","攻撃力をアップ","2222301","0","0","3"
"201240","リンド","127711","0","0","1","0","バトル開始から３秒間、攻撃速度を15％アッ\nプさせ、その後、攻撃力を20％アップさせる。","攻撃速度と攻撃力をアップ","2222401","0","0","2"
"201250","ヴルム","127811","0","0","1","0","バトル開始から３秒間、自分の攻撃速度を10\n％ダウンさせ、その後、敵の攻撃力を20％ダ\nウンさせる。","自分の攻撃速度と敵の攻撃力をダウン","2222501","0","0","2"
"201260","クルル","130911","0","0","1","20126001","コスト上限を30％アップさせ、HPを50％\nアップさせる。","コスト上限とHPをアップ","0","0","20126002","3"
"201270","アネモネ","129611","0","0","1","0","敵の攻撃力と攻撃速度を15％ダウンさせる。","相手の攻撃力と攻撃速度をダウン","2222701","0","0","2"
"201280","ネフィ＝ネラ","129711","0","0","1","0","バトル開始から1.5秒間、敵の移動速度を\n35％ダウンさせる。","相手の移動速度をダウン","2222801","0","0","3"
"201290","リリ","131311","0","0","1","20129001","攻撃力を50％アップさせ、移動速度を20％\nアップさせる。","攻撃力と移動速度をアップ","2222901","0","0","2"
"201300","リンド","127711","0","0","1","0","バトル開始から３秒間、攻撃速度を20％アッ\nプさせ、その後、攻撃力を50％アップさせる。","攻撃速度と攻撃力をアップ","2223001","0","0","2"
"201310","ペコリーヌ","105811","0","0","1","20131001","最大HPを50％アップさせる。","最大HPをアップ","0","0","0","2"
"201320","キャル","106011","0","0","1","0","バトル開始から３秒間、敵の移動速度を25％\nダウンさせる。","敵の移動速度をダウン","2223201","0","0","2"
"201330","コッコロ","105911","0","0","1","20133001","コスト上限を100％アップさせる。","コスト上限をアップ","0","0","0","2"
"201340","シェフィ","106411","0","0","1","0","移動速度を25％アップさせる。","移動速度をアップ","2223401","0","0","3"
"201350","リリ","131311","0","0","1","20135001","攻撃力を50％アップさせ、移動速度を20％\nアップさせる。","攻撃力と移動速度をアップ","2223501","0","0","2"
"201360","クリア","131411","0","0","1","20136001","最大HPを50％アップさせ、移動速度を20％\nアップさせる。","最大HPと移動速度をアップ","2223601","0","0","2"
"201370","プレシア","131511","0","0","1","20137001","コスト上限を50％アップさせ、移動速度を\n20％アップさせる。","コスト上限と移動速度をアップ","2223701","0","0","2"
"201380","クローチェ","126411","0","0","1","20138001","攻撃力を50％アップさせ、バトル開始から\n３秒間、攻撃速度を25％アップさせる。","攻撃力と攻撃速度をアップ","2223801","0","0","2"
"201390","ライラエル","126511","0","0","1","0","バトル開始から３秒間、攻撃力を35％アップ\nさせる。","攻撃力をアップ","2223901","0","0","3"
"201400","リンド","127711","0","0","1","0","バトル開始から３秒間、攻撃速度を20％アッ\nプさせ、その後、攻撃力を25％アップさせる。","攻撃速度と攻撃力をアップ","2224001","0","0","2"
"201410","ヴルム","127811","0","0","1","0","バトル開始から３秒間、自分の攻撃速度を10\n％ダウンさせ、その後、敵の攻撃力を25％ダ\nウンさせる。","自分の攻撃速度と敵の攻撃力をダウン","2224101","0","0","2"
"201420","クルル","130911","0","0","1","20142001","コスト上限を50％アップさせ、HPを50％\nアップさせる。","コスト上限とHPをアップ","0","0","20142002","3"
"201430","アネモネ","129611","0","0","1","0","敵の攻撃力と攻撃速度を20％ダウンさせる。","相手の攻撃力と攻撃速度をダウン","2224301","0","0","2"
"201440","ネフィ＝ネラ","129711","0","0","1","0","バトル開始から1.5秒間、敵の移動速度を\n75％ダウンさせる。","相手の移動速度をダウン","2224401","0","0","3"
"201450","ペコリーヌ","105811","0","0","1","20145001","最大HPを100％アップさせる。","最大HPをアップ","0","0","0","2"
"201460","コッコロ","105911","0","0","1","20146001","コスト上限を100％アップさせる。","コスト上限をアップ","0","0","0","2"
"201470","リリ","131311","0","0","1","20147001","攻撃力を75％アップさせ、移動速度を30％\nアップさせる。","攻撃力と移動速度をアップ","2224701","0","0","2"
"201480","ライラエル","126511","0","0","1","0","バトル開始から３秒間、攻撃力を75％アップ\nさせる。","攻撃力をアップ","2224801","0","0","3"
"201490","ネフィ＝ネラ","129711","0","0","1","0","バトル開始から1.5秒間、敵の移動速度を\n90％ダウンさせる。","相手の移動速度をダウン","2224901","0","0","3"
"201500","ペコリーヌ","105811","0","0","1","20150001","最大HPを200％アップさせる。","最大HPをアップ","0","0","0","2"
