9afc10fe5d3bf548f164df7d91bb0e578c50c311f5846af05bb5210b19febe66,de6f6a10efd93e280b3e9834a2bd281b96e5cec2bf6590d17111614388452c29,e294ecd469e3da63799cb83491ed0128740d9ca45b81eb2419e703ab5b7ce408,829759482770f96673efafd89d5d6ee4685aba0bf66672ec630e61d7d5b59bbb,d5adb6c99e6feff19ba476ce3e38413c32cf22f58b920c849cc66a0d085e4a92,dcbcbf3df9c7598ad520967f259ef114e8ffa29a216e7089e8f4d2dd4b083828
"60000040","3","10011002","4","1","122311"
"60000041","3","10011002","4","1","122312"
"60000042","3","10011002","4","1","122341"
"60000043","3","10011002","4","1","122342"
"60000044","3","10011002","4","1","122371"
"60000045","3","10011002","4","1","122372"
"60000046","3","10011002","4","1","122401"
"60000047","3","10011002","4","1","122431"
"60000048","3","10011002","4","1","122432"
"60000049","3","10011002","4","1","122491"
"60000050","3","10011002","4","1","122493"
"60000051","3","10011002","4","1","122521"
"60000052","3","10011002","4","1","122613"
"60000053","3","10011002","4","1","122614"
"60000054","2","10011003","4","1","113011"
"60000055","2","10011003","4","1","113012"
"60000056","2","10011003","4","1","113013"
"60000057","2","10011003","4","1","113071"
"60000058","2","10011003","4","1","113101"
"60000059","2","10011003","4","1","113131"
"60000060","2","10011003","4","1","113162"
"60000061","2","10011003","4","1","113191"
"60000062","2","10011003","4","1","113221"
"60000063","2","10011003","4","1","113222"
"60000064","2","10011003","4","1","113252"
"60000065","3","10011003","4","1","113283"
"60000066","3","10011003","4","1","113342"
"60000067","3","10011003","4","1","113372"
"60000068","3","10011003","4","1","113401"
"60000069","3","10011003","4","1","113431"
"60000070","3","10011003","4","1","113521"
"60000071","3","10011003","4","1","113522"
"60000072","3","10011003","4","1","113551"
"60000073","3","10011003","4","1","113552"
"60000074","3","10011003","4","1","113553"
"60000075","3","10011003","4","1","113581"
"60000076","3","10011003","4","1","113611"
"60000077","3","10011003","4","1","113614"
"60000078","2","10011003","4","1","123041"
"60000079","2","10011003","4","1","123042"
"60000080","2","10011003","4","1","123072"
"60000081","2","10011003","4","1","123132"
"60000082","2","10011003","4","1","123161"
"60000083","2","10011003","4","1","123192"
"60000084","2","10011003","4","1","123193"
"60000085","2","10011003","4","1","123251"
"60000086","3","10011003","4","1","123281"
"60000087","3","10011003","4","1","123282"
"60000088","3","10011003","4","1","123311"
"60000089","3","10011003","4","1","123341"
"60000090","3","10011003","4","1","123343"
"60000091","3","10011003","4","1","123371"
"60000092","3","10011003","4","1","123432"
"60000093","3","10011003","4","1","123461"
"60000094","3","10011003","4","1","123491"
"60000095","3","10011003","4","1","123582"
"60000096","3","10011003","4","1","123583"
"60000097","3","10011003","4","1","123612"
"60000098","2","10011004","4","1","114011"
"60000099","2","10011004","4","1","114012"
"60000100","2","10011004","4","1","114041"
"60000101","2","10011004","4","1","114072"
"60000102","2","10011004","4","1","114102"
"60000103","2","10011004","4","1","114132"
"60000104","2","10011004","4","1","114162"
"60000105","2","10011004","4","1","114191"
"60000106","2","10011004","4","1","114221"
"60000107","2","10011004","4","1","114222"
"60000108","2","10011004","4","1","114252"
"60000109","3","10011004","4","1","114281"
"60000110","3","10011004","4","1","114282"
"60000111","3","10011004","4","1","114312"
"60000112","3","10011004","4","1","114341"
"60000113","3","10011004","4","1","114371"
"60000114","3","10011004","4","1","114372"
"60000115","3","10011004","4","1","114432"
"60000116","3","10011004","4","1","114461"
"60000117","3","10011004","4","1","114522"
"60000118","3","10011004","4","1","114551"
"60000119","3","10011004","4","1","114581"
"60000120","2","10011004","4","1","114611"
"60000121","2","10011004","4","1","124042"
"60000122","2","10011004","4","1","124071"
"60000123","2","10011004","4","1","124101"
"60000124","2","10011004","4","1","124131"
"60000125","2","10011004","4","1","124161"
"60000126","2","10011004","4","1","124192"
"60000127","2","10011004","4","1","124251"
"60000128","3","10011004","4","1","124311"
"60000129","3","10011004","4","1","124342"
"60000130","3","10011004","4","1","124401"
"60000131","3","10011004","4","1","124431"
"60000132","3","10011004","4","1","124491"
"60000133","3","10011004","4","1","124521"
"60000134","100","10012098","2","1","31012"
"60000135","100","10012099","2","1","31038"
"62001045","100","62001045","2","1","60001"
"62001046","100","62001046","2","3","60002"
