bc8fa222c07e502f59a514ce664b92e7f8e9d7634760becae33840b7970bfc1c,9c8dc1e7f9ddf675cd39556dd5ea7c95092d2e5062112f00525fa982a811f4b8,5d4b98df73822c7dfb68684a2492d556708dce71ef4d444b91503d889f75a267,4265b00184ba17572caf3f3afb9f1d8f4543f31219b9d8217a4dbbbdaad2a7a2,5ec144713ad706f3bf85143b8f9604b3ed022d47bdc35a5dd1cc6162c36b8fc7,2a62f559d6b01873a939728495c8cea77d0b9acac2c8c926f24ed7e0ac0e6540,c394a259807757dfbb6dc6d85b032884a2ff58e5e2df0a054c69955e3d754f22
"318300","0","-27","1.1","1.1","1014101","81011401"
"318300","0","-27","1.1","1.1","1014102","81011402"
"318300","0","-27","1.1","1.1","1014103","81011402"
"320900","0","-10","1","1","1014201","100371"
"320900","0","-10","1","1","1014202","100381"
"320900","0","-10","1","1","1014203","100381"
"318800","0","0","1.18","1.18","1014301","102091"
"318800","0","0","1.18","1.18","1014302","102111"
"318800","0","0","1.18","1.18","1014303","102111"
"321100","0","-10","0.75","0.75","1014401","100021"
"321100","0","-10","0.75","0.75","1014402","100691"
"321100","0","-10","0.75","0.75","1014403","100691"
"319100","0","-25","1.1","1.1","1014501","81011801"
"319100","0","-25","1.1","1.1","1014502","81011802"
"319100","0","-25","1.1","1.1","1014503","81011802"
"321200","0","-25","0.85","0.85","1014601","81014601"
"321200","0","-25","0.85","0.85","1014602","81014602"
"321200","0","-25","0.85","0.85","1014603","81014602"
"318900","0","-17","1.1","1.1","1014701","81012001"
"318900","0","-17","1.1","1.1","1014702","81012002"
"318900","0","-17","1.1","1.1","1014703","81012002"
"321300","0","-30","1.1","1.1","1014801","81014801"
"321300","0","-30","1.1","1.1","1014802","81014802"
"321300","0","-30","1.1","1.1","1014803","81014802"
"319000","0","0","1.4","1.4","1014901","81012207"
"319000","0","0","1.4","1.4","1014902","81012208"
"319000","0","0","1.4","1.4","1014903","81012208"
"321400","0","-10","0.91","0.91","1015001","81015001"
"321400","0","-10","0.91","0.91","1015002","81015001"
"321400","0","-10","0.91","0.91","1015003","81015001"
"319300","0","-55","0.77","0.77","1015101","103051"
"319300","0","-55","0.77","0.77","1015102","102601"
"319300","0","-55","0.77","0.77","1015103","102601"
"321700","-20","0","0.61","0.61","1015201","81015201"
"321700","-20","0","0.61","0.61","1015202","81015202"
"321700","-20","0","0.61","0.61","1015203","81015202"
"307400","0","0","1","1","1015301","81001705"
"307400","0","0","1","1","1015302","81001706"
"307400","0","0","1","1","1015303","81001706"
"321800","0","-10","1","1","1015401","100051"
"321800","0","-10","1","1","1015402","100931"
"321800","0","-10","1","1","1015403","100931"
"319500","0","-30","1.18","1.18","1015501","103311"
"319500","0","-30","1.18","1.18","1015502","103321"
"319500","0","-30","1.18","1.18","1015503","103321"
"322100","0","13","0.73","0.73","1015601","81015601"
"322100","0","13","0.73","0.73","1015602","81015602"
"322100","0","13","0.73","0.73","1015603","81015602"
"320000","0","0","1.5","1.5","1015701","101111"
"320000","0","0","1.5","1.5","1015702","101131"
"320000","0","0","1.5","1.5","1015703","101131"
"322200","0","-10","1.5","1.5","1015801","81003006"
"322200","0","-10","1.5","1.5","1015802","81008002"
"322200","0","-10","1.5","1.5","1015803","81008002"
"313702","0","0","1","1","1015901","81011401"
"313702","0","0","1","1","1015902","81013002"
"313702","0","0","1","1","1015903","81013002"
