c6d073702ec787ae219de9c6cceb081dc344ad5f7354a3b213bf70288169ac5a,f903f6e06a9d087a68fc66293c461149062e521473ea6f23bc492691e004ff8e,38d0532ac2c864c78a858cd67a8d9414930210afff01de28b6c7d11afbf8a1d3,fff7743c4a0865b2b8ce262c6d598d0c02efa6770a0fc2aa6db3b7db7fcc3387,578a2eef26bb8fc7f44239baafef8216fe15ee5fcb3eb5aa9413f54fe9acf8b7,8a0ba5091f304fe3d29e2c6665d4b649b039318f82a7e27fdf37ad3881978017,a1f92e96425fa937c3e9670a2b47ac1f04f31a1968606c12f35f194d8408a941,f1676ea35b561af7efef3eb6818950d01aecb782123ea76cbae32bac91534e02,cb5e2ba2305f2bbad2ae5f696763ab020fe7409d0a485b68388a17644fd3e623,ae4e5d569a5e0e60a52b6ebaccbc106603af2324de1ddedc82f78d9527107ff4,09d23c8c997b267dc82e58da9f097f4e0aee7862fb7ed2e71b6087ac95984f8d
"","0","top_iroha_run","1","4","2","0","3","0","4014","top_iroha_notice_to_run"
"","","","","4","0.4","","93","","4015","0"
"","","","","4","11","","32","","4016","1"
"","","","","4","11","","37","","4017","smokeR"
"","-130","4.2","0","4","11","","33","","4018","-980"
"","-130","4.2","0","4","2","","2","","4019","-980"
"","","","","4","1.9","","93","","4020","0"
"","0","top_luis_surprise_idle","1","4","1","0.2","3","0","4021","top_luis_surprise_in"
"","","","","4","2.3","","93","","4022","0"
"","","","","4","11","","32","","4023","0"
"","","","","4","1","","93","","4024","0"
"","","","","4","11","","4","","4025","0"
"","130","7","0","4","11","","2","","4026","980"
"","","","","4","1.5","","93","","4027","0"
"","","","","4","11","","32","","4028","1"
"","","","","4","11","","37","","4029","smokeL"
"","-130","5.964","0","4","11","","33","","4030","980"
"","1","","","4","2","0","3","","4031","top_iroha_run_joy"
"","","","","4","2","","4","","4032","0"
"","-130","5.964","0","4","2","","2","","4033","980"
"","","","","4","2.2","","93","","4034","0"
"","1","","","4","1","0","3","","4035","top_luis_surprise_look"
"","","","","4","3.764","","93","","4036","0"
"","1","","","4","1","0.2","3","","4037","top_luis_thinking"
"","","","","4","11","","32","","4038","0"
"","","","","4","2","","93","","4039","0"
"","1","","","4","2","0","3","","4040","top_iroha_walk"
"","","","","4","2","","4","","4041","1"
"","-130","3","0","4","2","","2","","4042","400"
"","-130","3","0","4","11","","33","","4043","400"
"","","","","4","3","","93","","4044","0"
"","0","idle_normal","1","4","2","0.2","3","0","4045","top_iroha_walk_out"
"","","","","4","0.4","","93","","4046","0"
"","0","","","4","2","0.2","3","0.2","4047","top_iroha_sit_in"
"","","","","4","4","","93","","4048","0"
"","","","","4","4007","","101","","4049",""
"top_sono_readPaper","100","350","-130","5","3","1.4","5","1","5001","3"
"top_iroha_read_loop","110","452","-130","5","2","1.4","5","1","5002","2"
"","","","","5","0","","91","","5003","0"
"","1","","","5","2","0.2","3","","5004","top_iroha_read_loop"
"","1","","","5","3","0.2","3","","5005","top_sono_readPaper"
"","","","","5","13.6","","93","","5006","0"
"","0","top_sono_stretch","1","5","3","0.2","3","0","5007","top_sono_sit_out"
"","-130","0.3","0","5","3","","2","","5008","287"
"","","","","5","3.5","","93","","5009","0"
"","1","","","5","3","0.2","3","","5010","top_sono_drink"
"","","","","5","2.6","","93","","5011","0"
"","0","","","5","2","0.4","3","","5012","top_iroha_read_look"
"","","","","5","7.9","","93","","5013","0"
"","0","","","5","3","0.2","3","","5014","top_sono_sit_in"
"","","","","5","0.1","","93","","5015","0"
"","1","","","5","2","0.2","3","","5016","top_iroha_read_loop"
"","-130","0.3","0","5","3","","2","","5017","350"
"","","","","5","2.5","","93","","5018","0"
"","","","","5","5005","","101","","5019",""
"idle_normal","100","-216","-103","6","1","1.4","5","1","6001","1"
"top_sono_readPaper_loop","101","350","-130","6","3","1.38","5","1","6002","3"
"","475","-18","1","6","10","1","31","","6003","10"
"","56","-140","1","6","13","0","31","","6004","13"
"","56","-140","1","6","14","0","31","","6005","14"
"","","","","6","0","","91","","6006","0"
"","1","","","6","3","0.2","3","","6007","top_sono_readPaper_loop"
"","0","top_luis_arm_crossed_idle","1","6","1","0.2","3","0","6008","top_luis_arm_crossed_in"
"","","","","6","4","","93","","6009","0"
"","0","top_luis_approach_idle","1","6","1","0.2","3","0","6010","top_luis_approach_in"
"","","","","6","3.5","","93","","6011","0"
"","1","","","6","1","0.2","3","","6012","top_luis_thinking"
"","","","","6","3.5","","93","","6013","0"
"","1","","","6","1","0.2","3","","6014","top_luis_walk_think"
"","-103","2","0","6","1","","2","","6015","-495"
"","","","","6","2","","93","","6016","0"
"","","","","6","1","","4","","6017","0"
"","-103","2","0","6","1","","2","","6018","-216"
"","","","","6","2","","93","","6019","0"
"","1","","","6","1","0","3","","6020","top_luis_notice"
"","","","","6","1","","93","","6021","0"
"","1","","","6","1","0.2","3","","6022","top_luis_walk_jog"
"","-130","0.5","0","6","1","","2","","6023","-100"
"","","","","6","0.5","","93","","6024","0"
"","","","","6","1","","4","","6025","1"
"","0","top_luis_sit_idle","1","6","1","0.2","3","0","6026","top_luis_sit_in"
"","","","","6","0.1","","93","","6027","0"
"","-140","0.4","0","6","1","","2","","6028","-57"
"","","","","6","0.4","","93","","6029","0"
"","-140","0","0","6","1","","2","","6030","-16"
"","","","","6","1","","4","","6031","0"
"","","","","6","0.6","","93","","6032","0"
"","0","","","6","1","0.2","3","","6033","top_luis_experiment_failer_in"
"","","","","6","2.3","","93","","6034","0"
"","0","","","6","1","0.1","3","","6035","top_luis_experiment_failer_mix"
"","","","","6","2.7","","93","","6036","0"
"","0","top_sono_notice_loop_surprise","1","6","3","0.2","3","0","6037","top_sono_notice_in_surprise"
"","","","","6","13","","32","","6038","1"
"","0","","","6","1","0.1","3","","6039","top_luis_experiment_failer_burst"
"","","","","6","2.7","","93","","6040","0"
"","1","","","6","3","0.2","3","","6041","top_sono_readPaper_loop"
"","0","","","6","1","0.1","3","","6042","top_luis_experiment_failer_out"
"","","","","6","1.1","","93","","6043","0"
"","0","idle_normal","1","6","1","0.2","3","0","6044","top_luis_sit_out"
"","","","","6","1","","4","","6045","1"
"","-140","0","0","6","1","","2","","6046","-57"
"","-130","0.3","0","6","1","","2","","6047","-100"
"","","","","6","1","","93","","6048","0"
"","0","","","6","1","0.2","3","","6049","walk_normal"
"","-103","1","0","6","1","","2","","6050","-216"
"","","","","6","1","","93","","6051","0"
"","0","","","6","1","0.1","3","","6052","idle_normal"
"","","","","6","0.8","","93","","6053","0"
"","","","","6","13","","32","","6054","0"
"","0","top_luis_arm_crossed_idle","1","6","1","0.2","3","0","6055","top_luis_arm_crossed_in"
"","","","","6","4","","93","","6056","0"
"","0","top_luis_approach_idle","1","6","1","0.2","3","0","6057","top_luis_approach_in"
"","","","","6","3.5","","93","","6058","0"
"","1","","","6","1","0.2","3","","6059","top_luis_thinking"
"","","","","6","3.5","","93","","6060","0"
"","1","","","6","1","0.2","3","","6061","top_luis_walk_think"
"","-103","2","0","6","1","","2","","6062","-495"
"","","","","6","2","","93","","6063","0"
"","","","","6","1","","4","","6064","0"
"","-103","2","0","6","1","","2","","6065","-216"
"","","","","6","2","","93","","6066","0"
"","1","","","6","1","0","3","","6067","top_luis_notice"
"","","","","6","1","","93","","6068","0"
"","1","","","6","1","0.2","3","","6069","top_luis_walk_jog"
"","-130","0.5","0","6","1","","2","","6070","-100"
"","","","","6","0.5","","93","","6071","0"
"","","","","6","1","","4","","6072","1"
"","0","top_luis_sit_idle","1","6","1","0.2","3","0","6073","top_luis_sit_in"
"","","","","6","0.1","","93","","6074","0"
"","-140","0.4","0","6","1","","2","","6075","-57"
"","","","","6","0.4","","93","","6076","0"
"","-140","0","0","6","1","","2","","6077","-16"
"","","","","6","1","","4","","6078","0"
"","","","","6","0.6","","93","","6079","0"
"","0","","","6","1","0.2","3","","6080","top_luis_experiment_success_in"
"","","","","6","2.3","","93","","6081","0"
"","0","","","6","1","0.1","3","","6082","top_luis_experiment_success_mix"
"","","","","6","2.7","","93","","6083","0"
"","0","top_sono_notice_loop_dere","1","6","3","0.2","3","0","6084","top_sono_notice_in_dere"
"","","","","6","14","","32","","6085","1"
"","0","","","6","1","0.1","3","","6086","top_luis_experiment_success_burst"
"","","","","6","2.7","","93","","6087","0"
"","1","","","6","3","0.2","3","","6088","top_sono_readPaper_loop"
"","0","","","6","1","0.1","3","","6089","top_luis_experiment_success_out"
"","","","","6","1.1","","93","","6090","0"
"","0","idle_normal","1","6","1","0.2","3","0","6091","top_luis_sit_out"
"","","","","6","1","","4","","6092","1"
"","-140","0","0","6","1","","2","","6093","-57"
"","-130","0.3","0","6","1","","2","","6094","-100"
"","","","","6","1","","93","","6095","0"
"","0","","","6","1","0.2","3","","6096","walk_normal"
"","-103","1","0","6","1","","2","","6097","-216"
"","","","","6","1","","93","","6098","0"
"","0","","","6","1","0.1","3","","6099","idle_normal"
"","","","","6","0.8","","93","","6100","0"
"","","","","6","14","","32","","6101","0"
"","0","0","","6","6008","","101","","6102",""
"idle_normal","100","-216","-103","7","1","1.4","5","1","7001","1"
"top_iroha_read_loop","110","452","-130","7","2","1.43","5","1","7002","2"
"top_sono_readPaper_loop","101","350","-130","7","3","1.38","5","1","7003","3"
"butterfly","111","980","130","7","11","1.4","5","1","7004","11"
"","452","-130","1","7","11","0","31","","7005","11"
"","56","-140","1","7","14","0","31","","7006","14"
"","","","","7","0","","91","","7007","0"
"","1","","","7","2","0.2","3","","7008","top_iroha_read_loop"
"","1","","","7","3","0.2","3","","7009","top_sono_readPaper_loop"
"","0","top_luis_arm_crossed_idle","1","7","1","0.2","3","0","7010","top_luis_arm_crossed_in"
"","","","","7","4","","93","","7011","0"
"","0","top_luis_approach_idle","1","7","1","0.2","3","0","7012","top_luis_approach_in"
"","","","","7","3.5","","93","","7013","0"
"","1","","","7","1","0.2","3","","7014","top_luis_thinking"
"","","","","7","3.5","","93","","7015","0"
"","1","","","7","1","0.2","3","","7016","top_luis_walk_think"
"","-103","2","0","7","1","","2","","7017","-495"
"","","","","7","2","","93","","7018","0"
"","","","","7","1","","4","","7019","0"
"","-103","2","0","7","1","","2","","7020","-216"
"","","","","7","2","","93","","7021","0"
"","1","","","7","1","0","3","","7022","top_luis_notice"
"","","","","7","1","","93","","7023","0"
"","1","","","7","1","0.2","3","","7024","top_luis_walk_jog"
"","-130","0.5","0","7","1","","2","","7025","-100"
"","","","","7","0.5","","93","","7026","0"
"","","","","7","1","","4","","7027","1"
"","0","top_luis_sit_idle","1","7","1","0.2","3","0","7028","top_luis_sit_in"
"","","","","7","0.1","","93","","7029","0"
"","-140","0.4","0","7","1","","2","","7030","-57"
"","","","","7","0.4","","93","","7031","0"
"","-140","0","0","7","1","","2","","7032","-16"
"","","","","7","1","","4","","7033","0"
"","","","","7","0.6","","93","","7034","0"
"","0","","","7","1","0.2","3","","7035","top_luis_experiment_success_in"
"","","","","7","2.3","","93","","7036","0"
"","0","","","7","1","0.1","3","","7037","top_luis_experiment_success_mix"
"","","","","7","2.7","","93","","7038","0"
"","0","top_sono_notice_loop_dere","1","7","3","0.2","3","0","7039","top_sono_notice_in_dere"
"","1","","","7","2","0.2","3","","7040","top_iroha_read_look_light"
"","","","","7","14","","32","","7041","1"
"","0","","","7","1","0.1","3","","7042","top_luis_experiment_success_burst"
"","","","","7","2.7","","93","","7043","0"
"","1","","","7","3","0.2","3","","7044","top_sono_readPaper_loop"
"","1","","","7","2","0.2","3","","7045","top_iroha_read"
"","0","","","7","1","0.1","3","","7046","top_luis_experiment_success_out"
"","","","","7","1.1","","93","","7047","0"
"","0","idle_normal","1","7","1","0.2","3","0","7048","top_luis_sit_out"
"","","","","7","1","","4","","7049","1"
"","-140","0","0","7","1","","2","","7050","-57"
"","-130","0.3","0","7","1","","2","","7051","-100"
"","","","","7","1","","93","","7052","0"
"","0","","","7","1","0.2","3","","7053","walk_normal"
"","-103","1","0","7","1","","2","","7054","-216"
"","","","","7","1","","93","","7055","0"
"","0","","","7","1","0.1","3","","7056","idle_normal"
"","","","","7","0.8","","93","","7057","0"
"","","","","7","14","","32","","7058","0"
"","1","","","7","1","0.2","3","","7059","top_luis_thinking"
"","","","","7","5.1","","93","","7060","0"
"","","","","7","11","","4","","7061","1"
"","130","7","0","7","11","","2","","7062","-980"
"","","","","7","2.5","","93","","7063","0"
"","0","","","7","2","0.2","3","","7064","top_iroha_read_notice"
"","","","","7","0.6","","93","","7065","0"
"","0","top_iroha_run","1","7","2","0","3","0","7066","top_iroha_notice_to_run"
"","","","","7","0.4","","93","","7067","0"
"","","","","7","11","","32","","7068","1"
"","","","","7","11","","37","","7069","smokeR"
"","-130","4.2","0","7","11","","33","","7070","-980"
"","-130","4.2","0","7","2","","2","","7071","-980"
"","","","","7","0.2","","93","","7072","0"
"","0","top_sono_notice_loop_surprise","1","7","3","0.2","3","0","7073","top_sono_notice_in_surprise"
"","","","","7","1.7","","93","","7074","0"
"","0","top_luis_surprise_idle","1","7","1","0.2","3","0","7075","top_luis_surprise_in"
"","","","","7","2.5","","93","","7076","0"
"","","","","7","11","","32","","7077","0"
"","","","","7","1","","93","","7078","0"
"","","","","7","11","","4","","7079","0"
"","130","7","0","7","11","","2","","7080","980"
"","","","","7","1.5","","93","","7081","0"
"","","","","7","11","","32","","7082","1"
"","","","","7","11","","37","","7083","smokeL"
"","-130","5.964","0","7","11","","33","","7084","980"
"","1","","","7","2","0","3","","7085","top_iroha_run_joy"
"","","","","7","2","","4","","7086","0"
"","-130","5.964","0","7","2","","2","","7087","980"
"","","","","7","2.2","","93","","7088","0"
"","1","","","7","1","0","3","","7089","top_luis_surprise_look"
"","","","","7","1.8","","93","","7090","0"
"","1","","","7","3","0","3","","7091","top_sono_notice_loop_look"
"","","","","7","1.964","","93","","7092","0"
"","","","","7","11","","32","","7093","0"
"","","","","7","0.5","","93","","7094","0"
"","1","","","7","1","0.2","3","","7095","top_luis_thinking"
"","","","","7","1.5","","93","","7096","0"
"","1","","","7","2","0","3","","7097","top_iroha_walk"
"","","","","7","2","","4","","7098","1"
"","-130","0","0","7","2","","2","","7099","1032"
"","-130","0","0","7","11","","33","","7100","1032"
"","-130","3","0","7","2","","2","","7101","452"
"","-130","3","0","7","11","","33","","7102","452"
"","","","","7","3","","93","","7103","0"
"","0","idle_normal","1","7","2","0.2","3","0","7104","top_iroha_walk_out"
"","","","","7","0.4","","93","","7105","0"
"","0","top_iroha_read_loop","1","7","2","0.2","3","0.2","7106","top_iroha_sit_in"
"","1","","","7","3","0.2","3","","7107","top_sono_readPaper"
"","","","","7","4","","93","","7108","0"
"","","","","7","9.6","","93","","7109","0"
"","0","top_sono_stretch","1","7","3","0.2","3","0","7110","top_sono_sit_out"
"","-130","0.3","0","7","3","","2","","7111","287"
"","","","","7","3.5","","93","","7112","0"
"","1","","","7","3","0.2","3","","7113","top_sono_drink"
"","","","","7","2.6","","93","","7114","0"
"","0","","","7","2","0.4","3","","7115","top_iroha_read_look"
"","","","","7","3.5","","93","","7116","0"
"","1","","","7","1","0.2","3","","7117","top_luis_thinking_look"
"","","","","7","2.9","","93","","7118","0"
"","1","","","7","1","0.2","3","","7119","top_luis_thinking"
"","","","","7","1.5","","93","","7120","0"
"","0","","","7","3","0.2","3","","7121","top_sono_sit_in"
"","","","","7","0.1","","93","","7122","0"
"","1","","","7","2","0.2","3","","7123","top_iroha_read_loop"
"","-130","0.3","0","7","3","","2","","7124","350"
"","","","","7","2.5","","93","","7125","0"
"","1","","","7","3","0.2","3","","7126","top_sono_readPaper_loop"
"","","","","7","1","","93","","7127","0"
"","","","","7","7012","","101","","7128",""
"fantasize_all","101","-16","-140","8","1","1.4","5","0","8001","1"
"empty","100","980","-130","8","3","1.38","5","1","8002","3"
"fantasize_all","102","-16","-140","8","15","1","5","0","8003","15"
"","27","-140","1","8","11","0","31","","8004","11"
"","0","0","1","8","15","0","31","","8005","15"
"","","","","8","0","","91","","8006","0"
"","0","fantasize_3","1","8","1","0.2","3","0","8007","fantasize_all"
"","0","fantasize_3","1","8","15","0.2","3","0","8008","fantasize_all"
"","","","","8","2","","93","","8009","0"
"","0","","","8","se_alces","","23","","8010","se_alces_fantasy1"
"","","","","8","10","","93","","8011","0"
"","1","","","8","3","0.2","3","","8012","walk"
"","-130","3","0","8","3","","2","","8013","350"
"","","","","8","3","","93","","8014","0"
"","0","","","8","3","0.2","3","","8015","sono_notice_in_anger2"
"","","","","8","1.5","","93","","8016","0"
"","0","idle_normal","1","8","3","0.2","3","0","8017","kohon"
"","","","","8","0.6","","93","","8018","0"
"","0","","","8","se_alces","","23","","8019","se_alces_fantasy2"
"","0","","","8","15","0","3","","8020","fantasize_out"
"","","","","8","15","","32","","8021","1"
"","0","","","8","1","0.2","3","","8022","fantasize_3_surprise"
"","","","","8","1.5","","93","","8023","0"
"","0","","","8","1","0.2","3","","8024","fantasize_sit_out"
"","-140","0.3","0","8","1","","2","","8025","27"
"","","","","8","0.8","","93","","8026","0"
"","0","fantasize_armcrossed_idle","1","8","1","0.2","3","0","8027","fantasize_armcrossed_in"
"","","","","8","0.5","","93","","8028","0"
"","1","","","8","3","0.2","3","","8029","idle_surprise"
"","","","","8","1.5","","93","","8030","0"
"","0","","","8","se_alces","","23","","8031","se_alces_run"
"","1","","","8","1","0","3","","8032","fantasize_run"
"","-140","1.5","0","8","1","","2","","8033","1080"
"","","","","8","11","","32","","8034","1"
"","-140","1.5","0","8","11","","33","","8035","1080"
"","","","","8","0.5","","93","","8036","0"
"","0","lookback_idle","1","8","3","0.2","3","0","8037","lookback_in"
"","","","","8","1.8","","93","","8038","0"
"","0","","","8","se_alces","","23","","8039","se_alces_sweat"
"walk_jog_Ex3_shy","101","560","-140","9","1","1.4","5","1","9001","1"
"empty","100","147","-114","9","1","1.4","5","1","9002","2"
"","147","-114","1","9","16","0","31","","9003","16"
"","147","-114","1","9","17","0","31","","9004","17"
"","","","","9","0","","91","","9005","0"
"","1","","","9","1","0.2","3","","9006","walk_jog_Ex3_shy"
"","-140","1.2","0","9","1","","2","","9007","270"
"","","","","9","1.2","","93","","9008","0"
"","1","","","9","1","0.2","3","","9009","idle_normal_Ex0003_shy"
"","","","","9","0.3","","93","","9010","0"
"","0","","","9","1","0.2","3","","9011","lookAround"
"","","","","9","2.7","","93","","9012","0"
"","1","","","9","1","0.2","3","","9013","walk_jog_anger_shy"
"","-114","0.7","0","9","1","","2","","9014","147"
"","","","","9","0.7","","93","","9015","0"
"","0","crouch_search_read_idle","1","9","1","0","3","0","9016","crouch_search_read_F"
"","0","","","9","2","0","3","","9017","crouch_search_read_B"
"","","","","9","0.9","","93","","9018","0"
"","0","","","9","se_alces","","23","","9019","se_alces_book_take"
"","","","","9","5.2","","93","","9020","0"
"","0","","","9","se_alces","","23","","9021","se_alces_book_open"
"","","","","9","0.5","","93","","9022","0"
"","0","","","9","se_alces","","23","","9023","se_alces_steam"
"","","","","9","17","","32","","9024","1"
"","","","","9","6.2","","93","","9025","0"
"","","","","9","16","","32","","9026","1"
"iroha_sleep","100","400","-130","10","2","1.4","5","0","10001","2"
"iroha_sleep","101","400","-130","10","12","1.4","5","0","10002","12"
"empty","101","400","-130","10","10","1.4","5","0","10003","10"
