b7968b48ff10178784c3069845e1600c3153d6c2adc849cb8e83e813c2d538ec,085e87263942486551a2b7122d70c1171b59a5035c280f4ca9de643776b71af6,9d69ee5a40817ba20b3087cb18493047d230391fb0a0642633dea40ff7953df9,4c9cc4490af769792cd34be74c36dd09ae82fb96f940bba18ec89911f85af4f8,1b7348d4f730cc5c89d5f1d6c4a8331e684a1ebeb6f671e0aae8a8ee827023e8
"159","159","3","57","43"
"160","160","3","88","46"
"161","161","3","35","39"
"162","162","3","35","90"
"163","163","3","60","46"
"164","164","3","91","79"
"165","165","3","33","41"
"166","166","3","33","88"
"167","167","3","85","43"
"168","168","3","60","83"
"169","169","3","36","36"
"170","170","3","36","93"
"171","171","3","86","83"
"172","172","3","60","50"
"173","173","3","42","28"
"174","174","3","42","101"
"175","175","3","88","50"
"176","176","3","66","75"
"177","177","3","38","32"
"178","178","3","38","97"
"179","179","3","63","93"
"180","180","3","86","43"
"181","181","4","40","24"
"182","182","4","40","107"
"183","183","4","61","87"
"184","184","4","86","54"
"185","185","4","40","35"
"186","186","4","40","94"
"187","187","4","65","42"
"188","188","4","86","71"
"189","189","4","41","28"
"190","190","4","41","101"
"191","191","4","65","55"
"192","192","4","86","61"
"193","193","4","43","26"
"194","194","4","43","107"
"195","195","4","86","61"
"196","196","4","68","71"
"197","197","4","46","35"
"198","198","4","46","94"
"199","199","4","71","82"
"200","200","4","91","59"
"201","201","4","102","58"
"202","202","4","41","26"
"203","203","4","41","104"
"204","204","4","60","48"
"205","205","4","80","71"
"206","206","4","102","58"
"207","207","4","40","35"
"208","208","4","40","94"
"209","209","4","80","78"
"210","210","4","65","45"
"211","211","4","102","58"
"212","212","4","46","29"
"213","213","4","46","100"
"214","214","4","65","80"
"215","215","4","75","45"
"216","216","4","102","58"
"217","217","4","41","29"
"218","218","4","41","105"
"219","219","4","83","57"
"220","220","4","65","45"
"221","221","4","102","58"
"222","222","4","46","32"
"223","223","4","46","97"
"224","224","4","62","68"
"225","225","4","86","74"
"226","226","4","41","32"
"227","227","4","41","104"
"228","228","4","65","42"
"229","229","4","86","57"
"230","230","4","73","78"
"231","231","4","40","24"
"232","232","4","40","110"
"233","233","4","58","44"
"234","234","4","71","81"
"235","235","4","93","57"
"236","236","4","40","42"
"237","237","4","40","97"
"238","238","4","61","65"
"239","239","4","83","75"
"240","240","4","77","46"
"241","241","4","41","41"
"242","242","4","41","105"
"243","243","4","71","48"
"244","244","4","91","58"
"245","245","4","61","88"
"246","246","4","41","31"
"247","247","4","41","97"
"248","248","4","74","45"
"249","249","4","65","81"
"250","250","4","86","72"
"251","251","5","30","47"
"252","252","5","30","88"
"253","253","5","52","85"
"254","254","5","70","79"
"255","255","5","32","39"
"256","256","5","32","99"
"257","257","5","90","50"
"258","258","5","60","85"
"259","259","5","35","38"
"260","260","5","35","100"
"261","261","5","64","52"
"262","262","5","52","81"
"263","263","5","31","44"
"264","264","5","31","91"
"265","265","5","50","58"
"266","266","5","62","79"
"267","267","5","30","47"
"268","268","5","30","88"
"269","269","5","71","50"
"270","270","5","54","82"
"271","271","5","35","38"
"272","272","5","35","97"
"273","273","5","70","50"
"274","274","5","55","70"
"275","275","5","95","50"
"276","276","5","30","46"
"277","277","5","30","89"
"278","278","5","50","49"
"279","279","5","70","66"
"280","280","5","60","86"
"281","281","5","31","44"
"282","282","5","31","91"
"283","283","5","75","73"
"284","284","5","65","85"
"285","285","5","48","50"
"286","286","5","31","41"
"287","287","5","31","94"
"288","288","5","90","50"
"289","289","5","65","86"
"290","290","5","50","68"
"291","291","5","31","46"
"292","292","5","31","89"
"293","293","5","60","59"
"294","294","5","47","70"
"295","295","5","75","69"
"296","296","5","32","44"
"297","297","5","32","88"
"298","298","5","90","52"
"299","299","5","52","58"
"300","300","5","72","83"
"301","301","5","33","41"
"302","302","5","33","96"
"303","303","5","65","50"
"304","304","5","80","63"
"305","305","5","52","81"
"306","306","5","30","44"
"307","307","5","30","91"
"308","308","5","45","54"
"309","309","5","67","62"
"310","310","5","55","83"
"311","311","5","30","50"
"312","312","5","30","85"
"313","313","5","56","50"
"314","314","5","90","63"
"315","315","5","67","82"
"316","316","5","30","46"
"317","317","5","30","91"
"318","318","5","60","68"
"319","319","5","48","82"
"320","320","5","75","83"
"321","321","2","59","98"
"322","322","2","58","26"
"323","323","2","72","107"
"324","324","2","61","83"
"325","325","2","63","65"
"326","326","2","58","33"
"327","327","2","57","57"
"328","328","2","72","107"
"329","329","2","57","39"
"330","330","2","55","92"
