c248d64dd7d4247581c11ec092b0f1237746f9922232732379edea13f9550636,b6150a5d1d3669869a2b8009364e424b0a7c94ee9127223c24d32d7e5ba9408f,019db70e3b0d15938a81f6be63b84c112463740658a54a6e42e9bbd550976874,5411bcef4ca9b6ca750a342d08c18a5437c7ea94efcc8fd8a4085d6276a8ed8b,10c98c9203eaa71b7fd0bc1b544fce4c3d9c377b3a56a14271af00b3071e7e1b,a2f60fafbc5fa9f461e2752b0e697e26b6c9fca1e8738d25d9bd855852d107c5,fc379d987e8ea043a28d74b44e35be1d6902cbd3ded49bab650888f3e9e052e4,0be86d70380216990a5c6b6c7102a7645b4fd0c786e0731cace8fbcc1df932ea,6dcd13ab651bc0f44e69b992f35ec95401b91fa18b13579917361b931522e85c,9cabe94d8edffe88fa0102caf16f8e633295bb8ee967af8fc317abe3b15019e7,8fd6cd42578178ce165f23ce07faf994208991583a33767a2a9e980bafe92bb8,c69b0043260c3c0d7a47e13bf3475b3f7beaf97f718f3d394975b4dacd095a7f,35c975eceb9321692296e3175be7ad0c79c7f58e40190789a03d82819031c548,51373d54a593b58494a728b909cdcddb54d2e01ae211aa7c12385b10afa96f40,bdfda2c27120f6d9afb0f8eda6d58a3705bdfb43a4dff92ee618bdb62327477f,a80daea4996358f09428ababf21643fd7f08051781320f19c3c760227d67a2fc,b1b2b7c0d656bc5b7c7db006297978ffb3f7a21e993b1a9a53087b6918afc423,7ad24b44359ffb7a7a815df2232af1f0e4ca56038b548034050dd8ac7ca00285,6a2cf263cb582f2970ad04a71ef7f90eaf9828a6fa4167b355e67c020aeef896
"25001","4","40","2","1000","0","0","1","2","32002","90008","94002","2","140001","4","0","1","12","1000000"
"140001","4","45","2","1250","94002","2000000","2","4","32002","90008","90005","1","140000","4","12","1","2","5"
"25001","4","50","2","1500","0","0","1","2","32002","90008","94002","2","140001","4","0","1","12","2000000"
"140001","1","5","2","500","94002","500000","2","4","32003","90008","90005","1","140000","4","12","1","2","10"
"140001","1","10","8","200","94002","500000","2","4","32003","91002","25001","1","21951","2","12","1","2","1"
"140001","2","15","2","700","94002","750000","2","4","32003","90008","90005","1","140000","4","12","1","2","5"
"25001","2","20","8","300","0","0","1","2","32003","91002","94002","2","140001","4","0","1","12","750000"
"140001","2","25","2","700","94002","750000","2","4","32003","90008","90005","1","140000","4","12","1","2","5"
"25001","3","30","8","500","0","0","1","2","32003","91002","94002","2","140001","4","0","1","12","750000"
"140001","3","35","2","1000","94002","1000000","2","4","32003","90008","90005","1","140000","4","12","1","2","5"
"25001","4","40","2","1000","0","0","1","2","32003","90008","94002","2","140001","4","0","1","12","1000000"
"140001","4","45","2","1250","94002","2000000","2","4","32003","90008","90005","1","140000","4","12","1","2","5"
"25001","4","50","2","1500","0","0","1","2","32003","90008","94002","2","140001","4","0","1","12","2000000"
"140001","1","5","2","500","94002","500000","2","4","32004","90008","90005","1","140000","4","12","1","2","10"
"140001","1","10","8","200","94002","500000","2","4","32004","91002","25001","1","21951","2","12","1","2","1"
"140001","2","15","2","700","94002","750000","2","4","32004","90008","90005","1","140000","4","12","1","2","5"
"25001","2","20","8","300","0","0","1","2","32004","91002","94002","2","140001","4","0","1","12","750000"
"140001","2","25","2","700","94002","750000","2","4","32004","90008","90005","1","140000","4","12","1","2","5"
"25001","3","30","8","500","0","0","1","2","32004","91002","94002","2","140001","4","0","1","12","750000"
"140001","3","35","2","1000","94002","1000000","2","4","32004","90008","90005","1","140000","4","12","1","2","5"
"25001","4","40","2","1000","0","0","1","2","32004","90008","94002","2","140001","4","0","1","12","1000000"
"140001","4","45","2","1250","94002","2000000","2","4","32004","90008","90005","1","140000","4","12","1","2","5"
"25001","4","50","2","1500","0","0","1","2","32004","90008","94002","2","140001","4","0","1","12","2000000"
"140001","1","5","2","500","94002","500000","2","4","32005","90008","90005","1","140000","4","12","1","2","10"
"140001","1","10","8","200","94002","500000","2","4","32005","91002","25001","1","21951","2","12","1","2","1"
"140001","2","15","2","700","94002","750000","2","4","32005","90008","90005","1","140000","4","12","1","2","5"
"25001","2","20","8","300","0","0","1","2","32005","91002","94002","2","140001","4","0","1","12","750000"
"140001","2","25","2","700","94002","750000","2","4","32005","90008","90005","1","140000","4","12","1","2","5"
"25001","3","30","8","500","0","0","1","2","32005","91002","94002","2","140001","4","0","1","12","750000"
"140001","3","35","2","1000","94002","1000000","2","4","32005","90008","90005","1","140000","4","12","1","2","5"
"25001","4","40","2","1000","0","0","1","2","32005","90008","94002","2","140001","4","0","1","12","1000000"
"140001","4","45","2","1250","94002","2000000","2","4","32005","90008","90005","1","140000","4","12","1","2","5"
"25001","4","50","2","1500","0","0","1","2","32005","90008","94002","2","140001","4","0","1","12","2000000"
"140001","1","5","2","500","94002","500000","2","4","32006","90008","90005","1","140000","4","12","1","2","10"
"140001","1","10","8","200","94002","500000","2","4","32006","91002","25001","1","21951","2","12","1","2","1"
"140001","2","15","2","700","94002","750000","2","4","32006","90008","90005","1","140000","4","12","1","2","5"
"25001","2","20","8","300","0","0","1","2","32006","91002","94002","2","140001","4","0","1","12","750000"
"140001","2","25","2","700","94002","750000","2","4","32006","90008","90005","1","140000","4","12","1","2","5"
"25001","3","30","8","500","0","0","1","2","32006","91002","94002","2","140001","4","0","1","12","750000"
"140001","3","35","2","1000","94002","1000000","2","4","32006","90008","90005","1","140000","4","12","1","2","5"
"25001","4","40","2","1000","0","0","1","2","32006","90008","94002","2","140001","4","0","1","12","1000000"
"140001","4","45","2","1250","94002","2000000","2","4","32006","90008","90005","1","140000","4","12","1","2","5"
"25001","4","50","2","1500","0","0","1","2","32006","90008","94002","2","140001","4","0","1","12","2000000"
"90005","1","5","2","500","0","0","10","2","32007","90008","94002","15","140001","4","0","1","12","500000"
"140001","1","10","8","100","94002","500000","5","4","32007","91002","25001","1","21951","2","12","1","2","1"
"90005","2","15","2","1000","0","0","5","2","32007","90008","94002","15","140001","4","0","1","12","750000"
"25001","2","20","8","150","0","0","1","2","32007","91002","94002","5","140001","4","0","1","12","750000"
"90005","2","25","2","1500","0","0","5","2","32007","90008","94002","15","140001","4","0","1","12","750000"
"140001","3","30","8","250","94002","750000","5","4","32007","91002","25001","3000","90008","2","12","1","2","1"
"90005","3","35","2","3500","0","0","5","2","32007","90008","94002","15","140001","4","0","1","12","1000000"
"25001","4","40","2","4000","0","0","1","2","32007","90008","94002","5","140001","4","0","1","12","1000000"
"90005","4","45","2","4500","0","0","5","2","32007","90008","94002","15","140001","4","0","1","12","2000000"
"25001","4","50","2","5000","0","0","1","2","32007","90008","94002","5","140001","4","0","1","12","2000000"
"90005","1","5","2","500","0","0","10","2","32008","90008","94002","15","140001","4","0","1","12","500000"
"140001","1","10","8","100","94002","500000","5","4","32008","91002","25001","1","21951","2","12","1","2","1"
"90005","2","15","2","1000","0","0","5","2","32008","90008","94002","15","140001","4","0","1","12","750000"
"25001","2","20","8","150","0","0","1","2","32008","91002","94002","5","140001","4","0","1","12","750000"
"90005","2","25","2","1500","0","0","5","2","32008","90008","94002","15","140001","4","0","1","12","750000"
"140001","3","30","8","250","94002","750000","5","4","32008","91002","25001","3000","90008","2","12","1","2","1"
"90005","3","35","2","3500","0","0","5","2","32008","90008","94002","15","140001","4","0","1","12","1000000"
"25001","4","40","2","4000","0","0","1","2","32008","90008","94002","5","140001","4","0","1","12","1000000"
"90005","4","45","2","4500","0","0","5","2","32008","90008","94002","15","140001","4","0","1","12","2000000"
"25001","4","50","2","5000","0","0","1","2","32008","90008","94002","5","140001","4","0","1","12","2000000"
"90005","1","5","2","500","0","0","10","2","32009","90008","94002","15","140001","4","0","1","12","500000"
"140001","1","10","8","100","94002","500000","5","4","32009","91002","25001","1","21951","2","12","1","2","1"
"90005","2","15","2","1000","0","0","5","2","32009","90008","94002","15","140001","4","0","1","12","750000"
"25001","2","20","8","150","0","0","1","2","32009","91002","94002","5","140001","4","0","1","12","750000"
"90005","2","25","2","1500","0","0","5","2","32009","90008","94002","15","140001","4","0","1","12","750000"
"140001","3","30","8","250","94002","750000","5","4","32009","91002","25001","3000","90008","2","12","1","2","1"
"90005","3","35","2","3500","0","0","5","2","32009","90008","94002","15","140001","4","0","1","12","1000000"
"25001","4","40","2","4000","0","0","1","2","32009","90008","94002","5","140001","4","0","1","12","1000000"
"90005","4","45","2","4500","0","0","5","2","32009","90008","94002","15","140001","4","0","1","12","2000000"
"25001","4","50","2","5000","0","0","1","2","32009","90008","94002","5","140001","4","0","1","12","2000000"
"90005","1","5","2","500","0","0","10","2","32010","90008","94002","15","140001","4","0","1","12","500000"
"140001","1","10","8","100","94002","500000","5","4","32010","91002","25001","1","21951","2","12","1","2","1"
"90005","2","15","2","1000","0","0","5","2","32010","90008","94002","15","140001","4","0","1","12","750000"
"25001","2","20","8","150","0","0","1","2","32010","91002","94002","5","140001","4","0","1","12","750000"
"90005","2","25","2","1500","0","0","5","2","32010","90008","94002","15","140001","4","0","1","12","750000"
"140001","3","30","8","250","94002","750000","5","4","32010","91002","25001","3000","90008","2","12","1","2","1"
"140001","3","35","18","1","94002","1000000","15","4","32010","4101401","90005","3500","90008","2","12","1","2","5"
"25001","4","40","2","4000","0","0","1","2","32010","90008","94002","5","140001","4","0","1","12","1000000"
"140001","4","45","18","1","94002","2000000","15","4","32010","4109401","90005","4500","90008","2","12","1","2","5"
"25001","4","50","2","5000","0","0","1","2","32010","90008","94002","5","140001","4","0","1","12","2000000"
"90005","1","5","2","500","0","0","10","2","32011","90008","94002","15","140001","4","0","1","12","500000"
"140001","1","10","8","100","94002","500000","5","4","32011","91002","25001","1","21951","2","12","1","2","1"
"90005","2","15","2","1000","0","0","5","2","32011","90008","94002","15","140001","4","0","1","12","750000"
"25001","2","20","8","150","0","0","1","2","32011","91002","94002","5","140001","4","0","1","12","750000"
"90005","2","25","2","1500","0","0","5","2","32011","90008","94002","15","140001","4","0","1","12","750000"
"140001","3","30","8","250","94002","750000","5","4","32011","91002","25001","3000","90008","2","12","1","2","1"
"140001","3","35","18","1","94002","1000000","15","4","32011","4301401","90005","3500","90008","2","12","1","2","5"
"25001","4","40","2","4000","0","0","1","2","32011","90008","94002","5","140001","4","0","1","12","1000000"
"140001","4","45","18","1","94002","2000000","15","4","32011","4303401","90005","4500","90008","2","12","1","2","5"
"25001","4","50","2","5000","0","0","1","2","32011","90008","94002","5","140001","4","0","1","12","2000000"
"90005","1","5","2","500","0","0","10","2","32012","90008","94002","15","140001","4","0","1","12","500000"
"140001","1","10","8","100","94002","500000","5","4","32012","91002","25001","1","21951","2","12","1","2","1"
"90005","2","15","2","1000","0","0","5","2","32012","90008","94002","15","140001","4","0","1","12","750000"
"25001","2","20","8","150","0","0","1","2","32012","91002","94002","5","140001","4","0","1","12","750000"
"90005","2","25","2","1500","0","0","5","2","32012","90008","94002","15","140001","4","0","1","12","750000"
"140001","3","30","8","250","94002","750000","5","4","32012","91002","25001","3000","90008","2","12","1","2","1"
"140001","3","35","18","1","94002","1000000","15","4","32012","4201401","90005","3500","90008","2","12","1","2","5"
"25001","4","40","2","4000","0","0","1","2","32012","90008","94002","5","140001","4","0","1","12","1000000"
"140001","4","45","18","1","94002","2000000","15","4","32012","4204401","90005","4500","90008","2","12","1","2","5"
"25001","4","50","2","5000","0","0","1","2","32012","90008","94002","5","140001","4","0","1","12","2000000"
"90005","1","5","2","500","0","0","10","2","32013","90008","94002","15","140001","4","0","1","12","500000"
"140001","1","10","8","100","94002","500000","5","4","32013","91002","25001","1","21951","2","12","1","2","1"
"90005","2","15","2","1000","0","0","5","2","32013","90008","94002","15","140001","4","0","1","12","750000"
"25001","2","20","8","150","0","0","1","2","32013","91002","94002","5","140001","4","0","1","12","750000"
"90005","2","25","2","1500","0","0","5","2","32013","90008","94002","15","140001","4","0","1","12","750000"
"140001","3","30","8","250","94002","750000","5","4","32013","91002","25001","3000","90008","2","12","1","2","1"
"140001","3","35","18","1","94002","1000000","15","4","32013","4110401","90005","3500","90008","2","12","1","2","5"
"25001","4","40","2","4000","0","0","1","2","32013","90008","94002","5","140001","4","0","1","12","1000000"
"140001","4","45","18","1","94002","2000000","15","4","32013","4102401","90005","4500","90008","2","12","1","2","5"
"25001","4","50","2","5000","0","0","1","2","32013","90008","94002","5","140001","4","0","1","12","2000000"
"90005","1","5","2","500","0","0","10","2","32014","90008","94002","15","140001","4","0","1","12","500000"
"140001","1","10","8","100","94002","500000","5","4","32014","91002","25001","1","21951","2","12","1","2","1"
"90005","2","15","2","1000","0","0","5","2","32014","90008","94002","15","140001","4","0","1","12","750000"
"25001","2","20","8","150","0","0","1","2","32014","91002","94002","5","140001","4","0","1","12","750000"
"90005","2","25","2","1500","0","0","5","2","32014","90008","94002","15","140001","4","0","1","12","750000"
"140001","3","30","8","250","94002","750000","5","4","32014","91002","25001","3000","90008","2","12","1","2","1"
"140001","3","35","18","1","94002","1000000","15","4","32014","4203401","90005","3500","90008","2","12","1","2","5"
"25001","4","40","2","4000","0","0","1","2","32014","90008","94002","5","140001","4","0","1","12","1000000"
"140001","4","45","18","1","94002","2000000","15","4","32014","4202401","90005","4500","90008","2","12","1","2","5"
"25001","4","50","2","5000","0","0","1","2","32014","90008","94002","5","140001","4","0","1","12","2000000"
