2c7eaac3f003631237b4c9ff7b043b63f14f6cf88e67bde02bfe0ba099543d70,62617835e4d2007ff860ecfb34cb5074d2330a4c7b1f62277ecbed1f4030000e,e058d2abfbb1e9699cf15a85ef6c4da02a4b032e7a5068425fdca7848b26b5e2,a5d4b6f5ea4aeaa9c40d18caf3000d4b72c0e0c3fc5ae651a2e1d3c6e69522f9,865c774c4ae1284104d1a69378a50ea49a3ec6cfaaf73312b23bd03b2fd518bb,239c6818330949efb484953ed9ab3dd9d49e4e0123c570d0e766a3cc9ba98764,231b7272b9fd34ff4a5ad2b31c7f369c502aa1cd0343b5fe9e487b00ae5a22e6,829d636c8a3dc68c4aa2176ba4ab2142bb06e4b94709fa89f6283a14aeefe99c,f5f9cf7b2e03ff0c5ab316dc26ab862f5fdc5e8650a10eed01ca661975cb25f7
"100208","135000","1001","0","全難易度合計で135000pt獲得しよう","1","1002","1","100208"
"100209","0","1002","1","難易度NORMAL1で1回戦おう","1","1002","2","100209"
"100210","0","1003","1","難易度NORMAL2で1回戦おう","1","1002","2","100210"
"100211","0","1004","1","難易度NORMAL3で1回戦おう","1","1002","2","100211"
"100212","10000","1001","1","難易度NORMALで10000pt獲得しよう","1","1002","3","100212"
"100213","20000","1001","1","難易度NORMALで20000pt獲得しよう","1","1002","3","100213"
"100214","30000","1001","1","難易度NORMALで30000pt獲得しよう","1","1002","3","100214"
"100215","0","1002","2","難易度HARD1で1回戦おう","1","1002","4","100215"
"100216","0","1003","2","難易度HARD2で1回戦おう","1","1002","4","100216"
"100217","0","1004","2","難易度HARD3で1回戦おう","1","1002","4","100217"
"100218","15000","1001","2","難易度HARDで15000pt獲得しよう","1","1002","5","100218"
"100219","30000","1001","2","難易度HARDで30000pt獲得しよう","1","1002","5","100219"
"100220","45000","1001","2","難易度HARDで45000pt獲得しよう","1","1002","5","100220"
"100221","0","1002","3","難易度EXTRA1で1回戦おう","1","1002","6","100221"
"100222","0","1003","3","難易度EXTRA2で1回戦おう","1","1002","6","100222"
"100223","0","1004","3","難易度EXTRA3で1回戦おう","1","1002","6","100223"
"100224","20000","1001","3","難易度EXTRAで20000pt獲得しよう","1","1002","7","100224"
"100225","40000","1001","3","難易度EXTRAで40000pt獲得しよう","1","1002","7","100225"
"100226","60000","1001","3","難易度EXTRAで60000pt獲得しよう","1","1002","7","100226"
"100301","10000","1001","0","全難易度合計で10000pt獲得しよう","1","1003","0","100301"
"100302","30000","1001","0","全難易度合計で30000pt獲得しよう","1","1003","0","100302"
"100303","50000","1001","0","全難易度合計で50000pt獲得しよう","1","1003","0","100303"
"100304","70000","1001","0","全難易度合計で70000pt獲得しよう","1","1003","0","100304"
"100305","90000","1001","0","全難易度合計で90000pt獲得しよう","1","1003","1","100305"
"100306","105000","1001","0","全難易度合計で105000pt獲得しよう","1","1003","1","100306"
"100307","120000","1001","0","全難易度合計で120000pt獲得しよう","1","1003","1","100307"
"100308","135000","1001","0","全難易度合計で135000pt獲得しよう","1","1003","1","100308"
"100309","0","1002","1","難易度NORMAL1で1回戦おう","1","1003","2","100309"
"100310","0","1003","1","難易度NORMAL2で1回戦おう","1","1003","2","100310"
"100311","0","1004","1","難易度NORMAL3で1回戦おう","1","1003","2","100311"
"100312","10000","1001","1","難易度NORMALで10000pt獲得しよう","1","1003","3","100312"
"100313","20000","1001","1","難易度NORMALで20000pt獲得しよう","1","1003","3","100313"
"100314","30000","1001","1","難易度NORMALで30000pt獲得しよう","1","1003","3","100314"
"100315","0","1002","2","難易度HARD1で1回戦おう","1","1003","4","100315"
"100316","0","1003","2","難易度HARD2で1回戦おう","1","1003","4","100316"
"100317","0","1004","2","難易度HARD3で1回戦おう","1","1003","4","100317"
"100318","15000","1001","2","難易度HARDで15000pt獲得しよう","1","1003","5","100318"
"100319","30000","1001","2","難易度HARDで30000pt獲得しよう","1","1003","5","100319"
"100320","45000","1001","2","難易度HARDで45000pt獲得しよう","1","1003","5","100320"
"100321","0","1002","3","難易度EXTRA1で1回戦おう","1","1003","6","100321"
"100322","0","1003","3","難易度EXTRA2で1回戦おう","1","1003","6","100322"
"100323","0","1004","3","難易度EXTRA3で1回戦おう","1","1003","6","100323"
"100324","20000","1001","3","難易度EXTRAで20000pt獲得しよう","1","1003","7","100324"
"100325","40000","1001","3","難易度EXTRAで40000pt獲得しよう","1","1003","7","100325"
"100326","60000","1001","3","難易度EXTRAで60000pt獲得しよう","1","1003","7","100326"
"100401","10000","1001","0","全難易度合計で10000pt獲得しよう","1","1004","0","100401"
"100402","30000","1001","0","全難易度合計で30000pt獲得しよう","1","1004","0","100402"
"100403","50000","1001","0","全難易度合計で50000pt獲得しよう","1","1004","0","100403"
"100404","70000","1001","0","全難易度合計で70000pt獲得しよう","1","1004","0","100404"
"100405","90000","1001","0","全難易度合計で90000pt獲得しよう","1","1004","1","100405"
"100406","105000","1001","0","全難易度合計で105000pt獲得しよう","1","1004","1","100406"
"100407","120000","1001","0","全難易度合計で120000pt獲得しよう","1","1004","1","100407"
"100408","135000","1001","0","全難易度合計で135000pt獲得しよう","1","1004","1","100408"
"100409","0","1002","1","難易度NORMAL1で1回戦おう","1","1004","2","100409"
"100410","0","1003","1","難易度NORMAL2で1回戦おう","1","1004","2","100410"
"100411","0","1004","1","難易度NORMAL3で1回戦おう","1","1004","2","100411"
"100412","10000","1001","1","難易度NORMALで10000pt獲得しよう","1","1004","3","100412"
"100413","20000","1001","1","難易度NORMALで20000pt獲得しよう","1","1004","3","100413"
"100414","30000","1001","1","難易度NORMALで30000pt獲得しよう","1","1004","3","100414"
"100415","0","1002","2","難易度HARD1で1回戦おう","1","1004","4","100415"
"100416","0","1003","2","難易度HARD2で1回戦おう","1","1004","4","100416"
"100417","0","1004","2","難易度HARD3で1回戦おう","1","1004","4","100417"
"100418","15000","1001","2","難易度HARDで15000pt獲得しよう","1","1004","5","100418"
"100419","30000","1001","2","難易度HARDで30000pt獲得しよう","1","1004","5","100419"
"100420","45000","1001","2","難易度HARDで45000pt獲得しよう","1","1004","5","100420"
"100421","0","1002","3","難易度EXTRA1で1回戦おう","1","1004","6","100421"
"100422","0","1003","3","難易度EXTRA2で1回戦おう","1","1004","6","100422"
"100423","0","1004","3","難易度EXTRA3で1回戦おう","1","1004","6","100423"
"100424","20000","1001","3","難易度EXTRAで20000pt獲得しよう","1","1004","7","100424"
"100425","40000","1001","3","難易度EXTRAで40000pt獲得しよう","1","1004","7","100425"
"100426","60000","1001","3","難易度EXTRAで60000pt獲得しよう","1","1004","7","100426"
"100501","10000","1001","0","全難易度合計で10000pt獲得しよう","1","1005","0","100501"
"100502","30000","1001","0","全難易度合計で30000pt獲得しよう","1","1005","0","100502"
"100503","50000","1001","0","全難易度合計で50000pt獲得しよう","1","1005","0","100503"
"100504","70000","1001","0","全難易度合計で70000pt獲得しよう","1","1005","0","100504"
"100505","90000","1001","0","全難易度合計で90000pt獲得しよう","1","1005","1","100505"
"100506","105000","1001","0","全難易度合計で105000pt獲得しよう","1","1005","1","100506"
"100507","120000","1001","0","全難易度合計で120000pt獲得しよう","1","1005","1","100507"
"100508","135000","1001","0","全難易度合計で135000pt獲得しよう","1","1005","1","100508"
"100509","0","1002","1","難易度NORMAL1で1回戦おう","1","1005","2","100509"
"100510","0","1003","1","難易度NORMAL2で1回戦おう","1","1005","2","100510"
"100511","0","1004","1","難易度NORMAL3で1回戦おう","1","1005","2","100511"
"100512","10000","1001","1","難易度NORMALで10000pt獲得しよう","1","1005","3","100512"
"100513","20000","1001","1","難易度NORMALで20000pt獲得しよう","1","1005","3","100513"
"100514","30000","1001","1","難易度NORMALで30000pt獲得しよう","1","1005","3","100514"
"100515","0","1002","2","難易度HARD1で1回戦おう","1","1005","4","100515"
"100516","0","1003","2","難易度HARD2で1回戦おう","1","1005","4","100516"
"100517","0","1004","2","難易度HARD3で1回戦おう","1","1005","4","100517"
"100518","15000","1001","2","難易度HARDで15000pt獲得しよう","1","1005","5","100518"
"100519","30000","1001","2","難易度HARDで30000pt獲得しよう","1","1005","5","100519"
"100520","45000","1001","2","難易度HARDで45000pt獲得しよう","1","1005","5","100520"
"100521","0","1002","3","難易度EXTRA1で1回戦おう","1","1005","6","100521"
"100522","0","1003","3","難易度EXTRA2で1回戦おう","1","1005","6","100522"
"100523","0","1004","3","難易度EXTRA3で1回戦おう","1","1005","6","100523"
"100524","20000","1001","3","難易度EXTRAで20000pt獲得しよう","1","1005","7","100524"
"100525","40000","1001","3","難易度EXTRAで40000pt獲得しよう","1","1005","7","100525"
"100526","60000","1001","3","難易度EXTRAで60000pt獲得しよう","1","1005","7","100526"
"100601","10000","1001","0","全難易度合計で10000pt獲得しよう","1","1006","0","100601"
"100602","30000","1001","0","全難易度合計で30000pt獲得しよう","1","1006","0","100602"
"100603","50000","1001","0","全難易度合計で50000pt獲得しよう","1","1006","0","100603"
"100604","70000","1001","0","全難易度合計で70000pt獲得しよう","1","1006","0","100604"
"100605","90000","1001","0","全難易度合計で90000pt獲得しよう","1","1006","1","100605"
"100606","105000","1001","0","全難易度合計で105000pt獲得しよう","1","1006","1","100606"
"100607","120000","1001","0","全難易度合計で120000pt獲得しよう","1","1006","1","100607"
"100608","135000","1001","0","全難易度合計で135000pt獲得しよう","1","1006","1","100608"
"100609","0","1002","1","難易度NORMAL1で1回戦おう","1","1006","2","100609"
"100610","0","1003","1","難易度NORMAL2で1回戦おう","1","1006","2","100610"
"100611","0","1004","1","難易度NORMAL3で1回戦おう","1","1006","2","100611"
"100612","10000","1001","1","難易度NORMALで10000pt獲得しよう","1","1006","3","100612"
"100613","20000","1001","1","難易度NORMALで20000pt獲得しよう","1","1006","3","100613"
"100614","30000","1001","1","難易度NORMALで30000pt獲得しよう","1","1006","3","100614"
"100615","0","1002","2","難易度HARD1で1回戦おう","1","1006","4","100615"
"100616","0","1003","2","難易度HARD2で1回戦おう","1","1006","4","100616"
"100617","0","1004","2","難易度HARD3で1回戦おう","1","1006","4","100617"
"100618","15000","1001","2","難易度HARDで15000pt獲得しよう","1","1006","5","100618"
"100619","30000","1001","2","難易度HARDで30000pt獲得しよう","1","1006","5","100619"
"100620","45000","1001","2","難易度HARDで45000pt獲得しよう","1","1006","5","100620"
"100621","0","1002","3","難易度EXTRA1で1回戦おう","1","1006","6","100621"
"100622","0","1003","3","難易度EXTRA2で1回戦おう","1","1006","6","100622"
"100623","0","1004","3","難易度EXTRA3で1回戦おう","1","1006","6","100623"
"100624","20000","1001","3","難易度EXTRAで20000pt獲得しよう","1","1006","7","100624"
"100625","40000","1001","3","難易度EXTRAで40000pt獲得しよう","1","1006","7","100625"
"100626","60000","1001","3","難易度EXTRAで60000pt獲得しよう","1","1006","7","100626"
"100701","10000","1001","0","全難易度合計で10000pt獲得しよう","1","1007","0","100701"
"100702","30000","1001","0","全難易度合計で30000pt獲得しよう","1","1007","0","100702"
"100703","50000","1001","0","全難易度合計で50000pt獲得しよう","1","1007","0","100703"
"100704","70000","1001","0","全難易度合計で70000pt獲得しよう","1","1007","0","100704"
"100705","90000","1001","0","全難易度合計で90000pt獲得しよう","1","1007","1","100705"
"100706","105000","1001","0","全難易度合計で105000pt獲得しよう","1","1007","1","100706"
"100707","120000","1001","0","全難易度合計で120000pt獲得しよう","1","1007","1","100707"
"100708","135000","1001","0","全難易度合計で135000pt獲得しよう","1","1007","1","100708"
"100709","0","1002","1","難易度NORMAL1で1回戦おう","1","1007","2","100709"
"100710","0","1003","1","難易度NORMAL2で1回戦おう","1","1007","2","100710"
"100711","0","1004","1","難易度NORMAL3で1回戦おう","1","1007","2","100711"
"100712","10000","1001","1","難易度NORMALで10000pt獲得しよう","1","1007","3","100712"
"100713","20000","1001","1","難易度NORMALで20000pt獲得しよう","1","1007","3","100713"
"100714","30000","1001","1","難易度NORMALで30000pt獲得しよう","1","1007","3","100714"
"100715","0","1002","2","難易度HARD1で1回戦おう","1","1007","4","100715"
"100716","0","1003","2","難易度HARD2で1回戦おう","1","1007","4","100716"
"100717","0","1004","2","難易度HARD3で1回戦おう","1","1007","4","100717"
"100718","15000","1001","2","難易度HARDで15000pt獲得しよう","1","1007","5","100718"
"100719","30000","1001","2","難易度HARDで30000pt獲得しよう","1","1007","5","100719"
"100720","45000","1001","2","難易度HARDで45000pt獲得しよう","1","1007","5","100720"
"100721","0","1002","3","難易度EXTRA1で1回戦おう","1","1007","6","100721"
"100722","0","1003","3","難易度EXTRA2で1回戦おう","1","1007","6","100722"
"100723","0","1004","3","難易度EXTRA3で1回戦おう","1","1007","6","100723"
"100724","20000","1001","3","難易度EXTRAで20000pt獲得しよう","1","1007","7","100724"
"100725","40000","1001","3","難易度EXTRAで40000pt獲得しよう","1","1007","7","100725"
"100726","60000","1001","3","難易度EXTRAで60000pt獲得しよう","1","1007","7","100726"
"100801","10000","1001","0","全難易度合計で10000pt獲得しよう","1","1008","0","100801"
"100802","30000","1001","0","全難易度合計で30000pt獲得しよう","1","1008","0","100802"
"100803","50000","1001","0","全難易度合計で50000pt獲得しよう","1","1008","0","100803"
"100804","70000","1001","0","全難易度合計で70000pt獲得しよう","1","1008","0","100804"
"100805","90000","1001","0","全難易度合計で90000pt獲得しよう","1","1008","1","100805"
"100806","105000","1001","0","全難易度合計で105000pt獲得しよう","1","1008","1","100806"
"100807","120000","1001","0","全難易度合計で120000pt獲得しよう","1","1008","1","100807"
"100808","135000","1001","0","全難易度合計で135000pt獲得しよう","1","1008","1","100808"
"100809","0","1002","1","難易度NORMAL1で1回戦おう","1","1008","2","100809"
"100810","0","1003","1","難易度NORMAL2で1回戦おう","1","1008","2","100810"
"100811","0","1004","1","難易度NORMAL3で1回戦おう","1","1008","2","100811"
"100812","10000","1001","1","難易度NORMALで10000pt獲得しよう","1","1008","3","100812"
"100813","20000","1001","1","難易度NORMALで20000pt獲得しよう","1","1008","3","100813"
"100814","30000","1001","1","難易度NORMALで30000pt獲得しよう","1","1008","3","100814"
"100815","0","1002","2","難易度HARD1で1回戦おう","1","1008","4","100815"
"100816","0","1003","2","難易度HARD2で1回戦おう","1","1008","4","100816"
"100817","0","1004","2","難易度HARD3で1回戦おう","1","1008","4","100817"
"100818","15000","1001","2","難易度HARDで15000pt獲得しよう","1","1008","5","100818"
"100819","30000","1001","2","難易度HARDで30000pt獲得しよう","1","1008","5","100819"
"100820","45000","1001","2","難易度HARDで45000pt獲得しよう","1","1008","5","100820"
"100821","0","1002","3","難易度EXTRA1で1回戦おう","1","1008","6","100821"
"100822","0","1003","3","難易度EXTRA2で1回戦おう","1","1008","6","100822"
"100823","0","1004","3","難易度EXTRA3で1回戦おう","1","1008","6","100823"
"100824","20000","1001","3","難易度EXTRAで20000pt獲得しよう","1","1008","7","100824"
"100825","40000","1001","3","難易度EXTRAで40000pt獲得しよう","1","1008","7","100825"
"100826","60000","1001","3","難易度EXTRAで60000pt獲得しよう","1","1008","7","100826"
"100901","10000","1001","0","全難易度合計で10000pt獲得しよう","1","1009","0","100901"
"100902","30000","1001","0","全難易度合計で30000pt獲得しよう","1","1009","0","100902"
"100903","50000","1001","0","全難易度合計で50000pt獲得しよう","1","1009","0","100903"
"100904","70000","1001","0","全難易度合計で70000pt獲得しよう","1","1009","0","100904"
"100905","90000","1001","0","全難易度合計で90000pt獲得しよう","1","1009","1","100905"
"100906","105000","1001","0","全難易度合計で105000pt獲得しよう","1","1009","1","100906"
"100907","120000","1001","0","全難易度合計で120000pt獲得しよう","1","1009","1","100907"
"100908","135000","1001","0","全難易度合計で135000pt獲得しよう","1","1009","1","100908"
"100909","0","1002","1","難易度NORMAL1で1回戦おう","1","1009","2","100909"
"100910","0","1003","1","難易度NORMAL2で1回戦おう","1","1009","2","100910"
"100911","0","1004","1","難易度NORMAL3で1回戦おう","1","1009","2","100911"
"100912","10000","1001","1","難易度NORMALで10000pt獲得しよう","1","1009","3","100912"
"100913","20000","1001","1","難易度NORMALで20000pt獲得しよう","1","1009","3","100913"
"100914","30000","1001","1","難易度NORMALで30000pt獲得しよう","1","1009","3","100914"
"100915","0","1002","2","難易度HARD1で1回戦おう","1","1009","4","100915"
"100916","0","1003","2","難易度HARD2で1回戦おう","1","1009","4","100916"
"100917","0","1004","2","難易度HARD3で1回戦おう","1","1009","4","100917"
"100918","15000","1001","2","難易度HARDで15000pt獲得しよう","1","1009","5","100918"
"100919","30000","1001","2","難易度HARDで30000pt獲得しよう","1","1009","5","100919"
"100920","45000","1001","2","難易度HARDで45000pt獲得しよう","1","1009","5","100920"
"100921","0","1002","3","難易度EXTRA1で1回戦おう","1","1009","6","100921"
"100922","0","1003","3","難易度EXTRA2で1回戦おう","1","1009","6","100922"
"100923","0","1004","3","難易度EXTRA3で1回戦おう","1","1009","6","100923"
"100924","20000","1001","3","難易度EXTRAで20000pt獲得しよう","1","1009","7","100924"
"100925","40000","1001","3","難易度EXTRAで40000pt獲得しよう","1","1009","7","100925"
"100926","60000","1001","3","難易度EXTRAで60000pt獲得しよう","1","1009","7","100926"
