62ba32ce718d7f978b52875f301c17ef77a24836897d0e47944f473112f65c68,bd8b670f02ded824436ed5d198c739ac3ff500d9e13b70ee364a61553a0d56dc,7ac208b10d9e22f2a08c0062fc3829b4f27aea4e4f15babae1fc604c2dfa0070,7e382f04d082255289374532c357abda3100ce26e59a23073fa6b8ecd744bb60,c3ec8fcd76f9a77d7762fd6eaff514b9e353af53d734e4b0dbb08a0a8480e569,ea199ac91cd496ec1404b4988f03408fff31ebb33708c40d906990ff7f6eddc6
"20016201","2001602","2001601","0","20016115","20016"
"0","2001603","2001602","2001601","0","20016"
"0","0","2001603","2001602","0","20016"
"20017201","2001702","2001701","0","20017115","20017"
"0","2001703","2001702","2001701","0","20017"
"0","0","2001703","2001702","0","20017"
"20018201","2001802","2001801","0","20018115","20018"
"0","2001803","2001802","2001801","0","20018"
"0","0","2001803","2001802","0","20018"
"20019201","2001902","2001901","0","20019115","20019"
"0","2001903","2001902","2001901","0","20019"
"0","0","2001903","2001902","0","20019"
"20020201","2002002","2002001","0","20020115","20020"
"0","2002003","2002002","2002001","0","20020"
"0","0","2002003","2002002","0","20020"
"20021201","2002102","2002101","0","20021115","20021"
"0","2002103","2002102","2002101","0","20021"
"0","0","2002103","2002102","0","20021"
"20022201","2002202","2002201","0","20022115","20022"
"0","2002203","2002202","2002201","0","20022"
"0","0","2002203","2002202","0","20022"
"20023201","2002302","2002301","0","20023115","20023"
"0","2002303","2002302","2002301","0","20023"
"0","0","2002303","2002302","0","20023"
"20024201","2002402","2002401","0","20024115","20024"
"0","2002403","2002402","2002401","0","20024"
"0","0","2002403","2002402","0","20024"
"20025201","2002502","2002501","0","20025115","20025"
"0","2002503","2002502","2002501","0","20025"
"0","0","2002503","2002502","0","20025"
"20026201","2002602","2002601","0","20026115","20026"
"0","2002603","2002602","2002601","0","20026"
"0","0","2002603","2002602","0","20026"
"20027201","2002702","2002701","0","20027115","20027"
"0","2002703","2002702","2002701","0","20027"
"0","0","2002703","2002702","0","20027"
"20028201","2002802","2002801","0","20028115","20028"
"0","2002803","2002802","2002801","0","20028"
"0","0","2002803","2002802","0","20028"
"20029201","2002902","2002901","0","20029115","20029"
"0","2002903","2002902","2002901","0","20029"
"0","0","2002903","2002902","0","20029"
"20030201","2003002","2003001","0","20030115","20030"
"0","2003003","2003002","2003001","0","20030"
"0","0","2003003","2003002","0","20030"
"20031201","2003102","2003101","0","20031115","20031"
"0","2003103","2003102","2003101","0","20031"
"0","0","2003103","2003102","0","20031"
"20032201","2003202","2003201","0","20032115","20032"
"0","2003203","2003202","2003201","0","20032"
"0","0","2003203","2003202","0","20032"
"20033201","2003302","2003301","0","20033115","20033"
"0","2003303","2003302","2003301","0","20033"
"0","0","2003303","2003302","0","20033"
"20034201","2003402","2003401","0","20034115","20034"
"0","2003403","2003402","2003401","0","20034"
"0","0","2003403","2003402","0","20034"
"20035201","2003502","2003501","0","20035115","20035"
"0","2003503","2003502","2003501","0","20035"
"0","0","2003503","2003502","0","20035"
"20036201","2003602","2003601","0","20036115","20036"
"0","2003603","2003602","2003601","0","20036"
"0","0","2003603","2003602","0","20036"
"20037201","2003702","2003701","0","20037115","20037"
"0","2003703","2003702","2003701","0","20037"
"0","0","2003703","2003702","0","20037"
"20038201","2003802","2003801","0","20038115","20038"
"0","2003803","2003802","2003801","0","20038"
"0","0","2003803","2003802","0","20038"
"20039201","2003902","2003901","0","20039115","20039"
"0","2003903","2003902","2003901","0","20039"
"0","0","2003903","2003902","0","20039"
"20040201","2004002","2004001","0","20040115","20040"
"0","2004003","2004002","2004001","0","20040"
"0","0","2004003","2004002","0","20040"
"20041201","2004102","2004101","0","20041115","20041"
"0","2004103","2004102","2004101","0","20041"
"0","0","2004103","2004102","0","20041"
"20042201","2004202","2004201","0","20042115","20042"
"0","2004203","2004202","2004201","0","20042"
"0","0","2004203","2004202","0","20042"
"20043201","2004302","2004301","0","20043115","20043"
"0","2004303","2004302","2004301","0","20043"
"0","0","2004303","2004302","0","20043"
"20044201","2004402","2004401","0","20044115","20044"
"0","2004403","2004402","2004401","0","20044"
"0","0","2004403","2004402","0","20044"
"20045201","2004502","2004501","0","20045115","20045"
"0","2004503","2004502","2004501","0","20045"
"0","0","2004503","2004502","0","20045"
"20046201","2004602","2004601","0","20046115","20046"
"0","2004603","2004602","2004601","0","20046"
"0","0","2004603","2004602","0","20046"
"20047201","2004702","2004701","0","20047115","20047"
"0","2004703","2004702","2004701","0","20047"
"0","0","2004703","2004702","0","20047"
"20048201","2004802","2004801","0","20048115","20048"
"0","2004803","2004802","2004801","0","20048"
"0","0","2004803","2004802","0","20048"
"20049201","2004902","2004901","0","20049115","20049"
"0","2004903","2004902","2004901","0","20049"
"0","2004904","2004903","2004902","0","20049"
"20050201","2005002","2005001","0","20050115","20050"
"0","2005003","2005002","2005001","0","20050"
"0","0","2005003","2005002","0","20050"
"20051201","2005102","2005101","0","20051115","20051"
"0","2005103","2005102","2005101","0","20051"
"0","0","2005103","2005102","0","20051"
"20052201","2005202","2005201","0","20052115","20052"
"0","2005203","2005202","2005201","0","20052"
"0","0","2005203","2005202","0","20052"
"20053201","2005302","2005301","0","20053115","20053"
"0","2005303","2005302","2005301","0","20053"
"0","0","2005303","2005302","0","20053"
