4e8e2aac8349ca5b9c266a64cb6d42249ebab93ce3f788075fa134a8673ce569,b922dcbbb992a5dbb63920b85b35cf978f7dc82292257cbc2b8e5abfd062c53e,e1a02e29611fad882cb9627040084919c192d2bd93ea921e6fd2a798228d00eb,6f1df0ed3df0c1c9cccbd6cc6e26fbedd35de97140408e575a3e1983763294cc,6aa0e0fcdb044fda9ae830b56ff9e12bc682808e93f01bf7cab149b14e8acb93,eee57589fb127a4094eae5fb418f5cf4fe588b5fee929e3c744311753c3db0f2,7fbd7a47919b24b7c3425b8c5d21ce61cd1544d27b92ab959ff6a1c1bc152c45,3267cc1c4cbe1493a407aba16d53b39eefedd34249cb201124cbcd7ac387f36c,ff2b5378c2ff5d481af416b63b9c7b7ed2135d28ff25778e0abd73e817a74ed7,bada1efdf28be9f293e49fd721aac1b5048d75a390a4364d2914e22697a4f740,0bd47d484f8a105bb9d95404a9a9f909a11cc157775a937e9eee94daed2909d9
"","3","","3","","omp_talk_sad","0","112611","1","","1030041"
"","3","0","21","","vo_omp_7003_007","","vo_omp_7003","0","","1030042"
"1","3","1","11","","そういうことじゃないんだけど…\n集めるのあきらめてくれたなら\nまぁ、いっか！\nその調子で頑張ってこう、しまむー！","","112611","10","","1030043"
"","3","","93","","1","","6","","","1030044"
"","3","","3","","omp_talk_joy2","0.2","112611","1","","1030045"
"","3","","91","","","","1030043","","","1030046"
"","3","","3","","omp_idle_joy2","0","112611","1","","1030047"
"","3","","3","","omp_talk_joy2","0","112411","1","","1030048"
"","3","0","21","","vo_omp_7003_008","","vo_omp_7003","0","","1030049"
"1","3","1","11","","はい！\n一緒に頑張りましょう！","","112411","10","","1030050"
"","3","","91","","","","0","","","1030051"
"","3","","93","","","","0.4","","","1030052"
"-195","4","-180","1","0","105831","1.8","1","1600","omp_talk_normal","1040001"
"-190","4","20","1","1","105931","1.8","1","1500","omp_idle_normal","1040002"
"-205","4","220","1","1","106031","1.8","1","1600","omp_idle_normal","1040003"
"1","4","0","31","","1","1","1","0","","1040004"
"","4","","93","","","","1","","","1040005"
"","4","0","21","","vo_omp_7004_000","","vo_omp_7004","0","","1040006"
"1","4","1","11","","せっかくですから\nわたしたちもアイドルを\nしてみませんか？","","105831","10","","1040007"
"","4","","91","","","","0","","","1040008"
"","4","","3","","omp_idle_normal","0","105831","1","","1040009"
"","4","","3","","omp_talk_normal","0","105931","1","","1040010"
"","4","0","21","","vo_omp_7004_001","","vo_omp_7004","0","","1040011"
"1","4","1","11","","アイドルユニット\n【美食殿】でございますね\nとても楽しそうです","","105931","10","","1040012"
"","4","","91","","","","0","","","1040013"
"","4","","4","","0","","105931","","","1040014"
"","4","","3","","omp_idle_normal","0","105931","1","","1040015"
"1","4","omp_idle_surprise1","3","","omp_surprise","0","106031","0","","1040016"
"","4","0","21","","vo_omp_7004_002","","vo_omp_7004","0","","1040017"
"1","4","1","11","","えっ！？　ホントに…！？\nじゃ、じゃなくて\nバカじゃないのあんたたち！？","","106031","10","","1040018"
"","4","","93","","1","","2","","","1040019"
"","4","","3","","omp_talk_tsun","0.1","106031","1","","1040020"
"","4","","91","","","","1040018","","","1040021"
"","4","","3","","omp_talk_tsun","0","106031","1","","1040022"
"","4","0","21","","vo_omp_7004_003","","vo_omp_7004","0","","1040023"
"1","4","1","11","","あの３人を見て\nアイドルがどれだけ大変か\n分かんなかったっての？","","106031","10","","1040024"
"","4","","91","","","","0","","","1040025"
"","4","","3","","omp_idle_tsun","0","106031","1","","1040026"
"","4","","3","","omp_talk_worry","0","105931","1","","1040027"
"","4","0","21","","vo_omp_7004_004","","vo_omp_7004","0","","1040028"
"1","4","1","11","","それはそうでございますが…\n好奇心が勝ってしまいまして","","105931","10","","1040029"
"","4","","91","","","","0","","","1040030"
"","4","","4","","1","","105931","","","1040031"
"","4","","3","","omp_idle_worry","0","105931","1","","1040032"
"","4","","3","","omp_talk_joy1","0","105831","1","","1040033"
"","4","0","21","","vo_omp_7004_005","","vo_omp_7004","0","","1040034"
"1","4","1","11","","コッコロちゃんの言う通りですよ！\nさあ、決めポーズの練習をしましょう！\nいえーい！","","105831","10","","1040035"
"","4","","93","","1","","5.5","","","1040036"
"","4","","3","","omp_psn_11","0.2","105831","0","","1040037"
"","4","","91","","","","1040035","","","1040038"
"","4","","3","","omp_talk_normal","0","105931","1","","1040039"
"","4","0","21","","vo_omp_7004_006","","vo_omp_7004","0","","1040040"
"1","4","1","11","","はい♪\nいえーい、でございます…！","","105931","10","","1040041"
"","4","","93","","1","","1.5","","","1040042"
"1","4","","3","","omp_psn_11","0.2","105931","0","","1040043"
"","4","","91","","","","1040041","","","1040044"
"","4","","4","","0","","105931","","","1040045"
"","4","","3","","omp_idle_normal","0","105931","1","","1040046"
"","4","","3","","omp_idle_joy1","0.2","105831","1","","1040047"
"","4","","3","","omp_idle_tsun","0","106031","1","","1040048"
"","4","0","21","","vo_omp_7004_007","","vo_omp_7004","0","","1040049"
"1","4","1","11","","いえーい、ってねぇ\nこれくらいしてみせなさいよ！\n―よろしくにゃん♪","","106031","10","","1040050"
"","4","","93","","1","","7","","","1040051"
"","4","","3","","omp_psn_12","0.1","106031","0","","1040052"
"","4","","93","","","","1.5","","","1040053"
"","4","","91","","","","1040050","","","1040054"
"","4","","3","","omp_idle_normal","0.2","106031","1","","1040055"
"","4","","3","","omp_idle_surprise1","0","105831","1","","1040056"
"","4","0","21","","vo_omp_7004_008","","vo_omp_7004","0","","1040057"
"1","4","1","11","","キャ、キャルちゃん…","","105831","10","","1040058"
"","4","","91","","","","0","","","1040059"
"","4","","3","","omp_idle_surprise1","0","105831","1","","1040060"
"","4","","3","","omp_talk_sad","0","105931","1","","1040061"
"","4","0","21","","vo_omp_7004_009","","vo_omp_7004","0","","1040062"
"1","4","1","11","","ものすごく、本気でございますね","","105931","10","","1040063"
"","4","","91","","","","0","","","1040064"
"","4","","3","","omp_idle_sad","0","105931","1","","1040065"
"1","4","omp_talk_surprise2","3","0.1","omp_surprise","0","106031","0","","1040066"
"","4","0","21","","vo_omp_7004_010","","vo_omp_7004","0","","1040067"
"1","4","1","11","","はっ…！\nち、違うの今のは\n条件反射っていうか…\nも、もう！　こっち見んなバカ～！","","106031","10","","1040068"
"","4","","93","","1","","6.5","","","1040069"
"","4","","3","","omp_talk_tsun","0.2","106031","1","","1040070"
"","4","","91","","","","1040068","","","1040071"
"","4","","93","","","","0.4","","","1040072"
"-190","5","-140","1","0","112611","1.8","1","1500","omp_talk_joy1","1050001"
"-190","5","140","1","1","112511","1.8","1","1500","omp_idle_normal","1050002"
"1","5","0","31","","1","1","1","0","","1050003"
"","5","","93","","","","1","","","1050004"
"","5","0","21","","vo_omp_7005_000","","vo_omp_7005","0","","1050005"
"1","5","1","11","","冒険者としていろんなところへ\n行ったりしたけど\n今回の旅が一番楽しいね！","","112611","10","","1050006"
"","5","","91","","","","0","","","1050007"
"","5","","3","","omp_idle_joy1","0","112611","1","","1050008"
"","5","","3","","omp_talk_normal","0","112511","1","","1050009"
"","5","0","21","","vo_omp_7005_001","","vo_omp_7005","0","","1050010"
"1","5","1","11","","そう、かもね\n誰かの手伝いっていうわけじゃなくて\n自分たちの目的のために\n進んでるからかな","","112511","10","","1050011"
"","5","","91","","","","0","","","1050012"
"","5","","3","","omp_idle_normal","0","112511","1","","1050013"
"","5","","3","","omp_talk_joy1","0","112611","1","","1050014"
"","5","0","21","","vo_omp_7005_002","","vo_omp_7005","0","","1050015"
"1","5","1","11","","私たちが楽しんで\n私たちを見てくれる人も\n楽しんでくれたら最高だよね\nそんな風になれるかな…","","112611","10","","1050016"
"","5","","93","","1","","6.2","","","1050017"
"","5","","3","","omp_talk_thinking","0.2","112611","1","","1050018"
"","5","","91","","","","1050016","","","1050019"
"","5","","3","","omp_idle_thinking","0","112611","1","","1050020"
"","5","","3","","omp_talk_normal2","0","112511","1","","1050021"
"","5","0","21","","vo_omp_7005_003","","vo_omp_7005","0","","1050022"
"1","5","1","11","","ミオなら…ううん\n私たちならなれるよ\n一緒に頑張ろう","","112511","10","","1050023"
"","5","","91","","","","0","","","1050024"
"","5","","3","","omp_idle_calm","0","112511","1","","1050025"
"","5","","3","","omp_talk_sad","0.1","112611","1","","1050026"
"","5","0","21","","vo_omp_7005_004","","vo_omp_7005","0","","1050027"
"1","5","1","11","","し…し…","","112611","10","","1050028"
"","5","","91","","","","0","","","1050029"
"","5","","3","","omp_idle_sad","0","112611","1","","1050030"
"","5","","3","","omp_psn_19","0","112511","1","","1050031"
"","5","0","21","","vo_omp_7005_005","","vo_omp_7005","0","","1050032"
"1","5","1","11","","し…？","","112511","10","","1050033"
"","5","","91","","","","0","","","1050034"
"","5","","3","","omp_psn_18","0","112511","1","","1050035"
"","5","","3","","omp_talk_sad","0","112611","1","","1050036"
"","5","0","21","","vo_omp_7005_006","","vo_omp_7005","0","","1050037"
"1","5","1","11","","しぶりんがいつになく優しい…！？\nどうしたのっ、ヘンなものでも食べた！？","","112611","10","","1050038"
"","5","","93","","1","","4.5","","","1050039"
"","5","","3","","omp_talk_surprise2","0.2","112611","1","","1050040"
"","5","","91","","","","1050038","","","1050041"
"","5","","3","","omp_idle_surprise2","0","112611","1","","1050042"
"","5","","3","","omp_talk_normal","0","112511","1","","1050043"
"","5","0","21","","vo_omp_7005_007","","vo_omp_7005","0","","1050044"
"1","5","1","11","","さっき、ペコリーヌの魔物料理を…\nって、これじゃあいつもの\n私が優しくないみたいじゃん\nせっかく励まそうと思ったのに…","","112511","10","","1050045"
"","5","","93","","1","","3.5","","","1050046"
"","5","","3","","omp_talk_anger","0.2","112511","1","","1050047"
"","5","","91","","","","1050045","","","1050048"
"","5","","3","","omp_idle_anger","0","112511","1","","1050049"
"","5","","3","","omp_talk_joy1","0","112611","1","","1050050"
"","5","0","21","","vo_omp_7005_008","","vo_omp_7005","0","","1050051"
"1","5","1","11","","えへへ、ごめんごめん☆","","112611","10","","1050052"
"","5","","91","","","","0","","","1050053"
"","5","","3","","omp_idle_joy1","0","112611","1","","1050054"
"","5","","3","","omp_talk_sad","0","112511","1","","1050055"
"","5","0","21","","vo_omp_7005_009","","vo_omp_7005","0","","1050056"
"1","5","1","11","","まったく\n…けど、さっきのは\nほんとのことだからね","","112511","10","","1050057"
"","5","","93","","1","","2","","","1050058"
"","5","","3","","omp_talk_normal","0.2","112511","1","","1050059"
"","5","","91","","","","1050057","","","1050060"
"","5","","3","","omp_idle_normal","0","112511","1","","1050061"
"","5","","3","","omp_talk_joy2","0","112611","1","","1050062"
"","5","0","21","","vo_omp_7005_010","","vo_omp_7005","0","","1050063"
"1","5","1","11","","うん！\nありがとっ、しぶりん！","","112611","10","","1050064"
"","5","","91","","","","0","","","1050065"
"","5","","93","","","","0.4","","","1050066"
"-195","6","-180","1","0","112511","1.8","1","1600","omp_talk_normal","1060001"
"-190","6","20","1","1","112411","1.8","1","1500","omp_idle_normal","1060002"
"-205","6","220","1","1","112611","1.8","1","1600","omp_idle_normal","1060003"
"1","6","0","31","","1","1","1","0","","1060004"
"","6","","93","","","","1","","","1060005"
"","6","0","21","","vo_omp_7006_000","","vo_omp_7006","0","","1060006"
"1","6","1","11","","ウヅキ…\n今日のレッスン\nすごく気合が入ってたね","","112511","10","","1060007"
"","6","","91","","","","0","","","1060008"
"","6","","3","","omp_idle_normal","0","112511","1","","1060009"
"","6","","3","","omp_talk_joy1","0","112611","1","","1060010"
"","6","0","21","","vo_omp_7006_001","","vo_omp_7006","0","","1060011"
"1","6","1","11","","うんうん！\n一緒にレッスンしてるこっちが\n見とれちゃうくらいだったよ～！\nなにかあったのしまむー？","","112611","10","","1060012"
"","6","","91","","","","0","","","1060013"
"","6","","4","","0","","112411","","","1060014"
"","6","","3","","omp_idle_joy1","0","112611","1","","1060015"
"","6","","3","","omp_talk_joy1","0","112411","1","","1060016"
"","6","0","21","","vo_omp_7006_002","","vo_omp_7006","0","","1060017"
"1","6","1","11","","えへへっ、ありがとうございます！\nえっと…","","112411","10","","1060018"
"","6","","91","","","","0","","","1060019"
"","6","","3","","omp_talk_normal","0","112411","1","","1060020"
"","6","0","21","","vo_omp_7006_003","","vo_omp_7006","0","","1060021"
"1","6","1","11","","朝、一人でレッスンしてたら\nお散歩してた人から\n『いつも頑張ってるね』って\n言ってもらえたんです","","112411","10","","1060022"
"","6","","91","","","","0","","","1060023"
"","6","","3","","omp_talk_thinking","0","112411","1","","1060024"
"","6","0","21","","vo_omp_7006_004","","vo_omp_7006","0","","1060025"
"1","6","1","11","","あの人にとっては何気ない\n一言だったのかも知れないですけど\n私にはそれがとてもうれしくて","","112411","10","","1060026"
"","6","","91","","","","0","","","1060027"
"","6","","3","","omp_talk_normal2","0","112411","1","","1060028"
"","6","0","21","","vo_omp_7006_005","","vo_omp_7006","0","","1060029"
"1","6","1","11","","だからもっともっと頑張って\n最高のステージをすることで\nその言葉にお返しが\nできたらなって…","","112411","10","","1060030"
"","6","","91","","","","0","","","1060031"
"","6","","3","","omp_idle_calm","0","112411","1","","1060032"
"","6","","3","","omp_talk_sad","0","112611","1","","1060033"
"","6","0","21","","vo_omp_7006_006","","vo_omp_7006","0","","1060034"
"1","6","1","11","","しまむー…！","","112611","10","","1060035"
"","6","","91","","","","0","","","1060036"
"","6","","4","","1","","112411","","","1060037"
"","6","","3","","omp_idle_sad","0","112611","1","","1060038"
"","6","","3","","omp_talk_thinking","0","112511","1","","1060039"
"","6","0","21","","vo_omp_7006_007","","vo_omp_7006","0","","1060040"
"1","6","1","11","","そっか\nそんなウヅキだから、私たちは\n一緒にやっていきたいって思うんだよ\nミオもそうだよね？","","112511","10","","1060041"
"","6","","91","","","","0","","","1060042"
"","6","","4","","0","","112411","","","1060043"
"","6","","3","","omp_idle_thinking","0","112511","1","","1060044"
"","6","","3","","omp_talk_joy1","0","112611","1","","1060045"
"","6","0","21","","vo_omp_7006_008","","vo_omp_7006","0","","1060046"
"1","6","1","11","","うん！　これからも３人で\n頑張っていこうね！\nしまむー、しぶりん！","","112611","10","","1060047"
"","6","","91","","","","0","","","1060048"
"","6","","4","","1","","112411","","","1060049"
"","6","","3","","omp_idle_joy1","0","112611","1","","1060050"
"","6","","3","","omp_talk_joy2","0","112411","1","","1060051"
"","6","0","21","","vo_omp_7006_009","","vo_omp_7006","0","","1060052"
"1","6","1","11","","リンちゃん、ミオちゃん…！　はい！\n【ニュージェネレーションズ】みんなで\n最高のアイドルを目指しましょう！","","112411","10","","1060053"
"","6","","93","","1","","1.2","","","1060054"
"","6","","4","","0","","112411","","","1060055"
"","6","","91","","","","1060053","","","1060056"
"1","6","0","2","","-180","","112511","-195","","1060057"
"1","6","0","2","","0","","112411","-190","","1060058"
"1","6","0","2","","180","","112611","-195","","1060059"
"","6","","3","","omp_psn_dicision_rin","0.1","112511","0","","1060060"
"","6","","3","","omp_psn_dicision_uduki","0.1","112411","0","","1060061"
"","6","","3","","omp_psn_dicision_mio","0.1","112611","0","","1060062"
"1","6","0","31","","2","1","2","0","","1060063"
"","6","","91","","","","1060062","","","1060064"
"","6","","93","","","","0.6","","","1060065"
"-205","7","-100","1","0","105831","1.8","1","1600","omp_idle_normal","1070001"
"-225","7","-390","1","0","105931","1.8","1","1600","omp_idle_normal","1070002"
"-190","7","-260","1","0","106031","1.8","1","1500","omp_idle_normal","1070003"
"-185","7","250","1","1","112511","1.8","1","1500","omp_idle_normal","1070004"
"-220","7","385","1","1","112411","1.8","1","1600","omp_idle_normal","1070005"
"-195","7","100","1","1","112611","1.8","1","1600","omp_idle_normal","1070006"
"1","7","0","31","","1","1","1","0","","1070007"
"","7","","93","","","","0.2","","","1070008"
"","7","","3","","omp_idle_normal","0.1","112611","1","","1070009"
"","7","","3","","omp_talk_normal","0","112411","1","","1070010"
"","7","","3","","omp_idle_normal","0.1","112511","1","","1070011"
"","7","","3","","omp_idle_normal","0.1","105831","1","","1070012"
"","7","","93","","","","0.1","","","1070013"
"","7","","93","","","","1","","","1070014"
"","7","0","21","","vo_omp_7007_000","","vo_omp_7007","0","","1070015"
"1","7","1","11","","今思うと…最初のゲリラLIVEは\nほんとうにいっぱいいっぱいでしたね","","112411","10","","1070016"
"","7","","91","","","","0","","","1070017"
"","7","","3","","omp_idle_normal","0.1","112411","1","","1070018"
"","7","","3","","omp_talk_normal","0.1","105831","1","","1070019"
"","7","0","21","","vo_omp_7007_001","","vo_omp_7007","0","","1070020"
"1","7","1","11","","緊張してるのが見てて分かりましたよ\nなんだかこっちまで緊張して\nお腹が締め付けられる思いでしたよ～","","105831","10","","1070021"
"","7","","91","","","","0","","","1070022"
"","7","","3","","omp_idle_normal","0","105831","1","","1070023"
"","7","","3","","omp_talk_worry","0","105931","1","","1070024"
"","7","0","21","","vo_omp_7007_002","","vo_omp_7007","0","","1070025"
"1","7","1","11","","ペコリーヌさまの場合は、\n空腹で締め付けられていた\n可能性もありますが…","","105931","10","","1070026"
"","7","","91","","","","0","","","1070027"
"","7","","3","","omp_idle_worry","0","105931","1","","1070028"
"","7","","3","","omp_talk_normal","0","106031","1","","1070029"
"","7","0","21","","vo_omp_7007_003","","vo_omp_7007","0","","1070030"
"1","7","1","11","","まーたしかに、あのときの\nウヅキたちのゲリラLIVEは\nほんとにボロボロだったわね！","","106031","10","","1070031"
"","7","","91","","","","0","","","1070032"
"","7","","3","","omp_idle_normal","0","106031","1","","1070033"
"","7","","3","","omp_talk_worry","0","112611","1","","1070034"
"","7","0","21","","vo_omp_7007_004","","vo_omp_7007","0","","1070035"
"1","7","1","11","","もうっ、キャルキャル～\nあんま言わないでよ～！\n私たちだってわかってるんだからさ～","","112611","10","","1070036"
"","7","","91","","","","0","","","1070037"
"","7","","3","","omp_idle_worry","0","112611","1","","1070038"
"","7","","3","","omp_talk_normal2","0","105931","1","","1070039"
"","7","0","21","","vo_omp_7007_005","","vo_omp_7007","0","","1070040"
"1","7","1","11","","でも、自分たちで立ち上がって\n再び舞台に立つ姿…\nわたくし、感動いたしました","","105931","10","","1070041"
"","7","","91","","","","0","","","1070042"
"","7","","3","","omp_idle_calm","0","105931","1","","1070043"
"","7","","3","","omp_talk_normal2","0","112511","1","","1070044"
"","7","0","21","","vo_omp_7007_006","","vo_omp_7007","0","","1070045"
