3bb558619867c96822827ceb4eab60b241a98fbcd298524a6b08a2c18981f4fd,6b12e131b1cdfb0dfa4e4af32e9e97bb12253a08d798eb280bef49884fcf4ba9,9b64d91b7a68842dffb848aa6413050339f3d98f52996909a443a5bf118c188c,6fc75d3dd17939fd85e5f305666fababe34842d7a1d9201c7c4fa36ea2fb8e35,0eb603fbfb89e7854f474d68006a2be4096602eafc96396f784439deb98bd761,6edada3f08bc019892839d2d50b7d3d7784316867d991ad40548ac33e22c2d9c,0fe3cee09bd6fe3c8cab488f9ee89f78bcd3ebebc5563a576aefb648c58aa23d,14dc7d858406d8e35cbc5f655d79bd5add1fb8b74785ab8bf7bd0628b0c919a9,60761375bd0f22c6b8191eb5849627b965aa85fd16ae172f29be26817acae4c2,18ee720ed07487f76c1f494bea75394a265a85d393ea8ec979d8cd7cb85b7b6b,18527060db14e1345f15d093e684835c6a9b819b4c204d8544086cf15b56ac89,8292fd5d95a46ac980445e3a99ead29035f19f1a2c83d0a1f5e2b0c7c6045b86
"2","0","5154063","0","0","0","14","0","vo_abd_0205","0","vo_abd","515406314"
"1","1.5","5154063","0","0","5","15","360","0","0","0","515406315"
"4","0","5154063","2","1","0","16","0","0","0","0","515406316"
"2","0","5154063","0","0","0","17","0","vo_abd_0206","0","vo_abd","515406317"
"1","1.8","5154063","0","0","6","18","310","0","0","0","515406318"
"4","0","5154063","3","1","0","19","0","0","0","0","515406319"
"2","0","5154063","0","0","0","20","0","vo_abd_0207","0","vo_abd","515406320"
"1","1.2","5154063","0","0","8","21","245","0","0","0","515406321"
"4","0","5154063","1.6","1","0","22","0","0","0","0","515406322"
"1","0.45","5154063","0","0","8","23","400","0","245","0","515406323"
"4","0","5154063","0.45","1","0","24","0","0","0","0","515406324"
"2","0","5154063","0","0","0","25","0","vo_abd_0208","0","vo_abd","515406325"
"1","1.1","5154063","0","0","9","26","300","0","0","0","515406326"
"4","0","5154063","1.6","1","0","27","0","0","0","0","515406327"
"2","0","5154063","0","0","0","28","0","vo_abd_0209","0","vo_abd","515406328"
"1","0.5","5154063","0","0","10","29","280","0","0","0","515406329"
"4","0","5154063","0.5","1","0","30","0","0","0","0","515406330"
"2","0","5154063","0","0","0","31","0","vo_abd_0210","0","vo_abd","515406331"
"1","1","5154063","0","0","11","32","360","0","0","0","515406332"
"4","0","5154064","0.8","1","0","1","0","0","0","0","515406401"
"2","0","5154064","0","0","0","2","0","vo_abd_0301","0","vo_abd","515406402"
"1","2","5154064","0","0","1","3","330","0","0","0","515406403"
"4","0","5154064","2.8","1","0","4","0","0","0","0","515406404"
"2","0","5154064","0","0","0","5","0","vo_abd_0302","0","vo_abd","515406405"
"1","2","5154064","0","0","2","6","400","0","0","0","515406406"
"4","0","5154064","3.5","1","0","7","0","0","0","0","515406407"
"2","0","5154064","0","0","0","8","0","vo_abd_0303","0","vo_abd","515406408"
"1","2.8","5154064","0","0","3","9","425","0","0","0","515406409"
"4","0","5154064","3.5","1","0","10","0","0","0","0","515406410"
"2","0","5154064","0","0","0","11","0","vo_abd_0304","0","vo_abd","515406411"
"1","3","5154064","0","0","4","12","450","0","0","0","515406412"
"4","0","5154064","4","1","0","13","0","0","0","0","515406413"
"2","0","5154064","0","0","0","14","0","vo_abd_0305","0","vo_abd","515406414"
"1","0.2","5154064","0","0","5","15","35","0","0","0","515406415"
"4","0","5154064","1.05","1","0","16","0","0","0","0","515406416"
"1","2","5154064","0","0","5","17","420","0","45","0","515406417"
"4","0","5154064","3.5","1","0","18","0","0","0","0","515406418"
"2","0","5154064","0","0","0","19","0","vo_abd_0306","0","vo_abd","515406419"
"1","1","5154064","0","0","6","20","175","0","0","0","515406420"
"4","0","5154064","1.7","1","0","21","0","0","0","0","515406421"
"1","1","5154064","0","0","6","22","260","0","175","0","515406422"
"4","0","5154064","2.8","1","0","23","0","0","0","0","515406423"
"1","0.8","5154064","0","0","6","24","400","0","260","0","515406424"
"4","0","5154064","0.96","1","0","25","0","0","0","0","515406425"
"2","0","5154064","0","0","0","26","0","vo_abd_0307","0","vo_abd","515406426"
"1","1.5","5154064","0","0","7","27","245","0","0","0","515406427"
"4","0","5154064","1.7","1","0","28","0","0","0","0","515406428"
"1","0.8","5154064","0","0","7","29","400","0","245","0","515406429"
"4","0","5154064","2","1","0","30","0","0","0","0","515406430"
"2","0","5154064","0","0","0","31","0","vo_abd_0308","0","vo_abd","515406431"
"1","1","5154064","0","0","8","32","208","0","0","0","515406432"
"4","0","5154064","2","1","0","33","0","0","0","0","515406433"
"1","0.3","5154064","0","0","8","34","270","0","208","0","515406434"
"4","0","5154064","1.5","1","0","35","0","0","0","0","515406435"
"1","0.8","5154064","0","0","8","36","400","0","275","0","515406436"
"4","0","5154064","2","1","0","37","0","0","0","0","515406437"
"2","0","5154064","0","0","0","38","0","vo_abd_0309","0","vo_abd","515406438"
"1","2","5154064","0","0","9","39","300","0","0","0","515406439"
"4","0","5154064","2.65","1","0","40","0","0","0","0","515406440"
"1","1","5154064","0","0","9","41","425","0","300","0","515406441"
"4","0","5154064","2","1","0","42","0","0","0","0","515406442"
"2","0","5154064","0","0","0","43","0","vo_abd_0310","0","vo_abd","515406443"
"1","2.5","5154064","0","0","10","44","375","0","0","0","515406444"
"4","0","5154064","4","1","0","45","0","0","0","0","515406445"
"2","0","5154064","0","0","0","46","0","vo_abd_0311","0","vo_abd","515406446"
"1","1.2","5154064","0","0","11","47","165","0","0","0","515406447"
"4","0","5154064","2","1","0","48","0","0","0","0","515406448"
"1","1","5154064","0","0","11","49","295","0","165","0","515406449"
"4","0","5154064","2.5","1","0","50","0","0","0","0","515406450"
"1","0.5","5154064","0","0","11","51","400","0","295","0","515406451"
"4","0","5154065","0.8","1","0","1","0","0","0","0","515406501"
"2","0","5154065","0","0","0","2","0","vo_abd_0401","0","vo_abd","515406502"
"1","2","5154065","0","0","1","3","400","0","0","0","515406503"
"4","0","5154065","3.2","1","0","4","0","0","0","0","515406504"
"2","0","5154065","0","0","0","5","0","vo_abd_0402","0","vo_abd","515406505"
"1","2","5154065","0","0","2","6","400","0","0","0","515406506"
"4","0","5154065","3.7","1","0","7","0","0","0","0","515406507"
"2","0","5154065","0","0","0","8","0","vo_abd_0403","0","vo_abd","515406508"
"1","2","5154065","0","0","3","9","400","0","0","0","515406509"
"4","0","5154065","3","1","0","10","0","0","0","0","515406510"
"2","0","5154065","0","0","0","11","0","vo_abd_0404","0","vo_abd","515406511"
"1","1","5154065","0","0","4","12","155","0","0","0","515406512"
"4","0","5154065","1.15","1","0","13","0","0","0","0","515406513"
"1","1","5154065","0","0","4","14","425","0","155","0","515406514"
"4","0","5154065","2.5","1","0","15","0","0","0","0","515406515"
"2","0","5154065","0","0","0","16","0","vo_abd_0405","0","vo_abd","515406516"
"1","2.4","5154065","0","0","5","17","450","0","0","0","515406517"
"4","0","5154065","2.9","1","0","18","0","0","0","0","515406518"
"2","0","5154065","0","0","0","19","0","vo_abd_0407","0","vo_abd","515406519"
"1","1","5154065","0","0","6","20","300","0","0","0","515406520"
"4","0","5154065","1.5","1","0","21","0","0","0","0","515406521"
"2","0","5154065","0","0","0","22","0","vo_abd_0408","0","vo_abd","515406522"
"1","1","5154065","0","0","7","23","250","0","0","0","515406523"
"4","0","5154065","1","1","0","24","0","0","0","0","515406524"
"2","0","5154065","0","0","0","25","0","vo_abd_0409","0","vo_abd","515406525"
"1","1","5154065","0","0","8","26","250","0","0","0","515406526"
"4","0","5154065","2","1","0","27","0","0","0","0","515406527"
"2","0","5154065","0","0","0","28","0","vo_abd_0410","0","vo_abd","515406528"
"1","0.2","5154065","0","0","9","29","50","0","0","0","515406529"
"4","0","5154065","0.7","1","0","30","0","0","0","0","515406530"
"1","1.5","5154065","0","0","9","31","280","0","50","0","515406531"
"4","0","5154065","2.5","1","0","32","0","0","0","0","515406532"
"2","0","5154065","0","0","0","33","0","vo_abd_0411","0","vo_abd","515406533"
"1","0.2","5154065","0","0","10","34","35","0","0","0","515406534"
"4","0","5154065","1.08","1","0","35","0","0","0","0","515406535"
"1","0.3","5154065","0","0","10","36","107","0","35","0","515406536"
"4","0","5154065","0.9","1","0","37","0","0","0","0","515406537"
"1","1.5","5154065","0","0","10","38","425","0","107","0","515406538"
