c0effbccfee20244d9c0de92ff102837b0d88f2b71b2c906827024c6fe1520f8,73df246d5c6222210c7a4a8c9e3c5b2055279b0cb3215d96bc8630da6c1d37d4,44989979ed8b9fdc6d2978c49588a3d0e065a7d13dd9da86348f405b948934de,e3bbf097319903c1e7b5aca73bac1c5da2f6ac38debbf076702c28cf6d2ef768,34c7e344314ab582444b51df1155fbbe53c0562d5815e6771abecbdc959bec10,aaa6524c6007524d7deb0150a1c6787e274a98097d55517fd0be28d367ac2560,5243ae9de30bc6177fbdf4c99cadc52cad702300c16e06cd50e00f5f50a37ac8,5c11de100277007c0558e4e94e82722cb22d839b6ea6ef11822c72a2f1f64038,1aba77e7ff285e21d9a9eaa57ee5c9c8565da02edb2f4fc23a4979ea7f19237f,75ddb27e0e50dac8440dee3dd7d35b3cc7c5f5e1dada16bae37a46e1e4e3044e,35b5071074af52cb050fb5a5dfa29c84f92aaa837bd8e97739d019be8a3ce3ca,ab602b8640491e6d5b280bee30171915dbddec15b08d22c3b81afc0804d51ec4
"27006","スペシャル交換チケット","2015/12/17 15:00:00","0","0","0","1","特定のキャラを交換できるチケット。","999","0","17","2030/08/01 14:59:59"
"27007","スペシャル交換チケット","2015/12/17 15:00:00","0","0","0","1","特定のキャラを交換できるチケット。","999","0","17","2030/08/01 14:59:59"
"27008","5th Anniv. スペシャル交換チケット","2023/02/15 15:00:00","0","0","0","1","特定のキャラを交換できるチケット。","999","0","17","2030/08/01 14:59:59"
"27009","コラボ記念 スペシャル交換チケット","2023/04/30 12:00:00","0","0","0","1","特定のキャラを交換できるチケット。","999","0","17","2030/08/01 14:59:59"
"27010","スペシャル交換チケット","2015/12/17 15:00:00","0","0","0","1","特定のキャラを交換できるチケット。","999","0","17","2030/08/01 14:59:59"
"27011","Sダッシュ スペシャル交換チケット","2023/08/15 12:00:00","0","0","0","1","特定のキャラを交換できるチケット。","999","0","17","2030/08/01 14:59:59"
"27012","スペシャル交換チケット（限定＋）","2023/12/31 12:00:00","0","0","0","1","特定のキャラを交換できるチケット。","999","0","17","2030/08/01 14:59:59"
"27013","6th Anniv. スペシャル交換チケット","2024/02/15 00:00:00","0","0","0","1","特定のキャラを交換できるチケット。","999","0","17","2030/08/01 14:59:59"
"27014","スペシャル交換チケット（限定＋）","2024/04/30 12:00:00","0","0","0","1","特定のキャラを交換できるチケット。","999","0","17","2030/08/01 14:59:59"
"27015","スペシャル交換チケット（限定＋）","2024/08/15 15:00:00","0","0","0","1","特定のキャラを交換できるチケット。","999","0","17","2030/08/01 14:59:59"
"28001","ぺコリーヌのメモリーピース交換チケット","2020/08/04 12:00:00","0","0","0","1","特定のキャラのメモリーピースを交換できるチケット。","999","0","17","2030/08/01 14:59:59"
"28002","コッコロのメモリーピース交換チケット","2020/08/04 12:00:00","0","0","0","1","特定のキャラのメモリーピースを交換できるチケット。","999","0","17","2030/08/01 14:59:59"
"28003","キャルのメモリーピース交換チケット","2020/08/04 12:00:00","0","0","0","1","特定のキャラのメモリーピースを交換できるチケット。","999","0","17","2030/08/01 14:59:59"
"28004","ハツネのメモリーピース交換チケット","2020/09/03 19:00:00","0","0","0","1","特定のキャラのメモリーピースを交換できるチケット。","999","0","17","2030/08/01 14:59:59"
"28005","シオリのメモリーピース交換チケット","2020/09/03 19:00:00","0","0","0","1","特定のキャラのメモリーピースを交換できるチケット。","999","0","17","2030/08/01 14:59:59"
"28006","クリスティーナのメモリーピース交換チケット","2020/09/03 19:00:00","0","0","0","1","特定のキャラのメモリーピースを交換できるチケット。","999","0","17","2030/08/01 14:59:59"
"28007","ミミのメモリーピース交換チケット","2020/10/01 17:00:00","0","0","0","1","特定のキャラのメモリーピースを交換できるチケット。","999","0","17","2030/08/01 14:59:59"
"28008","ミソギのメモリーピース交換チケット","2020/10/01 17:00:00","0","0","0","1","特定のキャラのメモリーピースを交換できるチケット。","999","0","17","2030/08/01 14:59:59"
"28009","キョウカのメモリーピース交換チケット","2020/10/01 17:00:00","0","0","0","1","特定のキャラのメモリーピースを交換できるチケット。","999","0","17","2030/08/01 14:59:59"
"28010","シズルのメモリーピース交換チケット","2020/11/05 12:00:00","0","0","0","1","特定のキャラのメモリーピースを交換できるチケット。","999","0","17","2030/08/01 14:59:59"
"28011","リノのメモリーピース交換チケット","2020/11/05 12:00:00","0","0","0","1","特定のキャラのメモリーピースを交換できるチケット。","999","0","17","2030/08/01 14:59:59"
"28012","ネネカのメモリーピース交換チケット","2020/11/05 12:00:00","0","0","0","1","特定のキャラのメモリーピースを交換できるチケット。","999","0","17","2030/08/01 14:59:59"
"28013","ユニのメモリーピース交換チケット","2022/03/21","0","0","0","1","特定のキャラのメモリーピースを交換できるチケット。","999","0","17","2030/08/01 14:59:59"
"28014","チエルのメモリーピース交換チケット","2022/03/21","0","0","0","1","特定のキャラのメモリーピースを交換できるチケット。","999","0","17","2030/08/01 14:59:59"
"28015","クロエのメモリーピース交換チケット","2022/03/21","0","0","0","1","特定のキャラのメモリーピースを交換できるチケット。","999","0","17","2030/08/01 14:59:59"
"28016","チカのメモリーピース交換チケット","2022/04/18","0","0","0","1","特定のキャラのメモリーピースを交換できるチケット。","999","0","17","2030/08/01 14:59:59"
"28017","カスミのメモリーピース交換チケット","2022/04/18","0","0","0","1","特定のキャラのメモリーピースを交換できるチケット。","999","0","17","2030/08/01 14:59:59"
"28018","モニカのメモリーピース交換チケット","2022/04/18","0","0","0","1","特定のキャラのメモリーピースを交換できるチケット。","999","0","17","2030/08/01 14:59:59"
"28019","ラビリスタのメモリーピース交換チケット","2022/05/16","0","0","0","1","特定のキャラのメモリーピースを交換できるチケット。","999","0","17","2030/08/01 14:59:59"
"28020","ジュンのメモリーピース交換チケット","2022/05/16","0","0","0","1","特定のキャラのメモリーピースを交換できるチケット。","999","0","17","2030/08/01 14:59:59"
"28021","エリコのメモリーピース交換チケット","2022/05/16","0","0","0","1","特定のキャラのメモリーピースを交換できるチケット。","999","0","17","2030/08/01 14:59:59"
"28022","プリンセスフェス限定メモリーピース交換チケット2023","2022/01/15 15:00:00","0","0","0","1","特定のキャラのメモリーピースを交換できるチケット。","999","0","17","2030/08/01 14:59:59"
"28023","限定メモリーピース交換チケット2023","2022/01/15 15:00:00","0","0","0","1","特定のキャラのメモリーピースを交換できるチケット。","999","0","17","2030/08/01 14:59:59"
"28024","メモリーピース交換チケット2023","2022/01/15 15:00:00","0","0","0","1","特定のキャラのメモリーピースを交換できるチケット。","999","0","17","2030/08/01 14:59:59"
"28025","GWメモリーピース交換チケット2024","2024/04/30 12:00:00","0","0","0","1","特定のキャラのメモリーピースを交換できるチケット。","999","0","17","2030/08/01 14:59:59"
"28026","GWピュアメモリーピース交換チケット2024","2024/04/30 12:00:00","0","0","0","1","特定のキャラのピュアメモリーピースを交換できるチケット。","999","0","17","2030/08/01 14:59:59"
"28027","6.5周年メモリーピース交換チケット","2024/08/15 15:00:00","0","0","0","1","特定のキャラのメモリーピースを交換できるチケット。","999","0","17","2030/08/01 14:59:59"
"28028","6.5周年ピュアメモリーピース交換チケット","2024/08/15 15:00:00","0","0","0","1","特定のキャラのピュアメモリーピースを交換できるチケット。","999","0","17","2030/08/01 14:59:59"
"28501","EX★5武器交換チケット","2024/10/15 15:00:00","0","0","0","1","特定のEX★5武器と交換できるチケット。","999","0","17","2030/08/01 14:59:59"
"31000","メモリーピース","2015/12/17 15:00:00","0","0","0","2","記憶の欠片が封印されたアイテム。一定数集めると、キャラの秘められた力を解き放つ。","1","0","6","2030/08/01 14:59:59"
"31001","ヒヨリのメモリーピース","2015/12/17 15:00:00","0","5174112","0","1","ヒヨリの記憶の欠片が封印されたアイテム。一定数集めると、キャラの秘められた力を解き放つ。","9999","31001","11","2030/08/01 14:59:59"
"31002","ユイのメモリーピース","2015/12/17 15:00:00","0","7201112","0","1","ユイの記憶の欠片が封印されたアイテム。一定数集めると、キャラの秘められた力を解き放つ。","9999","31002","11","2030/08/01 14:59:59"
"31003","レイのメモリーピース","2015/12/17 15:00:00","0","8301112","0","1","レイの記憶の欠片が封印されたアイテム。一定数集めると、キャラの秘められた力を解き放つ。","9999","31003","11","2030/08/01 14:59:59"
"31004","ミソギのメモリーピース","2015/12/17 15:00:00","0","6124112","0","1","ミソギの記憶の欠片が封印されたアイテム。一定数集めると、キャラの秘められた力を解き放つ。","9999","31004","11","2030/08/01 14:59:59"
"31005","マツリのメモリーピース","2015/12/17 15:00:00","0","6032112","0","1","マツリの記憶の欠片が封印されたアイテム。一定数集めると、キャラの秘められた力を解き放つ。","9999","31005","11","2030/08/01 14:59:59"
"31006","アカリのメモリーピース","2015/12/17 15:00:00","0","10112","0","1","アカリの記憶の欠片が封印されたアイテム。一定数集めると、キャラの秘められた力を解き放つ。","9999","31006","11","2030/08/01 14:59:59"
"31007","ミヤコのメモリーピース","2015/12/17 15:00:00","0","6170112","0","1","ミヤコの記憶の欠片が封印されたアイテム。一定数集めると、キャラの秘められた力を解き放つ。","9999","31007","11","2030/08/01 14:59:59"
"31008","ユキのメモリーピース","2015/12/17 15:00:00","0","7211112","0","1","ユキの記憶の欠片が封印されたアイテム。一定数集めると、キャラの秘められた力を解き放つ。","9999","31008","11","2030/08/01 14:59:59"
"31009","アンナのメモリーピース","2015/12/17 15:00:00","0","94312","0","1","アンナの記憶の欠片が封印されたアイテム。一定数集めると、キャラの秘められた力を解き放つ。","9999","31009","11","2030/08/01 14:59:59"
"31010","マホのメモリーピース","2015/12/17 15:00:00","0","6054112","0","1","マホの記憶の欠片が封印されたアイテム。一定数集めると、キャラの秘められた力を解き放つ。","9999","31010","11","2030/08/01 14:59:59"
"31011","リノのメモリーピース","2015/12/17 15:00:00","0","8144112","0","1","リノの記憶の欠片が封印されたアイテム。一定数集めると、キャラの秘められた力を解き放つ。","9999","31011","11","2030/08/01 14:59:59"
"31012","ハツネのメモリーピース","2015/12/17 15:00:00","0","5032112","0","1","ハツネの記憶の欠片が封印されたアイテム。一定数集めると、キャラの秘められた力を解き放つ。","9999","31012","11","2030/08/01 14:59:59"
"31013","ナナカのメモリーピース","2015/12/17 15:00:00","0","4040112","0","1","ナナカの記憶の欠片が封印されたアイテム。一定数集めると、キャラの秘められた力を解き放つ。","9999","31013","11","2030/08/01 14:59:59"
"31014","カスミのメモリーピース","2015/12/17 15:00:00","0","1022112","0","1","カスミの記憶の欠片が封印されたアイテム。一定数集めると、キャラの秘められた力を解き放つ。","9999","31014","11","2030/08/01 14:59:59"
"31015","ミサトのメモリーピース","2015/12/17 15:00:00","0","6120212","0","1","ミサトの記憶の欠片が封印されたアイテム。一定数集めると、キャラの秘められた力を解き放つ。","9999","31015","11","2030/08/01 14:59:59"
"31016","スズナのメモリーピース","2015/12/17 15:00:00","0","2222112","0","1","スズナの記憶の欠片が封印されたアイテム。一定数集めると、キャラの秘められた力を解き放つ。","9999","31016","11","2030/08/01 14:59:59"
"31017","カオリのメモリーピース","2015/12/17 15:00:00","0","1004112","0","1","カオリの記憶の欠片が封印されたアイテム。一定数集めると、キャラの秘められた力を解き放つ。","9999","31017","11","2030/08/01 14:59:59"
"31018","イオのメモリーピース","2015/12/17 15:00:00","0","104112","0","1","イオの記憶の欠片が封印されたアイテム。一定数集めると、キャラの秘められた力を解き放つ。","9999","31018","11","2030/08/01 14:59:59"
