7e7366f4576dbf85e208992fd96fb57e4c8a263d5d2ee43d31181a9f4a979085,e323004464e36da50666da54fcb2d6b7ec6c14fb7443ab6338898908253e1a03,195d27282e3360dad393ab406096f57a95dbd552318d4ab5b2c2d19437a17e52,ff215dfe1fe0b13b247b0708e1f3218821ff05bc4f2e2b23e978774b7982c8eb,6e4dc38de1ad98bf791fb26af99f19d5161c1c178821b399c0906f632651dce6,828c2dec8287191d68b6aa19c65651d68996e205fef5eb8c3293e98716eabb44,7b20991a4b6c5783a2815955bf96bbfa2a4eb307915626ae8e4fbd72c39b299d,0faefc07481ae360a3e2bb5029b7cf861eb5dec39b3219967e0f7eab91a287e6,357639257e4680f59b3a551c2db0755c9bac056c0d55b9ca45ed8e810431e114,af66f7e0447bb73888beefcd3ee814bfd8e33eed786f85a0314d3922519ad03a,7006cfd249a19d3396d9d7f0d1d3bc1c285cbea18672cc9e1711c41d67a1b8ec
"13007","100","1","13","","0","","31","0","1","0"
"13008","0","","13","","","","35","","100",""
"13009","0","0","13","0","50","black","5","1","0","16"
"13010","1","0","13","0","1","","6","0","0","1"
"13011","","","13","","","","91","","0",""
"13012","0","","13","","","","93","","0.1",""
"13013","1","1","13","0","1","","6","0.2","1","1"
"13014","1","1","13","0","1","","6","0.2","2","1"
"13015","1","1","13","0","1","","6","0.2","3","1"
"13016","1","1","13","0","1","","6","0.2","0","1"
"13017","-30","2","13","","0.3","","2","","1","-230"
"13018","-190","2","13","","0.3","","2","","2","-255"
"13019","220","2","13","","0.3","","2","","3","-245"
"13020","0","2","13","","0.3","","2","","0","0"
"13021","1","","13","","","","32","","100",""
"13022","0","","13","","","","93","","0.6",""
"13023","sad_talk_look_shy_riri","","13","","","","3","0.2","1","1"
"13024","vo_asb_1521","","13","","0","","21","","vo_asb","0"
"13025","実はわたくしたち……\nこの、学びのスクラップブックを\n兄様にご覧いただくのが、\n少し、恥ずかしかったのです。","1","13","0","1","0","11","0","1","10"
"13026","","","13","","0","","91","","0","0"
"13027","sad_idle_normal_look_shy_riri","","13","","","","3","0.2","1","1"
"13028","clear_talk_look_shy","","13","","","","3","0.2","2","1"
"13029","vo_asb_1522","","13","","0","","21","","vo_asb","0"
"13030","だって、楽しい思い出と同じくらい、\nヘマしたり、力及ばずなこともあって。\nそれを改めてお兄さんに見てもらうのは\n勇気がいるっていうか……","1","13","0","1","0","11","0","2","10"
"13031","","","13","","0","","91","","0","0"
"13032","clear_idle_look_shy","","13","","","","3","0.3","2","1"
"13033","sad_talk_look_precia","","13","","","","3","0.2","3","1"
"13034","vo_asb_1523","","13","","0","","21","","vo_asb","0"
"13035","せきらら\nぼうけんき。","1","13","0","1","0","11","0","3","10"
"13036","","","13","","0","","91","","0","0"
"13037","idle_look_precia","","13","","","","3","0.2","3","1"
"13038","talk_look_shy_riri","","13","","","","3","0.3","1","1"
"13039","vo_asb_1524","","13","","0","","21","","vo_asb","0"
"13040","でも……これも学びです。\n兄様。ぜひご覧になった感想を、\nお聞かせ願えませんでしょうか？","1","13","0","1","0","11","0","1","10"
"13041","","","13","","0","","91","","0","0"
"13042","wish_talk_look_shy_riri","","13","","","","3","0.2","1","1"
"13043","vo_asb_1525","","13","","0","","21","","vo_asb","0"
"13044","どんなに厳しい叱咤もご指導も、\n謹んでお受けいたしますので──\nって、…………え？","1","13","0","1","0","11","0","1","10"
"13045","","","13","","0","","91","","0","0"
"13046","idle_look_shy","","13","","","","3","0.2","2","1"
"13047","joy_idle_look_shy_precia","","13","","","","3","0.3","3","1"
"13048","wish_talk_Ex4","","13","","","","3","0.2","1","1"
"13049","vo_asb_1526","","13","","0","","21","","vo_asb","0"
"13050","…………\nま、まさか……\nそのようにお褒めいただけるなんて……","1","13","0","1","0","11","0","1","10"
"13051","","","13","","0","","91","","0","0"
"13052","idle_look_shy_riri","","13","","","","3","0.2","1","1"
"13053","surprise_idle_lookR_precia","","13","","","","3","0.4","3","1"
"13054","vo_asb_1527","","13","","0","","21","","vo_asb","0"
"13055","お兄……","1","13","0","1","0","11","0","3","10"
"13056","","","13","","0","","91","","0","0"
"13057","joy_idle_look_shy_precia2","","13","","","","3","0.4","3","1"
"13058","clear_talk2_look","","13","","","","3","0.2","2","1"
"13059","vo_asb_1528","","13","","0","","21","","vo_asb","0"
"13060","お兄さんは、\n結果云々ではなく、\nわたしたちががんばったこと、\nそれ自体を褒めてくれるんですね……","1","13","0","1","0","11","0","2","10"
"13061","","","13","","0","","91","","0","0"
"13062","wish_talk_Ex3","","13","","","","3","0.2","1","1"
"13063","joy_idle_look_shy_precia","","13","","","","3","0.3","3","1"
"13064","talk2ToWish_look","1","13","0","clear_wish_talk_joy_look","","3","0.2","2","0"
"13065","vo_asb_1529","","13","","0","","21","","vo_asb","0"
"13066","……ありがとうございます！","1","13","0","1","0","11","0","1","10"
"13067","","","13","","0","","91","","0","0"
"13068","idle_look_shy_riri","","13","","","","3","0.2","1","1"
"13069","idle_look_shy","","13","","","","3","0.2","2","1"
"13070","doya_in_precia","1","13","0","doya_talk_precia","","3","0.2","3","0"
"13071","vo_asb_1530","","13","","0","","21","","vo_asb","0"
"13072","むねはり。\nぼうけんき。","1","13","0","1","0","11","0","3","10"
"13073","","","13","","0","","91","","0","0"
"13074","idle_look_normal_precia","","13","","","","3","0.4","3","1"
"13075","riri_talk_look_shy","","13","","","","3","0.2","1","1"
"13076","vo_asb_1531","","13","","0","","21","","vo_asb","0"
"13077","ご覧の通り何事も拙く、\n未熟なわたくしたちですが……","1","13","0","1","0","11","0","1","10"
"13078","","","13","","0","","91","","0","0"
"13079","riri_idle_look_normal_shy","","13","","","","3","0.2","1","1"
"13080","clear_talk3_look","","13","","","","3","0.2","2","1"
"13081","vo_asb_1532","","13","","0","","21","","vo_asb","0"
"13082","こうしてお兄さんが\n温かく見守ってくれるおかげで、\n立派な冒険者になるという夢を、\n追い続けることができています。","1","13","0","1","0","11","0","2","10"
"13083","","","13","","0","","91","","0","0"
"13084","clear_wish_talk_joy_look","","13","","","","3","0.2","2","1"
"13085","vo_asb_1533","","13","","0","","21","","vo_asb","0"
"13086","お兄さん。\nこれからも、【アルターメイデン】の\n側にいてくださいね。","1","13","0","1","0","11","0","2","10"
"13087","","","13","","0","","91","","0","0"
"13088","clear_wish_idle_look","","13","","","","3","0.2","2","1"
"13089","agree","1","13","0.2","joy_idle_look_shy_precia2","","3","0.1","3","0"
"13090","vo_asb_1534","","13","","0","","21","","vo_asb","0"
"13091","よろしく。","1","13","0","1","0","11","0","3","10"
"13092","","","13","","0","","91","","0","0"
"13093","bow_riri","1","13","0.2","idle_look_shy_riri","","3","0.2","1","0"
"13094","vo_asb_1535","","13","","0","","21","","vo_asb","0"
"13095","お願いいたします……！","1","13","0","1","0","11","0","1","10"
"13096","","","13","","0","","91","","0","0"
"13097","","","13","","","","101","","13098",""
"13098","1","0","13","0","1","","6","0.3","1","1"
"13099","1","0","13","0","1","","6","0.3","2","1"
"13100","1","0","13","0","1","","6","0.3","3","1"
"13101","1","0","13","0","1","","6","0.3","0","1"
"13102","-130","1","13","","0.3","","2","","1","-230"
"13103","-290","1","13","","0.3","","2","","2","-255"
"13104","120","1","13","","0.3","","2","","3","-245"
"13105","-100","1","13","","0.3","","2","","0","0"
"13106","0","","13","","","","22","","0",""
"13107","1","","13","","","","35","","100",""
"13108","-100","1","13","","0.3","","33","","100","0"
"13109","0","","13","","","","93","","0.4",""
"13110","0","","13","","","","32","","100",""
"22001","1","-250","22","0","30","surprise_idle_normal2_precia","5","2.2","3","52"
"22002","1","0","22","0","1","","6","0","1","1"
"22003","0","0","22","0","50","black","5","1","0","29"
"22004","1","0","22","0","1","","6","0","0","1"
"22005","","","22","","","","91","","0",""
"22006","1","1","22","0","1","","6","0.2","1","1"
"22007","1","1","22","0","1","","6","0.2","0","1"
"22008","-20","2","22","","0.3","","2","","1","-250"
"22009","0","2","22","","0.3","","2","","0","0"
"22010","0","","22","","","","93","","0.6",""
"22011","vo_asb_0221","","22","","0","","21","","vo_asb","0"
"22012","ざぶとん。\nくっきー。\nいっぱいたべた。","1","22","0","1","0","11","0","1","10"
"22013","","","22","","0","","91","","0","0"
"22014","talk_surprise_precia","","22","","","","3","0.3","1","1"
"22015","vo_asb_0222","","22","","0","","21","","vo_asb","0"
"22016","スズメ。\nいろいろつくってる。\nらしい。","1","22","0","1","0","11","0","1","10"
"22017","","","22","","0","","91","","0","0"
"22018","think_idle_precia","","22","","","","3","0.3","1","1"
"22019","vo_asb_0223","","22","","0","","21","","vo_asb","0"
"22020","ざぶとん、ほっとけーき。\nとか？","1","22","0","1","0","11","0","1","10"
"22021","","","22","","0","","91","","0","0"
"22022","think_idle_dere_precia","","22","","","","3","0.3","1","1"
"22023","vo_asb_0224","","22","","0","","21","","vo_asb","0"
"22024","ざぶとん、まふぃん。\nとか？","1","22","0","1","0","11","0","1","10"
"22025","","","22","","0","","91","","0","0"
"22026","think_idle_angerR","","22","","","","3","0.3","1","1"
"22027","vo_asb_0225","","22","","0","","21","","vo_asb","0"
"22028","ざぶとん、にくまん……\nとか……（ごくり）","1","22","0","1","0","11","0","1","10"
"22029","","","22","","0","","91","","0","0"
"22030","thinkToSpeak_precia","1","22","0","speak1_light_precia","","3","0.1","1","0"
"22031","vo_asb_0226","","22","","0","","21","","vo_asb","0"
"22032","スズメ。\nすかうとする。\n【あるたーめいでん】に。","1","22","0","1","0","11","0","1","10"
"22033","","","22","","0","","91","","0","0"
"22034","","","22","","","","101","","22035",""
"22035","1","0","22","0","1","","6","0.3","1","1"
"22036","1","0","22","0","1","","6","0.3","0","1"
"22037","-120","1","22","","0.3","","2","","1","-250"
"22038","-100","1","22","","0.3","","2","","0","0"
"22039","0","","22","","","","22","","0",""
"22040","0","","22","","","","93","","0.4",""
"32001","1","-230","32","0","20","riri_idle_look","5","2.2","1","52"
"32002","2","-255","32","0","-140","clear_book_read","5","2.2","2","58"
"32003","3","-245","32","1","270","joy_idle_precia","5","2.2","3","55"
"32004","1","0","32","0","1","","6","0","1","1"
"32005","1","0","32","0","1","","6","0","2","1"
"32006","1","0","32","0","1","","6","0","3","1"
"32007","0","0","32","0","50","black","5","1","0","29"
"32008","1","0","32","0","1","","6","0","0","1"
"32009","","","32","","","","91","","0",""
"32010","1","1","32","0","1","","6","0.2","1","1"
"32011","1","1","32","0","1","","6","0.2","2","1"
"32012","1","1","32","0","1","","6","0.2","3","1"
"32013","1","1","32","0","1","","6","0.2","0","1"
"32014","-30","2","32","","0.3","","2","","1","-230"
"32015","-190","2","32","","0.3","","2","","2","-255"
"32016","220","2","32","","0.3","","2","","3","-245"
"32017","0","2","32","","0.3","","2","","0","0"
"32018","0","","32","","","","93","","0.6",""
"32019","clear_book_talk","","32","","","","3","0.2","2","1"
"32020","vo_asb_0321","","32","","0","","21","","vo_asb","0"
"32021","この牛さんの絵、\n上手すぎませんか！？","1","32","0","1","0","11","0","2","10"
"32022","","","32","","0","","91","","0","0"
"32023","clear_book_idle","","32","","","","3","0.4","2","1"
"32024","riri_talk_look","","32","","","","3","0.2","1","1"
"32025","vo_asb_0322","","32","","0","","21","","vo_asb","0"
"32026","プレシアさん作です。\n彼女は天才タイプなので。","1","32","0","1","0","11","0","1","10"
"32027","","","32","","0","","91","","0","0"
"32028","riri_idle_look","","32","","","","3","0.2","1","1"
"32029","clear_bookToTalk2","1","32","0","clear_talk2_noShy","","3","0.1","2","0"
"32030","vo_asb_0323","","32","","0","","21","","vo_asb","0"
"32031","そういえば、わたしとリリちゃんが、\n『腰に手』が上手くできなくて、\nマヒルさんに教わりながら、\n悪戦苦闘してた時も……","1","32","0","1","0","11","0","2","10"
"32032","","","32","","0","","91","","0","0"
"32033","talk2ToIdle_talkjoy2","1","32","0","idle_talkjoy2","","3","0.1","2","0"
"32034","sad_talk_joy2R","","32","","","","3","0.2","1","1"
"32035","vo_asb_0324","","32","","0","","21","","vo_asb","0"
"32036","はい。プレシアさんだけが、\n一発合格でしたね。\n素人のわたくしたちの目から見ても、\n実に完璧な『腰に手』でございました。","1","32","0","1","0","11","0","1","10"
"32037","","","32","","0","","91","","0","0"
"32038","sad_idle_normal_riri","","32","","","","3","0.2","1","1"
"32039","idle","","32","","","","3","0.2","2","1"
"32040","talk_precia","","32","","","","3","0.3","3","1"
"32041","vo_asb_0325","","32","","0","","21","","vo_asb","0"
"32042","みたい？","1","32","0","1","0","11","0","3","10"
"32043","","","32","","0","","91","","0","0"
"32044","joy_idle_precia","","32","","","","3","0.3","3","1"
"32045","guts2_talk_riri","","32","","","","3","0.2","1","1"
"32046","clear_hope_talk","","32","","","","3","0.2","2","1"
"32047","vo_asb_0326","","32","","0","","21","","vo_asb","0"
"32048","ぜひっ。","1","32","0","1","0","11","0","1","10"
"32049","","","32","","0","","91","","0","0"
"32050","guts2_idle_riri","","32","","","","3","0.2","1","1"
"32051","clear_hope_idle","","32","","","","3","0.2","2","1"
"32052","cool_in","1","32","0","cool_idle","","3","0.2","3","0"
"32053","vo_asb_0327","","32","","0","","21","","vo_asb","0"
"32054","びしっ。","1","32","0","1","0","11","0","3","10"
"32055","","","32","","0","","91","","0","0"
"32056","cool_idle_doya_in","1","32","0.1","cool_idle_doya","","3","0.2","3","0"
"32057","guts2_idle_joy_riri","","32","","","","3","0.2","1","1"
"32058","clear_hope_joy","","32","","","","3","0.2","2","1"
"32059","vo_asb_0328","","32","","0","","21","","vo_asb","0"
"32060","わぁ～♪","1","32","-22","1","0","11","-85","1","10"
"32061","","","32","","0","","91","","0","0"
"32062","","","32","","","","101","","32063",""
"32063","1","0","32","0","1","","6","0.3","1","1"
"32064","1","0","32","0","1","","6","0.3","2","1"
"32065","1","0","32","0","1","","6","0.3","3","1"
"32066","1","0","32","0","1","","6","0.3","0","1"
"32067","-130","1","32","","0.3","","2","","1","-230"
"32068","-290","1","32","","0.3","","2","","2","-255"
"32069","120","1","32","","0.3","","2","","3","-245"
"32070","-100","1","32","","0.3","","2","","0","0"
"32071","0","","32","","","","22","","0",""
"32072","0","","32","","","","93","","0.4",""
"42001","1","-250","42","0","30","clear_wish_talk_joy_noShy","5","2.2","2","52"
"42002","1","0","42","0","1","","6","0","1","1"
"42003","0","0","42","0","50","black","5","1","0","29"
"42004","1","0","42","0","1","","6","0","0","1"
"42005","","","42","","","","91","","0",""
"42006","1","1","42","0","1","","6","0.2","1","1"
"42007","1","1","42","0","1","","6","0.2","0","1"
"42008","-20","2","42","","0.3","","2","","1","-250"
"42009","0","2","42","","0.3","","2","","0","0"
"42010","0","","42","","","","93","","0.6",""
"42011","vo_asb_0421","","42","","0","","21","","vo_asb","0"
"42012","リンさんによるマヒルさんのモノマネ、\nとっても上手でした。","1","42","0","1","0","11","0","1","10"
"42013","","","42","","0","","91","","0","0"
"42014","clear_talk_normal","","42","","","","3","0.1","1","1"
"42015","vo_asb_0422","","42","","0","","21","","vo_asb","0"
"42016","ギルドも長くなると、\n絆を深めたメンバー同士、\nああして互いのモノマネも、\n難なくできるようになるんですね……","1","42","0","1","0","11","0","1","10"
"42017","","","42","","0","","91","","0","0"
"42018","clear_kohon_in","1","42","0","clear_kohon_loop","","3","0.2","1","0"
"42019","vo_asb_0423","","42","","0","","21","","vo_asb","0"
"42020","…………\n……こほん。","1","42","0","1","0","11","0","1","10"
"42021","","","42","","0","","91","","0","0"
"42022","clear_imitation_in","1","42","0","clear_speak2_talk","","3","0.2","1","0"
"42023","vo_asb_0424","","42","","0","","21","","vo_asb","0"
"42024","に、兄様。兄様……？　\nお、おに、お兄……お兄。\n…………","1","42","0","1","0","11","0","1","10"
"42025","","","42","","0","","91","","0","0"
"42026","clear_surprise_in_red","1","42","0","clear_surprise_talk_red","","3","0.3","1","0"
"42027","vo_asb_0425","","42","","0","","21","","vo_asb","0"
"42028","……はっ！\nギルドメンバーのモノマネを\nしていただけなのに、\nわたしってば、どうして赤く……！","1","42","0","1","0","11","0","1","10"
"42029","","","42","","0","","91","","0","0"
"42030","clear_wish_talk_pain_red","","42","","","","3","0.2","1","1"
"42031","vo_asb_0426","","42","","0","","21","","vo_asb","0"
"42032","色んな意味で、まだまだです……っ！","1","42","0","1","0","11","0","1","10"
"42033","","","42","","0","","91","","0","0"
"42034","","","42","","","","101","","42035",""
"42035","1","0","42","0","1","","6","0.3","1","1"
"42036","1","0","42","0","1","","6","0.3","0","1"
"42037","-120","1","42","","0.3","","2","","1","-250"
"42038","-100","1","42","","0.3","","2","","0","0"
"42039","0","","42","","","","22","","0",""
"42040","0","","42","","","","93","","0.4",""
"52001","1","-243","52","0","70","dance_riri","5","2.2","1","55"
"52002","2","-245","52","1","320","dance_clear","5","2.2","2","52"
"52003","3","-255","52","0","-90","dance_precia","5","2.2","3","58"
"52004","1","0","52","0","1","","6","0","1","1"
"52005","1","0","52","0","1","","6","0","2","1"
"52006","1","0","52","0","1","","6","0","3","1"
"52007","0","0","52","0","50","black","5","1","0","29"
"52008","1","0","52","0","1","","6","0","0","1"
"52009","","","52","","","","91","","0",""
"52010","dance_riri","","52","","","","3","0.1","1","0"
"52011","dance_clear","1","52","0","idle","","3","0.1","2","0"
"52012","dance_precia","1","52","0","idle_precia","","3","0.1","3","0"
"52013","1","1","52","0","1","","6","0.2","1","1"
"52014","1","1","52","0","1","","6","0.2","2","1"
"52015","1","1","52","0","1","","6","0.2","3","1"
"52016","1","1","52","0","1","","6","0.2","0","1"
"52017","-30","2","52","","0.3","","2","","1","-243"
"52018","220","2","52","","0.3","","2","","2","-245"
"52019","-190","2","52","","0.3","","2","","3","-255"
"52020","0","2","52","","0.3","","2","","0","0"
"52021","0","","52","","","","93","","0.6",""
"52022","vo_asb_0521","","52","","0","","21","","vo_asb","0"
"52023","くいっく、くいっく、すろー。","0","52","0","0","0.15","11","0","3","26"
"52024","","","52","","0","","91","","0","0"
"52025","vo_asb_0522","","52","","0","","21","","vo_asb","0"
"52026","ターンエン、ターンエン、\nクイッククイックスロー！","0","52","0","0","0.75","11","0","1","10"
"52027","","","52","","","","91","","52010",""
"52028","idle","","52","","","","3","0.1","1","1"
"52029","0","","52","","","","93","","0.2",""
"52030","smile_riri","1","52","0.2","talk_joy","","3","0.1","1","0"
"52031","vo_asb_0523","","52","","0","","21","","vo_asb","0"
"52032","……ふふふ。この掛け声があると、\n不思議と３人の息が、\nぴったり合うのですよね。","1","52","0","1","0","11","0","1","10"
"52033","","","52","","","","91","","0",""
"52034","riri_idle","","52","","","","3","0.2","1","1"
"52035","clear_talk2_noShy","","52","","","","3","0.2","2","1"
"52036","vo_asb_0524","","52","","0","","21","","vo_asb","0"
"52037","はい。だからその後も、\nけっこう使ってますよね。\n重い物を持ち上げる時とか。\n３人で体操をする時とか。","1","52","0","1","0","11","0","2","10"
"52038","","","52","","0","","91","","0","0"
"52039","talk2ToIdle","1","52","0","idle","","3","0.2","2","0"
"52040","riri_talk","","52","","","","3","0.2","1","1"
"52041","vo_asb_0525","","52","","0","","21","","vo_asb","0"
"52042","他にも、戦闘訓練で息を合わせる際や、\nあとは夜道を歩く時の、魔物避けにも！","1","52","0","1","0","11","0","1","10"
"52043","","","52","","0","","91","","0","0"
"52044","riri_idle_look","","52","","","","3","0.2","1","1"
"52045","idle_talkjoy2","","52","","","","3","0.2","2","1"
"52046","talk_precia","","52","","","","3","0.3","3","1"
"52047","vo_asb_0526","","52","","0","","21","","vo_asb","0"
"52048","はんようせい。\nありすぎ。","1","52","0","1","0","11","0","3","10"
"52049","","","52","","0","","91","","0","0"
"52050","","","52","","","","101","","52051",""
"52051","1","0","52","0","1","","6","0.3","1","1"
"52052","1","0","52","0","1","","6","0.3","2","1"
"52053","1","0","52","0","1","","6","0.3","3","1"
"52054","1","0","52","0","1","","6","0.3","0","1"
"52055","-130","1","52","","0.3","","2","","1","-230"
"52056","120","1","52","","0.3","","2","","2","-245"
"52057","-290","1","52","","0.3","","2","","3","-255"
"52058","-100","1","52","","0.3","","2","","0","0"
"52059","0","","52","","","","22","","0",""
"52060","0","","52","","","","93","","0.4",""
"62001","1","-250","62","0","30","talk_joy","5","2.2","1","52"
"62002","1","0","62","0","1","","6","0","1","1"
"62003","0","0","62","0","50","black","5","1","0","29"
"62004","1","0","62","0","1","","6","0","0","1"
"62005","","","62","","","","91","","0",""
"62006","1","1","62","0","1","","6","0.2","1","1"
"62007","1","1","62","0","1","","6","0.2","0","1"
"62008","-20","2","62","","0.3","","2","","1","-250"
"62009","0","2","62","","0.3","","2","","0","0"
"62010","0","","62","","","","93","","0.6",""
"62011","vo_asb_0621","","62","","0","","21","","vo_asb","0"
"62012","ライブ後、【カルミナ】の皆様が\n来てくださったのです。","1","62","0","1","0","11","0","1","10"
"62013","","","62","","0","","91","","0","0"
"62014","wish_talk_joyR_riri","","62","","","","3","0.2","1","1"
"62015","vo_asb_0622","","62","","0","","21","","vo_asb","0"
"62016","「また絶対一緒に踊ろうね」って、\n手まで、重ねさせていただいて……","1","62","0","1","0","11","0","1","10"
"62017","","","62","","0","","91","","0","0"
"62018","memoly_talk_joy","","62","","","","3","0.3","1","1"
"62019","vo_asb_0623","","62","","0","","21","","vo_asb","0"
"62020","お三方のあまりの可憐さと華やかさに、\nわたくし、もう、\nクラクラしてしまって……","1","62","0","1","0","11","0","1","10"
"62021","","","62","","0","","91","","0","0"
"62022","sad_talk2_dere","","62","","","","3","0.2","1","1"
"62023","vo_asb_0624","","62","","0","","21","","vo_asb","0"
"62024","実は、重ねさせていただいたこの手、\nあれ以来まだ一度も洗っておりません。","1","62","0","1","0","11","0","1","10"
"62025","","","62","","0","","91","","0","0"
"62026","wish_talk_nervous_riri","","62","","","","3","0.3","1","1"
"62027","vo_asb_0625","","62","","0","","21","","vo_asb","0"
"62028","リアさんには、やや呆れた目で\n見られている気が、\nしないでもありませんが……\nせめて、あと半日は……！","1","62","0","1","0","11","0","1","10"
"62029","","","62","","0","","91","","0","0"
"62030","","","62","","","","101","","62031",""
"62031","1","0","62","0","1","","6","0.3","1","1"
"62032","1","0","62","0","1","","6","0.3","0","1"
"62033","-120","1","62","","0.3","","2","","1","-250"
"62034","-100","1","62","","0.3","","2","","0","0"
"62035","0","","62","","","","22","","0",""
"62036","0","","62","","","","93","","0.4",""
"72001","1","-250","72","0","30","idle","5","2.2","2","52"
"72002","1","0","72","0","1","","6","0","1","1"
"72003","0","0","72","0","50","black","5","1","0","29"
"72004","1","0","72","0","1","","6","0","0","1"
"72005","","","72","","","","91","","0",""
"72006","1","1","72","0","1","","6","0.2","1","1"
"72007","1","1","72","0","1","","6","0.2","0","1"
"72008","-20","2","72","","0.3","","2","","1","-250"
"72009","0","2","72","","0.3","","2","","0","0"
"72010","0","","72","","","","93","","0.6",""
"72011","clear_talk_normal","","72","","","","3","0.2","1","1"
"72012","vo_asb_0721","","72","","0","","21","","vo_asb","0"
"72013","アオイさんて、すごくシャイみたいで。\nだけど、言うじゃないですか。\n共通の話題がある相手とは、\n打ち解けやすい、って。","1","72","0","1","0","11","0","1","10"
"72014","","","72","","0","","91","","0","0"
"72015","clear_kohon_talk_surprise","","72","","","","3","0.2","1","1"
"72016","vo_asb_0722","","72","","0","","21","","vo_asb","0"
"72017","直感、あったんですよね。\nアオイさんほど詳しくはないですが、\nわたしも草花が好きなので。\nこの人とは仲良くなれそう、みたいな。","1","72","0","1","0","11","0","1","10"
"72018","","","72","","0","","91","","0","0"
"72019","clear_talk2_noShy","","72","","","","3","0.2","1","1"
"72020","vo_asb_0723","","72","","0","","21","","vo_asb","0"
"72021","だからわたし、\n勇気を出して言ってみたんです！\nお友だちになりませんか、って。","1","72","0","1","0","11","0","1","10"
"72022","","","72","","0","","91","","0","0"
"72023","talk2ToWish","1","72","0","clear_wish_talk_joy","","3","0.2","1","0"
"72024","vo_asb_0724","","72","","0","","21","","vo_asb","0"
"72025","そしたらアオイさん、\n顔を真っ赤にして、ブンブン！　って、\n首を縦に振ってくれて。\nやった！　って思ったんですよね。","1","72","0","1","0","11","0","1","10"
"72026","","","72","","0","","91","","0","0"
"72027","clear_talk2_nervous","","72","","","","3","0.2","1","1"
"72028","vo_asb_0725","","72","","0","","21","","vo_asb","0"
"72029","……でもその後、\n心の準備が欲しいって言われちゃって。\n心の準備、300年くらいかかるかも\nしれないんだそうです……","1","72","0","1","0","11","0","1","10"
"72030","","","72","","0","","91","","0","0"
