7296d396c937ab725c9b87b0445e45ae17d22897c219e3087e03822a316cf384,7fd26c50de7c2e97a8486dca6aec0e509c30c364a04304b9ea34a3cf92423fb4,688ba2b67d21cc393224d5b97951ae40f43cecb2502565b8bab1ca1df3a0db8c,996269e2acb5fcc898421f964a3d5019e2d43ea90c5b450434cfe46450f3f644,b29a6bcdb61be9e690ac593733e5b6c1d55e5d391154ec74ed919c982d5a6c07,fda7cf50d05dad9dc9f95f4153d30ba62d25aa64704b4442bcaa23239bdb4a8b,6aac0ec6633c27e546df7af8f74d990f01dc759e355fc618aaa3bd3aa153291d,b10a4047ac18bda3a332ea3cf372239dd194c99495ee8d7fc0070a122a80b7bd,e27f6871ac3e8030eae8effad7d0d09600f8b8d80344eefa27360852af0cea76,ca82652c4031c218ddfcc9251aca5ef191c6147521f32056437dcf04e60f8e22,b31d6f6de10911b51c874e6429e8d3bd04bc2e2878590d9386f949fc8ab9fc7f
"103431","0.2","nyx_talk_bitter","","1","","101","3","11010031","",""
"104631","0.2","nyx_cmn_04","","1","","101","3","11010032","",""
"2","","","","","","101","93","11010033","",""
"2","0.2","nyx_101_chieru_02","1","0","nyx_101_chieru_loop","101","3","11010034","",""
"110931","0.2","nyx_101_chieru_02","1","0","nyx_101_chieru_loop","101","3","11010035","",""
"0.4","","","","","","101","93","11010036","",""
"3","","0","","","","101","32","11010037","",""
"4","","1","","","","101","32","11010038","",""
"11010026","","","","","","101","91","11010039","",""
"103431","0.2","nyx_idle_bitter","","1","","101","3","11010040","",""
"104831","0.2","nyx_talk_sad","","1","","101","3","11010041","",""
"104831","","ね、ねぇ…\n廊下の方から\n何か聞こえない？","","10","","101","11","11010042","",""
"0","","","","","","101","91","11010043","",""
"110931","","1","","","","101","4","11010044","",""
"2","","1","","","","101","4","11010045","",""
"2","0.2","nyx_101_chieru_02","1","0","nyx_101_chieru_loop","101","3","11010046","",""
"110931","0.2","nyx_101_chieru_02","1","0","nyx_101_chieru_loop","101","3","11010047","",""
"104831","0.2","nyx_idle_sad","","1","","101","3","11010048","",""
"104631","0.2","nyx_talk_sad","","1","","101","3","11010049","",""
"104631","","なんかちぇるちぇる\n聞こえるにゃ…\nこわいにゃ…","","10","","101","11","11010050","",""
"0","","","","","","101","91","11010051","",""
"104631","0.2","nyx_idle_sad","","1","","101","3","11010052","",""
"103431","0.2","nyx_talk_sad","","1","","101","3","11010053","",""
"103431","","学校の七不思議的な\nやつかしら…\nか、帰りたい…","","10","","101","11","11010054","",""
"0","","","","","","101","91","11010055","",""
"103431","0.2","nyx_idle_sad","","1","","101","3","11010056","",""
"103231","0.2","nyx_talk_joy2","","1","","101","3","11010057","",""
"103231","","面白いですわね！\n何が出てくるか\nワクワクしますわ！","","10","","101","11","11010058","",""
"0","","","","","","101","91","11010059","",""
"0.4","","","","","","101","93","11010060","",""
"110931","","0","","","","101","4","11010061","",""
"2","","0","","","","101","4","11010062","",""
"110931","0.2","nyx_101_chieru_01","1","0","nyx_101_chieru_loop","101","3","11010063","",""
"2","0.2","nyx_101_chieru_01","1","0","nyx_101_chieru_loop","101","3","11010064","",""
"104831","","1","","1","","101","12","11010065","",""
"104831","0.2","nyx_talk_sad","1","0","nyx_idle_sad","101","3","11010066","","0.2"
"0.4","","","","","","101","93","11010067","",""
"3","","0","","","","101","32","11010068","",""
"3","","1","","","","101","32","11010069","",""
"1.6","","","","","","101","93","11010070","",""
"104631","","15","","1","","101","12","11010071","",""
"104631","0.2","nyx_talk_sad","1","0","nyx_idle_sad","101","3","11010072","","0.2"
"3","","","","","","101","93","11010073","",""
"110931","","1","","","","101","4","11010074","",""
"2","","1","","","","101","4","11010075","",""
"110931","0.2","nyx_101_chieru_02","1","0","nyx_101_chieru_loop","101","3","11010076","",""
"2","0.2","nyx_101_chieru_02","1","0","nyx_101_chieru_loop","101","3","11010077","",""
"103231","","10","","1","","101","12","11010078","",""
"103231","0.2","nyx_talk_joy1","1","0","nyx_idle_joy1","101","3","11010079","","0.2"
"2","","","","","","101","93","11010080","",""
"103431","","2","","1","","101","12","11010081","",""
"103431","0.2","nyx_talk_sad","1","0","nyx_idle_sad","101","3","11010082","","0.2"
"2.5","","","","","","101","93","11010083","",""
"11010060","","","","","","101","101","11010084","",""
"1","1.35","110831","-209.3","110","-362","102","1","11020001","nyx_102_chloe_01","1"
"1","1.35","104831","-182.5","110","90","102","1","11020002","nyx_102_mifuyu_01","0"
"1","1.35","104631","-182.5","110","220","102","1","11020003","nyx_idle_normal","0"
"1","1.35","103231","-182.5","110","336","102","1","11020004","nyx_talk_normal","1"
"1","1.35","103431","-182.5","110","457","102","1","11020005","nyx_idle_normal","1"
"1","1","1","1","0","0","102","31","11020006","",""
"2","1.35","2","-209.3","120","-362","102","5","11020007","NoItem","0"
"bgm_M347","","bgm_M347","","","","102","25","11020008","",""
"2","","","","","","102","93","11020009","",""
"110831","0.2","nyx_102_chloe_02","","1","","102","3","11020010","",""
"110831","","次、うちの番か…\nえ、チエルの後って\n何気に不利くない？","","10","","102","11","11020011","",""
"0","","1","","","","102","91","11020012","",""
"110831","0.2","nyx_idle_sad","","1","","102","3","11020013","",""
"110831","","あいつ絶対初見で\nちぇるちぇる言って\n現場冷やしてるし…","","10","","102","11","11020014","",""
"0","","1","","","","102","91","11020015","",""
"110831","0.2","cmn_pose02_def_N","1","0","nyx_102_chloe_02","102","3","11020016","","0.2"
"110831","","ま、いいけど何でも\n…てゆか中の人ら\nダイジョブか？","","10","","102","11","11020017","",""
"3","","","","","","102","93","11020018","",""
"103231","0.2","nyx_idle_normal","","1","","102","3","11020019","",""
"104631","0.2","nyx_talk_sad","","1","","102","3","11020020","",""
"110831","","0","","","","102","4","11020021","",""
"11020016","","","","","","102","91","11020022","",""
"1","","","","","","102","93","11020023","",""
"110831","0.2","nyx_102_chloe_01","","1","","102","3","11020024","",""
"110831","","ちぇる気にやられて\nおかしなことにとか\n…いや、まさかね","","10","","102","11","11020025","",""
"2.5","","","","","","102","93","11020026","",""
"110831","0.2","nyx_102_chloe_03","1","0","nyx_102_chloe_03_loop","102","3","11020027","",""
"2","0.2","nyx_102_chloe_03","1","0","nyx_102_chloe_03_loop","102","3","11020028","",""
"11020025","","","","","","102","91","11020029","",""
"1","","","","","","102","93","11020030","",""
"104831","","ちぇる…ちぇる…","","10","","102","11","11020031","",""
"1.5","","","","","","102","93","11020032","",""
"104631","","1","","0","","102","4","11020033","",""
"104631","0.2","cmn_shock_def_N","1","0","nyx_idle_surprise2","102","3","11020034","","0.2"
"103431","0.2","cmn_shock_def_N","1","0","nyx_idle_surprise2","102","3","11020035","","0.2"
"103231","0.2","nyx_surprise","1","0","nyx_idle_surprise1","102","3","11020036","","0.2"
"1.5","","","","","","102","93","11020037","",""
"104631","0.2","nyx_talk_surprise2","1","1","","102","3","11020038","","0.2"
"103431","0.2","nyx_102_yukari_01","","1","","102","3","11020039","",""
"103431","","ミフユさん！\nしっかりちぇる！\n傷は浅いちぇる！","","10","","102","11","11020040","",""
"0","","1","","","","102","91","11020041","",""
"103431","0.2","cmn_shock_def_N","1","0","nyx_102_tamaki_01_loop","102","3","11020042","","0.2"
"103231","","0","","0","","102","4","11020043","",""
"104631","","0","","0","","102","4","11020044","",""
"0","","","","","","102","91","11020045","",""
"104631","","ダメにゃ…\nミフユもユカリも\n手遅れちぇ…にゃ！","","10","","102","11","11020046","",""
"2.6","","","","","","102","93","11020047","",""
"104631","0.2","nyx_102_tamaki_01","1","0","nyx_102_tamaki_01_loop","102","3","11020048","","0.2"
"0.1","","","","","","102","93","11020049","",""
"103231","","1","","0","","102","4","11020050","",""
"1.5","","","","","","102","93","11020051","",""
"103231","","被害甚大ですわね…\n次の方が普通である\nことを祈りますわ…","","10","","102","11","11020052","",""
"0","","","","","","102","91","11020053","",""
"1","","","","","","102","93","11020054","",""
"110831","0.2","nyx_102_chloe_04","1","0","nyx_102_chloe_03_loop","102","3","11020055","",""
"2","0.2","nyx_102_chloe_04","1","0","nyx_102_chloe_03_loop","102","3","11020056","",""
"1.5","","","","","","102","93","11020057","",""
"110831","","12","","1","","102","12","11020058","",""
"1","","","","","","102","93","11020059","",""
"103431","","1","","1","","102","12","11020060","",""
"103431","0.2","nyx_cmn_01","1","0","nyx_cmn_03","102","3","11020061","","0.2"
"104631","0.2","nyx_idle_worry","1","1","","102","3","11020062","","0.2"
"2","","","","","","102","93","11020063","",""
"104831","","12","","1","","102","12","11020064","",""
"2","","","","","","102","93","11020065","",""
"103231","","10","","1","","102","12","11020066","",""
"103231","0.2","nyx_talk_normal","1","0","nyx_idle_normal","102","3","11020067","","0.2"
"2","","","","","","102","93","11020068","",""
"104631","","2","","1","","102","12","11020069","",""
"104631","0.2","nyx_talk_sad","1","0","nyx_idle_worry","102","3","11020070","","0.2"
"4","","","","","","102","93","11020071","",""
"11020055","","1","","","","102","101","11020072","",""
"1","1.35","111031","-209.3","110","-421","103","1","11030001","nyx_103_yuni_01","0"
"1","1.35","104831","-182.5","110","121.8","103","1","11030002","nyx_idle_normal","0"
"2","1.35","2","-182.5","120","121.8","103","5","11030003","NoItem","0"
"1","1.35","104631","-182.5","110","227.7","103","1","11030004","nyx_idle_normal","0"
"2","1.35","2","-182.5","120","227.7","103","5","11030005","NoItem","0"
"1","1.35","103231","-182.5","110","340.3","103","1","11030006","nyx_idle_normal","1"
"1","1.35","103431","-182.5","110","449.6","103","1","11030007","nyx_cmn_03","1"
"2","1.35","2","-182.5","120","449.6","103","5","11030008","NoItem","1"
"1","1","1","1","0","0","103","31","11030009","",""
"bgm_M347","","bgm_M347","","","","103","25","11030010","",""
"2","","","","","","103","93","11030011","",""
"103431","0.2","nyx_talk_sad","","1","","103","3","11030012","",""
"103431","","プレゼンって\nこんなに\n疲れるものなの…？","","10","","103","11","11030013","",""
"0","","","","","","103","91","11030014","",""
"103431","0.2","nyx_cmn_03","","1","","103","3","11030015","",""
"104831","0.2","nyx_cmn_05","","1","","103","3","11030016","",""
"104831","","きっと次は大丈夫よ\nまともな生徒のはず\n…そうよね？","","10","","103","11","11030017","",""
"0","","","","","","103","91","11030018","",""
"104831","0.2","nyx_cmn_04","","1","","103","3","11030019","",""
"103231","0.2","nyx_talk_normal","","1","","103","3","11030020","",""
"103231","","あら？\n次もなかよし部の方\nみたいですわよ？","","10","","103","11","11030021","",""
"0","","","","","","103","91","11030022","",""
"103231","0.2","nyx_idle_normal","","1","","103","3","11030023","",""
"104631","0.2","nyx_talk_sad","","1","","103","3","11030024","",""
"104631","","…気を抜いたら\nやられるにゃ\n覚悟を決めるにゃ","","10","","103","11","11030025","",""
"2.6","","","","","","103","93","11030026","",""
"111031","0.2","nyx_102_chloe_01","","1","","103","3","11030027","",""
"11030025","","","","","","103","91","11030028","",""
"104631","0.2","nyx_cmn_02","1","0","nyx_idle_sad","103","3","11030029","","0.3"
"2","0.2","nyx_cmn_02","","0","","103","3","11030030","",""
"103431","0.2","nyx_cmn_02","1","0","nyx_cmn_03","103","3","11030031","","0.3"
"2","0.2","nyx_cmn_02","","0","","103","3","11030032","",""
"104831","0.2","nyx_cmn_02","1","0","nyx_idle_normal","103","3","11030033","","0.2"
"2","0.2","nyx_cmn_02","","0","","103","3","11030034","",""
"1.5","","","","","","103","93","11030035","",""
"111031","0.2","nyx_303_yuni_01","","1","","103","3","11030036","",""
"111031","","ふむ、次はぼくだな\nまさに真打登場と\n言ったところか","","10","","103","11","11030037","",""
"2.8","","","","","","103","93","11030038","",""
"104831","","13","","1","","103","12","11030039","",""
"104831","0.2","nyx_talk_normal","","1","","103","3","11030040","",""
"11030037","","","","","","103","91","11030041","",""
"111031","","チエル君、クロエ君\n君らの無念はぼくが\n晴らして見せよう","","10","","103","11","11030042","",""
"0","","","","","","103","91","11030043","",""
"111031","0.2","nyx_103_yuni_02","","1","","103","3","11030044","",""
"111031","","いざ上級生としての\n責務を果たす時だ","","10","","103","11","11030045","",""
"1.5","","","","","","103","93","11030046","",""
"103231","","17","","1","","103","12","11030047","",""
"104831","0.2","nyx_idle_normal","","1","","103","3","11030048","",""
"103231","0.2","nyx_cmn_05","","1","","103","3","11030049","",""
"11030045","","","","","","103","91","11030050","",""
"111031","0.3","nyx_103_yuni_03","0","0","nyx_103_yuni_04","103","3","11030051","","0.6"
"111031","","ユニちゃんズの\n名に懸けて…！","","10","","103","11","11030052","",""
"0","","","","","","103","91","11030053","",""
"103231","0.2","nyx_idle_normal","","1","","103","3","11030054","",""
"0.6","","","","","","103","93","11030055","",""
"111031","0.2","12","","1","","103","12","11030056","",""
"111031","0.2","cmn_pose02_def_N","1","0","nyx_idle_normal","103","3","11030057","","0.2"
"1.5","","","","","","103","93","11030058","",""
"104631","","15","","1","","103","12","11030059","",""
"104631","0.2","nyx_talk_sad","1","0","nyx_idle_worry","103","3","11030060","","0.2"
"2","","","","","","103","93","11030061","",""
"103231","","10","","1","","103","12","11030062","",""
"103231","0.2","nyx_talk_joy1","1","0","nyx_idle_normal","103","3","11030063","","0.2"
"111031","0.2","nyx_103_yuni_01","1","0","nyx_idle_normal","103","3","11030064","","0.2"
"2.5","","","","","","103","93","11030065","",""
"103431","","1","","1","","103","12","11030066","",""
"103431","0.2","nyx_cmn_01","1","0","nyx_cmn_03","103","3","11030067","","0.3"
"2","","","","","","103","93","11030068","",""
"104831","","12","","1","","103","12","11030069","",""
"104831","0.2","nyx_talk_bitter","","1","","103","3","11030070","",""
"2","","","","","","103","93","11030071","",""
"104831","0.2","nyx_idle_bitter","","1","","103","3","11030072","",""
"1","","","","","","103","93","11030073","",""
"11030056","","","","","","103","101","11030074","",""
"1","1.2","103231","-294.7","110","-235.4","201","1","12010001","nyx_201_akino_01","1"
"2","1.2","2","-294.7","120","-235.4","201","5","12010002","nyx_201_akino_01","1"
"1","1.2","104631","-281.6","110","-357","201","1","12010003","nyx_idle_normal","0"
"1","1.2","103431","-281.6","110","310.5","201","1","12010004","nyx_idle_normal","1"
"1","1.2","104831","-281.6","110","-453.3","201","1","12010005","nyx_idle_normal","0"
"2","1","1","1","0","0","201","31","12010006","",""
"11","1","2","1","0","0","201","31","12010007","",""
"bgm_M347","","bgm_M347","","","","201","25","12010008","",""
"2","","","","","","201","93","12010009","",""
"103231","","タマキさん、この\n部品の組み立てを\nお願いしますわ！","","10","","201","11","12010010","",""
"0","","","","","","201","91","12010011","",""
"104631","0.3","nyx_surprise","1","0","nyx_idle_surprise1","201","3","12010012","","0.3"
"104631","","わ、わかったにゃ！\n…こんなの設計図に\nあったかにゃ…？","","10","","201","11","12010013","",""
"0","","","","","","201","91","12010014","",""
"103231","","0","","0","","201","4","12010015","",""
"2","","0","","","","201","4","12010016","",""
"104631","0.3","nyx_idle_bitter2","","1","","201","3","12010017","","0.3"
"103231","0.3","nyx_201_akino_02","","1","","201","3","12010018","","0.3"
"2","0.3","nyx_201_akino_02","","1","","201","3","12010019","","0.3"
"103231","","199","","-294.7","2.2","201","2","12010020","",""
"2","","199","","-294.7","2.2","201","2","12010021","",""
"2.2","","","","","","201","93","12010022","",""
"103231","0.3","nyx_201_akino_01","","1","","201","3","12010023","","0.3"
"2","0.3","nyx_201_akino_01","","1","","201","3","12010024","","0.3"
"103231","","ユカリさん！\nこの回路の発注を\n至急お願いします！","","10","","201","11","12010025","",""
"0","","","","","","201","91","12010026","",""
"103431","0.3","nyx_cmn_01","","1","","201","3","12010027","","0.3"
"103431","","えっ？　えっ？\nちょっとアキノさん\nこれ何に使うの！？","","10","","201","11","12010028","",""
"0","","","","","","201","91","12010029","",""
"103431","0.3","nyx_idle_bitter2","","1","","201","3","12010030","","0.3"
"103231","","1","","","","201","4","12010031","",""
"2","","1","","","","201","4","12010032","",""
"103231","0.3","nyx_201_akino_02","","1","","201","3","12010033","","0.3"
"2","0.3","nyx_201_akino_02","","1","","201","3","12010034","","0.3"
"103231","","-235.4","","-294.7","2.2","201","2","12010035","",""
"2","","-235.4","","-294.7","2.2","201","2","12010036","",""
"2.2","","","","","","201","93","12010037","",""
"103231","0.3","nyx_201_akino_01","","1","","201","3","12010038","","0.3"
"2","0.3","nyx_201_akino_01","","1","","201","3","12010039","","0.3"
"103231","","ミフユさんは動作\nチェックを念入りに\nお願いします！","","10","","201","11","12010040","",""
"0","","","","","","201","91","12010041","",""
"104831","0.3","nyx_surprise","1","0","nyx_idle_surprise1","201","3","12010042","","0.3"
"104831","0","は、はいっ！\n…アキノさんが\n燃えてるわ…","","10","","201","11","12010043","",""
"0","","","","","","201","91","12010044","",""
"104831","0.3","nyx_talk_sad","","1","","201","3","12010045","","0.3"
"104831","0","でもなぜかしら\n不安だわ…\n不安しかない…","","10","","201","11","12010046","",""
"0","","","","","","201","91","12010047","",""
"104831","0.3","nyx_idle_bitter2","","1","","201","3","12010048","","0.3"
"0","","","","","","201","91","12010049","",""
"0.4","","","","","","201","93","12010050","",""
"103231","","0","","0","","201","4","12010051","",""
"2","","0","","","","201","4","12010052","",""
"103231","0.2","nyx_201_akino_02","","1","","201","3","12010053","","0.2"
"2","0.2","nyx_201_akino_02","","1","","201","3","12010054","","0.2"
"103231","","199","","-294.7","2.2","201","2","12010055","",""
"2","","199","","-294.7","2.2","201","2","12010056","",""
"103431","0.2","nyx_cmn_03","","1","","201","3","12010057","","0.2"
"2.2","","","","","","201","93","12010058","",""
"103231","","10","","1","","201","12","12010059","",""
"103231","0.2","nyx_201_akino_01","","1","","201","3","12010060","","0.2"
"2","0.2","nyx_201_akino_01","","1","","201","3","12010061","","0.2"
"0","","","","","","201","91","12010062","",""
"103431","0.2","nyx_idle_surprise1","","1","","201","3","12010063","","0.2"
"0","","","","","","201","91","12010064","",""
"103431","0.2","nyx_102_chloe_02","","1","","201","3","12010065","","0.2"
"103231","","1","","","","201","4","12010066","",""
"2","","1","","","","201","4","12010067","",""
"103231","0.2","nyx_201_akino_02","","1","","201","3","12010068","","0.2"
"2","0.2","nyx_201_akino_02","","1","","201","3","12010069","","0.2"
"103231","","-235.4","","-294.7","2.2","201","2","12010070","",""
"2","","-235.4","","-294.7","2.2","201","2","12010071","",""
"2.2","","","","","","201","93","12010072","",""
"103231","","10","","1","","201","12","12010073","",""
"103231","0.2","nyx_201_akino_01","","1","","201","3","12010074","","0.2"
"2","","nyx_201_akino_01","","1","","201","3","12010075","","0.2"
"3","","","","","","201","93","12010076","",""
"104631","0.2","cmn_nod_def_N","1","0","nyx_idle_normal","201","3","12010077","","0.2"
"0.8","","","","","","201","93","12010078","",""
"104831","","3","","1","","201","12","12010079","",""
"104831","0.2","nyx_talk_worry","1","0","nyx_idle_sad","201","3","12010080","","0.2"
"1","","","","","","201","93","12010081","",""
"12010051","","","","","","201","101","12010082","",""
"1","1.2","3","-255","100","-136","202","5","12020001","nyx_202_tamaki_03_loop","0"
"1","1.2","103231","-286.1","110","183.7","202","1","12020002","nyx_idle_joy1","1"
"2","1.2","5","-286.1","120","312.6","202","5","12020003","nyx_202_yukari_01","1"
"1","1.2","103431","-286.1","110","312.6","202","1","12020004","nyx_202_yukari_01","1"
"1","1.2","104831","-286.1","120","-269.8","202","1","12020005","nyx_idle_normal","0"
"2","1","1","1","0","0","202","31","12020006","",""
"12","1","2","1","0","34","202","31","12020007","",""
"16","0","7","1","-74","130","202","31","12020008","",""
"3","1","4","-255","110","-208","202","5","12020009","nyx_yagura_idle","0"
"2","1.2","6","-286.1","120","-269.8","202","5","12020010","NoItem","0"
"bgm_M347","","bgm_M347","","","","202","25","12020011","",""
"2","","","","","","202","93","12020012","",""
"3","","開発もなんだか\n楽しくなってきた\nにゃ～！","","10","","202","11","12020013","",""
"0","","","","","","202","91","12020014","",""
"3","","ここまで来たら\n世界一のたい焼き\nメカにするにゃ！","","10","","202","11","12020015","",""
"0","","","","","","202","91","12020016","",""
"3","","あたしの全てを\n注ぎ込んでやる\nにゃあ～～！","","10","","202","11","12020017","",""
"0.4","","","","","","202","93","12020018","",""
"3","0.2","nyx_202_tamaki_03_puton","1","0","nyx_202_tamaki_loop","202","3","12020019","",""
"12020017","","","","","","202","91","12020020","",""
"3","0.2","nyx_202_tamaki_up","1","0","nyx_202_tamaki_01","202","3","12020021","",""
"4","","nyx_yagura_up","1","0","nyx_yagura_up_idle","202","3","12020022","",""
"2.4","","","","","","202","93","12020023","",""
"7","","1","","","","202","32","12020024","",""
"103231","0.2","nyx_202_akino_01_loop","","1","","202","3","12020025","",""
"103231","","おーほっほっほ！\n素晴らしい意気込み\nですわ、タマキさん","","10","","202","11","12020026","",""
"0","","","","","","202","91","12020027","",""
"104831","0.2","nyx_talk_anger2","","1","","202","3","12020028","",""
"104831","","設計図のどこにも\nたい焼きなんて\n書いてないわよ！？","","10","","202","11","12020029","",""
"0","","","","","","202","91","12020030","",""
"103431","0.2","nyx_idle_anger2","","1","","202","3","12020031","",""
"103431","0.2","nyx_202_yukari_01","","1","","202","3","12020032","",""
"103431","","ミフユさん…\nタマキさんなら\n大丈夫よ…ひっく","","10","","202","11","12020033","",""
"0","","","","","","202","91","12020034","",""
"104831","0.2","nyx_cmn_05","","0","nyx_cmn_04","202","3","12020035","","0.2"
"104831","0","ユカリさん？\n何を飲んでるの？\n…買収されたわね？","","10","","202","11","12020036","",""
"0","","","","","","202","91","12020037","",""
"103431","0.2","nyx_202_yukari_01","","1","","202","3","12020038","",""
"103431","","え～？\nにゃんのことぉ～？\n…うっふふ～♪","","10","","202","11","12020039","",""
"0","","","","","","202","91","12020040","",""
"2","","","","","","202","93","12020041","",""
"103231","","13","","1","","202","12","12020042","",""
"103231","0.2","nyx_talk_joy2","1","0","nyx_202_akino_01_loop","202","3","12020043","","0.2"
"2.5","","","","","","202","93","12020044","",""
"104831","","3","","1","","202","12","12020045","",""
"104831","0.2","nyx_talk_anger2","","1","","202","3","12020046","",""
"2","","","","","","202","93","12020047","",""
"104831","0.2","nyx_cmn_02","","0","","202","3","12020048","",""
"6","0.2","nyx_cmn_02","1","0","NoItem","202","3","12020049","",""
"1","","","","","","202","93","12020050","",""
"104831","0.2","nyx_cmn_05","1","0","nyx_cmn_04","202","3","12020051","","0.2"
"2","","","","","","202","93","12020052","",""
"103431","","5","","1","","202","12","12020053","",""
"5","0.2","nyx_203_yukari_01","1","0","nyx_202_yukari_01","202","3","12020054","","0.2"
"103431","0.2","nyx_203_yukari_01","1","0","nyx_202_yukari_01","202","3","12020055","","0.2"
"1.2","","","","","","202","93","12020056","",""
"3","","11","","1","","202","12","12020057","",""
"0.8","","","","","","202","93","12020058","",""
"12020041","","","","","","202","101","12020059","",""
"1","1.2","104831","-286","130","-300","203","1","12030001","nyx_idle_normal","0"
"1","1.2","104631","-286","100","316","203","1","12030002","nyx_idle_normal","1"
"1","1.2","103231","-286","100","110","203","1","12030003","nyx_idle_normal","1"
"1","1.2","103431","-10","100","-200","203","1","12030004","nyx_203_yukari_01","0"
"2","1","1","1","0","0","203","31","12030005","",""
"13","1","2","1","-80","34","203","31","12030006","",""
"2","1.2","3","-10","110","-200","203","5","12030007","nyx_203_yukari_01","0"
"3","1","4","-255","120","-250","203","5","12030008","nyx_yagura_up_harf","0"
"bgm_M347","","bgm_M347","","","","203","25","12030009","",""
"2","","","","","","203","93","12030010","",""
"103431","","あっれぇ～？\nここはどこぉ～？\n私はだれ～？","","10","","203","11","12030011","",""
"0.6","","","","","","203","93","12030012","",""
"103231","0.2","nyx_lookup","1","0","nyx_lookup_loop2","203","3","12030013","","0.2"
"12030011","","","","","","203","91","12030014","",""
"103431","","ん～？\nにゃ～にこの\nでっかいのぉ～","","10","","203","11","12030015","",""
"0.6","","","","","","203","93","12030016","",""
"104631","0.2","nyx_lookup","1","0","nyx_lookup_loop2","203","3","12030017","","0.2"
"12030015","","","","","","203","91","12030018","",""
"3","0.2","nyx_203_yukari_02","1","0","nyx_203_yukari_05","203","3","12030019","",""
"103431","0.2","nyx_203_yukari_02","1","0","nyx_203_yukari_05","203","3","12030020","",""
"103431","","あんたも麦しゅわ\n飲む～？\nお～いしいわよ～？","","10","","203","11","12030021","",""
"0.4","","","","","","203","93","12030022","",""
"104831","0.2","nyx_lookup","1","0","nyx_lookup_loop2","203","3","12030023","","0.2"
"12030021","","","","","","203","91","12030024","",""
"0.2","","","","","","203","93","12030025","",""
"104831","0.2","nyx_cmn_02","1","0","nyx_idle_sad","203","3","12030026","","0.2"
"104831","0","何してるのよ\nユカリさん…","","10","","203","11","12030027","",""
"0.1","","","","","","203","93","12030028","",""
"103231","0.2","nyx_cmn_02","1","0","nyx_cmn_04","203","3","12030029","","0.2"
"103231","","何してますの…\nユカリさん…","","10","","203","11","12030030","",""
"0.1","","","","","","203","93","12030031","",""
"104631","0.2","nyx_cmn_02","1","0","nyx_idle_sad","203","3","12030032","","0.2"
"104631","","何してるのにゃ\nユカリ…","","10","","203","11","12030033","",""
"0","","","","","","203","91","12030034","",""
