118c3b6d40bd3c9e63ddf71333301041527eb2d78045f549466c5c5cd339ceb6,338322ddcafc18af484735dadaf812ad295194f9ed2d1ec27188a63a7935db89,bee6e7f774296c5d851095e617c2eb6dc0ef217d67a0455d835312cc951c21d7,25b65a498541398bb7d92d7c0a5814b1282232766cafdd1ec3669a8a9b42cc51,61f866f1b93bc9f28b3a4130289f2e541c1bd65036602ee105d23935eecc125a,6e9822fa90a8b8e57f90ac69a0dfe315b96c78f3bc36c86b0021a74bd38c0388,a5927ce7d51fa46d35aaa34c4f8cf5a2cf47db80bef007003feb8685bdea790b,54e1e158e43916d9db921e57b0582e63abab2ba73491c764fe4bcf39c195719a,b08ff5d33372d1147b061040e22e50f74ccf8c6bcb9cae4afdf4787b6feebfe6,4f861c1b612232fc4b6992e89aa094eaa42907e5bbe75562a871ee8b9ae16c39,e810697b581e4dcab927d92a04285b76437ed73ec2a214b48902dad4d2384df0
"32","1","0","1013","0","1","32","15","迷宮遺物を15個以上所持した状態でクリアしよう","32","8"
"33","1","0","1013","0","1","33","20","迷宮遺物を20個以上所持した状態でクリアしよう","33","8"
"34","1","0","1013","0","1","34","25","迷宮遺物を25個以上所持した状態でクリアしよう","34","8"
"35","1","3","1014","1","2","35","5","【美食殿】難易度3以上で1回クリアしよう","35","2"
"36","1","4","1014","1","2","36","5","【美食殿】難易度4以上で1回クリアしよう","36","2"
"37","1","5","1014","1","2","37","5","【美食殿】難易度5で1回クリアしよう","37","2"
"38","1","3","1014","2","2","38","5","【トゥインクルウィッシュ】難易度3以上で1回クリアしよう","38","2"
"39","1","4","1014","2","2","39","5","【トゥインクルウィッシュ】難易度4以上で1回クリアしよう","39","2"
"40","1","5","1014","2","2","40","5","【トゥインクルウィッシュ】難易度5で1回クリアしよう","40","2"
"41","1","3","1014","3","2","41","5","【サレンディア救護院】難易度3以上で1回クリアしよう","41","2"
"42","1","4","1014","3","2","42","5","【サレンディア救護院】難易度4以上で1回クリアしよう","42","2"
"43","1","5","1014","3","2","43","5","【サレンディア救護院】難易度5で1回クリアしよう","43","2"
"44","1","3","1014","4","2","44","5","【王宮騎士団（NIGHTMARE）】難易度3以上で1回クリアしよう","44","2"
"45","1","4","1014","4","2","45","5","【王宮騎士団（NIGHTMARE）】難易度4以上で1回クリアしよう","45","2"
"46","1","5","1014","4","2","46","5","【王宮騎士団（NIGHTMARE）】難易度5で1回クリアしよう","46","2"
"47","1","3","1014","5","2","47","5","【ラビリンス】難易度3以上で1回クリアしよう","47","2"
"48","1","4","1014","5","2","48","5","【ラビリンス】難易度4以上で1回クリアしよう","48","2"
"49","1","5","1014","5","2","49","5","【ラビリンス】難易度5で1回クリアしよう","49","2"
"50","1","3","1014","6","2","50","5","【カルミナ】難易度3以上で1回クリアしよう","50","2"
"51","1","4","1014","6","2","51","5","【カルミナ】難易度4以上で1回クリアしよう","51","2"
"52","1","5","1014","6","2","52","5","【カルミナ】難易度5で1回クリアしよう","52","2"
"53","1","3","1014","7","2","53","5","【悪魔偽王国軍（ディアボロス）】難易度3以上で1回クリアしよう","53","2"
"54","1","4","1014","7","2","54","5","【悪魔偽王国軍（ディアボロス）】難易度4以上で1回クリアしよう","54","2"
"55","1","5","1014","7","2","55","5","【悪魔偽王国軍（ディアボロス）】難易度5で1回クリアしよう","55","2"
"56","1","3","1014","8","2","56","5","【牧場（エリザベスパーク）】難易度3以上で1回クリアしよう","56","2"
"57","1","4","1014","8","2","57","5","【牧場（エリザベスパーク）】難易度4以上で1回クリアしよう","57","2"
"58","1","5","1014","8","2","58","5","【牧場（エリザベスパーク）】難易度5で1回クリアしよう","58","2"
"59","1","3","1014","9","2","59","5","【メルクリウス財団】難易度3以上で1回クリアしよう","59","2"
"60","1","4","1014","9","2","60","5","【メルクリウス財団】難易度4以上で1回クリアしよう","60","2"
"61","1","5","1014","9","2","61","5","【メルクリウス財団】難易度5で1回クリアしよう","61","2"
"62","1","3","1014","10","2","62","5","【トワイライトキャラバン】難易度3以上で1回クリアしよう","62","2"
"63","1","4","1014","10","2","63","5","【トワイライトキャラバン】難易度4以上で1回クリアしよう","63","2"
"64","1","5","1014","10","2","64","5","【トワイライトキャラバン】難易度5で1回クリアしよう","64","2"
