95255949c60cb0ec235f8c0ef37e8d9f06af4f0afbb90217884b3d5c35691f6c,bfc42ffcb331ebcc1a23f1cb3acfbd71fc8f1aa4b38568380e86bc61b918ad20,d6e8c4b3d5aa43b8daecd3f7d8fa80d73b746ffd074776cbcc61b23e33d29515,2e1e6b975a7c28fe46a4066d9f51bded777c581a0aa82652258c575907298964,17f2d8bac290f8cc605bf22eb97736e1feb4e4cf07724620af44f4e7222ba2f9,0ee07657fbf91271231f0e46ef23f5359238c8fb96bb33d5fc048959dd3cebb9,9f6c3e9b6872ed0ea332b9a4c7830c83d5c1a2f4a18c58e02cf16305f61f8744,51fa7805f8e09be262eb4c804aee4764758049d99104d6c8ed8bb99ee49c2299
"mistake_039-mistake_040,mistake_041-mistake_042,mistake_043-mistake_044,mistake_045-mistake_046","はうっ！ま、間違ったです…","srt_inori_miss,srt_inori_thinking","srt_dragon_miss,srt_dragon_thinking","srt_kaya_react_3,srt_kaya_waiting","PLAYER_MISS","","1"
"out_070","おいおい、「ん」がついてるじゃねえか……","srt_inori_shock","","srt_kaya_react_4","PLAYER_SELECT_N","","2"
"rush","どんどんいくですよ！","srt_inori_thinking","srt_dragon_thinking","srt_kaya_infever","INFEVER","","1"
"correct_028-correct_029,correct_037-correct_038","「{0}」です！","srt_inori_select_1","srt_dragon_select_1","","FEVER_SELECT1","","1"
"correct_030-correct_031,correct_035-correct_036","「{0}」ですね！","srt_inori_select_2","srt_dragon_select_2","","FEVER_SELECT2","","1"
"mistake_039-mistake_040,mistake_041-mistake_042,mistake_043-mistake_044,mistake_045-mistake_046,mistake_047-mistake_048","はうっ！ま、間違ったです…","srt_inori_miss","srt_dragon_miss","","FEVER_MISS","","1"
"rush_attack","覚悟するです！","srt_inori_fever_attack","srt_dragon_fever_attack","srt_kaya_fever_damage","FEVER_DAMAGE","","1"
"win_005-win_006,win_012-win_013","あたしたちの勝ちですよ！！","srt_inori_win_1","srt_dragon_win","srt_kaya_lose","WIN_HP","","1"
"win_005-win_006,win_012-win_013","あたしたちの勝ちですよ！！","srt_inori_win_1","srt_dragon_win","","WIN_N","","1"
"lose_017,lose_019,lose_023","あうぅ…あたしの負けです…","srt_inori_lose","srt_dragon_lose","srt_kaya_win","LOSE_MISS","","1"
"lose_017,lose_019,lose_023","あうぅ…あたしの負けです…","","srt_dragon_miss","","LOSE_N","","1"
"lose_025/lose_026-boss_emote_068,lose_021","じ、時間切れですか！？油断したです… ","srt_inori_lose","srt_dragon_lose","srt_kaya_win","TIMEUP","","1"
"lose_017,lose_019,lose_023","あうぅ…あたしの負けです…\n「{0}」があったです…","srt_inori_lose","srt_dragon_lose","srt_kaya_win","LOSE_MISS2","","1"
"lose_017,lose_019,lose_023","あうぅ…あたしの負けです…\n「{0}」があったです…","","srt_dragon_miss","","LOSE_N2","","1"
"lose_025/lose_026-boss_emote_068,lose_021","じ、時間切れですか！？油断したです… \n「{0}」があったです…","srt_inori_lose","srt_dragon_lose","srt_kaya_win","TIMEUP2","","1"
