d9eb2b1b1b285f0b41ec3b9478c89d3f8eef5d2c2657d2391ea917578cba4ebf,8d569c00816375da411359b364d533d74a8d3c3ecb36c81403fc946f72643ddf,c4d619f04221c8cb4c8aa7a2a6faab9b091aaf8006583b7f244183afdf3e937d,7d8b06b1c232155a43d2af7a1d36b5f2e103bea29e9262376354523560140424,c9f4190be296f366272831442fee3eafe38c7d51a98805385631819467d9aa8e,01784c0e3ffd10c8e1a651ba000a871b6d770eb96bc387147e0afbef8cce4b24,bff41451fb8cfbf9a9633b6aa82096b29453ec17ea103fa80e9b1f11db0f3231,dd8dfd8c0598d6ba48dd822f31206ee23db910847b13a8390a8f869a10745784,ff44fc20b562d3958e6c45043b9bc46a7da1e61d967c4a0e7deecbb9b6b68f20,1d258b38d0eb43a4a14024b472c48369c8fba8a7b50f8c993b33354e9dfb4a75,68154e56b7a9cefbca0e1aa28c54eecf068bbe28ba920da117b861e2b14a1c77,dfd2971f2b00425b06e26791187315f97d3372194053b7c45bbc751de4ea17ea
"ニノン（ハロウィン）専用スフィア / Lv180","1","2021/09/30 12:00:00","21","0","0","ニノン（ハロウィン）専用のグロウスフィア。キャラのステータスをLv180/RANK19まで強化できる。","2030/08/01 14:59:59","999","21007","0","8"
"マヒル（クリスマス）専用スフィア / Lv215","1","2021/11/30 12:00:00","21","0","0","マヒル（クリスマス）専用のグロウスフィア。キャラのステータスをLv215/RANK23まで強化できる。","2030/08/01 14:59:59","999","21008","0","9"
"ルカ（ニューイヤー）専用スフィア / Lv215","1","2021/12/31 12:00:00","21","0","0","ルカ（ニューイヤー）専用のグロウスフィア。キャラのステータスをLv215/RANK23まで強化できる。","2030/08/01 14:59:59","999","21009","0","10"
"ラビリスタ（オーバーロード）専用スフィア / Lv215","1","2022/02/07 12:00:00","21","0","0","ラビリスタ（オーバーロード）専用のグロウスフィア。キャラのステータスをLv215/RANK23まで強化できる。","2030/08/01 14:59:59","999","21010","0","12"
"アオイ（キャンプ）専用スフィア / Lv215","1","2022/05/31 12:00:00","21","0","0","アオイ（キャンプ）専用のグロウスフィア。キャラのステータスをLv215/RANK23まで強化できる。","2030/08/01 14:59:59","999","21011","0","13"
"ヒヨリ（サマー）専用スフィア / Lv215","1","2022/06/30 12:00:00","21","0","0","ヒヨリ（サマー）専用のグロウスフィア。キャラのステータスをLv215/RANK23まで強化できる。","2030/08/01 14:59:59","999","21012","0","14"
"ミソギ（サマー）専用スフィア / Lv215","1","2022/07/31 12:00:00","21","0","0","ミソギ（サマー）専用のグロウスフィア。キャラのステータスをLv215/RANK23まで強化できる。","2030/08/01 14:59:59","999","21013","0","15"
"リン（ハロウィン）専用スフィア / Lv215","1","2022/09/30 12:00:00","21","0","0","リン（ハロウィン）専用のグロウスフィア。キャラのステータスをLv215/RANK23まで強化できる。","2030/08/01 14:59:59","999","21014","0","16"
"ヨリ（クリスマス）専用スフィア / Lv250","1","2022/11/30 12:00:00","21","0","0","ヨリ（クリスマス）専用のグロウスフィア。キャラのステータスをLv250/RANK26まで強化できる。","2030/08/01 14:59:59","999","21015","0","17"
"ミツキ（ニューイヤー）専用スフィア / Lv250","1","2022/12/31 12:00:00","21","0","0","ミツキ（ニューイヤー）専用のグロウスフィア。キャラのステータスをLv250/RANK26まで強化できる。","2030/08/01 14:59:59","999","21016","0","20"
"カヤ（リベレイター）専用スフィア / Lv250","1","2023/01/31 12:00:00","21","0","0","カヤ（リベレイター）専用のグロウスフィア。キャラのステータスをLv250/RANK26まで強化できる。","2030/08/01 14:59:59","999","21017","0","21"
"カリン（アルケミスト）専用スフィア / Lv250","1","2023/04/30 12:00:00","21","0","0","カリン（アルケミスト）専用のグロウスフィア。キャラのステータスをLv250/RANK26まで強化できる。","2030/08/01 14:59:59","999","21018","0","22"
"アキノ（サマー）専用スフィア / Lv250","1","2023/06/30 12:00:00","21","0","0","アキノ（サマー）専用のグロウスフィア。キャラのステータスをLv250/RANK26まで強化できる。","2030/08/01 14:59:59","999","21019","0","24"
"クウカ（サマー）専用スフィア / Lv250","1","2023/07/31 12:00:00","21","0","0","クウカ（サマー）専用のグロウスフィア。キャラのステータスをLv250/RANK26まで強化できる。","2030/08/01 14:59:59","999","21020","0","25"
"イノリ（ニューイヤー）専用スフィア / Lv280","1","2023/12/31 12:00:00","21","0","0","イノリ（ニューイヤー）専用のグロウスフィア。キャラのステータスをLv280/RANK29まで強化できる。","2030/08/01 14:59:59","999","21021","0","27"
"レイ（アストラル）専用スフィア / Lv280","1","2024/01/31 12:00:00","21","0","0","レイ（アストラル）専用のグロウスフィア。キャラのステータスをLv280/RANK29まで強化できる。","2030/08/01 14:59:59","999","21022","0","28"
"ペコリーヌ専用スフィア / Lv280","1","2025/08/15 15:00:00","21","0","0","ペコリーヌ専用のグロウスフィア。キャラのステータスをLv280/RANK29まで強化できる。","2030/08/01 14:59:59","999","21023","0","29"
"コッコロ専用スフィア / Lv280","1","2025/08/15 15:00:00","21","0","0","コッコロ専用のグロウスフィア。キャラのステータスをLv280/RANK29まで強化できる。","2030/08/01 14:59:59","999","21024","0","30"
"キャル専用スフィア / Lv280","1","2025/08/15 15:00:00","21","0","0","キャル専用のグロウスフィア。キャラのステータスをLv280/RANK29まで強化できる。","2030/08/01 14:59:59","999","21025","0","31"
"シェフィ専用スフィア / Lv280","1","2025/08/15 15:00:00","21","0","0","シェフィ専用のグロウスフィア。キャラのステータスをLv280/RANK29まで強化できる。","2030/08/01 14:59:59","999","21026","0","32"
"グロウスフィア / Lv180","1","2021/02/21 12:00:00","21","0","0","すべてのキャラに使用できるグロウスフィア。キャラのステータスをLv180/RANK19まで強化できる。","2030/08/01 14:59:59","999","21900","0","4"
"グロウスフィア / Lv215","1","2022/01/31 12:00:00","21","0","0","すべてのキャラに使用できるグロウスフィア。キャラのステータスをLv215/RANK23まで強化できる。","2030/08/01 14:59:59","999","21901","0","11"
"グロウスフィア / Lv250","1","2022/11/30 12:00:00","21","0","0","すべてのキャラに使用できるグロウスフィア。キャラのステータスをLv250/RANK26まで強化できる。","2030/08/01 14:59:59","999","21902","0","18"
"グロウスフィア / Lv100","1","2022/12/15 12:00:00","21","0","0","すべてのキャラに使用できるグロウスフィア。キャラのステータスをLv100/RANK12まで強化できる。","2030/08/01 14:59:59","999","21903","0","19"
"グロウスフィア / Lv260","1","2023/04/30 12:00:00","21","0","0","すべてのキャラに使用できるグロウスフィア。キャラのステータスをLv260/RANK28まで強化できる。","2030/08/01 14:59:59","999","21904","0","23"
"グロウスフィア / Lv280","1","2023/10/30 12:00:00","21","0","0","すべてのキャラに使用できるグロウスフィア。キャラのステータスをLv280/RANK29まで強化できる。","2030/08/01 14:59:59","999","21905","0","26"
"専用装備１グロウスフィア / Lv240","1","2022/06/15 15:00:00","23","0","0","すべてのキャラに使用できる専用装備１のグロウスフィア。専用装備１を作成し、Lv240まで強化できる。","2030/08/01 14:59:59","999","21951","0","10001"
"専用装備１グロウスフィア / Lv270","1","2023/05/15 15:00:00","23","0","0","すべてのキャラに使用できる専用装備１のグロウスフィア。専用装備１を作成し、Lv270まで強化できる。","2030/08/01 14:59:59","999","21952","0","10002"
"専用装備１グロウスフィア / Lv290","1","2024/02/15","23","0","0","すべてのキャラに使用できる専用装備１のグロウスフィア。専用装備１を作成し、Lv290まで強化できる。","2030/08/01 14:59:59","999","21953","0","10003"
"専用装備１グロウスフィア / Lv340","1","2025/08/15 15:00:00","23","0","0","すべてのキャラに使用できる専用装備１のグロウスフィア。専用装備１を作成し、Lv340まで強化できる。","2030/08/01 14:59:59","999","21954","0","10004"
"精錬石","1","2015/12/17 15:00:00","3","0","120","キャラの装備強化に使用すると、装備強化Ptが10加算される。","2030/08/01 14:59:59","999999","22001","0","10"
"上精錬石","2","2015/12/17 15:00:00","3","0","720","キャラの装備強化に使用すると、装備強化Ptが60加算される。","2030/08/01 14:59:59","999999","22002","0","60"
"精錬結晶","3","2015/12/17 15:00:00","3","0","2400","キャラの装備強化に使用すると、装備強化Ptが200加算される。","2030/08/01 14:59:59","999999","22003","0","200"
"スキップチケット","1","2015/12/17 15:00:00","5","0","0","クリアランク★3を獲得したクエストの、プレイ時間をスキップするチケット。","2030/08/01 14:59:59","999999","23001","0","0"
"ファストチケット","1","2015/12/17 15:00:00","5","0","0","アドベンチャーのクエストにかかる時間を短縮することができるチケット。","2030/08/01 14:59:59","999999","23002","0","0"
"マスタリーチケット","1","2015/12/17 15:00:00","5","0","0","マスタリーガチャを1回引くことができるチケット。","2030/08/01 14:59:59","999999","23003","0","0"
"プラチナガチャチケット","1","2015/12/17 15:00:00","8","0","0","プラチナガチャやピックアップガチャを1回引くことができるガチャチケット。","2030/08/01 14:59:59","999","24001","0","0"
"共闘チケット","1","2015/12/17 15:00:00","10","0","0","共闘時に使用すると、クリア時の報酬が豪華になるチケット。","2030/08/01 14:59:59","999","24003","0","0"
"10回ガチャチケット","1","2015/12/17 15:00:00","8","0","0","ガチャを10回引くことができるガチャチケット。","2030/08/01 14:59:59","999","24004","0","0"
"★3確定 アニメガチャチケット （プリンセスコネクト！Re:Dive 1）","1","2020/08/04 12:00:00","17","0","0","対象の★3キャラをランダムで1キャラ仲間にできる特別なガチャチケット。","2030/08/01 14:59:59","999","24005","0","0"
"★3確定 アニメガチャチケット （プリンセスコネクト！Re:Dive 2）","1","2020/09/03 19:00:00","17","0","0","対象の★3キャラをランダムで1キャラ仲間にできる特別なガチャチケット。","2030/08/01 14:59:59","999","24006","0","0"
"★3確定 アニメガチャチケット （プリンセスコネクト！Re:Dive 3）","1","2020/10/01 17:00:00","17","0","0","対象の★3キャラをランダムで1キャラ仲間にできる特別なガチャチケット。","2030/08/01 14:59:59","999","24007","0","0"
"★3確定 アニメガチャチケット （プリンセスコネクト！Re:Dive 4）","1","2020/11/05 12:00:00","17","0","0","対象の★3キャラをランダムで1キャラ仲間にできる特別なガチャチケット。","2030/08/01 14:59:59","999","24008","0","0"
"★3確定 プリコネフェス記念ガチャチケット","1","2021/02/21 12:00:00","17","0","0","対象の★3キャラをランダムで1キャラ仲間にできる特別なガチャチケット。","2030/08/01 14:59:59","999","24009","0","0"
"★3確定 プリコネフェス2022記念ガチャチケット","1","2022/02/14 12:00:00","17","0","0","対象の★3キャラをランダムで1キャラ仲間にできる特別なガチャチケット。","2030/08/01 14:59:59","999","24010","0","0"
"★3確定アニメガチャチケット プリンセスコネクト！Re:Dive Season2 1","1","2022/03/21","17","0","0","対象の★3キャラをランダムで1キャラ仲間にできる特別なガチャチケット。","2030/08/01 14:59:59","999","24011","0","0"
"★3確定アニメガチャチケット プリンセスコネクト！Re:Dive Season2 2","1","2022/04/18","17","0","0","対象の★3キャラをランダムで1キャラ仲間にできる特別なガチャチケット。","2030/08/01 14:59:59","999","24012","0","0"
"★3確定アニメガチャチケット プリンセスコネクト！Re:Dive Season2 3","1","2022/05/16","17","0","0","対象の★3キャラをランダムで1キャラ仲間にできる特別なガチャチケット。","2030/08/01 14:59:59","999","24013","0","0"
"★3確定 プリコネフェス2023記念ガチャチケット","1","2022/01/15 15:00:00","17","0","0","対象の★3キャラをランダムで1キャラ仲間にできる特別なガチャチケット。","2030/08/01 14:59:59","999","24014","0","0"
"★3確定 5周年記念ガチャチケット","1","2023/02/14 15:00:00","17","0","0","対象の★3キャラをランダムで1キャラ仲間にできる特別なガチャチケット。","2030/08/01 14:59:59","999","24015","0","0"
"★3確定 Sダッシュガチャチケット","1","2023/02/14 15:00:00","17","0","0","対象の★3キャラをランダムで1キャラ仲間にできる特別なガチャチケット。","2030/08/01 14:59:59","999","24016","0","0"
"★3確定 プリコネフェス2024記念ガチャチケット","1","2024/02/09 12:00:00","17","0","0","対象の★3キャラをランダムで1キャラ仲間にできる特別なガチャチケット。","2030/08/01 14:59:59","999","24017","0","0"
"★3確定 プリコネフェス2025記念ガチャチケット","1","2025/02/09 12:00:00","17","0","0","対象の★3キャラをランダムで1キャラ仲間にできる特別なガチャチケット。","2030/08/01 14:59:59","999","24018","0","0"
"GWガチャチケット(火)2025","1","2025/04/30 12:00:00","17","0","0","対象の★3キャラをランダムで1キャラ仲間にできる特別なガチャチケット。","2030/08/01 14:59:59","999","24019","0","0"
"GWピックアップガチャチケット(火)2025","1","2025/04/30 12:00:00","17","0","0","対象の★3キャラをランダムで1キャラ仲間にできる特別なガチャチケット。","2030/08/01 14:59:59","999","24020","0","0"
"GWガチャチケット(闇)2025","1","2025/04/30 12:00:00","17","0","0","対象の★3キャラをランダムで1キャラ仲間にできる特別なガチャチケット。","2030/08/01 14:59:59","999","24021","0","0"
"GWピックアップガチャチケット(闇)2025","1","2025/04/30 12:00:00","17","0","0","対象の★3キャラをランダムで1キャラ仲間にできる特別なガチャチケット。","2030/08/01 14:59:59","999","24022","0","0"
"7.5th Anniv. ガチャチケット(水)","1","2025/08/15 15:00:00","17","0","0","対象の★3キャラをランダムで1キャラ仲間にできる特別なガチャチケット。","2030/08/01 14:59:59","999","24023","0","0"
"7.5th Anniv. ピックアップガチャチケット(水)","1","2025/08/15 15:00:00","17","0","0","対象の★3キャラをランダムで1キャラ仲間にできる特別なガチャチケット。","2030/08/01 14:59:59","999","24024","0","0"
"7.5th Anniv. ガチャチケット(風)","1","2025/08/15 15:00:00","17","0","0","対象の★3キャラをランダムで1キャラ仲間にできる特別なガチャチケット。","2030/08/01 14:59:59","999","24025","0","0"
"7.5th Anniv. ピックアップガチャチケット(風)","1","2025/08/15 15:00:00","17","0","0","対象の★3キャラをランダムで1キャラ仲間にできる特別なガチャチケット。","2030/08/01 14:59:59","999","24026","0","0"
"★3確定 Sダッシュミッションガチャチケット","1","2025/08/15 15:00:00","17","0","0","対象の★3キャラをランダムで1キャラ仲間にできる特別なガチャチケット。","2030/08/01 14:59:59","999","24027","0","0"
"カムバック10連ガチャチケット","1","2025/08/15 15:00:00","17","0","0","専用のガチャを10回引くことができるガチャチケット。10キャラ目は★3キャラ確定。","2030/08/01 14:59:59","999","24028","0","0"
"カムバックSP10連ガチャチケット","1","2025/08/15 15:00:00","17","0","0","専用のガチャを10回引くことができるガチャチケット。10キャラ目は★3キャラ確定。","2030/08/01 14:59:59","999","24029","0","0"
"ゾンビランドサガコラボ記念 10回ガチャチケット","1","2025/10/24 12:00:00","17","0","0","専用のガチャを10回引くことができるガチャチケット。","2025/11/03 11:59:59","999","24030","0","0"
"ウマ娘「The Game Awards 2025」受賞記念★3確定ガチャチケット","1","2025/12/12 15:00:00","17","0","0","対象の★3キャラをランダムで1キャラ仲間にできる特別なガチャチケット。","2030/08/01 14:59:59","999","24031","0","0"
"2026 新春記念ガチャチケット(光)","1","2025/12/31 12:00:00","17","0","0","対象の★3キャラをランダムで1キャラ仲間にできる特別なガチャチケット。","2030/08/01 14:59:59","999","24032","0","0"
"2026 新春記念ピックアップガチャチケット(光)","1","2025/12/31 12:00:00","17","0","0","対象の★3キャラをランダムで1キャラ仲間にできる特別なガチャチケット。","2030/08/01 14:59:59","999","24033","0","0"
"プリンセスオーブ","1","2015/12/17 15:00:00","20","0","0","キャラの大いなる力を呼び醒ますアイテム。","2030/08/01 14:59:59","99999","25001","0","0"
"アストラルスフィア（火）","1","2015/12/17 15:00:00","29","0","0","世界を構成している属性の力であるアストラルのうち火の属性が結晶化した宝玉。使用することで対応する属性を活性化させることができる。","2030/08/01 14:59:59","999999999","25011","30","0"
"アストラルスフィア（水）","1","2015/12/17 15:00:00","29","0","0","世界を構成している属性の力であるアストラルのうち水の属性が結晶化した宝玉。使用することで対応する属性を活性化させることができる。","2030/08/01 14:59:59","999999999","25012","50","0"
"アストラルスフィア（風）","1","2015/12/17 15:00:00","29","0","0","世界を構成している属性の力であるアストラルのうち風の属性が結晶化した宝玉。使用することで対応する属性を活性化させることができる。","2030/08/01 14:59:59","999999999","25013","20","0"
"アストラルスフィア（光）","1","2015/12/17 15:00:00","29","0","0","世界を構成している属性の力であるアストラルのうち光の属性が結晶化した宝玉。使用することで対応する属性を活性化させることができる。","2030/08/01 14:59:59","999999999","25014","40","0"
"アストラルスフィア（闇）","1","2015/12/17 15:00:00","29","0","0","世界を構成している属性の力であるアストラルのうち闇の属性が結晶化した宝玉。使用することで対応する属性を活性化させることができる。","2030/08/01 14:59:59","999999999","25015","60","0"
"アストラルシャード","1","2015/12/17 15:00:00","29","0","0","世界を構成している属性の力であるアストラルの結晶。内に秘めた属性が未分化の不安定な状態ゆえに励起されると莫大な属性の力を放つ。","2030/08/01 14:59:59","999999999","25021","10","0"
"マスターピース","1","2015/12/17 15:00:00","29","0","0","アストラルの顕在化により発生した宝珠。未確認物質でできており使用するとなぜかプリンセスナイトの　権能を強化拡張することができる。","2030/08/01 14:59:59","9999","25101","0","0"
"マスターピース（欠片）","1","2015/12/17 15:00:00","29","0","0","アストラルの顕在化により発生したマスターピースの欠片。互いに引きあう性質を持ち複数を集めることで合体し、マスターピースとなる。","2030/08/01 14:59:59","99999","25102","0","0"
"ルナコイン","1","2015/12/17 15:00:00","9","0","0","ルナの塔に挑戦した者のみが獲得できる、アストルム内のショップでは流通していない珍しいコイン。","2030/08/01 14:59:59","999","26101","0","0"
"EX装備強化Pt","1","2015/12/17 15:00:00","25","0","0","EX装備の強化に使用すると、強化Ptが1加算される。","2030/08/01 14:59:59","999999999","26201","0","0"
"EX装備錬成Pt","1","2015/12/17 15:00:00","25","0","0","EX装備の錬成に使用することができる。","2030/08/01 14:59:59","999999999","26202","0","0"
"錬成スフィア","1","2015/12/17 15:00:00","33","0","0","アルケス錬金堂の最高の秘術である究極錬成において使用される宝玉。装備の効果自体を物質化したもので特殊な武具に付与することが可能。","2030/08/01 14:59:59","999999999","26203","0","0"
"スペシャル交換チケット","1","2015/12/17 15:00:00","17","0","0","特定のキャラを交換できるチケット。","2030/08/01 14:59:59","999","27001","0","0"
"スペシャル交換チケット","1","2015/12/17 15:00:00","17","0","0","特定のキャラを交換できるチケット。","2030/08/01 14:59:59","999","27002","0","0"
"スペシャル交換チケット","1","2015/12/17 15:00:00","17","0","0","特定のキャラを交換できるチケット。","2030/08/01 14:59:59","999","27003","0","0"
"スペシャル交換チケット","1","2015/12/17 15:00:00","17","0","0","特定のキャラを交換できるチケット。","2030/08/01 14:59:59","999","27004","0","0"
"4th Anniv. スペシャル交換チケット","1","2022/02/15 15:00:00","17","0","0","特定のキャラを交換できるチケット。","2030/08/01 14:59:59","999","27005","0","0"
"スペシャル交換チケット","1","2015/12/17 15:00:00","17","0","0","特定のキャラを交換できるチケット。","2030/08/01 14:59:59","999","27006","0","0"
"スペシャル交換チケット","1","2015/12/17 15:00:00","17","0","0","特定のキャラを交換できるチケット。","2030/08/01 14:59:59","999","27007","0","0"
"5th Anniv. スペシャル交換チケット","1","2023/02/15 15:00:00","17","0","0","特定のキャラを交換できるチケット。","2030/08/01 14:59:59","999","27008","0","0"
"コラボ記念 スペシャル交換チケット","1","2023/04/30 12:00:00","17","0","0","特定のキャラを交換できるチケット。","2030/08/01 14:59:59","999","27009","0","0"
"スペシャル交換チケット","1","2015/12/17 15:00:00","17","0","0","特定のキャラを交換できるチケット。","2030/08/01 14:59:59","999","27010","0","0"
"Sダッシュ スペシャル交換チケット","1","2023/08/15 12:00:00","17","0","0","特定のキャラを交換できるチケット。","2030/08/01 14:59:59","999","27011","0","0"
"スペシャル交換チケット（限定＋）","1","2023/12/31 12:00:00","17","0","0","特定のキャラを交換できるチケット。","2030/08/01 14:59:59","999","27012","0","0"
"6th Anniv. スペシャル交換チケット","1","2024/02/15 00:00:00","17","0","0","特定のキャラを交換できるチケット。","2030/08/01 14:59:59","999","27013","0","0"
"スペシャル交換チケット（限定＋）","1","2024/04/30 12:00:00","17","0","0","特定のキャラを交換できるチケット。","2030/08/01 14:59:59","999","27014","0","0"
"スペシャル交換チケット（限定＋）","1","2024/08/15 15:00:00","17","0","0","特定のキャラを交換できるチケット。","2030/08/01 14:59:59","999","27015","0","0"
"スペシャル交換チケット（限定＋）","1","2024/12/20 5:30:00","17","0","0","特定のキャラを交換できるチケット。","2030/08/01 14:59:59","999","27016","0","0"
"スペシャル交換チケット（限定＋）","1","2024/12/31 12:00:00","17","0","0","特定のキャラを交換できるチケット。","2030/08/01 14:59:59","999","27017","0","0"
"スペシャル交換チケット（フェス限定＋）","1","2025/02/15 15:00:00","17","0","0","特定のキャラを交換できるチケット。","2030/08/01 14:59:59","999","27018","0","0"
"スペシャル交換チケット（限定＋）","1","2025/02/15 15:00:00","17","0","0","特定のキャラを交換できるチケット。","2030/08/01 14:59:59","999","27019","0","0"
"スペシャル交換チケット（限定＋）","1","2025/04/30 12:00:00","17","0","0","特定のキャラを交換できるチケット。","2030/08/01 14:59:59","999","27020","0","0"
"スタートダッシュキャラ交換チケット","1","2025/08/15 15:00:00","17","0","0","特定のキャラを交換できるチケット。","2030/08/01 14:59:59","999","27021","0","0"
"スタートダッシュプリンセスキャラ交換チケット","1","2025/08/15 15:00:00","17","0","0","特定のキャラを交換できるチケット。","2030/08/01 14:59:59","999","27022","0","0"
"スペシャル交換チケット（限定＋）","1","2025/08/15 15:00:00","17","0","0","特定のキャラを交換できるチケット。","2030/08/01 14:59:59","999","27023","0","0"
"スペシャル交換チケット（限定＋）","1","2025/12/20 12:00:00","17","0","0","特定のキャラを交換できるチケット。","2030/08/01 14:59:59","999","27024","0","0"
"スペシャル交換チケット（限定＋）","1","2025/12/31 12:00:00","17","0","0","特定のキャラを交換できるチケット。","2030/08/01 14:59:59","999","27025","0","0"
"ペコリーヌのメモリーピース交換チケット","1","2020/08/04 12:00:00","17","0","0","特定のキャラのメモリーピースを交換できるチケット。","2030/08/01 14:59:59","999","28001","0","0"
"コッコロのメモリーピース交換チケット","1","2020/08/04 12:00:00","17","0","0","特定のキャラのメモリーピースを交換できるチケット。","2030/08/01 14:59:59","999","28002","0","0"
"キャルのメモリーピース交換チケット","1","2020/08/04 12:00:00","17","0","0","特定のキャラのメモリーピースを交換できるチケット。","2030/08/01 14:59:59","999","28003","0","0"
"ハツネのメモリーピース交換チケット","1","2020/09/03 19:00:00","17","0","0","特定のキャラのメモリーピースを交換できるチケット。","2030/08/01 14:59:59","999","28004","0","0"
"シオリのメモリーピース交換チケット","1","2020/09/03 19:00:00","17","0","0","特定のキャラのメモリーピースを交換できるチケット。","2030/08/01 14:59:59","999","28005","0","0"
"クリスティーナのメモリーピース交換チケット","1","2020/09/03 19:00:00","17","0","0","特定のキャラのメモリーピースを交換できるチケット。","2030/08/01 14:59:59","999","28006","0","0"
"ミミのメモリーピース交換チケット","1","2020/10/01 17:00:00","17","0","0","特定のキャラのメモリーピースを交換できるチケット。","2030/08/01 14:59:59","999","28007","0","0"
"ミソギのメモリーピース交換チケット","1","2020/10/01 17:00:00","17","0","0","特定のキャラのメモリーピースを交換できるチケット。","2030/08/01 14:59:59","999","28008","0","0"
"キョウカのメモリーピース交換チケット","1","2020/10/01 17:00:00","17","0","0","特定のキャラのメモリーピースを交換できるチケット。","2030/08/01 14:59:59","999","28009","0","0"
"シズルのメモリーピース交換チケット","1","2020/11/05 12:00:00","17","0","0","特定のキャラのメモリーピースを交換できるチケット。","2030/08/01 14:59:59","999","28010","0","0"
"リノのメモリーピース交換チケット","1","2020/11/05 12:00:00","17","0","0","特定のキャラのメモリーピースを交換できるチケット。","2030/08/01 14:59:59","999","28011","0","0"
"ネネカのメモリーピース交換チケット","1","2020/11/05 12:00:00","17","0","0","特定のキャラのメモリーピースを交換できるチケット。","2030/08/01 14:59:59","999","28012","0","0"
"ユニのメモリーピース交換チケット","1","2022/03/21","17","0","0","特定のキャラのメモリーピースを交換できるチケット。","2030/08/01 14:59:59","999","28013","0","0"
"チエルのメモリーピース交換チケット","1","2022/03/21","17","0","0","特定のキャラのメモリーピースを交換できるチケット。","2030/08/01 14:59:59","999","28014","0","0"
"クロエのメモリーピース交換チケット","1","2022/03/21","17","0","0","特定のキャラのメモリーピースを交換できるチケット。","2030/08/01 14:59:59","999","28015","0","0"
"チカのメモリーピース交換チケット","1","2022/04/18","17","0","0","特定のキャラのメモリーピースを交換できるチケット。","2030/08/01 14:59:59","999","28016","0","0"
"カスミのメモリーピース交換チケット","1","2022/04/18","17","0","0","特定のキャラのメモリーピースを交換できるチケット。","2030/08/01 14:59:59","999","28017","0","0"
"モニカのメモリーピース交換チケット","1","2022/04/18","17","0","0","特定のキャラのメモリーピースを交換できるチケット。","2030/08/01 14:59:59","999","28018","0","0"
