29ce02a68ada7ed027037d192c8672fe981f6cd871f1ffba70c0c85ba3e9a903,684d495879bbe267216353f11d04a7d3cedff8158aab7bc0adb7618d9e82c2a3,5cc1a44b28e7b1b820255ce467be348983b05d5780e7565af9a50e8c177501f5,d9a7b037e1e96f8b3561d13f385eb01e91ac879a40b0e48607ec68e7eb648ac2,df40a779b6979174151290f27839eb3b5b87dac3b8261f3b6395a664870d5109,c8dbd796bef08181f609f23eddfaa442ec281c2f6fabef9e733c530f601daa1f,8ff730e9b631a3a7ff86377b95dcc350c91631caefc8630ff75e62c47d54e32a
"[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","33","72031021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","20031","114601"
"[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","34","72032021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","20032","114701"
"[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","35","72033021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","20033","115601"
"[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","36","72035021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","20035","115801"
"[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","37","72038021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","20038","116801"
"[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","38","72040021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","20040","117401"
"[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","39","72042021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","20042","117801"
"[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","40","72044021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","20044","119201"
"[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","41","72045021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","20045","120801"
"[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","42","72047021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","20047","121201"
"[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","43","72051021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","20051","122101"
"[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","44","72052021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","20052","122401"
"[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","45","72053021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","20053","122801"
"[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","46","72055021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","20055","123501"
"[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","47","72057021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","20057","124101"
"[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","48","72058021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","20058","124701"
"[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","49","72059021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","20059","124901"
