3a279c5a64e459bf2b1f3124f9b892f34266960471a0a4794e21f3d9ae695511,952b77e9d666499f249f8d2656aee7cd03ec481fcebd722cf4fdac329b0415bb,666c6814e317f933978eafc43ac33592e422b21e2929ef87059b8adb8b764e06,cafbe01b4b991f7c3c2b14699b800417de534b9964cb7014e65fd303cf86ebb0,b62202531e04757695c3daa932b651489ba091078e81378b088d9b4c42a64849,c9839f5e9c69c0b0a5dfd930cc951ff6a3438829df3ead7dbaf6f04b174f584b,c93660abee64d654344d8ae3fa58a34c2330d7716093017d01258657f37e504d,928ee891b1e63291826c7a4199550b4f396c1049f7f0f464b7f3e72eeb4c37ed,d55001efa810d3a3022c4272686283ef94cde2ce1cb5a2dc6aa5765c42a3c9e2
"101","0","1","0.7","1","43.5","502003102","320030106","11"
"102","0","2","0.65","2","13","502003103","320030106","67"
"103","0","3","0.65","3","-74","0","320030106","49"
"104","0","1","0.7","1","-49","502003108","320030107","13"
"105","0","3","0.85","2","-4","502003109","320030107","62"
"106","0","2","0.65","3","59","0","320030107","50"
"107","0","1","1.05","1","0","0","320030108","-10"
"108","0","1","1.05","1","-15","0","320030109","-10"
"109","0","1","0.43","1","-85","0","320030110","-45"
"110","0","2","0.43","2","85","0","320030110","-45"
"111","0","1","0.7","1","43.5","502003202","320030206","11"
"112","0","2","0.65","2","13","502003203","320030206","67"
"113","0","3","0.65","3","-74","0","320030206","49"
"114","0","1","0.7","1","-49","502003208","320030207","13"
"115","0","3","0.85","2","-4","502003209","320030207","62"
"116","0","2","0.65","3","59","0","320030207","50"
"117","0","1","1.05","1","0","0","320030208","-10"
"118","0","1","1.05","1","-15","0","320030209","-10"
"119","0","1","0.43","1","-85","0","320030210","-45"
"120","0","2","0.43","2","85","0","320030210","-45"
"121","0","1","0.7","1","43.5","502003302","320030306","11"
"122","0","2","0.65","2","13","502003303","320030306","67"
"123","0","3","0.65","3","-74","0","320030306","49"
"124","0","1","0.7","1","-49","502003308","320030307","13"
"125","0","3","0.85","2","-4","502003309","320030307","62"
"126","0","2","0.65","3","59","0","320030307","50"
"127","0","1","1.05","1","0","0","320030308","-10"
"128","0","1","1.05","1","-15","0","320030309","-10"
"129","0","1","0.43","1","-85","0","320030310","-45"
"130","0","2","0.43","2","85","0","320030310","-45"
"131","0","1","0.7","1","43.5","502003402","320030406","11"
"132","0","2","0.65","2","13","502003403","320030406","67"
"133","0","3","0.65","3","-74","0","320030406","49"
"134","0","1","0.7","1","-49","502003408","320030407","13"
"135","0","3","0.85","2","-4","502003409","320030407","62"
"136","0","2","0.65","3","59","0","320030407","50"
"137","0","1","1.05","1","0","0","320030408","-10"
"138","0","1","1.05","1","-15","0","320030409","-10"
"139","0","1","0.43","1","-85","0","320030410","-45"
"140","0","2","0.43","2","85","0","320030410","-45"
"141","0","1","0.7","1","43.5","502003502","320030506","11"
"142","0","2","0.65","2","13","502003503","320030506","67"
"143","0","3","0.65","3","-74","0","320030506","49"
"144","0","1","0.7","1","-49","502003508","320030507","13"
"145","0","3","0.85","2","-4","502003509","320030507","62"
"146","0","2","0.65","3","59","0","320030507","50"
"147","0","1","1.05","1","0","0","320030508","-10"
"148","0","1","1.05","1","-15","0","320030509","-10"
"149","0","1","0.43","1","-85","0","320030510","-45"
"150","0","2","0.43","2","85","0","320030510","-45"
"151","0","1","0.7","1","-74","502004103","320040106","49"
"152","0","3","0.85","2","13","502004104","320040106","67"
"153","0","2","0.65","3","43.5","0","320040106","11"
"154","0","1","0.7","1","59","502004107","320040107","50"
"155","0","3","0.85","2","-4","502004109","320040107","62"
"156","0","2","0.65","3","-49","0","320040107","13"
"157","0","1","0.8","1","0","0","320040108","-10"
"158","0","1","0.9","1","30","0","320040109","20"
"159","0","1","1","1","20","0","320040110","-25"
"160","0","1","0.7","1","-74","502004203","320040206","49"
"161","0","3","0.85","2","13","502004204","320040206","67"
"162","0","2","0.65","3","43.5","0","320040206","11"
"163","0","1","0.7","1","59","502004207","320040207","50"
"164","0","3","0.85","2","-4","502004209","320040207","62"
"165","0","2","0.65","3","-49","0","320040207","13"
"166","0","1","0.8","1","0","0","320040208","-10"
"167","0","1","0.9","1","30","0","320040209","20"
"168","0","1","1","1","20","0","320040210","-25"
"169","0","1","0.7","1","-74","502004303","320040306","49"
"170","0","3","0.85","2","13","502004304","320040306","67"
"171","0","2","0.65","3","43.5","0","320040306","11"
"172","0","1","0.7","1","59","502004307","320040307","50"
"173","0","3","0.85","2","-4","502004309","320040307","62"
"174","0","2","0.65","3","-49","0","320040307","13"
"175","0","1","0.8","1","0","0","320040308","-10"
"176","0","1","0.9","1","30","0","320040309","20"
"177","0","1","1","1","20","0","320040310","-25"
"178","0","1","0.7","1","-74","502004403","320040406","49"
"179","0","3","0.85","2","13","502004404","320040406","67"
"180","0","2","0.65","3","43.5","0","320040406","11"
"181","0","1","0.7","1","59","502004407","320040407","50"
"182","0","3","0.85","2","-4","502004409","320040407","62"
"183","0","2","0.65","3","-49","0","320040407","13"
"184","0","1","0.8","1","0","0","320040408","-10"
"185","0","1","0.9","1","30","0","320040409","20"
"186","0","1","1","1","20","0","320040410","-25"
"187","0","1","0.7","1","-74","502004503","320040506","49"
"188","0","3","0.85","2","13","502004504","320040506","67"
"189","0","2","0.65","3","43.5","0","320040506","11"
"190","0","1","0.7","1","59","502004507","320040507","50"
"191","0","3","0.85","2","-4","502004509","320040507","62"
"192","0","2","0.65","3","-49","0","320040507","13"
"193","0","1","0.8","1","0","0","320040508","-10"
"194","0","1","0.9","1","30","0","320040509","20"
"195","0","1","1","1","20","0","320040510","-25"
"196","0","2","0.7","1","-74","502005101","320050106","40"
"197","0","3","1","2","13","502005103","320050106","67"
"198","0","1","0.65","3","43.5","0","320050106","11"
"199","0","2","0.7","1","59","502005106","320050107","50"
"200","0","3","0.9","2","30","502005108","320050107","62"
"201","0","1","0.65","3","-49","0","320050107","13"
"202","0","1","0.75","1","5","0","320050108","10"
"203","0","1","0.75","1","-10","0","320050109","10"
"204","0","1","1","1","20","0","320050110","-25"
"205","0","2","0.7","1","-74","502005201","320050206","40"
"206","0","3","1","2","13","502005203","320050206","67"
"207","0","1","0.65","3","43.5","0","320050206","11"
"208","0","2","0.7","1","59","502005206","320050207","50"
"209","0","3","0.9","2","30","502005208","320050207","62"
"210","0","1","0.65","3","-49","0","320050207","13"
"211","0","1","0.75","1","5","0","320050208","10"
"212","0","1","0.75","1","-10","0","320050209","10"
"213","0","1","1","1","20","0","320050210","-25"
"214","0","2","0.7","1","-74","502005301","320050306","40"
"215","0","3","1","2","13","502005303","320050306","67"
"216","0","1","0.65","3","43.5","0","320050306","11"
"217","0","2","0.7","1","59","502005306","320050307","50"
"218","0","3","0.9","2","30","502005308","320050307","62"
"219","0","1","0.65","3","-49","0","320050307","13"
"220","0","1","0.75","1","5","0","320050308","10"
"221","0","1","0.75","1","-10","0","320050309","10"
"222","0","1","1","1","20","0","320050310","-25"
"223","0","2","0.7","1","-74","502005401","320050406","40"
"224","0","3","1","2","13","502005403","320050406","67"
"225","0","1","0.65","3","43.5","0","320050406","11"
"226","0","2","0.7","1","59","502005406","320050407","50"
"227","0","3","0.9","2","30","502005408","320050407","62"
"228","0","1","0.65","3","-49","0","320050407","13"
"229","0","1","0.75","1","5","0","320050408","10"
"230","0","1","0.75","1","-10","0","320050409","10"
"231","0","1","1","1","20","0","320050410","-25"
"232","0","2","0.7","1","-74","502005501","320050506","40"
"233","0","3","1","2","13","502005503","320050506","67"
"234","0","1","0.65","3","43.5","0","320050506","11"
"235","0","2","0.7","1","59","502005506","320050507","50"
"236","0","3","0.9","2","30","502005508","320050507","62"
"237","0","1","0.65","3","-49","0","320050507","13"
"238","0","1","0.75","1","5","0","320050508","10"
"239","0","1","0.75","1","-10","0","320050509","10"
"240","0","1","1","1","20","0","320050510","-25"
"241","0","2","0.7","1","-74","502006101","320060106","40"
"242","0","3","0.7","2","13","502006103","320060106","67"
"243","0","1","0.65","3","43.5","0","320060106","11"
"244","0","2","0.7","1","59","502006106","320060107","50"
"245","0","3","0.9","2","30","502006108","320060107","62"
"246","0","1","0.65","3","-49","0","320060107","13"
"247","0","1","1","1","5","0","320060108","10"
"248","0","1","1.2","1","-10","0","320060109","10"
"249","0","1","1","1","20","0","320060110","-25"
"250","0","2","0.7","1","-74","502006201","320060206","40"
"251","0","3","0.7","2","13","502006203","320060206","67"
"252","0","1","0.65","3","43.5","0","320060206","11"
"253","0","2","0.7","1","59","502006206","320060207","50"
"254","0","3","0.9","2","30","502006208","320060207","62"
"255","0","1","0.65","3","-49","0","320060207","13"
"256","0","1","1","1","5","0","320060208","10"
"257","0","1","1.2","1","-10","0","320060209","10"
"258","0","1","1","1","20","0","320060210","-25"
"259","0","2","0.7","1","-74","502006301","320060306","40"
"260","0","3","0.7","2","13","502006303","320060306","67"
"261","0","1","0.65","3","43.5","0","320060306","11"
"262","0","2","0.7","1","59","502006306","320060307","50"
"263","0","3","0.9","2","30","502006308","320060307","62"
"264","0","1","0.65","3","-49","0","320060307","13"
"265","0","1","1","1","5","0","320060308","10"
"266","0","1","1.2","1","-10","0","320060309","10"
"267","0","1","1","1","20","0","320060310","-25"
"268","0","2","0.7","1","-74","502006401","320060406","40"
"269","0","3","0.7","2","13","502006403","320060406","67"
"270","0","1","0.65","3","43.5","0","320060406","11"
"271","0","2","0.7","1","59","502006406","320060407","50"
"272","0","3","0.9","2","30","502006408","320060407","62"
"273","0","1","0.65","3","-49","0","320060407","13"
"274","0","1","1","1","5","0","320060408","10"
"275","0","1","1.2","1","-10","0","320060409","10"
"276","0","1","1","1","20","0","320060410","-25"
"277","0","2","0.7","1","-74","502006501","320060506","40"
"278","0","3","0.7","2","13","502006503","320060506","67"
"279","0","1","0.65","3","43.5","0","320060506","11"
"280","0","2","0.7","1","59","502006506","320060507","50"
"281","0","3","0.9","2","30","502006508","320060507","62"
"282","0","1","0.65","3","-49","0","320060507","13"
"283","0","1","1","1","5","0","320060508","10"
"284","0","1","1.2","1","-10","0","320060509","10"
"285","0","1","1","1","20","0","320060510","-25"
"286","0","2","0.7","1","-74","502007101","320070106","40"
"287","0","3","0.7","2","43","502007103","320070106","67"
"288","0","1","0.65","3","43.5","0","320070106","11"
"289","0","2","0.7","1","59","502007106","320070107","50"
"290","0","3","0.9","2","30","502007108","320070107","62"
"291","0","1","0.65","3","-49","0","320070107","13"
"292","0","1","0.9","1","5","0","320070108","20"
"293","0","1","0.9","1","0","0","320070109","20"
"294","0","1","1","1","-20","0","320070110","-20"
"295","0","2","0.7","1","-74","502007201","320070206","40"
"296","0","3","0.7","2","43","502007203","320070206","67"
"297","0","1","0.65","3","43.5","0","320070206","11"
"298","0","2","0.7","1","59","502007206","320070207","50"
"299","0","3","0.9","2","30","502007208","320070207","62"
"300","0","1","0.65","3","-49","0","320070207","13"
"301","0","1","0.9","1","5","0","320070208","20"
"302","0","1","0.9","1","0","0","320070209","20"
"303","0","1","1","1","-20","0","320070210","-20"
"304","0","2","0.7","1","-74","502007301","320070306","40"
"305","0","3","0.7","2","43","502007303","320070306","67"
"306","0","1","0.65","3","43.5","0","320070306","11"
"307","0","2","0.7","1","59","502007306","320070307","50"
"308","0","3","0.9","2","30","502007308","320070307","62"
"309","0","1","0.65","3","-49","0","320070307","13"
"310","0","1","0.9","1","5","0","320070308","20"
"311","0","1","0.9","1","0","0","320070309","20"
"312","0","1","1","1","-20","0","320070310","-20"
"313","0","2","0.7","1","-74","502007401","320070406","40"
"314","0","3","0.7","2","43","502007403","320070406","67"
"315","0","1","0.65","3","43.5","0","320070406","11"
"316","0","2","0.7","1","59","502007406","320070407","50"
"317","0","3","0.9","2","30","502007408","320070407","62"
"318","0","1","0.65","3","-49","0","320070407","13"
"319","0","1","0.9","1","5","0","320070408","20"
"320","0","1","0.9","1","0","0","320070409","20"
"321","0","1","1","1","-20","0","320070410","-20"
"322","0","2","0.7","1","-74","502007501","320070506","40"
"323","0","3","0.7","2","43","502007503","320070506","67"
"324","0","1","0.65","3","43.5","0","320070506","11"
"325","0","2","0.7","1","59","502007506","320070507","50"
"326","0","3","0.9","2","30","502007508","320070507","62"
"327","0","1","0.65","3","-49","0","320070507","13"
"328","0","1","0.9","1","5","0","320070508","20"
"329","0","1","0.9","1","0","0","320070509","20"
"330","0","1","1","1","-20","0","320070510","-20"
"331","0","2","0.7","1","-74","502008101","320080106","40"
"332","0","3","0.9","2","43","502008103","320080106","67"
"333","0","1","0.65","3","43.5","0","320080106","11"
"334","0","2","0.7","1","59","502008106","320080107","50"
"335","0","3","0.9","2","30","502008108","320080107","62"
"336","0","1","0.65","3","-49","0","320080107","13"
"337","0","1","0.8","1","5","0","320080108","20"
"338","0","1","1.1","1","0","0","320080109","20"
"339","0","1","1","1","-20","0","320080110","-20"
"340","0","2","0.7","1","-74","502008201","320080206","40"
"341","0","3","0.9","2","43","502008203","320080206","67"
"342","0","1","0.65","3","43.5","0","320080206","11"
"343","0","2","0.7","1","59","502008206","320080207","50"
"344","0","3","0.9","2","30","502008208","320080207","62"
"345","0","1","0.65","3","-49","0","320080207","13"
"346","0","1","0.8","1","5","0","320080208","20"
"347","0","1","1.1","1","0","0","320080209","20"
"348","0","1","1","1","-20","0","320080210","-20"
"349","0","2","0.7","1","-74","502008301","320080306","40"
"350","0","3","0.9","2","43","502008303","320080306","67"
"351","0","1","0.65","3","43.5","0","320080306","11"
"352","0","2","0.7","1","59","502008306","320080307","50"
"353","0","3","0.9","2","30","502008308","320080307","62"
"354","0","1","0.65","3","-49","0","320080307","13"
"355","0","1","0.8","1","5","0","320080308","20"
"356","0","1","1.1","1","0","0","320080309","20"
"357","0","1","1","1","-20","0","320080310","-20"
"358","0","2","0.7","1","-74","502008401","320080406","40"
"359","0","3","0.9","2","43","502008403","320080406","67"
"360","0","1","0.65","3","43.5","0","320080406","11"
"361","0","2","0.7","1","59","502008406","320080407","50"
"362","0","3","0.9","2","30","502008408","320080407","62"
"363","0","1","0.65","3","-49","0","320080407","13"
"364","0","1","0.8","1","5","0","320080408","20"
"365","0","1","1.1","1","0","0","320080409","20"
"366","0","1","1","1","-20","0","320080410","-20"
"367","0","2","0.7","1","-74","502008501","320080506","40"
"368","0","3","0.9","2","43","502008503","320080506","67"
"369","0","1","0.65","3","43.5","0","320080506","11"
"370","0","2","0.7","1","59","502008506","320080507","50"
"371","0","3","0.9","2","30","502008508","320080507","62"
"372","0","1","0.65","3","-49","0","320080507","13"
"373","0","1","0.8","1","5","0","320080508","20"
"374","0","1","1.1","1","0","0","320080509","20"
"375","0","1","1","1","-20","0","320080510","-20"
"376","0","2","0.7","1","-74","502009101","320090106","40"
"377","0","3","1","2","13","502009103","320090106","67"
"378","0","1","0.65","3","43.5","0","320090106","11"
"379","0","2","0.7","1","-68","502009106","320090107","50"
"380","0","3","0.9","2","30","502009108","320090107","62"
"381","0","1","0.65","3","29","0","320090107","13"
"382","0","1","0.75","1","5","0","320090108","10"
"383","0","1","1","1","0","0","320090109","10"
"384","0","1","1","1","-20","0","320090110","-20"
"385","0","2","0.7","1","-74","502009201","320090206","40"
"386","0","3","1","2","13","502009203","320090206","67"
"387","0","1","0.65","3","43.5","0","320090206","11"
"388","0","2","0.7","1","-68","502009206","320090207","50"
"389","0","3","0.9","2","30","502009208","320090207","62"
"390","0","1","0.65","3","29","0","320090207","13"
"391","0","1","0.75","1","5","0","320090208","10"
"392","0","1","1","1","0","0","320090209","10"
"393","0","1","1","1","-20","0","320090210","-20"
"394","0","2","0.7","1","-74","502009301","320090306","40"
"395","0","3","1","2","13","502009303","320090306","67"
"396","0","1","0.65","3","43.5","0","320090306","11"
"397","0","2","0.7","1","-68","502009306","320090307","50"
"398","0","3","0.9","2","30","502009308","320090307","62"
"399","0","1","0.65","3","29","0","320090307","13"
"400","0","1","0.75","1","5","0","320090308","10"
"401","0","1","1","1","0","0","320090309","10"
"402","0","1","1","1","-20","0","320090310","-20"
"403","0","2","0.7","1","-74","502009401","320090406","40"
"404","0","3","1","2","13","502009403","320090406","67"
"405","0","1","0.65","3","43.5","0","320090406","11"
"406","0","2","0.7","1","-68","502009406","320090407","50"
"407","0","3","0.9","2","30","502009408","320090407","62"
"408","0","1","0.65","3","29","0","320090407","13"
"409","0","1","0.75","1","5","0","320090408","10"
"410","0","1","1","1","0","0","320090409","10"
"411","0","1","1","1","-20","0","320090410","-20"
"412","0","2","0.7","1","-74","502009501","320090506","40"
"413","0","3","1","2","13","502009503","320090506","67"
"414","0","1","0.65","3","43.5","0","320090506","11"
"415","0","2","0.7","1","-68","502009506","320090507","50"
"416","0","3","0.9","2","30","502009508","320090507","62"
"417","0","1","0.65","3","29","0","320090507","13"
"418","0","1","0.75","1","5","0","320090508","10"
"419","0","1","1","1","0","0","320090509","10"
"420","0","1","1","1","-20","0","320090510","-20"
"421","0","2","0.7","1","-74","502010101","320100106","40"
"422","0","3","1","2","13","502010103","320100106","67"
"423","0","1","0.65","3","43.5","0","320100106","11"
"424","0","2","0.7","1","-68","502010106","320100107","50"
"425","0","3","0.9","2","30","502010108","320100107","62"
"426","0","1","0.65","3","29","0","320100107","13"
"427","0","1","0.9","1","40","0","320100108","60"
"428","0","1","1","1","0","0","320100109","10"
"429","0","1","1","1","-20","0","320100110","-35"
"430","0","2","0.7","1","-74","502010201","320100206","40"
"431","0","3","1","2","13","502010203","320100206","67"
"432","0","1","0.65","3","43.5","0","320100206","11"
"433","0","2","0.7","1","-68","502010206","320100207","50"
"434","0","3","0.9","2","30","502010208","320100207","62"
"435","0","1","0.65","3","29","0","320100207","13"
"436","0","1","0.9","1","40","0","320100208","60"
"437","0","1","1","1","0","0","320100209","10"
"438","0","1","1","1","-20","0","320100210","-35"
"439","0","2","0.7","1","-74","502010301","320100306","40"
"440","0","3","1","2","13","502010303","320100306","67"
"441","0","1","0.65","3","43.5","0","320100306","11"
"442","0","2","0.7","1","-68","502010306","320100307","50"
"443","0","3","0.9","2","30","502010308","320100307","62"
"444","0","1","0.65","3","29","0","320100307","13"
"445","0","1","0.9","1","40","0","320100308","60"
"446","0","1","1","1","0","0","320100309","10"
"447","0","1","1","1","-20","0","320100310","-35"
"448","0","2","0.7","1","-74","502010401","320100406","40"
"449","0","3","1","2","13","502010403","320100406","67"
"450","0","1","0.65","3","43.5","0","320100406","11"
"451","0","2","0.7","1","-68","502010406","320100407","50"
"452","0","3","0.9","2","30","502010408","320100407","62"
"453","0","1","0.65","3","29","0","320100407","13"
"454","0","1","0.9","1","40","0","320100408","60"
"455","0","1","1","1","0","0","320100409","10"
"456","0","1","1","1","-20","0","320100410","-35"
"457","0","2","0.7","1","-74","502010501","320100506","40"
"458","0","3","1","2","13","502010503","320100506","67"
"459","0","1","0.65","3","43.5","0","320100506","11"
"460","0","2","0.7","1","-68","502010506","320100507","50"
"461","0","3","0.9","2","30","502010508","320100507","62"
"462","0","1","0.65","3","29","0","320100507","13"
"463","0","1","0.9","1","40","0","320100508","60"
"464","0","1","1","1","0","0","320100509","10"
"465","0","1","1","1","-20","0","320100510","-35"
"466","0","2","0.7","1","-74","502011101","320110106","40"
"467","0","3","1","2","13","502011103","320110106","67"
"468","0","1","0.65","3","43.5","0","320110106","11"
"469","0","2","0.7","1","-98","502011106","320110107","50"
"470","0","3","1.1","2","0","502011108","320110107","72"
"471","0","1","0.65","3","49","0","320110107","13"
"472","0","1","0.75","1","-40","0","320110108","30"
"473","0","1","1.2","1","20","0","320110109","50"
"474","0","1","1.1","1","-20","0","320110110","-35"
"475","0","2","0.7","1","-74","502011201","320110206","40"
"476","0","3","1","2","13","502011203","320110206","67"
"477","0","1","0.65","3","43.5","0","320110206","11"
"478","0","2","0.7","1","-98","502011206","320110207","50"
"479","0","3","1.1","2","0","502011208","320110207","72"
"480","0","1","0.65","3","49","0","320110207","13"
"481","0","1","0.75","1","-40","0","320110208","30"
"482","0","1","1.2","1","20","0","320110209","50"
"483","0","1","1.1","1","-20","0","320110210","-35"
"484","0","2","0.7","1","-74","502011301","320110306","40"
"485","0","3","1","2","13","502011303","320110306","67"
"486","0","1","0.65","3","43.5","0","320110306","11"
"487","0","2","0.7","1","-98","502011306","320110307","50"
"488","0","3","1.1","2","0","502011308","320110307","72"
"489","0","1","0.65","3","49","0","320110307","13"
"490","0","1","0.75","1","-40","0","320110308","30"
"491","0","1","1.2","1","20","0","320110309","50"
"492","0","1","1.1","1","-20","0","320110310","-35"
"493","0","2","0.7","1","-74","502011401","320110406","40"
"494","0","3","1","2","13","502011403","320110406","67"
"495","0","1","0.65","3","43.5","0","320110406","11"
"496","0","2","0.7","1","-98","502011406","320110407","50"
"497","0","3","1.1","2","0","502011408","320110407","72"
"498","0","1","0.65","3","49","0","320110407","13"
"499","0","1","0.75","1","-40","0","320110408","30"
"500","0","1","1.2","1","20","0","320110409","50"
"501","0","1","1.1","1","-20","0","320110410","-35"
"502","0","2","0.7","1","-74","502011501","320110506","40"
"503","0","3","1","2","13","502011503","320110506","67"
"504","0","1","0.65","3","43.5","0","320110506","11"
"505","0","2","0.7","1","-98","502011506","320110507","50"
"506","0","3","1.1","2","0","502011508","320110507","72"
"507","0","1","0.65","3","49","0","320110507","13"
"508","0","1","0.75","1","-40","0","320110508","30"
"509","0","1","1.2","1","20","0","320110509","50"
"510","0","1","1.1","1","-20","0","320110510","-35"
"511","0","2","0.7","1","-74","502012101","320120106","40"
"512","0","3","1","2","10","502012103","320120106","67"
"513","0","1","0.65","3","43.5","0","320120106","11"
"514","0","2","0.7","1","-98","502012106","320120107","50"
"515","0","3","1","2","0","502012108","320120107","72"
"516","0","1","0.65","3","49","0","320120107","13"
"517","0","1","1.2","1","10","0","320120108","30"
"518","0","1","0.9","1","40","0","320120109","40"
"519","0","1","1.1","1","-20","0","320120110","-35"
"520","0","2","0.7","1","-74","502012201","320120206","40"
"521","0","3","1","2","10","502012203","320120206","67"
