3c34adab386cb3fb49a46d34b22732983501502416d436ec652d17197573eea9,354536b24a204b723a5d664d658feb2e639278e80023be45ed4b875491f8e06b,40f40400dd432ab43d4960b0bad3da5dd445a224f230bc85384b93a7ed44114d,474cd0bdef7e39100d3f86b5fe841e1f36ab9a95934716b686cefd1ece6b178b,72c13f0a6b1ae0012c341922d7de462633a580cd0f16626bde0c1753e4453d01,2632f0b0b12bb15c559d4b94ef262d7dea599d5a33389efefdd47fc13f4ae549,308039ea8a9ac0ceae8ccd9a2943dce5ec72d646cbae2d709dca49998627253f,d3820fa5ad47edd29d130ec434cba7ad9c2c5489b16d1b75b7f0cdad88bd00c8
"90005","5","2","2500","112","10","6","96006"
"140001","10","4","2500","113","50","6","96006"
"25001","10","2","1000","114","10","6","96006"
"150003","5","4","500","115","30","6","96006"
"150004","5","4","650","116","30","6","96006"
"150005","5","4","750","117","30","6","96006"
"150006","5","4","900","118","30","6","96006"
"150007","5","4","1000","119","30","6","96006"
"150008","5","4","1150","120","30","6","96006"
"150009","5","4","1300","121","30","6","96006"
"20004","5","2","2500","122","500","6","96006"
"22003","5","2","1000","123","500","6","96006"
"20004","0","2","1000","124","100","6","96006"
"22003","0","2","400","125","100","6","96006"
"25101","1","2","20000","126","1","7","96007"
"21952","1","2","20000","127","1","7","96007"
"21905","1","2","10000","128","1","7","96007"
"41000","2","2","10000","129","1","7","96007"
"31272","5","2","1500","130","5","7","96007"
"31808","5","2","2000","131","5","7","96007"
"31275","5","2","1500","132","5","7","96007"
"90005","5","2","2500","133","10","7","96007"
"140001","10","4","2500","134","50","7","96007"
"25001","10","2","1000","135","10","7","96007"
"150003","5","4","500","136","30","7","96007"
"150004","5","4","650","137","30","7","96007"
"150005","5","4","750","138","30","7","96007"
"150006","5","4","900","139","30","7","96007"
"150007","5","4","1000","140","30","7","96007"
"150008","5","4","1150","141","30","7","96007"
"150009","5","4","1300","142","30","7","96007"
"20004","5","2","2500","143","500","7","96007"
"22003","5","2","1000","144","500","7","96007"
"20004","0","2","1000","145","100","7","96007"
"22003","0","2","400","146","100","7","96007"
