b36a5367badccf56892e123bb58c48d40e34b37529102ff929441fe85a3009b0,cd98d0422bdd23054cd95adecc591a4480921868bd605ee53ad7a9f9c2b8a016,b19838333d6906e7f3c38730433dfa4a6adeafab409dc0564214686aafb564d4,17deefb53479963c1d6d9ef630c488832dded0c7c1acc2e23ac99582a5b560fd,282e673d994a544eb44c3200cf6b022ea92b0a18f3f98cdaccbbe84511504d82,ae1c7849e2aa8779e24296e424689ca17b9c2ca6b0831567f2d05807ed238547,b6c953cfe034e37f887cae38375fe309e4f23542e7ed9df4b5e7987497d74407,1a9c94972cb9e2509510df658cc4da426ab5140a1c35750f9260db449ef0a6c0,9843ef2ecf11b648db2ee057f291b21f3d5f852d28cbd909fe15b9e255a89dd2
"3014","水属性の属性レベルを700まで上げよう","700","3","1003","129","2","2009","20022"
"3015","水属性の属性レベルを750まで上げよう","750","3","1003","129","2","2010","20022"
"4001","風属性の属性レベルを50まで上げよう","50","4","1003","129","3","2001","20022"
"4002","風属性の属性レベルを100まで上げよう","100","4","1003","129","3","2002","20022"
"4003","風属性の属性レベルを150まで上げよう","150","4","1003","129","3","2003","20022"
"4004","風属性の属性レベルを200まで上げよう","200","4","1003","129","3","2004","20022"
"4005","風属性の属性レベルを250まで上げよう","250","4","1003","129","3","2005","20022"
"4006","風属性の属性レベルを300まで上げよう","300","4","1003","129","3","2006","20022"
"4007","風属性の属性レベルを350まで上げよう","350","4","1003","129","3","2007","20022"
"4008","風属性の属性レベルを400まで上げよう","400","4","1003","129","3","2008","20022"
"4009","風属性の属性レベルを450まで上げよう","450","4","1003","129","3","2009","20022"
"4010","風属性の属性レベルを500まで上げよう","500","4","1003","129","3","2010","20022"
"4011","風属性の属性レベルを550まで上げよう","550","4","1003","129","3","2006","20022"
"4012","風属性の属性レベルを600まで上げよう","600","4","1003","129","3","2007","20022"
"4013","風属性の属性レベルを650まで上げよう","650","4","1003","129","3","2008","20022"
"4014","風属性の属性レベルを700まで上げよう","700","4","1003","129","3","2009","20022"
"4015","風属性の属性レベルを750まで上げよう","750","4","1003","129","3","2010","20022"
"5001","光属性の属性レベルを50まで上げよう","50","5","1003","129","4","2001","20022"
"5002","光属性の属性レベルを100まで上げよう","100","5","1003","129","4","2002","20022"
"5003","光属性の属性レベルを150まで上げよう","150","5","1003","129","4","2003","20022"
"5004","光属性の属性レベルを200まで上げよう","200","5","1003","129","4","2004","20022"
"5005","光属性の属性レベルを250まで上げよう","250","5","1003","129","4","2005","20022"
"5006","光属性の属性レベルを300まで上げよう","300","5","1003","129","4","2006","20022"
"5007","光属性の属性レベルを350まで上げよう","350","5","1003","129","4","2007","20022"
"5008","光属性の属性レベルを400まで上げよう","400","5","1003","129","4","2008","20022"
"5009","光属性の属性レベルを450まで上げよう","450","5","1003","129","4","2009","20022"
"5010","光属性の属性レベルを500まで上げよう","500","5","1003","129","4","2010","20022"
"5011","光属性の属性レベルを550まで上げよう","550","5","1003","129","4","2006","20022"
"5012","光属性の属性レベルを600まで上げよう","600","5","1003","129","4","2007","20022"
"5013","光属性の属性レベルを650まで上げよう","650","5","1003","129","4","2008","20022"
"5014","光属性の属性レベルを700まで上げよう","700","5","1003","129","4","2009","20022"
"5015","光属性の属性レベルを750まで上げよう","750","5","1003","129","4","2010","20022"
"6001","闇属性の属性レベルを50まで上げよう","50","6","1003","129","5","2001","20022"
"6002","闇属性の属性レベルを100まで上げよう","100","6","1003","129","5","2002","20022"
"6003","闇属性の属性レベルを150まで上げよう","150","6","1003","129","5","2003","20022"
"6004","闇属性の属性レベルを200まで上げよう","200","6","1003","129","5","2004","20022"
"6005","闇属性の属性レベルを250まで上げよう","250","6","1003","129","5","2005","20022"
"6006","闇属性の属性レベルを300まで上げよう","300","6","1003","129","5","2006","20022"
"6007","闇属性の属性レベルを350まで上げよう","350","6","1003","129","5","2007","20022"
"6008","闇属性の属性レベルを400まで上げよう","400","6","1003","129","5","2008","20022"
"6009","闇属性の属性レベルを450まで上げよう","450","6","1003","129","5","2009","20022"
"6010","闇属性の属性レベルを500まで上げよう","500","6","1003","129","5","2010","20022"
"6011","闇属性の属性レベルを550まで上げよう","550","6","1003","129","5","2006","20022"
"6012","闇属性の属性レベルを600まで上げよう","600","6","1003","129","5","2007","20022"
"6013","闇属性の属性レベルを650まで上げよう","650","6","1003","129","5","2008","20022"
"6014","闇属性の属性レベルを700まで上げよう","700","6","1003","129","5","2009","20022"
"6015","闇属性の属性レベルを750まで上げよう","750","6","1003","129","5","2010","20022"
"7001","ノードを10個強化完了しよう","10","7","1004","129","0","7001","20023"
"7002","ノードを20個強化完了しよう","20","7","1004","129","0","7002","20023"
"7003","ノードを30個強化完了しよう","30","7","1004","129","0","7003","20023"
"7004","ノードを40個強化完了しよう","40","7","1004","129","0","7004","20023"
"7005","ノードを50個強化完了しよう","50","7","1004","129","0","7005","20023"
"7006","ノードを60個強化完了しよう","60","7","1004","129","0","7006","20023"
"7007","ノードを70個強化完了しよう","70","7","1004","129","0","7007","20023"
"7008","ノードを80個強化完了しよう","80","7","1004","129","0","7008","20023"
"7009","ノードを90個強化完了しよう","90","7","1004","129","0","7009","20023"
"7010","ノードを100個強化完了しよう","100","7","1004","129","0","7010","20023"
"7011","ノードを110個強化完了しよう","110","7","1004","129","0","7011","20023"
"7012","ノードを120個強化完了しよう","120","7","1004","129","0","7012","20023"
"7013","ノードを130個強化完了しよう","130","7","1004","129","0","7013","20023"
"7014","ノードを140個強化完了しよう","140","7","1004","129","0","7014","20023"
"7015","ノードを150個強化完了しよう","150","7","1004","129","0","7015","20023"
"7016","ノードを160個強化完了しよう","160","7","1004","129","0","7016","20023"
"7017","ノードを170個強化完了しよう","170","7","1004","129","0","7017","20023"
"7018","ノードを180個強化完了しよう","180","7","1004","129","0","7018","20023"
"7019","ノードを190個強化完了しよう","190","7","1004","129","0","7019","20023"
"7020","ノードを200個強化完了しよう","200","7","1004","129","0","7020","20023"
"7021","ノードを210個強化完了しよう","210","7","1004","129","0","7021","20023"
"7022","ノードを222個強化完了しよう","222","7","1004","129","0","7022","20023"
"7023","ノードを250個強化完了しよう","250","7","1004","129","0","7022","20023"
"7024","ノードを275個強化完了しよう","275","7","1004","129","0","7022","20023"
"7025","ノードを300個強化完了しよう","300","7","1004","129","0","7022","20023"
"7026","ノードを325個強化完了しよう","325","7","1004","129","0","7022","20023"
"7027","ノードを350個強化完了しよう","350","7","1004","129","0","7022","20023"
"7028","ノードを375個強化完了しよう","375","7","1004","129","0","7022","20023"
"7029","ノードを400個強化完了しよう","400","7","1004","129","0","7022","20023"
"7030","ノードを430個強化完了しよう","430","7","1004","129","0","7022","20023"
"8001","ノードを5個強化完了しよう","5","8","1005","129","0","8001","20024"
"8002","ノードを10個強化完了しよう","10","8","1005","129","0","8002","20024"
"8003","ノードを15個強化完了しよう","15","8","1005","129","0","8003","20024"
"8004","ノードを20個強化完了しよう","20","8","1005","129","0","8004","20024"
"8005","ノードを25個強化完了しよう","25","8","1005","129","0","8005","20024"
"8006","ノードを33個強化完了しよう","33","8","1005","129","0","8006","20024"
"8007","ノードを40個強化完了しよう","40","8","1005","129","0","8007","20024"
"8008","ノードを50個強化完了しよう","50","8","1005","129","0","8007","20024"
"8009","ノードを60個強化完了しよう","60","8","1005","129","0","8007","20024"
"8010","ノードを66個強化完了しよう","66","8","1005","129","0","8007","20024"
"8011","ノードを80個強化完了しよう","80","8","1005","129","0","8007","20024"
"8012","ノードを90個強化完了しよう","90","8","1005","129","0","8007","20024"
"8013","ノードを96個強化完了しよう","96","8","1005","129","0","8007","20024"
"9101","アタッカーのマスタリー４ヵ所をレベル１以上にしよう","4","9","1012","129","1","9001","20031"
"9102","アタッカーのマスタリー４ヵ所をレベル２以上にしよう","4","9","1012","129","2","9002","20031"
"9103","アタッカーのマスタリー４ヵ所をレベル３以上にしよう","4","9","1012","129","3","9003","20031"
"9104","アタッカーのマスタリー４ヵ所をレベル４以上にしよう","4","9","1012","129","4","9004","20031"
"9105","アタッカーのマスタリー４ヵ所をレベル５以上にしよう","4","9","1012","129","5","9005","20031"
"9201","ブレイカーのマスタリー４ヵ所をレベル１以上にしよう","4","10","1012","129","1","9001","20032"
"9202","ブレイカーのマスタリー４ヵ所をレベル２以上にしよう","4","10","1012","129","2","9002","20032"
"9203","ブレイカーのマスタリー４ヵ所をレベル３以上にしよう","4","10","1012","129","3","9003","20032"
"9204","ブレイカーのマスタリー４ヵ所をレベル４以上にしよう","4","10","1012","129","4","9004","20032"
"9205","ブレイカーのマスタリー４ヵ所をレベル５以上にしよう","4","10","1012","129","5","9005","20032"
"9301","バッファーのマスタリー４ヵ所をレベル１以上にしよう","4","11","1012","129","1","9001","20033"
"9302","バッファーのマスタリー４ヵ所をレベル２以上にしよう","4","11","1012","129","2","9002","20033"
"9303","バッファーのマスタリー４ヵ所をレベル３以上にしよう","4","11","1012","129","3","9003","20033"
"9304","バッファーのマスタリー４ヵ所をレベル４以上にしよう","4","11","1012","129","4","9004","20033"
"9305","バッファーのマスタリー４ヵ所をレベル５以上にしよう","4","11","1012","129","5","9005","20033"
"9401","デバッファーのマスタリー４ヵ所をレベル１以上にしよう","4","12","1012","129","1","9001","20034"
"9402","デバッファーのマスタリー４ヵ所をレベル２以上にしよう","4","12","1012","129","2","9002","20034"
"9403","デバッファーのマスタリー４ヵ所をレベル３以上にしよう","4","12","1012","129","3","9003","20034"
"9404","デバッファーのマスタリー４ヵ所をレベル４以上にしよう","4","12","1012","129","4","9004","20034"
"9405","デバッファーのマスタリー４ヵ所をレベル５以上にしよう","4","12","1012","129","5","9005","20034"
"9501","ブースターのマスタリー４ヵ所をレベル１以上にしよう","4","13","1012","129","1","9001","20035"
"9502","ブースターのマスタリー４ヵ所をレベル２以上にしよう","4","13","1012","129","2","9002","20035"
"9503","ブースターのマスタリー４ヵ所をレベル３以上にしよう","4","13","1012","129","3","9003","20035"
"9504","ブースターのマスタリー４ヵ所をレベル４以上にしよう","4","13","1012","129","4","9004","20035"
"9505","ブースターのマスタリー４ヵ所をレベル５以上にしよう","4","13","1012","129","5","9005","20035"
"9601","ヒーラーのマスタリー４ヵ所をレベル１以上にしよう","4","14","1012","129","1","9001","20036"
"9602","ヒーラーのマスタリー４ヵ所をレベル２以上にしよう","4","14","1012","129","2","9002","20036"
"9603","ヒーラーのマスタリー４ヵ所をレベル３以上にしよう","4","14","1012","129","3","9003","20036"
"9604","ヒーラーのマスタリー４ヵ所をレベル４以上にしよう","4","14","1012","129","4","9004","20036"
"9605","ヒーラーのマスタリー４ヵ所をレベル５以上にしよう","4","14","1012","129","5","9005","20036"
"9701","タンクのマスタリー４ヵ所をレベル１以上にしよう","4","15","1012","129","1","9001","20037"
"9702","タンクのマスタリー４ヵ所をレベル２以上にしよう","4","15","1012","129","2","9002","20037"
"9703","タンクのマスタリー４ヵ所をレベル３以上にしよう","4","15","1012","129","3","9003","20037"
"9704","タンクのマスタリー４ヵ所をレベル４以上にしよう","4","15","1012","129","4","9004","20037"
"9705","タンクのマスタリー４ヵ所をレベル５以上にしよう","4","15","1012","129","5","9005","20037"
"9801","ジャマーのマスタリー４ヵ所をレベル１以上にしよう","4","16","1012","129","1","9001","20038"
"9802","ジャマーのマスタリー４ヵ所をレベル２以上にしよう","4","16","1012","129","2","9002","20038"
"9803","ジャマーのマスタリー４ヵ所をレベル３以上にしよう","4","16","1012","129","3","9003","20038"
"9804","ジャマーのマスタリー４ヵ所をレベル４以上にしよう","4","16","1012","129","4","9004","20038"
"9805","ジャマーのマスタリー４ヵ所をレベル５以上にしよう","4","16","1012","129","5","9005","20038"
