3d7f8d840249c8a767581802f8db7edcb6721177397615468c05ce06f04bb858,9fc5170a836141deba95ed4c42591e02f45fc902a245782ed82ed2b0c4b81b12,ab53ab0a3a71285f36f9001c3bbf4b5ad6c7e84a439ae222c0d82277e5a4e6ff,111b368d284d967f18a17873354f918ce16693c42fe894170b16ffd1a64134ec,9f679f262ae7d0f665e304238240390a5cbeeab538cfa7545547d0cdacd9c2c0,1436f58dad44c4513a9428fe7b4343995c0430a0c6832060d51594b8493e4c05,44617114e27dbf8ac227b87fe0e533786b96e0573af5e176433b88ed0d1bafd0,908e7fc35d5296d30e1980afd469e62870dda677fd69e3979083b700f7b5f370,fb55452ea22d61924438be481b98752ecc26c12ef9920757bfc73203c2c34844,de4f72a7d6e7f8f996db5f3fbae2b03cd3184342d780fd8fd3d202856f0a689b,04ea8aa741fe2e77f179f189d13c7cdab647394a5272069f8a87d5b425f673f0,b8d80ab230c4bb1d5f041af7a6b721a9a8b73fc6e22642490b8b49fc72c6a8db,91eb3e8a3aecee1063d1db349ededb51d28081a37c9d47e503b83f7894e3a27a,0746756ed7679e14cfb001d6569839ce93ba2e37210a3df4e620dadb9322a200,dbb76ce4eb3139df8bee8c1eacf8ac1383f9b782e186bc06b7d0fabd1df9a363,60d698f216e032abce5a485c9fee686a304f78330297808c21353ddd96c45835,8e8942d4fc9453991252ec30d8c0bcd93ee0e2c7bae78070715a402cd775d1a7,4cc23b2cf91f0c36c162f9a2795d3ac493829a94a00bd851520e47c0b3db0c05,206590807ace39d601fe4aab1a12c7677e6fcd0c934d284e7383a62965fca840,3ccff00999a284005d02aa9b22d6db67d65bfc40cb59a892b0c4ad4d40d528ef,f9ab076f072dbe348dfa22c43cba7a3c99c6d1b33557f7f1eb71eacdcf4f0366,e79675a82421f23ebd186739570797fc083095bdf54c08b7cce4a000a96be4db,f02b72e4ae2f72dc06b42046e2dc241306a710e070609c0129d60e061d984882,cfaa7df66dddddfd9046be894eeb20901d0e4a39b9b6b0a954eaf929fcf9ebba,1759fb6625c60c2ddac2cc8522101b7345496416119a37d1b197655aa2c36e78
"0.8","0","0.8","1","-200","1","-400","bgm_MC008","0","0","200","0","bgm_MC008","103123","103121","0","0","1","770331401","0","1","-100","400","0","ボスバトルマス"
"0.8","5","0.7","1.05","-250","0.8","-400","bgm_MC008","0","0","50","-5","bgm_MC008","103123","103121","0","-100","0.8","770331501","0","0.8","-100","350","0","ボスバトルマス"
"0.8","0","1","0","-50","0.8","-300","bgm_MC008","0","0","0","0","bgm_MC008","103123","103121","0","250","1.2","770331601","0","0","-100","0","0","ボスバトルマス"
"1","0","0.95","0","-150","1","-350","bgm_MC008","0","0","300","0","bgm_MC008","103123","103121","0","50","1","770331701","0","1","-100","0","0","ボスバトルマス"
"0.8","20","1.2","0","-200","1","-400","bgm_MC008","0","0","360","25","bgm_MC008","103123","103121","0","100","1.4","770331801","0","0.8","-100","0","0","ボスバトルマス"
"0.8","0","0.8","1","-200","1","-400","bgm_MC008","0","0","200","0","bgm_MC008","103123","103121","0","0","1","770331901","0","1","-100","400","0","ボスバトルマス"
"0.8","5","0.7","1.05","-250","0.8","-400","bgm_MC008","0","0","50","-5","bgm_MC008","103123","103121","0","-100","0.8","770332001","0","0.8","-100","350","0","ボスバトルマス"
"0","15","1","0","0","1.3","0","bgm_MC008","0","0","0","15","bgm_MC008","103123","103121","0","0","0","770530101","0","0","-100","0","0","ボスバトルマス"
"0.8","17","1","1.4","-250","0.8","-400","bgm_MC008","0","0","50","5","bgm_MC008","103123","103121","0","-100","0.8","770530201","0","0.8","-100","360","0","ボスバトルマス"
"0","-25","0.9","0","0","1.2","0","bgm_MC008","0","0","0","-18","bgm_MC008","103123","103121","0","0","0","770530301","0","0","-100","0","-20","ボスバトルマス"
"0","0","1","0","0","1.35","0","bgm_MC008","0","0","0","0","bgm_MC008","103123","103121","0","0","0","770530401","0","0","-100","0","0","ボスバトルマス"
"0","0","1","0","0","1.05","0","bgm_MC008","0","0","0","-25","bgm_MC008","103123","103121","0","0","0","770530501","0","0","-100","0","-20","ボスバトルマス"
"0","15","1","0","0","1.3","0","bgm_MC008","0","0","0","15","bgm_MC008","103123","103121","0","0","0","770530601","0","0","-100","0","0","ボスバトルマス"
"0.8","17","1","1.4","-250","0.8","-400","bgm_MC008","0","0","50","5","bgm_MC008","103123","103121","0","-100","0.8","770530701","0","0.8","-100","360","0","ボスバトルマス"
"0","-25","0.9","0","0","1.2","0","bgm_MC008","0","0","0","-18","bgm_MC008","103123","103121","0","0","0","770530801","0","0","-100","0","-20","ボスバトルマス"
"0","0","1","0","0","1.35","0","bgm_MC008","0","0","0","0","bgm_MC008","103123","103121","0","0","0","770530901","0","0","-100","0","0","ボスバトルマス"
"0","0","1","0","0","1.05","0","bgm_MC008","0","0","0","-25","bgm_MC008","103123","103121","0","0","0","770531001","0","0","-100","0","-20","ボスバトルマス"
"0","15","1","0","0","1.3","0","bgm_MC008","0","0","0","15","bgm_MC008","103123","103121","0","0","0","770531101","0","0","-100","0","0","ボスバトルマス"
"0.8","17","1","1.4","-250","0.8","-400","bgm_MC008","0","0","50","5","bgm_MC008","103123","103121","0","-100","0.8","770531201","0","0.8","-100","360","0","ボスバトルマス"
"0","-25","0.9","0","0","1.2","0","bgm_MC008","0","0","0","-18","bgm_MC008","103123","103121","0","0","0","770531301","0","0","-100","0","-20","ボスバトルマス"
"0","0","1","0","0","1.35","0","bgm_MC008","0","0","0","0","bgm_MC008","103123","103121","0","0","0","770531401","0","0","-100","0","0","ボスバトルマス"
"0","0","1","0","0","1.05","0","bgm_MC008","0","0","0","-25","bgm_MC008","103123","103121","0","0","0","770531501","0","0","-100","0","-20","ボスバトルマス"
"0","15","1","0","0","1.3","0","bgm_MC008","0","0","0","15","bgm_MC008","103123","103121","0","0","0","770531601","0","0","-100","0","0","ボスバトルマス"
"0.8","17","1","1.4","-250","0.8","-400","bgm_MC008","0","0","50","5","bgm_MC008","103123","103121","0","-100","0.8","770531701","0","0.8","-100","360","0","ボスバトルマス"
"0","-25","0.9","0","0","1.2","0","bgm_MC008","0","0","0","-18","bgm_MC008","103123","103121","0","0","0","770531801","0","0","-100","0","-20","ボスバトルマス"
"0","0","1","0","0","1.35","0","bgm_MC008","0","0","0","0","bgm_MC008","103123","103121","0","0","0","770531901","0","0","-100","0","0","ボスバトルマス"
"0","0","1","0","0","1.05","0","bgm_MC008","0","0","0","-25","bgm_MC008","103123","103121","0","0","0","770532001","0","0","-100","0","-20","ボスバトルマス"
