b4ce14692ca0bd87a48c7e43d458264ca9adb2014264d063f19aab044fbec9ac,ad961dadb938c7151c4b3a7b959c7acce6ea424040d2999749ee5c227aeb7fba,a831f100ae4848ce259c15203909a1d230a11a7f1ef0ce412073ef30994b0c6f,44db306c42eeca41a12197e6fc51fa7b050fb68e65f269b7b4fa0e8ab95d0ab8,b33f0c7b44221fafc3a070601fdd307e958f3e4ab383194e236007e80943effe
"75","開始時物理防御力アップ","boss_def_up","74002305","バトル開始時、ボスモンスターが敵全員の物理防御力を特大アップさせる。"
"76","開始時魔法防御力アップ","boss_magic_def_up","74002305","バトル開始時、ボスモンスターが敵全員の魔法防御力を特大アップさせる。"
"77","シャドウ強化","star6_shadow","74002305","ノゾミのシャドウが★6になる。キャル（プリンセス）のシャドウに専用装備が追加される。"
"78","シャドウ2体追加","add_shadow","74002305","ノゾミとキャル（プリンセス）のシャドウが追加される。"
"79","シャドウ1体追加","add_shadow","74002402","アヤネのシャドウが追加される。"
"80","シャドウ2体追加","add_shadow","74002403","アヤネとぺコリーヌ（サマー）のシャドウが追加される。"
"81","編成キャラ数制限","limit_chara_num","74002404","編成可能キャラ数が4キャラになる。"
"82","シャドウ強化","star6_shadow","74002404","アヤネとぺコリーヌ（サマー）のシャドウが★6になる。"
"83","シャドウ2体追加","add_shadow","74002404","アヤネとぺコリーヌ（サマー）のシャドウが追加される。"
"84","編成キャラ数制限","limit_chara_num","74002405","編成可能キャラ数が4キャラになる。"
"85","開始時物理防御力アップ","boss_def_up","74002405","バトル開始時、ボスモンスターが敵全員の物理防御力を特大アップさせる。"
"86","開始時魔法防御力アップ","boss_magic_def_up","74002405","バトル開始時、ボスモンスターが敵全員の魔法防御力を特大アップさせる。"
"87","シャドウ強化","star6_shadow","74002405","アヤネとぺコリーヌ（サマー）のシャドウが★6になる。"
"88","シャドウ2体追加","add_shadow","74002405","アヤネとぺコリーヌ（サマー）のシャドウが追加される。"
"89","バトル時間制限","limit_time","74002502","バトル時間が70秒になる。"
"90","バトル時間制限","limit_time","74002503","バトル時間が60秒になる。"
"91","バトル時間制限","limit_time","74002504","バトル時間が60秒になる。"
"92","ボスUB強化","boss_ub_enhance","74002504","ボスモンスターのユニオンバーストが強化される。"
"93","バトル時間制限","limit_time","74002505","バトル時間が45秒になる。"
"94","ボスUB強化","boss_ub_enhance","74002505","ボスモンスターのユニオンバーストが強化される。"
"95","シャドウ強化","star6_shadow","74003102","カスミ、ハツネ、ユイ（プリンセス）のシャドウに専用装備が追加される。"
"96","シャドウ1体追加","add_shadow","74003103","ユキのシャドウが追加される。"
"97","シャドウ強化","star6_shadow","74003103","ハツネ、ユキのシャドウが★6になる。"
"98","編成キャラ数制限","limit_chara_num","74003104","編成可能キャラ数が4キャラになる。"
"99","編成キャラ数制限","limit_chara_num","74003105","編成可能キャラ数が4キャラになる。"
"100","シャドウ最大ＨＰアップ","max_hp_up","74003105","すべてのシャドウの最大ＨＰが大幅に上昇する。"
"101","モンスター1体追加","add_shadow","74003202","カーズ・レリックが追加される。"
"102","シャドウ強化","star6_shadow","74003203","アオイのシャドウが★6になる。"
"103","開始時魔法ダメージカット","boss_magic_cut","74003204","バトル開始時、カーズ・レリックが味方全体を魔法ダメージ50%カット状態にさせる。"
"104","モンスター強化","boss_ub_enhance","74003204","カーズ・レリックのスキルが強化される。"
"105","開始時魔法ダメージカット","boss_magic_cut","74003205","バトル開始時、カーズ・レリックが味方全体を魔法ダメージ75%カット状態にさせる。"
"106","編成キャラ数制限","limit_chara_num","74003205","編成可能キャラ数が4キャラになる。"
"107","モンスター1体追加","add_shadow","74003302","ヒール・レリックが追加される。"
"108","シャドウ強化","star6_shadow","74003303","キャル（ニューイヤー）のシャドウに専用装備が追加される。"
"109","開始時物理ダメージカット","boss_physics_cut","74003304","バトル開始時、ヒール・レリックが味方全体を物理ダメージ50%カット状態にさせる。"
"110","モンスター強化","boss_ub_enhance","74003304","ヒール・レリックのスキルが強化される。"
"111","開始時物理ダメージカット","boss_physics_cut","74003305","バトル開始時、ヒール・レリックが味方全体を物理ダメージ75%カット状態にさせる。"
"112","編成キャラ数制限","limit_chara_num","74003305","編成可能キャラ数が4キャラになる。"
"113","ボス物理防御力（ダウン不可）アップ","boss_def_lower_limit","74003402","バトル開始時、ボスモンスターの物理防御力を小アップさせる。この効果は物理防御力ダウンの影響を受けない。"
"114","ボス魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","74003402","バトル開始時、ボスモンスターの魔法防御力を小アップさせる。この効果は魔法防御力ダウンの影響を受けない。"
"115","バトル時間制限","limit_time","74003403","バトル時間が70秒になる。"
"116","ボス物理防御力（ダウン不可）アップ","boss_def_lower_limit","74003403","バトル開始時、ボスモンスターの物理防御力を小アップさせる。この効果は物理防御力ダウンの影響を受けない。"
"117","ボス魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","74003403","バトル開始時、ボスモンスターの魔法防御力を小アップさせる。この効果は魔法防御力ダウンの影響を受けない。"
"118","バトル時間制限","limit_time","74003404","バトル時間が70秒になる。"
"119","ボスUB強化","boss_ub_enhance","74003404","ボスモンスターのユニオンバーストが強化される。"
"120","ボスＴＰダウンカット","boss_tp_down_cut","74003404","バトル開始時、ボスモンスターがＴＰダウン100％カット状態になる。"
"121","ボス物理防御力（ダウン不可）アップ","boss_def_lower_limit","74003404","バトル開始時、ボスモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。"
"122","ボス魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","74003404","バトル開始時、ボスモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。"
"123","バトル時間制限","limit_time","74003405","バトル時間が50秒になる。"
"124","ボスUB強化","boss_ub_enhance","74003405","ボスモンスターのユニオンバーストが強化される。"
"125","ボスＴＰダウンカット","boss_tp_down_cut","74003405","バトル開始時、ボスモンスターがＴＰダウン100％カット状態になる。"
"126","ボス物理防御力（ダウン不可）アップ","boss_def_lower_limit","74003405","バトル開始時、ボスモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。"
"127","ボス魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","74003405","バトル開始時、ボスモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。"
"128","ボス物理防御力（ダウン不可）アップ","boss_def_lower_limit","74003502","バトル開始時、ボスモンスターの物理防御力を小アップさせる。この効果は物理防御力ダウンの影響を受けない。"
"129","ボス魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","74003502","バトル開始時、ボスモンスターの魔法防御力を小アップさせる。この効果は魔法防御力ダウンの影響を受けない。"
"130","ボス物理防御力（ダウン不可）アップ","boss_def_lower_limit","74003503","バトル開始時、ボスモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。"
"131","ボス魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","74003503","バトル開始時、ボスモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。"
"132","モンスター1体追加","add_shadow","74003504","ルナポッドが追加される。"
"133","ボス物理防御力（ダウン不可）アップ","boss_def_lower_limit","74003504","バトル開始時、ボスモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。"
"134","ボス魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","74003504","バトル開始時、ボスモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。"
"135","シャドウ1体追加","add_shadow","74003505","カイザーインサイトのシャドウが追加される。"
"136","ボス物理防御力（ダウン不可）アップ","boss_def_lower_limit","74003505","バトル開始時、ボスモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。"
"137","ボス魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","74003505","バトル開始時、ボスモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。"
"138","シャドウ強化","star6_shadow","74004102","イノリ、サレン、ヨリ、ユニのシャドウに専用装備が追加される。"
"139","シャドウ1体追加","add_shadow","74004103","サレン（サマー）のシャドウが追加される。"
"140","シャドウ強化","star6_shadow","74004103","サレン、ヨリのシャドウが★6になる。"
"141","編成キャラ数制限","limit_chara_num","74004104","編成可能キャラ数が4キャラになる。"
"142","編成キャラ数制限","limit_chara_num","74004105","編成可能キャラ数が4キャラになる。"
"143","シャドウ最大ＨＰアップ","max_hp_up","74004105","すべてのシャドウの最大ＨＰが大幅に上昇する。"
"144","モンスター1体追加","add_shadow","74004202","シールド・レリックが追加される。"
"145","シャドウ強化","star6_shadow","74004203","ネネカ（ニューイヤー）のシャドウに専用装備が追加される。"
"146","モンスター強化","boss_ub_enhance","74004204","シールド・レリックのスキルが強化される。"
"147","開始時ＨＰ回復","hp_recover","74004204","バトル開始時、シールド・レリックのが味方全体のＨＰを特大回復させる。"
"148","開始時ＨＰ回復","hp_recover","74004205","バトル開始時、シールド・レリックのが味方全体のＨＰを特大回復させる。"
"149","開始時ＴＰ継続回復付与","energy_recover","74004205","バトル開始時、シールド・レリックのが味方全体に継続ＴＰ回復状態を付与する。"
"150","モンスター1体追加","add_shadow","74004302","アタック・レリックが追加される。"
"151","シャドウ強化","star6_shadow","74004303","リマのシャドウが★6になる。"
"152","モンスター強化","boss_ub_enhance","74004304","アタック・レリックのスキルが強化される。"
"153","開始時行動速度アップフィールド","boss_haste","74004305","バトル開始時、アタック・レリックが味方全体の行動速度を特大アップさせるフィールドを展開する。"
"154","キャラ最大HPダウン","max_hp_down","74004402","パーティキャラの最大HPが20％ダウンする。"
"155","バトル時間制限","limit_time","74004403","バトル時間が75秒になる。"
"156","キャラ最大HPダウン","max_hp_down","74004403","パーティキャラの最大HPが20％ダウンする。"
"157","バトル時間制限","limit_time","74004404","バトル時間が75秒になる。"
"158","編成キャラ数制限","limit_chara_num","74004404","編成可能キャラ数が4キャラになる。"
"159","キャラ最大HPダウン","max_hp_down","74004404","パーティキャラの最大HPが20％ダウンする。"
"160","バトル時間制限","limit_time","74004405","バトル時間が60秒になる。"
"161","編成キャラ数制限","limit_chara_num","74004405","編成可能キャラ数が4キャラになる。"
"162","キャラ最大HPダウン","max_hp_down","74004405","パーティキャラの最大HPが20％ダウンする。"
"163","キャラ最大HPダウン","max_hp_down","74004502","パーティキャラの最大HPが20％ダウンする。"
"164","ボスUB・スキル強化","boss_ub_enhance","74004503","ボスモンスターのユニオンバーストとスキルが強化される。"
"165","ボスＴＰダウンカット","boss_tp_down_cut","74004503","バトル開始時、ボスモンスターがＴＰダウン50％カット状態になる。"
"166","キャラ最大HPダウン","max_hp_down","74004503","パーティキャラの最大HPが20％ダウンする。"
"167","モンスター1体追加","add_shadow","74004504","ルナポッドが追加される。"
"168","ボスＴＰダウンカット","boss_tp_down_cut","74004504","バトル開始時、ボスモンスターがＴＰダウン50％カット状態になる。"
"169","キャラ最大HPダウン","max_hp_down","74004504","パーティキャラの最大HPが20％ダウンする。"
"170","シャドウ1体追加","add_shadow","74004505","アヤネのシャドウが追加される。"
"171","ボスＴＰダウンカット","boss_tp_down_cut","74004505","バトル開始時、ボスモンスターがＴＰダウン50％カット状態になる。"
"172","キャラ最大HPダウン","max_hp_down","74004505","パーティキャラの最大HPが20％ダウンする。"
"173","シャドウ強化","star6_shadow","74005102","リマ、カヤ、イノリ、サレン（サマー）のシャドウに専用装備が追加される。"
"174","シャドウ強化","star6_shadow","74005103","リマ、カヤ、イノリのシャドウが★6になる。"
"175","物理ダメージカット","boss_physics_cut","74005103","バトル開始時、すべてのモンスターが物理ダメージ50％カット状態になる。"
"176","編成キャラ数制限","limit_chara_num","74005104","編成可能キャラ数が4キャラになる。"
"177","物理ダメージカット","boss_physics_cut","74005104","バトル開始時、すべてのモンスターが物理ダメージ50％カット状態になる。"
"178","編成キャラ数制限","limit_chara_num","74005105","編成可能キャラ数が4キャラになる。"
"179","物理ダメージカット","boss_physics_cut","74005105","バトル開始時、すべてのモンスターが物理ダメージ100％カット状態になる。"
"180","シャドウ強化","star6_shadow","74005202","ミヤコ、レイ（ニューイヤー）、ユカリ、ハツネ、ミサキ（ハロウィン）のシャドウに専用装備が追加される。"
"181","シャドウ強化","star6_shadow","74005203","ミヤコ、レイ（ニューイヤー）、ユカリ、ハツネのシャドウが★6になる。"
"182","魔法ダメージカット","boss_magic_cut","74005203","バトル開始時、すべてのモンスターが魔法ダメージ50％カット状態になる。"
"183","編成キャラ数制限","limit_chara_num","74005204","編成可能キャラ数が4キャラになる。"
"184","魔法ダメージカット","boss_magic_cut","74005204","バトル開始時、すべてのモンスターが魔法ダメージ50％カット状態になる。"
"185","編成キャラ数制限","limit_chara_num","74005205","編成可能キャラ数が4キャラになる。"
"186","魔法ダメージカット","boss_magic_cut","74005205","バトル開始時、すべてのモンスターが魔法ダメージ100％カット状態になる。"
"187","ダメージ減衰","18","74005301","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。"
"188","ＴＰ上昇上限付与","17","74005301","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。"
"189","物理防御力（ダウン不可）アップ","boss_def_lower_limit","74005301","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。"
"190","魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","74005301","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。"
"191","ＨＰ吸収ダウン","9","74005301","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。"
"192","モンスター追加","add_shadow","74005302","ゼラチナ、エルダークラウドが追加される。"
"193","ダメージ減衰","18","74005302","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。"
"194","ＴＰ上昇上限付与","17","74005302","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。"
"195","物理防御力（ダウン不可）アップ","boss_def_lower_limit","74005302","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。"
"196","魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","74005302","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。"
"197","ＨＰ吸収ダウン","9","74005302","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。"
"198","モンスター追加","add_shadow","74005303","ユカリ、ホマレ（ニューイヤー）が追加される。"
"199","ダメージ減衰","18","74005303","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。"
"200","ＴＰ上昇上限付与","17","74005303","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。"
"201","物理防御力（ダウン不可）アップ","boss_def_lower_limit","74005303","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。"
"202","魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","74005303","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。"
"203","ＨＰ吸収ダウン","9","74005303","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。"
"204","モンスター追加","add_shadow","74005304","ルナポッドが追加される。"
"205","ダメージ減衰","18","74005304","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。"
"206","ＴＰ上昇上限付与","17","74005304","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。"
"207","物理防御力（ダウン不可）アップ","boss_def_lower_limit","74005304","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。"
"208","魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","74005304","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。"
"209","ＨＰ吸収ダウン","9","74005304","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。"
"210","バトル時間制限","limit_time","74005305","バトル時間が60秒になる。"
"211","ダメージ減衰","18","74005305","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。"
"212","ＴＰ上昇上限付与","17","74005305","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。"
"213","物理防御力（ダウン不可）アップ","boss_def_lower_limit","74005305","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。"
"214","魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","74005305","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。"
"215","ＨＰ吸収ダウン","9","74005305","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。"
"216","ダメージ減衰","18","74005401","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。"
"217","ＴＰ上昇上限付与","17","74005401","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。"
"218","物理防御力（ダウン不可）アップ","boss_def_lower_limit","74005401","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。"
"219","魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","74005401","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。"
"220","ＨＰ吸収ダウン","9","74005401","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。"
"221","モンスター追加","add_shadow","74005402","タートルタイラント、ホオズキムシが追加される。"
"222","ダメージ減衰","18","74005402","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。"
"223","ＴＰ上昇上限付与","17","74005402","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。"
"224","物理防御力（ダウン不可）アップ","boss_def_lower_limit","74005402","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。"
"225","魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","74005402","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。"
"226","ＨＰ吸収ダウン","9","74005402","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。"
"227","モンスター追加","add_shadow","74005403","シズル（ノワール）、コッコロ（サマー）が追加される。"
"228","ダメージ減衰","18","74005403","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。"
"229","ＴＰ上昇上限付与","17","74005403","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。"
"230","物理防御力（ダウン不可）アップ","boss_def_lower_limit","74005403","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。"
"231","魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","74005403","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。"
"232","ＨＰ吸収ダウン","9","74005403","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。"
"233","モンスター追加","add_shadow","74005404","ルナポッドが追加される。"
"234","ダメージ減衰","18","74005404","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。"
"235","ＴＰ上昇上限付与","17","74005404","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。"
