71ee96934beff286987df090c92c92f0abe654f944433f9202f9df42c90f8e8c,58c7b5cb48f6a1c793ab60f787e8af67bbfcf8b206479b64da12da263e5cf926,2abd43a48588189d12083a4e2da269b9855841bb9d1e49e83bb77447d4287d72,6b2de9f37b04ae1dbee9404b0be7b3e5b7b0badef739a3a16ddf6e63c584a276,cb414a3c1a6af2ec7a12f64d5bd12aa8bbbda84f3a0f37db1cce399ffa880a39,05e62460a236c11a1e27cfe8bd42796fe5b8adb38fa2d987478e7a91e91d5153,f7f5de55ab0b9f7abdc27f65f77ef9bfb3abcf52ce5c6ff8a4320874ccbe1712,48b29c00f8b9182d13c98d04e1edc836f971f7f230e75888bda935f6a233b9d0,d5a86ca00e014b49282a92ebae7cadae572e2c9bb429eaed19cb4fe922b78bfa,1840b22615680e889faa5b95100b995d1c4494953eef5ca1502b4d136ec8dff8,96cb7f0830aa5fc7a3390e76566b1b5c9608f9babfcb02e83771e52c758374bd
"","vo_asb","13","21","","0","","vo_asb_1523","","0","13034"
"0","3","13","11","1","10","0","せきらら\nぼうけんき。","0","1","13035"
"","0","13","91","","0","","","","0","13036"
"0.2","3","13","3","","1","","idle_look_precia","","","13037"
"0.3","1","13","3","","1","","talk_look_shy_riri","","","13038"
"","vo_asb","13","21","","0","","vo_asb_1524","","0","13039"
"0","1","13","11","1","10","0","でも……これも学びです。\n兄様。ぜひご覧になった感想を、\nお聞かせ願えませんでしょうか？","0","1","13040"
"","0","13","91","","0","","","","0","13041"
"0.2","1","13","3","","1","","wish_talk_look_shy_riri","","","13042"
"","vo_asb","13","21","","0","","vo_asb_1525","","0","13043"
"0","1","13","11","1","10","0","どんなに厳しい叱咤もご指導も、\n謹んでお受けいたしますので──\nって、…………え？","0","1","13044"
"","0","13","91","","0","","","","0","13045"
"0.2","2","13","3","","1","","idle_look_shy","","","13046"
"0.3","3","13","3","","1","","joy_idle_look_shy_precia","","","13047"
"0.2","1","13","3","","1","","wish_talk_Ex4","","","13048"
"","vo_asb","13","21","","0","","vo_asb_1526","","0","13049"
"0","1","13","11","1","10","0","…………\nま、まさか……\nそのようにお褒めいただけるなんて……","0","1","13050"
"","0","13","91","","0","","","","0","13051"
"0.2","1","13","3","","1","","idle_look_shy_riri","","","13052"
"0.4","3","13","3","","1","","surprise_idle_lookR_precia","","","13053"
"","vo_asb","13","21","","0","","vo_asb_1527","","0","13054"
"0","3","13","11","1","10","0","お兄……","0","1","13055"
"","0","13","91","","0","","","","0","13056"
"0.4","3","13","3","","1","","joy_idle_look_shy_precia2","","","13057"
"0.2","2","13","3","","1","","clear_talk2_look","","","13058"
"","vo_asb","13","21","","0","","vo_asb_1528","","0","13059"
"0","2","13","11","1","10","0","お兄さんは、\n結果云々ではなく、\nわたしたちががんばったこと、\nそれ自体を褒めてくれるんですね……","0","1","13060"
"","0","13","91","","0","","","","0","13061"
"0.2","1","13","3","","1","","wish_talk_Ex3","","","13062"
"0.3","3","13","3","","1","","joy_idle_look_shy_precia","","","13063"
"0.2","2","13","3","1","0","","talk2ToWish_look","0","clear_wish_talk_joy_look","13064"
"","vo_asb","13","21","","0","","vo_asb_1529","","0","13065"
"0","1","13","11","1","10","0","……ありがとうございます！","0","1","13066"
"","0","13","91","","0","","","","0","13067"
"0.2","1","13","3","","1","","idle_look_shy_riri","","","13068"
"0.2","2","13","3","","1","","idle_look_shy","","","13069"
"0.2","3","13","3","1","0","","doya_in_precia","0","doya_talk_precia","13070"
"","vo_asb","13","21","","0","","vo_asb_1530","","0","13071"
"0","3","13","11","1","10","0","むねはり。\nぼうけんき。","0","1","13072"
"","0","13","91","","0","","","","0","13073"
"0.4","3","13","3","","1","","idle_look_normal_precia","","","13074"
"0.2","1","13","3","","1","","riri_talk_look_shy","","","13075"
"","vo_asb","13","21","","0","","vo_asb_1531","","0","13076"
"0","1","13","11","1","10","0","ご覧の通り何事も拙く、\n未熟なわたくしたちですが……","0","1","13077"
"","0","13","91","","0","","","","0","13078"
"0.2","1","13","3","","1","","riri_idle_look_normal_shy","","","13079"
"0.2","2","13","3","","1","","clear_talk3_look","","","13080"
"","vo_asb","13","21","","0","","vo_asb_1532","","0","13081"
"0","2","13","11","1","10","0","こうしてお兄さんが\n温かく見守ってくれるおかげで、\n立派な冒険者になるという夢を、\n追い続けることができています。","0","1","13082"
"","0","13","91","","0","","","","0","13083"
"0.2","2","13","3","","1","","clear_wish_talk_joy_look","","","13084"
"","vo_asb","13","21","","0","","vo_asb_1533","","0","13085"
"0","2","13","11","1","10","0","お兄さん。\nこれからも、【アルターメイデン】の\n側にいてくださいね。","0","1","13086"
"","0","13","91","","0","","","","0","13087"
"0.2","2","13","3","","1","","clear_wish_idle_look","","","13088"
"0.1","3","13","3","1","0","","agree","0.2","joy_idle_look_shy_precia2","13089"
"","vo_asb","13","21","","0","","vo_asb_1534","","0","13090"
"0","3","13","11","1","10","0","よろしく。","0","1","13091"
"","0","13","91","","0","","","","0","13092"
"0.2","1","13","3","1","0","","bow_riri","0.2","idle_look_shy_riri","13093"
"","vo_asb","13","21","","0","","vo_asb_1535","","0","13094"
"0","1","13","11","1","10","0","お願いいたします……！","0","1","13095"
"","0","13","91","","0","","","","0","13096"
"","13098","13","101","","","","","","","13097"
"0.3","1","13","6","0","1","","1","0","1","13098"
"0.3","2","13","6","0","1","","1","0","1","13099"
"0.3","3","13","6","0","1","","1","0","1","13100"
"0.3","0","13","6","0","1","","1","0","1","13101"
"","1","13","2","1","-230","","-130","","0.3","13102"
"","2","13","2","1","-255","","-290","","0.3","13103"
"","3","13","2","1","-245","","120","","0.3","13104"
"","0","13","2","1","0","","-100","","0.3","13105"
"","0","13","22","","","","0","","","13106"
"","100","13","35","","","","1","","","13107"
"","100","13","33","1","0","","-100","","0.3","13108"
"","0.4","13","93","","","","0","","","13109"
"","100","13","32","","","","0","","","13110"
"2.2","3","22","5","-250","52","surprise_idle_normal2_precia","1","0","30","22001"
"0","1","22","6","0","1","","1","0","1","22002"
"1","0","22","5","0","29","black","0","0","50","22003"
"0","0","22","6","0","1","","1","0","1","22004"
"","0","22","91","","","","","","","22005"
"0.2","1","22","6","1","1","","1","0","1","22006"
"0.2","0","22","6","1","1","","1","0","1","22007"
"","1","22","2","2","-250","","-20","","0.3","22008"
"","0","22","2","2","0","","0","","0.3","22009"
"","0.6","22","93","","","","0","","","22010"
"","vo_asb","22","21","","0","","vo_asb_0221","","0","22011"
"0","1","22","11","1","10","0","ざぶとん。\nくっきー。\nいっぱいたべた。","0","1","22012"
"","0","22","91","","0","","","","0","22013"
"0.3","1","22","3","","1","","talk_surprise_precia","","","22014"
"","vo_asb","22","21","","0","","vo_asb_0222","","0","22015"
"0","1","22","11","1","10","0","スズメ。\nいろいろつくってる。\nらしい。","0","1","22016"
"","0","22","91","","0","","","","0","22017"
"0.3","1","22","3","","1","","think_idle_precia","","","22018"
"","vo_asb","22","21","","0","","vo_asb_0223","","0","22019"
"0","1","22","11","1","10","0","ざぶとん、ほっとけーき。\nとか？","0","1","22020"
"","0","22","91","","0","","","","0","22021"
"0.3","1","22","3","","1","","think_idle_dere_precia","","","22022"
"","vo_asb","22","21","","0","","vo_asb_0224","","0","22023"
"0","1","22","11","1","10","0","ざぶとん、まふぃん。\nとか？","0","1","22024"
"","0","22","91","","0","","","","0","22025"
"0.3","1","22","3","","1","","think_idle_angerR","","","22026"
"","vo_asb","22","21","","0","","vo_asb_0225","","0","22027"
"0","1","22","11","1","10","0","ざぶとん、にくまん……\nとか……（ごくり）","0","1","22028"
"","0","22","91","","0","","","","0","22029"
"0.1","1","22","3","1","0","","thinkToSpeak_precia","0","speak1_light_precia","22030"
"","vo_asb","22","21","","0","","vo_asb_0226","","0","22031"
"0","1","22","11","1","10","0","スズメ。\nすかうとする。\n【あるたーめいでん】に。","0","1","22032"
"","0","22","91","","0","","","","0","22033"
"","22035","22","101","","","","","","","22034"
"0.3","1","22","6","0","1","","1","0","1","22035"
"0.3","0","22","6","0","1","","1","0","1","22036"
"","1","22","2","1","-250","","-120","","0.3","22037"
"","0","22","2","1","0","","-100","","0.3","22038"
"","0","22","22","","","","0","","","22039"
"","0.4","22","93","","","","0","","","22040"
"2.2","1","32","5","-230","52","riri_idle_look","1","0","20","32001"
"2.2","2","32","5","-255","58","clear_book_read","2","0","-140","32002"
"2.2","3","32","5","-245","55","joy_idle_precia","3","1","270","32003"
"0","1","32","6","0","1","","1","0","1","32004"
"0","2","32","6","0","1","","1","0","1","32005"
"0","3","32","6","0","1","","1","0","1","32006"
"1","0","32","5","0","29","black","0","0","50","32007"
"0","0","32","6","0","1","","1","0","1","32008"
"","0","32","91","","","","","","","32009"
"0.2","1","32","6","1","1","","1","0","1","32010"
"0.2","2","32","6","1","1","","1","0","1","32011"
"0.2","3","32","6","1","1","","1","0","1","32012"
"0.2","0","32","6","1","1","","1","0","1","32013"
"","1","32","2","2","-230","","-30","","0.3","32014"
"","2","32","2","2","-255","","-190","","0.3","32015"
"","3","32","2","2","-245","","220","","0.3","32016"
"","0","32","2","2","0","","0","","0.3","32017"
"","0.6","32","93","","","","0","","","32018"
"0.2","2","32","3","","1","","clear_book_talk","","","32019"
"","vo_asb","32","21","","0","","vo_asb_0321","","0","32020"
"0","2","32","11","1","10","0","この牛さんの絵、\n上手すぎませんか！？","0","1","32021"
"","0","32","91","","0","","","","0","32022"
"0.4","2","32","3","","1","","clear_book_idle","","","32023"
"0.2","1","32","3","","1","","riri_talk_look","","","32024"
"","vo_asb","32","21","","0","","vo_asb_0322","","0","32025"
"0","1","32","11","1","10","0","プレシアさん作です。\n彼女は天才タイプなので。","0","1","32026"
"","0","32","91","","0","","","","0","32027"
"0.2","1","32","3","","1","","riri_idle_look","","","32028"
"0.1","2","32","3","1","0","","clear_bookToTalk2","0","clear_talk2_noShy","32029"
"","vo_asb","32","21","","0","","vo_asb_0323","","0","32030"
"0","2","32","11","1","10","0","そういえば、わたしとリリちゃんが、\n『腰に手』が上手くできなくて、\nマヒルさんに教わりながら、\n悪戦苦闘してた時も……","0","1","32031"
"","0","32","91","","0","","","","0","32032"
"0.1","2","32","3","1","0","","talk2ToIdle_talkjoy2","0","idle_talkjoy2","32033"
"0.2","1","32","3","","1","","sad_talk_joy2R","","","32034"
"","vo_asb","32","21","","0","","vo_asb_0324","","0","32035"
"0","1","32","11","1","10","0","はい。プレシアさんだけが、\n一発合格でしたね。\n素人のわたくしたちの目から見ても、\n実に完璧な『腰に手』でございました。","0","1","32036"
"","0","32","91","","0","","","","0","32037"
"0.2","1","32","3","","1","","sad_idle_normal_riri","","","32038"
"0.2","2","32","3","","1","","idle","","","32039"
"0.3","3","32","3","","1","","talk_precia","","","32040"
"","vo_asb","32","21","","0","","vo_asb_0325","","0","32041"
"0","3","32","11","1","10","0","みたい？","0","1","32042"
"","0","32","91","","0","","","","0","32043"
"0.3","3","32","3","","1","","joy_idle_precia","","","32044"
"0.2","1","32","3","","1","","guts2_talk_riri","","","32045"
"0.2","2","32","3","","1","","clear_hope_talk","","","32046"
"","vo_asb","32","21","","0","","vo_asb_0326","","0","32047"
"0","1","32","11","1","10","0","ぜひっ。","0","1","32048"
"","0","32","91","","0","","","","0","32049"
"0.2","1","32","3","","1","","guts2_idle_riri","","","32050"
"0.2","2","32","3","","1","","clear_hope_idle","","","32051"
"0.2","3","32","3","1","0","","cool_in","0","cool_idle","32052"
"","vo_asb","32","21","","0","","vo_asb_0327","","0","32053"
"0","3","32","11","1","10","0","びしっ。","0","1","32054"
"","0","32","91","","0","","","","0","32055"
"0.2","3","32","3","1","0","","cool_idle_doya_in","0.1","cool_idle_doya","32056"
"0.2","1","32","3","","1","","guts2_idle_joy_riri","","","32057"
"0.2","2","32","3","","1","","clear_hope_joy","","","32058"
"","vo_asb","32","21","","0","","vo_asb_0328","","0","32059"
"-85","1","32","11","1","10","0","わぁ～♪","-22","1","32060"
"","0","32","91","","0","","","","0","32061"
"","32063","32","101","","","","","","","32062"
"0.3","1","32","6","0","1","","1","0","1","32063"
"0.3","2","32","6","0","1","","1","0","1","32064"
"0.3","3","32","6","0","1","","1","0","1","32065"
"0.3","0","32","6","0","1","","1","0","1","32066"
"","1","32","2","1","-230","","-130","","0.3","32067"
"","2","32","2","1","-255","","-290","","0.3","32068"
"","3","32","2","1","-245","","120","","0.3","32069"
"","0","32","2","1","0","","-100","","0.3","32070"
"","0","32","22","","","","0","","","32071"
"","0.4","32","93","","","","0","","","32072"
"2.2","2","42","5","-250","52","clear_wish_talk_joy_noShy","1","0","30","42001"
"0","1","42","6","0","1","","1","0","1","42002"
"1","0","42","5","0","29","black","0","0","50","42003"
"0","0","42","6","0","1","","1","0","1","42004"
"","0","42","91","","","","","","","42005"
"0.2","1","42","6","1","1","","1","0","1","42006"
"0.2","0","42","6","1","1","","1","0","1","42007"
"","1","42","2","2","-250","","-20","","0.3","42008"
"","0","42","2","2","0","","0","","0.3","42009"
"","0.6","42","93","","","","0","","","42010"
"","vo_asb","42","21","","0","","vo_asb_0421","","0","42011"
"0","1","42","11","1","10","0","リンさんによるマヒルさんのモノマネ、\nとっても上手でした。","0","1","42012"
"","0","42","91","","0","","","","0","42013"
"0.1","1","42","3","","1","","clear_talk_normal","","","42014"
"","vo_asb","42","21","","0","","vo_asb_0422","","0","42015"
"0","1","42","11","1","10","0","ギルドも長くなると、\n絆を深めたメンバー同士、\nああして互いのモノマネも、\n難なくできるようになるんですね……","0","1","42016"
"","0","42","91","","0","","","","0","42017"
"0.2","1","42","3","1","0","","clear_kohon_in","0","clear_kohon_loop","42018"
"","vo_asb","42","21","","0","","vo_asb_0423","","0","42019"
"0","1","42","11","1","10","0","…………\n……こほん。","0","1","42020"
"","0","42","91","","0","","","","0","42021"
"0.2","1","42","3","1","0","","clear_imitation_in","0","clear_speak2_talk","42022"
"","vo_asb","42","21","","0","","vo_asb_0424","","0","42023"
"0","1","42","11","1","10","0","に、兄様。兄様……？　\nお、おに、お兄……お兄。\n…………","0","1","42024"
"","0","42","91","","0","","","","0","42025"
"0.3","1","42","3","1","0","","clear_surprise_in_red","0","clear_surprise_talk_red","42026"
"","vo_asb","42","21","","0","","vo_asb_0425","","0","42027"
"0","1","42","11","1","10","0","……はっ！\nギルドメンバーのモノマネを\nしていただけなのに、\nわたしってば、どうして赤く……！","0","1","42028"
"","0","42","91","","0","","","","0","42029"
"0.2","1","42","3","","1","","clear_wish_talk_pain_red","","","42030"
"","vo_asb","42","21","","0","","vo_asb_0426","","0","42031"
"0","1","42","11","1","10","0","色んな意味で、まだまだです……っ！","0","1","42032"
"","0","42","91","","0","","","","0","42033"
"","42035","42","101","","","","","","","42034"
"0.3","1","42","6","0","1","","1","0","1","42035"
"0.3","0","42","6","0","1","","1","0","1","42036"
"","1","42","2","1","-250","","-120","","0.3","42037"
"","0","42","2","1","0","","-100","","0.3","42038"
"","0","42","22","","","","0","","","42039"
"","0.4","42","93","","","","0","","","42040"
"2.2","1","52","5","-243","55","dance_riri","1","0","70","52001"
"2.2","2","52","5","-245","52","dance_clear","2","1","320","52002"
"2.2","3","52","5","-255","58","dance_precia","3","0","-90","52003"
"0","1","52","6","0","1","","1","0","1","52004"
"0","2","52","6","0","1","","1","0","1","52005"
"0","3","52","6","0","1","","1","0","1","52006"
"1","0","52","5","0","29","black","0","0","50","52007"
"0","0","52","6","0","1","","1","0","1","52008"
"","0","52","91","","","","","","","52009"
"0.1","1","52","3","","0","","dance_riri","","","52010"
"0.1","2","52","3","1","0","","dance_clear","0","idle","52011"
"0.1","3","52","3","1","0","","dance_precia","0","idle_precia","52012"
"0.2","1","52","6","1","1","","1","0","1","52013"
"0.2","2","52","6","1","1","","1","0","1","52014"
"0.2","3","52","6","1","1","","1","0","1","52015"
"0.2","0","52","6","1","1","","1","0","1","52016"
"","1","52","2","2","-243","","-30","","0.3","52017"
"","2","52","2","2","-245","","220","","0.3","52018"
"","3","52","2","2","-255","","-190","","0.3","52019"
"","0","52","2","2","0","","0","","0.3","52020"
"","0.6","52","93","","","","0","","","52021"
"","vo_asb","52","21","","0","","vo_asb_0521","","0","52022"
"0","3","52","11","0","26","0.15","くいっく、くいっく、すろー。","0","0","52023"
"","0","52","91","","0","","","","0","52024"
"","vo_asb","52","21","","0","","vo_asb_0522","","0","52025"
"0","1","52","11","0","10","0.75","ターンエン、ターンエン、\nクイッククイックスロー！","0","0","52026"
"","52010","52","91","","","","","","","52027"
"0.1","1","52","3","","1","","idle","","","52028"
"","0.2","52","93","","","","0","","","52029"
"0.1","1","52","3","1","0","","smile_riri","0.2","talk_joy","52030"
"","vo_asb","52","21","","0","","vo_asb_0523","","0","52031"
"0","1","52","11","1","10","0","……ふふふ。この掛け声があると、\n不思議と３人の息が、\nぴったり合うのですよね。","0","1","52032"
"","0","52","91","","","","","","","52033"
"0.2","1","52","3","","1","","riri_idle","","","52034"
"0.2","2","52","3","","1","","clear_talk2_noShy","","","52035"
"","vo_asb","52","21","","0","","vo_asb_0524","","0","52036"
"0","2","52","11","1","10","0","はい。だからその後も、\nけっこう使ってますよね。\n重い物を持ち上げる時とか。\n３人で体操をする時とか。","0","1","52037"
"","0","52","91","","0","","","","0","52038"
"0.2","2","52","3","1","0","","talk2ToIdle","0","idle","52039"
"0.2","1","52","3","","1","","riri_talk","","","52040"
"","vo_asb","52","21","","0","","vo_asb_0525","","0","52041"
"0","1","52","11","1","10","0","他にも、戦闘訓練で息を合わせる際や、\nあとは夜道を歩く時の、魔物避けにも！","0","1","52042"
"","0","52","91","","0","","","","0","52043"
"0.2","1","52","3","","1","","riri_idle_look","","","52044"
"0.2","2","52","3","","1","","idle_talkjoy2","","","52045"
"0.3","3","52","3","","1","","talk_precia","","","52046"
"","vo_asb","52","21","","0","","vo_asb_0526","","0","52047"
"0","3","52","11","1","10","0","はんようせい。\nありすぎ。","0","1","52048"
"","0","52","91","","0","","","","0","52049"
"","52051","52","101","","","","","","","52050"
"0.3","1","52","6","0","1","","1","0","1","52051"
"0.3","2","52","6","0","1","","1","0","1","52052"
"0.3","3","52","6","0","1","","1","0","1","52053"
"0.3","0","52","6","0","1","","1","0","1","52054"
"","1","52","2","1","-230","","-130","","0.3","52055"
"","2","52","2","1","-245","","120","","0.3","52056"
"","3","52","2","1","-255","","-290","","0.3","52057"
"","0","52","2","1","0","","-100","","0.3","52058"
"","0","52","22","","","","0","","","52059"
"","0.4","52","93","","","","0","","","52060"
"2.2","1","62","5","-250","52","talk_joy","1","0","30","62001"
"0","1","62","6","0","1","","1","0","1","62002"
"1","0","62","5","0","29","black","0","0","50","62003"
"0","0","62","6","0","1","","1","0","1","62004"
"","0","62","91","","","","","","","62005"
"0.2","1","62","6","1","1","","1","0","1","62006"
"0.2","0","62","6","1","1","","1","0","1","62007"
"","1","62","2","2","-250","","-20","","0.3","62008"
"","0","62","2","2","0","","0","","0.3","62009"
"","0.6","62","93","","","","0","","","62010"
"","vo_asb","62","21","","0","","vo_asb_0621","","0","62011"
"0","1","62","11","1","10","0","ライブ後、【カルミナ】の皆様が\n来てくださったのです。","0","1","62012"
"","0","62","91","","0","","","","0","62013"
"0.2","1","62","3","","1","","wish_talk_joyR_riri","","","62014"
"","vo_asb","62","21","","0","","vo_asb_0622","","0","62015"
"0","1","62","11","1","10","0","「また絶対一緒に踊ろうね」って、\n手まで、重ねさせていただいて……","0","1","62016"
"","0","62","91","","0","","","","0","62017"
"0.3","1","62","3","","1","","memoly_talk_joy","","","62018"
"","vo_asb","62","21","","0","","vo_asb_0623","","0","62019"
"0","1","62","11","1","10","0","お三方のあまりの可憐さと華やかさに、\nわたくし、もう、\nクラクラしてしまって……","0","1","62020"
"","0","62","91","","0","","","","0","62021"
"0.2","1","62","3","","1","","sad_talk2_dere","","","62022"
"","vo_asb","62","21","","0","","vo_asb_0624","","0","62023"
"0","1","62","11","1","10","0","実は、重ねさせていただいたこの手、\nあれ以来まだ一度も洗っておりません。","0","1","62024"
"","0","62","91","","0","","","","0","62025"
"0.3","1","62","3","","1","","wish_talk_nervous_riri","","","62026"
"","vo_asb","62","21","","0","","vo_asb_0625","","0","62027"
"0","1","62","11","1","10","0","リアさんには、やや呆れた目で\n見られている気が、\nしないでもありませんが……\nせめて、あと半日は……！","0","1","62028"
"","0","62","91","","0","","","","0","62029"
"","62031","62","101","","","","","","","62030"
"0.3","1","62","6","0","1","","1","0","1","62031"
"0.3","0","62","6","0","1","","1","0","1","62032"
"","1","62","2","1","-250","","-120","","0.3","62033"
"","0","62","2","1","0","","-100","","0.3","62034"
"","0","62","22","","","","0","","","62035"
"","0.4","62","93","","","","0","","","62036"
"2.2","2","72","5","-250","52","idle","1","0","30","72001"
"0","1","72","6","0","1","","1","0","1","72002"
"1","0","72","5","0","29","black","0","0","50","72003"
"0","0","72","6","0","1","","1","0","1","72004"
"","0","72","91","","","","","","","72005"
"0.2","1","72","6","1","1","","1","0","1","72006"
"0.2","0","72","6","1","1","","1","0","1","72007"
"","1","72","2","2","-250","","-20","","0.3","72008"
"","0","72","2","2","0","","0","","0.3","72009"
"","0.6","72","93","","","","0","","","72010"
"0.2","1","72","3","","1","","clear_talk_normal","","","72011"
"","vo_asb","72","21","","0","","vo_asb_0721","","0","72012"
"0","1","72","11","1","10","0","アオイさんて、すごくシャイみたいで。\nだけど、言うじゃないですか。\n共通の話題がある相手とは、\n打ち解けやすい、って。","0","1","72013"
"","0","72","91","","0","","","","0","72014"
"0.2","1","72","3","","1","","clear_kohon_talk_surprise","","","72015"
"","vo_asb","72","21","","0","","vo_asb_0722","","0","72016"
"0","1","72","11","1","10","0","直感、あったんですよね。\nアオイさんほど詳しくはないですが、\nわたしも草花が好きなので。\nこの人とは仲良くなれそう、みたいな。","0","1","72017"
"","0","72","91","","0","","","","0","72018"
"0.2","1","72","3","","1","","clear_talk2_noShy","","","72019"
"","vo_asb","72","21","","0","","vo_asb_0723","","0","72020"
"0","1","72","11","1","10","0","だからわたし、\n勇気を出して言ってみたんです！\nお友だちになりませんか、って。","0","1","72021"
"","0","72","91","","0","","","","0","72022"
"0.2","1","72","3","1","0","","talk2ToWish","0","clear_wish_talk_joy","72023"
"","vo_asb","72","21","","0","","vo_asb_0724","","0","72024"
"0","1","72","11","1","10","0","そしたらアオイさん、\n顔を真っ赤にして、ブンブン！　って、\n首を縦に振ってくれて。\nやった！　って思ったんですよね。","0","1","72025"
"","0","72","91","","0","","","","0","72026"
"0.2","1","72","3","","1","","clear_talk2_nervous","","","72027"
"","vo_asb","72","21","","0","","vo_asb_0725","","0","72028"
"0","1","72","11","1","10","0","……でもその後、\n心の準備が欲しいって言われちゃって。\n心の準備、300年くらいかかるかも\nしれないんだそうです……","0","1","72029"
