5e4b53112e1cf7c5e91e1f51c17453a11875aac15d4a5a3b46fb2cd89dd34020,a0dba219f34d522fab7cb46514ebf8231d1b885df56f6ce471772cc040ea29a9,770b1c6178222212b6ce1fc80b8a5f739b9d5f4055bdaa0c1019a903509d207a,eae56cf11c143d3f65a91045937053d250e833b8c9e88ebbb4f071cdc81a0940,a4fe230cbe7cc33d8449aa176c5b16c77f06318559055ed23e4ba0f0835dea6f,df960b3a590cb25a6e20cbdb67c5471ea2431a918be6994374f34b9f277a635d,a3715c4e2e53daef043e7f57b50b158fd5def36c6edc569a3530be42e8b1d5c8,65162c55d2496622717f3972f7bd57746d3c1e5ca909b8adf10986afb2c910b9,f4ef39ab305ea93344468badbd4f757571af9aeab891d8ba4e9cb341c0193ae9,b2b3715afa261a7a7e8a0a444c85f47ca4495f7a5a78c199304da2bb84042aed,b2c491f03e4d04977af158ebb9007b42c100c4cf8b7c12a297f1806ebafb3abf
"あ、困ってる人\nはっけーん！\n困った時はお互い\nさまさまっ♪","1","8","13004","13","1","11","0","0","0","122411"
"","","","13005","13","","91","","","","0"
"sjr_talk_idle","","1","13006","13","","3","","","0.2","122411"
"122411","40","100","14001","14","sjr_talk_idle","1","-194","1","1.65","1"
"sjr_talk_watch_arm_opened","sjr_talk_swing_joy","0","14002","14","","3","1","0","0.2","122411"
"vo_minigame_1010_top_talk_1_014","0","0","14003","14","","21","","","","vo_minigame_1010"
"どのコースを\n走ろうかなー♪\nどれもおもしろそー！\nウズウズしてきたー！","1","7","14004","14","1","11","0","0","0","122411"
"","","","14005","14","","91","","","","0"
"sjr_talk_idle","","1","14006","14","","3","","","0.2","122411"
"122411","40","100","15001","15","sjr_talk_idle","1","-194","1","1.65","1"
"sjr_talk_wish_doya","","1","15002","15","","3","","","0.2","122411"
"vo_minigame_1010_top_talk_1_015","0","0","15003","15","","21","","","","vo_minigame_1010"
"ユイちゃんとレイさん\n二人と一緒に\n競い合いたいな！","1","7","15004","15","1","11","0","0","0","122411"
"","","","15005","15","","91","","","","0"
"sjr_talk_idle","","1","15006","15","","3","","","0.2","122411"
"122611","72","100","16001","16","sjr_talk_idle","1","-194","1","1.65","1"
"122511","-72","100","16002","16","sjr_talk_idle","1","-194","0","1.65","1"
"sjr_talk_wish_doya","","1","16003","16","","3","","","0.2","122611"
"vo_minigame_1010_top_talk_2_001","0","0","16004","16","","21","","","","vo_minigame_1010"
"レイちゃん\nお互い全力で走ろうね\nわたし本気で挑むから","1","5","16005","16","1","11","0","0","0","122611"
"","","","16006","16","","91","","","","0"
"sjr_talk_idle","","1","16007","16","","3","","","0.2","122611"
"sjr_talk_arm_crossed_normal_joy","sjr_talk_arm_crossed_joy_loop","0","16008","16","","3","1","0","0.2","122511"
"vo_minigame_1010_top_talk_2_002","0","0","16009","16","","21","","","","vo_minigame_1010"
"ユイ…言うように\nなったじゃないか\nふふっ、だったら私も\nその意気に応えよう","1","6","16010","16","0.5","11","0","0","0","122511"
"","","","16011","16","","91","","","","0"
"sjr_talk_idle","","1","16012","16","","3","","","0.2","122511"
"122611","72","100","17001","17","sjr_talk_idle","1","-194","1","1.65","1"
"122511","-72","100","17002","17","sjr_talk_idle","1","-194","0","1.65","1"
"sjr_talk_worry_shy","","1","17003","17","","3","","","0.2","122511"
"vo_minigame_1010_top_talk_2_003","0","0","17004","17","","21","","","","vo_minigame_1010"
"ねぇユイ\n水着で走るのって\nちょっと…","1","6","17005","17","0.5","11","0","0","0","122511"
"","","","17006","17","","91","","","","0"
"sjr_talk_idle","","1","17007","17","","3","","","0.2","122511"
"sjr_talk_wish_shy","","1","17008","17","","3","","","0.2","122611"
"vo_minigame_1010_top_talk_2_004","0","0","17009","17","","21","","","","vo_minigame_1010"
"うん、恥ずかしいよね\n騎士クンに\n見られてると思うと…\n…うぅ～～～！","1","5","17010","17","0.5","11","0","0","0","122611"
"","","","17011","17","","91","","","","0"
"sjr_talk_idle","","1","17012","17","","3","","","0.2","122611"
"sjr_talk_thinking_blink_light","sjr_talk_thinking_light","0","17013","17","","3","1","0","0.2","122511"
"vo_minigame_1010_top_talk_2_005","0","0","17014","17","","21","","","","vo_minigame_1010"
"いや、待てよ…\nユイは恥ずかしい時\n逃げ足が速くなる…\nそれを利用すれば…！","1","6","17015","17","0.5","11","0","0","0","122511"
"","","","17016","17","","91","","","","0"
"sjr_talk_idle","","1","17017","17","","3","","","0.2","122511"
"122611","72","100","18001","18","sjr_talk_idle","1","-194","1","1.65","1"
"122511","-72","100","18002","18","sjr_talk_idle","1","-194","0","1.65","1"
"sjr_talk_wish_surprise","","1","18003","18","","3","","","0.2","122611"
"vo_minigame_1010_top_talk_2_006","0","0","18004","18","","21","","","","vo_minigame_1010"
"なんだかすごいコース\nばかりだね…\nどうやって\n作ったんだろう…","1","7","18005","18","0.5","11","0","0","0","122611"
"","","","18006","18","","91","","","","0"
"sjr_talk_idle","","1","18007","18","","3","","","0.2","122611"
"sjr_talk_arm_crossed_normal2","sjr_talk_arm_crossed_normal2_loop","0","18008","18","","3","1","0","0.2","122511"
"vo_minigame_1010_top_talk_2_007","0","0","18009","18","","21","","","","vo_minigame_1010"
"気にしちゃダメだよ\nこういう時は素直に\n楽しむのが一番さ","1","7","18010","18","0.5","11","0","0","0","122511"
"","","","18011","18","","91","","","","0"
"sjr_talk_idle","","1","18012","18","","3","","","0.2","122511"
"122611","72","100","19001","19","sjr_talk_idle","1","-194","1","1.65","1"
"122411","-72","100","19002","19","sjr_talk_idle","1","-194","0","1.65","1"
"sjr_talk_wave_hand","sjr_talk_idle_joy","0","19003","19","","3","1","0","0.2","122611"
"vo_minigame_1010_top_talk_2_008","0","0","19004","19","","21","","","","vo_minigame_1010"
"ヒヨリちゃん\n楽しんでる？","1","11","19005","19","0.5","11","0","0","0","122611"
"","","","19006","19","","91","","","","0"
"sjr_talk_idle","","1","19007","19","","3","","","0.2","122611"
"sjr_talk_fun","sjr_talk_swing_joy2","0","19008","19","","3","1","0","0.2","122411"
"vo_minigame_1010_top_talk_2_009","0","0","19009","19","","21","","","","vo_minigame_1010"
"もっちろん！\nこんな面白いこと\n楽しまないと\nもったいないよー！","1","8","19010","19","0.5","11","0","0","0","122411"
"","","","19011","19","","91","","","","0"
"sjr_talk_idle","","1","19012","19","","3","","","0.2","122411"
"sjr_talk_laugh","","1","19013","19","","3","","","0.2","122611"
"vo_minigame_1010_top_talk_2_010","0","0","19014","19","","21","","","","vo_minigame_1010"
"そうだね\nふふっ、わたしも\nヒヨリちゃんを\n見習わないと…！","1","8","19015","19","0.5","11","0","0","0","122611"
"","","","19016","19","","91","","","","0"
"sjr_talk_idle","","1","19017","19","","3","","","0.2","122611"
"122611","72","100","20001","20","sjr_talk_idle","1","-194","1","1.65","1"
"122411","-72","100","20002","20","sjr_talk_idle","1","-194","0","1.65","1"
"sjr_talk_guts2","sjr_talk_guts2_loop","0","20003","20","","3","1","0","0.2","122411"
"vo_minigame_1010_top_talk_2_011","0","0","20004","20","","21","","","","vo_minigame_1010"
"ユイちゃんっ！\nさっきの走りは\nすごかったね！\n追いつけなかったよー","1","9","20005","20","0.5","11","0","0","0","122411"
"","","","20006","20","","91","","","","0"
"sjr_talk_idle","","1","20007","20","","3","","","0.2","122411"
"sjr_talk_mouth_hidden_dere_guru","sjr_talk_mouth_hidden_guru","0","20008","20","","3","1","0","0.2","122611"
"vo_minigame_1010_top_talk_2_012","0","0","20009","20","","21","","","","vo_minigame_1010"
"夢中で走ってたら\nなんだか\n気持ちよくなって…\nふふ、ふふふ…","1","5","20010","20","0.5","11","0","0","0","122611"
"","","","20011","20","","91","","","","0"
"sjr_talk_shock","sjr_talk_shock_loop","0","20012","20","","3","1","0","0.2","122411"
"vo_minigame_1010_top_talk_2_013","0","0","20013","20","","21","","","","vo_minigame_1010"
"わーっ！？\nユイちゃん！？\n目がグルグルだー！？","1","17","20014","20","0.5","11","0","0","0","122411"
"","","","20015","20","","91","","","","0"
"sjr_talk_idle","","1","20016","20","","3","","","0.2","122611"
"sjr_talk_idle","","1","20017","20","","3","","","0.2","122411"
"122611","72","100","21001","21","sjr_talk_idle","1","-194","1","1.65","1"
"122411","-72","100","21002","21","sjr_talk_idle","1","-194","0","1.65","1"
"sjr_talk_worry_sad","","1","21003","21","","3","","","0.2","122611"
"vo_minigame_1010_top_talk_2_014","0","0","21004","21","","21","","","","vo_minigame_1010"
"ヒヨリちゃん、ずっと\n走ってるけど大丈夫？\n水分補給はちゃんと\nしなくちゃダメだよ？","1","9","21005","21","0.5","11","0","0","0","122611"
"","","","21006","21","","91","","","","0"
"sjr_talk_idle","","1","21007","21","","3","","","0.2","122611"
"sjr_talk_laugh_guts","sjr_talk_guts2_joy_loop","0","21008","21","","3","0","0","0.2","122411"
"vo_minigame_1010_top_talk_2_015","0","0","21009","21","","21","","","","vo_minigame_1010"
"心配性だなぁ\nユイちゃんはー\nあ、だったら一緒に\nかき氷食べに行こー♪","1","6","21010","21","0.5","11","0","0","0","122411"
"","","","21011","21","","91","","","","0"
"sjr_talk_idle","","1","21012","21","","3","","","0.2","122411"
"122511","72","100","22001","22","sjr_talk_idle","1","-194","1","1.65","1"
"122411","-72","100","22002","22","sjr_talk_idle","1","-194","0","1.65","1"
"sjr_talk_arm_crossed_normal","sjr_talk_arm_crossed_normal_loop","0","22003","22","","3","1","0","0.2","122511"
"vo_minigame_1010_top_talk_2_016","0","0","22004","22","","21","","","","vo_minigame_1010"
"相手がヒヨリとはいえ\n負けるつもりは\nないからね","1","7","22005","22","0.5","11","0","0","0","122511"
"","","","22006","22","","91","","","","0"
"sjr_talk_idle","","1","22007","22","","3","","","0.2","122511"
"sjr_talk_guts","sjr_talk_guts_loop","0","22008","22","","3","1","0","0.2","122411"
"vo_minigame_1010_top_talk_2_017","0","0","22009","22","","21","","","","vo_minigame_1010"
"レイさんが相手なら\nあたしだって\n全力全開だよ！","1","8","22010","22","0.5","11","0","0","0","122411"
"","","","22011","22","","91","","","","0"
"sjr_talk_idle","","1","22012","22","","3","","","0.2","122411"
"122511","72","100","23001","23","sjr_talk_idle","1","-194","1","1.65","1"
"122411","-72","100","23002","23","sjr_talk_idle","1","-194","0","1.65","1"
"sjr_talk_fun_eieio","sjr_talk_eieio_loop","0","23003","23","","3","1","0","0.2","122411"
"vo_minigame_1010_top_talk_2_018","0","0","23004","23","","21","","","","vo_minigame_1010"
"夏と言えばかき氷！\nシロップはー……\n禁断の全部混ぜだー！","1","5","23005","23","0.5","11","0","0","0","122411"
"","","","23006","23","","91","","","","0"
"sjr_talk_idle","","1","23007","23","","3","","","0.2","122411"
"sjr_talk_mouth_hidden_sad","","1","23008","23","","3","","","0.2","122511"
"vo_minigame_1010_top_talk_2_019","0","0","23009","23","","21","","","","vo_minigame_1010"
"そんなに冷たいもの\nばかり食べて…\n走れなくなっても\n知らないよ？","1","7","23010","23","0.5","11","0","0","0","122511"
"","","","23011","23","","91","","","","0"
"sjr_talk_idle","","1","23012","23","","3","","","0.2","122511"
"sjr_talk_arm_opened_joy_guru","sjr_talk_arm_opened_guru","0","23013","23","","3","1","0","0.2","122411"
"vo_minigame_1010_top_talk_2_020","0","0","23014","23","","21","","","","vo_minigame_1010"
"平気平気ぃ♪\n…あれっ？\nなんか頭がキーンって\nいたたたたぁー！？","1","5","23015","23","0.5","11","0","0","0","122411"
"","","","23016","23","","91","","","","0"
"sjr_talk_idle","","1","23017","23","","3","","","0.2","122411"
"122511","72","100","24001","24","sjr_talk_idle","1","-194","1","1.65","1"
"122411","-72","100","24002","24","sjr_talk_idle","1","-194","0","1.65","1"
"sjr_talk_mouth_hidden_sad","","1","24003","24","","3","","","0.2","122411"
"vo_minigame_1010_top_talk_2_021","0","0","24004","24","","21","","","","vo_minigame_1010"
"ユイちゃん\n大丈夫かなー\n転んだりしてないと\nいいけど…","1","7","24005","24","1","11","0","0","0","122411"
"","","","24006","24","","91","","","","0"
"sjr_talk_idle","","1","24007","24","","3","","","0.2","122411"
"sjr_talk_arm_crossed_normal_joy","sjr_talk_arm_crossed_joy_loop","0","24008","24","","3","0","0","0.2","122511"
"vo_minigame_1010_top_talk_2_022","0","0","24009","24","","21","","","","vo_minigame_1010"
"心配はいらないさ\nユイは強くなった\nむしろ私たちが\n負けてしまうかもね","1","5","24010","24","0.5","11","0","0","0","122511"
"","","","24011","24","","91","","","","0"
"sjr_talk_idle","","1","24012","24","","3","","","0.2","122511"
"sjr_talk_laugh","","1","24013","24","","3","","","0.2","122411"
"vo_minigame_1010_top_talk_2_023","0","0","24014","24","","21","","","","vo_minigame_1010"
"えへへっ、そうだね！\n一緒に走るのが\n楽しみだなー♪","1","7","24015","24","0.5","11","0","0","0","122411"
"","","","24016","24","","91","","","","0"
"sjr_talk_idle","","1","24017","24","","3","","","0.2","122411"
