6802510e910553c357e3f07c3d6cac4fd9f66e8aa6c6fc7efbf344baf6b23f51,c8e565ff8a3c8718468e5ebde527415083094f0eea8e259f6a1e49a6be44c12c,ca9e553f73ba32caa61d1b722977ea74f62cd7cca9822002fb9459732e49d20d,9bb7ac3564690a36de91dc3c5be2e74651bc0d945a62b807356c28928207fd57,32a9f233f1849fd998fb23d1acffc38c0dede3e7a23668a4c614f03922f084e2
"196","10","200","20012","5000"
"197","40","150","20013","5000"
"198","10","5","20013","5000"
"199","40","100","20014","5000"
"200","10","5","20014","5000"
"201","50","200","20015","5000"
"202","10","5","20015","5000"
"203","60","250","20016","5000"
"204","30","200","20016","5000"
"205","45","120","20017","5000"
"206","90","300","20017","5000"
"207","90","120","20018","5000"
"208","30","200","20018","5000"
"209","50","190","20019","5000"
"210","60","350","20019","5000"
"211","90","95","20020","5000"
"212","90","95","20020","5000"
"213","60","200","20021","5000"
"214","60","200","20021","5000"
"215","60","200","20022","5000"
"216","60","200","20022","5000"
"217","60","200","20023","5000"
"218","60","200","20023","5000"
"219","30","130","21001","5000"
"220","5","5","21001","5000"
"221","30","140","21002","5000"
"222","5","5","21002","5000"
"223","40","150","21003","5000"
"224","5","5","21003","5000"
"225","45","155","21004","5000"
"226","5","200","21004","5000"
"227","60","155","21005","5000"
"228","10","200","21005","5000"
"229","60","150","21006","5000"
"230","15","200","21006","5000"
"231","60","150","21007","5000"
"232","15","200","21007","5000"
"233","50","160","21008","5000"
"234","15","200","21008","5000"
"235","70","140","21009","5000"
"236","30","200","21009","5000"
"237","35","180","21010","5000"
"238","120","200","21010","5000"
"239","65","140","21011","5000"
"240","30","200","21011","5000"
"241","35","200","21012","5000"
"242","5","5","21012","5000"
"243","70","150","21013","5000"
"244","15","200","21013","5000"
"245","60","150","21014","5000"
"246","15","200","21014","5000"
"247","60","150","21015","5000"
"248","15","200","21015","5000"
"249","60","150","21016","5000"
"250","15","200","21016","5000"
"251","60","150","21017","5000"
"252","15","200","21017","5000"
"253","50","120","21018","5000"
"254","60","200","21018","5000"
"255","67","102","21019","5000"
"256","60","200","21019","5000"
"257","35","120","21020","5000"
"258","60","250","21020","5000"
