011563a554b6ecbc39e2b6112089f748596ad0bbf570fa680bcf47b43c351a32,f74eda1419cfd6ce2e303ba3eada63ff6df486faba405bcf608c4ad6bd5efdc5,236bb4b7b4521abf376b7b4070c0d8e77f6985e7e8f47d5e7b944686057882b1,982d4ded0c6d8007e60409b9a1614f9ff73baa455f6c4258c95c4aff459662c0,9a859633e9aa08554d7bfe3e3da8e085d0dab48190a43e17f9b60fe3a745b964,37e9dca6c6bbea3b363f0ac60210477518bcca58e3c48c2329c883e92b5b5197,034c1310c2c7096eebaead66cd1d0076fe408e538e92e753561feb181e03a75a,42202f9efa6388ca52efab72799e751ad886f3f136cfacede53e90971777f06d,4a6f9124f628dbc7195037a9ea4a86ea520d87265624b637e6fa2e2b13e5b24f,638264a78777c36a2f2c711b3990a7fbf76cae3ca63935b4ff9a9e5a1b734832,4c275fd3c22d7cc31d68ee24aeb0772b8d1dfd9b7a904d4736ebebc9fa415c48
"77","25014","2","224","2","284001077","25021","8","10","42","91002"
"78","25014","2","228","2","284001078","25021","8","10","42","91002"
"79","25014","2","232","2","284001079","25021","8","10","43","91002"
"80","25014","2","236","2","284001080","25021","8","30","43","91002"
"81","25014","2","240","2","284001081","25021","8","10","44","91002"
"82","25014","2","244","2","284001082","25021","8","10","44","91002"
"83","25014","2","248","2","284001083","25021","8","10","45","91002"
"84","25014","2","252","2","284001084","25021","8","10","45","91002"
"85","25014","2","256","2","284001085","25021","8","10","46","91002"
"86","25014","2","260","2","284001086","25021","8","10","46","91002"
"87","25014","2","264","2","284001087","25021","8","10","47","91002"
"88","25014","2","268","2","284001088","25021","8","10","47","91002"
"89","25014","2","272","2","284001089","25021","8","10","48","91002"
"90","25014","2","276","2","284001090","25021","8","30","48","91002"
"91","25014","2","280","2","284001091","25021","8","10","49","91002"
"92","25014","2","284","2","284001092","25021","8","10","49","91002"
"93","25014","2","288","2","284001093","25021","8","10","50","91002"
"94","25014","2","292","2","284001094","25021","8","10","50","91002"
"95","25014","2","296","2","284001095","25021","8","10","51","91002"
"96","25014","2","300","2","284001096","25021","8","10","51","91002"
"97","25014","2","304","2","284001097","25021","8","10","52","91002"
"98","25014","2","308","2","284001098","25021","8","10","52","91002"
"99","25014","2","312","2","284001099","25021","8","10","53","91002"
"100","25014","2","316","2","284001100","25021","8","30","53","91002"
