a4157446c752ae0bf60297a23642e353a8c513fde7911efb64db48f8c95aa718,538b093e0113542e1c0767fa1046c5226d04a00f2a413572bfb7ebce144327b3,7f4b28734fdcc93e725ea64ec25cbe644f7e1d879c2592c84e6e3130297992e5,dfacade9a04260f53a9a8d9c4187d4dbdd0ab30bb5fe047375d345004f12f3e3,da759bea5ed2f1817b7ce4418ffaac734ee3e56c136d276b2d29a2715e48b060,6e98cc52fccc65dda3bdad6a030b6dc054fdaaa6a216492485f41978871020b1,fcd215dc11cf9f3fb3990d310e1ab3e15088b4fd7ff17a27076abb90404c04c4,d82e1e155fbada6bd21b66613ac8a5351642b770dfb55bf0e07744169207391f
"11023","0","130901","1023","3","0","1","【仲間】福引券を1枚入手する"
"11024","0","102501","1024","3","0","1","【仲間】料理を1つ入手する"
"11025","0","100801","1025","3","0","1","【仲間】ダイスの表と裏どちらを適用するか選択できる"
"11026","0","123301","1026","3","0","1","【仲間】出目が4のダイスを同時に振ってどちらか選択できる"
"11027","0","104601","1027","3","0","1","【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）"
"11028","0","118101","1028","3","0","1","【仲間】ダイスの目を2回振りなおせる"
"11029","0","103401","1029","3","0","1","【仲間】出目の合計が7以上になるまでダイスを追加で振れる"
"11030","0","118001","1030","3","0","1","【仲間】最大2000マイルを入手する"
"11031","0","102801","1031","3","0","1","【仲間】福引券を1枚入手する"
"11032","0","100201","1032","3","0","1","【仲間】料理を1つ入手する"
"11033","0","101201","1033","3","0","1","【仲間】出たダイスの目が奇数だった場合、1マス分多く進める"
"11034","0","118201","1034","3","0","1","【仲間】ダイスの目を1回振りなおせる"
"11035","0","106101","1035","3","0","1","【仲間】出目の合計が7以上になるまでダイスを追加で振れる"
"11036","0","103101","1036","3","0","1","【仲間】出目が4のダイスを同時に振ってどちらか選択できる"
"11037","0","103301","1037","3","0","1","【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）"
"11038","0","103601","1038","3","0","1","【仲間】最大2000マイルを入手する"
"11039","0","133001","1039","3","0","1","【仲間】福引券を1枚入手する"
"11040","0","133101","1040","3","0","1","【仲間】料理を1つ入手する"
"11041","0","106801","1041","3","0","1","【仲間】ダイスの表と裏どちらを適用するか選択できる"
"11042","0","107101","1042","3","0","1","【仲間】ダイスの目を1回振りなおせる"
"11043","0","107001","1043","3","0","1","【仲間】出目の合計が7以上になるまでダイスを追加で振れる"
"11044","0","106501","1044","3","0","1","【仲間】出目が4のダイスを同時に振ってどちらか選択できる"
"11045","0","111001","1045","3","0","1","【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）"
"11046","0","134901","1046","3","0","1","【仲間】最大2000マイルを入手する"
"11047","0","105401","1047","3","0","1","【仲間】福引券を1枚入手する"
"11048","0","134701","1048","3","0","1","【仲間】料理を1つ入手する"
