d50319ad5b4d5766a8eb88d996f23fd08d82cba18c611ca24c28c271992afb26,724dd9a659bb22dc0659ed4d549261e80c6086453cf7072b47767ac91be2ed86,0e7b524ee92983da4b6e7b7c9c3fccb4cc80638363ab931756ec78d604b40ef8,0f328d1caa81447f989935b3b5086ae562a2b6dd3ba057c870a50e1828cc2601,d8d8b6fdc7347aad73b6cd418210674f592a6e96a9e29a77655821115c55e991,5f72d79bde265673669d0123d0e56d089903161aad659e0d7c742e7c45612a9a,15dc8df5336fa0adf57a06ff44780d0f45a5d4d3d0165d5cc6f57a75b9940a1a,12b0cea1021095ddb890061823cda6d4971f9ff4dfdeb51d34b35816e40a358a,985d02061ed13a6c6ed25dd8052e4e6d5bbc66fcd0117e1303a365a12494f3a9,765149d6a83931c3fd4cef526c3f1711b1c179980e7a145f94d3a39a05bd0614,58a7a061ff9379b55cab5537eae705648769f90ba16f0da459b39539ead4b278
"11","0","0","-1","113411","ハツネちゃんも\n練習のお手伝いを\nしちゃうのだ～！\nきらーん☆","0","8","8","1080004","0"
"93","","","","3.6","","","","8","1080005",""
"3","","","","113411","pkb_hatsune_kiran","","0","8","1080006","0.2"
"91","","","","1080004","","","","8","1080007",""
"3","","","","113411","pkb_idle_normal","","1","8","1080008","0.2"
"1","64","-175","pkb_idle_normal","1","113411","1","100","9","1090001","1.65"
"3","","","","113411","pkb_talk_joy2","","1","9","1090002","0.2"
"21","0","","","vo_minigame_1006","vo_minigame_1006_top_203","","0","9","1090003",""
"11","0","0","0","113411","私も投げてみたいな！\n超能りょ…じゃなくて\n魔法で、すごい球を\n投げちゃうよ！","0","6","9","1090004","0"
"93","","","","3","","","","9","1090005",""
"3","pkb_idle_surprise1","1","","113411","pkb_surprise","0.2","0","9","1090006","0.2"
"93","","","","1","","","","9","1090007",""
"3","","","","113411","pkb_talk_joy3","","1","9","1090008","0.2"
"91","","","","1090004","","","","9","1090009",""
"3","","","","113411","pkb_idle_normal","","1","9","1090010","0.2"
"1","64","-175","pkb_idle_normal","1","106531","1","100","10","1100001","1.65"
"3","pkb_idle_arm_crossed","1","","106531","pkb_talk_arm_crossed","","0","10","1100002","0.2"
"21","0","","","vo_minigame_1006","vo_minigame_1006_top_301","","0","10","1100003",""
"11","0","0","0","106531","なあ、練習始めようぜ\n早く投げたくて\nウズウズしてるんだ！","0","8","10","1100004","0"
"93","","","","2.8","","","","10","1100005",""
"3","","","","106531","pkb_talk_joy1","","1","10","1100006","0.2"
"91","","","","1100004","","","","10","1100007",""
"3","","","","106531","pkb_idle_normal","","1","10","1100008","0.2"
"1","64","-175","pkb_idle_normal","1","106531","1","100","11","1110001","1.65"
"3","","","","106531","pkb_talk_normal","","1","11","1110002","0.2"
"21","0","","","vo_minigame_1006","vo_minigame_1006_top_302","","0","11","1110003",""
"11","0","0","0","106531","オレ様の特訓は\n半端じゃねえぜ\n覚悟しとけよ？","0","8","11","1110004","0"
"93","","","","3.2","","","","11","1110005",""
"3","pkb_idle_arm_crossed","1","","106531","pkb_talk_arm_crossed","0.2","0","11","1110006","0.2"
"91","","","","1110004","","","","11","1110007",""
"3","","","","106531","pkb_idle_normal","","1","11","1110008","0.2"
"1","64","-175","pkb_idle_normal","1","106531","1","100","12","1120001","1.65"
"3","pkb_idle_arm_crossed","1","","106531","pkb_talk_arm_crossed","0.2","0","12","1120002","0.2"
"21","0","","","vo_minigame_1006","vo_minigame_1006_top_303","","0","12","1120003",""
"11","0","0","0.5","106531","威勢がいいのは口だけ\nじゃねえってとこ\n見せてくれよな？","0","8","12","1120004","0"
"93","","","","3.2","","","","12","1120005",""
"3","pkb_idle_doya","1","","106531","pkb_talk_doya","","0","12","1120006","0.2"
"91","","","","1120004","","","","12","1120007",""
"3","","","","106531","pkb_idle_normal","","1","12","1120008","0.2"
"1","64","-175","pkb_idle_normal","1","102311","1","100","13","1130001","1.65"
"3","pkb_talk_joy1","1","","102311","pkb_talk_fun","0.4","0","13","1130002","0.2"
"21","0","","","vo_minigame_1006","vo_minigame_1006_top_401","","0","13","1130003",""
"11","0","0","0","102311","今日も打っちゃうよ！\n一緒にがんばろうね\nぷうきち！","0","8","13","1130004","0"
"91","","","","1130004","","","","13","1130005",""
"3","","","","102311","pkb_idle_normal","","1","13","1130006","0.2"
"1","64","-175","pkb_idle_normal","1","102311","1","100","14","1140001","1.65"
"3","","","","102311","pkb_talk_joy1","","1","14","1140002","0.2"
"21","0","","","vo_minigame_1006","vo_minigame_1006_top_402","","0","14","1140003",""
"11","0","0","0","102311","全部ホームラン\n打てばいいんだよね？\nそれくらい簡単だよ！","0","8","14","1140004","0"
"93","","","","3","","","","14","1140005",""
"3","pkb_idle_doya","1","","102311","pkb_talk_doya","","0","14","1140006","0.2"
"91","","","","1140004","","","","14","1140007",""
"3","","","","102311","pkb_idle_normal","","1","14","1140008","0.2"
"1","64","-175","pkb_idle_normal","1","102311","1","100","15","1150001","1.65"
"3","","","","102311","pkb_talk_wish","","1","15","1150002","0.2"
"21","0","","","vo_minigame_1006","vo_minigame_1006_top_403","","0","15","1150003",""
"11","0","0","-0.5","102311","お兄ちゃんたちの\nお手本になれる\nように、いっぱい\n打つからね！","0","8","15","1150004","0"
"93","","","","2.4","","","","15","1150005",""
"3","pkb_talk_joy1","1","","102311","pkb_talk_fun","0.4","0","15","1150006","0.2"
"91","","","","1150004","","","","15","1150007",""
"3","","","","102311","pkb_idle_normal","","1","15","1150008","0.2"
"5","64","-155","pkb_idle_normal_l","1","1","1","100","16","1160001","57"
"3","pkb_idle_arm_crossed_l","1","","1","pkb_talk_arm_crossed_l","0.2","0","16","1160002","0.2"
"21","0","","","vo_minigame_1006","vo_minigame_1006_top_701","","0","16","1160003",""
"11","0","0","0","1","全国大会を目指して\n今日も練習頑張ろう！","0","8","16","1160004","0"
"93","","","","2.6","","","","16","1160005",""
"3","pkb_idle_doya_l","1","","1","pkb_talk_doya_l","0.2","0","16","1160006","0.2"
"91","","","","1160004","","","","16","1160007",""
"3","","","","1","pkb_idle_normal_l","","1","16","1160008","0.2"
"5","64","-155","pkb_idle_normal_l","1","1","1","100","17","1170001","57"
"3","pkb_idle_guts_l","1","","1","pkb_talk_guts_l","","0","17","1170002","0.2"
"21","0","","","vo_minigame_1006","vo_minigame_1006_top_702","","0","17","1170003",""
"11","0","0","0","1","夢を叶えるために\n全力で練習に\n取り組もう！","0","8","17","1170004","0"
"91","","","","0","","","","17","1170005",""
"3","","","","1","pkb_idle_normal_l","","1","17","1170006","0.2"
"5","64","-155","pkb_idle_normal_l","1","1","1","100","18","1180001","57"
"3","pkb_idle_arm_crossed_l","1","","1","pkb_talk_arm_crossed_l","0.2","0","18","1180002","0.2"
"21","0","","","vo_minigame_1006","vo_minigame_1006_top_703","","0","18","1180003",""
"11","0","0","0","1","部員のみんなも\nすごく上達してる…\n俺も負けてられない！","0","8","18","1180004","0"
"93","","","","2.9","","","","18","1180005",""
"3","pkb_idle_guts_l","1","","1","pkb_talk_guts_l","","0","18","1180006","0.2"
"91","","","","1180004","","","","18","1180007",""
"3","","","","1","pkb_idle_normal_l","","1","18","1180008","0.2"
"5","64","-155","pkb_idle_normal_l","2","2","1","100","19","1190001","57"
"3","pkb_idle_arm_crossed_l","1","","2","pkb_talk_arm_crossed_l","0.2","0","19","1190002","0.2"
"21","0","","","vo_minigame_1006","vo_minigame_1006_top_801","","0","19","1190003",""
"11","0","0","0","2","上達してるってとこ\n見せてやる\nオレだって選手なんだ","0","8","19","1190004","0"
"93","","","","3.8","","","","19","1190005",""
"3","pkb_idle_guts_l","1","","2","pkb_talk_guts_l","","0","19","1190006","0.2"
"91","","","","1190004","","","","19","1190007",""
"3","","","","2","pkb_idle_normal_l","","1","19","1190008","0.2"
"5","64","-155","pkb_idle_normal_l","2","2","1","100","20","1200001","57"
"3","pkb_idle_guts_l","1","","2","pkb_talk_guts_l","","0","20","1200002","0.2"
"21","0","","","vo_minigame_1006","vo_minigame_1006_top_802","","0","20","1200003",""
"11","0","0","0","2","今日もかっとばす\n遠慮せず全力で\nかかってこい","0","8","20","1200004","0"
"93","","","","3.2","","","","20","1200005",""
"3","pkb_idle_doya_l","1","","2","pkb_talk_doya_l","","0","20","1200006","0.2"
"91","","","","1200004","","","","20","1200007",""
"3","","","","2","pkb_idle_normal_l","","1","20","1200008","0.2"
"5","64","-155","pkb_idle_normal_l","2","2","1","100","21","1210001","57"
"3","pkb_idle_arm_crossed_l","1","","2","pkb_talk_arm_crossed_l","0.2","0","21","1210002","0.2"
"21","0","","","vo_minigame_1006","vo_minigame_1006_top_803","","0","21","1210003",""
"11","0","0","0","2","全国を目指してんだ\nもっと練習しなきゃ\nいけねえよな","0","8","21","1210004","0"
"91","","","","0","","","","21","1210005",""
"3","","","","2","pkb_idle_normal_l","","1","21","1210006","0.2"
"1","-20","-150","pkb_idle_normal","1","113511","0","100","22","1220001","1.6"
"1","170","-150","pkb_idle_normal","1","113411","1","100","22","1220002","1.6"
"3","","","","113511","pkb_talk_joy1","","1","22","1220003","0.2"
"21","0","","","vo_minigame_1006","vo_minigame_1006_top_talk_1_101","","0","22","1220004",""
"11","0","0","-0.5","113511","ふふ、みんなすごく\n張り切ってるわね\nハツネちゃんの応援の\nおかげかしら♪","0","6","22","1220005","0"
"91","","","","0","","","","22","1220006",""
"3","","","","113511","pkb_idle_normal","","1","22","1220007","0.2"
"3","","","","113411","pkb_talk_joy1","","1","22","1220008","0.2"
"21","0","","","vo_minigame_1006","vo_minigame_1006_top_talk_1_202","","0","22","1220009",""
"11","0","0","-0.5","113411","そうかなー？\nじゃあもっと応援\nがんばっちゃうぞ～！","0","6","22","1220010","0"
"93","","","","4","","","","22","1220011",""
"3","pkb_idle_normal","1","","113411","pkb_talk_handsup","0","0","22","1220012","0.2"
"91","","","","1220010","","","","22","1220013",""
"3","","","","113411","pkb_idle_normal","","1","22","1220014","0.2"
"1","170","-150","pkb_idle_normal","1","113411","1","100","23","1230001","1.6"
"1","-20","-150","pkb_idle_normal","1","113511","0","100","23","1230002","1.6"
"3","","","","113411","pkb_talk_normal","","1","23","1230003","0.2"
"21","0","","","vo_minigame_1006","vo_minigame_1006_top_talk_2_201","","0","23","1230004",""
"11","0","0","-1.5","113411","ミサト先生も一緒に\n応援しようよ！","0","8","23","1230005","0"
"91","","","","0","","","","23","1230006",""
"3","","","","113411","pkb_idle_normal","","1","23","1230007","0.2"
"3","","","","113511","pkb_talk_normal","","1","23","1230008","0.2"
"21","0","","","vo_minigame_1006","vo_minigame_1006_top_talk_2_102","","0","23","1230009",""
"11","0","0","3","113511","あらあら\n楽しそうね～♪\nフレーフレー！","0","5","23","1230010","0"
"93","","","","4","","","","23","1230011",""
"3","pkb_talk_fun","0","","113511","pkb_talk_fun","0.2","0","23","1230012","0.2"
"93","","","","2.7","","","","23","1230013",""
"3","pkb_talk_joy1","1","","113511","pkb_idle_normal","0.2","0","23","1230014","0.2"
"91","","","","1230010","","","","23","1230015",""
"3","","","","113511","pkb_idle_normal","","1","23","1230016","0.2"
"1","170","-150","pkb_idle_normal","1","113511","1","100","24","1240001","1.6"
"5","-20","-130","pkb_idle_normal","3","3","0","100","24","1240002","55"
"3","","","","113511","pkb_talk_joy3","","1","24","1240003","0.2"
"21","0","","","vo_minigame_1006","vo_minigame_1006_top_talk_3_101","","0","24","1240004",""
"11","0","0","-1","113511","ダイチくんったら\nすごい気合いね～！\nでも、無理しちゃ\n駄目ですよ～？","0","6","24","1240005","0"
"93","","","","4","","","","24","1240006",""
"3","","","","113511","pkb_talk_wish","","1","24","1240007","0.2"
"91","","","","1240005","","","","24","1240008",""
"3","","","","113511","pkb_idle_normal","","1","24","1240009","0.2"
"3","","","","3","pkb_talk_normal","","1","24","1240010","0.2"
"21","0","","","vo_minigame_1006","vo_minigame_1006_top_talk_3_602","","0","24","1240011",""
"11","0","0","-1","3","わかってるっつーの\nけどよ、ビーチベース\nボールが楽しくて\n仕方ねえんだよ！","0","6","24","1240012","0"
"93","","","","2","","","","24","1240013",""
"3","pkb_idle_doya","1","","3","pkb_talk_doya","","0","24","1240014","0.2"
"91","","","","1240012","","","","24","1240015",""
"3","","","","3","pkb_idle_normal","","1","24","1240016","0.2"
"5","-20","-130","pkb_idle_normal","3","3","0","100","25","1250001","55"
"1","170","-150","pkb_idle_normal","1","113511","1","100","25","1250002","1.6"
"3","pkb_idle_arm_crossed","1","","3","pkb_talk_arm_crossed","0.2","0","25","1250003","0.2"
"21","0","","","vo_minigame_1006","vo_minigame_1006_top_talk_4_601","","0","25","1250004",""
"11","0","0","-0.5","3","今の俺たちなら\n全国行けるぜ！\n絶対に夢を\n叶えようぜ！","0","8","25","1250005","0"
"93","","","","3","","","","25","1250006",""
"3","pkb_idle_guts","1","","3","pkb_talk_guts","","0","25","1250007","0.2"
"91","","","","1250005","","","","25","1250008",""
"3","","","","3","pkb_idle_normal","","1","25","1250009","0.2"
"3","","","","113511","pkb_talk_wish","","1","25","1250010","0.2"
"21","0","","","vo_minigame_1006","vo_minigame_1006_top_talk_4_102","","0","25","1250011",""
"11","0","0","1","113511","ええ、あなたたちなら\n行けるって信じてるわ\n頑張りましょう～♪","0","6","25","1250012","0"
"93","","","","5.6","","","","25","1250013",""
"3","pkb_idle_normal","1","","113511","pkb_talk_handsup","0.2","0","25","1250014","0.2"
"91","","","","0","","","","25","1250015",""
"3","","","","113511","pkb_idle_normal","","1","25","1250016","0.2"
"1","170","-150","pkb_idle_normal","1","113511","1","100","26","1260001","1.6"
"5","-20","-130","pkb_idle_normal","1","1","0","100","26","1260002","55"
"3","","","","113511","pkb_talk_joy3","","1","26","1260003","0.2"
"21","0","","","vo_minigame_1006","vo_minigame_1006_top_talk_5_101","","0","26","1260004",""
"11","0","0","0","113511","ふふ、先生も\n練習のお手伝いを\nしますからね～","0","6","26","1260005","0"
"91","","","","0","","","","26","1260006",""
"3","","","","113511","pkb_idle_normal","","1","26","1260007","0.2"
"3","pkb_idle_guts","1","","1","pkb_talk_guts","0.2","0","26","1260008","0.2"
"21","0","","","vo_minigame_1006","vo_minigame_1006_top_talk_5_702","","0","26","1260009",""
"11","0","0","-1","1","先生、ありがとう\nございます！\n俺も気合い入れて\n頑張ります！","0","8","26","1260010","0"
"91","","","","0","","","","26","1260011",""
"3","","","","1","pkb_idle_normal","","1","26","1260012","0.2"
"5","-20","-130","pkb_idle_normal","1","1","0","100","27","1270001","55"
"1","170","-150","pkb_idle_normal","1","113511","1","100","27","1270002","1.6"
"3","pkb_idle_arm_crossed","1","","1","pkb_talk_arm_crossed","0.2","0","27","1270003","0.2"
"21","0","","","vo_minigame_1006","vo_minigame_1006_top_talk_6_701","","0","27","1270004",""
"11","0","0","-0.5","1","今日もボールが\nピカピカだ…\nきっと先生が\n磨いてくれたんだ…！","0","8","27","1270005","0"
"93","","","","2.6","","","","27","1270006",""
"3","pkb_idle_guts","1","","1","pkb_talk_guts","0.2","0","27","1270007","0.2"
"91","","","","1270005","","","","27","1270008",""
"3","","","","1","pkb_idle_normal","","1","27","1270009","0.2"
"3","","","","113511","pkb_talk_joy3","","1","27","1270010","0.2"
"21","0","","","vo_minigame_1006","vo_minigame_1006_top_talk_6_102","","0","27","1270011",""
"11","0","0","0.5","113511","私にできることを\nしただけですよ～\nみんなが気持ちよく\n練習できたらなって♪","0","6","27","1270012","0"
"93","","","","4","","","","27","1270013",""
"3","","","","113511","pkb_talk_wish","","1","27","1270014","0.2"
"91","","","","1270012","","","","27","1270015",""
"3","","","","113511","pkb_idle_normal","","1","27","1270016","0.2"
"1","170","-150","pkb_idle_normal","1","113411","1","100","28","1280001","1.6"
"5","-20","-130","pkb_idle_normal","3","3","0","100","28","1280002","55"
"3","pkb_talk_joy1","1","","113411","pkb_talk_yell","0.2","0","28","1280003","0.2"
"21","0","","","vo_minigame_1006","vo_minigame_1006_top_talk_7_201","","0","28","1280004",""
"11","0","0","-0.5","113411","みんな、頑張れ～♪\nかっこいいところ\n期待してるよー！\nファイトファイト～！","0","8","28","1280005","0"
"93","","","","4.6","","","","28","1280006",""
"3","pkb_idle_normal","1","","113411","pkb_talk_fun","0.2","0","28","1280007","0.2"
"91","","","","1280005","","","","28","1280008",""
"3","","","","113411","pkb_idle_normal","","1","28","1280009","0.2"
"3","pkb_idle_guts","1","","3","pkb_talk_guts","","0","28","1280010","0.2"
"21","0","","","vo_minigame_1006","vo_minigame_1006_top_talk_7_602","","0","28","1280011",""
"11","0","0","0","3","応援が沁みるぜ…\nハツネちゃんに\nいいとこ見せるぞ！\nうおおぉぉ！！","0","8","28","1280012","0"
"93","","","","5","","","","28","1280013",""
"3","pkb_idle_normal","1","","3","pkb_talk_handsup","","0","28","1280014","0.2"
"91","","","","1280012","","","","28","1280015",""
"3","","","","3","pkb_idle_normal","","1","28","1280016","0.2"
"5","-20","-130","pkb_idle_normal","3","3","0","100","29","1290001","55"
"1","170","-150","pkb_idle_normal","1","113411","1","100","29","1290002","1.6"
"3","pkb_idle_arm_crossed","1","","3","pkb_talk_arm_crossed","0.2","0","29","1290003","0.2"
"21","0","","","vo_minigame_1006","vo_minigame_1006_top_talk_8_601","","0","29","1290004",""
"11","0","0","-1","3","かなりハードな練習に\nなりそうなんだ\nビシッと気合いが入る\n応援を頼むぜ！","0","8","29","1290005","0"
"93","","","","2.8","","","","29","1290006",""
"3","pkb_idle_guts","1","","3","pkb_talk_guts","","0","29","1290007","0.2"
"91","","","","1290005","","","","29","1290008",""
"3","","","","3","pkb_idle_normal","","1","29","1290009","0.2"
"3","","","","113411","pkb_talk_joy1","","1","29","1290010","0.2"
"21","0","","","vo_minigame_1006","vo_minigame_1006_top_talk_8_202","","0","29","1290011",""
"11","0","0","-0.5","113411","任せてよ！\nいつもよりいっぱい\n応援しちゃうよ～！","0","8","29","1290012","0"
"93","","","","2.2","","","","29","1290013",""
"3","pkb_smile","0","","113411","pkb_talk_fun","0.4","0","29","1290014","0.2"
"93","","","","2.2","","","","29","1290015",""
"3","","","","113411","pkb_idle_normal","","1","29","1290016","0.2"
"91","","","","1290012","","","","29","1290017",""
"3","","","","113411","pkb_idle_normal","","1","29","1290018","0.2"
"1","170","-150","pkb_idle_normal","1","113411","1","100","30","1300001","1.6"
"5","-20","-130","pkb_idle_normal","1","1","0","100","30","1300002","55"
"3","","","","113411","pkb_talk_joy1","","1","30","1300003","0.2"
"21","0","","","vo_minigame_1006","vo_minigame_1006_top_talk_9_201","","0","30","1300004",""
"11","0","0","1","113411","いっぱい応援するから\n今日も練習頑張ってね\n目指せ、全国大会～！","0","8","30","1300005","0"
"93","","","","5","","","","30","1300006",""
"3","pkb_idle_normal","1","","113411","pkb_talk_handsup","","0","30","1300007","0.2"
"91","","","","1300005","","","","30","1300008",""
"3","","","","113411","pkb_idle_normal","","1","30","1300009","0.2"
"3","","","","1","pkb_talk_normal","","1","30","1300010","0.2"
"21","0","","","vo_minigame_1006","vo_minigame_1006_top_talk_9_702","","0","30","1300011",""
"11","0","0","-1","1","ハツネちゃんの応援は\n俺たちの力に\nなってるよ\nいつもありがとう！","0","8","30","1300012","0"
"93","","","","3.3","","","","30","1300013",""
"3","pkb_idle_guts","1","","1","pkb_talk_guts","","0","30","1300014","0.2"
"91","","","","1300012","","","","30","1300015",""
"3","","","","1","pkb_idle_normal","","1","30","1300016","0.2"
"5","-20","-130","pkb_idle_normal","1","1","0","100","31","1310001","55"
"1","170","-150","pkb_idle_normal","1","113411","1","100","31","1310002","1.6"
"3","pkb_idle_arm_crossed","1","","1","pkb_talk_arm_crossed","0.2","0","31","1310003","0.2"
"21","0","","","vo_minigame_1006","vo_minigame_1006_top_talk_10_701","","0","31","1310004",""
"11","0","0","-1.5","1","キャプテンとして\nもっと上手くなって\nみんなを引っ張って\nいかないと！","0","8","31","1310005","0"
"93","","","","3.6","","","","31","1310006",""
"3","pkb_idle_doya","1","","1","pkb_talk_doya","","0","31","1310007","0.2"
"91","","","","1310005","","","","31","1310008",""
"3","","","","1","pkb_idle_normal","","1","31","1310009","0.2"
"3","","","","113411","pkb_talk_joy1","","1","31","1310010","0.2"
"21","0","","","vo_minigame_1006","vo_minigame_1006_top_talk_10_202","","0","31","1310011",""
"11","0","0","-0.5","113411","おっ、アサヒくん！\n気合い入ってるね！\nその意気なのだ～！\n頑張れ頑張れ～☆","0","8","31","1310012","0"
"93","","","","3.6","","","","31","1310013",""
"3","pkb_talk_fun","0","","113411","pkb_talk_fun","","0","31","1310014","0.2"
"93","","","","3","","","","31","1310015",""
"3","","","","113411","pkb_idle_normal","","1","31","1310016","0.2"
"91","","","","1310012","","","","31","1310017",""
"5","-20","-130","pkb_idle_normal","2","2","0","100","32","1320001","55"
"1","170","-150","pkb_idle_normal","1","113411","1","100","32","1320002","1.6"
"3","pkb_idle_guts","1","","2","pkb_talk_guts","","0","32","1320003","0.2"
"21","0","","","vo_minigame_1006","vo_minigame_1006_top_talk_11_801","","0","32","1320004",""
"11","0","0","0","2","ハツネちゃん…\nホームラン打つって\n約束するから\nしっかり見ててくれよ","0","8","32","1320005","0"
"93","","","","5","","","","32","1320006",""
"3","pkb_idle_doya","1","","2","pkb_talk_doya","","0","32","1320007","0.2"
"91","","","","1320005","","","","32","1320008",""
"3","","","","2","pkb_idle_normal","","1","32","1320009","0.2"
"3","","","","113411","pkb_talk_joy2","","1","32","1320010","0.2"
"21","0","","","vo_minigame_1006","vo_minigame_1006_top_talk_11_202","","0","32","1320011",""
"11","0","0","0","113411","うん、わかった！\n特大ホームランを\nよろしくねー！\n期待してるよ～！","0","8","32","1320012","0"
"93","","","","4.6","","","","32","1320013",""
"3","pkb_idle_normal","1","","113411","pkb_hatsune_kiran","0.2","0","32","1320014","0.2"
"91","","","","1320012","","","","32","1320015",""
"3","","","","113411","pkb_idle_normal","","1","32","1320016","0.2"
"1","170","-150","pkb_idle_normal","1","102311","1","100","33","1330001","1.6"
"5","-20","-130","pkb_idle_normal","2","2","0","100","33","1330002","55"
"3","","","","102311","pkb_talk_normal","","1","33","1330003","0.2"
"21","0","","","vo_minigame_1006","vo_minigame_1006_top_talk_12_401","","0","33","1330004",""
"11","0","0","-0.5","102311","声出し練習やろうよ！\n「ぷうきち\nフルスイング」って\n大声で百回～！","0","8","33","1330005","0"
"93","","","","1.6","","","","33","1330006",""
"3","pkb_talk_joy1","1","","102311","pkb_talk_yell","0.2","0","33","1330007","0.2"
"91","","","","1330005","","","","33","1330008",""
"3","","","","102311","pkb_idle_normal","","1","33","1330009","0.2"
"21","0","","","vo_minigame_1006","vo_minigame_1006_top_talk_12_802","","0","33","1330010",""
"11","0","0","0","2","ぷ、ぷうきち\nフルスイーング！\n…これはこれで\nキツい練習だな","0","8","33","1330011","0"
"93","","","","0.5","","","","33","1330012",""
